"dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"FLUOROMETHOLONE",7576,"FLUOROMETHOLONE","FLUOROMETHOLONE","","","fluorometholone",FALSE,"fluorometholone"
"MENOTROPINS",7369,"MENOTROPINS","MENOTROPINS","","","menotropins",FALSE,"menotropins"
"PROGUANIL HYDROCHLORIDE",11782,"PROGUANIL HYDROCHLORIDE","PROGUANIL HYDROCHLORIDE","","","proguanil hydrochloride",FALSE,"proguanil hydrochloride"
"METHOTREXATE (METHOTREXATE DISODIUM)",5900,"METHOTREXATE","METHOTREXATE DISODIUM",NA,NA,NA,NA,NA
"GANIRELIX (GANIRELIX ACETATE)",12713,"GANIRELIX","GANIRELIX ACETATE","","","ganirelix (ganirelix acetate)",FALSE,"ganirelix (ganirelix acetate)"
"L-ISOLEUCINE",944,"L-ISOLEUCINE","L-ISOLEUCINE","","","l-isoleucine",FALSE,"l-isoleucine"
"COAGULATION FACTOR IX (RECOMBINANT)",11417,"COAGULATION FACTOR IX","RECOMBINANT","","","coagulation factor ix (recombinant)",FALSE,"coagulation factor ix (recombinant)"
"BRENTUXIMAB VEDOTIN",21796,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","","","brentuximab vedotin",FALSE,"brentuximab vedotin"
"STANDARDIZED MEADOW FESCUE GRASS POLLEN",4486,"STANDARDIZED MEADOW FESCUE GRASS POLLEN","STANDARDIZED MEADOW FESCUE GRASS POLLEN","","","standardized meadow fescue grass pollen",FALSE,"standardized meadow fescue grass pollen"
"IPRATROPIUM BROMIDE",1945,"IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE","Y","IPRATROPIUM","ipratropium",FALSE,"ipratropium bromide"
"VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)",11171,"VITAMIN B2","RIBOFLAVIN-5-PHOSPHATE","","","vitamin B2 (riboflavin-5-phosphate)",FALSE,"vitamin B2 (riboflavin-5-phosphate)"
"BRONOPOL",3975,"BRONOPOL","BRONOPOL","","","bronopol",FALSE,"bronopol"
"TERBINAFINE HYDROCHLORIDE",707,"TERBINAFINE HYDROCHLORIDE","TERBINAFINE HYDROCHLORIDE","Y","TERBINAFINE","terbinafine",FALSE,"terbinafine hydrochloride"
"TESTOSTERONE PROPIONATE",7488,"TESTOSTERONE PROPIONATE","TESTOSTERONE PROPIONATE","Y","TESTOSTERONE","testosterone",FALSE,"testosterone propionate"
"HAMAMELIS VIRGINIANA",6854,"HAMAMELIS VIRGINIANA","HAMAMELIS VIRGINIANA","","","hamamelis virginiana",FALSE,"hamamelis virginiana"
"TETANUS TOXOID ADSORBED",7934,"TETANUS TOXOID ADSORBED","TETANUS TOXOID ADSORBED","","","tetanus toxoid adsorbed",FALSE,"tetanus toxoid adsorbed"
"FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)",11229,"FLUNARIZINE","FLUNARIZINE HYDROCHLORIDE","","","flunarizine (flunarizine hydrochloride)",FALSE,"flunarizine (flunarizine hydrochloride)"
"MEROPENEM",41,"MEROPENEM","MEROPENEM","","","meropenem",FALSE,"meropenem"
"VITAMIN C (SODIUM ASCORBATE)",646,"VITAMIN C","SODIUM ASCORBATE","","","vitamin C (sodium ascorbate)",FALSE,"vitamin C (sodium ascorbate)"
"TRICLOSAN",2813,"TRICLOSAN","TRICLOSAN","","","triclosan",FALSE,"triclosan"
"FOLLITROPIN BETA",11463,"FOLLITROPIN BETA","FOLLITROPIN BETA","","","follitropin beta",FALSE,"follitropin beta"
"CILAZAPRIL",951,"CILAZAPRIL","CILAZAPRIL","","","cilazapril",FALSE,"cilazapril"
"ROPINIROLE (ROPINIROLE HYDROCHLORIDE)",11516,"ROPINIROLE","ROPINIROLE HYDROCHLORIDE","","","ropinirole (ropinirole hydrochloride)",FALSE,"ropinirole (ropinirole hydrochloride)"
"ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)",13346,"ELETRIPTAN","ELETRIPTAN HYDROBROMIDE","","","eletriptan (eletriptan hydrobromide)",FALSE,"eletriptan (eletriptan hydrobromide)"
"PASIREOTIDE (Pasireotide diaspartate)",22149,"PASIREOTIDE","Pasireotide diaspartate","","","pasireotide (pasireotide diaspartate)",FALSE,"pasireotide (pasireotide diaspartate)"
"LENVATINIB (LENVATINIB MESYLATE)",22675,"LENVATINIB","LENVATINIB MESYLATE","","","lenvatinib (lenvatinib mesylate)",FALSE,"lenvatinib (lenvatinib mesylate)"
"CICLESONIDE",19961,"CICLESONIDE","CICLESONIDE","Y","CICLESONIDE","ciclesonide",FALSE,"ciclesonide"
"ALGLUCOSIDASE ALFA",19883,"ALGLUCOSIDASE ALFA","ALGLUCOSIDASE ALFA","","","alglucosidase alfa",FALSE,"alglucosidase alfa"
"POLYCARBOPHIL (CALCIUM POLYCARBOPHIL)",6584,"POLYCARBOPHIL","CALCIUM POLYCARBOPHIL","","","polycarbophil (calcium polycarbophil)",FALSE,"polycarbophil (calcium polycarbophil)"
"GLUTATHIONE DISULFIDE",1951,"GLUTATHIONE DISULFIDE","GLUTATHIONE DISULFIDE","","","glutathione disulfide",FALSE,"glutathione disulfide"
"DROMETRIZOLE TRISILOXANE",19130,"DROMETRIZOLE TRISILOXANE","DROMETRIZOLE TRISILOXANE","","","drometrizole trisiloxane",FALSE,"drometrizole trisiloxane"
"Dimethyl Fumarate",22048,"Dimethyl Fumarate","Dimethyl Fumarate","","","dimethyl fumarate",FALSE,"dimethyl fumarate"
"ALUMINUM CHLOROHYDRATE",6984,"ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE","","","aluminum chlorohydrate",TRUE,"aluminum chlorohydrate"
"SALICYLIC ACID",9766,"SALICYLIC ACID","SALICYLIC ACID","","","salicylic acid",FALSE,"salicylic acid"
"CEFEPIME (CEFEPIME HYDROCHLORIDE)",11359,"CEFEPIME","CEFEPIME HYDROCHLORIDE","","","cefepime (cefepime hydrochloride)",FALSE,"cefepime (cefepime hydrochloride)"
"IBUTILIDE FUMARATE",12005,"IBUTILIDE FUMARATE","IBUTILIDE FUMARATE",NA,NA,NA,NA,NA
"NIVOLUMAB",22643,"NIVOLUMAB","NIVOLUMAB","","","nivolumab",FALSE,"nivolumab"
"DEXTROAMPHETAMINE SULFATE",8298,"DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE SULFATE","Y","DEXTROAMPHETAMINE","dextroamphetamine",FALSE,"dextroamphetamine sulfate"
"GLYCINE",8865,"GLYCINE","GLYCINE","","","glycine",FALSE,"glycine"
"DESMOPRESSIN (DESMOPRESSIN ACETATE)",19910,"DESMOPRESSIN","DESMOPRESSIN ACETATE","","","desmopressin (desmopressin acetate)",FALSE,"desmopressin (desmopressin acetate)"
"THYROTROPIN ALFA",12790,"THYROTROPIN ALFA","THYROTROPIN ALFA","","","thyrotropin alfa",FALSE,"thyrotropin alfa"
"QUINAPRIL (QUINAPRIL HYDROCHLORIDE)",11161,"QUINAPRIL","QUINAPRIL HYDROCHLORIDE","Y","QUINAPRIL","quinapril",FALSE,"quinapril (quinapril hydrochloride)"
"IVACAFTOR",21511,"IVACAFTOR","IVACAFTOR","","","ivacaftor",FALSE,"ivacaftor"
"OXETACAINE",5201,"OXETACAINE","OXETACAINE","","","oxetacaine",FALSE,"oxetacaine"
"CALCIUM (CALCIUM CARBONATE)",4803,"CALCIUM","CALCIUM CARBONATE","","","calcium (calcium carbonate)",FALSE,"calcium (calcium carbonate)"
"OFLOXACIN",954,"OFLOXACIN","OFLOXACIN","","","ofloxacin",FALSE,"ofloxacin"
"PAROXETINE (PAROXETINE HYDROCHLORIDE)",11340,"PAROXETINE","PAROXETINE HYDROCHLORIDE","Y","PAROXETINE","paroxetine",FALSE,"paroxetine (paroxetine hydrochloride)"
"EFAVIRENZ",11857,"EFAVIRENZ","EFAVIRENZ","","","efavirenz",FALSE,"efavirenz"
"EPINEPHRINE RACEMIC",8917,"EPINEPHRINE RACEMIC","EPINEPHRINE RACEMIC","Y","EPINEPHRINE","epinephrine",FALSE,"epinephrine racemic"
"SIMVASTATIN",1221,"SIMVASTATIN","SIMVASTATIN","Y","SIMVASTATIN","simvastatin",FALSE,"simvastatin"
"Olodaterol (OLODATEROL HYDROCHLORIDE)",22094,"Olodaterol","OLODATEROL HYDROCHLORIDE","","","olodaterol (olodaterol hydrochloride)",FALSE,"olodaterol (olodaterol hydrochloride)"
"CHLORAMPHENICOL",16112,"CHLORAMPHENICOL","CHLORAMPHENICOL","","","chloramphenicol",FALSE,"chloramphenicol"
"LIDOCAINE HYDROCHLORIDE",10225,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE","","","lidocaine hydrochloride",FALSE,"lidocaine hydrochloride"
"RIFAMPIN",8566,"RIFAMPIN","RIFAMPIN","","","rifampin",FALSE,"rifampin"
"TESTOSTERONE",7485,"TESTOSTERONE","TESTOSTERONE","Y","TESTOSTERONE","testosterone",FALSE,"testosterone"
"TICLOPIDINE HYDROCHLORIDE",945,"TICLOPIDINE HYDROCHLORIDE","TICLOPIDINE HYDROCHLORIDE","","","ticlopidine hydrochloride",FALSE,"ticlopidine hydrochloride"
"CETUXIMAB",13175,"CETUXIMAB","CETUXIMAB","","","cetuximab",FALSE,"cetuximab"
"DANTROLENE SODIUM",2402,"DANTROLENE SODIUM","DANTROLENE SODIUM",NA,NA,NA,NA,NA
"Tapentadol (Tapentadol Hydrochloride)",20642,"Tapentadol","Tapentadol Hydrochloride","Y","","tapentadol",FALSE,"tapentadol (tapentadol hydrochloride)"
"BUPROPION HYDROCHLORIDE",11772,"BUPROPION HYDROCHLORIDE","BUPROPION HYDROCHLORIDE","Y","BUPROPION","bupropion",FALSE,"bupropion hydrochloride"
"HONEY BEE VENOM PROTEIN",2027,"HONEY BEE VENOM PROTEIN","HONEY BEE VENOM PROTEIN","","","honey bee venom protein",FALSE,"honey bee venom protein"
"CARBON DIOXIDE",2335,"CARBON DIOXIDE","CARBON DIOXIDE","","","carbon dioxide",FALSE,"carbon dioxide"
"PENICILLIN G BENZATHINE",11521,"PENICILLIN G BENZATHINE","PENICILLIN G BENZATHINE","","","penicillin g benzathine",FALSE,"penicillin g benzathine"
"PANITUMUMAB",20210,"PANITUMUMAB","PANITUMUMAB","","","panitumumab",FALSE,"panitumumab"
"Zinc sulfate monohydrate",21337,"Zinc sulfate monohydrate","Zinc sulfate monohydrate","","","zinc sulfate monohydrate",TRUE,"zinc sulfate monohydrate"
"Bromfenac (Bromfenac sodium sesquihydrate)",22591,"Bromfenac","Bromfenac sodium sesquihydrate","","","bromfenac (bromfenac sodium sesquihydrate)",TRUE,"bromfenac (bromfenac sodium sesquihydrate)"
"PHENTOLAMINE MESYLATE",5974,"PHENTOLAMINE MESYLATE","PHENTOLAMINE MESYLATE","","","phentolamine mesylate",FALSE,"phentolamine mesylate"
"GOLD SODIUM THIOMALATE",6469,"GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE","","","gold sodium thiomalate",FALSE,"gold sodium thiomalate"
"BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)",13053,"BORTEZOMIB","BORTEZOMIB MANNITOL BORONIC ESTER","","","bortezomib (bortezomib mannitol boronic ester)",FALSE,"bortezomib (bortezomib mannitol boronic ester)"
"EPTACOG ALFA (ACTIVATED)",13301,"EPTACOG ALFA","ACTIVATED","","","eptacog alfa (activated)",FALSE,"eptacog alfa (activated)"
"OSIMERTINIB (OSIMERTINIB MESYLATE)",22731,"OSIMERTINIB","OSIMERTINIB MESYLATE","","","osimertinib (osimertinib mesylate)",FALSE,"osimertinib (osimertinib mesylate)"
"AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)",424,"AZITHROMYCIN","AZITHROMYCIN DIHYDRATE","Y","AZITHROMYCIN","azithromycin",TRUE,"azithromycin"
"Vedolizumab",22569,"Vedolizumab","Vedolizumab","","","vedolizumab",FALSE,"vedolizumab"
"GADOXETATE DISODIUM",20566,"GADOXETATE DISODIUM","GADOXETATE DISODIUM","","","gadoxetate disodium",FALSE,"gadoxetate disodium"
"PRILOCAINE",5776,"PRILOCAINE","PRILOCAINE","","","prilocaine",FALSE,"prilocaine"
"FILAMENTOUS HAEMAGGLUTININ ADSORBED",20306,"FILAMENTOUS HAEMAGGLUTININ ADSORBED","FILAMENTOUS HAEMAGGLUTININ ADSORBED","","","filamentous haemagglutinin adsorbed",FALSE,"filamentous haemagglutinin adsorbed"
"ARIPIPRAZOLE",20435,"ARIPIPRAZOLE","ARIPIPRAZOLE","Y","ARIPIPRAZOLE","aripiprazole",FALSE,"aripiprazole"
"SOFOSBUVIR",22227,"SOFOSBUVIR","SOFOSBUVIR","","","sofosbuvir",FALSE,"sofosbuvir"
"LEVOTHYROXINE SODIUM",5325,"LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM","Y","LEVOTHYROXINE","levothyroxine",FALSE,"levothyroxine sodium"
"IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE)",11461,"IRINOTECAN HYDROCHLORIDE","IRINOTECAN HYDROCHLORIDE TRIHYDRATE","","","irinotecan hydrochloride (irinotecan hydrochloride trihydrate)",TRUE,"irinotecan hydrochloride (irinotecan hydrochloride trihydrate)"
"DYCLONINE HYDROCHLORIDE",5669,"DYCLONINE HYDROCHLORIDE","DYCLONINE HYDROCHLORIDE","","","dyclonine hydrochloride",FALSE,"dyclonine hydrochloride"
"PALBOCICLIB",22703,"PALBOCICLIB","PALBOCICLIB","","","palbociclib",FALSE,"palbociclib"
"BUTORPHANOL TARTRATE",2142,"BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE","Y","","butorphanol",FALSE,"butorphanol tartrate"
"CAPSAICIN",3610,"CAPSAICIN","CAPSAICIN",NA,NA,NA,NA,NA
"SUGAMMADEX (SUGAMMADEX SODIUM)",22686,"SUGAMMADEX","SUGAMMADEX SODIUM","","","sugammadex (sugammadex sodium)",FALSE,"sugammadex (sugammadex sodium)"
"TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)",5882,"TRANYLCYPROMINE","TRANYLCYPROMINE SULFATE","","","tranylcypromine (tranylcypromine sulfate)",FALSE,"tranylcypromine (tranylcypromine sulfate)"
"Recombinant Neisseria meningitidis group B NHBA fusion protein",22176,"Recombinant Neisseria meningitidis group B NHBA fusion protein","Recombinant Neisseria meningitidis group B NHBA fusion protein","","","recombinant neisseria meningitidis group b nhba fusion protein",FALSE,"recombinant neisseria meningitidis group b nhba fusion protein"
"GADOBUTROL",11922,"GADOBUTROL","GADOBUTROL","","","gadobutrol",FALSE,"gadobutrol"
"NALBUPHINE HYDROCHLORIDE",2008,"NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE","","","nalbuphine",FALSE,"nalbuphine hydrochloride"
"CLOXACILLIN (CLOXACILLIN SODIUM)",8375,"CLOXACILLIN","CLOXACILLIN SODIUM","","","cloxacillin (cloxacillin sodium)",FALSE,"cloxacillin (cloxacillin sodium)"
"THIOPENTAL SODIUM",8249,"THIOPENTAL SODIUM","THIOPENTAL SODIUM","","","thiopental sodium",FALSE,"thiopental sodium"
"ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)",11162,"ACEBUTOLOL","ACEBUTOLOL HYDROCHLORIDE","Y","ACEBUTOLOL","acebutolol",FALSE,"acebutolol (acebutolol hydrochloride)"
"VITAMIN A (RETINYL PALMITATE)",704,"VITAMIN A","RETINYL PALMITATE","","","vitamin A (retinyl palmitate)",FALSE,"vitamin A (retinyl palmitate)"
"EMTRICITABINE",16516,"EMTRICITABINE","EMTRICITABINE","","","emtricitabine",FALSE,"emtricitabine"
"MEFENAMIC ACID",10002,"MEFENAMIC ACID","MEFENAMIC ACID","","","mefenamic acid",FALSE,"mefenamic acid"
"DIATRIZOATE MEGLUMINE",10131,"DIATRIZOATE MEGLUMINE","DIATRIZOATE MEGLUMINE","","","diatrizoate meglumine",FALSE,"diatrizoate meglumine"
"EUCALYPTOL",9122,"EUCALYPTOL","EUCALYPTOL","","","eucalyptol",FALSE,"eucalyptol"
"D&C RED NO. 28",1769,"D&C RED NO. 28","D&C RED NO. 28","","","d&c red no. 28",FALSE,"d&c red no. 28"
"TRAMADOL HYDROCHLORIDE",13904,"TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","Y","TRAMADOL","tramadol",FALSE,"tramadol hydrochloride"
"AMPICILLIN (AMPICILLIN SODIUM)",8450,"AMPICILLIN","AMPICILLIN SODIUM","","","ampicillin (ampicillin sodium)",FALSE,"ampicillin (ampicillin sodium)"
"ICATIBANT (ICATIBANT ACETATE)",22341,"ICATIBANT","ICATIBANT ACETATE","","","icatibant (icatibant acetate)",FALSE,"icatibant (icatibant acetate)"
"SELEXIPAG",22681,"SELEXIPAG","SELEXIPAG","","","selexipag",FALSE,"selexipag"
"CANTHARIDIN",4322,"CANTHARIDIN","CANTHARIDIN","","","cantharidin",FALSE,"cantharidin"
"TRIAMTERENE",10190,"TRIAMTERENE","TRIAMTERENE","Y","TRIAMTERENE","triamterene",FALSE,"triamterene"
"DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)",11181,"DESIPRAMINE","DESIPRAMINE HYDROCHLORIDE","","","desipramine (desipramine hydrochloride)",FALSE,"desipramine (desipramine hydrochloride)"
"ZINC (ZINC GLUCONATE)",331,"ZINC","ZINC GLUCONATE","","","zinc (zinc gluconate)",FALSE,"zinc (zinc gluconate)"
"NELARABINE",16030,"NELARABINE","NELARABINE","","","nelarabine",FALSE,"nelarabine"
"EPLERENONE",20438,"EPLERENONE","EPLERENONE","","","eplerenone",FALSE,"eplerenone"
"VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE)",11336,"VENLAFAXINE","VENLAFAXINE HYDROCHLORIDE","Y","VENLAFAXINE","venlafaxine",FALSE,"venlafaxine (venlafaxine hydrochloride)"
"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY",7655,"INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY","V.C.O.","","","inactivated poliomyelitis vaccine (v.c.o.) type 1 mahoney",FALSE,"inactivated poliomyelitis vaccine (v.c.o.) type 1 mahoney"
"ATORVASTATIN (ATORVASTATIN CALCIUM)",11366,"ATORVASTATIN","ATORVASTATIN CALCIUM","Y","ATORVASTATIN","atorvastatin",FALSE,"atorvastatin (atorvastatin calcium)"
"TEMSIROLIMUS",20180,"TEMSIROLIMUS","TEMSIROLIMUS","","","temsirolimus",FALSE,"temsirolimus"
"OCTISALATE",12048,"OCTISALATE","OCTISALATE","","","octisalate",FALSE,"octisalate"
"Regorafenib",22042,"Regorafenib","Regorafenib","","","regorafenib",FALSE,"regorafenib"
"METHYLPREDNISOLONE ACETATE",7624,"METHYLPREDNISOLONE ACETATE","METHYLPREDNISOLONE ACETATE","","","methylprednisolone acetate",FALSE,"methylprednisolone acetate"
"CEFADROXIL",8348,"CEFADROXIL","CEFADROXIL","","","cefadroxil",FALSE,"cefadroxil"
"ESTRADIOL",7419,"ESTRADIOL","ESTRADIOL","Y","ESTRADIOL","estradiol",FALSE,"estradiol"
"MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE)",11188,"MIDAZOLAM","MIDAZOLAM HYDROCHLORIDE","","","midazolam (midazolam hydrochloride)",FALSE,"midazolam (midazolam hydrochloride)"
"CHLORPROMAZINE HYDROCHLORIDE",20237,"CHLORPROMAZINE HYDROCHLORIDE","CHLORPROMAZINE HYDROCHLORIDE","","","chlorpromazine hydrochloride",FALSE,"chlorpromazine hydrochloride"
"PROPAFENONE HYDROCHLORIDE",1893,"PROPAFENONE HYDROCHLORIDE","PROPAFENONE HYDROCHLORIDE","","","propafenone hydrochloride",FALSE,"propafenone hydrochloride"
"FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)",11347,"FLUPENTIXOL","FLUPENTIXOL DIHYDROCHLORIDE","","","flupentixol (flupentixol dihydrochloride)",FALSE,"flupentixol (flupentixol dihydrochloride)"
"PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE)",6500,"PHENYLEPHRINE","PHENYLEPHRINE HYDROCHLORIDE","Y","","phenylephrine",FALSE,"phenylephrine (phenylephrine hydrochloride)"
"ATROPINE SULFATE",8970,"ATROPINE SULFATE","ATROPINE SULFATE","","","atropine sulfate",FALSE,"atropine sulfate"
"CLIDINIUM BROMIDE",6301,"CLIDINIUM BROMIDE","CLIDINIUM BROMIDE","","","clidinium bromide",FALSE,"clidinium bromide"
"FLUOROMETHOLONE ACETATE",7577,"FLUOROMETHOLONE ACETATE","FLUOROMETHOLONE ACETATE",NA,NA,NA,NA,NA
"BROMPHENIRAMINE MALEATE",10205,"BROMPHENIRAMINE MALEATE","BROMPHENIRAMINE MALEATE","Y","","brompheniramine",FALSE,"brompheniramine maleate"
"PILOCARPINE NITRATE",6598,"PILOCARPINE NITRATE","PILOCARPINE NITRATE","","","pilocarpine nitrate",FALSE,"pilocarpine nitrate"
"ISOSORBIDE-5-MONONITRATE",1298,"ISOSORBIDE-5-MONONITRATE","ISOSORBIDE-5-MONONITRATE","Y","ISOSORBIDE-5-MONONITRATE","isosorbide mononitrate",FALSE,"isosorbide mononitrate"
"MOROCTOCOG ALFA",12787,"MOROCTOCOG ALFA","MOROCTOCOG ALFA","","","moroctocog alfa",FALSE,"moroctocog alfa"
"CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)",8344,"CEFTAZIDIME","CEFTAZIDIME PENTAHYDRATE","","","ceftazidime (ceftazidime pentahydrate)",TRUE,"ceftazidime (ceftazidime pentahydrate)"
"NITROGLYCERIN",9412,"NITROGLYCERIN","NITROGLYCERIN","Y","NITROGLYCERIN","nitroglycerin",FALSE,"nitroglycerin"
"PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE)",7630,"PREDNISOLONE","PREDNISOLONE SODIUM PHOSPHATE","Y","PREDNISOLONE","prednisolone",FALSE,"prednisolone (prednisolone sodium phosphate)"
"ERYTHROMYCIN",8618,"ERYTHROMYCIN","ERYTHROMYCIN","Y","ERYTHROMYCIN","erythromycin",FALSE,"erythromycin"
"ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)",7948,"ETHOPROPAZINE","ETHOPROPAZINE HYDROCHLORIDE","","","ethopropazine (ethopropazine hydrochloride)",FALSE,"ethopropazine (ethopropazine hydrochloride)"
"HYDROCORTISONE ACETATE",7531,"HYDROCORTISONE ACETATE","HYDROCORTISONE ACETATE","Y","HYDROCORTISONE","hydrocortisone",FALSE,"hydrocortisone acetate"
"VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)",701,"VITAMIN E","DL-ALPHA TOCOPHERYL ACETATE","","","vitamin E (dl-alpha tocopheryl acetate)",FALSE,"vitamin E (dl-alpha tocopheryl acetate)"
"ANETHOLE TRITHIONE",5080,"ANETHOLE TRITHIONE","ANETHOLE TRITHIONE","","","anethole trithione",FALSE,"anethole trithione"
"ALBUMIN",3275,"ALBUMIN","ALBUMIN","","","albumin",FALSE,"albumin"
"INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1",128,"INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1","D.C.O.","","","inactivated poliomyelitis vaccine (d.c.o.) type 2 mef1",FALSE,"inactivated poliomyelitis vaccine (d.c.o.) type 2 mef1"
"ESMOLOL HYDROCHLORIDE",20260,"ESMOLOL HYDROCHLORIDE","ESMOLOL HYDROCHLORIDE","","","esmolol hydrochloride",FALSE,"esmolol hydrochloride"
"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)",5000,"D-PANTOTHENIC ACID","CALCIUM D-PANTOTHENATE","","","d-pantothenic acid (calcium d-pantothenate)",FALSE,"d-pantothenic acid (calcium d-pantothenate)"
"ACAMPROSATE CALCIUM",20124,"ACAMPROSATE CALCIUM","ACAMPROSATE CALCIUM","","","acamprosate calcium",FALSE,"acamprosate calcium"
"ACITRETIN",1209,"ACITRETIN","ACITRETIN",NA,NA,NA,NA,NA
"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F",20656,"PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F","","","pneumococcal polysaccharide serotype 22f",FALSE,"pneumococcal polysaccharide serotype 22f"
"CEFOTAXIME SODIUM",8349,"CEFOTAXIME SODIUM","CEFOTAXIME SODIUM","","","cefotaxime sodium",FALSE,"cefotaxime sodium"
"DESONIDE",7512,"DESONIDE","DESONIDE","","","desonide",FALSE,"desonide"
"CEFUROXIME (CEFUROXIME SODIUM)",11118,"CEFUROXIME","CEFUROXIME SODIUM","","","cefuroxime (cefuroxime sodium)",FALSE,"cefuroxime (cefuroxime sodium)"
"CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)",8551,"CLINDAMYCIN","CLINDAMYCIN HYDROCHLORIDE","Y","CLINDAMYCIN","clindamycin",FALSE,"clindamycin (clindamycin hydrochloride)"
"BREXPIPRAZOLE",22853,"BREXPIPRAZOLE","BREXPIPRAZOLE","","","brexpiprazole",FALSE,"brexpiprazole"
"TADALAFIL",12346,"TADALAFIL","TADALAFIL","Y","TADALAFIL","tadalafil",FALSE,"tadalafil"
"INACTIVATED POLIOVIRUS TYPE I",11933,"INACTIVATED POLIOVIRUS TYPE I","INACTIVATED POLIOVIRUS TYPE I","","","inactivated poliovirus type i",FALSE,"inactivated poliovirus type i"
"METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE)",8029,"METHOTRIMEPRAZINE","METHOTRIMEPRAZINE HYDROCHLORIDE","","","methotrimeprazine (methotrimeprazine hydrochloride)",FALSE,"methotrimeprazine (methotrimeprazine hydrochloride)"
"Nebivolol (Nebivolol Hydrochloride)",21534,"Nebivolol","Nebivolol Hydrochloride","","","nebivolol (nebivolol hydrochloride)",FALSE,"nebivolol (nebivolol hydrochloride)"
"ARGATROBAN",12184,"ARGATROBAN","ARGATROBAN",NA,NA,NA,NA,NA
"FLUVOXAMINE MALEATE",1212,"FLUVOXAMINE MALEATE","FLUVOXAMINE MALEATE","","","fluvoxamine maleate",FALSE,"fluvoxamine maleate"
"HEPARIN SODIUM",9060,"HEPARIN SODIUM","HEPARIN SODIUM","","","heparin sodium",FALSE,"heparin sodium"
"NITROFURANTOIN",10196,"NITROFURANTOIN","NITROFURANTOIN","Y","NITROFURANTOIN","nitrofurantoin",FALSE,"nitrofurantoin"
"OCTREOTIDE (OCTREOTIDE ACETATE)",1255,"OCTREOTIDE","OCTREOTIDE ACETATE","","","octreotide (octreotide acetate)",FALSE,"octreotide (octreotide acetate)"
"OXYBUTYNIN CHLORIDE",10040,"OXYBUTYNIN CHLORIDE","OXYBUTYNIN CHLORIDE","Y","OXYBUTYNIN","oxybutynin",FALSE,"oxybutynin chloride"
"AZITHROMYCIN",424,"AZITHROMYCIN","AZITHROMYCIN","Y","AZITHROMYCIN","azithromycin",FALSE,"azithromycin"
"AMPICILLIN",8450,"AMPICILLIN","AMPICILLIN","","","ampicillin",FALSE,"ampicillin"
"ACETYLCHOLINE CHLORIDE",4957,"ACETYLCHOLINE CHLORIDE","ACETYLCHOLINE CHLORIDE","","","acetylcholine chloride",FALSE,"acetylcholine chloride"
"DELAVIRDINE MESYLATE",11786,"DELAVIRDINE MESYLATE","DELAVIRDINE MESYLATE","","","delavirdine mesylate",FALSE,"delavirdine mesylate"
"OLSALAZINE SODIUM",1226,"OLSALAZINE SODIUM","OLSALAZINE SODIUM","","","olsalazine sodium",FALSE,"olsalazine sodium"
