"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f"
40001,"solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"134","SOLUTION","Solution"
40019,"suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"19","EMULSION","Émulsion"
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"55","POWDER","Poudre"
40017,"powder for solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"134","SOLUTION","Solution"
40019,"suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire, Intralésionnelle, Intramusculaire, Intraveineuse, Injection dans les tissus mous","34","LIQUID","Liquide"
40001,"solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","34","LIQUID","Liquide"
40019,"suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","79","SUSPENSION","Suspension"
40015,"emulsion for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","55","POWDER","Poudre"
40017,"powder for solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","134","SOLUTION","Solution"
40020,"prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40019,"suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","79","SUSPENSION","Suspension"
40015,"emulsion for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","19","EMULSION","Émulsion"
40001,"solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","34","LIQUID","Liquide"
40016,"powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","55","POWDER","Poudre"
40017,"powder for solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","134","SOLUTION","Solution"
40020,"prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","34","LIQUID","Liquide"
40001,"solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","134","SOLUTION","Solution"
40015,"emulsion for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","55","POWDER","Poudre"
40017,"powder for solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide"
40001,"solution for injection","13","INTRABURSAL",NA,"134","SOLUTION","Solution"
40019,"suspension for injection","13","INTRABURSAL",NA,"79","SUSPENSION","Suspension"
40001,"solution for injection","14","INTRACARDIAC",NA,"134","SOLUTION","Solution"
40001,"solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution"
40015,"emulsion for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion"
40001,"solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide"
40016,"powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre"
40017,"powder for solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","14-49","INTRACARDIAC, INTRAVENOUS","Intracardiaque, Intraveineuse","134","SOLUTION","Solution"
40001,"solution for injection","4","INTRACAUDAL",NA,"134","SOLUTION","Solution"
40001,"solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","34","LIQUID","Liquide"
40017,"powder for solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","17","INTRACAVITARY",NA,"34","LIQUID","Liquide"
40017,"powder for solution for injection","17","INTRACAVITARY",NA,"56","POWDER FOR SOLUTION","Poudre pour solution"
40033,"endocervical gel","95","INTRACERVICAL","Intracervicale","114","GEL","Gel"
40001,"solution for injection","16","INTRACRANIAL","Intracrâniale","134","SOLUTION","Solution"
40001,"solution for injection","18","INTRACUTANEOUS",NA,"34","LIQUID","Liquide"
40001,"solution for injection","18","INTRACUTANEOUS",NA,"134","SOLUTION","Solution"
40001,"solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée, Sous-cutanée","34","LIQUID","Liquide"
40001,"solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée, Sous-cutanée","134","SOLUTION","Solution"
40001,"solution for injection","19","INTRADERMAL","Intradermique","34","LIQUID","Liquide"
40017,"powder for solution for injection","19","INTRADERMAL","Intradermique","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","19","INTRADERMAL","Intradermique","134","SOLUTION","Solution"
40019,"suspension for injection","19","INTRADERMAL","Intradermique","79","SUSPENSION","Suspension"
40001,"solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","34","LIQUID","Liquide"
40001,"solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","134","SOLUTION","Solution"
40017,"powder for solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40019,"suspension for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","79","SUSPENSION","Suspension"
40001,"solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","34","LIQUID","Liquide"
40017,"powder for solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","134","SOLUTION","Solution"
40019,"suspension for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","79","SUSPENSION","Suspension"
40001,"solution for injection","19-70","INTRADERMAL, TOPICAL","Intradermique, Topique","34","LIQUID","Liquide"
40001,"solution for injection","82","INTRAGANGLIONAL","Intraganglionnaire","134","SOLUTION","Solution"
40034,"intestinal gel","100","INTRAINTESTINAL (UPPER)","Intraintestinale (supérieur)","114","GEL","Gel"
40017,"powder for solution for injection","21","INTRALESIONAL","Intralésionnelle","56","POWDER FOR SOLUTION","Poudre pour solution"
40019,"suspension for injection","21","INTRALESIONAL","Intralésionnelle","79","SUSPENSION","Suspension"
40001,"solution for injection","21","INTRALESIONAL","Intralésionnelle","34","LIQUID","Liquide"
40015,"emulsion for injection","22","INTRAMUSCULAR","Intramusculaire","19","EMULSION","Émulsion"
40001,"solution for injection","22","INTRAMUSCULAR","Intramusculaire","34","LIQUID","Liquide"
40016,"powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","55","POWDER","Poudre"
40017,"powder for solution for injection","22","INTRAMUSCULAR","Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","22","INTRAMUSCULAR","Intramusculaire","134","SOLUTION","Solution"
40019,"suspension for injection","22","INTRAMUSCULAR","Intramusculaire","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)",NA
40020,"prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40006,"kit","22","INTRAMUSCULAR","Intramusculaire","32","KIT","Trousse"
40001,"solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide"
40017,"powder for solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution"
40015,"emulsion for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre"
40016,"powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40017,"powder for solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40015,"emulsion for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion"
40001,"solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide"
40016,"powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre"
40016,"powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40001,"solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution"
40019,"suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40001,"solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","34","LIQUID","Liquide"
40001,"solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","134","SOLUTION","Solution"
40015,"emulsion for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","19","EMULSION","Émulsion"
40016,"powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","55","POWDER","Poudre"
40017,"powder for solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","19","EMULSION","Émulsion"
40001,"solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","34","LIQUID","Liquide"
40016,"powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","55","POWDER","Poudre"
40017,"powder for solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","134","SOLUTION","Solution"
40016,"powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion"
40001,"solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide"
40017,"powder for solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution"
40016,"powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","55","POWDER","Poudre"
40016,"powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40018,"powder for prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40019,"suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension"
40020,"prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40015,"emulsion for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","19","EMULSION","Émulsion"
40001,"solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","34","LIQUID","Liquide"
40017,"powder for solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution"
40016,"powder for suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension"
40001,"solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","134","SOLUTION","Solution"
40019,"suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","79","SUSPENSION","Suspension"
40016,"powder for suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","55","POWDER","Poudre"
40018,"powder for prolonged-release suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée"
40020,"prolonged-release suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)"
40017,"powder for solution for injection","22-70","INTRAMUSCULAR, TOPICAL","Intramusculaire, Topique","56","POWDER FOR SOLUTION","Poudre pour solution"
40001,"solution for injection","32","INTRAOCULAR","Intraoculaire","12","DROPS","Gouttes"
40001,"solution for injection","32","INTRAOCULAR","Intraoculaire","134","SOLUTION","Solution"
