ccdd	top250name	dpd_ingredient	ing_stem	hydrate	ntp_ing
		CAPTOPRIL	CAPTOPRIL	FALSE	CAPTOPRIL
		CARBACHOL	CARBACHOL	FALSE	CARBACHOL
Y	CARBAMAZEPINE	CARBAMAZEPINE	CARBAMAZEPINE	FALSE	CARBAMAZEPINE
		CARBETOCIN	CARBETOCIN	FALSE	CARBETOCIN
Y	CARBIDOPA	CARBIDOPA	CARBIDOPA	FALSE	CARBIDOPA
Y	CARBIDOPA	CARBIDOPA (CARBIDOPA MONOHYDRATE)	CARBIDOPA	TRUE	CARBIDOPA
		CARBON DIOXIDE	CARBON DIOXIDE	FALSE	CARBON DIOXIDE
		CARBON MONOXIDE	CARBON MONOXIDE	FALSE	CARBON MONOXIDE
		CARBOPLATIN	CARBOPLATIN	FALSE	CARBOPLATIN
		CARBOPROST (CARBOPROST TROMETHAMINE)	CARBOPROST (CARBOPROST TROMETHAMINE)	FALSE	CARBOPROST (CARBOPROST TROMETHAMINE)
		CARFILZOMIB	CARFILZOMIB	FALSE	CARFILZOMIB
		Carglumic Acid	Carglumic Acid	FALSE	Carglumic Acid
		CARMUSTINE	CARMUSTINE	FALSE	CARMUSTINE
Y	CARVEDILOL	CARVEDILOL	CARVEDILOL	FALSE	CARVEDILOL
		CASPOFUNGIN (CASPOFUNGIN ACETATE)	CASPOFUNGIN (CASPOFUNGIN ACETATE)	FALSE	CASPOFUNGIN (CASPOFUNGIN ACETATE)
		CAT (FELIS DOMESTICUS) PELT AND CAT DANDER	CAT (FELIS DOMESTICUS) PELT AND CAT DANDER	FALSE	CAT (FELIS DOMESTICUS) PELT AND CAT DANDER
		Catridecacog	Catridecacog	FALSE	Catridecacog
		CEFACLOR	CEFACLOR	FALSE	CEFACLOR
		CEFADROXIL	CEFADROXIL	FALSE	CEFADROXIL
		CEFADROXIL (CEFADROXIL MONOHYDRATE)	CEFADROXIL (CEFADROXIL MONOHYDRATE)	TRUE	CEFADROXIL (CEFADROXIL MONOHYDRATE)
		CEFAZOLIN (CEFAZOLIN SODIUM)	CEFAZOLIN (CEFAZOLIN SODIUM)	FALSE	CEFAZOLIN (CEFAZOLIN SODIUM)
		CEFEPIME (CEFEPIME HYDROCHLORIDE)	CEFEPIME (CEFEPIME HYDROCHLORIDE)	FALSE	CEFEPIME (CEFEPIME HYDROCHLORIDE)
		CEFIXIME	CEFIXIME	FALSE	CEFIXIME
		CEFOTAXIME (CEFOTAXIME SODIUM)	CEFOTAXIME (CEFOTAXIME SODIUM)	FALSE	CEFOTAXIME (CEFOTAXIME SODIUM)
		CEFOTAXIME SODIUM	CEFOTAXIME SODIUM	FALSE	CEFOTAXIME SODIUM
		CEFOXITIN (CEFOXITIN SODIUM)	CEFOXITIN (CEFOXITIN SODIUM)	FALSE	CEFOXITIN (CEFOXITIN SODIUM)
Y	CEFPROZIL	CEFPROZIL	CEFPROZIL	FALSE	CEFPROZIL
Y	CEFPROZIL	CEFPROZIL (CEFPROZIL MONOHYDRATE)	CEFPROZIL	TRUE	CEFPROZIL
		CEFTAZIDIME	CEFTAZIDIME	FALSE	CEFTAZIDIME
		CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)	CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)	TRUE	CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)
		CEFTOLOZANE (CEFTOLOZANE SULFATE)	CEFTOLOZANE (CEFTOLOZANE SULFATE)	FALSE	CEFTOLOZANE (CEFTOLOZANE SULFATE)
		CEFTRIAXONE (CEFTRIAXONE SODIUM)	CEFTRIAXONE (CEFTRIAXONE SODIUM)	FALSE	CEFTRIAXONE (CEFTRIAXONE SODIUM)
		CEFUROXIME (CEFUROXIME AXETIL)	CEFUROXIME (CEFUROXIME AXETIL)	FALSE	CEFUROXIME (CEFUROXIME AXETIL)
		CEFUROXIME (CEFUROXIME SODIUM)	CEFUROXIME (CEFUROXIME SODIUM)	FALSE	CEFUROXIME (CEFUROXIME SODIUM)
Y	CELECOXIB	CELECOXIB	CELECOXIB	FALSE	CELECOXIB
Y	CEPHALEXIN	CEPHALEXIN	CEPHALEXIN	FALSE	CEPHALEXIN
Y	CEPHALEXIN	CEPHALEXIN (CEPHALEXIN MONOHYDRATE)	CEPHALEXIN	TRUE	CEPHALEXIN
		CERITINIB	CERITINIB	FALSE	CERITINIB
		CERTOLIZUMAB PEGOL	CERTOLIZUMAB PEGOL	FALSE	CERTOLIZUMAB PEGOL
Y	CETIRIZINE	CETIRIZINE HYDROCHLORIDE	CETIRIZINE	FALSE	CETIRIZINE HYDROCHLORIDE
		CETRIMIDE	CETRIMIDE	FALSE	CETRIMIDE
		CETRIMONIUM BROMIDE	CETRIMONIUM BROMIDE	FALSE	CETRIMONIUM BROMIDE
		CETRORELIX (CETRORELIX ACETATE)	CETRORELIX (CETRORELIX ACETATE)	FALSE	CETRORELIX (CETRORELIX ACETATE)
		CETUXIMAB	CETUXIMAB	FALSE	CETUXIMAB
		CETYLPYRIDINIUM CHLORIDE	CETYLPYRIDINIUM CHLORIDE	FALSE	CETYLPYRIDINIUM CHLORIDE
		CHARCOAL ACTIVATED	CHARCOAL ACTIVATED	FALSE	CHARCOAL ACTIVATED
		CHLORAL HYDRATE	CHLORAL HYDRATE	FALSE	CHLORAL HYDRATE
		CHLORAMPHENICOL	CHLORAMPHENICOL	FALSE	CHLORAMPHENICOL
		CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)	CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)	FALSE	CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)
		CHLORDIAZEPOXIDE HYDROCHLORIDE	CHLORDIAZEPOXIDE HYDROCHLORIDE	FALSE	CHLORDIAZEPOXIDE HYDROCHLORIDE
Y	CHLORHEXIDINE	CHLORHEXIDINE ACETATE	CHLORHEXIDINE	FALSE	CHLORHEXIDINE ACETATE
Y	CHLORHEXIDINE	CHLORHEXIDINE GLUCONATE	CHLORHEXIDINE	FALSE	CHLORHEXIDINE GLUCONATE
		CHLOROBUTANOL	CHLOROBUTANOL	FALSE	CHLOROBUTANOL
		CHLOROQUINE DIPHOSPHATE	CHLOROQUINE DIPHOSPHATE	FALSE	CHLOROQUINE DIPHOSPHATE
		CHLOROXYLENOL	CHLOROXYLENOL	FALSE	CHLOROXYLENOL
		CHLORPHENIRAMINE MALEATE	CHLORPHENIRAMINE MALEATE	FALSE	CHLORPHENIRAMINE MALEATE
		CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)	CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)	FALSE	CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)
		CHLORPROMAZINE HYDROCHLORIDE	CHLORPROMAZINE HYDROCHLORIDE	FALSE	CHLORPROMAZINE HYDROCHLORIDE
		CHLORPROPAMIDE	CHLORPROPAMIDE	FALSE	CHLORPROPAMIDE
		CHLORTHALIDONE	CHLORTHALIDONE	FALSE	CHLORTHALIDONE
		CHLORZOXAZONE	CHLORZOXAZONE	FALSE	CHLORZOXAZONE
		CHOLESTYRAMINE RESIN	CHOLESTYRAMINE RESIN	FALSE	CHOLESTYRAMINE RESIN
		CHOLINE	CHOLINE	FALSE	CHOLINE
		CHOLINE BITARTRATE	CHOLINE BITARTRATE	FALSE	CHOLINE BITARTRATE
		CHORIOGONADOTROPIN ALPHA	CHORIOGONADOTROPIN ALPHA	FALSE	CHORIOGONADOTROPIN ALPHA
		CHORIONIC GONADOTROPIN	CHORIONIC GONADOTROPIN	FALSE	CHORIONIC GONADOTROPIN
		CHROMIC CHLORIDE	CHROMIC CHLORIDE	FALSE	CHROMIC CHLORIDE
		CHROMIUM (CHROMIC CHLORIDE)	CHROMIUM (CHROMIC CHLORIDE)	FALSE	CHROMIUM (CHROMIC CHLORIDE)
		CHROMIUM (CHROMIUM HVP CHELATE)	CHROMIUM (CHROMIUM HVP CHELATE)	FALSE	CHROMIUM (CHROMIUM HVP CHELATE)
Y	CICLESONIDE	CICLESONIDE	CICLESONIDE	FALSE	CICLESONIDE
Y	CICLOPIROX	CICLOPIROX	CICLOPIROX	FALSE	CICLOPIROX
Y	CICLOPIROX	CICLOPIROX OLAMINE	CICLOPIROX	FALSE	CICLOPIROX OLAMINE
		CILASTATIN (CILASTATIN SODIUM)	CILASTATIN (CILASTATIN SODIUM)	FALSE	CILASTATIN (CILASTATIN SODIUM)
		CILAZAPRIL	CILAZAPRIL	FALSE	CILAZAPRIL
		CILAZAPRIL (CILAZAPRIL MONOHYDRATE)	CILAZAPRIL (CILAZAPRIL MONOHYDRATE)	TRUE	CILAZAPRIL (CILAZAPRIL MONOHYDRATE)
		CIMETIDINE	CIMETIDINE	FALSE	CIMETIDINE
		CIMETIDINE (CIMETIDINE HYDROCHLORIDE)	CIMETIDINE (CIMETIDINE HYDROCHLORIDE)	FALSE	CIMETIDINE (CIMETIDINE HYDROCHLORIDE)
		CINACALCET (CINACALCET HYDROCHLORIDE)	CINACALCET (CINACALCET HYDROCHLORIDE)	FALSE	CINACALCET (CINACALCET HYDROCHLORIDE)
Y	CIPROFLOXACIN	CIPROFLOXACIN	CIPROFLOXACIN	FALSE	CIPROFLOXACIN
Y	CIPROFLOXACIN	CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)	CIPROFLOXACIN	FALSE	CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)
Y	CIPROFLOXACIN	"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)"	CIPROFLOXACIN	FALSE	"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)"
Y	CIPROFLOXACIN	CIPROFLOXACIN (CIPROFLOXACIN LACTATE)	CIPROFLOXACIN	FALSE	CIPROFLOXACIN (CIPROFLOXACIN LACTATE)
		CISATRACURIUM (CISATRACURIUM BESYLATE)	CISATRACURIUM (CISATRACURIUM BESYLATE)	FALSE	CISATRACURIUM (CISATRACURIUM BESYLATE)
		CISPLATIN	CISPLATIN	FALSE	CISPLATIN
Y	CITALOPRAM	CITALOPRAM (CITALOPRAM HYDROBROMIDE)	CITALOPRAM	FALSE	CITALOPRAM (CITALOPRAM HYDROBROMIDE)
		CITRIC ACID	CITRIC ACID	FALSE	CITRIC ACID
		CITRIC ACID MONOHYDRATE	CITRIC ACID MONOHYDRATE	TRUE	CITRIC ACID MONOHYDRATE
		CLADRIBINE	CLADRIBINE	FALSE	CLADRIBINE
Y	CLARITHROMYCIN	CLARITHROMYCIN	CLARITHROMYCIN	FALSE	CLARITHROMYCIN
Y	CLAVULANIC ACID	CLAVULANIC ACID (CLAVULANATE POTASSIUM)	CLAVULANIC ACID	FALSE	CLAVULANIC ACID (POTASSIUM CLAVULANATE)
Y	CLAVULANIC ACID	CLAVULANIC ACID (POTASSIUM CLAVULANATE)	CLAVULANIC ACID	FALSE	CLAVULANIC ACID (POTASSIUM CLAVULANATE)
		CLIDINIUM BROMIDE	CLIDINIUM BROMIDE	FALSE	CLIDINIUM BROMIDE
Y	CLINDAMYCIN	CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)	CLINDAMYCIN	FALSE	CLINDAMYCIN (CLINDAMYCIN PALMITATE HYDROCHLORIDE)
Y	CLINDAMYCIN	CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)	CLINDAMYCIN	FALSE	CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)
Y	CLINDAMYCIN	CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)	CLINDAMYCIN	FALSE	CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)
Y	CLINDAMYCIN	CLINDAMYCIN HYDROCHLORIDE	CLINDAMYCIN	FALSE	CLINDAMYCIN HYDROCHLORIDE
Y	CLINDAMYCIN	CLINDAMYCIN PHOSPHATE	CLINDAMYCIN	FALSE	CLINDAMYCIN PHOSPHATE
		CLIOQUINOL	CLIOQUINOL	FALSE	CLIOQUINOL
Y	CLOBAZAM	CLOBAZAM	CLOBAZAM	FALSE	CLOBAZAM
Y	CLOBETASOL	CLOBETASOL PROPIONATE	CLOBETASOL	FALSE	CLOBETASOL PROPIONATE
		CLOBETASONE BUTYRATE	CLOBETASONE BUTYRATE	FALSE	CLOBETASONE BUTYRATE
		CLODRONATE DISODIUM	CLODRONATE DISODIUM	FALSE	CLODRONATE DISODIUM
		CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)	CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)	TRUE	CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)
		CLOFARABINE	CLOFARABINE	FALSE	CLOFARABINE
		CLOFEDANOL HYDROCHLORIDE	CLOFEDANOL HYDROCHLORIDE	FALSE	CLOFEDANOL HYDROCHLORIDE
		CLOMIPRAMINE HYDROCHLORIDE	CLOMIPRAMINE HYDROCHLORIDE	FALSE	CLOMIPRAMINE HYDROCHLORIDE
Y	CLONAZEPAM	CLONAZEPAM	CLONAZEPAM	FALSE	CLONAZEPAM
Y	CLONIDINE	CLONIDINE HYDROCHLORIDE	CLONIDINE	FALSE	CLONIDINE HYDROCHLORIDE
Y	CLOPIDOGREL	CLOPIDOGREL (CLOPIDOGREL BISULFATE)	CLOPIDOGREL	FALSE	CLOPIDOGREL (CLOPIDOGREL BISULFATE)
		CLORAZEPATE DIPOTASSIUM	CLORAZEPATE DIPOTASSIUM	FALSE	CLORAZEPATE DIPOTASSIUM
		CLOTRIMAZOLE	CLOTRIMAZOLE	FALSE	CLOTRIMAZOLE
		CLOXACILLIN (CLOXACILLIN SODIUM)	CLOXACILLIN (CLOXACILLIN SODIUM)	FALSE	CLOXACILLIN (CLOXACILLIN SODIUM)
		CLOXACILLIN SODIUM	CLOXACILLIN SODIUM	FALSE	CLOXACILLIN SODIUM
Y	CLOZAPINE	CLOZAPINE	CLOZAPINE	FALSE	CLOZAPINE
		COAGULATION FACTOR II (HUMAN)	COAGULATION FACTOR II (HUMAN)	FALSE	COAGULATION FACTOR II (HUMAN)
		COAGULATION FACTOR IX (HUMAN)	COAGULATION FACTOR IX (HUMAN)	FALSE	COAGULATION FACTOR IX (HUMAN)
		COAGULATION FACTOR IX (RECOMBINANT)	COAGULATION FACTOR IX (RECOMBINANT)	FALSE	COAGULATION FACTOR IX (RECOMBINANT)
		COAGULATION FACTOR VII (HUMAN)	COAGULATION FACTOR VII (HUMAN)	FALSE	COAGULATION FACTOR VII (HUMAN)
		COAGULATION FACTOR X (HUMAN)	COAGULATION FACTOR X (HUMAN)	FALSE	COAGULATION FACTOR X (HUMAN)
		COAL TAR	COAL TAR	FALSE	COAL TAR
		Cobicistat	Cobicistat	FALSE	Cobicistat
		COBIMETINIB (COBIMETINIB FUMARATE)	COBIMETINIB (COBIMETINIB FUMARATE)	FALSE	COBIMETINIB (COBIMETINIB FUMARATE)
		COCAINE HYDROCHLORIDE	COCAINE HYDROCHLORIDE	FALSE	COCAINE HYDROCHLORIDE
		COCOA BUTTER	COCOA BUTTER	FALSE	COCOA BUTTER
Y	CODEINE	"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)"	CODEINE	TRUE	"CODEINE (CODEINE,  CODEINE SULFATE)"
Y	CODEINE	CODEINE PHOSPHATE	CODEINE	FALSE	CODEINE PHOSPHATE
Y	COLCHICINE	COLCHICINE	COLCHICINE	FALSE	COLCHICINE
		Colesevelam hydrochloride	Colesevelam hydrochloride	FALSE	Colesevelam hydrochloride
		COLESTIPOL HYDROCHLORIDE	COLESTIPOL HYDROCHLORIDE	FALSE	COLESTIPOL HYDROCHLORIDE
		COLISTIN (COLISTIMETHATE SODIUM)	COLISTIN (COLISTIMETHATE SODIUM)	FALSE	COLISTIN (COLISTIMETHATE SODIUM)
		COLLAGEN	COLLAGEN	FALSE	COLLAGEN
		COLLAGENASE	COLLAGENASE	FALSE	COLLAGENASE
Y	"ESTROGENIC SUB,CONJUGATED"	CONJUGATED ESTROGENS	CONJUGATED ESTROGENS	FALSE	CONJUGATED ESTROGENS
		COPPER (COPPER SULFATE)	COPPER (COPPER SULFATE)	FALSE	COPPER (COPPER SULFATE)
		COPPER (CUPRIC OXIDE)	COPPER (CUPRIC OXIDE)	FALSE	COPPER (CUPRIC OXIDE)
		CORBADRINE (CORBADRINE HYDROCHLORIDE)	CORBADRINE (CORBADRINE HYDROCHLORIDE)	FALSE	CORBADRINE (CORBADRINE HYDROCHLORIDE)
		CORTISONE ACETATE	CORTISONE ACETATE	FALSE	CORTISONE ACETATE
		CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN	CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN	FALSE	CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN
		Crizotinib	Crizotinib	FALSE	Crizotinib
		CROMOLYN SODIUM	CROMOLYN SODIUM	FALSE	CROMOLYN SODIUM
		CROTAMITON	CROTAMITON	FALSE	CROTAMITON
		CUPRIC CHLORIDE	CUPRIC CHLORIDE	FALSE	CUPRIC CHLORIDE
Y	CYCLOBENZAPRINE	CYCLOBENZAPRINE HYDROCHLORIDE	CYCLOBENZAPRINE	FALSE	CYCLOBENZAPRINE HYDROCHLORIDE
		CYCLOPENTOLATE HYDROCHLORIDE	CYCLOPENTOLATE	FALSE	CYCLOPENTOLATE HYDROCHLORIDE
		CYCLOPHOSPHAMIDE	CYCLOPHOSPHAMIDE	FALSE	CYCLOPHOSPHAMIDE
		CYCLOSPORINE	CYCLOSPORINE	FALSE	CYCLOSPORINE
		CYPROHEPTADINE HYDROCHLORIDE	CYPROHEPTADINE HYDROCHLORIDE	FALSE	CYPROHEPTADINE HYDROCHLORIDE
Y	CYPROTERONE	CYPROTERONE ACETATE	CYPROTERONE	FALSE	CYPROTERONE ACETATE
		CYTARABINE	CYTARABINE	FALSE	CYTARABINE
		CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)	CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)	FALSE	CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)
		D&C RED NO. 28	D&C RED NO. 28	FALSE	D&C RED NO. 28
Y	DABIGATRAN ETEXILATE	DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)	DABIGATRAN	FALSE	DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)
		Dabrafenib (Dabrafenib mesylate)	Dabrafenib (Dabrafenib mesylate)	FALSE	Dabrafenib (Dabrafenib mesylate)
		Daclatasvir (Daclatasvir Dihydrochloride)	Daclatasvir (Daclatasvir Dihydrochloride)	FALSE	Daclatasvir (Daclatasvir Dihydrochloride)
		DACLIZUMAB BETA	DACLIZUMAB BETA	FALSE	DACLIZUMAB BETA
		DACTINOMYCIN	DACTINOMYCIN	FALSE	DACTINOMYCIN
		DALTEPARIN SODIUM	DALTEPARIN SODIUM	FALSE	DALTEPARIN SODIUM
		DANAPAROID SODIUM	DANAPAROID SODIUM	FALSE	DANAPAROID SODIUM
		DANAZOL	DANAZOL	FALSE	DANAZOL
		Dapagliflozin (Dapagliflozin propanediol monohydrate)	Dapagliflozin (Dapagliflozin propanediol monohydrate)	TRUE	Dapagliflozin (Dapagliflozin propanediol monohydrate)
		DAPSONE	DAPSONE	FALSE	DAPSONE
		DAPTOMYCIN	DAPTOMYCIN	FALSE	DAPTOMYCIN
		DARATUMUMAB	DARATUMUMAB	FALSE	DARATUMUMAB
		DARBEPOETIN ALFA	DARBEPOETIN ALFA	FALSE	DARBEPOETIN ALFA
		DARIFENACIN (DARIFENACIN HYDROBROMIDE)	DARIFENACIN (DARIFENACIN HYDROBROMIDE)	FALSE	DARIFENACIN (DARIFENACIN HYDROBROMIDE)
		DARUNAVIR (DARUNAVIR ETHANOLATE)	DARUNAVIR (DARUNAVIR ETHANOLATE)	FALSE	DARUNAVIR (DARUNAVIR ETHANOLATE)
		Dasabuvir (Dasabuvir sodium monohydrate)	Dasabuvir (Dasabuvir sodium monohydrate)	TRUE	Dasabuvir (Dasabuvir sodium monohydrate)
		DASATINIB (DASATINIB MONOHYDRATE)	DASATINIB (DASATINIB MONOHYDRATE)	TRUE	DASATINIB (DASATINIB MONOHYDRATE)
		DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)	DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)	FALSE	DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)
		DEFERASIROX	DEFERASIROX	FALSE	DEFERASIROX
		Deferiprone	Deferiprone	FALSE	Deferiprone
		DEFEROXAMINE MESYLATE	DEFEROXAMINE MESYLATE	FALSE	DEFEROXAMINE MESYLATE
		DEGARELIX (DEGARELIX ACETATE)	DEGARELIX (DEGARELIX ACETATE)	FALSE	DEGARELIX (DEGARELIX ACETATE)
		DELAVIRDINE MESYLATE	DELAVIRDINE MESYLATE	FALSE	DELAVIRDINE MESYLATE
		DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)	DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)	FALSE	DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)
		DENOSUMAB	DENOSUMAB	FALSE	DENOSUMAB
		DEOXYCHOLIC ACID	DEOXYCHOLIC ACID	FALSE	DEOXYCHOLIC ACID
		DEQUALINIUM CHLORIDE	DEQUALINIUM CHLORIDE	FALSE	DEQUALINIUM CHLORIDE
		DERMATOPHAGOIDES FARINAE	DERMATOPHAGOIDES FARINAE	FALSE	DERMATOPHAGOIDES FARINAE
		DERMATOPHAGOIDES PTERONYSSINUS	DERMATOPHAGOIDES PTERONYSSINUS	FALSE	DERMATOPHAGOIDES PTERONYSSINUS
		DESFLURANE	DESFLURANE	FALSE	DESFLURANE
		DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)	DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)	FALSE	DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)
		DESIPRAMINE HYDROCHLORIDE	DESIPRAMINE HYDROCHLORIDE	FALSE	DESIPRAMINE HYDROCHLORIDE
		DESLORATADINE	DESLORATADINE	FALSE	DESLORATADINE
		DESMOPRESSIN (DESMOPRESSIN ACETATE)	DESMOPRESSIN (DESMOPRESSIN ACETATE)	FALSE	DESMOPRESSIN (DESMOPRESSIN ACETATE)
		DESMOPRESSIN ACETATE	DESMOPRESSIN ACETATE	FALSE	DESMOPRESSIN ACETATE
		DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)	DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)	TRUE	DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)
Y	DESOGESTREL	DESOGESTREL	DESOGESTREL	FALSE	DESOGESTREL
		DESONIDE	DESONIDE	FALSE	DESONIDE
		DESOXIMETASONE	DESOXIMETASONE	FALSE	DESOXIMETASONE
Y	DESVENLAFAXINE	DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)	DESVENLAFAXINE	FALSE	DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE)
Y	DEXAMETHASONE	DEXAMETHASONE	DEXAMETHASONE (BASE)	FALSE	DEXAMETHASONE
Y	DEXAMETHASONE	DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)	DEXAMETHASONE (BASE)	FALSE	DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE)
Y	DEXAMETHASONE	DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)	DEXAMETHASONE (BASE)	FALSE	DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE)
Y	DEXAMETHASONE	DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)	DEXAMETHASONE PHOSPHATE	FALSE	DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE)
Y	DEXAMETHASONE	DEXAMETHASONE SODIUM PHOSPHATE	DEXAMETHASONE SODIUM PHOSPHATE	FALSE	DEXAMETHASONE SODIUM PHOSPHATE
		DEXBROMPHENIRAMINE MALEATE	DEXBROMPHENIRAMINE MALEATE	FALSE	DEXBROMPHENIRAMINE MALEATE
Y	DEXLANSOPRAZOLE	DEXLANSOPRAZOLE	DEXLANSOPRAZOLE	FALSE	DEXLANSOPRAZOLE
		DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)	DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)	FALSE	DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE)
		DEXPANTHENOL	DEXPANTHENOL	FALSE	DEXPANTHENOL
		DEXPANTHENOL (PANTHENOL)	DEXPANTHENOL (PANTHENOL)	FALSE	DEXPANTHENOL (PANTHENOL)
		DEXRAZOXANE	DEXRAZOXANE	FALSE	DEXRAZOXANE
		DEXTRAN	DEXTRAN	FALSE	DEXTRAN
		DEXTRAN 40	DEXTRAN 40	FALSE	DEXTRAN 40
		DEXTRAN 70	DEXTRAN 70	FALSE	DEXTRAN 70
Y	DEXTROAMPHETAMINE	DEXTROAMPHETAMINE SACCHARATE	DEXTROAMPHETAMINE	FALSE	DEXTROAMPHETAMINE SACCHARATE
Y	DEXTROAMPHETAMINE	DEXTROAMPHETAMINE SULFATE	DEXTROAMPHETAMINE	FALSE	DEXTROAMPHETAMINE SULFATE
		DEXTROMETHORPHAN HYDROBROMIDE	DEXTROMETHORPHAN HYDROBROMIDE	FALSE	DEXTROMETHORPHAN HYDROBROMIDE
		DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)	DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)	FALSE	DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX)
		DEXTROSE	DEXTROSE	FALSE	DEXTROSE
		DEXTROSE (DEXTROSE MONOHYDRATE)	DEXTROSE (DEXTROSE MONOHYDRATE)	TRUE	DEXTROSE (DEXTROSE MONOHYDRATE)
		DEXTROSE ANHYDROUS	DEXTROSE ANHYDROUS	FALSE	DEXTROSE ANHYDROUS
		DIATRIZOATE MEGLUMINE	DIATRIZOATE MEGLUMINE	FALSE	DIATRIZOATE MEGLUMINE
		DIATRIZOATE SODIUM	DIATRIZOATE SODIUM	FALSE	DIATRIZOATE SODIUM
Y	DIAZEPAM	DIAZEPAM	DIAZEPAM	FALSE	DIAZEPAM
		DIAZOXIDE	DIAZOXIDE	FALSE	DIAZOXIDE
Y	DIBUCAINE	DIBUCAINE HYDROCHLORIDE	DIBUCAINE	FALSE	DIBUCAINE HYDROCHLORIDE
		DICHLOROBENZENE	DICHLOROBENZENE	FALSE	DICHLOROBENZENE
		DICHLOROBENZYL ALCOHOL	DICHLOROBENZYL ALCOHOL	FALSE	DICHLOROBENZYL ALCOHOL
Y	DICLOFENAC	DICLOFENAC DIETHYLAMINE	DICLOFENAC	FALSE	DICLOFENAC DIETHYLAMINE
Y	DICLOFENAC	DICLOFENAC POTASSIUM	DICLOFENAC	FALSE	DICLOFENAC POTASSIUM
Y	DICLOFENAC	DICLOFENAC SODIUM	DICLOFENAC	FALSE	DICLOFENAC SODIUM
		DICYCLOMINE HYDROCHLORIDE	DICYCLOMINE HYDROCHLORIDE	FALSE	DICYCLOMINE HYDROCHLORIDE
		DIDANOSINE	DIDANOSINE	FALSE	DIDANOSINE
