CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
Y,CODEINE,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)",CODEINE,
Y,CODEINE,CODEINE PHOSPHATE,CODEINE,
Y,COLCHICINE,COLCHICINE,COLCHICINE,
,,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,
,,COLISTIN (COLISTIMETHATE SODIUM),COLISTIN (COLISTIMETHATE SODIUM),
,,COLLAGEN,COLLAGEN,
,,COLLAGENASE,COLLAGENASE,
Y,"ESTROGENIC SUB,CONJUGATED",CONJUGATED ESTROGENS,CONJUGATED ESTROGENS,
,,COPPER (COPPER SULFATE),COPPER (COPPER SULFATE),
,,COPPER (CUPRIC OXIDE),COPPER (CUPRIC OXIDE),
,,CORBADRINE (CORBADRINE HYDROCHLORIDE),CORBADRINE (CORBADRINE HYDROCHLORIDE),
,,CORTISONE ACETATE,CORTISONE ACETATE,
,,CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN,CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN,
,,CROMOLYN SODIUM,CROMOLYN SODIUM,
,,CROTAMITON,CROTAMITON,
,,CUPRIC CHLORIDE,CUPRIC CHLORIDE,
Y,CYCLOBENZAPRINE,CYCLOBENZAPRINE HYDROCHLORIDE,CYCLOBENZAPRINE,
,,CYCLOPENTOLATE HYDROCHLORIDE,CYCLOPENTOLATE,
,,CYCLOPHOSPHAMIDE,CYCLOPHOSPHAMIDE,
,,CYCLOSPORINE,CYCLOSPORINE,
,,CYPROHEPTADINE HYDROCHLORIDE,CYPROHEPTADINE HYDROCHLORIDE,
Y,CYPROTERONE,CYPROTERONE ACETATE,CYPROTERONE ACETATE,SRS
,,CYTARABINE,CYTARABINE,
,,CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN),CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN),
,,Canagliflozin,Canagliflozin,
,,Carglumic Acid,Carglumic Acid,
,,Catridecacog,Catridecacog,
,,Cobicistat,Cobicistat,
,,Colesevelam hydrochloride,Colesevelam hydrochloride,
,,Crizotinib,Crizotinib,
,,D&C RED NO. 28,D&C RED NO. 28,
,,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),
,,"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)",
,,D-PENICILLAMINE,D-PENICILLAMINE,
Y,DABIGATRAN ETEXILATE,DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE),DABIGATRAN,
,,DACLIZUMAB BETA,DACLIZUMAB BETA,
,,DACTINOMYCIN,DACTINOMYCIN,
,,DALTEPARIN SODIUM,DALTEPARIN SODIUM,
,,DANAPAROID SODIUM,DANAPAROID SODIUM,
,,DANAZOL,DANAZOL,
,,DAPSONE,DAPSONE,
,,DAPTOMYCIN,DAPTOMYCIN,
,,DARATUMUMAB,DARATUMUMAB,
,,DARBEPOETIN ALFA,DARBEPOETIN ALFA,
,,DARIFENACIN (DARIFENACIN HYDROBROMIDE),DARIFENACIN (DARIFENACIN HYDROBROMIDE),
,,DARUNAVIR (DARUNAVIR ETHANOLATE),DARUNAVIR (DARUNAVIR ETHANOLATE),
,,DASATINIB (DASATINIB MONOHYDRATE),DASATINIB (DASATINIB MONOHYDRATE),
,,DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE),DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE),
,,DEFERASIROX,DEFERASIROX,
,,DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,
,,DEGARELIX (DEGARELIX ACETATE),DEGARELIX (DEGARELIX ACETATE),
,,DELAVIRDINE MESYLATE,DELAVIRDINE MESYLATE,
,,DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT),DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT),
,,DENOSUMAB,DENOSUMAB,
,,DEOXYCHOLIC ACID,DEOXYCHOLIC ACID,
,,DEQUALINIUM CHLORIDE,DEQUALINIUM CHLORIDE,
,,DERMATOPHAGOIDES FARINAE,DERMATOPHAGOIDES FARINAE,
,,DERMATOPHAGOIDES PTERONYSSINUS,DERMATOPHAGOIDES PTERONYSSINUS,
,,DESFLURANE,DESFLURANE,
,,DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE),DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE),
,,DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HYDROCHLORIDE,
,,DESLORATADINE,DESLORATADINE,
,,DESMOPRESSIN (DESMOPRESSIN ACETATE),DESMOPRESSIN (DESMOPRESSIN ACETATE),
,,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,
,,DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE),DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE),
Y,DESOGESTREL,DESOGESTREL,DESOGESTREL,
,,DESONIDE,DESONIDE,
,,DESOXIMETASONE,DESOXIMETASONE,
Y,DESVENLAFAXINE,DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE),DESVENLAFAXINE,
Y,DEXAMETHASONE,DEXAMETHASONE,DEXAMETHASONE,
Y,DEXAMETHASONE,DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE),DEXAMETHASONE,
Y,DEXAMETHASONE,DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE),DEXAMETHASONE,
Y,DEXAMETHASONE,DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE),DEXAMETHASONE,SRS
Y,DEXAMETHASONE,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE,SRS
,,DEXBROMPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE MALEATE,
,,DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE),DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE),
,,DEXPANTHENOL,DEXPANTHENOL,
,,DEXPANTHENOL (PANTHENOL),DEXPANTHENOL (PANTHENOL),
,,DEXRAZOXANE,DEXRAZOXANE,
,,DEXTRAN,DEXTRAN,
,,DEXTRAN 40,DEXTRAN 40,
,,DEXTRAN 70,DEXTRAN 70,
Y,DEXTROAMPHETAMINE,DEXTROAMPHETAMINE SACCHARATE,DEXTROAMPHETAMINE,SRS
Y,DEXTROAMPHETAMINE,DEXTROAMPHETAMINE SULFATE,DEXTROAMPHETAMINE,SRS
,,DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,
,,DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX),DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX),
,,DEXTROSE,DEXTROSE,
,,DEXTROSE (DEXTROSE MONOHYDRATE),DEXTROSE (DEXTROSE MONOHYDRATE),
,,DEXTROSE ANHYDROUS,DEXTROSE ANHYDROUS,
,,DIATRIZOATE MEGLUMINE,DIATRIZOATE MEGLUMINE,
,,DIATRIZOATE SODIUM,DIATRIZOATE SODIUM,
Y,DIAZEPAM,DIAZEPAM,DIAZEPAM,
,,DIAZOXIDE,DIAZOXIDE,
Y,DIBUCAINE,DIBUCAINE HYDROCHLORIDE,DIBUCAINE,
,,DICHLOROBENZENE,DICHLOROBENZENE,
,,DICHLOROBENZYL ALCOHOL,DICHLOROBENZYL ALCOHOL,
Y,DICLOFENAC,DICLOFENAC DIETHYLAMINE,DICLOFENAC,SRS
Y,DICLOFENAC,DICLOFENAC POTASSIUM,DICLOFENAC,SRS
Y,DICLOFENAC,DICLOFENAC SODIUM,DICLOFENAC,SRS
,,DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,
,,DIDANOSINE,DIDANOSINE,
,,DIDECYL DIMETHYL AMMONIUM CHLORIDE,DIDECYL DIMETHYL AMMONIUM CHLORIDE,
,,DIFLUNISAL,DIFLUNISAL,
Y,DIGOXIN,DIGOXIN,DIGOXIN,
,,DIGOXIN IMMUNE FAB (OVINE),DIGOXIN IMMUNE FAB (OVINE),
,,DIHYDROERGOTAMINE MESYLATE,DIHYDROERGOTAMINE MESYLATE,
Y,DILTIAZEM,DILTIAZEM HYDROCHLORIDE,DILTIAZEM,
,,DILUENT,DILUENT,
,,DIMENHYDRINATE,DIMENHYDRINATE,
,,DIMERCAPROL,DIMERCAPROL,
,,DIMETHICONE,DIMETHICONE,
,,DIMETHYL SULFOXIDE,DIMETHYL SULFOXIDE,
,,DINOPROST (DINOPROST TROMETHAMINE),DINOPROST (DINOPROST TROMETHAMINE),
,,DINOPROSTONE,DINOPROSTONE,
,,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,
,,DIPHENHYDRAMINE CITRATE,DIPHENHYDRAMINE CITRATE,
,,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,
,,DIPHENOXYLATE HYDROCHLORIDE,DIPHENOXYLATE HYDROCHLORIDE,
,,DIPHENYLPYRALINE HYDROCHLORIDE,DIPHENYLPYRALINE HYDROCHLORIDE,
,,DIPHTHERIA TOXOID,DIPHTHERIA TOXOID,
,,DIPHTHERIA TOXOID ADSORBED,DIPHTHERIA TOXOID ADSORBED,
,,DIPIVEFRIN HYDROCHLORIDE,DIPIVEFRIN HYDROCHLORIDE,
,,DIPYRIDAMOLE,DIPYRIDAMOLE,
,,DISODIUM EDETATE,DISODIUM EDETATE,
,,DISOPYRAMIDE,DISOPYRAMIDE,
,,DL-METHIONINE,DL-METHIONINE,
,,DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE),DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE),
,,DOCETAXEL,DOCETAXEL,
,,DOCOSANOL,DOCOSANOL,
,,DOCUSATE CALCIUM,DOCUSATE CALCIUM,
,,DOCUSATE SODIUM,DOCUSATE SODIUM,
,,DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT,DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT,
,,DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT,DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT,
,,DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM),DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM),
Y,DOMPERIDONE,DOMPERIDONE (DOMPERIDONE MALEATE),DOMPERIDONE,
Y,DONEPEZIL,DONEPEZIL HYDROCHLORIDE,DONEPEZIL,
Y,DONEPEZIL,DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE),DONEPEZIL,
,,DOPAMINE HYDROCHLORIDE,DOPAMINE HYDROCHLORIDE,
,,DORNASE ALFA,DORNASE ALFA,
Y,DORZOLAMIDE,DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE),DORZOLAMIDE ,
Y,DOXAZOSIN,DOXAZOSIN (DOXAZOSIN MESYLATE),DOXAZOSIN ,SRS
,,DOXEPIN (DOXEPIN HYDROCHLORIDE),DOXEPIN (DOXEPIN HYDROCHLORIDE),
,,DOXORUBICIN HYDROCHLORIDE,DOXORUBICIN HYDROCHLORIDE,
Y,DOXYCYCLINE,DOXYCYCLINE (DOXYCYCLINE HYCLATE),DOXYCYCLINE ,SRS
Y,DOXYCYCLINE,DOXYCYCLINE (Doxycycline Monohydrate),DOXYCYCLINE ,
,,DOXYLAMINE SUCCINATE,DOXYLAMINE SUCCINATE,
,,DROMETRIZOLE TRISILOXANE,DROMETRIZOLE TRISILOXANE,
,,DRONEDARONE (DRONEDARONE HYDROCHLORIDE),DRONEDARONE (DRONEDARONE HYDROCHLORIDE),
,,DROPERIDOL,DROPERIDOL,
Y,DROSPIRENONE,DROSPIRENONE,DROSPIRENONE,
,,DULAGLUTIDE,DULAGLUTIDE,
Y,DULOXETINE,DULOXETINE (DULOXETINE HYDROCHLORIDE),DULOXETINE ,
Y,DUTASTERIDE,DUTASTERIDE,DUTASTERIDE,
,,DYCLONINE HYDROCHLORIDE,DYCLONINE HYDROCHLORIDE,
,,Dabrafenib (Dabrafenib mesylate),Dabrafenib (Dabrafenib mesylate),
,,Daclatasvir (Daclatasvir Dihydrochloride),Daclatasvir (Daclatasvir Dihydrochloride),
,,Dapagliflozin (Dapagliflozin propanediol monohydrate),Dapagliflozin (Dapagliflozin propanediol monohydrate),
,,Dasabuvir (Dasabuvir sodium monohydrate),Dasabuvir (Dasabuvir sodium monohydrate),
,,Deferiprone,Deferiprone,
,,Dienogest,Dienogest,
,,Dimethyl Fumarate,Dimethyl Fumarate,
,,ECULIZUMAB,ECULIZUMAB,
,,EDOXABAN (EDOXABAN TOSYLATE),EDOXABAN (EDOXABAN TOSYLATE),
,,EFAVIRENZ,EFAVIRENZ,
,,EFLORNITHINE HYDROCHLORIDE,EFLORNITHINE HYDROCHLORIDE,
,,ELBASVIR,ELBASVIR,
,,ELETRIPTAN (ELETRIPTAN HYDROBROMIDE),ELETRIPTAN (ELETRIPTAN HYDROBROMIDE),
,,ELTROMBOPAG (ELTROMBOPAG OLAMINE),ELTROMBOPAG (ELTROMBOPAG OLAMINE),
,,ELUXADOLINE,ELUXADOLINE,
,,EMPAGLIFLOZIN,EMPAGLIFLOZIN,
,,EMTRICITABINE,EMTRICITABINE,
Y,ENALAPRIL,ENALAPRIL MALEATE,ENALAPRIL MALEATE,PubChem
Y,ENALAPRIL,ENALAPRIL SODIUM,ENALAPRIL SODIUM,PubChem / SRS
Y,ENALAPRIL,ENALAPRIL SODIUM (ENALAPRIL MALEATE),ENALAPRIL SODIUM,PubChem / SRS
,,ENALAPRILAT,ENALAPRILAT,
,,ENFUVIRTIDE,ENFUVIRTIDE,
,,ENOXAPARIN SODIUM,ENOXAPARIN SODIUM,
,,ENSULIZOLE,ENSULIZOLE,
,,ENTACAPONE,ENTACAPONE,
,,ENTECAVIR,ENTECAVIR,
,,ENTECAVIR (ENTECAVIR MONOHYDRATE),ENTECAVIR (ENTECAVIR MONOHYDRATE),
,,ENZACAMENE,ENZACAMENE,
,,EPHEDRINE SULFATE,EPHEDRINE SULFATE,
Y,EPINEPHRINE,EPINEPHRINE,EPINEPHRINE,
Y,EPINEPHRINE,EPINEPHRINE (EPINEPHRINE BITARTRATE),EPINEPHRINE,
Y,EPINEPHRINE,EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE),EPINEPHRINE,
Y,EPINEPHRINE,EPINEPHRINE BITARTRATE,EPINEPHRINE,
Y,EPINEPHRINE,EPINEPHRINE RACEMIC,EPINEPHRINE ,
,,EPIRUBICIN HYDROCHLORIDE,EPIRUBICIN HYDROCHLORIDE,
,,EPLERENONE,EPLERENONE,
,,EPOETIN ALFA,EPOETIN ALFA,
,,EPOPROSTENOL (EPOPROSTENOL SODIUM),EPOPROSTENOL (EPOPROSTENOL SODIUM),
,,EPROSARTAN (EPROSARTAN MESYLATE),EPROSARTAN (EPROSARTAN MESYLATE),
,,EPTACOG ALFA (ACTIVATED),EPTACOG ALFA (ACTIVATED),
,,EPTIFIBATIDE,EPTIFIBATIDE,
,,ERGOLOID MESYLATES,ERGOLOID MESYLATES,
,,ERGONOVINE MALEATE,ERGONOVINE MALEATE,
,,ERGOTAMINE TARTRATE,ERGOTAMINE TARTRATE,
,,ERLOTINIB (ERLOTINIB HYDROCHLORIDE),ERLOTINIB (ERLOTINIB HYDROCHLORIDE),
,,ERTAPENEM (ERTAPENEM SODIUM),ERTAPENEM (ERTAPENEM SODIUM),
Y,ERYTHROMYCIN,ERYTHROMYCIN,ERYTHROMYCIN,
Y,ERYTHROMYCIN,ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE),ERYTHROMYCIN,
Y,ERYTHROMYCIN,ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE),ERYTHROMYCIN ,
Y,ERYTHROMYCIN,ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE),ERYTHROMYCIN ,
Y,ERYTHROMYCIN,ERYTHROMYCIN (ERYTHROMYCIN STEARATE),ERYTHROMYCIN ,
,,ERYTHROSINE,ERYTHROSINE,
Y,ESCITALOPRAM,ESCITALOPRAM,ESCITALOPRAM,
,,ESCITALOPRAM (ESCITALOPRAM OXALATE),ESCITALOPRAM ,SRS
Y,ESCULIN,ESCULIN,ESCULIN,
,,ESMOLOL HYDROCHLORIDE,ESMOLOL HYDROCHLORIDE,
Y,ESOMEPRAZOLE,ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE),ESOMEPRAZOLE ,
Y,ESOMEPRAZOLE,ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM),ESOMEPRAZOLE ,
Y,ESOMEPRAZOLE,ESOMEPRAZOLE (Esomeprazole magnesium dihydrate),ESOMEPRAZOLE,
Y,ESTRADIOL,ESTRADIOL,ESTRADIOL,
Y,ESTRADIOL,ESTRADIOL (ESTRADIOL HEMIHYDRATE),ESTRADIOL,
,,ESTRAMUSTINE PHOSPHATE SODIUM,ESTRAMUSTINE PHOSPHATE SODIUM,
,,ESTRONE,ESTRONE,
,,ETAFEDRIN HYDROCHLORIDE,ETAFEDRIN HYDROCHLORIDE,
,,ETANERCEPT,ETANERCEPT,
,,ETHACRYNIC ACID,ETHACRYNIC ACID,
,,ETHACRYNIC ACID (ETHACRYNATE SODIUM),ETHACRYNIC ACID (ETHACRYNATE SODIUM),
,,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,
Y,ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,
,,ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE),ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE),
,,ETHOSUXIMIDE,ETHOSUXIMIDE,
,,ETHYNODIOL DIACETATE,ETHYNODIOL DIACETATE,
,,ETIDRONATE DISODIUM,ETIDRONATE DISODIUM,
,,ETODOLAC,ETODOLAC,
Y,ETONOGESTREL,ETONOGESTREL,ETONOGESTREL,
,,ETOPOSIDE,ETOPOSIDE,
,,ETRAVIRINE,ETRAVIRINE,
,,EUCALYPTOL,EUCALYPTOL,
,,EVEROLIMUS,EVEROLIMUS,
,,EVOLOCUMAB,EVOLOCUMAB,
,,EXEMESTANE,EXEMESTANE,
,,EXENATIDE,EXENATIDE,
Y,EZETIMIBE,EZETIMIBE,EZETIMIBE,
,,Efinaconazole,Efinaconazole,
,,Elosulfase Alfa,Elosulfase Alfa,
,,Elvitegravir,Elvitegravir,
,,Enzalutamide,Enzalutamide,
,,Eribulin Mesylate,Eribulin Mesylate,
,,Eslicarbazepine acetate,Eslicarbazepine acetate,
,,FACTOR XIII,FACTOR XIII,
,,FAMCICLOVIR,FAMCICLOVIR,
,,FAMOTIDINE,FAMOTIDINE,
,,FAMPRIDINE,FAMPRIDINE,
,,FEBUXOSTAT,FEBUXOSTAT,
Y,FELODIPINE,FELODIPINE,FELODIPINE,
Y,FENOFIBRATE,FENOFIBRATE,FENOFIBRATE,
Y,FENTANYL,FENTANYL,FENTANYL,
Y,FENTANYL,FENTANYL (FENTANYL CITRATE),FENTANYL,
,,FESOTERODINE FUMARATE,FESOTERODINE FUMARATE,
,,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,
,,FIBRINOGEN (HUMAN),FIBRINOGEN (HUMAN),
,,FILAMENTOUS HAEMAGGLUTININ,FILAMENTOUS HAEMAGGLUTININ,
,,FILAMENTOUS HAEMAGGLUTININ ADSORBED,FILAMENTOUS HAEMAGGLUTININ ADSORBED,
,,FILGRASTIM (R-METHUG-CSF),FILGRASTIM (R-METHUG-CSF),
,,FIMBRIAE,FIMBRIAE,
,,FIMBRIAE TYPES 2 AND 3 (FIM),FIMBRIAE TYPES 2 AND 3 (FIM),
Y,FINASTERIDE,FINASTERIDE,FINASTERIDE,
,,FISH OIL,FISH OIL,
,,FLAVOXATE HYDROCHLORIDE,FLAVOXATE HYDROCHLORIDE,
,,FLECAINIDE ACETATE,FLECAINIDE ACETATE,
,,FLOCTAFENINE,FLOCTAFENINE,
,,FLUCONAZOLE,FLUCONAZOLE,
,,FLUDARABINE PHOSPHATE,FLUDARABINE PHOSPHATE,
,,FLUDROCORTISONE 21-ACETATE,FLUDROCORTISONE 21-ACETATE,
,,FLUMAZENIL,FLUMAZENIL,
,,FLUMETHASONE PIVALATE,FLUMETHASONE PIVALATE,
,,FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE),FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE),
,,FLUNISOLIDE,FLUNISOLIDE,
,,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,
,,FLUOCINONIDE,FLUOCINONIDE,
,,FLUORESCEIN SODIUM,FLUORESCEIN SODIUM,
,,FLUOROMETHOLONE,FLUOROMETHOLONE,
,,FLUOROURACIL,FLUOROURACIL,
Y,FLUOXETINE,FLUOXETINE (FLUOXETINE HYDROCHLORIDE),FLUOXETINE,
,,FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE),FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE),
,,FLUPENTIXOL DECANOATE,FLUPENTIXOL DECANOATE,
,,FLUPHENAZINE DECANOATE,FLUPHENAZINE DECANOATE,
,,FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,
Y,FLURAZEPAM,FLURAZEPAM HYDROCHLORIDE,FLURAZEPAM,
,,FLURBIPROFEN,FLURBIPROFEN,
,,FLUTAMIDE,FLUTAMIDE,
Y,FLUTICASONE,FLUTICASONE FUROATE,FLUTICASONE,SRS - parent
Y,FLUTICASONE,FLUTICASONE PROPIONATE,FLUTICASONE,SRS - parent
,,FLUVASTATIN (FLUVASTATIN SODIUM),FLUVASTATIN (FLUVASTATIN SODIUM),
,,FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,
Y,FOLIC ACID,FOLIC ACID,FOLIC ACID,
,,FOLIC ACID (SODIUM FOLATE),FOLIC ACID (SODIUM FOLATE),
,,FOLLITROPIN ALFA,FOLLITROPIN ALFA,
,,FOLLITROPIN BETA,FOLLITROPIN BETA,
,,FOMEPIZOLE,FOMEPIZOLE,
,,FONDAPARINUX SODIUM,FONDAPARINUX SODIUM,
Y,FORMOTEROL,FORMOTEROL FUMARATE,FORMOTEROL,SRS
Y,FORMOTEROL,FORMOTEROL FUMARATE DIHYDRATE,FORMOTEROL ,SRS
,,FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM),FOSAMPRENAVIR (FOSAMPRENAVIR CALCIUM),
,,FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE),FOSAPREPITANT (FOSAPREPITANT DIMEGLUMINE),
,,FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE),FOSFOMYCIN (FOSFOMYCIN TROMETHAMINE),
Y,FOSINOPRIL,FOSINOPRIL SODIUM,FOSINOPRIL ,
,,FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,
Y,FRAMYCETIN SULFATE,FRAMYCETIN SULFATE,FRAMYCETIN,
,,FROVATRIPTAN (FROVATRIPTAN SUCCINATE),FROVATRIPTAN (FROVATRIPTAN SUCCINATE),
,,FROVATRIPTAN (Frovatriptan Succinate Monohydrate),FROVATRIPTAN (Frovatriptan Succinate Monohydrate),
,,FULVESTRANT,FULVESTRANT,
Y,FUROSEMIDE,FUROSEMIDE,FUROSEMIDE,
,,FUSIDATE SODIUM,FUSIDATE SODIUM,
Y,FUSIDIC ACID,FUSIDIC ACID,FUSIDIC ACID,
,,Fidaxomicin,Fidaxomicin,
,,Fingolimod (Fingolimod Hydrochloride),Fingolimod (Fingolimod Hydrochloride),
Y,GABAPENTIN,GABAPENTIN,GABAPENTIN,
,,GADOBENATE DIMEGLUMINE,GADOBENATE DIMEGLUMINE,
,,GADOBUTROL,GADOBUTROL,
,,GADODIAMIDE,GADODIAMIDE,
,,GADOPENTETATE DIMEGLUMINE,GADOPENTETATE DIMEGLUMINE,
,,GADOTERIDOL,GADOTERIDOL,
,,GADOVERSETAMIDE,GADOVERSETAMIDE,
,,GADOXETATE DISODIUM,GADOXETATE DISODIUM,
Y,GALANTAMINE,GALANTAMINE (GALANTAMINE HYDROBROMIDE),GALANTAMINE,
,,GANCICLOVIR (GANCICLOVIR SODIUM),GANCICLOVIR (GANCICLOVIR SODIUM),
,,GANIRELIX (GANIRELIX ACETATE),GANIRELIX (GANIRELIX ACETATE),
,,GATIFLOXACIN,GATIFLOXACIN,
,,GEFITINIB,GEFITINIB,
,,GELATIN,GELATIN,
,,GEMCITABINE (GEMCITABINE HYDROCHLORIDE),GEMCITABINE (GEMCITABINE HYDROCHLORIDE),
,,GEMFIBROZIL,GEMFIBROZIL,
,,GENTAMICIN (GENTAMICIN SULFATE),GENTAMICIN (GENTAMICIN SULFATE),
,,GENTIAN VIOLET,GENTIAN VIOLET,
,,GLATIRAMER ACETATE,GLATIRAMER ACETATE,
Y,GLICLAZIDE,GLICLAZIDE,GLICLAZIDE,
,,GLIMEPIRIDE,GLIMEPIRIDE,
,,GLUCAGON (RECOMBINANT DNA ORIGIN),GLUCAGON (RECOMBINANT DNA ORIGIN),
,,GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE),GLUCAGON (RECOMBINANT DNA ORIGIN) (GLUCAGON HYDROCHLORIDE),
,,GLUTAMIC ACID,GLUTAMIC ACID,
,,GLUTATHIONE DISULFIDE,GLUTATHIONE DISULFIDE,
Y,GLYBURIDE,GLYBURIDE,GLYBURIDE,
,,GLYCERINE,GLYCERINE,
,,GLYCEROL PHENYLBUTYRATE,GLYCEROL PHENYLBUTYRATE,
,,GLYCINE,GLYCINE,
,,GLYCOL SALICYLATE,GLYCOL SALICYLATE,
,,GLYCOPYRROLATE,GLYCOPYRROLATE,
,,GOLD SODIUM THIOMALATE,GOLD SODIUM THIOMALATE,
,,GOLIMUMAB,GOLIMUMAB,
,,GONADORELIN ACETATE,GONADORELIN ACETATE,
,,GOSERELIN (GOSERELIN ACETATE),GOSERELIN (GOSERELIN ACETATE),
,,GRAMICIDIN,GRAMICIDIN,
,,GRANISETRON (GRANISETRON HYDROCHLORIDE),GRANISETRON (GRANISETRON HYDROCHLORIDE),
,,GRAZOPREVIR,GRAZOPREVIR,
,,GUAIACOL,GUAIACOL,
,,GUAIACOL CARBONATE,GUAIACOL CARBONATE,
,,GUAIFENESIN,GUAIFENESIN,
,,Galsulfase,Galsulfase,
,,Glycopyrronium (Glycopyrronium Bromide),Glycopyrronium (Glycopyrronium Bromide),
,,Grass Pollen Allergen Extract,Grass Pollen Allergen Extract,
,,Guanfacine (GUANFACINE HYDROCHLORIDE),Guanfacine (GUANFACINE HYDROCHLORIDE),
,,HAEMAGGLUTININ-STRAIN A(H1N1),HAEMAGGLUTININ-STRAIN A(H1N1),
,,HAEMAGGLUTININ-STRAIN A(H3N2),HAEMAGGLUTININ-STRAIN A(H3N2),
,,HAEMAGGLUTININ-STRAIN B,HAEMAGGLUTININ-STRAIN B,
,,HAEMAGGLUTININ-STRAIN B (Victoria),HAEMAGGLUTININ-STRAIN B (Victoria),
,,HAEMAGGLUTININ-STRAIN B (Yamagata),HAEMAGGLUTININ-STRAIN B (Yamagata),
