"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","ntp_dosage_form_fr"
"40018","powder for prolonged-release suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40018","powder for prolonged-release suspension for injection","49","INTRAVENOUS","Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée","poudre pour suspension injectable à libération prolongée"
"40096","powder for rectal solution","62","RECTAL","Rectale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution rectale"
"40017","powder for solution for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","39","INSTILLATION","Instillation","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12","INTRA-ARTERIAL","Intra-artérielle","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","12-49","INTRA-ARTERIAL, INTRAVENOUS","Intra-artérielle,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-21-22","INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-13-19-42","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL","Intra-articulaire,Intrabursique,Intradermique,Intrasynoviale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","17","INTRACAVITARY","Intracavitaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","19","INTRADERMAL","Intradermique","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique,Percutanée,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","21","INTRALESIONAL","Intralésionnelle","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22","INTRAMUSCULAR","Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","22-70","INTRAMUSCULAR, TOPICAL","Intramusculaire,Topique","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","33","INTRAPERITONEAL","Intrapéritonéale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","34","INTRAPLEURAL","Intrapleurale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","40","INTRASPINAL","Intrarachidienne","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","31","INTRATHECAL","Intrathécale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","31-49-65","INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Intrathécale,Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","49","INTRAVENOUS","Intraveineuse","55","POWDER","Poudre","poudre pour solution injectable"
"40017","powder for solution for injection","49","INTRAVENOUS","Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","49-96","INTRAVENOUS, INTRAVESICAL","Intraveineuse,Intravésicale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40017","powder for solution for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour solution injectable"
"40017","powder for solution for injection","49-65","INTRAVENOUS, SUBCUTANEOUS","Intraveineuse,Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40152","powder for intravesical solution","96","INTRAVESICAL","Intravésicale","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution intravésicale"
"40017","powder for solution for injection","65","SUBCUTANEOUS","Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution","poudre pour solution injectable"
"40039","powder for suspension for infusion","49","INTRAVENOUS","Intraveineuse","135","LIPOSOMES","Liposomes","poudre pour suspension injectable pour perfusion"
"40016","powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","7-22-49","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","Épidurale,Intramusculaire,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","7-49-65","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","Épidurale,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-17-22-49-50","INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intracavitaire,Intramusculaire,Intraveineuse,Intraventriculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-31-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-31-49-50","INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR","Intra-artérielle,Intramusculaire,Intrathécale,Intraveineuse,Intraventriculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","12-22-49","INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS","Intra-artérielle,Intramusculaire,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-13-19-22","INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intradermique,Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR","Intra-articulaire,Intrabursique,Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-19-21-22","INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intradermique,Intralésionnelle,Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL","Intra-articulaire,Intralésionnelle,Intramusculaire,Intrasynoviale","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR","Intra-articulaire,Intralésionnelle,Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire,Intralésionnelle,Intramusculaire,Intraveineuse,Injection dans les tissus mous","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire,Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire,Intramusculaire,Intrasynoviale,Injection dans les tissus mous","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire,Intramusculaire,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque,Intramusculaire,Intratrachéale,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapéritonéale,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire,Intrapleurale,Intraveineuse,Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire,Intrasynoviale,Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension","poudre pour suspension injectable"
"40016","powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire,Intraveineuse","55","POWDER","Poudre","poudre pour suspension injectable"
