"ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing","CCDD.status","Comments","DPD_Ingredient_FR","ing_stem_fr","ntp_ing_fr"
"Y","","IRON (FERROUS FUMARATE)","iron (ferrous fumarate)","FALSE","iron (ferrous fumarate)","No products in scope","Pregvit","Fer (Fumarate ferreux)","fer (fumarate ferreux)","fer (fumarate ferreux)"
"Y","","IRON (IRON DEXTRAN COMPLEX)","iron dextran","FALSE","iron (iron dextran)","Released","","Fer (Complexe fer-dextran)","fer dextran","fer (fer dextran)"
"Y","","IRON (IRON SUCROSE)","iron sucrose","FALSE","iron (iron sucrose)","Released","","Fer (Sucrose ferrique)","fer-saccharose","fer (fer-saccharose)"
"Y","","IRON (SODIUM FERRIC GLUCONATE COMPLEX IN SUCROSE INJECTION)","sodium ferric gluconate complex","FALSE","iron (sodium ferric gluconate complex)","Released","","Fer (Complexe de gluconate de fer sodique dans du sucrose (injectable))","complexe de gluconate de fer sodique","fer (complexe de gluconate de fer sodique)"
"","","ISOFLURANE","isoflurane","FALSE","isoflurane","Anaesthetic","","Isoflurane","isoflurane","isoflurane"
"","","ISOLEUCINE","isoleucine","FALSE","isoleucine","TPN","","Isoleucine","isoleucine","isoleucine"
"Y","","ISONIAZID","isoniazid","FALSE","isoniazid","Released","","Isoniazide","isoniazide","isoniazide"
"","","ISOPROPYL ALCOHOL","isopropyl alcohol","FALSE","isopropyl alcohol","No products in scope","Used in combination only as antiseptic","Alcool isopropylique","alcool isopropylique","alcool isopropylique"
"Y","","ISOPROPYL MYRISTATE","isopropyl myristate","FALSE","isopropyl myristate","Released","","Myristate d'isopropyle","myristate d'isopropyle","myristate d'isopropyle"
"Y","","ISOPROTERENOL HYDROCHLORIDE","isoproterenol","FALSE","isoproterenol hydrochloride","Released","","Chlorhydrate d'isoprotérénol","isoprotérénol","chlorhydrate d'isoprotérénol"
"Y","ISOSORBIDE DINITRATE","ISOSORBIDE DINITRATE","isosorbide dinitrate","FALSE","isosorbide dinitrate","Released","","Dinitrate d'isosorbide","dinitrate d'isosorbide","dinitrate d'isosorbide"
"Y","ISOSORBIDE-5-MONONITRATE","ISOSORBIDE-5-MONONITRATE","isosorbide mononitrate","FALSE","isosorbide mononitrate","Released","","5-mononitrate d'isosorbide","mononitrate d'isosorbide","mononitrate d'isosorbide"
"Y","","ISOTRETINOIN","isotretinoin","FALSE","isotretinoin","Released","","Isotrétinoïne","isotrétinoïne","isotrétinoïne"
"Y","","ITRACONAZOLE","itraconazole","FALSE","itraconazole","Released","","Itraconazole","itraconazole","itraconazole"
"Y","","IVABRADINE (IVABRADINE HYDROCHLORIDE)","ivabradine","FALSE","ivabradine (ivabradine hydrochloride)","Released","","Ivabradine","ivabradine","ivabradine (chlorhydrate d'ivabradine)"
"Y","","IVACAFTOR","ivacaftor","FALSE","ivacaftor","Released","","IVACAFTOR","ivacaftor","ivacaftor"
"Y","","IVERMECTIN","ivermectin","FALSE","ivermectin","Released","","Ivermectine","ivermectine","ivermectine"
"Y","","IXAZOMIB (IXAZOMIB CITRATE)","ixazomib","FALSE","ixazomib (ixazomib citrate)","Released","","Ixazomib (Citrate d'Ixazomib)","ixazomib","ixazomib (citrate d'ixazomib)"
"Y","","IXEKIZUMAB","ixekizumab","FALSE","ixekizumab","Released","","Ixékizumab","ixékizumab","ixékizumab"
"Y","","KETAMINE (KETAMINE HYDROCHLORIDE)","ketamine","FALSE","ketamine (ketamine hydrochloride)","Released","","Kétamine (Chlorhydrate de kétamine)","kétamine","kétamine (chlorhydrate de kétamine)"
"Y","","KETOCONAZOLE","ketoconazole","FALSE","ketoconazole","Released","","Kétoconazole","kétoconazole","kétoconazole"
"Y","","KETOPROFEN","ketoprofen","FALSE","ketoprofen","Released","","Kétoprofène","kétoprofène","kétoprofène"
"Y","KETOROLAC","KETOROLAC TROMETHAMINE","ketorolac","FALSE","ketorolac tromethamine","Released","","Kétorolac trométhamine","kétorolac","trométhamine de kétorolac"
"Y","","KETOTIFEN (KETOTIFEN FUMARATE)","ketotifen","FALSE","ketotifen (ketotifen fumarate)","Released","","Kétotifène (Fumarate de kétotifène)","kétotifène","kétotifène (fumarate de kétotifène)"
"Y","","KETOTIFEN FUMARATE","ketotifen","FALSE","ketotifen fumarate","Released","","Fumarate de kétotifène","kétotifène","fumarate de kétotifène"
"Y","LABETALOL","LABETALOL HYDROCHLORIDE","labetalol","FALSE","labetalol hydrochloride","Released","","Chlorhydrate de labétalol","labétalol","chlorhydrate de labétalol"
"Y","","LACOSAMIDE","lacosamide","FALSE","lacosamide","Released","","Lacosamide","lacosamide","lacosamide"
"","","LACTIC ACID","lactic acid","FALSE","lactic acid","Not in scope","Haemodialysis solutions","Acide lactique","lactic acid","lactic acid"
"Y","LACTULOSE","LACTULOSE","lactulose","FALSE","lactulose","Released","","Lactulose","lactulose","lactulose"
"","","L-ALANINE","l-alanine","FALSE","l-alanine","TPN","","L-ALANINE","l-alanine","l-alanine"
"Y","","LAMIVUDINE","lamivudine","FALSE","lamivudine","Released","","Lamivudine","lamivudine","lamivudine"
"Y","LAMOTRIGINE","LAMOTRIGINE","lamotrigine","FALSE","lamotrigine","Released","","Lamotrigine","lamotrigine","lamotrigine"
"Y","","LANADELUMAB","lanadelumab","FALSE","lanadelumab","Released","","Lanadélumab","lanadélumab","lanadélumab"
"Y","","LANOLIN","lanolin","FALSE","lanolin","Released","Couple of dermatologic products","Lanoline","lanoline","lanoline"
"Y","","LANREOTIDE (LANREOTIDE ACETATE)","lanreotide","FALSE","lanreotide (lanreotide acetate)","Released","","Lanréotide (Acétate de lanréotide)","lanréotide","lanréotide (acétate de lanréotide)"
"Y","LANSOPRAZOLE","LANSOPRAZOLE","lansoprazole","FALSE","lansoprazole","Released","","Lansoprazole","lansoprazole","lansoprazole"
"Y","","LANTHANUM (LANTHANUM CARBONATE HYDRATE)","lanthanum","TRUE","lanthanum (lanthanum carbonate)","Released","","Lanthane (Carbonate de lanthane hydraté)","lanthane","lanthane (carbonate de lanthane)"
"Y","","LAPATINIB (LAPATINIB DITOSYLATE MONOHYDRATE)","lapatinib","TRUE","lapatinib (lapatinib ditosylate)","Released","","Lapatinib (Monohydrate de ditosylate de lapatinib)","lapatinib","lapatinib (ditosylate de lapatinib)"
"","","L-ARGININE","l-arginine","FALSE","l-arginine","TPN","","L-arginine","l-arginine","l-arginine"
"Y","","LARONIDASE","laronidase","FALSE","laronidase","Released","","Laronidase","laronidase","laronidase"
"","","L-ASPARTIC ACID","l-aspartic acid","FALSE","l-aspartic acid","TPN","","Acide L-aspartique","l-aspartic acid","l-aspartic acid"
"Y","LATANOPROST","LATANOPROST","latanoprost","FALSE","latanoprost","Released","","Latanoprost","latanoprost","latanoprost"
"","","L-CYSTEINE","l-cysteine","FALSE","l-cysteine","TPN","","L-cystéine","l-cysteine","l-cysteine"
"","","L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE)","l-cysteine (l-cysteine hydrochloride)","FALSE","l-cysteine (l-cysteine hydrochloride)","TPN","","L-cystéine (Chlorhydrate de L-cystéine)","l-cysteine (l-cysteine hydrochloride)","l-cysteine (l-cysteine hydrochloride)"
"Y","","LEDIPASVIR","ledipasvir","FALSE","ledipasvir","Released","Combination only","Lédipasvir","lédipasvir","lédipasvir"
"Y","","LEFLUNOMIDE","leflunomide","FALSE","leflunomide","Released","","Léflunomide","léflunomide","léflunomide"
"Y","","LENALIDOMIDE","lenalidomide","FALSE","lenalidomide","Released","","Lénalidomide","lénalidomide","lénalidomide"
"Y","","LENVATINIB (LENVATINIB MESYLATE)","lenvatinib","FALSE","lenvatinib (lenvatinib mesylate)","Released","","Lenvatinib (Mésylate de Lenvatinib)","lenvatinib","lenvatinib (mésylate de lenvatinib)"
"Y","","LETERMOVIR","letermovir","FALSE","letermovir","Released","","Létermovir","létermovir","létermovir"
"Y","","LETROZOLE","letrozole","FALSE","letrozole","Released","","Létrozole","létrozole","létrozole"
"","","LEUCINE","leucine","FALSE","leucine","TPN","","Leucine","leucine","leucine"
"Y","","LEUCOVORIN (LEUCOVORIN CALCIUM)","leucovorin","FALSE","leucovorin (leucovorin calcium)","Released","","Leucovorine (Leucovorine calcique)","leucovorine","leucovorine (leucovorine calcique)"
"Y","","LEUPROLIDE ACETATE","leuprolide","FALSE","leuprolide acetate","Released","","Acétate de leuprolide","leuprolide","acétate de leuprolide"
"Y","LEVETIRACETAM","LEVETIRACETAM","levetiracetam","FALSE","levetiracetam","Released","","Lévétiracétam","lévétiracétam","lévétiracétam"
"Y","","LEVOBUNOLOL HYDROCHLORIDE","levobunolol","FALSE","levobunolol hydrochloride","Released","","Chlorhydrate de lévobunolol","lévobunolol","chlorhydrate de lévobunolol"
"Y","","LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)","levocabastine","FALSE","levocabastine (levocabastine hydrochloride)","Released","","Lévocabastine (Chlorhydrate de lévocabastine)","lévocabastine","lévocabastine (chlorhydrate de lévocabastine)"
"Y","","LEVOCARNITINE","levocarnitine","FALSE","levocarnitine","Released","","Lévocarnitine","lévocarnitine","lévocarnitine"
"Y","LEVODOPA","LEVODOPA","levodopa","FALSE","levodopa","Released","Combination only","Lévodopa","lévodopa","lévodopa"
"Y","LEVOFLOXACIN","LEVOFLOXACIN","levofloxacin","FALSE","levofloxacin","Released","","Lévofloxacine","lévofloxacine","lévofloxacine"
"Y","LEVOFLOXACIN","LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE)","levofloxacin","TRUE","levofloxacin","Released","","Lévofloxacine (Hémihydrate de lévofloxacine)","lévofloxacine","lévofloxacine"
"Y","","LEVOMEFOLATE CALCIUM","levomefolic acid","FALSE","levomefolate calcium","Released","Combination only","Levomefolate Calcium","acide lévoméfolique","lévoméfolate calcique"
"Y","","LEVOMILNACIPRAN (LEVOMILNACIPRAN HYDROCHLORIDE)","levomilnacipran","FALSE","levomilnacipran (levomilnacipran hydrochloride)","Released","","LÉVOMILNACIPRAN (CHLORHYDRATE DE LÉVOMILNACIPRAN)","lévomilnacipran","lévomilnacipran (chlorhydrate de lévomilnacipran)"
"Y","LEVONORGESTREL","LEVONORGESTREL","levonorgestrel","FALSE","levonorgestrel","Released","","Lévonorgestrel","lévonorgestrel","lévonorgestrel"
"Y","LEVOTHYROXINE","LEVOTHYROXINE SODIUM","levothyroxine","FALSE","levothyroxine sodium","Released","","Lévothyroxine sodique","lévothyroxine","lévothyroxine sodique"
"Y","","LIDOCAINE","lidocaine","FALSE","lidocaine","Released","","Lidocaïne","lidocaïne","lidocaïne"
"Y","","LIDOCAINE (LIDOCAINE HYDROCHLORIDE)","lidocaine","FALSE","lidocaine (lidocaine hydrochloride)","Released","","Lidocaïne (Chlorhydrate de lidocaïne)","lidocaïne","lidocaïne (chlorhydrate de lidocaïne)"
"Y","","LIDOCAINE HYDROCHLORIDE","lidocaine","FALSE","lidocaine hydrochloride","Released","","Chlorhydrate de lidocaïne","lidocaïne","chlorhydrate de lidocaïne"
"Y","","LIDOCAINE HYDROCHLORIDE (LIDOCAINE HYDROCHLORIDE MONOHYDRATE)","lidocaine","TRUE","lidocaine hydrochloride","Released","","Chlorhydrate de lidocaïne (Chlorhydrate de lidocaïne monohydraté)","lidocaïne","chlorhydrate de lidocaïne"
"Y","","LIFITEGRAST","lifitegrast","FALSE","lifitegrast","Released","","Lifitegrast","lifitegrast","lifitegrast"
"Y","","LINACLOTIDE","linaclotide","FALSE","linaclotide","Released","","Linaclotide","linaclotide","linaclotide"
"Y","","LINAGLIPTIN","linagliptin","FALSE","linagliptin","Released","","Linagliptine","linagliptine","linagliptine"
"Y","","LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE)","lincomycin","FALSE","lincomycin (lincomycin hydrochloride)","Released","","Lincomycine (Chlorhydrate de lincomycine)","lincomycine","lincomycine (chlorhydrate de lincomycine)"
"Y","","LINEZOLID","linezolid","FALSE","linezolid","Released","","Linézolide","linézolide","linézolide"
"Y","","LIOTHYRONINE (LIOTHYRONINE SODIUM)","liothyronine","FALSE","liothyronine (liothyronine sodium)","Released","","Liothyronine (Liothyronine sodique)","liothyronine","liothyronine (liothyronine sodique)"
"Y","","LIPASE","pancrelipase","FALSE","lipase","Released","Pancreatin products - Pancrelipase refers to the combination of amylase and lipase and protease and labeled as such in Canada. Currently all marketed in-scope lipase products in dpd are truly pancrelipase - there is one 8 ingredient product at Approved but this would not be in scope","Lipase","pancrelipase","lipase"
"Y","","LIRAGLUTIDE","liraglutide","FALSE","liraglutide","Released","","Liraglutide","liraglutide","liraglutide"
"Y","LISDEXAMFETAMINE","LISDEXAMFETAMINE DIMESYLATE","lisdexamfetamine","FALSE","lisdexamfetamine dimesylate","Released","","Dimésylate de lisdexamfétamine","lisdexamfétamine","dimésylate de lisdexamfétamine"
"Y","LISINOPRIL","LISINOPRIL","lisinopril","FALSE","lisinopril","Released","","Lisinopril","lisinopril","lisinopril"
"Y","LISINOPRIL","LISINOPRIL (LISINOPRIL DIHYDRATE)","lisinopril","TRUE","lisinopril","Released","","Lisinopril (Dihydrate de lisinopril)","lisinopril","lisinopril"
"","","L-ISOLEUCINE","l-isoleucine","FALSE","l-isoleucine","TPN","","L-isoleucine","l-isoleucine","l-isoleucine"
"Y","LITHIUM","LITHIUM (LITHIUM CITRATE)","lithium (ion)","FALSE","lithium (lithium citrate)","Released","","Lithium (Citrate de lithium)","lithium (ion)","lithium (citrate de lithium)"
"Y","LITHIUM","LITHIUM CARBONATE","lithium carbonate","FALSE","lithium carbonate","Released","","Carbonate de lithium","carbonate de lithium","carbonate de lithium"
"Y","","LIXISENATIDE","lixisenatide","FALSE","lixisenatide","Released","","Lixisénatide","lixisénatide","lixisénatide"
"","","L-LEUCINE","l-leucine","FALSE","l-leucine","TPN","","L-leucine","l-leucine","l-leucine"
"","","L-LEUCINE HYDROCHLORIDE","l-leucine hydrochloride","FALSE","l-leucine hydrochloride","TPN","","Chlorhydrate de l-leucine","l-leucine hydrochloride","l-leucine hydrochloride"
"","","L-LYSINE","l-lysine","FALSE","l-lysine","TPN","","L-lysine","l-lysine","l-lysine"
"","","L-LYSINE (L-LYSINE ACETATE)","l-lysine (l-lysine acetate)","FALSE","l-lysine (l-lysine acetate)","TPN","","L-lysine (Acétate de L-lysine)","l-lysine (l-lysine acetate)","l-lysine (l-lysine acetate)"
"","","L-LYSINE (L-LYSINE HYDROCHLORIDE)","l-lysine (l-lysine hydrochloride)","FALSE","l-lysine (l-lysine hydrochloride)","TPN","","L-lysine (Chlorhydrate de L-lysine)","l-lysine (l-lysine hydrochloride)","l-lysine (l-lysine hydrochloride)"
"","","L-LYSINE (LYSINE ACETATE)","l-lysine (lysine acetate)","FALSE","l-lysine (lysine acetate)","TPN","","L-lysine (Acétate de lysine)","l-lysine (lysine acetate)","l-lysine (lysine acetate)"
"","","L-LYSINE HYDROCHLORIDE","l-lysine hydrochloride","FALSE","l-lysine hydrochloride","TPN","","Chlorhydrate de L-lysine","l-lysine hydrochloride","l-lysine hydrochloride"
"Y","","L-MENTHOL","levomenthol","FALSE","levomenthol","Released","","L-menthol","lévomenthol","lévomenthol"
"Y","","LODOXAMIDE (LODOXAMIDE TROMETHAMINE)","lodoxamide","FALSE","lodoxamide (lodoxamide tromethamine)","Released","","Lodoxamide (Trométhamine de lodoxamide)","lodoxamide","lodoxamide (trométhamine de lodoxamide)"
"Y","","LOMITAPIDE (LOMITAPIDE MESYLATE)","lomitapide","FALSE","lomitapide (lomitapide mesylate)","Released","","Lomitapide (Lomitapide Mésylate)","lomitapide","lomitapide (mésylate de lomitapide)"
"Y","","LOMUSTINE","lomustine","FALSE","lomustine","Released","","Lomustine","lomustine","lomustine"
"Y","","LOPERAMIDE HYDROCHLORIDE","loperamide","FALSE","loperamide hydrochloride","Released","","Chlorhydrate de lopéramide","lopéramide","chlorhydrate de lopéramide"
"Y","","LOPINAVIR","lopinavir","FALSE","lopinavir","Released","Combination only","Lopinavir","lopinavir","lopinavir"
"Y","","LORATADINE","loratadine","FALSE","loratadine","Released","","Loratadine","loratadine","loratadine"
"Y","LORAZEPAM","LORAZEPAM","lorazepam","FALSE","lorazepam","Released","","Lorazépam","lorazépam","lorazépam"
"","","L-ORNITHINE DIHYDROCHLORIDE","l-ornithine dihydrochloride","FALSE","l-ornithine dihydrochloride","TPN","","Dichlorhydrate de L-ornithine","l-ornithine dihydrochloride","l-ornithine dihydrochloride"
"Y","LOSARTAN","LOSARTAN POTASSIUM","losartan","FALSE","losartan potassium","Released","","Losartan potassique","losartan","losartan potassique"
"Y","","LOTEPREDNOL ETABONATE","loteprednol","FALSE","loteprednol etabonate","Released","","Étabonate de lotéprednol","lotéprednol","étabonate de lotéprednol"
"Y","","LOVASTATIN","lovastatin","FALSE","lovastatin","Released","","Lovastatine","lovastatine","lovastatine"
"Y","","LOXAPINE (LOXAPINE HYDROCHLORIDE)","loxapine","FALSE","loxapine (loxapine hydrochloride)","Released","","Loxapine (Chlorhydrate de loxapine)","loxapine","loxapine (chlorhydrate de loxapine)"
"Y","","LOXAPINE (LOXAPINE SUCCINATE)","loxapine","FALSE","loxapine (loxapine succinate)","Released","","Loxapine (Succinate de loxapine)","loxapine","loxapine (succinate de loxapine)"
"","","L-PHENYLALANINE","l-phenylalanine","FALSE","l-phenylalanine","TPN","","L-phénylalanine","l-phenylalanine","l-phenylalanine"
"","","L-PHENYLALANINE HYDROCHLORIDE","l-phenylalanine hydrochloride","FALSE","l-phenylalanine hydrochloride","TPN","","Chlorhydrate de l-phénylalanine","l-phenylalanine hydrochloride","l-phenylalanine hydrochloride"
"","","L-PROLINE","l-proline","FALSE","l-proline","TPN","","L-proline","l-proline","l-proline"
"","","L-THREONINE","l-threonine","FALSE","l-threonine","TPN","","L-thréonine","l-threonine","l-threonine"
"","","L-TYROSINE","l-tyrosine","FALSE","l-tyrosine","TPN","","L-tyrosine","l-tyrosine","l-tyrosine"
"Y","","LUMACAFTOR","lumacaftor","FALSE","lumacaftor","Released","Combination only","Lumacaftor","lumacaftor","lumacaftor"
"Y","","LURASIDONE HYDROCHLORIDE","lurasidone","FALSE","lurasidone hydrochloride","Released","","chlorhydrate de lurasidone","lurasidone","chlorhydrate de lurasidone"
"Y","","LUTROPIN ALFA","lutropin alfa","FALSE","lutropin alfa","Released","","Lutropine alfa","lutropine alfa","lutropine alfa"
"","","L-VALINE","l-valine","FALSE","l-valine","TPN","","L-valine","l-valine","l-valine"
"","","LYMPHOCYTE IMMUNE GLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)","anti-thymocyte immunoglobulin equine","FALSE","anti-thymocyte immunoglobulin equine","Not in DPD","DPD changed these products to immunoglobulin.jh","","sérum antithymocyte équin","sérum antithymocyte équin"
"Y","","LYMPHOCYTE IMMUNOGLOBULIN ANTI-THYMOCYTE GLOBULIN (EQUINE)","anti-thymocyte immunoglobulin equine","FALSE","anti-thymocyte immunoglobulin equine","Released","","Sérum antilymphocytaire, sérum antithymocyte (équin)","sérum antithymocyte équin","sérum antithymocyte équin"
"","","LYSINE (L-LYSINE ACETATE)","lysine (l-lysine acetate)","FALSE","lysine (l-lysine acetate)","TPN","","Lysine (Acétate de L-lysine)","lysine (l-lysine acetate)","lysine (l-lysine acetate)"
"","","LYSINE (L-LYSINE HYDROCHLORIDE)","lysine (l-lysine hydrochloride)","FALSE","lysine (l-lysine hydrochloride)","TPN","","Lysine (Chlorhydrate de L-lysine)","lysine (l-lysine hydrochloride)","lysine (l-lysine hydrochloride)"
"","","LYSINE (LYSINE ACETATE)","lysine (lysine acetate)","FALSE","lysine (lysine acetate)","TPN","","Lysine (Acétate de lysine)","lysine (lysine acetate)","lysine (lysine acetate)"
"","","LYSINE (LYSINE MONOHYDROCHLORIDE)","lysine (lysine monohydrochloride)","FALSE","lysine (lysine monohydrochloride)","TPN","","Lysine (Monochlorhydrate de lysine)","lysine (lysine monohydrochloride)","lysine (lysine monohydrochloride)"
"Y","","MACITENTAN","macitentan","FALSE","macitentan","Released","","MACITENTAN","macitentan","macitentan"
"Y","","MACROGOL","polyethylene glycol 3350","FALSE","polyethylene glycol 3350","Released","","Macrogol","polyéthylèneglycol 3350","polyéthylèneglycol 3350"
"Y","","MAGNESIUM (MAGNESIUM OXIDE)","magnesium (magnesium oxide)","FALSE","magnesium (magnesium oxide)","","","Magnésium (Oxyde de magnésium)","magnésium (oxyde de magnésium)","magnésium (oxyde de magnésium)"
"Y","","MAGNESIUM ACETATE","magnesium acetate","FALSE","magnesium acetate","","","Acétate de magnésium","acétate de magnésium","acétate de magnésium"
"Y","","MAGNESIUM CHLORIDE","magnesium chloride","FALSE","magnesium chloride","","","Chlorure de magnésium","chlorure de magnésium","chlorure de magnésium"
"Y","","MAGNESIUM CHLORIDE (MAGNESIUM CHLORIDE HEXAHYDRATE)","magnesium chloride","TRUE","magnesium chloride","","","Chlorure de magnésium","chlorure de magnésium","chlorure de magnésium"
"Y","","MAGNESIUM HYDROXIDE","magnesium hydroxide","FALSE","magnesium hydroxide","Released","","Hydroxyde de magnésium","hydroxyde de magnésium","hydroxyde de magnésium"
"Y","","MAGNESIUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL)","magnesium hydroxide (dried aluminum hydroxide gel)","FALSE","magnesium hydroxide (dried aluminum hydroxide gel)","Released","","Hydroxyde de magnésium (Gel d'hydroxyde d'aluminium séché (en poudre))","hydroxyde de magnésium (gel d'hydroxyde d'aluminium séché)","hydroxyde de magnésium (gel d'hydroxyde d'aluminium séché)"
"Y","","MAGNESIUM OXIDE","magnesium oxide","FALSE","magnesium oxide","","","Oxyde de magnésium","oxyde de magnésium","oxyde de magnésium"
"Y","","MAGNESIUM SULFATE","magnesium sulfate","FALSE","magnesium sulfate","Released","","Sulfate de magnésium","sulfate de magnésium","sulfate de magnésium"
"Y","","MANGANESE (MANGANESE GLUCONATE)","manganese gluconate","FALSE","manganese (manganese gluconate)","No live products","","Manganèse (Gluconate de manganèse)","gluconate de manganèse","manganèse (gluconate de manganèse)"
"Y","","MANGANESE (MANGANESE SULFATE)","manganese sulfate","FALSE","manganese (manganese sulfate)","Released","","Manganèse (Sulfate de manganèse)","sulfate de manganèse","manganèse (sulfate de manganèse)"
"Y","","MANGANESE CHLORIDE","manganese chloride","FALSE","manganese chloride","Not in scope","Only live product is for TPN (multi-ingredient)","Chlorure de manganèse","chlorure de manganèse","chlorure de manganèse"
"Y","","MANNITOL","mannitol","FALSE","mannitol","Released","","Mannitol","mannitol","mannitol"
"Y","","MAPROTILINE HYDROCHLORIDE","maprotiline hydrochloride","FALSE","maprotiline hydrochloride","No live products","","Chlorhydrate de maprotiline","maprotiline","chlorhydrate de maprotiline"
"Y","","MARAVIROC","maraviroc","FALSE","maraviroc","Released","","Maraviroc","maraviroc","maraviroc"
"","","MEASLES VIRUS VACCINE LIVE ATTENUATED","measles virus vaccine live attenuated","FALSE","measles virus vaccine live attenuated","Immunologic","","Vaccin antirougeoleux, vivant, atténué","measles virus vaccine live attenuated","measles virus vaccine live attenuated"
"","","MEASLES VIRUS VACCINE LIVE ATTENUATED (EDMONSTON B STRAIN)","measles virus vaccine live attenuated (edmonston b strain)","FALSE","measles virus vaccine live attenuated (edmonston b strain)","Immunologic","","Vaccin antirougoleux vivant atténué (souche Edmonston B)","measles virus vaccine live attenuated (edmonston b strain)","measles virus vaccine live attenuated (edmonston b strain)"
"Y","","MEBENDAZOLE","mebendazole","FALSE","mebendazole","Released","","Mébendazole","mébendazole","mébendazole"
"","","MEDIUM CHAIN TRIGLYCERIDES (MCT)","medium chain triglycerides (mct)","FALSE","medium chain triglycerides (mct)","TPN","","Triglycérides à chaînes moyennes (tcm)","medium chain triglycerides (mct)","medium chain triglycerides (mct)"
"Y","MEDROXYPROGESTERONE","MEDROXYPROGESTERONE ACETATE","medroxyprogesterone","FALSE","medroxyprogesterone acetate","Released","","Acétate de médroxyprogestérone","médroxyprogestérone","acétate de médroxyprogestérone"
"Y","","MEFENAMIC ACID","mefenamic acid","FALSE","mefenamic acid","Released","","Acide méfénamique","acide méfénamique","acide méfénamique"
"Y","","MEFLOQUINE (MEFLOQUINE HYDROCHLORIDE)","mefloquine","FALSE","mefloquine (mefloquine hydrochloride)","Released","","Méfloquine (Chlorhydrate de méfloquine)","méfloquine","méfloquine (chlorhydrate de méfloquine)"
"Y","","MEGESTROL ACETATE","megestrol","FALSE","megestrol acetate","Released","","Acétate de mégestrol","mégestrol","acétate de mégestrol"
"","","MEGLUMINE IODIPAMIDE","meglumine iodipamide","FALSE","meglumine iodipamide","Contrast media","","Iodipamide de méglumine","meglumine iodipamide","meglumine iodipamide"
"","","MEGLUMINE IOXITALAMATE","meglumine ioxitalamate","FALSE","meglumine ioxitalamate","Contrast media","","Ioxitalamate de méglumine","meglumine ioxitalamate","meglumine ioxitalamate"
"Y","MELOXICAM","MELOXICAM","meloxicam","FALSE","meloxicam","Released","","Méloxicam","méloxicam","méloxicam"
"Y","","MELPHALAN","melphalan","FALSE","melphalan","Released","","Melphalan","melphalan","melphalan"
"Y","","MELPHALAN (MELPHALAN HYDROCHLORIDE)","melphalan","FALSE","melphalan (melphalan hydrochloride)","Released","","Melphalan (Chlorhydrate de melphalan)","melphalan","melphalan (chlorhydrate de melphalan)"
"Y","","MEMANTINE HYDROCHLORIDE","memantine","FALSE","memantine hydrochloride","Released","","Chlorhydrate de mémantine","mémantine","chlorhydrate de mémantine"
"","","MENINGOCOCCAL GROUP A OLIGOSACCHARIDE","meningococcal group a oligosaccharide","FALSE","meningococcal group a oligosaccharide","Immunologic","","Oligosaccharide du méningocoque de groupe A","meningococcal group a oligosaccharide","meningococcal group a oligosaccharide"
"","","MENINGOCOCCAL GROUP C OLIGOSACCHARIDE","meningococcal group c oligosaccharide","FALSE","meningococcal group c oligosaccharide","Immunologic","","Oligosaccharide du méningocoque de groupe C","meningococcal group c oligosaccharide","meningococcal group c oligosaccharide"
"","","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE","meningococcal group w-135 oligosaccharide","FALSE","meningococcal group w-135 oligosaccharide","Immunologic","","Oligosaccharide du méningocoque de groupe W-135","meningococcal group w-135 oligosaccharide","meningococcal group w-135 oligosaccharide"
"","","MENINGOCOCCAL GROUP Y OLIGOSACCHARIDE","meningococcal group y oligosaccharide","FALSE","meningococcal group y oligosaccharide","Immunologic","","Oligosaccharide du méningocoque de groupe Y","meningococcal group y oligosaccharide","meningococcal group y oligosaccharide"
"","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP A","meningococcal polysaccharide antigen group a","FALSE","meningococcal polysaccharide antigen group a","Immunologic","","Antigène polysaccharidique du méningocoque de groupe A","meningococcal polysaccharide antigen group a","meningococcal polysaccharide antigen group a"
"","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP C","meningococcal polysaccharide antigen group c","FALSE","meningococcal polysaccharide antigen group c","Immunologic","","Antigène polysaccharidique du méningocoque de groupe C","meningococcal polysaccharide antigen group c","meningococcal polysaccharide antigen group c"
"","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP W-135","meningococcal polysaccharide antigen group w-135","FALSE","meningococcal polysaccharide antigen group w-135","Immunologic","","Antigène polysaccharidique du méningocoque de groupe W-135","meningococcal polysaccharide antigen group w-135","meningococcal polysaccharide antigen group w-135"
"","","MENINGOCOCCAL POLYSACCHARIDE ANTIGEN GROUP Y","meningococcal polysaccharide antigen group y","FALSE","meningococcal polysaccharide antigen group y","Immunologic","","Antigène polysaccharidique du méningocoque de groupe Y","meningococcal polysaccharide antigen group y","meningococcal polysaccharide antigen group y"
