"drug_code","ccdd","n_ing","ai_code_set","tm_formal_name","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name","mp_ing_formal_name"
16852,TRUE,1,"9880","metronidazole","0.75 %","METRONIDAZOLE","metronidazole","metronidazole 0.75 %","metronidazole 0.75 %"
16855,TRUE,1,"14088","mesalazine","500 MG","MESALAZINE","mesalazine","mesalazine 500 mg","mesalazine 500 mg"
16862,FALSE,1,"8632","gentamicin (gentamicin sulfate)","0.3 %","GENTAMICIN SULFATE","gentamicin (gentamicin sulfate)","gentamicin (gentamicin sulfate) 0.3 %","gentamicin (gentamicin sulfate) 0.3 %"
16879,TRUE,1,"232","perindopril","4 MG","PERINDOPRIL ERBUMINE","perindopril erbumine","perindopril erbumine 4 mg","perindopril erbumine 4 mg"
16880,TRUE,1,"232","perindopril","2 MG","PERINDOPRIL ERBUMINE","perindopril erbumine","perindopril erbumine 2 mg","perindopril erbumine 2 mg"
16888,TRUE,1,"8626","framycetin","1 %","FRAMYCETIN SULFATE","framycetin sulfate","framycetin sulfate 1 %","framycetin sulfate 1 %"
16901,TRUE,1,"10146","haloperidol","50 MG per ML","HALOPERIDOL DECANOATE","haloperidol (haloperidol decanoate)","haloperidol (haloperidol decanoate) 50 mg per mL","haloperidol (haloperidol decanoate) 50 mg per mL"
16902,TRUE,1,"10146","haloperidol","100 MG per ML","HALOPERIDOL DECANOATE","haloperidol (haloperidol decanoate)","haloperidol (haloperidol decanoate) 100 mg per mL","haloperidol (haloperidol decanoate) 100 mg per mL"
16903,TRUE,2,"10234, 1253","hydrochlorothiazide and lisinopril","12.5 MG, 20 MG","HYDROCHLOROTHIAZIDE, LISINOPRIL","hydrochlorothiazide, lisinopril","hydrochlorothiazide 12.5 mg and lisinopril 20 mg","hydrochlorothiazide 12.5 mg and lisinopril 20 mg"
16909,FALSE,1,"781","vitamin B12","1 MG per ML","VITAMIN B12","vitamin B12","vitamin b12 1 mg per mL","vitamin b12 1 mg per mL"
16938,TRUE,1,"1399","lithium (ion)","8 MMOL per 5 ML","LITHIUM CITRATE","lithium (lithium citrate)","lithium (lithium citrate) 8 mmol per 5 mL","lithium (lithium citrate) 8 mmol per 5 mL"
16947,TRUE,1,"1945","ipratropium","250 MCG per ML","IPRATROPIUM BROMIDE","ipratropium bromide","ipratropium bromide 250 mcg per mL","ipratropium bromide 250 mcg per mL"
16949,TRUE,1,"11182","minocycline","100 MG","MINOCYCLINE HYDROCHLORIDE","minocycline (minocycline hydrochloride)","minocycline (minocycline hydrochloride) 100 mg","minocycline (minocycline hydrochloride) 100 mg"
16950,TRUE,1,"11182","minocycline","50 MG","MINOCYCLINE HYDROCHLORIDE","minocycline (minocycline hydrochloride)","minocycline (minocycline hydrochloride) 50 mg","minocycline (minocycline hydrochloride) 50 mg"
16954,TRUE,1,"11101","amoxicillin","50 MG per ML","AMOXICILLIN TRIHYDRATE","amoxicillin","amoxicillin 50 mg per mL","amoxicillin (amoxicillin trihydrate) 50 mg per mL"
16955,TRUE,1,"11101","amoxicillin","25 MG per ML","AMOXICILLIN TRIHYDRATE","amoxicillin","amoxicillin 25 mg per mL","amoxicillin (amoxicillin trihydrate) 25 mg per mL"
16965,FALSE,1,"2099","nadolol","80 MG","NADOLOL","nadolol","nadolol 80 mg","nadolol 80 mg"
16966,FALSE,1,"2099","nadolol","40 MG","NADOLOL","nadolol","nadolol 40 mg","nadolol 40 mg"
16968,FALSE,1,"949","bezafibrate","400 MG","BEZAFIBRATE","bezafibrate","bezafibrate 400 mg","bezafibrate 400 mg"
16977,FALSE,1,"5532","fluorescein sodium","1 MG","FLUORESCEIN SODIUM","fluorescein sodium","fluorescein sodium 1 mg","fluorescein sodium 1 mg"
16988,TRUE,1,"270","acetaminophen","160 MG per 5 ML","ACETAMINOPHEN","acetaminophen","acetaminophen 160 mg per 5 mL","acetaminophen 160 mg per 5 mL"
16998,TRUE,1,"8926","epinephrine","1 MG per 1 ML","EPINEPHRINE","epinephrine","epinephrine 1 mg per 1 mL","epinephrine 1 mg per 1 mL"
17006,TRUE,1,"626","chlorhexidine","0.05 %","CHLORHEXIDINE GLUCONATE","chlorhexidine gluconate","chlorhexidine gluconate 0.05 %","chlorhexidine gluconate 0.05 %"
17102,TRUE,1,"1926","diltiazem","300 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 300 mg","diltiazem hydrochloride 300 mg"
17104,TRUE,1,"10147","metformin","500 MG","METFORMIN HYDROCHLORIDE","metformin hydrochloride","metformin hydrochloride 500 mg","metformin hydrochloride 500 mg"
17105,FALSE,1,"8566","rifampin","150 MG","RIFAMPIN","rifampin","rifampin 150 mg","rifampin 150 mg"
17113,TRUE,3,"270, 10259, 6492","acetaminophen and chlorpheniramine maleate and pseudoephedrine hydrochloride","500 MG, 2 MG, 30 MG","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, chlorpheniramine maleate, pseudoephedrine hydrochloride","acetaminophen 500 mg and chlorpheniramine maleate 2 mg and pseudoephedrine hydrochloride 30 mg","acetaminophen 500 mg and chlorpheniramine maleate 2 mg and pseudoephedrine hydrochloride 30 mg"
17118,FALSE,1,"1921","tiaprofenic acid","200 MG","TIAPROFENIC ACID","tiaprofenic acid","tiaprofenic acid 200 mg","tiaprofenic acid 200 mg"
17119,FALSE,1,"1921","tiaprofenic acid","300 MG","TIAPROFENIC ACID","tiaprofenic acid","tiaprofenic acid 300 mg","tiaprofenic acid 300 mg"
17123,TRUE,1,"1253","lisinopril","20 MG","LISINOPRIL","lisinopril","lisinopril 20 mg","lisinopril 20 mg"
17125,TRUE,1,"1926","diltiazem","120 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 120 mg","diltiazem hydrochloride 120 mg"
17126,TRUE,1,"1253","lisinopril","5 MG","LISINOPRIL","lisinopril","lisinopril 5 mg","lisinopril 5 mg"
17160,TRUE,1,"238","lamotrigine","150 MG","LAMOTRIGINE","lamotrigine","lamotrigine 150 mg","lamotrigine 150 mg"
17184,FALSE,1,"8970","atropine sulfate","0.4 MG per ML","ATROPINE SULFATE","atropine sulfate","atropine sulfate 0.4 mg per mL","atropine sulfate 0.4 mg per mL"
17186,FALSE,1,"8970","atropine sulfate","0.6 MG per ML","ATROPINE SULFATE","atropine sulfate","atropine sulfate 0.6 mg per mL","atropine sulfate 0.6 mg per mL"
17199,TRUE,1,"2037","naproxen","275 MG","NAPROXEN SODIUM","naproxen sodium","naproxen sodium 275 mg","naproxen sodium 275 mg"
17201,TRUE,1,"238","lamotrigine","100 MG","LAMOTRIGINE","lamotrigine","lamotrigine 100 mg","lamotrigine 100 mg"
17203,TRUE,1,"238","lamotrigine","25 MG","LAMOTRIGINE","lamotrigine","lamotrigine 25 mg","lamotrigine 25 mg"
17205,FALSE,1,"2089","calcium polystyrene sulfonate","999 MG per G","CALCIUM POLYSTYRENE SULFONATE","calcium polystyrene sulfonate","calcium polystyrene sulfonate 999 mg per g","calcium polystyrene sulfonate 999 mg per g"
17215,TRUE,1,"1253","lisinopril","10 MG","LISINOPRIL","lisinopril","lisinopril 10 mg","lisinopril 10 mg"
17227,FALSE,1,"9060","heparin sodium","2 UNIT per ML","HEPARIN SODIUM","heparin sodium","heparin sodium 2 unit per mL","heparin sodium 2 unit per mL"
17230,FALSE,1,"1904","gemfibrozil","600 MG","GEMFIBROZIL","gemfibrozil","gemfibrozil 600 mg","gemfibrozil 600 mg"
17234,TRUE,1,"10110","verapamil","2.5 MG per ML","VERAPAMIL HYDROCHLORIDE","verapamil hydrochloride","verapamil hydrochloride 2.5 mg per mL","verapamil hydrochloride 2.5 mg per mL"
17235,TRUE,2,"270, 6165","acetaminophen and oxycodone","325 MG, 5 MG","ACETAMINOPHEN, OXYCODONE HYDROCHLORIDE","acetaminophen, oxycodone hydrochloride","acetaminophen 325 mg and oxycodone hydrochloride 5 mg","acetaminophen 325 mg and oxycodone hydrochloride 5 mg"
17236,FALSE,1,"9471","lidocaine","5 %","LIDOCAINE","lidocaine","lidocaine 5 %","lidocaine 5 %"
17240,TRUE,1,"8318","clarithromycin","500 MG","CLARITHROMYCIN","clarithromycin","clarithromycin 500 mg","clarithromycin 500 mg"
17246,TRUE,1,"2104","baclofen","10 MG","BACLOFEN","baclofen","baclofen 10 mg","baclofen 10 mg"
17247,TRUE,1,"2104","baclofen","20 MG","BACLOFEN","baclofen","baclofen 20 mg","baclofen 20 mg"
17250,FALSE,1,"2023","sucralfate","1 G","SUCRALFATE","sucralfate","sucralfate 1 g","sucralfate 1 g"
17253,TRUE,1,"1926","diltiazem","240 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 240 mg","diltiazem hydrochloride 240 mg"
17254,TRUE,1,"1926","diltiazem","180 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 180 mg","diltiazem hydrochloride 180 mg"
17276,TRUE,1,"2104","baclofen","2 MG per ML","BACLOFEN","baclofen","baclofen 2 mg per mL","baclofen 2 mg per mL"
17277,TRUE,1,"2104","baclofen","0.05 MG per ML","BACLOFEN","baclofen","baclofen 0.05 mg per mL","baclofen 0.05 mg per mL"
17399,FALSE,1,"78","charcoal activated","200 MG per ML","CHARCOAL ACTIVATED","charcoal activated","charcoal activated 200 mg per mL","charcoal activated 200 mg per mL"
17402,FALSE,1,"8826","water","100 %","WATER","water","water 100 %","water 100 %"
17416,FALSE,1,"8138","sulfasalazine","500 MG","SULFASALAZINE","sulfasalazine","sulfasalazine 500 mg","sulfasalazine 500 mg"
17417,FALSE,1,"8138","sulfasalazine","500 MG","SULFASALAZINE","sulfasalazine","sulfasalazine 500 mg","sulfasalazine 500 mg"
17733,TRUE,3,"6895, 10258, 6033","pheniramine maleate and phenylephrine and polyvinyl alcohol","0.5 %, 0.125 %, 1.4 %","PHENIRAMINE MALEATE, PHENYLEPHRINE HYDROCHLORIDE, POLYVINYL ALCOHOL","pheniramine maleate, phenylephrine hydrochloride, polyvinyl alcohol","pheniramine maleate 0.5 % and phenylephrine hydrochloride 0.125 % and polyvinyl alcohol 1.4 %","pheniramine maleate 0.5 % and phenylephrine hydrochloride 0.125 % and polyvinyl alcohol 1.4 %"
17734,FALSE,1,"9542","naphazoline hydrochloride","0.1 %","NAPHAZOLINE HYDROCHLORIDE","naphazoline hydrochloride","naphazoline hydrochloride 0.1 %","naphazoline hydrochloride 0.1 %"
17752,FALSE,1,"4028","sodium polystyrene sulfonate","100 %","SODIUM POLYSTYRENE SULFONATE","sodium polystyrene sulfonate","sodium polystyrene sulfonate 100 %","sodium polystyrene sulfonate 100 %"
17780,TRUE,1,"10127","propranolol","60 MG","PROPRANOLOL HYDROCHLORIDE","propranolol hydrochloride","propranolol hydrochloride 60 mg","propranolol hydrochloride 60 mg"
17781,FALSE,1,"182","diphenhydramine hydrochloride","50 MG","DIPHENHYDRAMINE HYDROCHLORIDE","diphenhydramine hydrochloride","diphenhydramine hydrochloride 50 mg","diphenhydramine hydrochloride 50 mg"
17789,FALSE,1,"1204","fluconazole","150 MG","FLUCONAZOLE","fluconazole","fluconazole 150 mg","fluconazole 150 mg"
17794,FALSE,1,"182","diphenhydramine hydrochloride","25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","diphenhydramine hydrochloride","diphenhydramine hydrochloride 25 mg","diphenhydramine hydrochloride 25 mg"
17797,FALSE,1,"349","rocuronium bromide","10 MG per ML","ROCURONIUM BROMIDE","rocuronium bromide","rocuronium bromide 10 mg per mL","rocuronium bromide 10 mg per mL"
17799,FALSE,1,"1915","cyclosporine","100 MG","CYCLOSPORINE","cyclosporine","cyclosporine 100 mg","cyclosporine 100 mg"
17800,FALSE,2,"271, 1203","meglumine ioxitalamate and sodium ioxitalamate","513 MG per ML, 255 MG per ML","MEGLUMINE IOXITALAMATE, SODIUM IOXITALAMATE","meglumine ioxitalamate, sodium ioxitalamate","meglumine ioxitalamate 513 mg per mL and sodium ioxitalamate 255 mg per mL","meglumine ioxitalamate 513 mg per mL and sodium ioxitalamate 255 mg per mL"
17801,FALSE,1,"1915","cyclosporine","100 MG per ML","CYCLOSPORINE","cyclosporine","cyclosporine 100 mg per mL","cyclosporine 100 mg per mL"
17813,FALSE,1,"1915","cyclosporine","25 MG","CYCLOSPORINE","cyclosporine","cyclosporine 25 mg","cyclosporine 25 mg"
17814,FALSE,1,"1915","cyclosporine","50 MG","CYCLOSPORINE","cyclosporine","cyclosporine 50 mg","cyclosporine 50 mg"
17817,TRUE,1,"2300","lorazepam","0.5 MG","LORAZEPAM","lorazepam","lorazepam 0.5 mg","lorazepam 0.5 mg"
17824,TRUE,1,"9880","metronidazole","0.75 %","METRONIDAZOLE","metronidazole","metronidazole 0.75 %","metronidazole 0.75 %"
17826,TRUE,1,"11162","acebutolol","100 MG","ACEBUTOLOL HYDROCHLORIDE","acebutolol (acebutolol hydrochloride)","acebutolol (acebutolol hydrochloride) 100 mg","acebutolol (acebutolol hydrochloride) 100 mg"
17827,TRUE,1,"11162","acebutolol","200 MG","ACEBUTOLOL HYDROCHLORIDE","acebutolol (acebutolol hydrochloride)","acebutolol (acebutolol hydrochloride) 200 mg","acebutolol (acebutolol hydrochloride) 200 mg"
17828,TRUE,1,"11162","acebutolol","400 MG","ACEBUTOLOL HYDROCHLORIDE","acebutolol (acebutolol hydrochloride)","acebutolol (acebutolol hydrochloride) 400 mg","acebutolol (acebutolol hydrochloride) 400 mg"
17830,FALSE,1,"1755","carboplatin","10 MG per ML","CARBOPLATIN","carboplatin","carboplatin 10 mg per mL","carboplatin 10 mg per mL"
17831,TRUE,1,"2167","metoprolol","100 MG","METOPROLOL TARTRATE","metoprolol tartrate","metoprolol tartrate 100 mg","metoprolol tartrate 100 mg"
17832,FALSE,1,"2373","miconazole nitrate","2 %","MICONAZOLE NITRATE","miconazole nitrate","miconazole nitrate 2 %","miconazole nitrate 2 %"
17833,TRUE,1,"2167","metoprolol","50 MG","METOPROLOL TARTRATE","metoprolol tartrate","metoprolol tartrate 50 mg","metoprolol tartrate 50 mg"
17841,FALSE,1,"6425","dicyclomine hydrochloride","10 MG per 5 ML","DICYCLOMINE HYDROCHLORIDE","dicyclomine hydrochloride","dicyclomine hydrochloride 10 mg per 5 mL","dicyclomine hydrochloride 10 mg per 5 mL"
17842,FALSE,1,"6425","dicyclomine hydrochloride","20 MG","DICYCLOMINE HYDROCHLORIDE","dicyclomine hydrochloride","dicyclomine hydrochloride 20 mg","dicyclomine hydrochloride 20 mg"
17852,FALSE,1,"2023","sucralfate","1 G per 5 ML","SUCRALFATE","sucralfate","sucralfate 1 g per 5 mL","sucralfate 1 g per 5 mL"
17880,TRUE,3,"270, 10247, 6492","acetaminophen and dextromethorphan hydrobromide and pseudoephedrine hydrochloride","500 MG, 15 MG, 30 MG","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, dextromethorphan hydrobromide, pseudoephedrine hydrochloride","acetaminophen 500 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg","acetaminophen 500 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg"
17887,TRUE,4,"270, 10259, 10247, 6492","acetaminophen and chlorpheniramine maleate and dextromethorphan hydrobromide and pseudoephedrine hydrochloride","500 MG, 2 MG, 15 MG, 30 MG","ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE, PSEUDOEPHEDRINE HYDROCHLORIDE","acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride","acetaminophen 500 mg and chlorpheniramine maleate 2 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg","acetaminophen 500 mg and chlorpheniramine maleate 2 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg"
17893,FALSE,1,"1226","olsalazine sodium","250 MG","OLSALAZINE SODIUM","olsalazine sodium","olsalazine sodium 250 mg","olsalazine sodium 250 mg"
17895,FALSE,1,"8502","bacitracin","500 UNIT per G","BACITRACIN","bacitracin","bacitracin 500 unit per g","bacitracin 500 unit per g"
17903,TRUE,2,"10234, 1253","hydrochlorothiazide and lisinopril","25 MG, 20 MG","HYDROCHLOROTHIAZIDE, LISINOPRIL","hydrochlorothiazide, lisinopril","hydrochlorothiazide 25 mg and lisinopril 20 mg","hydrochlorothiazide 25 mg and lisinopril 20 mg"
17904,TRUE,2,"2041, 10135","atenolol and chlorthalidone","100 MG, 25 MG","ATENOLOL, CHLORTHALIDONE","atenolol, chlorthalidone","atenolol 100 mg and chlorthalidone 25 mg","atenolol 100 mg and chlorthalidone 25 mg"
17905,TRUE,1,"2041","atenolol","50 MG","ATENOLOL","atenolol","atenolol 50 mg","atenolol 50 mg"
17906,TRUE,1,"2041","atenolol","100 MG","ATENOLOL","atenolol","atenolol 100 mg","atenolol 100 mg"
17953,FALSE,1,"2813","triclosan","0.3 %","TRICLOSAN","triclosan","triclosan 0.3 %","triclosan 0.3 %"
17954,TRUE,1,"2104","baclofen","0.5 MG per ML","BACLOFEN","baclofen","baclofen 0.5 mg per mL","baclofen 0.5 mg per mL"
17968,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
17972,TRUE,1,"2072","alprazolam","0.25 MG","ALPRAZOLAM","alprazolam","alprazolam 0.25 mg","alprazolam 0.25 mg"
17973,TRUE,1,"2072","alprazolam","0.5 MG","ALPRAZOLAM","alprazolam","alprazolam 0.5 mg","alprazolam 0.5 mg"
17992,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
18005,TRUE,1,"11168","sertraline","25 MG","SERTRALINE HYDROCHLORIDE","sertraline (sertraline hydrochloride)","sertraline (sertraline hydrochloride) 25 mg","sertraline (sertraline hydrochloride) 25 mg"
18006,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
18007,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
18008,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
18009,TRUE,1,"7610","betamethasone dipropionate","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %","betamethasone (betamethasone dipropionate) 0.05 %"
18010,FALSE,1,"1204","fluconazole","50 MG per 5 ML","FLUCONAZOLE","fluconazole","fluconazole 50 mg per 5 mL","fluconazole 50 mg per 5 mL"
18012,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL","lidocaine hydrochloride 20 mg per mL"
18014,FALSE,1,"10225","lidocaine hydrochloride","0.5 %","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 0.5 %","lidocaine hydrochloride 0.5 %"
18015,TRUE,1,"270","acetaminophen","80 MG per ML","ACETAMINOPHEN","acetaminophen","acetaminophen 80 mg per mL","acetaminophen 80 mg per mL"
18024,TRUE,1,"2474","naloxone","1 MG per ML","NALOXONE HYDROCHLORIDE","naloxone hydrochloride","naloxone hydrochloride 1 mg per mL","naloxone hydrochloride 1 mg per mL"
18025,TRUE,1,"2474","naloxone","0.4 MG per ML","NALOXONE HYDROCHLORIDE","naloxone hydrochloride","naloxone hydrochloride 0.4 mg per mL","naloxone hydrochloride 0.4 mg per mL"
18029,TRUE,6,"51, 49, 53, 10292, 55, 10290","calcium chloride and magnesium chloride and potassium chloride and sodium acetate and sodium chloride and sodium citrate","0.48 MG per ML, 0.3 MG per ML, 0.75 MG per ML, 3.9 MG per ML, 6.4 MG per ML, 1.7 MG per ML","CALCIUM CHLORIDE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM ACETATE, SODIUM CHLORIDE, SODIUM CITRATE","calcium chloride, magnesium chloride, potassium chloride, sodium acetate, sodium chloride, sodium citrate","calcium chloride 0.48 mg per mL and magnesium chloride 0.3 mg per mL and potassium chloride 0.75 mg per mL and sodium acetate 3.9 mg per mL and sodium chloride 6.4 mg per mL and sodium citrate 1.7 mg per mL","calcium chloride 0.48 mg per mL and magnesium chloride 0.3 mg per mL and potassium chloride 0.75 mg per mL and sodium acetate 3.9 mg per mL and sodium chloride 6.4 mg per mL and sodium citrate 1.7 mg per mL"
18040,TRUE,1,"1939","trazodone","150 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 150 mg","trazodone hydrochloride 150 mg"
18045,TRUE,1,"1939","trazodone","100 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 100 mg","trazodone hydrochloride 100 mg"
18046,TRUE,1,"1939","trazodone","50 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 50 mg","trazodone hydrochloride 50 mg"
18058,TRUE,1,"10147","metformin","500 MG","METFORMIN HYDROCHLORIDE","metformin hydrochloride","metformin hydrochloride 500 mg","metformin hydrochloride 500 mg"
18065,TRUE,1,"1960","indapamide","2.5 MG","INDAPAMIDE","indapamide","indapamide 2.5 mg","indapamide 2.5 mg"
18066,TRUE,1,"8318","clarithromycin","125 MG per 5 ML","CLARITHROMYCIN","clarithromycin","clarithromycin 125 mg per 5 mL","clarithromycin 125 mg per 5 mL"
18067,TRUE,1,"2585","salbutamol","4 MG","SALBUTAMOL SULFATE","salbutamol (salbutamol sulfate)","salbutamol (salbutamol sulfate) 4 mg","salbutamol (salbutamol sulfate) 4 mg"
18068,TRUE,1,"2585","salbutamol","2 MG","SALBUTAMOL SULFATE","salbutamol (salbutamol sulfate)","salbutamol (salbutamol sulfate) 2 mg","salbutamol (salbutamol sulfate) 2 mg"
18071,FALSE,1,"2251","loperamide hydrochloride","2 MG","LOPERAMIDE HYDROCHLORIDE","loperamide hydrochloride","loperamide hydrochloride 2 mg","loperamide hydrochloride 2 mg"
18072,FALSE,1,"1988","tranexamic acid","500 MG","TRANEXAMIC ACID","tranexamic acid","tranexamic acid 500 mg","tranexamic acid 500 mg"
18080,FALSE,1,"5054","tretinoin","10 MG","TRETINOIN","tretinoin","tretinoin 10 mg","tretinoin 10 mg"
18081,FALSE,1,"8316","rifabutin","150 MG","RIFABUTIN","rifabutin","rifabutin 150 mg","rifabutin 150 mg"
18085,TRUE,2,"42, 9412","dextrose and nitroglycerin","5 G per 100 ML, 40 MG per 100 ML","DEXTROSE, NITROGLYCERIN","dextrose, nitroglycerin","dextrose 5 g per 100 mL and nitroglycerin 40 mg per 100 mL","dextrose 5 g per 100 mL and nitroglycerin 40 mg per 100 mL"
18086,TRUE,2,"42, 9412","dextrose and nitroglycerin","5 G per 100 ML, 20 MG per 100 ML","DEXTROSE, NITROGLYCERIN","dextrose, nitroglycerin","dextrose 5 g per 100 mL and nitroglycerin 20 mg per 100 mL","dextrose 5 g per 100 mL and nitroglycerin 20 mg per 100 mL"
18099,FALSE,3,"6974, 7140, 3566","lanolin and mineral oil and petrolatum","2 %, 42.5 %, 55 %","LANOLIN, MINERAL OIL, PETROLATUM","lanolin, mineral oil, petrolatum","lanolin 2 % and mineral oil 42.5 % and petrolatum 55 %","lanolin 2 % and mineral oil 42.5 % and petrolatum 55 %"
18136,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL","sodium chloride 9 mg per mL"
18139,TRUE,2,"2041, 10135","atenolol and chlorthalidone","50 MG, 25 MG","ATENOLOL, CHLORTHALIDONE","atenolol, chlorthalidone","atenolol 50 mg and chlorthalidone 25 mg","atenolol 50 mg and chlorthalidone 25 mg"
18161,TRUE,1,"2041","atenolol","50 MG","ATENOLOL","atenolol","atenolol 50 mg","atenolol 50 mg"
18167,FALSE,5,"47, 51, 42, 49, 55","acetic acid and calcium chloride and dextrose and magnesium chloride and sodium chloride","10.8 G per L, 7.49 G per L, 45 G per L, 1.61 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 7.49 g per l and dextrose 45 g per l and magnesium chloride 1.61 g per l and sodium chloride 263 g per l","acetic acid 10.8 g per l and calcium chloride 7.49 g per l and dextrose 45 g per l and magnesium chloride 1.61 g per l and sodium chloride 263 g per l"
18186,FALSE,3,"721, 720, 5201","aluminum hydroxide and magnesium hydroxide and oxetacaine","300 MG per 5 ML, 100 MG per 5 ML, 10 MG per 5 ML","ALUMINUM HYDROXIDE, MAGNESIUM HYDROXIDE, OXETACAINE","aluminum hydroxide, magnesium hydroxide, oxetacaine","aluminum hydroxide 300 mg per 5 mL and magnesium hydroxide 100 mg per 5 mL and oxetacaine 10 mg per 5 mL","aluminum hydroxide 300 mg per 5 mL and magnesium hydroxide 100 mg per 5 mL and oxetacaine 10 mg per 5 mL"
18188,TRUE,1,"2041","atenolol","100 MG","ATENOLOL","atenolol","atenolol 100 mg","atenolol 100 mg"
18189,TRUE,1,"1939","trazodone","150 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 150 mg","trazodone hydrochloride 150 mg"
18190,TRUE,1,"1939","trazodone","100 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 100 mg","trazodone hydrochloride 100 mg"
18191,TRUE,1,"1939","trazodone","50 MG","TRAZODONE HYDROCHLORIDE","trazodone hydrochloride","trazodone hydrochloride 50 mg","trazodone hydrochloride 50 mg"
18199,FALSE,6,"47, 51, 42, 49, 53, 55","acetic acid and calcium chloride and dextrose and magnesium chloride and potassium chloride and sodium chloride","8.11 G per L, 7.49 G per L, 45 G per L, 2.14 G per L, 5.02 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","acetic acid 8.11 g per l and calcium chloride 7.49 g per l and dextrose 45 g per l and magnesium chloride 2.14 g per l and potassium chloride 5.02 g per l and sodium chloride 263 g per l","acetic acid 8.11 g per l and calcium chloride 7.49 g per l and dextrose 45 g per l and magnesium chloride 2.14 g per l and potassium chloride 5.02 g per l and sodium chloride 263 g per l"
