"drug_code","unit_of_presentation","uop_size","uop_unit_of_measure","uop_suffix","calculation","uop_size_insert","ntp_ing_formal_name_uop","mp_ing_formal_name_uop","drug_identification_number"
47871,"vial",10,"mL","10 mL vial","N","Y","insulin lispro 100 unit per mL","insulin lispro 100 unit per mL","02229704"
47872,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin lispro 100 unit per mL","insulin lispro 100 unit per mL","02229705"
49026,"vial",5,"mL","vial","Y","N","diltiazem hydrochloride 25 mg per 5 mL","diltiazem hydrochloride 25 mg per 5 mL","02230274"
49026,"vial",10,"mL","vial","Y","N","diltiazem hydrochloride 50 mg per 10 mL","diltiazem hydrochloride 50 mg per 10 mL","02230274"
49605,"vial",2,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 300 mg per 2 mL","clindamycin (clindamycin phosphate) 300 mg per 2 mL","02230535"
49605,"vial",4,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 600 mg per 4 mL","clindamycin (clindamycin phosphate) 600 mg per 4 mL","02230535"
49605,"vial",6,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 900 mg per 6 mL","clindamycin (clindamycin phosphate) 900 mg per 6 mL","02230535"
49612,"vial",60,"mL","60 mL vial","N","Y","clindamycin (clindamycin phosphate) 150 mg per mL","clindamycin (clindamycin phosphate) 150 mg per mL","02230540"
49612,"vial",120,"mL","120 mL vial","N","Y","clindamycin (clindamycin phosphate) 150 mg per mL","clindamycin (clindamycin phosphate) 150 mg per mL","02230540"
49965,"vial",5,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 250 mg per 5 mL","haloperidol (haloperidol decanoate) 250 mg per 5 mL","02230707"
49967,"vial",1,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 100 mg per 1 mL","haloperidol (haloperidol decanoate) 100 mg per 1 mL","02230708"
49967,"vial",5,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 500 mg per 5 mL","haloperidol (haloperidol decanoate) 500 mg per 5 mL","02230708"
50442,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 250 mcg per 2 mL","ipratropium bromide 250 mcg per 2 mL","02231135"
50443,"bottle",20,"mL","20 mL bottle","N","Y","ipratropium bromide 250 mcg per mL","ipratropium bromide 250 mcg per mL","02231136"
50516,"vial",10,"mL","vial","Y","N","hydroxyzine hydrochloride 500 mg per 10 mL","hydroxyzine hydrochloride 500 mg per 10 mL","02231209"
50551,"unit dose vial",1,"mL","unit dose vial","Y","N","ipratropium bromide 250 mcg per 1 mL","ipratropium bromide 250 mcg per 1 mL","02231244"
50552,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 500 mcg per 2 mL","ipratropium bromide 500 mcg per 2 mL","02231245"
50747,"unit dose vial",2,"mL","2 mL unit dose vial","N","Y","cromolyn sodium 1 %","cromolyn sodium 1 %","02231431"
50819,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL","02231488"
50824,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 0.05 % per 2 mL","ipratropium bromide 0.05 % per 2 mL","02231494"
51054,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","02231678"
51066,"vial",20,"mL","vial","Y","N","labetalol hydrochloride 100 mg per 20 mL","labetalol hydrochloride 100 mg per 20 mL","02231689"
60208,"vial",20,"mL","vial","Y","N","acyclovir (acyclovir sodium) 500 mg per 20 mL","acyclovir (acyclovir sodium) 500 mg per 20 mL","02236916"
60218,"vial",10,"mL","vial","Y","N","acyclovir (acyclovir sodium) 500 mg per 10 mL","acyclovir (acyclovir sodium) 500 mg per 10 mL","02236926"
60218,"vial",20,"mL","vial","Y","N","acyclovir (acyclovir sodium) 1000 mg per 20 mL","acyclovir (acyclovir sodium) 1000 mg per 20 mL","02236926"
60224,"unit dose vial",2.5,"mL","unit dose vial","Y","N","NA na na per 2.5 mL","NA","02236931"
60225,"unit dose vial",2.5,"mL","unit dose vial","Y","N","NA na na per 2.5 mL","NA","02236932"
60226,"unit dose vial",2.5,"mL","unit dose vial","Y","N","NA na na per 2.5 mL","NA","02236933"
61553,"tube",0.5,"mL","tube","Y","N","diazepam 2.5 mg per 0.5 mL","diazepam 2.5 mg per 0.5 mL","02238162"
61553,"tube",1,"mL","tube","Y","N","diazepam 5 mg per 1 mL","diazepam 5 mg per 1 mL","02238162"
61553,"tube",1.5,"mL","tube","Y","N","diazepam 7.5 mg per 1.5 mL","diazepam 7.5 mg per 1.5 mL","02238162"
61553,"tube",3,"mL","tube","Y","N","diazepam 15 mg per 3 mL","diazepam 15 mg per 3 mL","02238162"
61553,"tube",4,"mL","tube","Y","N","diazepam 20 mg per 4 mL","diazepam 20 mg per 4 mL","02238162"
62344,"vial",2,"mL","vial","Y","N","benztropine mesylate 2 mg per 2 mL","benztropine mesylate 2 mg per 2 mL","02238903"
62586,"bottle",20,"mL","20 mL bottle","N","Y","ipratropium bromide 0.25 mg per mL","ipratropium bromide 0.25 mg per mL","02239131"
62586,"unit dose vial",1,"mL","unit dose vial","Y","N","ipratropium bromide 0.25 mg per 1 mL","ipratropium bromide 0.25 mg per 1 mL","02239131"
62586,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 0.5 mg per 2 mL","ipratropium bromide 0.5 mg per 2 mL","02239131"
62834,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","02239365"
62835,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","salbutamol (salbutamol sulfate) 5 mg per 2.5 mL","02239366"
63111,"vial",5,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 250 mg per 5 mL","haloperidol (haloperidol decanoate) 250 mg per 5 mL","02239639"
63112,"vial",1,"mL","vial","Y","N","haloperidol (haloperidol decanoate) 100 mg per 1 mL","haloperidol (haloperidol decanoate) 100 mg per 1 mL","02239640"
63447,"vial",1,"mL","vial","Y","N","ketorolac tromethamine 30 mg per 1 mL","ketorolac tromethamine 30 mg per 1 mL","02239944"
63983,"ampoule",2,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 100 mcg per 2 mL","fentanyl (fentanyl citrate) 100 mcg per 2 mL","02240434"
63983,"vial",5,"mL","vial","Y","N","fentanyl (fentanyl citrate) 250 mcg per 5 mL","fentanyl (fentanyl citrate) 250 mcg per 5 mL","02240434"
63983,"vial",10,"mL","vial","Y","N","fentanyl (fentanyl citrate) 500 mcg per 10 mL","fentanyl (fentanyl citrate) 500 mcg per 10 mL","02240434"
63983,"vial",20,"mL","vial","Y","N","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","fentanyl (fentanyl citrate) 1000 mcg per 20 mL","02240434"
63983,"vial",50,"mL","vial","Y","N","fentanyl (fentanyl citrate) 2500 mcg per 50 mL","fentanyl (fentanyl citrate) 2500 mcg per 50 mL","02240434"
65646,"ampoule",1,"mL","ampoule","Y","N","pentazocine (pentazocine lactate) 30 mg per 1 mL","pentazocine (pentazocine lactate) 30 mg per 1 mL","02241976"
65673,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 50 mg per 1 mL","meperidine hydrochloride 50 mg per 1 mL","02242003"
65674,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 75 mg per 1 mL","meperidine hydrochloride 75 mg per 1 mL","02242004"
65675,"ampoule",1,"mL","ampoule","Y","N","meperidine hydrochloride 100 mg per 1 mL","meperidine hydrochloride 100 mg per 1 mL","02242005"
65676,"vial",20,"mL","20 mL vial","N","Y","meperidine hydrochloride 100 mg per mL","meperidine hydrochloride 100 mg per mL","02242006"
66036,"vial",3,"mL","vial","Y","N","amiodarone hydrochloride 150 mg per 3 mL","amiodarone hydrochloride 150 mg per 3 mL","02242325"
66036,"vial",9,"mL","vial","Y","N","amiodarone hydrochloride 450 mg per 9 mL","amiodarone hydrochloride 450 mg per 9 mL","02242325"
66036,"vial",18,"mL","vial","Y","N","amiodarone hydrochloride 900 mg per 18 mL","amiodarone hydrochloride 900 mg per 18 mL","02242325"
66221,"vial",1,"ml","vial","Y","N","morphine sulfate 2 mg per 1 mL","morphine sulfate 2 mg per 1 mL","02242484"
67132,"ampoule",2,"mL","ampoule","N","N","diazepam 10 mg per 2 mL","diazepam 10 mg per 2 mL","02243240"
67176,"vial",1,"mL","vial","Y","N","lorazepam 4 mg per 1 mL","lorazepam 4 mg per 1 mL","02243278"
67481,"vial",2,"mL","vial","Y","N","metoclopramide hydrochloride 10 mg per 2 mL","metoclopramide hydrochloride 10 mg per 2 mL","02243563"
67481,"vial",10,"mL","vial","Y","N","metoclopramide hydrochloride 50 mg per 10 mL","metoclopramide hydrochloride 50 mg per 10 mL","02243563"
67481,"vial",30,"mL","vial","Y","N","metoclopramide hydrochloride 150 mg per 30 mL","metoclopramide hydrochloride 150 mg per 30 mL","02243563"
67766,"unit dose vial",2,"mL","unit dose vial","Y","N","ipratropium bromide 250 mcg per 2 mL","ipratropium bromide 250 mcg per 2 mL","02243827"
67769,"unit dose vial",2.5,"mL","unit dose vial","Y","N","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","salbutamol (salbutamol sulfate) 1.25 mg per 2.5 mL","02243828"
67933,"vial",1,"mL","vial","Y","N","ketorolac tromethamine 30 mg per 1 mL","ketorolac tromethamine 30 mg per 1 mL","02243989"
68321,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02244353"
68717,"vial",5,"mL","vial","Y","N","diltiazem hydrochloride 25 mg per 5 mL","diltiazem hydrochloride 25 mg per 5 mL","02244728"
68717,"vial",10,"mL","vial","Y","N","diltiazem hydrochloride 50 mg per 10 mL","diltiazem hydrochloride 50 mg per 10 mL","02244728"
68787,"vial",10,"mL","10 mL vial","N","Y","hydromorphone hydrochloride 1000 mg per 10 mL","hydromorphone hydrochloride 1000 mg per 10 mL","02244797"
68945,"vial",1,"mL","vial","Y","N","ketorolac tromethamine 30 mg per 1 mL","ketorolac tromethamine 30 mg per 1 mL","02244947"
68945,"vial",2,"mL","vial","Y","N","ketorolac tromethamine 60 mg per 2 mL","ketorolac tromethamine 60 mg per 2 mL","02244947"
69271,"vial",3,"mL","vial","Y","N","amiodarone hydrochloride 150 mg per 3 mL","amiodarone hydrochloride 150 mg per 3 mL","02245248"
69384,"sachet",2.5,"g","2.5 g sachet","N","Y","testosterone 1 %","testosterone 1 %","02245345"
69385,"sachet",5,"g","5 g sachet","N","Y","testosterone 1 %","testosterone 1 %","02245346"
69441,"vial",10,"mL","10 mL vial","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02245397"
69787,"ampoule",1,"mL","ampoule","Y","N","NA na na per 1 mL","NA","02245686"
69790,"vial",10,"mL","10 mL vial","N","Y","insulin glargine 100 unit per mL","insulin glargine 100 unit per mL","02245689"
69797,"vial",3,"mL","vial","Y","N","amiodarone hydrochloride 150 mg per 3 mL","amiodarone hydrochloride 150 mg per 3 mL","02245696"
69797,"vial",6,"mL","vial","Y","N","amiodarone hydrochloride 300 mg per 6 mL","amiodarone hydrochloride 300 mg per 6 mL","02245696"
70198,"vial",10,"mL","vial","Y","N","testosterone cypionate 1000 mg per 10 mL","testosterone cypionate 1000 mg per 10 mL","02246063"
70586,"bag",250,"mL","250 mL bag","N","Y","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","02246414"
70586,"bottle",250,"mL","250 mL bottle","N","Y","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","02246414"
71180,"vial",3,"mL","vial","Y","N","amiodarone hydrochloride 150 mg per 3 mL","amiodarone hydrochloride 150 mg per 3 mL","02246953"
71180,"vial",18,"mL","vial","Y","N","amiodarone hydrochloride 900 mg per 18 mL","amiodarone hydrochloride 900 mg per 18 mL","02246953"
73683,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin glargine 100 unit per mL","insulin glargine 100 unit per mL","02251930"
74194,"vial",2,"mL","vial","Y","N","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL","ranitidine (ranitidine hydrochloride) 100 mg per 2 mL","02256711"
74553,"vial",10,"mL","vial","Y","N","NA na na per 10 mL","NA","02260301"
74685,"bag",100,"mL","bag","Y","N","fluconazole 200 mg per 100 mL","fluconazole 200 mg per 100 mL","02261472"
74685,"bag",200,"mL","bag","Y","N","fluconazole 400 mg per 200 mL","fluconazole 400 mg per 200 mL","02261472"
75326,"vial",5,"mL","vial","Y","N","metoprolol tartrate 5 mg per 5 mL","metoprolol tartrate 5 mg per 5 mL","02267853"
75736,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin detemir 100 unit per mL","insulin detemir 100 unit per mL","02271842"
77967,"pen",3,"mL","3 mL pen","N","Y","insulin glargine 100 unit per mL","insulin glargine 100 unit per mL","02294338"
79244,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.15 mg per 0.3 mL","epinephrine 0.15 mg per 0.3 mL","02306743"
79245,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.3 mg per 0.3 mL","epinephrine 0.3 mg per 0.3 mL","02306751"
79483,"bag",250,"mL","250 mL bag","N","Y","esmolol hydrochloride 10 mg per mL","esmolol hydrochloride 10 mg per mL","02309238"
80549,"syringe",0.75,"mL","0.75 mL syringe","N","Y","methotrexate (methotrexate sodium) 7.5 mg per 0.75 mL","methotrexate (methotrexate sodium) 7.5 mg per 0.75 mL","02320029"
80550,"syringe",1,"mL","1 mL syringe","N","Y","methotrexate (methotrexate sodium) 10 mg per mL","methotrexate (methotrexate sodium) 10 mg per mL","02320037"
80551,"syringe",1.5,"mL","1.5 mL syringe","N","Y","methotrexate (methotrexate sodium) 15 mg per 1.5 mL","methotrexate (methotrexate sodium) 15 mg per 1.5 mL","02320045"
80771,"vial",1,"mL","vial","Y","N","medroxyprogesterone acetate 150 mg per 1 mL","medroxyprogesterone acetate 150 mg per 1 mL","02322250"
81063,"ampoule",1,"mL","ampoule","Y","N","epinephrine 1 mg per 1 mL","epinephrine 1 mg per 1 mL","02325225"
81253,"vial",2,"mL","vial","Y","N","methotrexate 50 mg per 2 mL","methotrexate 50 mg per 2 mL","02327236"
81253,"vial",20,"mL","vial","Y","N","methotrexate 500 mg per 20 mL","methotrexate 500 mg per 20 mL","02327236"
81253,"vial",40,"mL","vial","Y","N","methotrexate 1000 mg per 40 mL","methotrexate 1000 mg per 40 mL","02327236"
82711,"vial",12.5,"mL","vial","Y","N","sildenafil (sildenafil citrate) 10 mg per 12.5 mL","sildenafil (sildenafil citrate) 10 mg per 12.5 mL","02341611"
84533,"vial",2,"mL","vial","Y","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","02360365"
84533,"vial",4,"mL","vial","Y","N","furosemide 40 mg per 4 mL","furosemide 40 mg per 4 mL","02360365"
84539,"vial",25,"mL","vial","N","N","furosemide 250 mg per 25 mL","furosemide 250 mg per 25 mL","02360446"
84675,"syringe",0.5,"mL","0.5 mL syringe","N","Y","sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL","sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL","02361698"
85088,"vial",1,"mL","vial","Y","N","haloperidol 5 mg per 1 mL","haloperidol 5 mg per 1 mL","02366010"
85366,"vial",1,"mL","vial","Y","N","triamcinolone acetonide 40 mg per 1 mL","triamcinolone acetonide 40 mg per 1 mL","02368676"
86000,"syringe",3,"mL","syringe","Y","N","amiodarone hydrochloride 150 mg per 3 mL","amiodarone hydrochloride 150 mg per 3 mL","02374684"
86244,"vial",4,"mL","vial","Y","N","ibuprofen 400 mg per 4 mL","ibuprofen 400 mg per 4 mL","02376857"
86244,"vial",8,"mL","vial","Y","N","ibuprofen 800 mg per 8 mL","ibuprofen 800 mg per 8 mL","02376857"
86282,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02377209"
86837,"ampoule",2,"mL","ampoule","Y","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","02382539"
86837,"ampoule",4,"mL","ampoule","Y","N","furosemide 40 mg per 4 mL","furosemide 40 mg per 4 mL","02382539"
86845,"vial",1,"mL","vial","Y","N","hydromorphone hydrochloride 10 mg per 1 mL","hydromorphone hydrochloride 10 mg per 1 mL","02382636"
86845,"vial",5,"mL","vial","Y","N","hydromorphone hydrochloride 50 mg per 5 mL","hydromorphone hydrochloride 50 mg per 5 mL","02382636"
86845,"vial",50,"mL","50 mL vial","N","Y","hydromorphone hydrochloride 10 mg per mL","hydromorphone hydrochloride 10 mg per mL","02382636"
86878,"ampoule",1,"mL","ampoule","Y","N","morphine sulfate 10 mg per 1 mL","morphine sulfate 10 mg per 1 mL","02382997"
86878,"ampoule",5,"mL","ampoule","Y","N","morphine sulfate 50 mg per 5 mL","morphine sulfate 50 mg per 5 mL","02382997"
86984,"ampoule",2,"mL","ampoule","N","N","furosemide 20 mg per 2 mL","furosemide 20 mg per 2 mL","02384094"
86987,"ampoule",2,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 100 mcg per 2 mL","fentanyl (fentanyl citrate) 100 mcg per 2 mL","02384124"
86987,"ampoule",10,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 500 mcg per 10 mL","fentanyl (fentanyl citrate) 500 mcg per 10 mL","02384124"
87102,"ampoule",2,"mL","ampoule","Y","N","diazepam 10 mg per 2 mL","diazepam 10 mg per 2 mL","02385392"
87103,"ampoule",2,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 100 mcg per 2 mL","fentanyl (fentanyl citrate) 100 mcg per 2 mL","02385406"
87103,"ampoule",10,"mL","ampoule","Y","N","fentanyl (fentanyl citrate) 500 mcg per 10 mL","fentanyl (fentanyl citrate) 500 mcg per 10 mL","02385406"
87133,"vial",2,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 300 mg per 2 mL","clindamycin (clindamycin phosphate) 300 mg per 2 mL","02385716"
87133,"vial",4,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 600 mg per 4 mL","clindamycin (clindamycin phosphate) 600 mg per 4 mL","02385716"
87133,"vial",6,"mL","vial","Y","N","clindamycin (clindamycin phosphate) 900 mg per 6 mL","clindamycin (clindamycin phosphate) 900 mg per 6 mL","02385716"
87173,"ampoule",2,"mL","ampoule","N","N","diazepam 10 mg per 2 mL","diazepam 10 mg per 2 mL","02386143"
87304,"vial",20,"mL","vial","Y","N","labetalol hydrochloride 100 mg per 20 mL","labetalol hydrochloride 100 mg per 20 mL","02387468"
87304,"vial",40,"mL","vial","Y","N","labetalol hydrochloride 200 mg per 40 mL","labetalol hydrochloride 200 mg per 40 mL","02387468"
87333,"vial",1,"mL","vial","Y","N","dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL","dexamethasone phosphate (dexamethasone sodium phosphate) 10 mg per 1 mL","02387743"
87397,"bottle",100,"mL","bottle","Y","N","fluconazole 200 mg per 100 mL","fluconazole 200 mg per 100 mL","02388448"
87402,"vial",1,"mL","vial","Y","N","enalaprilat 1.25 mg per 1 mL","enalaprilat 1.25 mg per 1 mL","02388499"
87402,"vial",2,"mL","vial","Y","N","enalaprilat 2.5 mg per 2 mL","enalaprilat 2.5 mg per 2 mL","02388499"
87417,"vial",1,"mL","vial","Y","N","lorazepam 4 mg per 1 mL","lorazepam 4 mg per 1 mL","02388669"
87600,"vial",1,"mL","vial","Y","N","ketorolac tromethamine 30 mg per 1 mL","ketorolac tromethamine 30 mg per 1 mL","02390582"
87646,"vial",20,"mL","vial","Y","N","labetalol hydrochloride 100 mg per 20 mL","labetalol hydrochloride 100 mg per 20 mL","02391090"
88338,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 50 mg per 2 mL","methotrexate (methotrexate sodium) 50 mg per 2 mL","02398427"
88338,"vial",20,"mL","vial","Y","N","methotrexate (methotrexate sodium) 500 mg per 20 mL","methotrexate (methotrexate sodium) 500 mg per 20 mL","02398427"
88422,"ampoule",1,"mL","ampoule","Y","N","calcitriol 1 mcg per 1 mL","calcitriol 1 mcg per 1 mL","02399334"
88423,"ampoule",2,"mL","ampoule","Y","N","calcitriol 4 mcg per 2 mL","calcitriol 4 mcg per 2 mL","02399342"
88822,"pen",3,"mL","3 mL pen","N","Y","insulin lispro 100 unit per mL","insulin lispro 100 unit per mL","02403412"
88825,"pen",3,"mL","3 mL pen","N","Y","insulin isophane human 100 unit per mL","insulin isophane human biosynthetic 100 unit per mL","02403447"
89112,"vial",1,"mL","vial","Y","N","haloperidol 5 mg per 1 mL","haloperidol 5 mg per 1 mL","02406411"
89112,"vial",10,"mL","vial","Y","N","haloperidol 50 mg per 10 mL","haloperidol 50 mg per 10 mL","02406411"
89326,"bag",50,"mL","bag","Y","N","clindamycin (clindamycin phosphate) 600 mg per 50 mL","clindamycin (clindamycin phosphate) 600 mg per 50 mL","02408511"
89327,"bag",50,"mL","bag","Y","N","clindamycin (clindamycin phosphate) 900 mg per 50 mL","clindamycin (clindamycin phosphate) 900 mg per 50 mL","02408538"
89748,"pen",3,"mL","3 mL pen","N","Y","insulin detemir 100 unit per mL","insulin detemir 100 unit per mL","02412829"
89827,"ampoule",1,"mL","ampoule","Y","N","baclofen 0.05 mg per 1 mL","baclofen 0.05 mg per 1 mL","02413620"
89828,"ampoule",20,"mL","ampoule","N","N","baclofen 10 mg per 20 mL","baclofen 10 mg per 20 mL","02413639"
89829,"ampoule",5,"mL","ampoule","Y","N","baclofen 50 mg per 5 mL","baclofen 50 mg per 5 mL","02413647"
90222,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 50 mg per 2 mL","methotrexate (methotrexate sodium) 50 mg per 2 mL","02417626"
90222,"vial",40,"mL","vial","Y","N","methotrexate (methotrexate sodium) 1000 mg per 40 mL","methotrexate (methotrexate sodium) 1000 mg per 40 mL","02417626"
90372,"vial",2,"mL","vial","Y","N","methotrexate (methotrexate sodium) 50 mg per 2 mL","methotrexate (methotrexate sodium) 50 mg per 2 mL","02419173"
90372,"vial",40,"mL","vial","Y","N","methotrexate (methotrexate sodium) 1000 mg per 40 mL","methotrexate (methotrexate sodium) 1000 mg per 40 mL","02419173"
90687,"syringe",0.3,"mL","0.3 mL syringe","N","Y","methotrexate 7.5 mg per 0.3 mL","methotrexate 7.5 mg per 0.3 mL","02422166"
90688,"syringe",0.4,"mL","0.4 mL syringe","N","Y","methotrexate 10 mg per 0.4 mL","methotrexate 10 mg per 0.4 mL","02422174"
90689,"syringe",0.6,"mL","0.6 mL syringe","N","Y","methotrexate 15 mg per 0.6 mL","methotrexate 15 mg per 0.6 mL","02422182"
90690,"syringe",0.8,"mL","0.8 mL syringe","N","Y","methotrexate 20 mg per 0.8 mL","methotrexate 20 mg per 0.8 mL","02422190"
90691,"syringe",1,"mL","1 mL syringe","N","Y","methotrexate 25 mg per mL","methotrexate 25 mg per mL","02422204"
91537,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.3 mg per 0.3 mL","epinephrine 0.3 mg per 0.3 mL","02430940"
91538,"syringe",0.3,"mL","0.3 mL syringe","N","Y","epinephrine 0.15 mg per 0.3 mL","epinephrine 0.15 mg per 0.3 mL","02430959"
91579,"vial",2,"mL","vial","Y","N","phenytoin sodium 100 mg per 2 mL","phenytoin sodium 100 mg per 2 mL","02431378"
91579,"vial",5,"mL","vial","Y","N","phenytoin sodium 250 mg per 5 mL","phenytoin sodium 250 mg per 5 mL","02431378"
91749,"bag",250,"mL","250 mL bag","N","Y","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","moxifloxacin (moxifloxacin hydrochloride) 400 mg per 250 mL","02433087"
92016,"ampoule",1,"mL","ampoule","Y","N","epinephrine 1 mg per 1 mL","epinephrine 1 mg per 1 mL","02435810"
92310,"vial",1,"mL","vial","Y","N","lorazepam 2 mg per 1 mL","lorazepam 2 mg per 1 mL","02438704"
92402,"pen",3,"mL","3 mL pen","N","Y","insulin lispro 200 unit per mL","insulin lispro 200 unit per mL","02439611"
92621,"pen",1.5,"mL","1.5 mL pen","N","Y","insulin glargine 300 unit per mL","insulin glargine 300 unit per mL","02441829"
92801,"vial",1,"mL","vial","Y","N","ketorolac tromethamine 30 mg per 1 mL","ketorolac tromethamine 30 mg per 1 mL","02443376"
93005,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin glargine 100 unit per mL","insulin glargine 100 unit per mL","02444844"
93006,"pen",3,"mL","3 mL pen","N","Y","insulin glargine 100 unit per mL","insulin glargine 100 unit per mL","02444852"
93234,"vial",10,"mL","vial","Y","N","progesterone 500 mg per 10 mL","progesterone 500 mg per 10 mL","02446820"
94145,"syringe",0.35,"mL","0.35 mL syringe","N","Y","methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL","methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL","02454769"
94146,"syringe",0.45,"mL","0.45 mL syringe","N","Y","methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL","methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL","02454777"
94163,"syringe",0.4,"mL","0.4 mL syringe","N","Y","methotrexate (methotrexate sodium) 20 mg per 0.4 mL","methotrexate (methotrexate sodium) 20 mg per 0.4 mL","02454866"
94164,"syringe",0.5,"mL","0.5 mL syringe","N","Y","methotrexate (methotrexate sodium) 25 mg per 0.5 mL","methotrexate (methotrexate sodium) 25 mg per 0.5 mL","02454874"
94330,"vial",10,"mL","vial","Y","N","reslizumab 100 mg per 10 mL","reslizumab 100 mg per 10 mL","02456419"
94414,"ampoule",1,"mL","ampoule","Y","N","baclofen 0.05 mg per 1 mL","baclofen 0.05 mg per 1 mL","02457059"
94415,"ampoule",20,"mL","ampoule","Y","N","baclofen 10 mg per 20 mL","baclofen 10 mg per 20 mL","02457067"
94416,"ampoule",5,"mL","ampoule","Y","N","baclofen 10 mg per 5 mL","baclofen 10 mg per 5 mL","02457075"
94416,"ampoule",20,"mL","ampoule","Y","N","baclofen 40 mg per 20 mL","baclofen 40 mg per 20 mL","02457075"
94775,"vial",10,"mL","10 mL vial","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02460408"
94776,"cartridge",3,"mL","3 mL cartridge","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02460416"
94777,"pen",3,"mL","3 mL pen","N","Y","insulin aspart 100 unit per mL","insulin aspart 100 unit per mL","02460424"
94803,"ampoule",1,"mL","ampoule","Y","N","hydromorphone hydrochloride 2 mg per 1 mL","hydromorphone hydrochloride 2 mg per 1 mL","02460602"
94804,"ampoule",1,"mL","ampoule","Y","N","hydromorphone hydrochloride 10 mg per 1 mL","hydromorphone hydrochloride 10 mg per 1 mL","02460610"
94804,"ampoule",10,"mL","ampoule","Y","N","hydromorphone hydrochloride 100 mg per 10 mL","hydromorphone hydrochloride 100 mg per 10 mL","02460610"
