ccdd,top250name,dpd_ingredient,ing_stem,hydrate,ntp_ing,CCDD.Status,comments_do.not.use.commas.or.special.characters,index_num,dpd_ingredient_FR,ing_stem_fr,ntp_ing_fr
Y,,CYCLOPENTOLATE HYDROCHLORIDE,cyclopentolate,FALSE,cyclopentolate hydrochloride,Released,,420,Chlorhydrate de cyclopentolate,cyclopentolate,chlorhydrate de cyclopentolate
Y,,CYCLOPHOSPHAMIDE,cyclophosphamide,FALSE,cyclophosphamide,Released,,421,Cyclophosphamide,cyclophosphamide,cyclophosphamide
Y,,CYCLOSPORINE,cyclosporine,FALSE,cyclosporine,Released,,422,Cyclosporine,cyclosporine,cyclosporine
Y,,CYPROHEPTADINE HYDROCHLORIDE,cyproheptadine,FALSE,cyproheptadine hydrochloride,Released,,423,Chlorhydrate de cyproheptadine,cyproheptadine,chlorhydrate de cyproheptadine
Y,CYPROTERONE,CYPROTERONE ACETATE,cyproterone,FALSE,cyproterone acetate,Released,,424,Acétate de cyprotérone,cyprotérone,acétate de cyprotérone
Y,,CYSTEAMINE (CYSTEAMINE BITARTRATE),cysteamine,FALSE,cysteamine (cysteamine bitartrate),Issue - in QA,,425,Cystéamine (Bitartrate de cystéamine),cystéamine,cystéamine (bitartrate de cystéamine)
Y,,CYTARABINE,cytarabine,FALSE,cytarabine,Released,,426,Cytarabine,cytarabine,cytarabine
,,CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN),cytomegalovirus immune globulin (human),FALSE,cytomegalovirus immune globulin (human),Immunologic,,427,,cytomegalovirus immune globulin (human),cytomegalovirus immune globulin (human)
,,CYTOMEGALOVIRUS IMMUNOLOBULIN (HUMAN),cytomegalovirus immunolobulin (human),FALSE,cytomegalovirus immunolobulin (human),Immunologic,,428,Immunoglobluline (humaine) anti-cytomégalovirus,cytomegalovirus immunolobulin (human),cytomegalovirus immunolobulin (human)
,,D&C RED NO. 28,d&c red no. 28,FALSE,d&c red no. 28,Contrast media,Dental disclosing tablets,429,Rouge D&C No 28,d&c red no. 28,d&c red no. 28
Y,DABIGATRAN ETEXILATE,DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE),dabigatran,FALSE,dabigatran etexilate (dabigatran etexilate mesilate),Released,,430,Dabigatran étexilate (Mésilate de dabigatran étexilate),dabigatran,dabigatran étexilate (mésilate de dabigatran étexilate)
Y,,Dabrafenib (Dabrafenib mesylate),dabrafenib,FALSE,dabrafenib (dabrafenib mesylate),Released,,431,Dabrafénib (Mésylate de dabrafénib),dabrafénib,dabrafénib (mésylate de dabrafénib)
Y,,DACARBAZINE,dacarbazine,FALSE,dacarbazine,Released,,432,Dacarbazine,dacarbazine,dacarbazine
Y,,Daclatasvir (Daclatasvir Dihydrochloride),daclatasvir,FALSE,daclatasvir (daclatasvir dihydrochloride),Released,,433,Daclatasvir (Dichlorhydrate de Daclatasvir),daclatasvir,daclatasvir (dichlorhydrate de daclatasvir)
,,DACLIZUMAB BETA,daclizumab beta,FALSE,daclizumab beta,Withdrawn,Intentionally left out of CCDD even though stock not expired because product withdrawn worldwide due to safety concerns,434,daclizumab bêta,daclizumab beta,daclizumab beta
Y,,DACTINOMYCIN,dactinomycin,FALSE,dactinomycin,Released,,435,Dactinomycine,dactinomycine,dactinomycine
Y,,DALTEPARIN SODIUM,dalteparin,FALSE,dalteparin sodium,Released,,436,Daltéparine sodique,daltéparine sodique,daltéparine sodique
Y,,DANAPAROID SODIUM,danaparoid,FALSE,danaparoid sodium,Released,,437,Danaparoïde sodique,danaparoïde,danaparoïde sodique
Y,,DANAZOL,danazol,FALSE,danazol,Released,,438,Danazol,danazol,danazol
Y,,DANTROLENE SODIUM,dantrolene,FALSE,dantrolene sodium,Released,,439,Dantrolène sodique,dantrolène,dantrolène sodique
Y,,Dapagliflozin (Dapagliflozin propanediol monohydrate),dapagliflozin,TRUE,dapagliflozin (dapagliflozin propanediol),Released,,440,Dapagliflozine (Propanediol de dapagliflozine monohydraté),dapagliflozine,dapagliflozine (propanediol de dapagliflozine)
Y,,DAPSONE,dapsone,FALSE,dapsone,Released,,441,Dapsone,dapsone,dapsone
Y,,DAPTOMYCIN,daptomycin,FALSE,daptomycin,Released,,442,Daptomycine,daptomycine,daptomycine
Y,,DARATUMUMAB,daratumumab,FALSE,daratumumab,Released,,443,Daratumumab,daratumumab,daratumumab
Y,,DARBEPOETIN ALFA,darbepoetin alfa,FALSE,darbepoetin alfa,Released,,444,Darbépoétine alfa,darbépoétine alfa,darbépoétine alfa
Y,,DARIFENACIN (DARIFENACIN HYDROBROMIDE),darifenacin,FALSE,darifenacin (darifenacin hydrobromide),Released,,445,Darifénacine (Bromhydrate de darifénacine),darifénacine,darifénacine (bromhydrate de darifénacine)
Y,,DARUNAVIR (DARUNAVIR ETHANOLATE),darunavir,FALSE,darunavir (darunavir ethanolate),Released,,446,Darunavir (Éthanolate de darunavir),darunavir,darunavir (éthanolate de darunavir)
,,Dasabuvir (Dasabuvir sodium monohydrate),dasabuvir (dasabuvir sodium monohydrate),TRUE,dasabuvir (dasabuvir sodium monohydrate),No live products,,447,Dasabuvir (Dasabuvir sodique monohydraté),dasabuvir (dasabuvir sodium monohydrate),dasabuvir (dasabuvir sodium monohydrate)
Y,,DASATINIB (DASATINIB MONOHYDRATE),dasatinib,TRUE,dasatinib,Released,,448,Dasatinib (Monohydrate de dasatinib),dasatinib,dasatinib
Y,,DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE),daunorubicin,FALSE,daunorubicin (daunorubicin hydrochloride),Released,,449,Daunorubicine (Chlorhydrate de daunorubicine),daunorubicine,daunorubicine (chlorhydrate de daunorubicine)
Y,,DEFERASIROX,deferasirox,FALSE,deferasirox,Released,,450,Déférasirox,déférasirox,déférasirox
Y,,Deferiprone,deferiprone,FALSE,deferiprone,Released,,451,Défériprone,défériprone,défériprone
Y,,DEFEROXAMINE MESYLATE,deferoxamine,FALSE,deferoxamine mesylate,Released,,452,Mésylate de déféroxamine,déféroxamine,mésylate de déféroxamine
Y,,DEFIBROTIDE,defibrotide,FALSE,defibrotide,Released,,453,DÉFIBROTIDE,défibrotide,défibrotide
Y,,DEGARELIX (DEGARELIX ACETATE),degarelix,FALSE,degarelix (degarelix acetate),Released,,454,Dégarélix (Acétate de dégarélix),dégarélix,dégarélix (acétate de dégarélix)
Y,,DELAVIRDINE MESYLATE,delavirdine,FALSE,delavirdine mesylate,Released,,455,Mésylate de délavirdine,délavirdine,mésylate de délavirdine
Y,,DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT),tetrahydrocannabinol,FALSE,tetrahydrocannabinol,Released,,456,Delta-9-tétrahydrocannabinol (Extrait de cannabis sativa),tétrahydrocannabinol,tétrahydrocannabinol
Y,,DENOSUMAB,denosumab,FALSE,denosumab,Released,,457,Dénosumab,dénosumab,dénosumab
Y,,DEOXYCHOLIC ACID,deoxycholic acid,FALSE,deoxycholic acid,Released,,458,Acide désoxycholique,acide désoxycholique,acide désoxycholique
Y,,DEQUALINIUM CHLORIDE,dequalinium,FALSE,dequalinium chloride,Released,,459,Chlorure de déqualinium,déqualinium,chlorure de déqualinium
,,DERMATOPHAGOIDES FARINAE,dermatophagoides farinae,FALSE,dermatophagoides farinae,Allergen,,460,Dermatophagoides farinae,dermatophagoides farinae,dermatophagoides farinae
,,DERMATOPHAGOIDES PTERONYSSINUS,dermatophagoides pteronyssinus,FALSE,dermatophagoides pteronyssinus,Allergen,,461,Dermatophagoides pteronyssinus,dermatophagoides pteronyssinus,dermatophagoides pteronyssinus
Y,,DERQUANTEL,derquantel,FALSE,derquantel,No live products,Not an ingredient in human products,462,Derquantel,derquantel,derquantel
,,DESFLURANE,desflurane,FALSE,desflurane,Anaesthetic,,463,Desflurane,desflurane,desflurane
Y,,DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE),desipramine,FALSE,desipramine (desipramine hydrochloride),Released,,464,Désipramine (Chlorhydrate de désipramine),désipramine,désipramine (chlorhydrate de désipramine)
Y,,DESIPRAMINE HYDROCHLORIDE,desipramine,FALSE,desipramine hydrochloride,Released,,465,Chlorhydrate de désipramine,désipramine,chlorhydrate de désipramine
Y,,DESLORATADINE,desloratadine,FALSE,desloratadine,Released,,466,Desloratadine,desloratadine,desloratadine
Y,,DESMOPRESSIN (DESMOPRESSIN ACETATE),desmopressin,FALSE,desmopressin (desmopressin acetate),Released,,467,Desmopressine (Acétate de desmopressine),desmopressine,desmopressine (acétate de desmopressine)
Y,,DESMOPRESSIN ACETATE,desmopressin,FALSE,desmopressin acetate,Released,,468,Acétate de desmopressine,desmopressine,acétate de desmopressine
Y,,DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE),desmopressin,TRUE,desmopressin acetate,Released,,469,Acétate de desmopressine (Acétate de desmopressine trihydrate),desmopressine,acétate de desmopressine
Y,DESOGESTREL,DESOGESTREL,desogestrel,FALSE,desogestrel,Released,,470,Désogestrel,désogestrel,désogestrel
Y,,DESONIDE,desonide,FALSE,desonide,Released,,471,Désonide,désonide,désonide
Y,,DESOXIMETASONE,desoximetasone,FALSE,desoximetasone,Released,,472,Désoxyméthasone,désoxyméthasone,désoxyméthasone
Y,,DESVENLAFAXINE,desvenlafaxine,FALSE,desvenlafaxine,Released,,473,Desvenlafaxine,desvenlafaxine,desvenlafaxine
Y,DESVENLAFAXINE,DESVENLAFAXINE (DESVENLAFAXINE SUCCINATE),desvenlafaxine,FALSE,desvenlafaxine (desvenlafaxine succinate),Released,,474,Desvenlafaxine (Succinate de desvenlafaxine),desvenlafaxine,desvenlafaxine (succinate de desvenlafaxine)
Y,DEXAMETHASONE,DEXAMETHASONE,dexamethasone (base),FALSE,dexamethasone,Released,,475,Dexaméthasone,dexaméthasone (base),dexaméthasone
Y,DEXAMETHASONE,DEXAMETHASONE (DEXAMETHASONE SODIUM METASULPHOBENZOATE),dexamethasone (base),FALSE,dexamethasone (dexamethasone sodium metasulphobenzoate),Released,,476,Dexaméthasone (Métasulfobenzoate sodique de dexaméthasone),dexaméthasone (base),dexaméthasone (métasulfobenzoate sodique de dexaméthasone)
Y,DEXAMETHASONE,DEXAMETHASONE (DEXAMETHASONE SODIUM PHOSPHATE),dexamethasone (base),FALSE,dexamethasone (dexamethasone sodium phosphate),Released,,477,Dexaméthasone (Phosphate de dexaméthasone sodique),dexaméthasone (base),dexaméthasone (phosphate de dexaméthasone sodique)
Y,DEXAMETHASONE,DEXAMETHASONE PHOSPHATE (DEXAMETHASONE SODIUM PHOSPHATE),dexamethasone phosphate,FALSE,dexamethasone phosphate (dexamethasone sodium phosphate),Released,,478,Phosphate de dexaméthasone (Phosphate de dexaméthasone sodique),phosphate de dexaméthasone,phosphate de dexaméthasone (phosphate de dexaméthasone sodique)
Y,DEXAMETHASONE,DEXAMETHASONE SODIUM PHOSPHATE,dexamethasone sodium phosphate,FALSE,dexamethasone sodium phosphate,Released,,479,Phosphate de dexaméthasone sodique,phosphate de dexaméthasone sodique,phosphate de dexaméthasone sodique
Y,,DEXBROMPHENIRAMINE MALEATE,dexbrompheniramine maleate,FALSE,dexbrompheniramine maleate,No live products,,480,Maléate de dexbromphéniramine,dexbromphéniramine,maléate de dexbromphéniramine
Y,DEXLANSOPRAZOLE,DEXLANSOPRAZOLE,dexlansoprazole,FALSE,dexlansoprazole,Released,,481,Dexlansoprazole,dexlansoprazole,dexlansoprazole
Y,,DEXMEDETOMIDINE (DEXMEDETOMIDINE HYDROCHLORIDE),dexmedetomidine,FALSE,dexmedetomidine (dexmedetomidine hydrochloride),Released,,482,Dexmédétomidine (Chlorhydrate de dexmédétomidine),dexmédétomidine,dexmédétomidine (chlorhydrate de dexmédétomidine)
,,DEXPANTHENOL,dexpanthenol,FALSE,dexpanthenol,No live products,Vitamin B5 provitamin,483,Dexpanthénol,dexpanthenol,dexpanthenol
,,DEXPANTHENOL (PANTHENOL),dexpanthenol (panthenol),FALSE,dexpanthenol (panthenol),No live products,Vitamin B5 provitamin,484,Dexpanthénol,dexpanthenol (panthenol),dexpanthenol (panthenol)
Y,,DEXRAZOXANE,dexrazoxane,FALSE,dexrazoxane,Released,,485,Dexrazoxane,dexrazoxane,dexrazoxane
Y,,DEXTRAN,dextran,FALSE,dextran,Issue - in QA,Combination only with NaCl or Dextrose,486,Dextran,dextran,dextran
Y,,DEXTRAN 40,dextran 40,FALSE,dextran 40,No live products,,487,Dextran 40,dextran 40,dextran 40
Y,,DEXTRAN 70,dextran 70,FALSE,dextran 70,Released,Combination only,488,Dextran 70,dextran 70,dextran 70
Y,DEXTROAMPHETAMINE,DEXTROAMPHETAMINE SACCHARATE,dextroamphetamine,FALSE,dextroamphetamine saccharate,Released,,489,Saccharate de dextroamphétamine,dextroamphétamine,saccharate de dextroamphétamine
Y,DEXTROAMPHETAMINE,DEXTROAMPHETAMINE SULFATE,dextroamphetamine,FALSE,dextroamphetamine sulfate,Released,,490,Sulfate de dextroamphétamine,dextroamphétamine,sulfate de dextroamphétamine
Y,,DEXTROMETHORPHAN HYDROBROMIDE,dextromethorphan,FALSE,dextromethorphan hydrobromide,Released,,491,Bromhydrate de dextrométhorphane,dextrométhorphane,bromhydrate de dextrométhorphane
Y,,DEXTROMETHORPHAN HYDROBROMIDE (DEXTROMETHORPHAN POLISTIREX),dextromethorphan,FALSE,dextromethorphan hydrobromide (dextromethorphan polistirex),Released,,492,Bromhydrate de dextrométhorphane (Dextromethorphane polistirex),dextrométhorphane,bromhydrate de dextrométhorphane (dextromethorphane polistirex)
,,DEXTROSE,dextrose,FALSE,dextrose,,,493,Dextrose,dextrose,dextrose
,,DEXTROSE (DEXTROSE MONOHYDRATE),dextrose (dextrose monohydrate),TRUE,dextrose (dextrose monohydrate),,,494,Dextrose (Dextrose monohydraté),dextrose (dextrose monohydrate),dextrose (dextrose monohydrate)
,,DEXTROSE ANHYDROUS,dextrose anhydrous,FALSE,dextrose anhydrous,,,495,Dextrose anhydre,dextrose anhydrous,dextrose anhydrous
,,DIATRIZOATE MEGLUMINE,diatrizoate meglumine,FALSE,diatrizoate meglumine,Contrast media,,496,Diatrizoate de méglumine,diatrizoate meglumine,diatrizoate meglumine
,,DIATRIZOATE SODIUM,diatrizoate sodium,FALSE,diatrizoate sodium,Contrast media,,497,Diatrizoate de sodium,diatrizoate sodium,diatrizoate sodium
Y,DIAZEPAM,DIAZEPAM,diazepam,FALSE,diazepam,Released,,498,Diazépam,diazépam,diazépam
Y,,DIAZOXIDE,diazoxide,FALSE,diazoxide,Released,,499,Diazoxide,diazoxide,diazoxide
Y,DIBUCAINE,DIBUCAINE HYDROCHLORIDE,dibucaine,FALSE,dibucaine hydrochloride,Issue - in QA,Combination only,500,Chlorhydrate de dibucaïne,dibucaïne,chlorhydrate de dibucaïne
Y,,DICHLOROBENZENE,dichlorobenzene,FALSE,dichlorobenzene,Released,Comination - Cerumol,501,Dichlorobenzène,dichlorobenzène,dichlorobenzène
Y,,DICHLOROBENZYL ALCOHOL,dichlorobenzyl alcohol,FALSE,dichlorobenzyl alcohol,Released,,502,Alcool dichlorobenzylique,alcool dichlorobenzylique,alcool dichlorobenzylique
Y,DICLOFENAC,DICLOFENAC DIETHYLAMINE,diclofenac,FALSE,diclofenac diethylamine,Released,,503,Diclofénac diéthylamine,diclofénac,diclofénac diéthylamine
Y,DICLOFENAC,DICLOFENAC POTASSIUM,diclofenac,FALSE,diclofenac potassium,Released,,504,Diclofénac potassique,diclofénac,diclofénac potassique
Y,DICLOFENAC,DICLOFENAC SODIUM,diclofenac,FALSE,diclofenac sodium,Released,,505,Diclofénac sodique,diclofénac,diclofénac sodique
Y,,DICYCLOMINE HYDROCHLORIDE,dicyclomine,FALSE,dicyclomine hydrochloride,Released,,506,Chlorhydrate de dicyclomine,dicyclomine,chlorhydrate de dicyclomine
Y,,DIDANOSINE,didanosine,FALSE,didanosine,Released,,507,Didanosine,didanosine,didanosine
,,DIDECYL DIMETHYL AMMONIUM CHLORIDE,didecyl dimethyl ammonium chloride,FALSE,didecyl dimethyl ammonium chloride,Disinfectant,Not in scope,508,Chlorure de didécyl-diméthyl ammonium,didecyl dimethyl ammonium chloride,didecyl dimethyl ammonium chloride
Y,,Dienogest,dienogest,FALSE,dienogest,Released,,509,Diénogest,diénogest,diénogest
Y,,DIFLUNISAL,diflunisal,FALSE,diflunisal,Released,,510,Diflunisal,diflunisal,diflunisal
Y,,Difluprednate,difluprednate,FALSE,difluprednate,Released,,511,Difluprednate,difluprednate,difluprednate
Y,DIGOXIN,DIGOXIN,digoxin,FALSE,digoxin,Released,,512,Digoxine,digoxine,digoxine
,,DIGOXIN IMMUNE FAB (OVINE),digoxin immune fab (ovine),FALSE,digoxin immune fab (ovine),Antidote,,513,Fragments d'anticorps spécifiques de la digoxine [fab (ovins)],digoxin immune fab (ovine),digoxin immune fab (ovine)
Y,,DIHYDROERGOTAMINE MESYLATE,dihydroergotamine,FALSE,dihydroergotamine mesylate,Issue - in QA,,514,Mésylate de dihydroergotamine,dihydroergotamine,mésylate de dihydroergotamine
Y,DILTIAZEM,DILTIAZEM HYDROCHLORIDE,diltiazem,FALSE,diltiazem hydrochloride,Released,,515,Chlorhydrate de diltiazem,diltiazem,chlorhydrate de diltiazem
Y,,DILUENT,diluent,FALSE,diluent,Excipient,,516,Diluant,diluant,diluant
Y,,DIMENHYDRINATE,dimenhydrinate,FALSE,dimenhydrinate,Released,,517,Diménhydrinate,dimenhydrinate,dimenhydrinate
,,DIMERCAPROL,dimercaprol,FALSE,dimercaprol,Antidote,,518,Dimercaprol,dimercaprol,dimercaprol
Y,,DIMETHICONE,dimethicone,FALSE,dimethicone,Released,,519,Diméthicone,diméthicone,diméthicone
Y,,Dimethyl Fumarate,dimethyl fumarate,FALSE,dimethyl fumarate,Released,,520,Fumarate de diméthyle,fumarate de diméthyle,fumarate de diméthyle
Y,,DIMETHYL SULFOXIDE,dimethyl sulfoxide,FALSE,dimethyl sulfoxide,Issue - in QA,,521,Diméthylsulfoxyde,diméthylsulfoxyde,diméthylsulfoxyde
Y,,DINOPROST (DINOPROST TROMETHAMINE),dinoprost,FALSE,dinoprost (dinoprost tromethamine),Released,,522,Dinoprost (Dinoprost trométhamine),dinoprost,dinoprost (dinoprost trométhamine)
Y,,DINOPROSTONE,dinoprostone,FALSE,dinoprostone,Released,,523,Dinoprostone,dinoprostone,dinoprostone
,,DIOCTYL DIMETHYL AMMONIUM CHLORIDE,dioctyl dimethyl ammonium chloride,FALSE,dioctyl dimethyl ammonium chloride,Disinfectant,Not in scope,524,Chlorure de dioctyl-diméthyl ammonium,dioctyl dimethyl ammonium chloride,dioctyl dimethyl ammonium chloride
Y,,DIPHENHYDRAMINE CITRATE,diphenhydramine,FALSE,diphenhydramine citrate,Released,,525,Citrate de diphénhydramine,diphenhydramine,citrate de diphenhydramine
Y,,DIPHENHYDRAMINE HYDROCHLORIDE,diphenhydramine,FALSE,diphenhydramine hydrochloride,Released,,526,Chlorhydrate de diphénhydramine,diphenhydramine,chlorhydrate de diphenhydramine
Y,,DIPHENOXYLATE HYDROCHLORIDE,diphenoxylate,FALSE,diphenoxylate hydrochloride,Released,Combination only,527,Chlorhydrate de diphénoxylate,diphénoxylate,chlorhydrate de diphénoxylate
Y,,DIPHENYLPYRALINE HYDROCHLORIDE,diphenylpyraline,FALSE,diphenylpyraline hydrochloride,To Do,Combination only,528,Chlorhydrate de diphénylpyraline,diphénylpyraline,chlorhydrate de diphénylpyraline
,,DIPHTHERIA TOXOID,diphtheria toxoid,FALSE,diphtheria toxoid,Immunologic,,529,Anatoxine diphtérique,diphtheria toxoid,diphtheria toxoid
,,DIPHTHERIA TOXOID ADSORBED,diphtheria toxoid adsorbed,FALSE,diphtheria toxoid adsorbed,Immunologic,,530,Anatoxine diphtérique adsorbée,diphtheria toxoid adsorbed,diphtheria toxoid adsorbed
,,DIPIVEFRIN HYDROCHLORIDE,dipivefrin hydrochloride,FALSE,dipivefrin hydrochloride,No live products,,531,Chlorhydrate de dipivéfrine,dipivefrin hydrochloride,dipivefrin hydrochloride
Y,,DIPYRIDAMOLE,dipyridamole,FALSE,dipyridamole,Released,,532,Dipyridamole,dipyridamole,dipyridamole
,,DISODIUM EDETATE,disodium edetate,FALSE,disodium edetate,No live products,,533,Édétate disodique,disodium edetate,disodium edetate
Y,,DISOPYRAMIDE,disopyramide,FALSE,disopyramide,Released,,534,Disopyramide,disopyramide,disopyramide
,,DL-METHIONINE,dl-methionine,FALSE,dl-methionine,TPN,,535,DL-méthionine,dl-methionine,dl-methionine
Y,,DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE),dobutamine,FALSE,dobutamine (dobutamine hydrochloride),Released,,536,Dobutamine (Chlorhydrate de dobutamine),dobutamine,dobutamine (chlorhydrate de dobutamine)
Y,,DOCETAXEL,docetaxel,FALSE,docetaxel,Released,,537,Docétaxel,docétaxel,docétaxel
Y,,DOCOSANOL,docosanol,FALSE,docosanol,Released,,538,Docosanol,docosanol,docosanol
Y,DOCUSATE,DOCUSATE CALCIUM,docusate,FALSE,docusate calcium,Released,,539,Docusate de calcium,docusate,docusate calcique
Y,DOCUSATE,DOCUSATE SODIUM,docusate,FALSE,docusate sodium,Released,,540,Docusate sodique,docusate,docusate sodique
,,DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT,dolichovespula arenaria venom protein extract,FALSE,dolichovespula arenaria venom protein extract,Antidote,,541,Extraits de protéines de venin de dolichovespula arenaria,dolichovespula arenaria venom protein extract,dolichovespula arenaria venom protein extract
,,DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT,dolichovespula maculata venom protein extract,FALSE,dolichovespula maculata venom protein extract,Antidote,,542,Extrait de protéines de venin de dolichovespula maculata,dolichovespula maculata venom protein extract,dolichovespula maculata venom protein extract
Y,,DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM),dolutegravir,FALSE,dolutegravir (dolutegravir sodium),Released,,543,DOLUTÉGRAVIR (DOLUTEGRAVIR SODIUM),dolutégravir,dolutégravir (dolutégravir sodique)
Y,DOMPERIDONE,DOMPERIDONE (DOMPERIDONE MALEATE),domperidone,FALSE,domperidone (domperidone maleate),Released,,544,Dompéridone (Maléate de dompéridone),dompéridone,dompéridone (maléate de dompéridone)
Y,DONEPEZIL,DONEPEZIL HYDROCHLORIDE,donepezil,FALSE,donepezil hydrochloride,Released,,545,Chlorhydrate de donépézil,donépézil,chlorhydrate de donépézil
Y,DONEPEZIL,DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE),donepezil,TRUE,donepezil hydrochloride,Released,,546,Chlorhydrate de donépézil,donépézil,chlorhydrate de donépézil
Y,,DOPAMINE HYDROCHLORIDE,dopamine hydrochloride,FALSE,dopamine hydrochloride,,Not coming through without Dextrose flagged as Y,547,Chlorhydrate de dopamine,dopamine,chlorhydrate de dopamine
Y,,DORNASE ALFA,dornase alfa,FALSE,dornase alfa,Released,,548,Dornase alfa,dornase alfa,dornase alfa
Y,DORZOLAMIDE,DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE),dorzolamide,FALSE,dorzolamide (dorzolamide hydrochloride),Released,,549,Dorzolamide (Chlorhydrate de dorzolamide),dorzolamide,dorzolamide (chlorhydrate de dorzolamide)
Y,DOXAZOSIN,DOXAZOSIN (DOXAZOSIN MESYLATE),doxazosin,FALSE,doxazosin (doxazosin mesylate),Released,,550,Doxazosine (Mésylate de doxazosine),doxazosine,doxazosine (mésylate de doxazosine)
Y,,DOXEPIN (DOXEPIN HYDROCHLORIDE),doxepin,FALSE,doxepin (doxepin hydrochloride),Released,,551,Doxépine (Chlorhydrate de doxépine),doxépine,doxépine (chlorhydrate de doxépine)
Y,,DOXORUBICIN HYDROCHLORIDE,doxorubicin,FALSE,doxorubicin hydrochloride,Issue - in QA,,552,Chlorhydrate de doxorubicine,doxorubicine,chlorhydrate de doxorubicine
Y,DOXYCYCLINE,DOXYCYCLINE (DOXYCYCLINE HYCLATE),doxycycline,FALSE,doxycycline (doxycycline hyclate),Released,,553,Doxycycline (Hyclate de doxycycline),doxycycline,doxycycline (hyclate de doxycycline)
Y,DOXYCYCLINE,DOXYCYCLINE (Doxycycline Monohydrate),doxycycline,TRUE,doxycycline,Released,,554,Doxycycline (Monohydrate de Doxycycline),doxycycline,doxycycline
Y,,DOXYLAMINE SUCCINATE,doxylamine,FALSE,doxylamine succinate,Released,,555,Succinate de doxylamine,doxylamine,succinate de doxylamine
,,D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE),d-pantothenic acid (calcium d-pantothenate),FALSE,d-pantothenic acid (calcium d-pantothenate),No live products,No live products in scope. Vitamin B5,556,Acide d-pantothénique (D-pantothénate de calcium),d-pantothenic acid (calcium d-pantothenate),d-pantothenic acid (calcium d-pantothenate)
,,"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)","d-pantothenic acid (calcium d-pantothenate, riboflavin-5-phosphate)",FALSE,"d-pantothenic acid (calcium d-pantothenate, riboflavin-5-phosphate)",No live products,No live products in scope. Vitamin B5,557,"Acide d-pantothénique (D-pantothénate de calcium, 5-phosphate de riboflavine)","d-pantothenic acid (calcium d-pantothenate, riboflavin-5-phosphate)","d-pantothenic acid (calcium d-pantothenate, riboflavin-5-phosphate)"
Y,,D-PENICILLAMINE,penicillamine,FALSE,penicillamine,Released,,558,D-pénicillamine,pénicillamine,pénicillamine
,,DROMETRIZOLE TRISILOXANE,drometrizole trisiloxane,FALSE,drometrizole trisiloxane,Sunscreen,,559,Drométrizole trisiloxane,drometrizole trisiloxane,drometrizole trisiloxane
Y,,DRONEDARONE (DRONEDARONE HYDROCHLORIDE),dronedarone,FALSE,dronedarone (dronedarone hydrochloride),Released,,560,Dronédarone (Chlorhydrate de dronédarone),dronédarone,dronédarone (chlorhydrate de dronédarone)
Y,,DROPERIDOL,droperidol,FALSE,droperidol,Released,,561,Dropéridol,dropéridol,dropéridol
Y,DROSPIRENONE,DROSPIRENONE,drospirenone,FALSE,drospirenone,Released,Combination only,562,Drospirénone,drospirénone,drospirénone
Y,,DULAGLUTIDE,dulaglutide,FALSE,dulaglutide,Released,,563,Dulaglutide,dulaglutide,dulaglutide
Y,DULOXETINE,DULOXETINE (DULOXETINE HYDROCHLORIDE),duloxetine,FALSE,duloxetine (duloxetine hydrochloride),Released,,564,Duloxétine (Chlorhydrate de duloxétine),duloxétine,duloxétine (chlorhydrate de duloxétine)
Y,,DUPILUMAB,dupilumab,FALSE,dupilumab,Released,,565,dupilumab,dupilumab,dupilumab
Y,,DURVALUMAB,durvalumab,FALSE,durvalumab,Released,,566,DURVALUMAB,durvalumab,durvalumab
Y,DUTASTERIDE,DUTASTERIDE,dutasteride,FALSE,dutasteride,Released,,567,Dutastéride,dutastéride,dutastéride
Y,,DYCLONINE HYDROCHLORIDE,dyclonine,FALSE,dyclonine hydrochloride,Released,,568,Chlorhydrate de  dyclonine,dyclonine,chlorhydrate de dyclonine
Y,,ECULIZUMAB,eculizumab,FALSE,eculizumab,Released,,569,Éculizumab,éculizumab,éculizumab
Y,,EDOXABAN (EDOXABAN TOSYLATE),edoxaban,FALSE,edoxaban (edoxaban tosylate),Released,,570,Édoxaban (Tosylate d'Édoxaban),édoxaban,édoxaban (tosylate d'édoxaban)
Y,,EFAVIRENZ,efavirenz,FALSE,efavirenz,Released,,571,Éfavirenz,éfavirenz,éfavirenz
Y,,Efinaconazole,efinaconazole,FALSE,efinaconazole,Released,,572,Éfinaconazole,éfinaconazole,éfinaconazole
