drug_code,unit_of_presentation,uop_size,uop_unit_of_measure,calculation,uop_size_insert,DIN,Product_and_Company_Name,X,index_num,unit_of_presentation_fr
81253,vial,40,mL,Y,N,2327236,METHOTREXATE INJECTION, BP ACCORD HEALTHCARE INC,1,fiole
90691,syringe,1,mL,Y,N,2422204,METHOTREXATE INJECTION, BP PHARMASCIENCE INC,4,seringue
90687,syringe,0.3,mL,N,N,2422166,METHOTREXATE INJECTION, BP PHARMASCIENCE INC,4,seringue
12968,ampoule,10,mL,Y,N,1949047,MORPHINE-EPD INJECTION 0.5MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
13966,ampoule,10,mL,Y,N,2021056,MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED,,7,ampoule
6871,vial,30,mL,Y,N,636908,MORPHINE SULFATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
12728,ampoule,5,mL,Y,N,1949055,MORPHINE-EPD INJECTION 1MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
14020,ampoule,5,mL,Y,N,2021048,MORPHINE LP EPIDURAL SANDOZ CANADA INCORPORATED,,7,ampoule
12991,ampoule,1,mL,Y,N,850322,MORPHINE SULFATE INJECTION 10MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
86878,ampoule,1,mL,Y,N,2382997,MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
86878,ampoule,5,mL,Y,N,2382997,MORPHINE SULFATE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
12992,ampoule,1,mL,Y,N,850330,MORPHINE SULFATE INJECTION 15MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
3042,ampoule,1,mL,Y,N,392561,MORPHINE SULFATE INJ 15MG/ML USP SANDOZ CANADA INCORPORATED,,7,ampoule
12990,ampoule,1,mL,Y,N,850314,MORPHINE SULFATE INJECTION 2MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12701,ampoule,1,mL,Y,N,869317,MORPHINE FORTE INJECTION 25MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12701,ampoule,4,mL,Y,N,869317,MORPHINE FORTE INJECTION 25MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
7136,vial,30,mL,Y,N,649619,MORPHINE SULFATE INJECTION 5MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
12702,ampoule,1,mL,Y,N,869325,MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12702,vial,20,mL,N,Y,869325,MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
12702,vial,50,mL,N,Y,869325,MORPHINE EXTRA FORTE INJECTION 50MG/ML USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
43511,unit dose vial,2,mL,Y,N,2229099,PULMICORT NEBUAMP 0.125 MG/ML ASTRAZENECA CANADA INC,,5,fiole unidose
13191,unit dose vial,2,mL,Y,N,1978918,PULMICORT NEBUAMP 0.25 MG/ML ASTRAZENECA CANADA INC,,5,fiole unidose
13190,unit dose vial,2,mL,Y,N,1978926,PULMICORT NEBUAMP 0.5 MG/ML ASTRAZENECA CANADA INC,,5,fiole unidose
19761,unit dose vial,2.5,mL,Y,N,2208245,PMS-SALBUTAMOL PHARMASCIENCE INC,,5,fiole unidose
60224,unit dose vial,2.5,mL,Y,N,2236931,PHL-SALBUTAMOL RESPIRATOR SOLUTION PHARMEL INC,,5,fiole unidose
62834,unit dose vial,2.5,mL,Y,N,2239365,RATIO-SALBUTAMOL TEVA CANADA LIMITED,,5,fiole unidose
67769,unit dose vial,2.5,mL,Y,N,2243828,APO-SALVENT STERULES APOTEX INC,,5,fiole unidose
13550,unit dose vial,2.5,mL,Y,N,1926934,TEVA-SALBUTAMOL STERINEBS P.F. TEVA CANADA LIMITED,,5,fiole unidose
13668,bottle,10,mL,N,Y,1986864,RATIO-SALBUTAMOL TEVA CANADA LIMITED,,6,bouteille
19763,unit dose vial,2.5,mL,Y,N,2208229,PMS-SALBUTAMOL PHARMASCIENCE INC,,5,fiole unidose
50819,unit dose vial,2.5,mL,Y,N,2231488,APO-SALVENT STERULES APOTEX INC,,5,fiole unidose
43194,unit dose vial,2.5,mL,Y,N,2216949,DOM-SALBUTAMOL RESPIRATOR SOLUTION-1MG/ML DOMINION PHARMACAL,,5,fiole unidose
60225,unit dose vial,2.5,mL,Y,N,2236932,PHL-SALBUTAMOL RESPIRATOR SOLUTION [salbutamol (salbutamol sulfate) 1 mg per mL inhalation solution] PHARMEL INC,,5,fiole unidose
43100,unit dose vial,2.5,mL,N,N,2213419,VENTOLIN NEBULES P.F. - 2.5MG/2.5ML GLAXOSMITHKLINE INC,,5,fiole unidose
19058,unit dose vial,2.5,mL,Y,N,2173360,TEVA-SALBUTAMOL STERINEBS P.F. TEVA CANADA LIMITED,,5,fiole unidose
19762,unit dose vial,2.5,mL,Y,N,2208237,PMS-SALBUTAMOL PHARMASCIENCE INC,,5,fiole unidose
51054,unit dose vial,2.5,mL,Y,N,2231678,APO-SALVENT STERULES APOTEX INC,,5,fiole unidose
60226,unit dose vial,2.5,mL,Y,N,2236933,PHL-SALBUTAMOL RESPIRATOR SOLUTION 2 mg per mL inhalation solution] PHARMEL INC,,5,fiole unidose
62835,unit dose vial,2.5,mL,Y,N,2239366,RATIO-SALBUTAMOL TEVA CANADA LIMITED,,5,fiole unidose
43101,unit dose vial,2.5,mL,N,N,2213427,VENTOLIN NEBULES P.F. - 5MG/2.5ML GLAXOSMITHKLINE INC,,5,fiole unidose
10391,bottle,10,mL,N,Y,860808,RATIO-SALBUTAMOL TEVA CANADA LIMITED,,6,bouteille
16521,bottle,10,mL,N,Y,2046741,APO-SALVENT 5MG/ML APOTEX INC,,6,bouteille
16452,bottle,10,mL,N,Y,2069571,PMS-SALBUTAMOL PHARMASCIENCE INC,,6,bouteille
43108,bottle,10,mL,N,Y,2213486,VENTOLIN RESPIRATOR SOLUTION GLAXOSMITHKLINE INC,,6,bouteille
68321,cartridge,3,mL,N,Y,2244353,NOVORAPID NOVO NORDISK CANADA INC,,2,cartouche
69441,vial,10,mL,N,Y,2245397,NOVORAPID NOVO NORDISK CANADA INC,,1,fiole
86282,cartridge,3,mL,N,Y,2377209,NOVORAPID NOVO NORDISK CANADA INC,,2,cartouche
94775,vial,10,mL,N,Y,2460408,FIASP NOVO NORDISK CANADA INC,,1,fiole
94776,cartridge,3,mL,N,Y,2460416,FIASP NOVO NORDISK CANADA INC,,2,cartouche
94777,pen,3,mL,N,Y,2460424,FIASP NOVO NORDISK CANADA INC,,3,stylo
75736,cartridge,3,mL,N,Y,2271842,LEVEMIR PENFILL NOVO NORDISK CANADA INC,,2,cartouche
89748,pen,3,mL,N,Y,2412829,LEVEMIR FLEXTOUCH NOVO NORDISK CANADA INC,,3,stylo
92621,pen,1.5,mL,N,Y,2441829,TOUJEO SOLOSTAR SANOFI-AVENTIS CANADA INC,,3,stylo
12570,cartridge,3,mL,N,Y,1959239,HUMULIN N (CARTRIDGE) ELI LILLY CANADA INC,,2,cartouche
14261,vial,10,mL,N,Y,2024225,NOVOLIN GE NPH NOVO NORDISK CANADA INC,,1,fiole
14266,cartridge,3,mL,N,Y,2024268,NOVOLIN GE NPH PENFILL NOVO NORDISK CANADA INC,,2,cartouche
88825,pen,3,mL,N,Y,2403447,HUMULIN N (KWIKPEN) ELI LILLY CANADA INC,,3,stylo
47871,vial,10,mL,N,Y,2229704,HUMALOG ELI LILLY CANADA INC,,1,fiole
47872,cartridge,3,mL,N,Y,2229705,HUMALOG  (CARTRIDGE) ELI LILLY CANADA INC,,2,cartouche
88822,pen,3,mL,N,Y,2403412,HUMALOG  (KWIKPEN) ELI LILLY CANADA INC,,3,stylo
92402,pen,3,mL,N,Y,2439611,HUMALOG 200 UNITS/ML KWIKPEN [insulin lispro 200 unit per mL solution for injection] ELI LILLY CANADA INC,,3,stylo
5326,vial,10,mL,N,Y,587737,HUMULIN N ELI LILLY CANADA INC,,1,fiole
61553,tube,0.5,mL,Y,N,2238162,DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC,,9,tube
61553,tube,1,mL,Y,N,2238162,DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC,,9,tube
61553,tube,1.5,mL,Y,N,2238162,DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC,,9,tube
61553,tube,3,mL,Y,N,2238162,DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC,,9,tube
61553,tube,4,mL,Y,N,2238162,DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC,,9,tube
69384,sachet,2.5,g,N,Y,2245345,ANDROGEL BGP PHARMA ULC,,10,sachet
69385,sachet,5,g,N,Y,2245346,ANDROGEL BGP PHARMA ULC,,10,sachet
11011,vial,10,mL,Y,N,783900,PMS-DEXAMETHASONE SOD PHOSPHATE INJ 10MG/ML PHARMASCIENCE INC,,1,fiole
74553,vial,10,mL,Y,N,2260301,PHL-DEXAMETHASONE PHARMEL INC,,1,fiole
9613,vial,5,mL,Y,N,751863,PMS-DEXAMETHASONE SOD PHOSPHATE INJ 4MG/ML PHARMASCIENCE INC,,1,fiole
10312,vial,10,mL,Y,N,816086,FOLIC ACID INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
31358,vial,10,mL,Y,N,2139480,FOLIC ACID INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
8118,vial,1,mL,Y,N,742813,HYDROXYZINE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
50516,vial,10,mL,Y,N,2231209,HYDROXYZINE HYDROCHLORIDE INJECTION, USP STERIMAX INC,1,fiole
16848,vial,10,mL,N,N,860778,NITROGLYCERIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
93234,vial,10,mL,Y,N,2446820,ACT PROGESTERONE INJECTION ACTAVIS PHARMA COMPANY,,1,fiole
43431,ampoule,1,mL,Y,N,2225883,PROPRANOLOL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
70198,vial,10,mL,Y,N,2246063,TESTOSTERONE CYPIONATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
11224,vial,10,mL,Y,N,739944,PMS-TESTOSTERONE ENANTHATE INJ 200MG/ML USP PHARMASCIENCE INC,,1,fiole
13414,vial,10,mL,Y,N,1977571,TESTOSTERONE PROPIONATE INJECTION, USP STERIMAX INC,1,fiole
47450,vial,5,mL,Y,N,2229540,TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED,,1,fiole
13998,vial,5,mL,Y,N,1977563,TRIAMCINOLONE ACETONIDE SUSPENSION STERIMAX INC,,1,fiole
47461,vial,5,mL,Y,N,2229550,TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED,,1,fiole
35794,vial,1,mL,Y,N,2194155,ARISTOSPAN VALEO PHARMA INC,,1,fiole
44212,ampoule,1,mL,Y,N,2176009,PROGRAF ASTELLAS PHARMA CANADA INC,,7,ampoule
82711,vial,12.5,mL,Y,N,2341611,REVATIO PFIZER CANADA INC,,1,fiole
4703,ampoule,5,mL,Y,N,550086,SEPTRA INJECTION ASPEN PHARMACARE CANADA INC,,7,ampoule
36481,vial,1,mL,Y,N,2204274,DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD,,1,fiole
36481,vial,10,mL,Y,N,2204274,DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD,,1,fiole
6593,vial,5,mL,Y,N,664227,DEXAMETHASONE SODIUM PHOSPHATE INJ USP 4MG/ML SANDOZ CANADA INCORPORATED,,1,fiole
13255,vial,5,mL,Y,N,1977547,DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP STERIMAX INC,1,fiole
36480,vial,1,mL,Y,N,2204266,DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD,,1,fiole
87333,vial,1,mL,Y,N,2387743,DEXAMETHASONE OMEGA UNIDOSE OMEGA LABORATORIES LTD,,1,fiole
12208,vial,1,mL,Y,N,874582,DEXAMETHASONE SOD PHOSPH INJ 10MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
18325,vial,1,mL,Y,N,2145936,HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED,,1,fiole
18325,vial,5,mL,Y,N,2145936,HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED,,1,fiole
18325,vial,50,mL,N,Y,2145936,HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED,,1,fiole
86244,vial,4,mL,Y,N,2376857,CALDOLOR ALVEDA PHARMACEUTICALS INC,,1,fiole
86244,vial,8,mL,Y,N,2376857,CALDOLOR ALVEDA PHARMACEUTICALS INC,,1,fiole
6872,vial,30,mL,N,Y,640409,MEPERIDINE HYDROCHLORIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION,,1,fiole
65676,vial,20,mL,N,Y,2242006,DEMEROL 100 MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
31288,vial,50,mL,N,Y,2137267,MORPHINE SULPHATE INJECTION 50MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
49612,vial,60,mL,N,Y,2230540,CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
49612,vial,120,mL,N,Y,2230540,CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
49605,vial,2,mL,Y,N,2230535,CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
49605,vial,4,mL,Y,N,2230535,CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
49605,vial,6,mL,Y,N,2230535,CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
13077,vial,5,mL,Y,N,1980696,MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
13077,vial,10,mL,Y,N,1980696,MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
13077,vial,50,mL,N,Y,1980696,MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
31285,vial,5,mL,Y,N,2137232,MORPHINE SULPHATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
31285,vial,50,mL,N,Y,2137232,MORPHINE SULPHATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
3043,ampoule,1,ml,Y,N,392588,MORPHINE SULFATE INJ 10MG/ML USP SANDOZ CANADA INCORPORATED,,7,ampoule
13078,vial,1,ml,Y,N,1964437,MORPHINE SULFATE INJ 2MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
13078,vial,50,mL,N,Y,1964437,MORPHINE SULFATE INJ 2MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
31286,vial,50,mL,N,Y,2137240,MORPHINE SULPHATE INJECTION 2MG/ML HOSPIRA HEALTHCARE CORPORATION,,1,fiole
66221,vial,1,ml,Y,N,2242484,MORPHINE SULFATE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
6690,ampoule,1,ml,Y,N,676411,MORPHINE HP 25 - 25MG/ML SANDOZ CANADA INCORPORATED,,7,ampoule
6690,ampoule,4,ml,Y,N,676411,MORPHINE HP 25 - 25MG/ML SANDOZ CANADA INCORPORATED,,7,ampoule
13079,vial,30,mL,N,Y,1964429,MORPHINE SULFATE INJ 5MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
7421,vial,1,ml,Y,N,617288,MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
7421,vial,5,mL,Y,N,617288,MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
7421,vial,10,mL,Y,N,617288,MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
7421,vial,50,mL,N,Y,617288,MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED,,1,fiole
70586,bag,250,mL,N,Y,2246414,AVELOX I.V.  BAYER INC,,8,bag
70586,bottle,250,mL,N,Y,2246414,AVELOX I.V.  BAYER INC,,6,bouteille
91749,bag,250,mL,N,Y,2433087,MOXIFLOXACIN INJECTION FRESENIUS KABI CANADA LTD,,8,bag
65646,ampoule,1,mL,Y,N,2241976,TALWIN SINGLE USE SANOFI-SYNTHELABO CANADA INC,,7,ampoule
10954,vial,100,mL,Y,N,891835,DIFLUCAN INJ 2MG/ML PFIZER CANADA INC,,1,fiole
74685,bag,100,mL,Y,N,2261472,FLUCONAZOLE IN SODIUM CHLORIDE INJECTION USP BAXTER CORPORATION,,8,bag
74685,bag,200,mL,Y,N,2261472,FLUCONAZOLE IN SODIUM CHLORIDE INJECTION USP BAXTER CORPORATION,,8,bag
87397,vial,100,mL,Y,N,2388448,FLUCONAZOLE INJECTION SDZ SANDOZ CANADA INCORPORATED,,1,fiole
51066,vial,20,mL,Y,N,2231689,LABETALOL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,1,fiole
87646,vial,20,mL,Y,N,2391090,LABETALOL HYDROCHLORIDE INJECTION USP PFIZER CANADA INC,,1,fiole
87304,vial,20,mL,Y,N,2387468,LABETALOL HYDROCHLORIDE INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
87304,vial,40,mL,Y,N,2387468,LABETALOL HYDROCHLORIDE INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
42910,vial,10,mL,Y,N,2188880,BREVIBLOC INJECTION 10MG/ML BAXTER CORPORATION,,1,fiole
79483,bag,250,mL,N,Y,2309238,BREVIBLOC PREMIXED INJECTION BAXTER CORPORATION,,8,bag
65675,ampoule,1,mL,Y,N,2242005,DEMEROL 100 MG/ML HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
8487,ampoule,1,mL,Y,N,725749,MEPERIDINE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
65673,ampoule,1,mL,Y,N,2242003,DEMEROL 50 MG/ML HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
8121,ampoule,1,mL,Y,N,725765,MEPERIDINE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
65674,ampoule,1,mL,Y,N,2242004,DEMEROL 75 MG/ML HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
8120,ampoule,1,mL,Y,N,725757,MEPERIDINE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
4226,vial,10,mL,Y,N,497193,AMINOPHYLLINE INJECTION USP PFIZER CANADA INC,,1,fiole
5705,vial,10,mL,Y,N,582662,AMINOPHYLLINE INJ 25MG/ML OMEGA LABORATORIES LTD,,1,fiole
5704,vial,10,mL,Y,N,582654,AMINOPHYLLINE INJ 50MG/ML OMEGA LABORATORIES LTD,,1,fiole
94330,vial,10,mL,Y,N,2456419,CINQAIR TEVA CANADA LIMITED,,1,fiole
12237,vial,1,mL,Y,N,723754,APRESOLINE STERIMAX INC,,1,fiole
94414,ampoule,1,mL,Y,N,2457059,BACLOFEN TELIGENT OU,,7,ampoule
94415,ampoule,20,mL,Y,N,2457067,BACLOFEN TELIGENT OU,,7,ampoule
94416,ampoule,5,mL,Y,N,2457075,BACLOFEN TELIGENT OU,,7,ampoule
94416,ampoule,20,mL,Y,N,2457075,BACLOFEN TELIGENT OU,,7,ampoule
790,ampoule,1,mL,N,N,38121,EPHEDRINE SULFATE INJECTION,,7,ampoule
11096,ampoule,1,mL,Y,N,876534,EPHEDRINE SULFATE INJECTION USP,,7,ampoule
14758,unit dose vial,2,mL,N,Y,2046113,PMS-SODIUM CROMOGLYCATE,,5,fiole unidose
50747,unit dose vial,2,mL,N,Y,2231431,APO-CROMOLYN STERULES,,5,fiole unidose
95417,unit dose vial,2,mL,Y,N,2465949,TEVA-BUDESONIDE TEVA CANADA LIMITED,,5,fiole unidose
95418,unit dose vial,2,mL,Y,N,2465957,TEVA-BUDESONIDE TEVA CANADA LIMITED,,5,fiole unidose
94899,vial,2,mL,Y,N,2461404,FUROSEMIDE INJECTION USP STERIMAX INC,,1,fiole
94899,vial,4,mL,Y,N,2461404,FUROSEMIDE INJECTION USP STERIMAX INC,,1,fiole
94916,pen,3,mL,N,Y,2461528,BASAGLAR ELI LILLY CANADA INC,,3,stylo
92667,unit dose vial,2.4,mL,N,N,2442302,QUINSAIR HORIZON PHARMA IRELAND LTD,,5,fiole unidose
94632,pen,3,mL,N,Y,2459132,MOVAPO PALADIN LABS INC,,3,stylo
95856,vial,10,mL,Y,N,2469723,BAVENCIO EMD SERONO A DIVISION OF EMD INC CANADA,,1,fiole
11880,ampoule,3,mL,Y,N,704423,ANDROCUR DEPOT BAYER INC,,7,ampoule
95424,vial,2.5,mL,Y,N,2465981,DEFITELIO JAZZ PHARMACEUTICALS IRELAND LIMITED,,1,fiole
82498,vial,2,mL,Y,N,2339366,PRECEDEX HOSPIRA HEALTHCARE CORPORATION,,1,fiole
92145,vial,20,mL,Y,N,2437147,PRECEDEX HOSPIRA HEALTHCARE CORPORATION,,1,fiole
92145,vial,50,mL,Y,N,2437147,PRECEDEX HOSPIRA HEALTHCARE CORPORATION,,1,fiole
92145,vial,100,mL,Y,N,2437147,PRECEDEX HOSPIRA HEALTHCARE CORPORATION,,1,fiole
95736,vial,2.4,mL,Y,N,2468816,IMFINZI ASTRAZENECA CANADA INC,,1,fiole
95736,vial,10,mL,Y,N,2468816,IMFINZI ASTRAZENECA CANADA INC,,1,fiole
87104,ampoule,1,mL,Y,N,2385414,GRANISETRON HYDROCHLORIDE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
87104,ampoule,3,mL,Y,N,2385414,GRANISETRON HYDROCHLORIDE INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
80824,vial,1,mL,Y,N,2322765,GRANISETRON HYDROCHLORIDE INJECTION OMEGA LABORATORIES LTD,,1,fiole
80824,vial,4,mL,Y,N,2322765,GRANISETRON HYDROCHLORIDE INJECTION OMEGA LABORATORIES LTD,,1,fiole
78998,vial,1,mL,Y,N,2304708,GRANISETRON HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
78998,vial,4,mL,Y,N,2304708,GRANISETRON HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
95860,syringe,1,mL,Y,N,2469758,TREMFYA JANSSEN INC,,4,seringue
66196,vial,10,mL,Y,N,2242470,CORVERT PFIZER CANADA INC,,1,fiole
89675,vial,2,mL,Y,N,2242470,IRINOTECAN HYDROCHLORIDE INJECTION TELIGENT OU,,1,fiole
89675,vial,5,mL,Y,N,2242470,IRINOTECAN HYDROCHLORIDE INJECTION TELIGENT OU,,1,fiole
89675,vial,15,mL,Y,N,2242470,IRINOTECAN HYDROCHLORIDE INJECTION TELIGENT OU,,1,fiole
89675,vial,25,mL,Y,N,2242470,IRINOTECAN HYDROCHLORIDE INJECTION TELIGENT OU,,1,fiole
95815,vial,12,mL,Y,N,2469367,PREVYMIS MERCK CANADA INC,,1,fiole
95819,vial,24,mL,Y,N,2469405,PREVYMIS MERCK CANADA INC,,1,fiole
13163,ampoule,1,mL,Y,N,1927698,NOZINAN INJ 25MG/ML SANOFI-AVENTIS CANADA INC,,7,ampoule
95389,vial,5,mL,Y,N,2465663,SPINRAZA BIOGEN CANADA INC,,1,fiole
95561,vial,10,mL,Y,N,2467224,OCREVUS HOFFMANN-LA ROCHE LIMITED,,1,fiole
95790,vial,50,mL,N,N,2469227,LARTRUVO ELI LILLY CANADA INC,,1,fiole
94712,syringe,1,mL,Y,N,2459795,XOLAIR NOVARTIS PHARMACEUTICALS CANADA INC,,4,seringue
94711,syringe,0.5,mL,N,N,2459787,XOLAIR NOVARTIS PHARMACEUTICALS CANADA INC,,4,seringue
75098,vial,2,mL,Y,N,2265524,ONDANSETRON INJECTION TEVA CANADA LIMITED,,1,fiole
75098,vial,4,mL,Y,N,2265524,ONDANSETRON INJECTION TEVA CANADA LIMITED,,1,fiole
75099,vial,20,mL,N,Y,2265532,ONDANSETRON INJECTION TEVA CANADA LIMITED,,1,fiole
75986,ampoule,2,mL,Y,N,2274418,ONDANSETRON HYDROCHLORIDE DIHYDRATE INJECTION SANDOZ CANADA INCORPORATED,,7,ampoule
75986,ampoule,4,mL,Y,N,2274418,ONDANSETRON HYDROCHLORIDE DIHYDRATE INJECTION SANDOZ CANADA INCORPORATED,,7,ampoule
76501,vial,2,mL,Y,N,2279428,ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE)SANDOZ CANADA INCORPORATED,,1,fiole
76501,vial,4,mL,Y,N,2279428,ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE)SANDOZ CANADA INCORPORATED,,1,fiole
76502,vial,20,mL,N,Y,2279436,ONDANSETRON INJECTION USP     -(WITH PRESERVATIVE) SANDOZ CANADA INCORPORATED,,1,fiole
43137,ampoule,2,mL,Y,N,2213745,ZOFRAN NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
43137,ampoule,4,mL,Y,N,2213745,ZOFRAN NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
43137,vial,20,mL,N,Y,2213745,ZOFRAN NOVARTIS PHARMACEUTICALS CANADA INC,,1,fiole
87549,ampoule,2,mL,Y,N,2390019,ONDANSETRON INJECTION, USP MYLAN PHARMACEUTICALS ULC,7,ampoule
87549,ampoule,4,mL,Y,N,2390019,ONDANSETRON INJECTION, USP MYLAN PHARMACEUTICALS ULC,7,ampoule
87549,vial,2,mL,Y,N,2390019,ONDANSETRON INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
87549,vial,4,mL,Y,N,2390019,ONDANSETRON INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
87552,vial,20,mL,N,Y,2390051,ONDANSETRON INJECTION, USP MYLAN PHARMACEUTICALS ULC,1,fiole
90500,ampoule,2,mL,Y,N,2420414,JAMP-ONDANSETRON JAMP PHARMA CORPORATION,,7,ampoule
90500,ampoule,4,mL,Y,N,2420414,JAMP-ONDANSETRON JAMP PHARMA CORPORATION,,7,ampoule
90500,vial,2,mL,Y,N,2420414,JAMP-ONDANSETRON JAMP PHARMA CORPORATION,,1,fiole
90500,vial,4,mL,Y,N,2420414,JAMP-ONDANSETRON JAMP PHARMA CORPORATION,,1,fiole
90501,vial,20,mL,N,Y,2420422,JAMP-ONDANSETRON JAMP PHARMA CORPORATION,,1,fiole
75730,vial,2,mL,Y,N,2271761,ONDANSETRON OMEGA   -(PRESERVATIVE FREE - SINGLE DOSE VIALS) OMEGA LABORATORIES LTD,,1,fiole
75730,vial,4,mL,Y,N,2271761,ONDANSETRON OMEGA   -(PRESERVATIVE FREE - SINGLE DOSE VIALS) OMEGA LABORATORIES LTD,,1,fiole
75731,vial,20,mL,N,Y,2271788,ONDANSETRON OMEGA   -(WITH PRESERVATIVE - MULTIDOSE VIAL) OMEGA LABORATORIES LTD,,1,fiole
75987,vial,2,mL,Y,N,2274426,ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) HOSPIRA HEALTHCARE CORPORATION,,1,fiole
75987,vial,4,mL,Y,N,2274426,ONDANSETRON INJECTION USP     -(PRESERVATIVE FREE) HOSPIRA HEALTHCARE CORPORATION,,1,fiole
