"code","formal_name","formal_name_fr"
"8001600","bupivacaine","bupivacaïne"
"8001602","buserelin","buséréline"
"8001603","busulfan","busulfan"
"8001604","cabazitaxel","cabazitaxel"
"8001606","canakinumab","canakinumab"
"8001607","capecitabine","capécitabine"
"8001608","carbachol","carbachol"
"8001609","carbetocin","carbétocine"
"8001610","carboplatin","carboplatine"
"8001611","carboprost","carboprost"
"8001612","carfilzomib","carfilzomib"
"8001613","ceritinib","céritinib"
"8001614","cetuximab","cétuximab"
"8001615","chloroxylenol","chloroxylénol"
"8001616","cinacalcet","cinacalcet"
"8001617","clobetasone","clobétasone"
"8001618","clofedanol","clofédanol"
"8001619","cobimetinib","cobimétinib"
"8001620","crizotinib","crizotinib"
"8001621","crotamiton","crotamiton"
"8001622","cyclopentolate","cyclopentolate"
"8001623","dabrafenib","dabrafénib"
"8001624","danazol","danazol"
"8001625","darbepoetin alfa","darbépoétine alfa"
"8001626","deferasirox","déférasirox"
"8001627","deferiprone","défériprone"
"8001628","denosumab","dénosumab"
"8001629","deoxycholic acid","acide désoxycholique"
"8001630","dequalinium","déqualinium"
"8001631","diazoxide","diazoxide"
"8001632","dihydroergotamine","dihydroergotamine"
"8001633","dimethicone","diméthicone"
"8001634","dinoprost","dinoprost"
"8001635","dinoprostone","dinoprostone"
"8001636","dobutamine","dobutamine"
"8001637","dornase alfa","dornase alfa"
"8001638","dronedarone","dronédarone"
"8001639","dulaglutide","dulaglutide"
"8001640","dyclonine","dyclonine"
"8001641","eculizumab","éculizumab"
"8001642","eflornithine","éflornithine"
"8001643","ensulizole","ensulizole"
"8001644","enzalutamide","enzalutamide"
"8001645","eribulin","mésylate d'éribuline"
"8001646","erlotinib","erlotinib"
"8001647","estrone","estrone"
"8001649","ethopropazine","éthopropazine"
"8001650","everolimus","évérolimus"
"8001651","fampridine","fampridine"
"8001652","febuxostat","fébuxostat"
"8001653","floctafenine","floctafénine"
"8001654","flutamide","flutamide"
"8001655","fondaparinux","fondaparinux"
"8001656","fosaprepitant","fosaprépitant"
"8001657","fosfomycin","fosfomycine"
"8001658","gemfibrozil","gemfibrozil"
"8001659","glycopyrrolate","glycopyrrolate"
"8001660","halobetasol","halobétasol"
"8001661","hydroquinone","hydroquinone"
"8001662","hydroxyurea","hydroxyurée"
"8001663","ivacaftor","ivacaftor"
"8001665","liothyronine","liothyronine"
"8001666","loxapine","loxapine"
"8001667","methylprednisolone (base)","méthylprednisolone (base)"
"8001668","moclobemide","moclobémide"
"8001669","nabumetone","nabumétone"
"8001670","nafarelin","nafaréline"
"8001671","naphazoline hydrochloride","chlorhydrate de naphazoline"
"8001672","nelarabine","nélarabine"
"8001673","nilutamide","nilutamide"
"8001674","nimodipine","nimodipine"
"8001675","nitisinone","nitisinone"
"8001676","nivolumab","nivolumab"
"8001677","orlistat","orlistat"
"8001678","penicillamine","pénicillamine"
"8001679","podophyllin","podophylline"
"8001680","podophyllotoxin","podophyllotoxine"
"8001681","prasugrel","prasugrel"
"8001682","raloxifene","raloxifène"
"8001683","rasagiline","rasagiline"
"8001684","sodium salicylate","salicylate de sodium"
"8001685","sulfinpyrazone","sulfinpyrazone"
"8001686","temsirolimus","temsirolimus"
"8001687","teriflunomide","tériflunomide"
"8001688","teriparatide","tériparatide"
"8001689","water","eau"
"8001690","abciximab","abciximab"
"8001703","bismuth dipropylacetate","dipropylacétate de bismuth"
"8001704","bismuth subgallate","subgallate de bismuth"
"8001705","bismuth subsalicylate","subsalicylate de bismuth"
"8001710","calcium chloride","chlorure de calcium"
"8001712","calcium polystyrene sulfonate","sulfonate de polystyrène calcique"
"8001716","carglumic acid","acide carglumique"
"8001717","carmustine","carmustine"
"8001718","certolizumab pegol","certolizumab pégol"
"8001719","cetrorelix","cétrorélix"
"8001722","choriogonadotropin alpha","choriogonadotropin alpha"
"8001723","chorionic gonadotropin","gonadotropine chorionique"
"8001725","chromic chloride","chlorure de chrome"
"8001729","cisplatin","cisplatine"
"8001730","cladribine","cladribine"
"8001732","clofarabine","clofarabine"
"8001733","copper sulfate","sulfate de cuivre"
"8001736","cyclophosphamide","cyclophosphamide"
"8001737","cytarabine","cytarabine"
"8001738","dactinomycin","dactinomycine"
"8001739","daratumumab","daratumumab"
"8001740","dasatinib","dasatinib"
"8001741","daunorubicin","daunorubicine"
"8001742","deferoxamine","déféroxamine"
"8001743","degarelix","dégarélix"
"8001745","dexrazoxane","dexrazoxane"
"8001755","docetaxel","docétaxel"
"8001756","docosanol","docosanol"
"8001757","doxorubicin","doxorubicine"
"8001759","edoxaban","édoxaban"
"8001760","elosulfase alfa","élosulfase alfa"
"8001761","eluxadoline","éluxadoline"
"8001764","epirubicin","épirubicine"
"8001765","epoetin alfa","époétine alfa"
"8001766","epoprostenol","époprosténol"
"8001767","eptifibatide","eptifibatide"
"8001768","ergoloid mesylates","mésylates d'ergoloïdes"
"8001769","ergonovine","ergonovine"
"8001770","estramustine","estramustine"
"8001772","etoposide","étoposide"
"8001773","fidaxomicin","fidaxomicine"
"8001774","filgrastim","filgrastim"
"8001775","fingolimod","fingolimod"
"8001776","fludarabine","fludarabine"
"8001777","flumazenil","flumazénil"
"8001778","fluocinolone","fluocinolone"
"8001779","fluorouracil","fluorouracil"
"8001781","flupentixol decanoate","décanoate de flupentixol"
"8001783","fulvestrant","fulvestrant"
"8001784","galsulfase","galsulfase"
"8001785","ganirelix","ganirélix"
"8001786","gefitinib","géfitinib"
"8001787","gemcitabine","gemcitabine"
"8001788","glatiramer","glatiramère"
"8001789","gold sodium thiomalate","aurothiomalate de sodium"
"8001790","golimumab","golimumab"
"8001791","gonadorelin acetate","acétate de gonadoréline"
"8001792","goserelin","goséréline"
"8001795","hexylresorcinol","hexylrésorcinol"
"8001799","hydroxocobalamin","hydroxocobalamine"
"8001800","ibrutinib","ibrutinib"
"8001801","icatibant","icatibant"
"8001802","idarubicin","idarubicine"
"8001803","idarucizumab","idarucizumab"
"8001804","idelalisib","idélalisib"
"8001805","idursulfase","idursulfase"
"8001806","ifosfamide","ifosfamide"
"8001807","imatinib","imatinib"
"8001808","imiglucerase","imiglucérase"
"8001809","imiquimod","imiquimod"
"8001810","ingenol mebutate","mébutate d'ingénol"
"8001812","interferon alfa-2b","interféron alfa-2b"
"8001814","interferon beta-1a","interféron bêta-1a"
"8001815","interferon beta-1b","interféron bêta-1b"
"8001816","ipilimumab","ipilimumab"
"8001817","iron (iron dextran complex)","fer (fer dextran)"
"8001818","iron (iron sucrose)","fer (fer-saccharose)"
"8001819","iron (sodium ferric gluconate complex in sucrose injection)","fer (complexe de gluconate de fer sodique)"
"8001820","isoproterenol","isoprotérénol"
"8001821","ivabradine","ivabradine"
"8001822","ixazomib","ixazomib"
"8001823","ixekizumab","ixékizumab"
"8001824","ketoprofen","kétoprofène"
"8001825","lacosamide","lacosamide"
"8001826","lanreotide","lanréotide"
"8001827","lanthanum","lanthane"
"8001828","lapatinib","lapatinib"
"8001829","laronidase","laronidase"
"8001830","leflunomide","léflunomide"
"8001831","lenalidomide","lénalidomide"
"8001832","lenvatinib","lenvatinib"
"8001833","leucovorin","leucovorine"
"8001834","leuprolide","leuprolide"
"8001835","levobunolol","lévobunolol"
"8001836","levomilnacipran","lévomilnacipran"
"8001837","lidocaine","lidocaïne"
"8001842","lomustine","lomustine"
"8001843","lutropin alfa","lutropine alfa"
"8001844","magnesium chloride","chlorure de magnésium"
"8001845","magnesium sulfate","sulfate de magnésium"
"8001846","manganese sulfate","sulfate de manganèse"
"8001847","menotropins","ménotropines"
"8001849","mepivacaine","mépivacaïne"
"8001850","mercaptopurine","mercaptopurine"
"8001851","mesna","mesna"
"8001852","methacholine","méthacholine"
"8001853","methazolamide","méthazolamide"
"8001854","methocarbamol","méthocarbamol"
"8001855","methoxsalen","méthoxsalène"
"8001856","methyl aminolevulinate","methyl aminolevulinate"
"8001857","methylnaltrexone","méthylnaltrexone"
"8001858","miglustat","miglustat"
"8001859","milrinone","milrinone"
"8001860","mitomycin","mitomycine"
"8001861","mitotane","mitotane"
"8001862","mitoxantrone","mitoxantrone"
"8001863","modafinil","modafinil"
"8001864","naphazoline","naphazoline"
"8001866","petrolatum","pétrolatum"
"8001869","potassium acetate","acétate de potassium"
"8001870","potassium chloride","chlorure de potassium"
"8001871","potassium citrate","citrate de potassium"
"8001874","prednicarbate","prednicarbate"
"8001875","prilocaine","prilocaïne"
"8001876","scopolamine","scopolamine"
"8001877","sevelamer","sévélamer"
"8001878","sodium iodide","iodure de sodium"
"8001879","tizanidine (tizanidine hydrochloride)","tizanidine (chlorhydrate de tizanidine)"
"8001880","white petrolatum","pétrolatum blanc"
"8001882","zinc sulfate","sulfate de zinc"
"8001885","adenosine","adénosine"
"8001887","arsenic trioxide","arsenic trioxide"
"8001895","cetylpyridinium","cétylpyridinium"
"8001904","dimethyl fumarate","fumarate de diméthyle"
"8001906","eltrombopag","eltrombopag"
"8001907","fomepizole","fomépizole"
"8001908","gonadorelin","gonadoréline"
"8001910","iodine (ethiodized oil)","iodine (ethiodized oil)"
"8001913","nitroprusside","nitroprussiate"
"8001915","phenylbutyric acid","acide phénylbutyrique"
"8001916","pyridoxine","pyridoxine"
"8001917","ramucirumab","ramucirumab"
"8001918","rasburicase","rasburicase"
"8001919","regorafenib","régorafénib"
"8001920","remifentanil","rémifentanil"
"8001921","rifaximin","rifaximine"
"8001922","riociguat","riociguat"
"8001923","rituximab","rituximab"
"8001924","rocuronium","rocuronium"
"8001925","romidepsin","romidepsine"
"8001926","romiplostim","romiplostim"
"8001927","ropivacaine","ropivacaïne"
"8001928","ruxolitinib","ruxolitinib"
"8001929","sapropterin","saproptérine"
"8001930","sarilumab","sarilumab"
"8001931","sebelipase alfa","sébélipase alfa"
"8001932","secukinumab","sécukinumab"
"8001933","selenium","sélénium"
"8001934","selexipag","sélexipag"
"8001935","siltuximab","siltuximab"
"8001936","sincalide","sincalide"
"8001937","sinecatechins","sinécatéchines"
"8001938","sirolimus","sirolimus"
"8001940","sodium oxybate","oxybate de sodium"
"8001941","sodium polystyrene sulfonate","polystyrène sulfonate de sodium"
"8001942","sodium tetradecyl sulfate","tétradécyl sulfate de sodium"
"8001943","somatropin","somatropine"
"8001945","sorafenib","sorafénib"
"8001946","succinylcholine","succinylcholine"
"8001947","sufentanil","sufentanil"
"8001948","sugammadex","sugammadex"
"8001949","sulfur hexafluoride","sulfur hexafluoride"
"8001950","sunitinib","sunitinib"
"8001951","taliglucerase alfa","taliglucérase alfa"
"8001952","tazarotene","tazarotène"
"8001953","temozolomide","témozolomide"
"8001954","tenecteplase","ténectéplase"
"8001955","tesamorelin","tésamoréline"
"8001956","tetracaine","tétracaïne"
"8001957","tetracosactide","tétracosactide"
"8001958","tetrahydrozoline","tétrahydrozoline"
"8001960","thalidomide","thalidomide"
"8001961","thiamine","thiamine"
"8001962","thyroid","thyroïde"
"8001963","thyrotropin alfa","thyrotropine alfa"
"8001964","tirofiban","tirofiban"
"8001965","tizanidine","tizanidine"
"8001966","tocilizumab","tocilizumab"
"8001967","tofacitinib","tofacitinib"
"8001968","tolnaftate","tolnaftate"
"8001969","topotecan","topotécan"
"8001970","trabectedin","trabectédine"
"8001971","trametinib","tramétinib"
"8001972","tranexamic acid","acide tranexamique"
"8001973","trastuzumab","trastuzumab"
"8001974","trastuzumab emtansine","trastuzumab emtansine"
"8001975","treprostinil","tréprostinil"
"8001976","triclosan","triclosan"
"8001977","trifluoperazine","trifluopérazine"
"8001978","trimebutine","trimébutine"
"8001979","triptorelin","triptoréline"
"8001980","trolamine salicylate","salicylate de trolamine"
"8001981","trypan blue","bleu trypan"
"8001982","ulipristal","ulipristal"
"8001983","ustekinumab","ustékinumab"
"8001984","vasopressin","vasopressine"
"8001985","vedolizumab","védolizumab"
"8001986","velaglucerase alfa","vélaglucérase alfa"
"8001987","vemurafenib","vémurafénib"
"8001988","venetoclax","vénétoclax"
"8001989","verteporfin","vertéporfine"
"8001990","vinblastine","vinblastine"
"8001991","vincristine","sulfate de vincristine"
"8001992","vinorelbine","vinorelbine"
"8001993","vismodegib","vismodégib"
"8001995","vitamin B12","cyanocobalamine"
"8001996","vitamin C","acide ascorbique"
"8001997","vitamin C (ascorbic acid)","acide ascorbique"
"8001998","vitamin C (sodium ascorbate)","acide ascorbique (ascorbate de sodium)"
"8001999","vitamin D2","ergocalciférol"
"8002000","vitamin K1","phytonadione"
"8002001","vorinostat","vorinostat"
"8002002","vortioxetine","vortioxétine"
"8002003","xylometazoline","xylométazoline"
"8002004","yohimbine","yohimbine"
"8002008","alpha 1-proteinase inhibitor (human)","alpha 1-proteinase inhibitor (human)"
"8002009","anti-thymocyte globulin (rabbit)","globuline (lapin) anti-thymocyte"
"8002010","apalutamide","apalutamide"
"8002011","baricitinib","baricitinib"
"8002014","brigatinib","brigatinib"
"8002015","brodalumab","brodalumab"
"8002016","cabozantinib","cabozantinib"
"8002018","catridecacog","catridecacog"
"8002019","cidofovir","cidofovir"
"8002020","cisatracurium (cisatracurium besylate)","cisatracurium (bésilate de cisatracurium)"
"8002021","elagolix","élagolix"
"8002028","ketamine","kétamine"
"8002029","lanadelumab","lanadélumab"
"8002030","lymphocyte immunoglobulin anti-thymocyte globulin (equine)","sérum antithymocyte équin"
"8002032","natalizumab","natalizumab"
"8002033","neostigmine","néostigmine"
"8002034","nilotinib","nilotinib"
"8002035","nintedanib","nintédanib"
"8002036","norepinephrine","norépinéphrine"
"8002037","obeticholic acid","obéticholique"
"8002038","obinutuzumab","obinutuzumab"
"8002039","ocriplasmin","ocriplasmine"
"8002040","octreotide","octréotide"
"8002041","olaparib","olaparib"
"8002042","osimertinib","osimertinib"
"8002043","oxaliplatin","oxaliplatine"
"8002044","oxcarbazepine","oxcarbazépine"
"8002045","oxymetazoline hydrochloride","chlorhydrate d'oxymétazoline"
"8002046","oxytocin","oxytocine"
"8002047","paclitaxel","paclitaxel"
"8002048","palbociclib","palbociclib"
"8002049","palivizumab","palivizumab"
"8002050","pamabrom","pamabrom"
"8002051","panitumumab","panitumumab"
"8002052","papaverine","papavérine"
"8002053","paromomycin","paromomycine"
"8002054","pasireotide","pasiréotide"
"8002055","pazopanib","pazopanib"
"8002056","pegaspargase","pégaspargase"
"8002057","pegfilgrastim","pegfilgastrim"
"8002058","peginterferon alfa-2a","peginterféron alfa-2a"
"8002059","peginterferon beta-1a","peginterféron bêta-1a"
"8002060","pegvisomant","pegvisomant"
"8002061","pembrolizumab","pembrolizumab"
"8002062","pentosan polysulfate sodium","pentosane de polysulfate sodique"
"8002063","perampanel","pérampanel"
"8002064","pertuzumab","pertuzumab"
"8002066","phentolamine","phentolamine"
"8002067","pimecrolimus","pimécrolimus"
"8002068","piperazine","pipérazine"
"8002070","pirfenidone","pirfénidone"
"8002071","plerixafor","plérixafor"
"8002072","polyethylene glycol 3350","polyethylene glycol 3350"
"8002073","polyvinyl alcohol","alcool polyvinylique"
"8002076","pomalidomide","pomalidomide"
"8002077","ponatinib","ponatinib"
"8002078","poractant alfa","poractant alfa"
"8002079","primaquine","primaquine"
"8002080","procarbazine","procarbazine"
"8002081","propofol","propofol"
"8002082","protamine","protamine"
"8002083","prucalopride","prucalopride"
"8002084","pyrantel","pyrantel"
"8002085","pyrithione zinc","pyrithione zincique"
"8002086","sodium carboxymethyl cellulose","carboxyméthylcellulose sodique"
"8002087","stiripentol","stiripentol"
"8002095","botulinum toxin type a","botulinum toxin type a"
"8002102","cetrimonium","cétrimonium"
"8002106","cisatracurium","cisatracurium"
"8002109","coal tar","goudron de houille"
"8002114","collagenase clostridium histolyticum","collagénase de clostridium histolyticum"
"8002118","dimethyl sulfoxide","diméthylsulfoxyde"
"8002119","eptacog alfa (activated)","eptacog alfa (activé)"
"8002121","gentian violet","violet de gentiane"
"8002131","isopropyl myristate","myristate d'isopropyle"
"8002134","levocarnitine","lévocarnitine"
"8002138","mannitol","mannitol"
"8002140","methylene blue","bleu de méthylène"
"8002142","mineral oil","huile minérale lourde"
"8002146","mineral oil light","huile minérale légère"
"8002147","moroctocog alfa","moroctocog alfa"
"8002148","naloxegol","naloxégol"
"8002149","nonacog gamma","nonacog gamma"
"8002150","oxymetazoline","oxymétazoline"
"8002151","pancrelipase","pancrelipase"
"8002155","potassium phosphate monobasic","phosphate de potassium monobasique"
"8002157","silicone","silicone"
"8002158","simethicone","siméticone"
"8002160","sodium acetate","acétate de sodium"
"8002161","sodium bicarbonate","bicarbonate de sodium"
"8002163","sodium thiosulfate","thiosulfate de sodium"
"8002164","tryptophan","tryptophane"
"8002165","turoctocog alfa","turoctocog alfa"
"8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur"
"8002171","antihemophilic factor (recombinant BDD) FC fusion protein","antihemophilic factor (recombinant BDD) FC fusion protein"
"8002172","antihemophilic factor (recombinant)","facteur antihémophilique (recombiné)"
"8002173","antihemophilic factor (recombinant) porcine sequence","facteur antihémophilique (recombiné) séquence porcine"
"8002174","antithrombin iii (human)","antithrombine III (humaine)"
"8002175","ascorbic acid","acide ascorbique"
"8002177","c1 esterase inhibitor (human)","inhibiteur de la c1 estérase humaine"
"8000172","cholecalciferol","cholécalciférol"
"8002183","coagulation factor ix (human)","facteur IX de coagulation (humain)"
"8002184","coagulation factor ix (recombinant)","facteur IX de coagulation (recombiné)"
"8002185","coagulation factor ix (recombinant), pegylated","facteur IX de coagulation (recombiné) pegylé"
"8002186","crisaborole","crisaborole"
"8002187","cyanocobalamin","cyanocobalamine"
"8002188","doravirine","doravirine"
"8002191","erenumab","érénumab"
"8002192","ergocalciferol","ergocalciférol"
"8002193","factor xiii","facteur XIII"
"8002194","fibrinogen (human)","fibrinogène (humaine)"
"8002196","flibanserin","flibansérine"
"8002197","hemin","hémine"
"8002198","irinotecan (conventional)","irinotécan (classique)"
"8002199","irinotecan (liposomal)","irinotécan (liposomale)"
"8002200","iron (iron isomaltoside 1000)","fer (fer isomaltoside 1000)"
"8002204","mineral oil heavy","huile minérale lourde"
"8002209","phytonadione","phytonadione"
"8001482","scopolamine butylbromide","butylbromure de scopolamine"
"8002211","scopolamine hydrobromide","scopolamine"
"8002212","sodium aurothiomalate","aurothiomalate de sodium"
"8002213","telotristat","télotristat"
"8002214","alfa 1-proteinase inhibitor human","inhibiteur de l'alfa 1-protéinase (humain)"
"8002215","amphotericin B","amphotéricine B"
"8002217","anti-thymocyte immunoglobulin equine","sérum antithymocyte équin"
"8002218","anti-thymocyte immunoglobulin rabbit","globuline (lapin) anti-thymocyte"
"8001605","calcitonin salmon","calcitonine de saumon"
"8002220","carboxymethylcellulose","carboxyméthylcellulose"
"8000221","valproic acid (base)","acide valproïque (base)"
"8002225","amphetamine mixed salts","sels mixtes d’amphétamine"
"8002226","c1 esterase inhibitor human","inhibiteur de la c1 estérase humaine"
"8002227","choriogonadotropin alfa","choriogonadotropine alfa"
"8002228","iron dextran","fer dextran"
"8002229","iron isomaltoside 1000","fer isomaltoside 1000"
"8002230","iron sucrose","fer-saccharose"
"8002232","sodium ferric gluconate complex","complexe de gluconate de fer sodique"
"8002233","C1 esterase inhibitor human","inhibiteur de la C1 estérase (humaine)"
"8002234","abobotulinumtoxinA","abobotulinumtoxineA"
"8002243","incobotulinumtoxinA","incobotulinumtoxineA"
"8002245","onabotulinumtoxinA","toxine botulique de type A"
"8002248","simoctocog alfa","simoctocog alfa"
