Molecule Name, Total Rx_2015 ,%ofTotalRx_2015,cumulative % of totalRx_2015,CCDD,DPD Update Status,Priority,Comments
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, 739 ,0.00%,99.98%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC, 69 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  METAL!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 202 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, 45 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHROMIUM!COPPER!CYANOCOBALAMIN!IRON  METAL!MAGNESIUM!NIACINAMIDE!NICKEL!PHOSPHORUS!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!TIN!VITAMIN A!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!IRON  FERROUS!L-METHIONINE!MAGNESIUM!MANGANESE!MOLYBDENUM!NICOTINIC ACID!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!T, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!IRON  FERROUS!L-METHIONINE!MANGANESE!MOLYBDENUM!NICKEL!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!V, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICOTINIC ACID!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAM," 1,070 ",0.00%,99.98%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!NIACINAMIDE!POTASSIUM!PYRIDOXAL 5-PHOSPHATE!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 60 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHOLINE!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICOTINIC ACID!PANTOTHENIC ACID!POTASSIUM!PYRIDOXAL!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN E!ZINC, 3 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!GINGER!IODINE!LUTEINISING HORMONE!LYCOPENE!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!TURMERIC!VITAMIN E!ZINC, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SILICON DIOXIDE!THIAMINE!VANADIUM!, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!LACTOSE!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC," 43,986 ",0.01%,98.95%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!TIN!VAN, 374 ,0.00%,99.99%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!TIN!VANADIUM!VITAMIN A!ZI," 1,508 ",0.00%,99.97%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!TIN!VANADIUM!VITAM, 239 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!TIN!VITAMIN A!VITAMI, 13 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 53 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!TIN!VANADIUM!VITAMIN A!VITAMIN E, 56 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 135 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!LYCOPENE!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC," 21,243 ",0.00%,99.51%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!LYCOPENE!MAGNESIUM!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC," 13,977 ",0.00%,99.70%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!MAGNESIUM!MANGANESE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, 63 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FISH!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC, 25 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!CHROMIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!Z," 1,088 ",0.00%,99.98%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!LACTOSE!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 49,364 ",0.01%,98.80%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!THYMINE!TIN, 21 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 16 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 90 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 17 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CHROMIUM!COPPER!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!SULFUR!THIAMINE!TIN!VANADIUM!VITAMIN A!VITAMIN E!VITAMIN, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, 10 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!BIOTIN!CYANOCOBALAMIN!ERGOCALCIFEROL!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!CALCIUM!CHOLECALCIFEROL!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PSEUDOCOCAINE!PYRIDOXINE!THIAMINE!VITAMIN E!ZINC," 102,484 ",0.02%,97.51%,,,,
ASCORBIC ACID!BETACAROTENE!CALCIUM!CHOLECALCIFEROL!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN E!ZINC," 149,075 ",0.02%,96.27%,,,,
ASCORBIC ACID!BETACAROTENE!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 1,097 ",0.00%,99.98%,,,,
ASCORBIC ACID!BETACAROTENE!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC," 2,334 ",0.00%,99.95%,,,,
ASCORBIC ACID!BETACAROTENE!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!COPPER!LACTOSE!SELENIUM!VITAMIN E!ZINC, 115 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!COPPER!LUTEIN!SELENIUM!VITAMIN E!ZINC," 3,873 ",0.00%,99.91%,,,,
ASCORBIC ACID!BETACAROTENE!COPPER!MANGANESE!RIBOFLAVIN!SELENIUM!VITAMIN E!ZINC, 18 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!COPPER!RIBOFLAVIN!SELENIUM!VITAMIN E!ZINC," 357,038 ",0.06%,91.50%,Not in scope,,,
ASCORBIC ACID!BETACAROTENE!COPPER!RIBOFLAVIN!VITAMIN E!ZINC," 104,139 ",0.02%,97.38%,,,,
ASCORBIC ACID!BETACAROTENE!COPPER!VITAMIN E!ZINC, 516 ,0.00%,99.99%,,,,
ASCORBIC ACID!BETACAROTENE!SELENIUM!VITAMIN E, 247 ,0.00%,100.00%,,,,
ASCORBIC ACID!BETACAROTENE!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!BONE!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!HESPERIDIN!INOSITOL!IODINE!IRON  METAL!LYSINE!MAGNESIUM!NIACINAMIDE!NUCLEIC ACID!P-AMINOBENZOIC ACID!PYRIDOXINE!RIBOFLAVIN!RUTOSIDE!THIAMINE!VITAMIN A!VITAMIN E, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!BORON!CALCIUM!CHOLINE!CHROMIUM!NICOTINIC ACID!PANTOTHENIC ACID!PHOSPHORUS!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!BORON!CALCIUM!CHROMIUM!FOLIC ACID!MAGNESIUM!MANGANESE!PANTOTHENIC ACID!PHOSPHORUS, 693 ,0.00%,99.98%,,,,
ASCORBIC ACID!BIOTIN!CALAMINE!CALCIUM!CHOLECALCIFEROL!CYANOCOBALAMIN!FOLIC ACID!IODINE!PYRIDOXINE!VITAMIN A!VITAMIN E, 9 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CARBOHYDRATES!CARNITINE!CHLORIDE!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FAT!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!POTASSIUM!PROTEINS!PYRIDOXINE!RIBO, 29 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHLORIDE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NICOTINIC ACID!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC," 4,463 ",0.00%,99.90%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLECALCIFEROL!CHOLINE!COPPER!CYANOCOBALAMIN!FOLIC ACID!INOSITOL!IRON  METAL!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!VITAMIN K!ZINC, 2 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLECALCIFEROL!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MAGNESIUM!NICOTINIC ACID!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLECALCIFEROL!COPPER!CYANOCOBALAMIN!FOLIC ACID!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 15 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLECALCIFEROL!CYANOCOBALAMIN!IODINE!METHYLFOLATE!PANTOTHENIC ACID!PYRIDOXINE!VITAMIN A!ZINC, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!CITROFLAVONOIDS!COPPER!CYANOCOBALAMIN!CYSTEINE!ERGOCALCIFEROL!FOLIC ACID!GLUTAMIC ACID!HESPERIDIN!INOSITOL!IODINE!IRON  METAL!LECITHIN!LYSINE!MAGNESIUM!METHIONINE!NIACINAMIDE!NUCLEIC ACID!P-AMINOBENZOIC ACID!P, 21 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 52 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!YEAST!ZINC, 782 ,0.00%,99.98%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!CHROMIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!INOSITOL!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!NICOTINIC ACID!POTASSIUM!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 7 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!GLUTAMIC ACID!HESPERIDIN!INOSITOL!IRON  METAL!MAGNESIUM!MANGANESE!NIACINAMIDE!P-AMINOBENZOIC ACID!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!RUTOSIDE!THIAMINE!VITAM, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHOLINE!COPPER!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!MAGNESIUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!GINSENG!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VANADIUM!VITAMIN A!VITAMIN E!ZIN, 202 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  FERROUS!MOLYBDENUM!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SILICON DIOXIDE!THIAMINE!VANADIUM!VITAMIN A!VITAMIN E!ZINC, 12 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHROMIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  METAL!MAGNESIUM!MANGANESE!MOLYBDENUM!NIACINAMIDE!NICKEL!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!SODIUM!THIAMINE!TIN!VITAMIN A!VITAMIN E!ZINC, 202 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CHROMIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!POTASSIUM!PYRIDOXINE!RIBOFLAVIN!SELENIUM!THIAMINE!VITAMIN A!VITAMIN E!ZINC, 763 ,0.00%,99.98%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 1,195 ",0.00%,99.97%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!NIACINAMIDE!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 2 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IRON  FERROUS!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E," 2,244 ",0.00%,99.95%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!CYANOCOBALAMIN!FOLIC ACID!IODINE!IRON  FERROUS!MANGANESE!NIACINAMIDE!PANTOTHENIC ACID!PYRIDOXINE!THIAMINE!VITAMIN A!VITAMIN E, 295 ,0.00%,99.99%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!COPPER!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!NICOTINIC ACID!PANTOTHENIC ACID!PHOSPHORUS!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 4 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!IRON  METAL!MAGNESIUM!MANGANESE!NIACINAMIDE!PYRIDOXINE!RIBOFLAVIN!THIAMINE!VITAMIN A!VITAMIN E, 3 ,0.00%,100.00%,,,,
ASCORBIC ACID!BIOTIN!CALCIUM!CYANOCOBALAMIN!ERGOCALCIFEROL!FOLIC ACID!IODINE!PYRIDOXINE!VITAMIN A!VITAMIN E, -   ,0.00%,100.00%,,,,
