"","ccdd","top250name","dpd_ingredient","ing_stem","hydrate","ntp_ing"
"218","","","C1 Esterase Inhibitor (Human)","C1 Esterase Inhibitor (Human)",FALSE,"C1 Esterase Inhibitor (Human)"
"219","","","CABAZITAXEL","CABAZITAXEL",FALSE,"CABAZITAXEL"
"220","","","CABERGOLINE","CABERGOLINE",FALSE,"CABERGOLINE"
"221","Y","CAFFEINE","CAFFEINE","CAFFEINE",FALSE,"CAFFEINE"
"222","Y","CAFFEINE","CAFFEINE CITRATE","CAFFEINE",FALSE,"CAFFEINE CITRATE"
"223","","","CALAMINE","CALAMINE",FALSE,"CALAMINE"
"224","","","CALCIPOTRIOL","CALCIPOTRIOL",FALSE,"CALCIPOTRIOL"
"225","","","CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)","CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)",TRUE,"CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)"
"226","","","CALCITONIN (SALMON SYNTHETIC)","CALCITONIN (SALMON SYNTHETIC)",FALSE,"CALCITONIN (SALMON SYNTHETIC)"
"227","Y","CALCITRIOL","CALCITRIOL","CALCITRIOL",FALSE,"CALCITRIOL"
"228","","","CALCIUM (CALCIUM CARBONATE)","CALCIUM (CALCIUM CARBONATE)",FALSE,"CALCIUM (CALCIUM CARBONATE)"
"229","","","CALCIUM ACETATE","CALCIUM ACETATE",FALSE,"CALCIUM ACETATE"
"230","","","CALCIUM CARBONATE","CALCIUM CARBONATE",FALSE,"CALCIUM CARBONATE"
"231","","","CALCIUM CHLORIDE","CALCIUM CHLORIDE",FALSE,"CALCIUM CHLORIDE"
"232","","","CALCIUM GLUCONATE","CALCIUM GLUCONATE",FALSE,"CALCIUM GLUCONATE"
"233","","","CALCIUM GLYCEROPHOSPHATE","CALCIUM GLYCEROPHOSPHATE",FALSE,"CALCIUM GLYCEROPHOSPHATE"
"234","","","CALCIUM LEVULINATE","CALCIUM LEVULINATE",FALSE,"CALCIUM LEVULINATE"
"235","","","CALCIUM POLYSTYRENE SULFONATE","CALCIUM POLYSTYRENE SULFONATE",FALSE,"CALCIUM POLYSTYRENE SULFONATE"
"236","","","CALCIUM SACCHARATE","CALCIUM SACCHARATE",FALSE,"CALCIUM SACCHARATE"
"237","","","CAMPHOR","CAMPHOR",FALSE,"CAMPHOR"
"238","","","CANAKINUMAB","CANAKINUMAB",FALSE,"CANAKINUMAB"
"239","Y","CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL","CANDESARTAN",FALSE,"CANDESARTAN CILEXETIL"
"240","","","CANNABIDIOL (CANNABIS SATIVA EXTRACT)","CANNABIDIOL (CANNABIS SATIVA EXTRACT)",FALSE,"CANNABIDIOL (CANNABIS SATIVA EXTRACT)"
"241","","","CANTHARIDIN","CANTHARIDIN",FALSE,"CANTHARIDIN"
"242","","","CAPECITABINE","CAPECITABINE",FALSE,"CAPECITABINE"
"243","","","CAPTOPRIL","CAPTOPRIL",FALSE,"CAPTOPRIL"
"244","","","CARBACHOL","CARBACHOL",FALSE,"CARBACHOL"
"245","Y","CARBAMAZEPINE","CARBAMAZEPINE","CARBAMAZEPINE",FALSE,"CARBAMAZEPINE"
"246","","","CARBETOCIN","CARBETOCIN",FALSE,"CARBETOCIN"
"247","Y","CARBIDOPA","CARBIDOPA","CARBIDOPA",FALSE,"CARBIDOPA"
"248","Y","CARBIDOPA","CARBIDOPA (CARBIDOPA MONOHYDRATE)","CARBIDOPA",TRUE,"CARBIDOPA (CARBIDOPA MONOHYDRATE)"
"249","","","CARBON DIOXIDE","CARBON DIOXIDE",FALSE,"CARBON DIOXIDE"
"250","","","CARBON MONOXIDE","CARBON MONOXIDE",FALSE,"CARBON MONOXIDE"
"251","","","CARBOPLATIN","CARBOPLATIN",FALSE,"CARBOPLATIN"
"252","","","CARBOPROST (CARBOPROST TROMETHAMINE)","CARBOPROST (CARBOPROST TROMETHAMINE)",FALSE,"CARBOPROST (CARBOPROST TROMETHAMINE)"
"253","","","CARFILZOMIB","CARFILZOMIB",FALSE,"CARFILZOMIB"
"254","","","CARMUSTINE","CARMUSTINE",FALSE,"CARMUSTINE"
"255","Y","CARVEDILOL","CARVEDILOL","CARVEDILOL",FALSE,"CARVEDILOL"
"256","","","CASPOFUNGIN (CASPOFUNGIN ACETATE)","CASPOFUNGIN (CASPOFUNGIN ACETATE)",FALSE,"CASPOFUNGIN (CASPOFUNGIN ACETATE)"
"257","","","CAT (FELIS DOMESTICUS) PELT AND CAT DANDER","CAT (FELIS DOMESTICUS) PELT AND CAT DANDER",FALSE,"CAT (FELIS DOMESTICUS) PELT AND CAT DANDER"
"258","","","CEFACLOR","CEFACLOR",FALSE,"CEFACLOR"
"259","","","CEFADROXIL","CEFADROXIL",FALSE,"CEFADROXIL"
"260","","","CEFADROXIL (CEFADROXIL MONOHYDRATE)","CEFADROXIL (CEFADROXIL MONOHYDRATE)",TRUE,"CEFADROXIL (CEFADROXIL MONOHYDRATE)"
"261","","","CEFAZOLIN (CEFAZOLIN SODIUM)","CEFAZOLIN (CEFAZOLIN SODIUM)",FALSE,"CEFAZOLIN (CEFAZOLIN SODIUM)"
"262","","","CEFEPIME (CEFEPIME HYDROCHLORIDE)","CEFEPIME (CEFEPIME HYDROCHLORIDE)",FALSE,"CEFEPIME (CEFEPIME HYDROCHLORIDE)"
"263","","","CEFIXIME","CEFIXIME",FALSE,"CEFIXIME"
"264","","","CEFOTAXIME (CEFOTAXIME SODIUM)","CEFOTAXIME (CEFOTAXIME SODIUM)",FALSE,"CEFOTAXIME (CEFOTAXIME SODIUM)"
"265","","","CEFOTAXIME SODIUM","CEFOTAXIME SODIUM",FALSE,"CEFOTAXIME SODIUM"
"266","","","CEFOXITIN (CEFOXITIN SODIUM)","CEFOXITIN (CEFOXITIN SODIUM)",FALSE,"CEFOXITIN (CEFOXITIN SODIUM)"
"267","Y","CEFPROZIL","CEFPROZIL","CEFPROZIL",FALSE,"CEFPROZIL"
"268","Y","CEFPROZIL","CEFPROZIL (CEFPROZIL MONOHYDRATE)","CEFPROZIL",TRUE,"CEFPROZIL (CEFPROZIL MONOHYDRATE)"
"269","","","CEFTAZIDIME","CEFTAZIDIME",FALSE,"CEFTAZIDIME"
"270","","","CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)","CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)",TRUE,"CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)"
"271","","","CEFTOLOZANE (CEFTOLOZANE SULFATE)","CEFTOLOZANE (CEFTOLOZANE SULFATE)",FALSE,"CEFTOLOZANE (CEFTOLOZANE SULFATE)"
"272","","","CEFTRIAXONE (CEFTRIAXONE SODIUM)","CEFTRIAXONE (CEFTRIAXONE SODIUM)",FALSE,"CEFTRIAXONE (CEFTRIAXONE SODIUM)"
"273","","","CEFUROXIME (CEFUROXIME AXETIL)","CEFUROXIME (CEFUROXIME AXETIL)",FALSE,"CEFUROXIME (CEFUROXIME AXETIL)"
"274","","","CEFUROXIME (CEFUROXIME SODIUM)","CEFUROXIME (CEFUROXIME SODIUM)",FALSE,"CEFUROXIME (CEFUROXIME SODIUM)"
"275","Y","CELECOXIB","CELECOXIB","CELECOXIB",FALSE,"CELECOXIB"
"276","Y","CEPHALEXIN","CEPHALEXIN","CEPHALEXIN",FALSE,"CEPHALEXIN"
"277","Y","CEPHALEXIN","CEPHALEXIN (CEPHALEXIN MONOHYDRATE)","CEPHALEXIN",TRUE,"CEPHALEXIN (CEPHALEXIN MONOHYDRATE)"
"278","","","CERITINIB","CERITINIB",FALSE,"CERITINIB"
"279","","","CERTOLIZUMAB PEGOL","CERTOLIZUMAB PEGOL",FALSE,"CERTOLIZUMAB PEGOL"
"280","Y","CETIRIZINE","CETIRIZINE HYDROCHLORIDE","CETIRIZINE",FALSE,"CETIRIZINE HYDROCHLORIDE"
"281","","","CETRIMIDE","CETRIMIDE",FALSE,"CETRIMIDE"
"282","","","CETRIMONIUM BROMIDE","CETRIMONIUM BROMIDE",FALSE,"CETRIMONIUM BROMIDE"
"283","","","CETRORELIX (CETRORELIX ACETATE)","CETRORELIX (CETRORELIX ACETATE)",FALSE,"CETRORELIX (CETRORELIX ACETATE)"
"284","","","CETUXIMAB","CETUXIMAB",FALSE,"CETUXIMAB"
"285","","","CETYLPYRIDINIUM CHLORIDE","CETYLPYRIDINIUM CHLORIDE",FALSE,"CETYLPYRIDINIUM CHLORIDE"
"286","","","CHARCOAL ACTIVATED","CHARCOAL ACTIVATED",FALSE,"CHARCOAL ACTIVATED"
"287","","","CHLORAL HYDRATE","CHLORAL HYDRATE",FALSE,"CHLORAL HYDRATE"
"288","","","CHLORAMPHENICOL","CHLORAMPHENICOL",FALSE,"CHLORAMPHENICOL"
"289","","","CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)","CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)",FALSE,"CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)"
"290","","","CHLORDIAZEPOXIDE HYDROCHLORIDE","CHLORDIAZEPOXIDE HYDROCHLORIDE",FALSE,"CHLORDIAZEPOXIDE HYDROCHLORIDE"
"291","Y","CHLORHEXIDINE","CHLORHEXIDINE ACETATE","CHLORHEXIDINE",FALSE,"CHLORHEXIDINE ACETATE"
"292","Y","CHLORHEXIDINE","CHLORHEXIDINE GLUCONATE","CHLORHEXIDINE",FALSE,"CHLORHEXIDINE GLUCONATE"
"293","","","CHLOROBUTANOL","CHLOROBUTANOL",FALSE,"CHLOROBUTANOL"
"294","","","CHLOROQUINE DIPHOSPHATE","CHLOROQUINE DIPHOSPHATE",FALSE,"CHLOROQUINE DIPHOSPHATE"
"295","","","CHLOROXYLENOL","CHLOROXYLENOL",FALSE,"CHLOROXYLENOL"
"296","","","CHLORPHENIRAMINE MALEATE","CHLORPHENIRAMINE MALEATE",FALSE,"CHLORPHENIRAMINE MALEATE"
"297","","","CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)","CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)",FALSE,"CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)"
"298","","","CHLORPROMAZINE HYDROCHLORIDE","CHLORPROMAZINE HYDROCHLORIDE",FALSE,"CHLORPROMAZINE HYDROCHLORIDE"
"299","","","CHLORPROPAMIDE","CHLORPROPAMIDE",FALSE,"CHLORPROPAMIDE"
"300","","","CHLORTHALIDONE","CHLORTHALIDONE",FALSE,"CHLORTHALIDONE"
"301","","","CHLORZOXAZONE","CHLORZOXAZONE",FALSE,"CHLORZOXAZONE"
"302","","","CHOLESTYRAMINE RESIN","CHOLESTYRAMINE RESIN",FALSE,"CHOLESTYRAMINE RESIN"
"303","","","CHOLINE","CHOLINE",FALSE,"CHOLINE"
"304","","","CHOLINE BITARTRATE","CHOLINE BITARTRATE",FALSE,"CHOLINE BITARTRATE"
"305","","","CHORIOGONADOTROPIN ALPHA","CHORIOGONADOTROPIN ALPHA",FALSE,"CHORIOGONADOTROPIN ALPHA"
"306","","","CHORIONIC GONADOTROPIN","CHORIONIC GONADOTROPIN",FALSE,"CHORIONIC GONADOTROPIN"
"307","","","CHROMIC CHLORIDE","CHROMIC CHLORIDE",FALSE,"CHROMIC CHLORIDE"
"308","","","CHROMIUM (CHROMIC CHLORIDE)","CHROMIUM (CHROMIC CHLORIDE)",FALSE,"CHROMIUM (CHROMIC CHLORIDE)"
"309","","","CHROMIUM (CHROMIUM HVP CHELATE)","CHROMIUM (CHROMIUM HVP CHELATE)",FALSE,"CHROMIUM (CHROMIUM HVP CHELATE)"
"310","Y","CICLESONIDE","CICLESONIDE","CICLESONIDE",FALSE,"CICLESONIDE"
"311","Y","CICLOPIROX","CICLOPIROX","CICLOPIROX",FALSE,"CICLOPIROX"
"312","Y","CICLOPIROX","CICLOPIROX OLAMINE","CICLOPIROX",FALSE,"CICLOPIROX OLAMINE"
"313","","","CILASTATIN (CILASTATIN SODIUM)","CILASTATIN (CILASTATIN SODIUM)",FALSE,"CILASTATIN (CILASTATIN SODIUM)"
"314","","","CILAZAPRIL","CILAZAPRIL",FALSE,"CILAZAPRIL"
"315","","","CILAZAPRIL (CILAZAPRIL MONOHYDRATE)","CILAZAPRIL (CILAZAPRIL MONOHYDRATE)",TRUE,"CILAZAPRIL (CILAZAPRIL MONOHYDRATE)"
"316","","","CIMETIDINE","CIMETIDINE",FALSE,"CIMETIDINE"
"317","","","CIMETIDINE (CIMETIDINE HYDROCHLORIDE)","CIMETIDINE (CIMETIDINE HYDROCHLORIDE)",FALSE,"CIMETIDINE (CIMETIDINE HYDROCHLORIDE)"
"318","","","CINACALCET (CINACALCET HYDROCHLORIDE)","CINACALCET (CINACALCET HYDROCHLORIDE)",FALSE,"CINACALCET (CINACALCET HYDROCHLORIDE)"
"319","Y","CIPROFLOXACIN","CIPROFLOXACIN","CIPROFLOXACIN",FALSE,"CIPROFLOXACIN"
"320","Y","CIPROFLOXACIN","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","CIPROFLOXACIN",FALSE,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)"
"321","Y","CIPROFLOXACIN","CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)","CIPROFLOXACIN",FALSE,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)"
"322","Y","CIPROFLOXACIN","CIPROFLOXACIN (CIPROFLOXACIN LACTATE)","CIPROFLOXACIN",FALSE,"CIPROFLOXACIN (CIPROFLOXACIN LACTATE)"
"323","","","CISATRACURIUM (CISATRACURIUM BESYLATE)","CISATRACURIUM (CISATRACURIUM BESYLATE)",FALSE,"CISATRACURIUM (CISATRACURIUM BESYLATE)"
"324","","","CISPLATIN","CISPLATIN",FALSE,"CISPLATIN"
"325","Y","CITALOPRAM","CITALOPRAM (CITALOPRAM HYDROBROMIDE)","CITALOPRAM",FALSE,"CITALOPRAM (CITALOPRAM HYDROBROMIDE)"
"326","","","CITRIC ACID","CITRIC ACID",FALSE,"CITRIC ACID"
"327","","","CITRIC ACID MONOHYDRATE","CITRIC ACID MONOHYDRATE",TRUE,"CITRIC ACID MONOHYDRATE"
"328","","","CLADRIBINE","CLADRIBINE",FALSE,"CLADRIBINE"
"329","Y","CLARITHROMYCIN","CLARITHROMYCIN","CLARITHROMYCIN",FALSE,"CLARITHROMYCIN"
"330","Y","CLAVULANIC ACID","CLAVULANIC ACID (CLAVULANATE POTASSIUM)","CLAVULANIC ACID",FALSE,"CLAVULANIC ACID (CLAVULANATE POTASSIUM)"
"331","Y","CLAVULANIC ACID","CLAVULANIC ACID (POTASSIUM CLAVULANATE)","CLAVULANIC ACID",FALSE,"CLAVULANIC ACID (POTASSIUM CLAVULANATE)"
"332","","","CLIDINIUM BROMIDE","CLIDINIUM BROMIDE",FALSE,"CLIDINIUM BROMIDE"
"333","Y","CLINDAMYCIN","CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)","CLINDAMYCIN",FALSE,"CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)"
"334","Y","CLINDAMYCIN","CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)","CLINDAMYCIN",FALSE,"CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)"
"335","Y","CLINDAMYCIN","CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)","CLINDAMYCIN",FALSE,"CLINDAMYCIN (CLINDAMYCIN PHOSPHATE)"
"336","Y","CLINDAMYCIN","CLINDAMYCIN HYDROCHLORIDE","CLINDAMYCIN",FALSE,"CLINDAMYCIN HYDROCHLORIDE"
"337","Y","CLINDAMYCIN","CLINDAMYCIN PHOSPHATE","CLINDAMYCIN",FALSE,"CLINDAMYCIN PHOSPHATE"
"338","","","CLIOQUINOL","CLIOQUINOL",FALSE,"CLIOQUINOL"
"339","Y","CLOBAZAM","CLOBAZAM","CLOBAZAM",FALSE,"CLOBAZAM"
"340","Y","CLOBETASOL","CLOBETASOL PROPIONATE","CLOBETASOL",FALSE,"CLOBETASOL PROPIONATE"
"341","","","CLOBETASONE BUTYRATE","CLOBETASONE BUTYRATE",FALSE,"CLOBETASONE BUTYRATE"
"342","","","CLODRONATE DISODIUM","CLODRONATE DISODIUM",FALSE,"CLODRONATE DISODIUM"
"343","","","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)","CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)",TRUE,"CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)"
"344","","","CLOFARABINE","CLOFARABINE",FALSE,"CLOFARABINE"
"345","","","CLOFEDANOL HYDROCHLORIDE","CLOFEDANOL HYDROCHLORIDE",FALSE,"CLOFEDANOL HYDROCHLORIDE"
"346","","","CLOMIPRAMINE HYDROCHLORIDE","CLOMIPRAMINE HYDROCHLORIDE",FALSE,"CLOMIPRAMINE HYDROCHLORIDE"
"347","Y","CLONAZEPAM","CLONAZEPAM","CLONAZEPAM",FALSE,"CLONAZEPAM"
"348","Y","CLONIDINE","CLONIDINE HYDROCHLORIDE","CLONIDINE",FALSE,"CLONIDINE HYDROCHLORIDE"
"349","Y","CLOPIDOGREL","CLOPIDOGREL (CLOPIDOGREL BISULFATE)","CLOPIDOGREL",FALSE,"CLOPIDOGREL (CLOPIDOGREL BISULFATE)"
"350","","","CLORAZEPATE DIPOTASSIUM","CLORAZEPATE DIPOTASSIUM",FALSE,"CLORAZEPATE DIPOTASSIUM"
"351","","","CLOTRIMAZOLE","CLOTRIMAZOLE",FALSE,"CLOTRIMAZOLE"
"352","","","CLOXACILLIN (CLOXACILLIN SODIUM)","CLOXACILLIN (CLOXACILLIN SODIUM)",FALSE,"CLOXACILLIN (CLOXACILLIN SODIUM)"
"353","","","CLOXACILLIN SODIUM","CLOXACILLIN SODIUM",FALSE,"CLOXACILLIN SODIUM"
"354","Y","CLOZAPINE","CLOZAPINE","CLOZAPINE",FALSE,"CLOZAPINE"
"355","","","COAGULATION FACTOR II (HUMAN)","COAGULATION FACTOR II (HUMAN)",FALSE,"COAGULATION FACTOR II (HUMAN)"
"356","","","COAGULATION FACTOR IX (HUMAN)","COAGULATION FACTOR IX (HUMAN)",FALSE,"COAGULATION FACTOR IX (HUMAN)"
"357","","","COAGULATION FACTOR IX (RECOMBINANT)","COAGULATION FACTOR IX (RECOMBINANT)",FALSE,"COAGULATION FACTOR IX (RECOMBINANT)"
"358","","","COAGULATION FACTOR VII (HUMAN)","COAGULATION FACTOR VII (HUMAN)",FALSE,"COAGULATION FACTOR VII (HUMAN)"
"359","","","COAGULATION FACTOR X (HUMAN)","COAGULATION FACTOR X (HUMAN)",FALSE,"COAGULATION FACTOR X (HUMAN)"
"360","","","COAL TAR","COAL TAR",FALSE,"COAL TAR"
"361","","","COBIMETINIB (COBIMETINIB FUMARATE)","COBIMETINIB (COBIMETINIB FUMARATE)",FALSE,"COBIMETINIB (COBIMETINIB FUMARATE)"
"362","","","COCAINE HYDROCHLORIDE","COCAINE HYDROCHLORIDE",FALSE,"COCAINE HYDROCHLORIDE"
"363","","","COCOA BUTTER","COCOA BUTTER",FALSE,"COCOA BUTTER"
"364","Y","CODEINE","CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)","CODEINE",TRUE,"CODEINE (CODEINE MONOHYDRATE, Codeine Sulfate Trihydrate)"
"365","Y","CODEINE","CODEINE PHOSPHATE","CODEINE",FALSE,"CODEINE PHOSPHATE"
"366","Y","COLCHICINE","COLCHICINE","COLCHICINE",FALSE,"COLCHICINE"
"367","","","COLESTIPOL HYDROCHLORIDE","COLESTIPOL HYDROCHLORIDE",FALSE,"COLESTIPOL HYDROCHLORIDE"
"368","","","COLISTIN (COLISTIMETHATE SODIUM)","COLISTIN (COLISTIMETHATE SODIUM)",FALSE,"COLISTIN (COLISTIMETHATE SODIUM)"
"369","","","COLLAGEN","COLLAGEN",FALSE,"COLLAGEN"
"370","","","COLLAGENASE","COLLAGENASE",FALSE,"COLLAGENASE"
"371","Y","ESTROGENIC SUB,CONJUGATED","CONJUGATED ESTROGENS","CONJUGATED ESTROGENS",FALSE,"CONJUGATED ESTROGENS"
"372","","","COPPER (COPPER SULFATE)","COPPER (COPPER SULFATE)",FALSE,"COPPER (COPPER SULFATE)"
"373","","","COPPER (CUPRIC OXIDE)","COPPER (CUPRIC OXIDE)",FALSE,"COPPER (CUPRIC OXIDE)"
"374","","","CORBADRINE (CORBADRINE HYDROCHLORIDE)","CORBADRINE (CORBADRINE HYDROCHLORIDE)",FALSE,"CORBADRINE (CORBADRINE HYDROCHLORIDE)"
"375","","","CORTISONE ACETATE","CORTISONE ACETATE",FALSE,"CORTISONE ACETATE"
"376","","","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN","CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN",FALSE,"CORYNEBACTERIUM DIPHTHERIAE CRM-197 PROTEIN"
"377","","","CROMOLYN SODIUM","CROMOLYN SODIUM",FALSE,"CROMOLYN SODIUM"
"378","","","CROTAMITON","CROTAMITON",FALSE,"CROTAMITON"
"379","","","CUPRIC CHLORIDE","CUPRIC CHLORIDE",FALSE,"CUPRIC CHLORIDE"
"380","Y","CYCLOBENZAPRINE","CYCLOBENZAPRINE HYDROCHLORIDE","CYCLOBENZAPRINE",FALSE,"CYCLOBENZAPRINE HYDROCHLORIDE"
"381","","","CYCLOPENTOLATE HYDROCHLORIDE","CYCLOPENTOLATE",FALSE,"CYCLOPENTOLATE HYDROCHLORIDE"
"382","","","CYCLOPHOSPHAMIDE","CYCLOPHOSPHAMIDE",FALSE,"CYCLOPHOSPHAMIDE"
"383","","","CYCLOSPORINE","CYCLOSPORINE",FALSE,"CYCLOSPORINE"
"384","","","CYPROHEPTADINE HYDROCHLORIDE","CYPROHEPTADINE HYDROCHLORIDE",FALSE,"CYPROHEPTADINE HYDROCHLORIDE"
"385","Y","CYPROTERONE","CYPROTERONE ACETATE","CYPROTERONE",FALSE,"CYPROTERONE ACETATE"
"386","","","CYTARABINE","CYTARABINE",FALSE,"CYTARABINE"
"387","","","CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)","CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)",FALSE,"CYTOMEGALOVIRUS IMMUNE GLOBULIN (HUMAN)"
"388","","","Canagliflozin","Canagliflozin",FALSE,"Canagliflozin"
"389","","","Carglumic Acid","Carglumic Acid",FALSE,"Carglumic Acid"
"390","","","Catridecacog","Catridecacog",FALSE,"Catridecacog"
"391","","","Cobicistat","Cobicistat",FALSE,"Cobicistat"
"392","","","Colesevelam hydrochloride","Colesevelam hydrochloride",FALSE,"Colesevelam hydrochloride"
"393","","","Crizotinib","Crizotinib",FALSE,"Crizotinib"
"394","","","D&C RED NO. 28","D&C RED NO. 28",FALSE,"D&C RED NO. 28"
"395","","","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)",FALSE,"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)"
"396","","","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)",FALSE,"D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE, RIBOFLAVIN-5-PHOSPHATE)"
"397","","","D-PENICILLAMINE","D-PENICILLAMINE",FALSE,"D-PENICILLAMINE"
"398","Y","DABIGATRAN ETEXILATE","DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)","DABIGATRAN",FALSE,"DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE)"
"399","","","DACLIZUMAB BETA","DACLIZUMAB BETA",FALSE,"DACLIZUMAB BETA"
"400","","","DACTINOMYCIN","DACTINOMYCIN",FALSE,"DACTINOMYCIN"
"401","","","DALTEPARIN SODIUM","DALTEPARIN SODIUM",FALSE,"DALTEPARIN SODIUM"
"402","","","DANAPAROID SODIUM","DANAPAROID SODIUM",FALSE,"DANAPAROID SODIUM"
"403","","","DANAZOL","DANAZOL",FALSE,"DANAZOL"
"404","","","DAPSONE","DAPSONE",FALSE,"DAPSONE"
"405","","","DAPTOMYCIN","DAPTOMYCIN",FALSE,"DAPTOMYCIN"
"406","","","DARATUMUMAB","DARATUMUMAB",FALSE,"DARATUMUMAB"
"407","","","DARBEPOETIN ALFA","DARBEPOETIN ALFA",FALSE,"DARBEPOETIN ALFA"
"408","","","DARIFENACIN (DARIFENACIN HYDROBROMIDE)","DARIFENACIN (DARIFENACIN HYDROBROMIDE)",FALSE,"DARIFENACIN (DARIFENACIN HYDROBROMIDE)"
"409","","","DARUNAVIR (DARUNAVIR ETHANOLATE)","DARUNAVIR (DARUNAVIR ETHANOLATE)",FALSE,"DARUNAVIR (DARUNAVIR ETHANOLATE)"
"410","","","DASATINIB (DASATINIB MONOHYDRATE)","DASATINIB (DASATINIB MONOHYDRATE)",TRUE,"DASATINIB (DASATINIB MONOHYDRATE)"
"411","","","DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)","DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)",FALSE,"DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)"
"412","","","DEFERASIROX","DEFERASIROX",FALSE,"DEFERASIROX"
"413","","","DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE",FALSE,"DEFEROXAMINE MESYLATE"
"414","","","DEGARELIX (DEGARELIX ACETATE)","DEGARELIX (DEGARELIX ACETATE)",FALSE,"DEGARELIX (DEGARELIX ACETATE)"
"415","","","DELAVIRDINE MESYLATE","DELAVIRDINE MESYLATE",FALSE,"DELAVIRDINE MESYLATE"
"416","","","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)","DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)",FALSE,"DELTA-9-TETRAHYDROCANNABINOL (CANNABIS SATIVA EXTRACT)"
"417","","","DENOSUMAB","DENOSUMAB",FALSE,"DENOSUMAB"
"418","","","DEOXYCHOLIC ACID","DEOXYCHOLIC ACID",FALSE,"DEOXYCHOLIC ACID"
"419","","","DEQUALINIUM CHLORIDE","DEQUALINIUM CHLORIDE",FALSE,"DEQUALINIUM CHLORIDE"
"420","","","DERMATOPHAGOIDES FARINAE","DERMATOPHAGOIDES FARINAE",FALSE,"DERMATOPHAGOIDES FARINAE"
"421","","","DERMATOPHAGOIDES PTERONYSSINUS","DERMATOPHAGOIDES PTERONYSSINUS",FALSE,"DERMATOPHAGOIDES PTERONYSSINUS"
"422","","","DESFLURANE","DESFLURANE",FALSE,"DESFLURANE"
"423","","","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)",FALSE,"DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)"
"424","","","DESIPRAMINE HYDROCHLORIDE","DESIPRAMINE HYDROCHLORIDE",FALSE,"DESIPRAMINE HYDROCHLORIDE"
"425","","","DESLORATADINE","DESLORATADINE",FALSE,"DESLORATADINE"
"426","","","DESMOPRESSIN (DESMOPRESSIN ACETATE)","DESMOPRESSIN (DESMOPRESSIN ACETATE)",FALSE,"DESMOPRESSIN (DESMOPRESSIN ACETATE)"
