"","DRUGNAME","ACTIVE_INGREDIENT_NAME"
"488","PMS-HYDROMORPHONE TAB 2MG","hydromorphone hcl"
"489","PMS-HYDROMORPHONE TAB 4MG","hydromorphone"
"490","PMS-HYDROMORPHONE TAB 4MG","hydromorphone hcl"
"491","PMS-HYDROMORPHONE TAB 8MG","hydromorphone"
"492","PMS-HYDROMORPHONE TAB 8MG","hydromorphone hcl"
"493","PMS-OXYCODONE","dihydrohydroxycodeinone"
"494","PMS-OXYCODONE","dihydrohydroxycodeinone hcl"
"495","PMS-OXYCODONE","oxycodon hydrochloride"
"496","PMS-OXYCODONE","oxycodone"
"497","PMS-OXYCODONE","oxycodone hcl"
"498","PMS-OXYCODONE","oxycodone hydrochloride"
"499","PMS-OXYCODONE","oxycodone hydrochloride hydrate"
"500","PMS-OXYCODONE","oxycodonhydrochlorid"
"501","PMS-OXYCODONE - ACETAMINOPHEN","oxycodone"
"502","PMS-OXYCODONE CR","oxycodone hcl"
"503","PMS-TRAMADOL-ACET","tramadol hcl"
"504","PRIVA-TRAMADOL/ACET","tramadol hcl"
"505","PROCET-30","codeine po4"
"506","RALIVIA","tramadol hcl"
"507","RAN-FENTANYL MATRIX PATCH","fentanyl"
"508","RAN-FENTANYL MATRIX PATCH","fentanyl iv"
"509","RAN-FENTANYL TRANSDERMAL SYSTEM","fentanyl"
"510","RAN-FENTANYL TRANSDERMAL SYSTEM","fentanyl iv"
"511","RAN-TRAMADOL/ACET","tramadol hcl"
"512","RATIO-CODEINE","codeine po4"
"513","RATIO-COTRIDIN","codeine po4"
"514","RATIO-COTRIDIN EXPECTORANT","codeine po4"
"515","RATIO-EMTEC","codeine po4"
"516","RATIO-EMTEC-30","codeine po4"
"517","RATIO-FENTANYL","fentanyl"
"518","RATIO-FENTANYL","fentanyl iv"
"519","RATIO-LENOLTEC #3","codein"
"520","RATIO-LENOLTEC #3","codeine"
"521","RATIO-LENOLTEC NO 1","codeine po4"
"522","RATIO-LENOLTEC NO 2","codeine po4"
"523","RATIO-LENOLTEC NO 3","codeine po4"
"524","RATIO-LENOLTEC NO 4","codeine po4"
"525","RATIO-MORPHINE","morphine hcl"
"526","RATIO-OXYCOCET","oxycodone"
"527","RATIO-OXYCOCET","oxycodone hcl"
"528","RATIO-OXYCODAN","oxycodone hcl"
"529","RATIO-TECNAL C 1/2","codeine po4"
"530","RATIO-TECNAL C1/4","codeine po4"
"531","RIVACOCET","oxycodone"
"532","ROBAXACET-8","codeine po4"
"533","ROBAXACET-8 TABLETS","codeine po4"
"534","ROBAXISAL C 1/2","codeine po4"
"535","ROBAXISAL C-1/2 TABLETS","codeine po4"
"536","ROBAXISAL C-1/4 TABLETS","codeine po4"
"537","ROBAXISAL C-1/8 TABLETS","codeine po4"
"538","ROBAXISAL WITH CODEINE","codeine po4"
"539","ROBITUSSIN A-C SYRUP","codeine po4"
"540","ROBITUSSIN AC","codeine po4"
"541","SANDOZ FENTANYL PATCH","fentanyl"
"542","SANDOZ FENTANYL PATCH","fentanyl iv"
"543","SANDOZ OXYCODONE/ACETAMINOPHEN","oxycodone hcl"
"544","SEDOL","morphine"
"545","SINUTAB WITH CODEINE TABLETS","codeine po4"
"546","SPARIDOL","meperidine"
"547","SPASMHALT-8","codeine po4"
"548","SUBOXONE","buprenorphin"
"549","SUBOXONE","buprenorphine"
"550","SUBOXONE sublingual","buprenorphin"
"551","SUBOXONE sublingual","buprenorphine"
"552","SUBUTEX","buprenorphin"
"553","SUBUTEX","buprenorphine"
"554","SUPEUDOL","oxycodone hcl"
"555","SUPEUDOL 10","oxycodone hcl"
"556","SUPEUDOL 20","oxycodone hcl"
"557","SUPEUDOL 5","oxycodone hcl"
"558","TALWIN","pentazocine"
"559","TALWIN 30 MG/ML","pentazocine"
"560","TALWIN COMPOUND 50","pentazocine"
"561","TALWIN NOS","pentazocine"
"562","TAPENTADOL","tapentadol"
"563","TARGIN","oxycodone hcl"
"564","TARGIN 20MG/10MG","oxycodone hcl"
"565","TARO-TRAMADOL ER","tramadol hcl"
"566","TECNAL C 1/2","codeine po4"
"567","TECNAL C 1/4","codeine po4"
"568","TERPIN HYDRATE CODEINE ELX CF","codein"
"569","TERPIN HYDRATE CODEINE ELX CF","codeine"
"570","TEVA-BUPRENORPHINE/NALOXONE","buprenorphin"
"571","TEVA-BUPRENORPHINE/NALOXONE","buprenorphine"
"572","TEVA-FENTANYL","fentanyl"
"573","TEVA-FENTANYL","fentanyl iv"
"574","TEVA-FENTANYL 100","fentanyl"
"575","TEVA-FENTANYL 100","fentanyl iv"
"576","TEVA-FENTANYL 25","fentanyl"
"577","TEVA-FENTANYL 25","fentanyl iv"
"578","TEVA-FENTANYL 50","fentanyl"
"579","TEVA-FENTANYL 50","fentanyl iv"
"580","TEVA-HYDROMORPHONE","dihydromorphine"
"581","TEVA-HYDROMORPHONE","hydromorphone"
"582","TEVA-HYDROMORPHONE","hydromorphone hcl"
"583","TEVA-HYDROMORPHONE","hydromorphone hydrochloride"
"584","TEVA-HYDROMORPHONE","oros hydromorphone hcl"
"585","TEVA-HYDROMORPHONE","oros hydromorphone hydrochloride"
"586","TEVA-OXYCODONE ACET","oxycodone hcl"
"587","TINCTURE MORPHINE & CHLOROFORM","morphine"
"588","TRAMACET","tramadol hcl"
"589","TRAMADOL","tramadol"
"590","TRAMADOL HYDROCHLORIDE","tramadol hcl"
"591","TRAMADOL-ACET","tramadol hcl"
"592","TRAMADOL/ACET","tramadol hcl"
"593","TRAMADOL/ACETAMINOPHEN TABLETS","tramadol hcl"
"594","TRIANAL-C 1/2 CAPSULE","codeine po4"
"595","TRIATEC","codeine po4"
"596","TRIATEC-30","codeine po4"
"597","TRIATEC-30 TAB","codeine po4"
"598","TRIATEC-8 TAB","codeine po4"
"599","TRIDURAL","tramadol hcl"
"600","TRIPROLIDINE/PSEUDOEPHEDRINE/CODEINE","codeine po4"
"601","TUSSIONEX","hydrocodone"
"602","TYLENOL #3","codeine po4"
"603","TYLENOL #3 (ACETAMINOPHEN/CODEINE)","codeine po4"
"604","TYLENOL NO 1 TAB","codeine po4"
"605","TYLENOL NO.1 CAPLETS","codeine po4"
"606","TYLENOL NO.1 FORTE CAPLETS","codeine po4"
"607","TYLENOL NO1 FORTE TABLETS WITH CODEINE","codeine po4"
"608","TYLENOL W CODEINE NO2 TAB","codeine po4"
"609","TYLENOL W CODEINE NO3 TAB","codeine po4"
"610","TYLENOL W CODEINE NO4 TAB","codeine po4"
"611","TYLENOL WITH CODEINE","codeine po4"
"612","TYLENOL WITH CODEINE #3","codeine po4"
"613","TYLENOL WITH CODEINE ELIXIR","codeine po4"
"614","TYLENOL WITH CODEINE NO. 2 - TAB","codeine po4"
"615","TYLENOL WITH CODEINE NO. 3 - TAB","codeine po4"
"616","TYLENOL WITH CODEINE NO. 4 - TAB","codeine po4"
"617","TYLOX","oxycodone hcl"
"618","ULTRAM","tramadol"
"619","ULTRAM","tramadol hcl"
"620","ULTRAM SR","tramadol"
"621","VEGANIN","codein"
"622","VEGANIN","codeine"
"623","ZEPHADON COUGH DROPS","methadone"
"624","ZYTRAM XL","tramadol hcl"
