DPD_ROUTE_OF_ADMINISTRATION	DPD PHARMACEUTICAL_FORM	NTP_DOSAGE_FORM
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"EPIDURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR"	EMULSION	emulsion for injection
"INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR"	LIQUID	solution for injection
"INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR,  INTRALESIONAL, INTRAMUSCULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR  INTRALESIONAL, INTRAMUSCULAR"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	EMULSION	emulsion for injection
"INTRA-ARTICULAR,  NTRABURSAL, INTRAMUSCULAR"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	EMULSION	emulsion for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	POWDER	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	SUSPENSION	suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRADERMAL, INTRALESIONAL,  INTRAMUSCULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRASYNOVIAL"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRABURSAL, INTRADERMAL, INTRAMUSCULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	EMULSION	emulsion for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	POWDER	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	SUSPENSION	suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, INTRAVENTRICULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	EMULSION	emulsion for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	LIQUID	solution for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER	powder for suspension for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SOLUTION	powder for solution for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION	suspension for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	SOLUTION	solution for injection
"INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS,  SOFT TISSUE INJECTION "	EMULSION	emulsion for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	LIQUID	solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	POWDER	powder for suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	SUSPENSION	suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	SOLUTION	solution for injection
"INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION "	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	EMULSION	emulsion for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	LIQUID	solution for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	POWDER	powder for suspension for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	POWDER FOR SOLUTION	powder for solution for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	SUSPENSION	suspension for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	"POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	powder for prolonged-release suspension for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	POWDER FOR SUSPENSION	powder for suspension for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	SOLUTION	solution for injection
"INTRA-ARTERIAL, INTRACAVITARY, INTRAMUSCULAR, INTRAVENOUS, INTRAVENTRICULAR"	SUSPENSION (EXTENDED-RELEASE)	prolonged-release suspension for injection
INHALATION	"METERED-DOSE AEROSOL, POWDER"	inhalation powder
NASAL	"METERED-DOSE AEROSOL, SUSPENSION"	nasal spray
		
		
		
		
