"tm_formal_name","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code"
"dexbrompheniramine maleate and pseudoephedrine sulfate",FALSE,1,1,"active",1974-12-31,NA
"dicyclomine hydrochloride",FALSE,9,4,"active",1974-12-31,NA
"dinoprost (dinoprost tromethamine)",FALSE,1,1,"active",1974-12-31,NA
"metolazone",FALSE,1,1,"active",1974-12-31,NA
"miconazole nitrate",FALSE,14,5,"active",1974-12-31,NA
"prednisolone and sulfacetamide sodium",FALSE,4,3,"active",1974-12-31,NA
"silver sulfadiazine",FALSE,1,1,"active",1974-12-31,NA
"sodium bicarbonate",FALSE,13,3,"active",1974-12-31,NA
"tetracosactide",FALSE,1,1,"active",1974-12-31,NA
"pizotifen (pizotifen malate)",FALSE,2,1,"active",1975-01-01,NA
"benzylpenicilloyl-polylysine",FALSE,1,1,"active",1975-12-31,NA
"carmustine",FALSE,1,1,"active",1975-12-31,NA
"cloxacillin (cloxacillin sodium)",FALSE,6,2,"active",1975-12-31,NA
"coal tar",FALSE,10,6,"active",1975-12-31,NA
"docusate sodium and sennosides (senna)",FALSE,1,1,"active",1975-12-31,NA
"fluorouracil",FALSE,4,2,"active",1975-12-31,NA
"hydrocortisone and zinc sulfate",FALSE,12,3,"active",1975-12-31,NA
"magnesium sulfate",FALSE,5,1,"active",1975-12-31,NA
"pimozide",FALSE,6,1,"active",1975-12-31,NA
"purified protein derivative of tuberculin",FALSE,1,1,"active",1975-12-31,NA
"tolbutamide",FALSE,1,1,"active",1975-12-31,NA
"trifluoperazine (trifluoperazine hydrochloride)",FALSE,5,1,"active",1975-12-31,NA
"chlorthalidone",FALSE,2,1,"active",1976-12-31,NA
"hyoscine butylbromide",FALSE,3,2,"active",1976-12-31,NA
"lomustine",FALSE,3,1,"active",1976-12-31,NA
"methyldopa",FALSE,3,1,"active",1976-12-31,NA
"metronidazole and nystatin",FALSE,2,2,"active",1976-12-31,NA
"oxtriphylline",FALSE,4,2,"active",1976-12-31,NA
"perphenazine",FALSE,9,2,"active",1976-12-31,NA
"aluminum chloride and oxyquinoline sulfate",FALSE,1,1,"active",1977-12-31,NA
"benserazide (benserazide hydrochloride) and levodopa",FALSE,3,1,"active",1977-12-31,NA
"camphor and eucalyptol and guaiacol and guaiacol carbonate",FALSE,2,1,"active",1977-12-31,NA
"corbadrine (corbadrine hydrochloride) and mepivacaine hydrochloride",FALSE,3,1,"active",1977-12-31,NA
"cytarabine",FALSE,9,3,"active",1977-12-31,NA
"dinoprostone",FALSE,5,4,"active",1977-12-31,NA
"epinephrine and prilocaine hydrochloride",FALSE,2,1,"active",1977-12-31,NA
"fluphenazine hydrochloride",FALSE,7,1,"active",1977-12-31,NA
"iodine and sodium iodide",FALSE,1,1,"active",1977-12-31,NA
"iodine (ethiodized oil)",FALSE,1,1,"active",1977-12-31,NA
"mepivacaine hydrochloride",FALSE,7,1,"active",1977-12-31,NA
"primidone",FALSE,2,1,"active",1977-12-31,NA
"rifampin",FALSE,4,1,"active",1977-12-31,NA
"sulfisoxazole",FALSE,1,1,"active",1977-12-31,NA
"diatrizoate meglumine and diatrizoate sodium",FALSE,1,1,"active",1978-12-30,NA
"alcohol anhydrous",FALSE,1,1,"active",1978-12-31,NA
"antazoline phosphate and naphazoline hydrochloride",FALSE,2,1,"active",1978-12-31,NA
"benzocaine and tetracaine hydrochloride",FALSE,6,4,"active",1978-12-31,NA
"bismuth subgallate",FALSE,1,1,"active",1978-12-31,NA
"camphor and dexamethasone (base) and parachlorophenol and thymol",FALSE,1,1,"active",1978-12-31,NA
"dextromethorphan hydrobromide and guaifenesin and pheniramine maleate and phenylephrine",FALSE,1,1,"active",1978-12-31,NA
"dextrose and potassium chloride and sodium chloride",FALSE,27,1,"active",1978-12-31,NA
"hydrocortisone and pramoxine hydrochloride and zinc sulfate",FALSE,6,3,"active",1978-12-31,NA
"pindolol",FALSE,15,1,"active",1978-12-31,NA
"pneumococcal polysaccharide serotype 1 and pneumococcal polysaccharide serotype 10a and pneumococcal polysaccharide serotype 11a and pneumococcal polysaccharide serotype 12f and pneumococcal polysaccharide serotype 14 and pneumococcal polysaccharide serotype 15b and pneumococcal polysaccharide serotype 17f and pneumococcal polysaccharide serotype 18c and pneumococcal polysaccharide serotype 19a and pneumococcal polysaccharide serotype 19f and pneumococcal polysaccharide serotype 2 and pneumococcal polysaccharide serotype 20 and pneumococcal polysaccharide serotype 22f and pneumococcal polysaccharide serotype 23f and pneumococcal polysaccharide serotype 3 and pneumococcal polysaccharide serotype 33f and pneumococcal polysaccharide serotype 4 and pneumococcal polysaccharide serotype 5 and pneumococcal polysaccharide serotype 6b and pneumococcal polysaccharide serotype 7f and pneumococcal polysaccharide serotype 8 and pneumococcal polysaccharide serotype 9n and pneumococcal polysaccharide serotype 9v",FALSE,1,1,"active",1978-12-31,NA
"sulfamethoxazole",FALSE,1,1,"active",1978-12-31,NA
"sulfasalazine",FALSE,5,2,"active",1978-12-31,NA
"sulfinpyrazone",FALSE,1,1,"active",1978-12-31,NA
"tretinoin",FALSE,15,3,"active",1978-12-31,NA
"vitamin B12",FALSE,8,1,"active",1978-12-31,NA
"yellow fever vaccine",FALSE,1,1,"active",1978-12-31,NA
"antipyrine and sodium salicylate",FALSE,1,1,"active",1979-12-31,NA
"calcium polystyrene sulfonate",FALSE,1,2,"active",1979-12-31,NA
"dexpanthenol and nicotinamide and pyridoxine hydrochloride and thiamine hydrochloride and vitamin B12 and vitamin B2 (riboflavin 5'-phosphate sodium)",FALSE,1,1,"active",1979-12-31,NA
"dextromethorphan hydrobromide",FALSE,25,5,"active",1979-12-31,NA
"dextrose and potassium chloride",FALSE,8,1,"active",1979-12-31,NA
"diphenhydramine hydrochloride",FALSE,83,10,"active",1979-12-31,NA
"ethinyl estradiol and ethynodiol diacetate",FALSE,2,1,"active",1979-12-31,NA
"fluocinolone acetonide",FALSE,8,6,"active",1979-12-31,NA
"glycine and histidine and l-alanine and l-arginine and l-isoleucine and l-leucine and l-lysine (l-lysine acetate) and l-phenylalanine and l-proline and l-threonine and l-tyrosine and l-valine and methionine and serine and tryptophan",FALSE,1,1,"active",1979-12-31,NA
"guaifenesin",FALSE,19,4,"active",1979-12-31,NA
"hydrocortisone and pramoxine hydrochloride",FALSE,3,3,"active",1979-12-31,NA
"hydroxocobalamin",FALSE,2,2,"active",1979-12-31,NA
"hydroxyurea",FALSE,4,1,"active",1979-12-31,NA
"measles virus vaccine live attenuated and mumps virus vaccine live attenuated (jeryl lynn strain) and rubella virus vaccine live attenuated (wistar ra27/3 strain)",FALSE,1,1,"active",1979-12-31,NA
"mitotane",FALSE,1,1,"active",1979-12-31,NA
"modified ragweed tyrosine adsorbate",FALSE,1,1,"active",1979-12-31,NA
"nicotinamide",FALSE,1,1,"active",1979-12-31,NA
"nicotinic acid",FALSE,5,2,"active",1979-12-31,NA
"patent blue sodium",FALSE,1,1,"active",1979-12-31,NA
"phenylephrine",FALSE,11,5,"active",1979-12-31,NA
"piperazine",FALSE,1,1,"active",1979-12-31,NA
"pyridoxine hydrochloride",FALSE,3,1,"active",1979-12-31,NA
"theophylline",FALSE,13,3,"active",1979-12-31,NA
"thiamine hydrochloride",FALSE,4,1,"active",1979-12-31,NA
"vitamin B2 (riboflavin 5'-phosphate sodium)",FALSE,1,1,"active",1979-12-31,NA
"benzocaine and methyl heptyl colamino formylmethyl pyridinium chl",FALSE,1,1,"active",1980-11-04,NA
"alfacalcidol",FALSE,4,3,"active",1980-12-31,NA
"arginine and glycine and histidine and isoleucine and l-alanine and leucine and l-lysine hydrochloride and methionine and phenylalanine and proline and threonine and tryptophan and tyrosine and valine",FALSE,1,1,"active",1980-12-31,NA
"calcium chloride and magnesium chloride and potassium chloride and sodium acetate trihydrate and sodium chloride and sodium citrate dihydrate",FALSE,1,1,"active",1980-12-31,NA
"camphor and menthol and meradimate and padimate o and phenol",FALSE,1,1,"active",1980-12-31,NA
"carbachol",FALSE,1,1,"active",1980-12-31,NA
"cloxacillin sodium",FALSE,7,4,"active",1980-12-31,NA
"coal tar and salicylic acid",FALSE,2,2,"active",1980-12-31,NA
"dimethyl sulfoxide",FALSE,2,1,"active",1980-12-31,NA
"diphtheria toxoid adsorbed and tetanus toxoid adsorbed",FALSE,1,1,"active",1980-12-31,NA
"epinephrine and mepivacaine hydrochloride",FALSE,1,1,"active",1980-12-31,NA
"fluorescein sodium",FALSE,6,4,"active",1980-12-31,NA
"glycine",FALSE,3,1,"active",1980-12-31,NA
"mannitol and sorbitol",FALSE,2,1,"active",1980-12-31,NA
"minoxidil",FALSE,8,4,"active",1980-12-31,NA
"naphazoline hydrochloride and pheniramine maleate",FALSE,6,1,"active",1980-12-31,NA
"nitrazepam",FALSE,6,1,"active",1980-12-31,NA
"aminophylline",FALSE,3,1,"active",1981-12-31,NA
"ammonium chloride and codeine and diphenhydramine hydrochloride",FALSE,3,2,"active",1981-12-31,NA
"calamine and diphenhydramine hydrochloride",FALSE,2,1,"active",1981-12-31,NA
"calcium chloride",FALSE,5,2,"active",1981-12-31,NA
"calcium glycerophosphate and calcium levulinate",FALSE,1,1,"active",1981-12-31,NA
"cetrimonium bromide and lidocaine",FALSE,1,1,"active",1981-12-31,NA
"chlordiazepoxide hydrochloride",FALSE,3,1,"active",1981-12-31,NA
"cromolyn sodium",FALSE,7,5,"active",1981-12-31,NA
"ergonovine maleate",FALSE,3,1,"active",1981-12-31,NA
"guaifenesin and oxtriphylline",FALSE,1,1,"active",1981-12-31,NA
"oxytocin",FALSE,2,1,"active",1981-12-31,NA
"phenelzine (phenelzine sulfate)",FALSE,1,1,"active",1981-12-31,NA
"pyrithione zinc",FALSE,79,4,"active",1981-12-31,NA
"quinidine sulfate",FALSE,1,1,"active",1981-12-31,NA
"scopolamine hydrobromide",FALSE,4,1,"active",1981-12-31,NA
"sodium ascorbate",FALSE,1,1,"active",1981-12-31,NA
"tobramycin",FALSE,17,6,"active",1981-12-31,NA
"vitamin B12 (cyanocobalamin)",FALSE,2,1,"active",1981-12-31,NA
"vitamin K1",FALSE,4,2,"active",1981-12-31,NA
"acetaminophen and codeine and doxylamine",FALSE,1,1,"active",1982-12-31,NA
"acetazolamide",FALSE,2,2,"active",1982-12-31,NA
"aloe and benzoin and myroxylon balsamum and storax",FALSE,1,2,"active",1982-12-31,NA
"alprostadil",FALSE,7,3,"active",1982-12-31,NA
"benzocaine and cetylpyridinium chloride",FALSE,1,2,"active",1982-12-31,NA
"benzoyl peroxide",FALSE,49,8,"active",1982-12-31,NA
"calcium chloride and dextrose and glutathione disulfide and magnesium chloride and potassium chloride and sodium bicarbonate and sodium chloride and sodium phosphate dibasic",FALSE,1,2,"active",1982-12-31,NA
"cimetidine",FALSE,22,1,"active",1982-12-31,NA
"dipyridamole",FALSE,9,2,"active",1982-12-31,NA
"isosorbide dinitrate",FALSE,5,2,"active",1982-12-31,NA
"macrogol and propylene glycol",FALSE,6,2,"active",1982-12-31,NA
"mebendazole",FALSE,1,1,"active",1982-12-31,NA
"nabilone",FALSE,13,1,"active",1982-12-31,NA
"polyvinyl alcohol",FALSE,4,1,"active",1982-12-31,NA
"promethazine (promethazine hydrochloride)",FALSE,1,1,"active",1982-12-31,NA
"trihexyphenidyl hydrochloride",FALSE,5,2,"active",1982-12-31,NA
"amsacrine",FALSE,1,1,"active",1983-12-31,NA
"betamethasone (base) and salicylic acid",FALSE,3,2,"active",1983-12-31,NA
"bronopol and triclosan",FALSE,1,1,"active",1983-12-31,NA
"calcitonin (salmon synthetic)",FALSE,1,1,"active",1983-12-31,NA
"calcium chloride and magnesium chloride and potassium chloride and sodium acetate and sodium chloride",FALSE,1,1,"active",1983-12-31,NA
"cantharidin and podophyllin and salicylic acid",FALSE,2,1,"active",1983-12-31,NA
"chromic chloride and cupric chloride and manganese chloride and zinc chloride",FALSE,1,1,"active",1983-12-31,NA
"deoxycholic acid and NA",FALSE,1,1,"active",1983-12-31,NA
"dextromethorphan hydrobromide and pheniramine maleate and phenylephrine",FALSE,3,2,"active",1983-12-31,NA
"dextrose and lidocaine hydrochloride",FALSE,3,1,"active",1983-12-31,NA
"doxylamine and pyridoxine hydrochloride",FALSE,1,1,"active",1983-12-31,NA
"erythromycin and sulfisoxazole (sulfisoxazole acetyl)",FALSE,1,1,"active",1983-12-31,NA
"fluocinonide",FALSE,10,3,"active",1983-12-31,NA
"gramicidin and neomycin (neomycin sulfate) and nystatin and triamcinolone",FALSE,4,2,"active",1983-12-31,NA
"hydrochlorothiazide and pindolol",FALSE,2,1,"active",1983-12-31,NA
"insulin nph human dna origin",FALSE,1,1,"active",1983-12-31,NA
"insulin semi synthetic human",FALSE,1,1,"active",1983-12-31,NA
"isotretinoin",FALSE,8,1,"active",1983-12-31,NA
"mineral oil and urea",FALSE,1,1,"active",1983-12-31,NA
"nitrous oxide and oxygen",FALSE,3,1,"active",1983-12-31,NA
"prazosin (prazosin hydrochloride)",FALSE,9,1,"active",1983-12-31,NA
"promethazine hydrochloride",FALSE,3,2,"active",1983-12-31,NA
"tetracycline hydrochloride",FALSE,2,2,"active",1983-12-31,NA
"calcium gluconate and calcium saccharate",FALSE,1,1,"active",1984-07-19,NA
"ampicillin",FALSE,4,2,"active",1984-12-31,NA
"cetylpyridinium chloride",FALSE,7,4,"active",1984-12-31,NA
"cyclosporine",FALSE,11,4,"active",1984-12-31,NA
"diphtheria toxoid and inactivated poliomyelitis vaccine (d.c.o.) type 1 mahoney and inactivated poliomyelitis vaccine (d.c.o.) type 2 mef1 and inactivated poliomyelitis vaccine (d.c.o.) type 3 saukett and tetanus toxoid",FALSE,1,1,"active",1984-12-31,NA
"d-pantothenic acid (calcium d-pantothenate, riboflavin-5-phosphate) and nicotinamide and vitamin A and vitamin B1 (thiamine hydrochloride) and vitamin B2 (riboflavin-5-phosphate) and vitamin B6 (pyridoxine hydrochloride) and vitamin C and vitamin D and vitamin E (dl-alpha tocopheryl acetate)",FALSE,1,1,"active",1984-12-31,NA
"etoposide",FALSE,5,2,"active",1984-12-31,NA
"fusidate sodium",FALSE,1,1,"active",1984-12-31,NA
"heparin sodium",FALSE,16,2,"active",1984-12-31,NA
"histamine phosphate",FALSE,2,1,"active",1984-12-31,NA
"hydrochlorothiazide and methyldopa",FALSE,2,1,"active",1984-12-31,NA
"podophyllin",FALSE,1,1,"active",1984-12-31,NA
"potassium acetate",FALSE,2,1,"active",1984-12-31,NA
"potassium phosphate dibasic and potassium phosphate monobasic",FALSE,2,1,"active",1984-12-31,NA
"sodium chloride and sodium phosphate dibasic and sodium phosphate monobasic",FALSE,1,1,"active",1984-12-31,NA
"teniposide",FALSE,1,1,"active",1984-12-31,NA
"trolamine salicylate",FALSE,10,1,"active",1984-12-31,NA
"charcoal activated",FALSE,12,2,"active",1985-12-31,NA
"colestipol hydrochloride",FALSE,3,2,"active",1985-12-31,NA
"diazoxide",FALSE,1,1,"active",1985-12-31,NA
"docusate sodium",FALSE,45,5,"active",1985-12-31,NA
"leuprolide acetate",FALSE,10,3,"active",1985-12-31,NA
"levobunolol hydrochloride",FALSE,8,1,"active",1985-12-31,NA
"macrogol and potassium chloride and sodium bicarbonate and sodium chloride and sodium sulfate",FALSE,2,1,"active",1985-12-31,NA
"oxymetazoline hydrochloride",FALSE,18,1,"active",1985-12-31,NA
"phenylephrine and tropicamide",FALSE,2,1,"active",1985-12-31,NA
"pollen and non pollen",FALSE,1,1,"active",1985-12-31,NA
"procainamide hydrochloride",FALSE,5,3,"active",1985-12-31,NA
"sodium salicylate",FALSE,1,1,"active",1985-12-31,NA
"streptozocin",FALSE,1,1,"active",1985-12-31,NA
"acetaminophen and caffeine",FALSE,6,1,"active",1986-12-31,NA
"acetaminophen and chlorpheniramine maleate and pseudoephedrine hydrochloride",FALSE,7,2,"active",1986-12-31,NA
"acetaminophen and pseudoephedrine hydrochloride",FALSE,21,2,"active",1986-12-31,NA
"dextrose and dopamine hydrochloride",FALSE,6,1,"active",1986-12-31,NA
"docusate calcium",FALSE,8,1,"active",1986-12-31,NA
"lactulose",FALSE,7,3,"active",1986-12-31,NA
"methylene blue and naphazoline nitrate",FALSE,1,1,"active",1986-12-31,NA
"piroxicam",FALSE,4,1,"active",1986-12-31,NA
"polyethylene glycol 3350 and potassium chloride and sodium bicarbonate and sodium chloride and sodium sulfate",FALSE,1,1,"active",1986-12-31,NA
"sodium hypochlorite",FALSE,3,2,"active",1986-12-31,NA
"tryptophan",FALSE,15,2,"active",1986-12-31,NA
"vitamin E (dl-alpha tocopheryl acetate)",FALSE,1,1,"active",1986-12-31,NA
"albumin (human) and sodium chloride",FALSE,1,1,"active",1987-12-31,NA
"bacitracin and polymyxin b (polymyxin b sulfate)",FALSE,4,1,"active",1987-12-31,NA
"bismuth subsalicylate",FALSE,17,4,"active",1987-12-31,NA
"cilastatin (cilastatin sodium) and imipenem",FALSE,6,1,"active",1987-12-31,NA
"cyproterone",FALSE,5,2,"active",1987-12-31,NA
"doxylamine",FALSE,1,1,"active",1987-12-31,NA
"estrone",FALSE,1,1,"active",1987-12-31,NA
"flavoxate hydrochloride",FALSE,2,1,"active",1987-12-31,NA
"glutamic acid and glycine and histidine and l-alanine and l-arginine and l-aspartic acid and l-isoleucine and l-leucine and l-lysine (l-lysine acetate) and l-phenylalanine and l-proline and l-threonine and l-valine and methionine and n-acetyl-l-tyrosine and serine and tryptophan",FALSE,1,1,"active",1987-12-31,NA
"potassium phosphate monobasic",FALSE,1,1,"active",1987-12-31,NA
"sodium tetradecyl sulfate",FALSE,2,1,"active",1987-12-31,NA
"somatropin",FALSE,25,2,"active",1987-12-31,NA
"trifluridine",FALSE,2,1,"active",1987-12-31,NA
"trimipramine (trimipramine maleate)",FALSE,5,2,"active",1987-12-31,NA
"vitamin C",FALSE,2,1,"active",1987-12-31,NA
"loratadine",FALSE,10,4,"active",1988-12-18,NA
"acetic acid and calcium chloride and dextrose and magnesium chloride and potassium chloride and sodium chloride",FALSE,100,1,"active",1988-12-31,NA
"acetic acid and calcium chloride and dextrose and magnesium chloride and sodium chloride",FALSE,14,1,"active",1988-12-31,NA
"chlorpromazine hydrochloride",FALSE,1,1,"active",1988-12-31,NA
"nadolol",FALSE,5,1,"active",1988-12-31,NA
"neostigmine bromide",FALSE,1,1,"active",1988-12-31,NA
"nizatidine",FALSE,9,1,"active",1988-12-31,NA
"permethrin",FALSE,4,3,"active",1988-12-31,NA
"propafenone hydrochloride",FALSE,10,1,"active",1988-12-31,NA
"sulindac",FALSE,4,1,"active",1988-12-31,NA
"acetaminophen and phenylephrine",FALSE,7,3,"active",1989-12-31,NA
"acetic acid and dextrose and magnesium chloride and sodium chloride",FALSE,1,1,"active",1989-12-31,NA
"albumin",FALSE,2,1,"active",1989-12-31,NA
"aluminum hydroxide and dimethicone and magnesium hydroxide",FALSE,3,1,"active",1989-12-31,NA
"amiloride hydrochloride and hydrochlorothiazide",FALSE,3,1,"active",1989-12-31,NA
"calcium chloride and dextrose and magnesium chloride and sodium chloride and sodium lactate",FALSE,10,1,"active",1989-12-31,NA
"desmopressin acetate",FALSE,12,3,"active",1989-12-31,NA
"dextran 70 and hypromellose",FALSE,2,1,"active",1989-12-31,NA
"gentamicin (gentamicin sulfate)",FALSE,14,6,"active",1989-12-31,NA
"gramicidin and neomycin (neomycin sulfate) and polymyxin b (polymyxin b sulfate)",FALSE,1,2,"active",1989-12-31,NA
"insulin and insulin isophane human",FALSE,1,1,"active",1989-12-31,NA
"ketoprofen",FALSE,10,4,"active",1989-12-31,NA
"mineral oil and white petrolatum",FALSE,1,1,"active",1989-12-31,NA
"octreotide (octreotide acetate)",FALSE,18,2,"active",1989-12-31,NA
"potassium chloride and sodium chloride",FALSE,5,1,"active",1989-12-31,NA
"prochlorperazine",FALSE,2,1,"active",1989-12-31,NA
"prochlorperazine (prochlorperazine maleate)",FALSE,4,1,"active",1989-12-31,NA
"prochlorperazine (prochlorperazine mesylate)",FALSE,2,1,"active",1989-12-31,NA
"protamine sulfate",FALSE,3,1,"active",1989-12-31,NA
"tamoxifen (tamoxifen citrate)",FALSE,5,1,"active",1989-12-31,NA
"triazolam",FALSE,1,1,"active",1989-12-31,NA
"vancomycin (vancomycin hydrochloride)",FALSE,33,2,"active",1989-12-31,NA
"vitamin C (sodium ascorbate)",FALSE,1,1,"active",1989-12-31,NA
"ketoconazole",FALSE,4,3,"active",1990-12-30,NA
"alcohol anhydrous and dextrose",FALSE,2,1,"active",1990-12-31,NA
"bacillus calmette-guerin (bcg) substrain connaught",FALSE,1,1,"active",1990-12-31,NA
"betamethasone (base) and clotrimazole",FALSE,1,1,"active",1990-12-31,NA
"bethanechol chloride",FALSE,6,1,"active",1990-12-31,NA
"captopril",FALSE,17,1,"active",1990-12-31,NA
"cefixime",FALSE,3,2,"active",1990-12-31,NA
"cetrimonium bromide",FALSE,2,2,"active",1990-12-31,NA
"charcoal activated and dimethicone",FALSE,1,1,"active",1990-12-31,NA
"chloral hydrate",FALSE,3,2,"active",1990-12-31,NA
"clorazepate dipotassium",FALSE,3,1,"active",1990-12-31,NA
"dexamethasone (base) and tobramycin",FALSE,2,2,"active",1990-12-31,NA
"enalapril and hydrochlorothiazide",FALSE,5,1,"active",1990-12-31,NA
"fluconazole",FALSE,41,4,"active",1990-12-31,NA
"fluphenazine decanoate",FALSE,5,1,"active",1990-12-31,NA
"heparin (heparin sodium) and sodium chloride",FALSE,1,1,"active",1990-12-31,NA
"hydralazine hydrochloride",FALSE,4,2,"active",1990-12-31,NA
"ioversol",FALSE,7,1,"active",1990-12-31,NA
"ketotifen (ketotifen fumarate)",FALSE,4,3,"active",1990-12-31,NA
"lidocaine hydrochloride and polymyxin b sulfate",FALSE,1,1,"active",1990-12-31,NA
"magnesium sulfate and potassium chloride and potassium phosphate monobasic and sodium chloride and sodium phosphate dibasic",FALSE,1,1,"active",1990-12-31,NA
"menthol and pyrithione zinc",FALSE,1,1,"active",1990-12-31,NA
"neostigmine methylsulfate",FALSE,8,1,"active",1990-12-31,NA
"pyridostigmine bromide",FALSE,2,2,"active",1990-12-31,NA
"sodium citrate",FALSE,2,1,"active",1990-12-31,NA
"terbutaline sulfate",FALSE,1,1,"active",1990-12-31,NA
"zidovudine",FALSE,4,3,"active",1990-12-31,NA
"acetaminophen and chlorzoxazone",FALSE,1,1,"active",1991-12-31,NA
"acetaminophen and chlorzoxazone and codeine",FALSE,1,1,"active",1991-12-31,NA
"ammonium chloride and dextromethorphan hydrobromide and diphenhydramine hydrochloride",FALSE,2,1,"active",1991-12-31,NA
"arginine and glycine and histidine and isoleucine and l-alanine and leucine and l-lysine (l-lysine hydrochloride) and methionine and phenylalanine and proline and serine and threonine and tryptophan and tyrosine and valine",FALSE,1,1,"active",1991-12-31,NA
"benzalkonium and coal tar and salicylic acid",FALSE,1,1,"active",1991-12-31,NA
"benzocaine and triclosan",FALSE,1,1,"active",1991-12-31,NA
"ceftazidime",FALSE,3,1,"active",1991-12-31,NA
"citric acid and dextrose and sodium citrate",FALSE,1,1,"active",1991-12-31,NA
"dextromethorphan hydrobromide and guaifenesin",FALSE,23,3,"active",1991-12-31,NA
"dimethicone and petrolatum",FALSE,2,2,"active",1991-12-31,NA
"flurbiprofen",FALSE,4,1,"active",1991-12-31,NA
"fluvoxamine maleate",FALSE,16,1,"active",1991-12-31,NA
"gentamicin (gentamicin sulfate) and sodium chloride",FALSE,1,1,"active",1991-12-31,NA
"glycerine and potassium chloride and sodium lactate and sodium phosphate dibasic and sodium phosphate monobasic",FALSE,1,1,"active",1991-12-31,NA
"hepatitis b surface antigen (recombinant)",FALSE,4,2,"active",1991-12-31,NA
"hexylresorcinol",FALSE,5,1,"active",1991-12-31,NA
"hydroquinone",FALSE,7,2,"active",1991-12-31,NA
"isoproterenol hydrochloride",FALSE,1,1,"active",1991-12-31,NA
"lidocaine and prilocaine",FALSE,3,3,"active",1991-12-31,NA
"loratadine and pseudoephedrine sulfate",FALSE,2,2,"active",1991-12-31,NA
"norepinephrine (norepinephrine bitartrate)",FALSE,2,1,"active",1991-12-31,NA
"sodium carboxymethyl cellulose",FALSE,9,2,"active",1991-12-31,NA
"sodium phosphate dibasic and sodium phosphate monobasic",FALSE,1,1,"active",1991-12-31,NA
"trimebutine maleate",FALSE,3,1,"active",1991-12-31,NA
"yohimbine hydrochloride",FALSE,3,1,"active",1991-12-31,NA
"acetaminophen and chlorpheniramine maleate and dextromethorphan hydrobromide and pseudoephedrine hydrochloride",FALSE,15,5,"active",1992-12-31,NA
"acetaminophen and codeine and methocarbamol",FALSE,6,1,"active",1992-12-31,NA
"acetaminophen and dextromethorphan hydrobromide and doxylamine and pseudoephedrine hydrochloride",FALSE,10,3,"active",1992-12-31,NA
"acetylsalicylic acid and codeine and methocarbamol",FALSE,5,1,"active",1992-12-31,NA
"amantadine hydrochloride",FALSE,3,2,"active",1992-12-31,NA
"ampicillin (ampicillin sodium)",FALSE,8,1,"active",1992-12-31,NA
"apraclonidine (apraclonidine hydrochloride)",FALSE,2,1,"active",1992-12-31,NA
"benzalkonium and benzocaine",FALSE,1,1,"active",1992-12-31,NA
"calcipotriol",FALSE,1,1,"active",1992-12-31,NA
"chloramphenicol",FALSE,5,3,"active",1992-12-31,NA
"chloramphenicol and hydrocortisone",FALSE,2,4,"active",1992-12-31,NA
"chlorhexidine and isopropyl alcohol",FALSE,19,7,"active",1992-12-31,NA
"chloroxylenol and menthol",FALSE,3,2,"active",1992-12-31,NA
"chlorpheniramine maleate and dextromethorphan hydrobromide and pseudoephedrine hydrochloride",FALSE,1,1,"active",1992-12-31,NA
"clodronate disodium (clodronate disodium tetrahydrate)",FALSE,2,2,"active",1992-12-31,NA
"cocaine hydrochloride",FALSE,4,1,"active",1992-12-31,NA
"deferoxamine mesylate",FALSE,5,1,"active",1992-12-31,NA
"dextromethorphan hydrobromide and guaifenesin and pseudoephedrine hydrochloride",FALSE,14,1,"active",1992-12-31,NA
"dextromethorphan hydrobromide and pseudoephedrine hydrochloride",FALSE,9,2,"active",1992-12-31,NA
"dolichovespula arenaria venom protein extract",FALSE,2,1,"active",1992-12-31,NA
"enalaprilat",FALSE,2,1,"active",1992-12-31,NA
"filgrastim (r-methug-csf)",FALSE,5,1,"active",1992-12-31,NA
"gadopentetate dimeglumine",FALSE,1,1,"active",1992-12-31,NA
"haemophilus influenzae type b-prp and tetanus protein",FALSE,1,2,"active",1992-12-31,NA
"hydroquinone and oxybenzone",FALSE,4,1,"active",1992-12-31,NA
"insulin injection human biosynthetic",FALSE,3,1,"active",1992-12-31,NA
"insulin injection human biosynthetic and insulin isophane human",FALSE,5,1,"active",1992-12-31,NA
"lanolin and mineral oil",FALSE,1,1,"active",1992-12-31,NA
"manganese (manganese sulfate)",FALSE,2,1,"active",1992-12-31,NA
"moclobemide",FALSE,10,1,"active",1992-12-31,NA
"mupirocin",FALSE,2,1,"active",1992-12-31,NA
"onabotulinumtoxina",FALSE,2,1,"active",1992-12-31,NA
"penicillin g sodium",FALSE,3,1,"active",1992-12-31,NA
"pheniramine maleate and phenylephrine",FALSE,1,1,"active",1992-12-31,NA
"podophyllotoxin",FALSE,1,1,"active",1992-12-31,NA
"polistes spp venom protein extract",FALSE,3,1,"active",1992-12-31,NA
"pramoxine hydrochloride and zinc sulfate",FALSE,5,3,"active",1992-12-31,NA
"tranylcypromine (tranylcypromine sulfate)",FALSE,1,1,"active",1992-12-31,NA
"vespula spp venom protein extract",FALSE,3,1,"active",1992-12-31,NA
"white faced hornet venom protein and yellow hornet venom protein and yellow jacket venom protein",FALSE,5,1,"active",1992-12-31,NA
"zinc (zinc sulfate)",FALSE,2,1,"active",1992-12-31,NA
"typhoid vaccine (salmonella typhi ty21a)",FALSE,1,1,"active",1993-01-01,NA
