drug_code	unit_of_presentation	uop_size	uop_unit_of_measure	calculation			
19762	unit dose vial	2.5	mL	Y		02208237	PMS-SALBUTAMOL PHARMASCIENCE INC
51054	unit dose vial	2.5	mL	Y		02231678	APO-SALVENT STERULES APOTEX INC
60226	unit dose vial	2.5	mL	Y		02236933	PHL-SALBUTAMOL RESPIRATOR SOLUTION 2 mg per mL inhalation solution] PHARMEL INC
62835	unit dose vial	2.5	mL	Y		02239366	RATIO-SALBUTAMOL TEVA CANADA LIMITED
43101	unit dose vial	2.5	mL	Y		02213427	VENTOLIN NEBULES P.F. - 5MG/2.5ML GLAXOSMITHKLINE INC
10391	bottle	10	mL	N		00860808	RATIO-SALBUTAMOL TEVA CANADA LIMITED
16521	bottle	10	mL	N		02046741	APO-SALVENT 5MG/ML APOTEX INC
16452	bottle	10	mL	N		02069571	PMS-SALBUTAMOL PHARMASCIENCE INC
43108	bottle	10	mL	N		02213486	VENTOLIN RESPIRATOR SOLUTION GLAXOSMITHKLINE INC
68321	cartridge	3	mL	N		02244353	NOVORAPID NOVO NORDISK CANADA INC
69441	vial	10	mL	N		02245397	NOVORAPID NOVO NORDISK CANADA INC
86282	cartridge	3	mL	N		02377209	NOVORAPID NOVO NORDISK CANADA INC
94775	vial	10	mL	N		02460408	FIASP NOVO NORDISK CANADA INC
94776	cartridge	3	mL	N		02460416	FIASP NOVO NORDISK CANADA INC
94777	pen	3	mL	N		02460424	FIASP NOVO NORDISK CANADA INC
75736	cartridge	3	mL	N		02271842	LEVEMIR PENFILL NOVO NORDISK CANADA INC
89748	pen	3	mL	N		02412829	LEVEMIR FLEXTOUCH NOVO NORDISK CANADA INC
92621	pen	1.5	mL	N		02441829	TOUJEO SOLOSTAR SANOFI-AVENTIS CANADA INC
12570	cartridge	3	mL	N		01959239	HUMULIN N (CARTRIDGE) ELI LILLY CANADA INC
14261	vial	10	mL	N		02024225	NOVOLIN GE NPH NOVO NORDISK CANADA INC
14266	cartridge	3	mL	N		02024268	NOVOLIN GE NPH PENFILL NOVO NORDISK CANADA INC
88825	pen	3	mL	N		02403447	HUMULIN N (KWIKPEN) ELI LILLY CANADA INC
47871	vial	10	mL	N		02229704	HUMALOG ELI LILLY CANADA INC
47872	cartridge	3	mL	N		02229705	HUMALOG  (CARTRIDGE) ELI LILLY CANADA INC
88822	pen	3	mL	N		02403412	HUMALOG  (KWIKPEN) ELI LILLY CANADA INC
92402	pen	3	mL	N		02439611	HUMALOG 200 UNITS/ML KWIKPEN [insulin lispro 200 unit per mL solution for injection] ELI LILLY CANADA INC
5326	vial	10	mL	N		00587737	HUMULIN N ELI LILLY CANADA INC
61553	tube	0.5	mL	Y		02238162	DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC
61553	tube	1	mL	Y		02238162	DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC
61553	tube	1.5	mL	Y		02238162	DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC
61553	tube	3	mL	Y		02238162	DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC
61553	tube	4	mL	Y		02238162	DIASTAT VALEANT PHARMACEUTICALS NORTH AMERICA LLC
69385	sachet	2.5	g	N		02245346	ANDROGEL BGP PHARMA ULC
69385	sachet	5	g	N		02245346	ANDROGEL BGP PHARMA ULC
11011	vial	10	mL	Y		00783900	PMS-DEXAMETHASONE SOD PHOSPHATE INJ 10MG/ML PHARMASCIENCE INC
74553	vial	10	mL	Y		02260301	PHL-DEXAMETHASONE PHARMEL INC
9613	vial	5	mL	Y		00751863	PMS-DEXAMETHASONE SOD PHOSPHATE INJ 4MG/ML PHARMASCIENCE INC
10312	vial	10	mL	Y		00816086	FOLIC ACID INJECTION USP SANDOZ CANADA INCORPORATED
8118	vial	1	mL	Y		00742813	HYDROXYZINE HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED
50516	vial	10	mL	Y		02231209	"HYDROXYZINE HYDROCHLORIDE INJECTION, USP STERIMAX INC"
16848	vial	10	mL	Y		00860778	NITROGLYCERIN INJECTION USP SANDOZ CANADA INCORPORATED
93234	vial	10	mL	Y		02446820	ACT PROGESTERONE INJECTION ACTAVIS PHARMA COMPANY
43431	ampoule	1	mL	Y		02225883	PROPRANOLOL HYDROCHLORIDE INJECTION USP SANDOZ CANADA INCORPORATED
70198	vial	10	mL	Y		02246063	TESTOSTERONE CYPIONATE INJECTION USP SANDOZ CANADA INCORPORATED
11224	vial	10	mL	Y		00739944	PMS-TESTOSTERONE ENANTHATE INJ 200MG/ML USP PHARMASCIENCE INC
13414	vial	10	mL	Y		01977571	"TESTOSTERONE PROPIONATE INJECTION, USP STERIMAX INC"
47450	vial	5	mL	Y		02229540	TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED
13998	vial	5	mL	Y		01977563	TRIAMCINOLONE ACETONIDE SUSPENSION STERIMAX INC
47461	vial	5	mL	Y		02229550	TRIAMCINOLONE ACETONIDE INJECTABLE SUSPENSION USP SANDOZ CANADA INCORPORATED
35794	vial	1	mL	Y		02194155	ARISTOSPAN VALEO PHARMA INC
44212	ampoule	1	mL	Y		02176009	PROGRAF ASTELLAS PHARMA CANADA INC
82711	vial	12.5	mL	Y		02341611	REVATIO PFIZER CANADA INC
4703	ampoule	5	mL	Y		00550086	SEPTRA INJECTION ASPEN PHARMACARE CANADA INC.
36481	vial	1	mL	Y		02204274	DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD
36481	vial	10	mL	Y		02204274	DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD
6593	vial	5	mL	Y		00664227	DEXAMETHASONE SODIUM PHOSPHATE INJ USP 4MG/ML SANDOZ CANADA INCORPORATED
13255	vial	5	mL	Y		01977547	"DEXAMETHASONE SODIUM PHOSPHATE INJECTION, USP STERIMAX INC"
36480	vial	1	mL	Y		02204266	DEXAMETHASONE-OMEGA OMEGA LABORATORIES LTD
10312	vial	10	mL	Y		00816086	FOLIC ACID INJECTION USP SANDOZ CANADA INCORPORATED
18325	vial	1	mL	Y		02145936	HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED
18325	vial	5	mL	Y		02145936	HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED
18325	vial	50	mL	Y		02145936	HYDROMORPHONE HP 20 SANDOZ CANADA INCORPORATED
86244	vial	4	mL	Y		02376857	CALDOLOR ALVEDA PHARMACEUTICALS INC
86244	vial	8	mL	Y		02376857	CALDOLOR ALVEDA PHARMACEUTICALS INC
6872	vial	30	mL	N		00640409	MEPERIDINE HYDROCHLORIDE INJECTION USP HOSPIRA HEALTHCARE CORPORATION
65676	vial	20	mL	N		02242006	DEMEROL 100 MG/ML HOSPIRA HEALTHCARE CORPORATION
31288	vial	50	mL	N		02137267	MORPHINE SULPHATE INJECTION 50MG/ML HOSPIRA HEALTHCARE CORPORATION
49612	vial	60	mL	N		02230540	CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED
49612	vial	120	mL	N		02230540	CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED
49605	vial	2	mL	Y		02230535	CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED
49605	vial	4	mL	Y		02230535	CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED
49605	vial	6	mL	Y		02230535	CLINDAMYCIN INJECTION USP SANDOZ CANADA INCORPORATED
13077	vial	5	mL	Y		01980696	MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED
13077	vial	10	mL	Y		01980696	MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED
13077	vial	50	mL	N		01980696	MORPHINE SULFATE INJ 1MG/ML USP SANDOZ CANADA INCORPORATED
31285	vial	5	mL	Y		02137232	MORPHINE SULPHATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION
31285	vial	50	mL	N		02137232	MORPHINE SULPHATE INJECTION 1MG/ML HOSPIRA HEALTHCARE CORPORATION
3043	ampoule	1	ml	Y		00392588	MORPHINE SULFATE INJ 10MG/ML USP SANDOZ CANADA INCORPORATED
13078	vial	1	ml	Y		01964437	MORPHINE SULFATE INJ 2MG/ML USP SANDOZ CANADA INCORPORATED
13078	vial	50	mL	N		01964437	MORPHINE SULFATE INJ 2MG/ML USP SANDOZ CANADA INCORPORATED
31286	vial	50	mL	N		02137240	MORPHINE SULPHATE INJECTION 2MG/ML HOSPIRA HEALTHCARE CORPORATION
66221	vial	1	ml	Y		02242484	MORPHINE SULFATE INJECTION USP SANDOZ CANADA INCORPORATED
6690	ampoule	1	ml	Y		00676411	MORPHINE HP 25 - 25MG/ML SANDOZ CANADA INCORPORATED
6690	ampoule	4	ml	Y		00676411	MORPHINE HP 25 - 25MG/ML SANDOZ CANADA INCORPORATED
13079	vial	30	mL	N		01964429	MORPHINE SULFATE INJ 5MG/ML USP SANDOZ CANADA INCORPORATED
7421	vial	1	ml	Y		00617288	MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED
7421	vial	5	mL	Y		00617288	MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED
7421	vial	10	mL	Y		00617288	MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED
7421	vial	50	mL	N		00617288	MORPHINE HP 50 - 50MG/ML USP SANDOZ CANADA INCORPORATED
