"","basis_of_strength_ing","n_codes","ai_codes","top250"
"448","ALANINE",1,"2963",NA
"449","SALBUTAMOL",1,"2585","SALBUTAMOL"
"450","ALDESLEUKIN",1,"278",NA
"451","ALECTINIB",1,"22813",NA
"452","ALEMTUZUMAB",1,"12491",NA
"453","ALFACALCIDOL",1,"4892",NA
"454","ALFENTANIL",1,"11173",NA
"455","ALFUZOSIN HYDROCHLORIDE",1,"12699",NA
"456","ALGLUCOSIDASE ALFA",1,"19883",NA
"457","ALIROCUMAB",1,"22706",NA
"458","ALITRETINOIN",1,"11885",NA
"459","ALLANTOIN",1,"7150",NA
"460","ALLOPURINOL",1,"9388","ALLOPURINOL"
"461","ALMOTRIPTAN",1,"13247",NA
"462","ALOE",1,"684",NA
"463","ALOGLIPTIN",1,"22181",NA
"464","ALPRAZOLAM",1,"2072","ALPRAZOLAM"
"465","ALPROSTADIL",1,"7335",NA
"466","ALTEPLASE",1,"7297",NA
"467","ALUMINUM CHLORIDE",1,"5821",NA
"468","ALUMINUM CHLOROHYDRATE",1,"6984",NA
"469","AMANTADINE HYDROCHLORIDE",1,"9905",NA
"470","AMBRISENTAN",1,"13310",NA
"471","AMCINONIDE",1,"7508",NA
"472","AMIKACIN",1,"11178",NA
"473","AMILORIDE HYDROCHLORIDE",1,"20230",NA
"474","AMINOLEVULINIC ACID HYDROCHLORIDE",1,"12216",NA
"475","AMIODARONE HYDROCHLORIDE",1,"1400",NA
"476","AMITRIPTYLINE HYDROCHLORIDE",1,"10187",NA
"477","AMLODIPINE",1,"11344","AMLODIPINE"
"478","AMMONIUM CHLORIDE",1,"318",NA
"479","AMPHETAMINE ASPARTATE MONOHYDRATE",1,"8300",NA
"480","AMPHETAMINE SULFATE",1,"8309",NA
"481","AMPHOTERICIN B",1,"8493",NA
"482","AMPICILLIN",1,"8450",NA
"483","FOSAMPRENAVIR",1,"13372",NA
"484","AMSACRINE",1,"1930",NA
"485","AMYLMETACRESOL",1,"7095",NA
"486","ANAGRELIDE",1,"11707",NA
"487","ANAKINRA",1,"12604",NA
"488","ANASTROZOLE",1,"27",NA
"489","CITRIC ACID MONOHYDRATE",1,"17610",NA
"490","POTASSIUM CITRATE",1,"7132",NA
"491","SODIUM CITRATE",1,"10290",NA
"492","ANIDULAFUNGIN",1,"20177",NA
"493","ANTAZOLINE PHOSPHATE",1,"6614",NA
"494","ANTI-INHIBITOR COAGULANT COMPLEX",1,"96",NA
"495","ANTIPYRINE",1,"8859",NA
"496","APIXABAN",1,"21078",NA
"497","APRACLONIDINE",1,"11372",NA
"498","APREMILAST",1,"22541",NA
"499","APREPITANT",1,"20156",NA
"500","FOSAPREPITANT",1,"20449",NA
"501","ARGATROBAN",1,"12184",NA
"502","ARGININE",1,"10242",NA
"503","ARGININE HYDROCHLORIDE",1,"13800",NA
"504","ARIPIPRAZOLE",1,"20435","ARIPIPRAZOLE"
"505","ARSENIC TRIOXIDE",1,"3812",NA
"506","ARTICAINE HYDROCHLORIDE",1,"308",NA
"507","SODIUM ASCORBATE",1,"4937",NA
"508","ASENAPINE",1,"21015",NA
"509","ASFOTASE ALFA",1,"22632",NA
"510","ASPARAGINASE",1,"2433",NA
"511","ATAZANAVIR",1,"13026",NA
"512","ATENOLOL",1,"2041","ATENOLOL"
"513","ATEZOLIZUMAB",1,"22863",NA
"514","ATOMOXETINE",1,"13584","ATOMOXETINE"
"515","ATOVAQUONE",1,"8317",NA
"516","ATRACURIUM BESYLATE",1,"1844",NA
"517","ATROPINE SULFATE",1,"8970",NA
"518","AURANOFIN",1,"1898",NA
"519","AVOBENZONE",1,"755",NA
"520","AXITINIB",1,"21398",NA
"521","AZACITIDINE",1,"20554",NA
"522","AZATHIOPRINE",1,"10128","AZATHIOPRINE"
"523","AZELAIC ACID",1,"277",NA
"524","AZELASTINE HYDROCHLORIDE",1,"22525",NA
"525","AZTREONAM",1,"8325",NA
"526","BACITRACIN",1,"8502",NA
"527","BACITRACIN ZINC",1,"8500",NA
"528","BACLOFEN",1,"2104","BACLOFEN"
"529","BASILIXIMAB",1,"12027",NA
"530","BAZEDOXIFENE",1,"22524",NA
"531","BECLOMETHASONE DIPROPIONATE",1,"7567","BECLOMETHASONE"
"532","BELIMUMAB",1,"20836",NA
"533","BEMOTRIZINOL",1,"20447",NA
"534","BENAZEPRIL HYDROCHLORIDE",1,"1215",NA
"535","BENDAMUSTINE HYDROCHLORIDE",1,"13270",NA
"536","BENOXINATE HYDROCHLORIDE",1,"6189",NA
"537","BENSERAZIDE",1,"11318",NA
"538","BENZALKONIUM CHLORIDE",1,"197",NA
"539","BENZETHONIUM CHLORIDE",1,"783",NA
"540","BENZOCAINE",1,"8903","BENZTROPINE"
"541","BENZOIN",1,"6950","BENZTROPINE"
"542","BENZOYL PEROXIDE",1,"6850",NA
"543","BENZTROPINE MESYLATE",1,"5922","BENZTROPINE"
"544","BENZYDAMINE HYDROCHLORIDE",1,"2047",NA
"545","BEPOTASTINE BESILATE",1,"22757",NA
"546","BESIFLOXACIN",1,"20556",NA
"547","BETAHISTINE HYDROCHLORIDE",1,"9483",NA
"548","BETAINE",1,"6871","BETAHISTINE"
"549","BETAMETHASONE ACETATE",1,"7606","BETAMETHASONE"
"550","BETAMETHASONE DIPROPIONATE",1,"7603",NA
"551","BETAMETHASONE VALERATE",1,"13244","BETAMETHASONE"
"552","BETAXOLOL",1,"11219",NA
"553","BETHANECHOL CHLORIDE",1,"5440",NA
"554","BEVACIZUMAB",1,"16200",NA
"555","BEZAFIBRATE",1,"949",NA
"556","BICALUTAMIDE",1,"141",NA
"557","SODIUM BICARBONATE",1,"9197",NA
"558","BILASTINE",1,"22707",NA
"559","BIMATOPROST",1,"12108","BIMATOPROST"
"560","BIOTIN",1,"4962",NA
"561","BISACODYL",1,"10193",NA
"562","BISMUTH SUBGALLATE",1,"7149",NA
"563","BISMUTH SUBSALICYLATE",1,"6404",NA
"564","BISOCTRIZOLE",1,"20446",NA
"565","BISOPROLOL FUMARATE",1,"1218","BISOPROLOL"
"566","SODIUM BISULFITE",1,"1073",NA
"567","BIVALIRUDIN",1,"12945",NA
"568","BLEOMYCIN",1,"11448",NA
"569","BLINATUMOMAB",1,"22674",NA
"570","BOSUTINIB",1,"22234",NA
"571","BRENTUXIMAB VEDOTIN",1,"21796",NA
"572","BRETYLIUM TOSYLATE",1,"5917",NA
"573","BREXPIPRAZOLE",1,"22853",NA
"574","BRIMONIDINE TARTRATE",1,"11710",NA
"575","BRIMONIDINE",1,"22245",NA
"576","BRINZOLAMIDE",1,"11799",NA
"577","BRIVARACETAM",1,"22702",NA
"578","BROMAZEPAM",1,"2007","BROMAZEPAM"
"579","BROMOCRIPTINE",1,"11220",NA
"580","PAMABROM",1,"9437",NA
"581","BROMPHENIRAMINE MALEATE",1,"10205",NA
"582","BRONOPOL",1,"3975",NA
"583","BUDESONIDE",1,"7581","BUDESONIDE"
"584","BUMETANIDE",1,"1374",NA
"585","BUPIVACAINE HYDROCHLORIDE",1,"2493",NA
"586","BUPRENORPHINE",1,"12033",NA
"587","BUPROPION HYDROCHLORIDE",1,"11772",NA
"588","BUSERELIN",1,"11250",NA
"589","BUSPIRONE HYDROCHLORIDE",1,"1890",NA
"590","BUSULFAN",1,"9556",NA
"591","BUTALBITAL",1,"8231",NA
"592","BUTAMBEN",1,"5954",NA
"593","BUTORPHANOL TARTRATE",1,"2142",NA
"594","CABAZITAXEL",1,"20792",NA
"595","CABERGOLINE",1,"12006",NA
"596","CAFFEINE",1,"9358",NA
"597","CAFFEINE CITRATE",1,"9357",NA
"598","CALCITRIOL",1,"4893","CALCITRIOL"
"599","CALCIUM ACETATE",1,"4810",NA
"600","CALCIUM CARBONATE",1,"671",NA
"601","CALCIUM",1,"4803",NA
"602","CALCIUM CHLORIDE",1,"51",NA
"603","CALCIUM GLUCONATE",1,"4808",NA
"604","CALCIUM GLYCEROPHOSPHATE",1,"4775",NA
"605","BERACTANT",1,"738",NA
"606","CANAGLIFLOZIN",1,"22295",NA
"607","CANAKINUMAB",1,"20575",NA
"608","CANDESARTAN CILEXETIL",1,"11814","CANDESARTAN CILEXETIL"
"609","CANTHARIDIN",1,"4322",NA
"610","CAPECITABINE",1,"11787",NA
"611","CAPSAICIN",1,"3610",NA
"612","CAPTOPRIL",1,"1983",NA
"613","CARBAMAZEPINE",1,"4182","CARBAMAZEPINE"
"614","CARBACHOL",1,"9622",NA
"615","CARBETOCIN",1,"11460",NA
"616","CARBON DIOXIDE",1,"2335",NA
"617","CARBON MONOXIDE",1,"1938",NA
"618","CARBOPLATIN",1,"1755",NA
"619","CARBOPROST",1,"11320",NA
"620","CARFILZOMIB",1,"22678",NA
"621","CARGLUMIC ACID",1,"22593",NA
"622","CARMUSTINE",1,"2418",NA
"623","CARVEDILOL",1,"1188","CARVEDILOL"
"624","CASPOFUNGIN",1,"12330",NA
"625","CEFACLOR",1,"2098",NA
"626","CEFAZOLIN",1,"11180",NA
"627","CEFEPIME",1,"11359",NA
"628","CEFIXIME",1,"1236",NA
"629","CEFOTAXIME SODIUM",1,"8349",NA
"630","CEFOTAXIME",1,"11268",NA
"631","CEFOXITIN",1,"11254",NA
"632","CEFTOLOZANE",1,"22645",NA
"633","CEFTRIAXONE",1,"11309",NA
"634","CEFUROXIME",1,"11118",NA
"635","CELECOXIB",1,"11865","CELECOXIB"
"636","CERITINIB",1,"22568",NA
"637","CERTOLIZUMAB PEGOL",1,"20513",NA
"638","CETIRIZINE HYDROCHLORIDE",1,"7942",NA
"639","CETRIMONIUM BROMIDE",1,"7145",NA
"640","CETRORELIX",1,"13224",NA
"641","CETUXIMAB",1,"13175",NA
"642","CETYLPYRIDINIUM CHLORIDE",1,"7152",NA
"643","CHLORAL HYDRATE",1,"10068",NA
"644","CHLORAMBUCIL",1,"10153",NA
"645","CHLORAMPHENICOL",1,"16112",NA
"646","CHLORDIAZEPOXIDE HYDROCHLORIDE",1,"10260",NA
"647","CHLORHEXIDINE ACETATE",1,"5280","CHLORHEXIDINE"
"648","CHLORHEXIDINE GLUCONATE",1,"626","CHLORHEXIDINE"
"649","MAGNESIUM CHLORIDE",1,"49",NA
"650","POTASSIUM CHLORIDE",1,"53",NA
"651","SODIUM CHLORIDE",1,"55",NA
"652","CHLOROBUTANOL",1,"6995",NA
"653","CHLOROXYLENOL",1,"774",NA
"654","CHLORPHENIRAMINE MALEATE",1,"10259",NA
"655","CHLORPROMAZINE",1,"8017",NA
"656","CHLORPROMAZINE HYDROCHLORIDE",1,"20237",NA
"657","CHLORPROPAMIDE",1,"9406",NA
"658","CHLORTHALIDONE",1,"10135",NA
"659","DIMENHYDRINATE",1,"9782",NA
"660","CHLORZOXAZONE",1,"5883",NA
"661","CHOLINE",1,"4955",NA
"662","CHOLINE BITARTRATE",1,"4956",NA
"663","CHROMIC CHLORIDE",1,"2021",NA
"664","CICLESONIDE",1,"19961","CICLESONIDE"
"665","CICLOPIROX",1,"12378","CICLOPIROX"
"666","CICLOPIROX OLAMINE",1,"1913","CICLOPIROX"
"667","CILASTATIN",1,"11321",NA
"668","CIMETIDINE",1,"2165",NA
"669","CINACALCET",1,"13352",NA
"670","CISATRACURIUM",1,"11084",NA
"671","CISPLATIN",1,"13121",NA
"672","CITALOPRAM",1,"11847","CITALOPRAM"
"673","CLADRIBINE",1,"1739",NA
"674","CLARITHROMYCIN",1,"8318","CLARITHROMYCIN"
"675","CLIDINIUM BROMIDE",1,"6301",NA
"676","CLINDAMYCIN HYDROCHLORIDE",1,"8549",NA
"677","CLINDAMYCIN PHOSPHATE",1,"12037","CLINDAMYCIN"
"678","CLIOQUINOL",1,"9081",NA
"679","CLOBAZAM",1,"1995","CLOBAZAM"
"680","CLOBETASOL PROPIONATE",1,"7558",NA
"681","CLOBETASONE BUTYRATE",1,"7557",NA
"682","CLOFARABINE",1,"20504",NA
"683","CLOMIPHENE CITRATE",1,"9785",NA
"684","CLOMIPRAMINE HYDROCHLORIDE",1,"2442",NA
"685","CLONAZEPAM",1,"2192","CLONAZEPAM"
"686","CLONIDINE HYDROCHLORIDE",1,"2564",NA
"687","CLOPIDOGREL",1,"11795","CLOPIDOGREL"
"688","CLORAZEPATE DIPOTASSIUM",1,"2495",NA
"689","CLOTRIMAZOLE",1,"2375",NA
"690","CLOXACILLIN SODIUM",1,"8411",NA
"691","CLOXACILLIN",1,"8375",NA
"692","CLOZAPINE",1,"1196","CLOZAPINE"
"693","COAL TAR",1,"6849",NA
"694","COBICISTAT",1,"21508",NA
"695","COBIMETINIB",1,"22695",NA
"696","COCAINE HYDROCHLORIDE",1,"20241",NA
"697","COCOA BUTTER",1,"854",NA
"698","CODEINE PHOSPHATE",1,"9131",NA
"699","COLCHICINE",1,"6760","COLCHICINE"
"700","COLESEVELAM HYDROCHLORIDE",1,"20982",NA
"701","COLESTIPOL HYDROCHLORIDE",1,"2118",NA
"702","COLISTIN",1,"8513",NA
"703","COLLAGENASE CLOSTRIDIUM HISTOLYTICUM",1,"21378",NA
"704","CORTISONE ACETATE",1,"7530",NA
"705","CRIZOTINIB",1,"21291",NA
"706","CROMOLYN SODIUM",1,"11447",NA
"707","CROTAMITON",1,"9260",NA
"708","CUPRIC CHLORIDE",1,"5097",NA
"709","CYCLOBENZAPRINE HYDROCHLORIDE",1,"2143","CYCLOBENZAPRINE"
"710","CYCLOPENTOLATE HYDROCHLORIDE",1,"4179",NA
"711","CYCLOPHOSPHAMIDE",1,"5927",NA
"712","CYCLOSPORINE",1,"1915",NA
"713","CYPROHEPTADINE HYDROCHLORIDE",1,"10029",NA
"714","CYPROTERONE ACETATE",1,"7572",NA
"715","CYTARABINE",1,"2953",NA
"716","DABIGATRAN ETEXILATE",1,"20301","DABIGATRAN ETEXILATE"
"717","DABRAFENIB",1,"22126",NA
"718","DACARBAZINE",1,"2264",NA
"719","DACLATASVIR",1,"22633",NA
"720","DACTINOMYCIN",1,"8486",NA
"721","DALTEPARIN SODIUM",1,"269",NA
"722","DANAPAROID SODIUM",1,"285",NA
"723","DANAZOL",1,"2282",NA
"724","DANTROLENE SODIUM",1,"2402",NA
"725","DAPSONE",1,"8120",NA
"726","DAPTOMYCIN",1,"20161",NA
"727","DARATUMUMAB",1,"22729",NA
"728","DARBEPOETIN ALFA",1,"12550",NA
"729","DARIFENACIN",1,"17051",NA
"730","DARUNAVIR",1,"19793",NA
"731","DASABUVIR",1,"22555",NA
"732","DAUNORUBICIN",1,"68",NA
"733","DEFERASIROX",1,"20022",NA
"734","DEFERIPRONE",1,"22561",NA
"735","DEFEROXAMINE MESYLATE",1,"2446",NA
"736","DEGARELIX",1,"20557",NA
"737","DEHYDROCHOLIC ACID",1,"7287",NA
"738","DELAVIRDINE MESYLATE",1,"11786",NA
"739","DENOSUMAB",1,"20570",NA
"740","DEOXYCHOLIC ACID",1,"6906",NA
"741","DEQUALINIUM CHLORIDE",1,"5913",NA
"742","DERMATOPHAGOIDES FARINAE",1,"7660",NA
"743","DERMATOPHAGOIDES PTERONYSSINUS",1,"7661",NA
"744","DESFLURANE",1,"8",NA
"745","DESIPRAMINE HYDROCHLORIDE",1,"10024",NA
"746","DESIPRAMINE",1,"11181",NA
"747","DESLORATADINE",1,"12210",NA
"748","DESMOPRESSIN",1,"19910",NA
"749","DESOGESTREL",1,"660",NA
"750","DESONIDE",1,"7512","BUDESONIDE"
"751","DESOXIMETASONE",1,"7592",NA
"752","DESVENLAFAXINE",1,"20430","DESVENLAFAXINE"
"753","DEXAMETHASONE PHOSPHATE",1,"12030","DEXAMETHASONE"
"754","DEXAMETHASONE SODIUM PHOSPHATE",1,"7598",NA
"755","DEXBROMPHENIRAMINE MALEATE",1,"9733",NA
"756","DEXLANSOPRAZOLE",1,"20625","DEXLANSOPRAZOLE"
"757","DEXMEDETOMIDINE",1,"20565",NA
"758","DEXPANTHENOL",1,"4993",NA
"759","DEXRAZOXANE",1,"215",NA
"760","DEXTRAN 40",1,"3054",NA
"761","DEXTRAN 70",1,"710",NA
"762","DEXTROAMPHETAMINE SACCHARATE",1,"8295","DEXTROAMPHETAMINE"
"763","DEXTROAMPHETAMINE SULFATE",1,"8298","DEXTROAMPHETAMINE"
"764","DIATRIZOATE MEGLUMINE",1,"10131",NA
"765","DIATRIZOATE SODIUM",1,"10133",NA
"766","DIAZEPAM",1,"9418","DIAZEPAM"
"767","DIAZOXIDE",1,"9557",NA
"768","DIBUCAINE",1,"9206",NA
"769","DIBUCAINE HYDROCHLORIDE",1,"7053",NA
"770","DICHLOROBENZYL ALCOHOL",1,"7097",NA
"771","DICLOFENAC DIETHYLAMINE",1,"20061",NA
"772","DICLOFENAC POTASSIUM",1,"1205",NA
"773","DICLOFENAC SODIUM",1,"2013","DICLOFENAC"
"774","DICYCLOMINE HYDROCHLORIDE",1,"6425",NA
"775","DIDANOSINE",1,"916",NA
"776","DIENOGEST",1,"21018",NA
"777","DIFLUNISAL",1,"2113",NA
"778","DIFLUPREDNATE",1,"22159",NA
"779","DIGOXIN",1,"6731","DIGOXIN"
"780","DIHYDROERGOTAMINE MESYLATE",1,"3359",NA
"781","DILTIAZEM HYDROCHLORIDE",1,"1926",NA
"782","DIMERCAPROL",1,"5643",NA
"783","DIMETHICONE",1,"433",NA
"784","DIMETHYL SULFOXIDE",1,"9745",NA
"785","DINOPROST",1,"11487",NA
"786","DINOPROSTONE",1,"2161",NA
"787","DIPHENHYDRAMINE CITRATE",1,"1240",NA
"788","DIPHENHYDRAMINE HYDROCHLORIDE",1,"182",NA
"789","DIPHENOXYLATE HYDROCHLORIDE",1,"20254",NA
"790","DIPHENYLPYRALINE HYDROCHLORIDE",1,"9613",NA
"791","DIPIVEFRIN HYDROCHLORIDE",1,"1239",NA
"792","DIPYRIDAMOLE",1,"7219",NA
"793","DISOPYRAMIDE",1,"2191",NA
"794","DOBUTAMINE",1,"11085",NA
"795","DOCETAXEL",1,"157",NA
"796","DOCOSANOL",1,"12720",NA
"797","DOCUSATE CALCIUM",1,"9150",NA
"798","DOCUSATE SODIUM",1,"9152",NA
"799","DOLUTEGRAVIR",1,"21556",NA
"800","DOMIPHEN BROMIDE",1,"5904",NA
"801","DOMPERIDONE",1,"1840","DOMPERIDONE"
"802","DOPAMINE HYDROCHLORIDE",1,"2322",NA
"803","DORNASE ALFA",1,"650",NA
"804","DORZOLAMIDE",1,"11213",NA
"805","DOXAZOSIN",1,"11258","DOXAZOSIN"
"806","DOXEPIN",1,"11107",NA
"807","DOXORUBICIN HYDROCHLORIDE",1,"2298",NA
"808","DOXYLAMINE SUCCINATE",1,"10224",NA
"809","DRONEDARONE",1,"20511",NA
"810","DROPERIDOL",1,"10123",NA
"811","DROSPIRENONE",1,"13375",NA
"812","DULAGLUTIDE",1,"22660",NA
"813","DULOXETINE",1,"20171","DULOXETINE"
"814","DUTASTERIDE",1,"12580","DUTASTERIDE"
"815","DYCLONINE HYDROCHLORIDE",1,"5669",NA
"816","ECULIZUMAB",1,"20432",NA
"817","EDOXABAN",1,"22816",NA
"818","EFAVIRENZ",1,"11857",NA
"819","EFINACONAZOLE",1,"22151",NA
"820","EFLORNITHINE HYDROCHLORIDE",1,"12187",NA
"821","ELBASVIR",1,"22680",NA
"822","ELETRIPTAN",1,"13346",NA
"823","ELOSULFASE ALFA",1,"22450",NA
"824","ELTROMBOPAG",1,"20661",NA
"825","ELUXADOLINE",1,"22846",NA
"826","ELVITEGRAVIR",1,"21507",NA
"827","EMPAGLIFLOZIN",1,"22629",NA
"828","EMTRICITABINE",1,"16516",NA
"829","ENALAPRIL MALEATE",1,"1810","ENALAPRIL"
"830","ENALAPRILAT",1,"1776","ENALAPRIL"
"831","ENFUVIRTIDE",1,"13031",NA
"832","ENOXAPARIN SODIUM",1,"763",NA
"833","ENSULIZOLE",1,"12634",NA
"834","ENTACAPONE",1,"12126",NA
"835","ENZACAMENE",1,"20039",NA
"836","EPHEDRINE SULFATE",1,"8937",NA
"837","EPINEPHRINE",1,"8926","EPINEPHRINE"
"838","EPINEPHRINE BITARTRATE",1,"8923",NA
"839","EPIRUBICIN HYDROCHLORIDE",1,"20259",NA
"840","EPLERENONE",1,"20438",NA
"841","EPOPROSTENOL",1,"11378",NA
"842","EPROSARTAN",1,"11894",NA
"843","EPTIFIBATIDE",1,"11891",NA
"844","ERGOLOID MESYLATES",1,"1411",NA
"845","ERGONOVINE MALEATE",1,"9366",NA
"846","ERGOTAMINE TARTRATE",1,"9252",NA
"847","ERIBULIN MESYLATE",1,"21079",NA
"848","ERLOTINIB",1,"12481",NA
"849","ERTAPENEM",1,"13153",NA
"850","ERYTHROMYCIN",1,"8618","ERYTHROMYCIN"
"851","ESCITALOPRAM",1,"13585","ESCITALOPRAM"
"852","ESCULIN",1,"9068",NA
"853","ESLICARBAZEPINE ACETATE",1,"22430",NA
"854","ESMOLOL HYDROCHLORIDE",1,"20260",NA
"855","ESTRADIOL",1,"7419","ESTRADIOL"
"856","ESTRAMUSTINE PHOSPHATE SODIUM",1,"2103",NA
"857","CONJUGATED ESTROGENS",1,"12708",NA
"858","ESTRONE",1,"7445",NA
"859","ETANERCEPT",1,"12032",NA
"860","ETHACRYNIC ACID",1,"10170",NA
"861","ETHAMBUTOL HYDROCHLORIDE",1,"20261",NA
"862","ETHINYL ESTRADIOL",1,"7426",NA
"863","ETHOPROPAZINE",1,"7948",NA
"864","ETHOSUXIMIDE",1,"6363",NA
"865","ETHYNODIOL DIACETATE",1,"7410",NA
"866","ETIDRONATE DISODIUM",1,"12611",NA
"867","ETODOLAC",1,"1880",NA
"868","ETONOGESTREL",1,"13323",NA
"869","ETOPOSIDE",1,"1998",NA
"870","ETRAVIRINE",1,"20195",NA
"871","EUCALYPTOL",1,"9122",NA
"872","EVEROLIMUS",1,"13238",NA
"873","EVOLOCUMAB",1,"22637",NA
"874","EXEMESTANE",1,"12019",NA
"875","EXENATIDE",1,"20660",NA
"876","EZETIMIBE",1,"12754","EZETIMIBE"
"877","FAMOTIDINE",1,"1395",NA
"878","FEBUXOSTAT",1,"13271",NA
"879","FELODIPINE",1,"1249","FELODIPINE"
"880","FENOFIBRATE",1,"1381","FENOFIBRATE"
"881","FENTANYL",1,"10075","FENTANYL"
"882","FESOTERODINE FUMARATE",1,"21178",NA
"883","FEXOFENADINE HYDROCHLORIDE",1,"11456",NA
"884","FIDAXOMICIN",1,"21336",NA
"885","FINASTERIDE",1,"768","FINASTERIDE"
"886","FINGOLIMOD",1,"20671",NA
"887","FISH OIL",1,"638",NA
"888","FLAVOXATE HYDROCHLORIDE",1,"9419",NA
"889","FLECAINIDE ACETATE",1,"1864",NA
"890","FLOCTAFENINE",1,"2009",NA
"891","FLUCONAZOLE",1,"1204",NA
"892","FLUDARABINE PHOSPHATE",1,"11349",NA
"893","FLUMAZENIL",1,"1227",NA
"894","FLUMETHASONE PIVALATE",1,"7568",NA
"895","FLUNARIZINE",1,"11229",NA
"896","FLUNISOLIDE",1,"2133",NA
"897","FLUOCINOLONE ACETONIDE",1,"7578",NA
"898","FLUOCINONIDE",1,"7579",NA
"899","FLUORESCEIN SODIUM",1,"5532",NA
"900","SODIUM FLUORIDE",1,"219",NA
"901","FLUOROMETHOLONE",1,"7576",NA
"902","FLUOROMETHOLONE ACETATE",1,"7577",NA
"903","FLUOROURACIL",1,"6311",NA
"904","FLUOXETINE",1,"11130","FLUOXETINE"
"905","FLUPENTIXOL DECANOATE",1,"1997",NA
"906","FLUPENTIXOL",1,"11347",NA
"907","FLUPHENAZINE DECANOATE",1,"8007",NA
"908","FLUPHENAZINE HYDROCHLORIDE",1,"20269",NA
"909","FLURAZEPAM HYDROCHLORIDE",1,"4015",NA
"910","FLURBIPROFEN",1,"1914",NA
"911","FLUTAMIDE",1,"1847",NA
"912","FLUTICASONE FUROATE",1,"20155","FLUTICASONE"
"913","FLUTICASONE PROPIONATE",1,"637",NA
"914","FLUVASTATIN",1,"11388",NA
"915","FLUVOXAMINE MALEATE",1,"1212",NA
"916","FOMEPIZOLE",1,"12038",NA
"917","FONDAPARINUX SODIUM",1,"12253",NA
"918","FORMOTEROL FUMARATE",1,"11381",NA
"919","FOSFOMYCIN",1,"11861",NA
"920","FOSINOPRIL SODIUM",1,"1744","FOSINOPRIL"
"921","FRAMYCETIN SULFATE",1,"8626",NA
"922","FULVESTRANT",1,"13276",NA
"923","FUROSEMIDE",1,"10091","FUROSEMIDE"
"924","FUSIDATE SODIUM",1,"8505",NA
"925","FUSIDIC ACID",1,"8504","FUSIDIC ACID"
"926","GABAPENTIN",1,"470","GABAPENTIN"
"927","GADODIAMIDE",1,"420",NA
"928","GADOBENATE DIMEGLUMINE",1,"12297",NA
"929","GADOBUTROL",1,"11922",NA
"930","GADOVERSETAMIDE",1,"12039",NA
"931","GADOXETATE DISODIUM",1,"20566",NA
"932","GADOPENTETATE DIMEGLUMINE",1,"885",NA
"933","GADOTERIDOL",1,"741",NA
"934","GALANTAMINE",1,"12329","GALANTAMINE"
"935","GALSULFASE",1,"22147",NA
"936","GANCICLOVIR",1,"135",NA
"937","VALGANCICLOVIR",1,"12759",NA
"938","GANIRELIX",1,"12713",NA
"939","GATIFLOXACIN",1,"12056",NA
"940","GEFITINIB",1,"13090",NA
"941","GELATIN",1,"8825",NA
"942","GEMCITABINE",1,"11262",NA
"943","GEMFIBROZIL",1,"1904",NA
"944","GENTAMICIN",1,"8632",NA
"945","GENTIAN VIOLET",1,"6820",NA
"946","GLATIRAMER ACETATE",1,"11533",NA
"947","GLICLAZIDE",1,"1327","GLICLAZIDE"
"948","GLIMEPIRIDE",1,"12597",NA
"949","SODIUM GLUCONATE",1,"6787",NA
"950","GLUTAMIC ACID",1,"8872",NA
"951","GLYBURIDE",1,"4007","GLYBURIDE"
"952","GLYCINE",1,"8865",NA
"953","GLYCOPYRROLATE",1,"9967",NA
"954","GOLD SODIUM THIOMALATE",1,"6469",NA
"955","GOLIMUMAB",1,"20450",NA
"956","GONADORELIN ACETATE",1,"7330",NA
"957","GOSERELIN",1,"11167",NA
"958","GRAMICIDIN",1,"8523",NA
"959","GRANISETRON",1,"11382",NA
"960","GRAZOPREVIR",1,"22679",NA
"961","GUAIACOL",1,"9129",NA
"962","GUAIACOL CARBONATE",1,"6896",NA
"963","GUAIFENESIN",1,"9615",NA
"964","GUANFACINE",1,"22124",NA
"965","HALOBETASOL PROPIONATE",1,"7555",NA
"966","HALOPERIDOL",1,"10146","HALOPERIDOL"
"967","HALOTHANE",1,"9670",NA
"968","HELIUM",1,"2334",NA
"969","HEPARIN",1,"11364",NA
"970","HEPARIN SODIUM",1,"9060",NA
"971","HEXAMINOLEVULINATE HYDROCHLORIDE",1,"22564",NA
"972","HEXYLRESORCINOL",1,"700",NA
"973","HISTAMINE PHOSPHATE",1,"6216",NA
"974","HISTIDINE",1,"10237",NA
"975","HOMOSALATE",1,"1970",NA
"976","HYDRALAZINE HYDROCHLORIDE",1,"6436",NA
"977","HYDROCHLOROTHIAZIDE",1,"10234","HYDROCHLOROTHIAZIDE"
"978","HYDROCODONE",1,"20386","HYDROCORTISONE"
"979","HYDROCODONE BITARTRATE",1,"6161",NA
"980","HYDROCORTISONE",1,"7532","HYDROCORTISONE"
"981","HYDROCORTISONE ACETATE",1,"7531","HYDROCORTISONE"
"982","HYDROCORTISONE VALERATE",1,"7509","HYDROCORTISONE"
"983","HYDROMORPHONE HYDROCHLORIDE",1,"20280",NA
"984","HYDROQUINONE",1,"4439",NA
"985","HYDROXOCOBALAMIN",1,"4971",NA
"986","HYDROXYCHLOROQUINE SULFATE",1,"6506","HYDROXYCHLOROQUINE"
"987","HYDROXYETHYL STARCH 130/0.4",1,"12794",NA
"988","HYDROXYUREA",1,"10140",NA
"989","HYDROXYZINE HYDROCHLORIDE",1,"8008",NA
