"ntp_dosage_form_code","ntp_dosage_form","route_of_administration_code","route_of_administration","route_of_administration_f","pharm_form_code","pharmaceutical_form","pharmaceutical_form_f","audit_id"
40016,"powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"55","POWDER","Poudre",29136
40017,"powder for solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29137
40016,"powder for suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension",29138
40018,"powder for prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29139
40001,"solution for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"134","SOLUTION","Solution",29140
40019,"suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"79","SUSPENSION","Suspension",29141
40020,"prolonged-release suspension for injection","10-21-22-42","INTRA-ARTICULAR, INTRALESIONAL,  INTRAMUSCULAR, INTRASYNOVIAL",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29142
40015,"emulsion for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"19","EMULSION","Émulsion",29143
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"34","LIQUID","Liquide",29144
40016,"powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"55","POWDER","Poudre",29145
40017,"powder for solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29146
40016,"powder for suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"126","POWDER FOR SUSPENSION","Poudre pour suspension",29147
40018,"powder for prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29148
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"134","SOLUTION","Solution",29149
40019,"suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"79","SUSPENSION","Suspension",29150
40020,"prolonged-release suspension for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION",NA,"143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29151
40001,"solution for injection","10-21-22-49-63","INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE INJECTION","Intra-articulaire, Intralésionnelle, Intramusculaire, Intraveineuse, Injection dans les tissus mous","34","LIQUID","Liquide",29152
40001,"solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","34","LIQUID","Liquide",29153
40019,"suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","79","SUSPENSION","Suspension",29154
40015,"emulsion for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","19","EMULSION","Émulsion",29155
40016,"powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","55","POWDER","Poudre",29156
40017,"powder for solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution",29157
40016,"powder for suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension",29158
40018,"powder for prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29159
40001,"solution for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","134","SOLUTION","Solution",29160
40020,"prolonged-release suspension for injection","10-22","INTRA-ARTICULAR, INTRAMUSCULAR","Intra-articulaire, Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29161
40019,"suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","79","SUSPENSION","Suspension",29162
40015,"emulsion for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","19","EMULSION","Émulsion",29163
40001,"solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","34","LIQUID","Liquide",29164
40016,"powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","55","POWDER","Poudre",29165
40017,"powder for solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","56","POWDER FOR SOLUTION","Poudre pour solution",29166
40016,"powder for suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","126","POWDER FOR SUSPENSION","Poudre pour suspension",29167
40018,"powder for prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29168
40001,"solution for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","134","SOLUTION","Solution",29169
40020,"prolonged-release suspension for injection","10-22-42-63","INTRA-ARTICULAR, INTRAMUSCULAR, INTRASYNOVIAL, SOFT TISSUE INJECTION","Intra-articulaire, Intramusculaire, Intrasynoviale, Injection dans les tissus mous","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29170
40001,"solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","34","LIQUID","Liquide",29171
40001,"solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","134","SOLUTION","Solution",29172
40015,"emulsion for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","19","EMULSION","Émulsion",29173
40016,"powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","55","POWDER","Poudre",29174
40017,"powder for solution for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29175
40016,"powder for suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29176
40018,"powder for prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29177
40019,"suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension",29178
40020,"prolonged-release suspension for injection","10-22-49","INTRA-ARTICULAR, INTRAMUSCULAR, INTRAVENOUS","Intra-articulaire, Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29179
40001,"solution for injection","10-13-22","INTRA-ARTICULAR, INTRABURSAL, INTRAMUSCULAR",NA,"34","LIQUID","Liquide",29180
40001,"solution for injection","13","INTRABURSAL",NA,"134","SOLUTION","Solution",29181
40019,"suspension for injection","13","INTRABURSAL",NA,"79","SUSPENSION","Suspension",29182
40001,"solution for injection","14","INTRACARDIAC",NA,"134","SOLUTION","Solution",29183
40001,"solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution",29184
40015,"emulsion for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion",29185
40001,"solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide",29186
40016,"powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre",29187
40017,"powder for solution for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29188
40016,"powder for suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension",29189
40018,"powder for prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29190
40019,"suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension",29191
40020,"prolonged-release suspension for injection","14-22-45-49-65","INTRACARDIAC, INTRAMUSCULAR, INTRATRACHEAL, INTRAVENOUS, SUBCUTANEOUS","Intracardiaque, Intramusculaire, Intratrachéale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29192
40001,"solution for injection","14-49","INTRACARDIAC, INTRAVENOUS","Intracardiaque, Intraveineuse","134","SOLUTION","Solution",29193
40001,"solution for injection","4","INTRACAUDAL",NA,"134","SOLUTION","Solution",29194
40001,"solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","34","LIQUID","Liquide",29195
40017,"powder for solution for injection","84","INTRACAVERNOSAL","Intracaverneuse","56","POWDER FOR SOLUTION","Poudre pour solution",29196
40001,"solution for injection","17","INTRACAVITARY",NA,"34","LIQUID","Liquide",29197
40017,"powder for solution for injection","17","INTRACAVITARY",NA,"56","POWDER FOR SOLUTION","Poudre pour solution",29198
40033,"endocervical gel","95","INTRACERVICAL","Intracervicale","114","GEL","Gel",29199
40001,"solution for injection","16","INTRACRANIAL","Intracrâniale","134","SOLUTION","Solution",29200
40001,"solution for injection","18","INTRACUTANEOUS",NA,"34","LIQUID","Liquide",29201
40001,"solution for injection","18","INTRACUTANEOUS",NA,"134","SOLUTION","Solution",29202
40001,"solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée, Sous-cutanée","34","LIQUID","Liquide",29203
40001,"solution for injection","18-65","INTRACUTANEOUS, SUBCUTANEOUS","Intracutanée, Sous-cutanée","134","SOLUTION","Solution",29204
40001,"solution for injection","19","INTRADERMAL","Intradermique","34","LIQUID","Liquide",29205
40017,"powder for solution for injection","19","INTRADERMAL","Intradermique","56","POWDER FOR SOLUTION","Poudre pour solution",29206
40001,"solution for injection","19","INTRADERMAL","Intradermique","134","SOLUTION","Solution",29207
40019,"suspension for injection","19","INTRADERMAL","Intradermique","79","SUSPENSION","Suspension",29208
40001,"solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","34","LIQUID","Liquide",29209
40001,"solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","134","SOLUTION","Solution",29210
40017,"powder for solution for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29211
40019,"suspension for injection","19-85-65","INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS","Intradermique, Percutanée, Sous-cutanée","79","SUSPENSION","Suspension",29212
40001,"solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","34","LIQUID","Liquide",29213
40017,"powder for solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29214
40001,"solution for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","134","SOLUTION","Solution",29215
40019,"suspension for injection","19-65","INTRADERMAL, SUBCUTANEOUS","Intradermique, Sous-cutanée","79","SUSPENSION","Suspension",29216
40001,"solution for injection","19-70","INTRADERMAL, TOPICAL","Intradermique, Topique","34","LIQUID","Liquide",29217
40001,"solution for injection","82","INTRAGANGLIONAL","Intraganglionnaire","134","SOLUTION","Solution",29218
40034,"intestinal gel","100","INTRAINTESTINAL (UPPER)","Intraintestinale (supérieur)","114","GEL","Gel",29219
40017,"powder for solution for injection","21","INTRALESIONAL","Intralésionnelle","56","POWDER FOR SOLUTION","Poudre pour solution",29220
40019,"suspension for injection","21","INTRALESIONAL","Intralésionnelle","79","SUSPENSION","Suspension",29221
40001,"solution for injection","21","INTRALESIONAL","Intralésionnelle","34","LIQUID","Liquide",29222
40015,"emulsion for injection","22","INTRAMUSCULAR","Intramusculaire","19","EMULSION","Émulsion",29223
40001,"solution for injection","22","INTRAMUSCULAR","Intramusculaire","34","LIQUID","Liquide",29224
40016,"powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","55","POWDER","Poudre",29225
40017,"powder for solution for injection","22","INTRAMUSCULAR","Intramusculaire","56","POWDER FOR SOLUTION","Poudre pour solution",29226
40016,"powder for suspension for injection","22","INTRAMUSCULAR","Intramusculaire","126","POWDER FOR SUSPENSION","Poudre pour suspension",29227
40018,"powder for prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29228
40001,"solution for injection","22","INTRAMUSCULAR","Intramusculaire","134","SOLUTION","Solution",29229
40019,"suspension for injection","22","INTRAMUSCULAR","Intramusculaire","79","SUSPENSION","Suspension",29230
40020,"prolonged-release suspension for injection","22","INTRAMUSCULAR","Intramusculaire","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29232
40006,"kit","22","INTRAMUSCULAR","Intramusculaire","32","KIT","Trousse",29233
40001,"solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide",29234
40017,"powder for solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29235
40001,"solution for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution",29236
40015,"emulsion for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion",29237
40016,"powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre",29238
40016,"powder for suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension",29239
40018,"powder for prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29240
40019,"suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension",29241
40020,"prolonged-release suspension for injection","22-33-49-65","INTRAMUSCULAR, INTRAPERITONEAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapéritonéale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29242
40017,"powder for solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29243
40015,"emulsion for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion",29244
40001,"solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide",29245
40016,"powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","55","POWDER","Poudre",29246
40016,"powder for suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension",29247
40018,"powder for prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29248
40001,"solution for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution",29249
40019,"suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension",29250
40020,"prolonged-release suspension for injection","22-34-49-65","INTRAMUSCULAR, INTRAPLEURAL, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intrapleurale, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29251
40001,"solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","34","LIQUID","Liquide",29252
40001,"solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","134","SOLUTION","Solution",29253
40015,"emulsion for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","19","EMULSION","Émulsion",29254
40016,"powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","55","POWDER","Poudre",29255
40017,"powder for solution for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29256
40016,"powder for suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29257
40018,"powder for prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29258
40019,"suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","79","SUSPENSION","Suspension",29259
40020,"prolonged-release suspension for injection","22-42-49","INTRAMUSCULAR, INTRASYNOVIAL, INTRAVENOUS","Intramusculaire, Intrasynoviale, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29260
40015,"emulsion for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","19","EMULSION","Émulsion",29261
40001,"solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","34","LIQUID","Liquide",29262
40016,"powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","55","POWDER","Poudre",29263
40017,"powder for solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","56","POWDER FOR SOLUTION","Poudre pour solution",29264
40001,"solution for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","134","SOLUTION","Solution",29265
40016,"powder for suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","126","POWDER FOR SUSPENSION","Poudre pour suspension",29266
40018,"powder for prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29267
40019,"suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","79","SUSPENSION","Suspension",29268
40020,"prolonged-release suspension for injection","22-49","INTRAMUSCULAR, INTRAVENOUS","Intramusculaire, Intraveineuse","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29269
40015,"emulsion for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","19","EMULSION","Émulsion",29270
40001,"solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","34","LIQUID","Liquide",29271
40017,"powder for solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29272
40001,"solution for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","134","SOLUTION","Solution",29273
40016,"powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","55","POWDER","Poudre",29274
40016,"powder for suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","126","POWDER FOR SUSPENSION","Poudre pour suspension",29275
40018,"powder for prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","118","POWDER FOR SUSPENSION, SUSTAINED-RELEASE","Poudre pour suspension, à libération prolongée",29276
40019,"suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","79","SUSPENSION","Suspension",29277
40020,"prolonged-release suspension for injection","22-49-65","INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Intramusculaire, Intraveineuse, Sous-cutanée","143","SUSPENSION (EXTENDED-RELEASE)","Suspension (à libération prolongée)",29278
40015,"emulsion for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","19","EMULSION","Émulsion",29279
40001,"solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","34","LIQUID","Liquide",29280
40017,"powder for solution for injection","22-65","INTRAMUSCULAR, SUBCUTANEOUS","Intramusculaire, Sous-cutanée","56","POWDER FOR SOLUTION","Poudre pour solution",29281
