"","dpd_ingredient","extract","drug_code","active_ingredient_code","ingredient_supplied_ind","strength","strength_unit","strength_type","dosage_value","base","dosage_unit","notes","hydrate","ccdd","top250name","ing_stem","strength_w_unit_w_dosage_if_exists","mp_ingredient_name"
"569","ACETAMINOPHEN","active",12412,270,"I","160","MG","","5","N","ML","Historic Freeform Text: ACETAMINOPHEN",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","160 MG per 5 ML","acetaminophen 160 mg per 5 mL"
"570","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)","active",12419,7961,"I","2.5","MG","","","Y","","Historic Freeform Text: TRIMEPRAZINE TARTRAT ((BASE EQ))",FALSE,"","","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)","2.5 MG","trimeprazine (trimeprazine tartrate) 2.5 mg"
"571","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","active",12421,11162,"I","100","MG","","","Y","","HISTORIC FREEFORM TEXT: ACEBUTOLOL HCL ((BASE EQ))",FALSE,"Y","ACEBUTOLOL","ACEBUTOLOL","100 MG","acebutolol (acebutolol hydrochloride) 100 mg"
"572","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)","active",12422,11162,"I","200","MG","","","Y","","Historic Freeform Text: ACEBUTOLOL HCL ((BASE EQ))",FALSE,"Y","ACEBUTOLOL","ACEBUTOLOL","200 MG","acebutolol (acebutolol hydrochloride) 200 mg"
"573","PERICIAZINE","active",12425,13098,"I","10","MG","","","N","","HISTORIC FREEFORM TEXT: PERICYAZINE",FALSE,"","","PERICIAZINE","10 MG","periciazine 10 mg"
"574","ZOPICLONE","active",12426,1200,"I","7.5","MG","","","N","","Historic Freeform Text: ZOPICLONE",FALSE,"Y","ZOPICLONE","ZOPICLONE","7.5 MG","zopiclone 7.5 mg"
"575","HYDROCHLOROTHIAZIDE","active",12430,10234,"I","50","MG","","","N","","Historic Freeform Text: HYDROCHLOROTHIAZIDE",FALSE,"Y","HYDROCHLOROTHIAZIDE","HYDROCHLOROTHIAZIDE","50 MG","hydrochlorothiazide 50 mg"
"576","AMILORIDE HYDROCHLORIDE","active",12430,20230,"I","5","MG","","","N","","HISTORIC FREEFORM TEXT: AMILORIDE HCL",FALSE,"","","AMILORIDE HYDROCHLORIDE","5 MG","amiloride hydrochloride 5 mg"
"577","CLOXACILLIN SODIUM","active",12434,8411,"I","2","G","","","N","VIAL","Historic Freeform Text: CLOXACILLIN SODIUM",FALSE,"","","CLOXACILLIN SODIUM","2 G per VIAL","cloxacillin sodium 2 g per vial"
"578","CLOXACILLIN SODIUM","active",12435,8411,"I","500","MG","","","N","VIAL","Historic Freeform Text: CLOXACILLIN SODIUM",FALSE,"","","CLOXACILLIN SODIUM","500 MG per VIAL","cloxacillin sodium 500 mg per vial"
"579","THIOPROPERAZINE (THIOPROPERAZINE MESYLATE)","active",12437,7999,"I","10","MG","","","N","","HISTORIC FREEFORM TEXT: THIOPROPERAZINE MESYLATE",FALSE,"","","THIOPROPERAZINE (THIOPROPERAZINE MESYLATE)","10 MG","thioproperazine (thioproperazine mesylate) 10 mg"
"580","DEXTROMETHORPHAN HYDROBROMIDE","active",12449,10247,"I","15","MG","","5","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 5 ML","dextromethorphan hydrobromide 15 mg per 5 mL"
"581","GUAIFENESIN","active",12449,9615,"I","100","MG","","5","N","ML","Historic Freeform Text: GUAIFENESIN",FALSE,"","","GUAIFENESIN","100 MG per 5 ML","guaifenesin 100 mg per 5 mL"
"582","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","active",12451,11108,"I","1","MG","","","N","","HISTORIC FREEFORM TEXT: PRAZOSIN HCL. MICRONIZED.  2011.09.14. INGREDIENT NAME REVISED TO PRAZOSIN, ",FALSE,"","","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","1 MG","prazosin (prazosin hydrochloride) 1 mg"
"583","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","active",12452,11108,"I","2","MG","","","N","","HISTORIC FREEFORM TEXT: PRAZOSIN HCL  2011.09.14. INGREDIENT NAME REVISED TO PRAZOSIN, SUPPLIED AS P",FALSE,"","","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","2 MG","prazosin (prazosin hydrochloride) 2 mg"
"584","LEUCOVORIN (LEUCOVORIN CALCIUM)","active",18209,11389,"I","10","MG","","","N","ML","",FALSE,"","","LEUCOVORIN (LEUCOVORIN CALCIUM)","10 MG per ML","leucovorin (leucovorin calcium) 10 mg per mL"
"585","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","active",12453,11108,"I","5","MG","","","N","","HISTORIC FREEFORM TEXT: PRAZOSIN HCL. MICRONIZED.  2011.09.14. INGREDIENT NAME REVISED TO PRAZOSIN, ",FALSE,"","","PRAZOSIN (PRAZOSIN HYDROCHLORIDE)","5 MG","prazosin (prazosin hydrochloride) 5 mg"
"586","DOXAZOSIN (DOXAZOSIN MESYLATE)","active",12455,11258,"I","1","MG","","","Y","","HISTORIC FREEFORM TEXT: DOXAZOSIN MESYLATE ((DOXAZOSIN EQ))",FALSE,"Y","DOXAZOSIN","DOXAZOSIN","1 MG","doxazosin (doxazosin mesylate) 1 mg"
"587","DOXAZOSIN (DOXAZOSIN MESYLATE)","active",12456,11258,"I","2","MG","","","Y","","HISTORIC FREEFORM TEXT: DOXAZOSIN MESYLATE ((DOXAZOXIN EQ))",FALSE,"Y","DOXAZOSIN","DOXAZOSIN","2 MG","doxazosin (doxazosin mesylate) 2 mg"
"588","DOXAZOSIN (DOXAZOSIN MESYLATE)","active",12457,11258,"I","4","MG","","","Y","","HISTORIC FREEFORM TEXT: DOXAZOSIN MESYLATE ((DOXAZOSIN EQ))",FALSE,"Y","DOXAZOSIN","DOXAZOSIN","4 MG","doxazosin (doxazosin mesylate) 4 mg"
"589","FELODIPINE","active",12458,1249,"I","5","MG","","","N","","Historic Freeform Text: FELODIPINE",FALSE,"Y","FELODIPINE","FELODIPINE","5 MG","felodipine 5 mg"
"590","FELODIPINE","active",12459,1249,"I","10","MG","","","N","","Historic Freeform Text: FELODIPINE",FALSE,"Y","FELODIPINE","FELODIPINE","10 MG","felodipine 10 mg"
"591","ACETAMINOPHEN","active",12461,270,"I","500","MG","","","N","","Historic Freeform Text: ACETAMINOPHEN",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","500 MG","acetaminophen 500 mg"
"592","PSEUDOEPHEDRINE HYDROCHLORIDE","active",12461,6492,"I","30","MG","","","N","","Historic Freeform Text: PSEUDOEPHEDRINE HCL.",FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE","30 MG","pseudoephedrine hydrochloride 30 mg"
"593","FILGRASTIM (R-METHUG-CSF)","active",12474,7657,"I","300","MCG","","","N","ML","HISTORIC FREEFORM TEXT: FILGRASTIM (R-METHUG-CSF)",FALSE,"","","FILGRASTIM (R-METHUG-CSF)","300 MCG per ML","filgrastim (r-methug-csf) 300 mcg per mL"
"594","DISODIUM EDETATE","active",1248,3836,"I","15","G","","100","N","G","HISTORIC FREEFORM TEXT: DISODIUM EDETATE",FALSE,"","","DISODIUM EDETATE","15 G per 100 G","disodium edetate 15 g per 100 g"
"595","CETRIMONIUM BROMIDE","active",1248,7145,"I","750","MG","","100","N","G","HISTORIC FREEFORM TEXT: CETRIMIDE",FALSE,"","","CETRIMONIUM BROMIDE","750 MG per 100 G","cetrimonium bromide 750 mg per 100 g"
"596","DEXTROMETHORPHAN HYDROBROMIDE","active",12504,10247,"I","7.5","MG","","5","N","ML","HISTORIC FREEFORM TEXT: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","7.5 MG per 5 ML","dextromethorphan hydrobromide 7.5 mg per 5 mL"
"597","PSEUDOEPHEDRINE HYDROCHLORIDE","active",12504,6492,"I","15","MG","","5","N","ML","HISTORIC FREEFORM TEXT: PSEUDOEPHEDRINE HCL.",FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE","15 MG per 5 ML","pseudoephedrine hydrochloride 15 mg per 5 mL"
"598","NITROGLYCERIN","active",1253,9412,"I","0.6","MG","","","N","","Historic Freeform Text: NITROGLYCERIN",FALSE,"Y","NITROGLYCERIN","NITROGLYCERIN","0.6 MG","nitroglycerin 0.6 mg"
"599","NITROGLYCERIN","active",1254,9412,"I","0.3","MG","","","N","","Historic Freeform Text: NITROGLYCERIN",FALSE,"Y","NITROGLYCERIN","NITROGLYCERIN","0.3 MG","nitroglycerin 0.3 mg"
"600","TRETINOIN","active",12544,5054,"I","0.05","%","","","N","","HISTORIC FREEFORM TEXT: RETINOIC ACID",FALSE,"","","TRETINOIN","0.05 %","tretinoin 0.05 %"
"601","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)","active",12549,7948,"I","50","MG","","","Y","","HISTORIC FREEFORM TEXT: ETHOPROPAZINE HCL ((BASE EQ))",FALSE,"","","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)","50 MG","ethopropazine (ethopropazine hydrochloride) 50 mg"
"602","DIMENHYDRINATE","active",1256,9782,"I","15","MG","","5","N","ML","",FALSE,"","","DIMENHYDRINATE","15 MG per 5 ML","dimenhydrinate 15 mg per 5 mL"
"603","ACETAMINOPHEN","active",12565,270,"I","500","MG","","","N","","Historic Freeform Text: ACETAMINOPHEN",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","500 MG","acetaminophen 500 mg"
"604","INSULIN ISOPHANE HUMAN BIOSYNTHETIC","active",12568,7671,"I","70","UNIT","","","N","ML","Historic Freeform Text: INSULIN ISOPHANE HUMAN BIOSYNTHETIC",FALSE,"Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN","70 UNIT per ML","insulin isophane human biosynthetic 70 unit per mL"
"605","INSULIN INJECTION HUMAN BIOSYNTHETIC","active",12568,7672,"I","30","UNIT","","","N","ML","Historic Freeform Text: INSULIN INJECTION HUMAN BIOSYNTHETIC",FALSE,"","","INSULIN INJECTION HUMAN BIOSYNTHETIC","30 UNIT per ML","insulin injection human biosynthetic 30 unit per mL"
"606","INSULIN INJECTION HUMAN BIOSYNTHETIC","active",12569,7672,"I","100","UNIT","","","N","ML","Historic Freeform Text: INSULIN INJECTION HUMAN BIOSYNTHETIC",FALSE,"","","INSULIN INJECTION HUMAN BIOSYNTHETIC","100 UNIT per ML","insulin injection human biosynthetic 100 unit per mL"
"607","INSULIN ISOPHANE HUMAN BIOSYNTHETIC","active",12570,7671,"I","100","UNIT","","","N","ML","Historic Freeform Text: INSULIN ISOPHANE HUMAN BIOSYNTHETIC",FALSE,"Y","HUMAN INSULIN ISOPHANE","INSULIN ISOPHANE HUMAN","100 UNIT per ML","insulin isophane human biosynthetic 100 unit per mL"
"608","FLUPHENAZINE HYDROCHLORIDE","active",12572,20269,"I","1","MG","","","N","","Historic Freeform Text: FLUPHENAZINE HCL",FALSE,"","","FLUPHENAZINE HYDROCHLORIDE","1 MG","fluphenazine hydrochloride 1 mg"
"609","FLUPHENAZINE HYDROCHLORIDE","active",12573,20269,"I","2","MG","","","N","","Historic Freeform Text: FLUPHENAZINE HCL",FALSE,"","","FLUPHENAZINE HYDROCHLORIDE","2 MG","fluphenazine hydrochloride 2 mg"
"610","FLUPHENAZINE HYDROCHLORIDE","active",12574,20269,"I","5","MG","","","N","","Historic Freeform Text: FLUPHENAZINE HCL",FALSE,"","","FLUPHENAZINE HYDROCHLORIDE","5 MG","fluphenazine hydrochloride 5 mg"
"611","YOHIMBINE HYDROCHLORIDE","active",12575,20371,"I","2","MG","","","N","","Historic Freeform Text: YOHIMBINE HCL",FALSE,"","","YOHIMBINE HYDROCHLORIDE","2 MG","yohimbine hydrochloride 2 mg"
"612","SPIRAMYCIN","active",12601,8589,"I","1500000","UNIT","","","N","","HISTORIC FREEFORM TEXT: SPIRAMYCIN",FALSE,"","","SPIRAMYCIN","1500000 UNIT","spiramycin 1500000 unit"
"613","GUAIFENESIN","active",12620,9615,"I","100","MG","","5","N","ML","HISTORIC FREEFORM TEXT: GUAIFENESIN",FALSE,"","","GUAIFENESIN","100 MG per 5 ML","guaifenesin 100 mg per 5 mL"
"614","DEXTROMETHORPHAN HYDROBROMIDE","active",12621,10247,"I","15","MG","","5","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 5 ML","dextromethorphan hydrobromide 15 mg per 5 mL"
"615","COCAINE HYDROCHLORIDE","active",12625,20241,"I","40","MG","","","N","ML","Historic Freeform Text: COCAINE HCL",FALSE,"","","COCAINE HYDROCHLORIDE","40 MG per ML","cocaine hydrochloride 40 mg per mL"
"616","AMITRIPTYLINE HYDROCHLORIDE","active",1263,10187,"I","50","MG","","","N","","Historic Freeform Text: AMITRIPTYLINE HYDROCHLORIDE",FALSE,"Y","AMITRIPTYLINE","AMITRIPTYLINE","50 MG","amitriptyline hydrochloride 50 mg"
"617","CHLOROXYLENOL","active",12639,774,"I","0.6","%","","","N","","Historic Freeform Text: CHLOROXYLENOL",FALSE,"","","CHLOROXYLENOL","0.6 %","chloroxylenol 0.6 %"
"618","AMITRIPTYLINE HYDROCHLORIDE","active",1264,10187,"I","25","MG","","","N","","Historic Freeform Text: AMITRIPTYLINE HYDROCHLORIDE",FALSE,"Y","AMITRIPTYLINE","AMITRIPTYLINE","25 MG","amitriptyline hydrochloride 25 mg"
"619","DEXAMETHASONE SODIUM PHOSPHATE","active",12640,7598,"I","1","MG","","","N","ML","Historic Freeform Text: DEXAMETHASONE 21-PHOSPHATE DISODIUM SALT",FALSE,"Y","DEXAMETHASONE","DEXAMETHASONE SODIUM PHOSPHATE","1 MG per ML","dexamethasone sodium phosphate 1 mg per mL"
"620","LIDOCAINE HYDROCHLORIDE","active",12645,10225,"I","10","MG","","","N","ML","HISTORIC FREEFORM TEXT: LIDOCAINE HCL",FALSE,"","","LIDOCAINE HYDROCHLORIDE","10 MG per ML","lidocaine hydrochloride 10 mg per mL"
"621","HEPARIN SODIUM","active",12646,9060,"I","50","UNIT","","","N","ML","Historic Freeform Text: HEPARIN SODIUM",FALSE,"","","HEPARIN SODIUM","50 UNIT per ML","heparin sodium 50 unit per mL"
"622","HEPARIN SODIUM","active",12647,9060,"I","40","UNIT","","","N","ML","HISTORIC FREEFORM TEXT: HEPARIN SODIUM",FALSE,"","","HEPARIN SODIUM","40 UNIT per ML","heparin sodium 40 unit per mL"
"623","LIDOCAINE HYDROCHLORIDE","active",12648,10225,"I","20","MG","","","N","ML","HISTORIC FREEFORM TEXT: LIDOCAINE HCL",FALSE,"","","LIDOCAINE HYDROCHLORIDE","20 MG per ML","lidocaine hydrochloride 20 mg per mL"
"624","EPINEPHRINE","active",12648,8926,"I","10","MCG","","","N","ML","Historic Freeform Text: EPINEPHRINE",FALSE,"Y","EPINEPHRINE","EPINEPHRINE","10 MCG per ML","epinephrine 10 mcg per mL"
"625","LIDOCAINE HYDROCHLORIDE","active",12649,10225,"I","10","MG","","","N","ML","HISTORIC FREEFORM TEXT: LIDOCAINE HCL",FALSE,"","","LIDOCAINE HYDROCHLORIDE","10 MG per ML","lidocaine hydrochloride 10 mg per mL"
"626","EPINEPHRINE","active",12649,8926,"I","10","MCG","","","N","ML","HISTORIC FREEFORM TEXT: EPINEPHRINE",FALSE,"Y","EPINEPHRINE","EPINEPHRINE","10 MCG per ML","epinephrine 10 mcg per mL"
"627","AMITRIPTYLINE HYDROCHLORIDE","active",1265,10187,"I","10","MG","","","N","","Historic Freeform Text: AMITRIPTYLINE HYDROCHLORIDE",FALSE,"Y","AMITRIPTYLINE","AMITRIPTYLINE","10 MG","amitriptyline hydrochloride 10 mg"
"628","ENALAPRILAT","active",12650,1776,"I","1.25","MG","","","N","ML","Historic Freeform Text: ENALAPRILAT",FALSE,"","","ENALAPRILAT","1.25 MG per ML","enalaprilat 1.25 mg per mL"
"629","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)","active",12651,7961,"I","5","MG","","","Y","","HISTORIC FREEFORM TEXT: TRIMEPRAZINE TARTRATE ((BASE EQ))",FALSE,"","","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)","5 MG","trimeprazine (trimeprazine tartrate) 5 mg"
"630","PERICIAZINE","active",12653,13098,"I","5","MG","","","N","","Historic Freeform Text: PERICYAZINE",FALSE,"","","PERICIAZINE","5 MG","periciazine 5 mg"
"631","NYSTATIN","active",12654,8508,"I","100000","UNIT","","","N","","Historic Freeform Text: NYSTATIN",FALSE,"Y","NYSTATIN","NYSTATIN","100000 UNIT","nystatin 100000 unit"
"632","METRONIDAZOLE","active",12654,9880,"I","500","MG","","","N","","Historic Freeform Text: METRONIDAZOLE",FALSE,"Y","METRONIDAZOLE","METRONIDAZOLE","500 MG","metronidazole 500 mg"
"633","SERTRALINE (SERTRALINE HYDROCHLORIDE)","active",12662,11168,"I","50","MG","","","Y","","Historic Freeform Text: SERTRALINE HCL ((BASE EQ))",FALSE,"Y","SERTRALINE","SERTRALINE","50 MG","sertraline (sertraline hydrochloride) 50 mg"
"634","FENTANYL (FENTANYL CITRATE)","active",12664,10075,"I","50","MCG","","","N","ML","Historic Freeform Text: FENTANYL CITRATE ((BASE EQ))",FALSE,"Y","FENTANYL","FENTANYL","50 MCG per ML","fentanyl (fentanyl citrate) 50 mcg per mL"
"635","DOXEPIN (DOXEPIN HYDROCHLORIDE)","active",12669,11107,"I","25","MG","","","N","","HISTORIC FREEFORM TEXT: DOXEPIN HYDROCHLORIDE",FALSE,"","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","25 MG","doxepin (doxepin hydrochloride) 25 mg"
"636","DOXEPIN (DOXEPIN HYDROCHLORIDE)","active",12670,11107,"I","50","MG","","","N","","HISTORIC FREEFORM TEXT: DOXEPIN HYDROCHLORIDE",FALSE,"","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","50 MG","doxepin (doxepin hydrochloride) 50 mg"
"637","DOXEPIN (DOXEPIN HYDROCHLORIDE)","active",12671,11107,"I","75","MG","","","N","","HISTORIC FREEFORM TEXT: DOXEPIN HYDROCHLORIDE",FALSE,"","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","75 MG","doxepin (doxepin hydrochloride) 75 mg"
"638","DOXEPIN (DOXEPIN HYDROCHLORIDE)","active",12672,11107,"I","100","MG","","","N","","HISTORIC FREEFORM TEXT: DOXEPIN HYDROCHLORIDE",FALSE,"","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","100 MG","doxepin (doxepin hydrochloride) 100 mg"
"639","DOXEPIN (DOXEPIN HYDROCHLORIDE)","active",12673,11107,"I","150","MG","","","N","","HISTORIC FREEFORM TEXT: DOXEPIN HYDROCHLORIDE",FALSE,"","","DOXEPIN (DOXEPIN HYDROCHLORIDE)","150 MG","doxepin (doxepin hydrochloride) 150 mg"
"640","SODIUM CHLORIDE","active",12674,55,"I","9","MG","","","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","9 MG per ML","sodium chloride 9 mg per mL"
"641","GENTAMICIN (GENTAMICIN SULFATE)","active",12674,8632,"I","0.8","MG","","","N","ML","Historic Freeform Text: GENTAMYCIN SULFATE ((BASE EQ))",FALSE,"","","GENTAMICIN (GENTAMICIN SULFATE)","0.8 MG per ML","gentamicin (gentamicin sulfate) 0.8 mg per mL"
"642","DOPAMINE HYDROCHLORIDE","active",12681,2322,"I","3.2","MG","","","N","ML","Historic Freeform Text: DOPAMINE HCL",FALSE,"","","DOPAMINE HYDROCHLORIDE","3.2 MG per ML","dopamine hydrochloride 3.2 mg per mL"
"643","DEXTROSE","active",12681,42,"I","50","MG","","","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","50 MG per ML","dextrose 50 mg per mL"
"644","PHENYTOIN SODIUM","active",12697,10207,"I","50","MG","","","N","ML","Historic Freeform Text: PHENYTOIN SODIUM",FALSE,"Y","PHENYTOIN","PHENYTOIN SODIUM","50 MG per ML","phenytoin sodium 50 mg per mL"
"645","LACTULOSE","active",12699,2395,"I","667","MG","","","N","ML","HISTORIC FREEFORM TEXT: LACTULOSE",FALSE,"","","LACTULOSE","667 MG per ML","lactulose 667 mg per mL"
"646","MORPHINE SULFATE","active",12701,9117,"I","25","MG","","","N","ML","HISTORIC FREEFORM TEXT: MORPHINE SULFATE",FALSE,"Y","MORPHINE","MORPHINE","25 MG per ML","morphine sulfate 25 mg per mL"
"647","MORPHINE SULFATE","active",12702,9117,"I","50","MG","","","N","ML","Historic Freeform Text: MORPHINE SULFATE",FALSE,"Y","MORPHINE","MORPHINE","50 MG per ML","morphine sulfate 50 mg per mL"
"648","DEXTROSE","active",12711,42,"I","3.3","G","","100","N","ML","Historic Freeform Text: DEXTROSE",FALSE,"","","DEXTROSE","3.3 G per 100 ML","dextrose 3.3 g per 100 mL"
"649","SODIUM CHLORIDE","active",12711,55,"I","300","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","300 MG per 100 ML","sodium chloride 300 mg per 100 mL"
"650","CHLORHEXIDINE GLUCONATE","active",12713,626,"I","4","%","","","N","%","Historic Freeform Text: CHLORHEXIDINE GLUCONATE",FALSE,"Y","CHLORHEXIDINE","CHLORHEXIDINE","4 %","chlorhexidine gluconate 4 %"
"651","DEXTROMETHORPHAN HYDROBROMIDE","active",12717,10247,"I","10","MG","","15","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","10 MG per 15 ML","dextromethorphan hydrobromide 10 mg per 15 mL"
"652","GUAIFENESIN","active",12717,9615,"I","100","MG","","15","N","ML","Historic Freeform Text: GUAIFENESIN",FALSE,"","","GUAIFENESIN","100 MG per 15 ML","guaifenesin 100 mg per 15 mL"
"653","DEXTROMETHORPHAN HYDROBROMIDE","active",12718,10247,"I","15","MG","","15","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 15 ML","dextromethorphan hydrobromide 15 mg per 15 mL"
"654","CHLORPHENIRAMINE MALEATE","active",12718,10259,"I","2","MG","","15","N","ML","Historic Freeform Text: CHLORPHENIRAMINE MALEATE",FALSE,"","","CHLORPHENIRAMINE MALEATE","2 MG per 15 ML","chlorpheniramine maleate 2 mg per 15 mL"
"655","PSEUDOEPHEDRINE HYDROCHLORIDE","active",12718,6492,"I","30","MG","","15","N","ML","Historic Freeform Text: PSEUDOEPHEDRINE HCL.",FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE","30 MG per 15 ML","pseudoephedrine hydrochloride 30 mg per 15 mL"
"656","DEXTROMETHORPHAN HYDROBROMIDE","active",12719,10247,"I","15","MG","","15","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 15 ML","dextromethorphan hydrobromide 15 mg per 15 mL"
"657","PSEUDOEPHEDRINE HYDROCHLORIDE","active",12719,6492,"I","30","MG","","15","N","ML","Historic Freeform Text: PSEUDOEPHEDRINE HCL.",FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE","30 MG per 15 ML","pseudoephedrine hydrochloride 30 mg per 15 mL"
"658","DEXTROMETHORPHAN HYDROBROMIDE","active",12720,10247,"I","15","MG","","15","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","15 MG per 15 ML","dextromethorphan hydrobromide 15 mg per 15 mL"
"659","DEXTROMETHORPHAN HYDROBROMIDE","active",12722,10247,"I","30","MG","","20","N","ML","Historic Freeform Text: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","30 MG per 20 ML","dextromethorphan hydrobromide 30 mg per 20 mL"
"660","CHLORPHENIRAMINE MALEATE","active",12722,10259,"I","4","MG","","20","N","ML","Historic Freeform Text: CHLORPHENIRAMINE MALEATE",FALSE,"","","CHLORPHENIRAMINE MALEATE","4 MG per 20 ML","chlorpheniramine maleate 4 mg per 20 mL"
"661","ACETAMINOPHEN","active",12722,270,"I","650","MG","","20","N","ML","Historic Freeform Text: ACETAMINOPHEN",FALSE,"Y","ACETAMINOPHEN","ACETAMINOPHEN","650 MG per 20 ML","acetaminophen 650 mg per 20 mL"
"662","PSEUDOEPHEDRINE HYDROCHLORIDE","active",12722,6492,"I","60","MG","","20","N","ML","Historic Freeform Text: PSEUDOEPHEDRINE HCL.",FALSE,"","","PSEUDOEPHEDRINE HYDROCHLORIDE","60 MG per 20 ML","pseudoephedrine hydrochloride 60 mg per 20 mL"
"663","DEXTROMETHORPHAN HYDROBROMIDE","active",12723,10247,"I","30","MG","","15","N","ML","HISTORIC FREEFORM TEXT: DEXTROMETHORPHAN HBR",FALSE,"","","DEXTROMETHORPHAN HYDROBROMIDE","30 MG per 15 ML","dextromethorphan hydrobromide 30 mg per 15 mL"
"664","MORPHINE SULFATE","active",12728,9117,"I","1","MG","","","N","ML","Historic Freeform Text: MORPHINE SULFATE",FALSE,"Y","MORPHINE","MORPHINE","1 MG per ML","morphine sulfate 1 mg per mL"
"665","SODIUM ACETATE","active",12741,10292,"I","370","MG","","100","N","ML","Historic Freeform Text: SODIUM ACETATE",FALSE,"","","SODIUM ACETATE","370 MG per 100 ML","sodium acetate 370 mg per 100 mL"
"666","MAGNESIUM CHLORIDE","active",12741,49,"I","30","MG","","100","N","ML","Historic Freeform Text: MAGNESIUM CHLORIDE",FALSE,"","","MAGNESIUM CHLORIDE","30 MG per 100 ML","magnesium chloride 30 mg per 100 mL"
"667","POTASSIUM CHLORIDE","active",12741,53,"I","37","MG","","100","N","ML","Historic Freeform Text: POTASSIUM CHLORIDE",FALSE,"","","POTASSIUM CHLORIDE","37 MG per 100 ML","potassium chloride 37 mg per 100 mL"
"668","SODIUM CHLORIDE","active",12741,55,"I","530","MG","","100","N","ML","Historic Freeform Text: SODIUM CHLORIDE",FALSE,"","","SODIUM CHLORIDE","530 MG per 100 ML","sodium chloride 530 mg per 100 mL"
"669","SODIUM GLUCONATE","active",12741,6787,"I","500","MG","","100","N","ML","Historic Freeform Text: SODIUM GLUCONATE",FALSE,"","","SODIUM GLUCONATE","500 MG per 100 ML","sodium gluconate 500 mg per 100 mL"
"670","DIPHENHYDRAMINE HYDROCHLORIDE","active",12743,182,"I","50","MG","","","N","","Historic Freeform Text: DIPHENHYDRAMINE HYDROCHLORIDE",FALSE,"","","DIPHENHYDRAMINE HYDROCHLORIDE","50 MG","diphenhydramine hydrochloride 50 mg"
"671","DOXYLAMINE SUCCINATE","active",12744,10224,"I","25","MG","","","N","","HISTORIC FREEFORM TEXT: DOXYLAMINE SUCCINATE",FALSE,"","","DOXYLAMINE SUCCINATE","25 MG","doxylamine succinate 25 mg"
"672","BETHANECHOL CHLORIDE","active",12745,5440,"I","25","MG","","","N","","Historic Freeform Text: BETHANECHOL CHLORIDE",FALSE,"","","BETHANECHOL CHLORIDE","25 MG","bethanechol chloride 25 mg"
"673","BETHANECHOL CHLORIDE","active",12746,5440,"I","10","MG","","","N","","Historic Freeform Text: BETHANECHOL CHLORIDE",FALSE,"","","BETHANECHOL CHLORIDE","10 MG","bethanechol chloride 10 mg"
"674","TESTOSTERONE ENANTHATE","active",1275,7486,"I","200","MG","","","N","ML","HISTORIC FREEFORM TEXT: TESTOSTERONE ENANTHATE",FALSE,"Y","TESTOSTERONE","TESTOSTERONE","200 MG per ML","testosterone enanthate 200 mg per mL"
