"formal_description_ntp","ccdd","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code","en_display","fr_display"
"chlorhexidine gluconate 4 % cutaneous gel",TRUE,2,FALSE,1992-12-31,9000511,NA,NA
"ciprofloxacin (ciprofloxacin hydrochloride) 0.3 % ophthalmic drops",TRUE,3,FALSE,1992-12-31,9000512,NA,NA
"clarithromycin 250 mg oral tablet",TRUE,9,FALSE,1992-12-31,9000513,NA,NA
"clobetasol propionate 0.05 % cutaneous cream",TRUE,7,FALSE,1992-12-31,9000514,NA,NA
"clobetasol propionate 0.05 % cutaneous ointment",TRUE,7,FALSE,1992-12-31,9000515,NA,NA
"clobetasol propionate 0.05 % lotion",TRUE,2,FALSE,1992-12-31,9000516,NA,NA
"dexamethasone 0.5 mg per 5 mL oral liquid",TRUE,1,FALSE,1992-12-31,9000517,NA,NA
"dextroamphetamine sulfate 10 mg prolonged-release oral capsule",TRUE,1,FALSE,1992-12-31,9000518,NA,NA
"dextroamphetamine sulfate 15 mg prolonged-release oral capsule",TRUE,1,FALSE,1992-12-31,9000519,NA,NA
"dextroamphetamine sulfate 5 mg oral tablet",TRUE,2,FALSE,1992-12-31,9000520,NA,NA
"diazepam 1 mg per mL oral solution",TRUE,1,FALSE,1992-12-31,9000521,NA,NA
"doxazosin (doxazosin mesylate) 1 mg oral tablet",TRUE,6,FALSE,1992-12-31,9000522,NA,NA
"doxazosin (doxazosin mesylate) 2 mg oral tablet",TRUE,6,FALSE,1992-12-31,9000523,NA,NA
"doxazosin (doxazosin mesylate) 4 mg oral tablet",TRUE,6,FALSE,1992-12-31,9000524,NA,NA
"ethinyl estradiol 0.035 mg and norgestimate 0.25 mg oral tablet",TRUE,2,FALSE,1992-12-31,9000525,NA,NA
"felodipine 10 mg prolonged-release oral tablet",TRUE,3,FALSE,1992-12-31,9000526,NA,NA
"felodipine 5 mg prolonged-release oral tablet",TRUE,3,FALSE,1992-12-31,9000527,NA,NA
"finasteride 5 mg oral tablet",TRUE,18,FALSE,1992-12-31,9000528,NA,NA
"hydrocortisone acetate 25 mg per g ophthalmic ointment",TRUE,1,FALSE,1992-12-31,9000529,NA,NA
"insulin injection human biosynthetic 30 unit per mL and insulin isophane human biosynthetic 70 unit per mL suspension for injection",TRUE,3,FALSE,1992-12-31,9000530,NA,NA
"insulin isophane human biosynthetic 100 unit per mL suspension for injection 3 mL cartridge",TRUE,2,FALSE,1992-12-31,9000531,NA,NA
"ketorolac tromethamine 0.5 % ophthalmic drops",TRUE,2,FALSE,1992-12-31,9000532,NA,NA
"lithium carbonate 600 mg oral capsule",TRUE,2,FALSE,1992-12-31,9000533,NA,NA
"medroxyprogesterone acetate 2.5 mg oral tablet",TRUE,4,FALSE,1992-12-31,9000534,NA,NA
"morphine sulfate 1 mg per mL solution for injection",TRUE,2,FALSE,1992-12-31,9000535,NA,NA
"morphine sulfate 2 mg per mL solution for injection",TRUE,3,FALSE,1992-12-31,9000536,NA,NA
"morphine sulfate 5 mg per 10 mL solution for injection ampoule",TRUE,2,FALSE,1992-12-31,9000537,NA,NA
"morphine sulfate 5 mg per 5 mL solution for injection ampoule",TRUE,2,FALSE,1992-12-31,9000538,NA,NA
"morphine sulfate 5 mg per mL solution for injection",TRUE,1,FALSE,1992-12-31,9000539,NA,NA
"nifedipine 30 mg prolonged-release oral tablet",TRUE,5,FALSE,1992-12-31,9000540,NA,NA
"nifedipine 60 mg prolonged-release oral tablet",TRUE,5,FALSE,1992-12-31,9000541,NA,NA
"phenytoin sodium 100 mg per 2 mL solution for injection vial",TRUE,2,FALSE,1992-12-31,9000542,NA,NA
"phenytoin sodium 250 mg per 5 mL solution for injection vial",TRUE,2,FALSE,1992-12-31,9000543,NA,NA
"prednisolone sodium phosphate 1 % ophthalmic drops",TRUE,1,FALSE,1992-12-31,9000544,NA,NA
"quinapril (quinapril hydrochloride) 10 mg oral tablet",TRUE,5,FALSE,1992-12-31,9000545,NA,NA
"quinapril (quinapril hydrochloride) 20 mg oral tablet",TRUE,5,FALSE,1992-12-31,9000546,NA,NA
"quinapril (quinapril hydrochloride) 40 mg oral tablet",TRUE,5,FALSE,1992-12-31,9000547,NA,NA
"quinapril (quinapril hydrochloride) 5 mg oral tablet",TRUE,5,FALSE,1992-12-31,9000548,NA,NA
"salbutamol (salbutamol sulfate) 2.5 mg per 2.5 mL inhalation solution unit dose vial",TRUE,4,FALSE,1992-12-31,9000549,NA,NA
"sertraline (sertraline hydrochloride) 100 mg oral capsule",TRUE,21,FALSE,1992-12-31,9000550,NA,NA
"sertraline (sertraline hydrochloride) 50 mg oral capsule",TRUE,21,FALSE,1992-12-31,9000551,NA,NA
"testosterone cypionate 200 mg per 2 mL solution for injection ampoule",TRUE,1,FALSE,1992-12-31,9000552,NA,NA
"testosterone propionate 100 mg per mL solution for injection",TRUE,1,FALSE,1992-12-31,9000553,NA,NA
"triamcinolone acetonide 0.1 % oromucosal paste",TRUE,1,FALSE,1992-12-31,9000554,NA,NA
"vitamin d3 10000 unit oral tablet",TRUE,1,FALSE,1992-12-31,9000555,NA,NA
"warfarin sodium 2.5 mg oral tablet",TRUE,3,FALSE,1992-12-31,9000556,NA,NA
"warfarin sodium 4 mg oral tablet",TRUE,3,FALSE,1992-12-31,9000557,NA,NA
"fluticasone propionate 50 mcg per actuation nasal spray",TRUE,4,FALSE,1993-03-12,9000558,NA,NA
"acetaminophen 325 mg per pck and pheniramine maleate 20 mg per pck and phenylephrine hydrochloride 10 mg per pck and vitamin c 50 mg per pck powder for oral solution",TRUE,2,FALSE,1993-12-30,9000559,NA,NA
"acetaminophen 160 mg chewable tablet",TRUE,7,FALSE,1993-12-31,9000560,NA,NA
"acetaminophen 160 mg oral tablet",TRUE,5,FALSE,1993-12-31,9000561,NA,NA
"acetaminophen 160 mg suppository",TRUE,2,FALSE,1993-12-31,9000562,NA,NA
"acetaminophen 325 mg and methocarbamol 400 mg oral tablet",TRUE,6,FALSE,1993-12-31,9000563,NA,NA
"acetaminophen 80 mg chewable tablet",TRUE,3,FALSE,1993-12-31,9000564,NA,NA
"acetylsalicylic acid 325 mg and caffeine 15 mg and codeine phosphate 8 mg oral tablet",TRUE,1,FALSE,1993-12-31,9000565,NA,NA
"acetylsalicylic acid 325 mg and caffeine 33 mg oral tablet",TRUE,1,FALSE,1993-12-31,9000566,NA,NA
"acyclovir 5 % cutaneous cream",TRUE,1,FALSE,1993-12-31,9000567,NA,NA
"alprazolam 1 mg oral tablet",TRUE,7,FALSE,1993-12-31,9000568,NA,NA
"alprazolam 2 mg oral tablet",TRUE,6,FALSE,1993-12-31,9000569,NA,NA
"amoxicillin 250 mg chewable tablet",TRUE,1,FALSE,1993-12-31,9000570,NA,NA
"articaine hydrochloride 40 mg per mL and epinephrine 0.01 mg per mL solution for injection",TRUE,1,FALSE,1993-12-31,9000571,NA,NA
"budesonide 100 mcg per actuation nasal powder",TRUE,1,FALSE,1993-12-31,9000572,NA,NA
"carbidopa 25 mg and levodopa 100 mg prolonged-release oral tablet",TRUE,3,FALSE,1993-12-31,9000573,NA,NA
"chlorhexidine acetate 10 % dental solution",TRUE,1,FALSE,1993-12-31,9000574,NA,NA
"chlorhexidine acetate 10 % NA",TRUE,1,FALSE,1993-12-31,9000575,NA,NA
"clonazepam 1 mg oral tablet",TRUE,7,FALSE,1993-12-31,9000576,NA,NA
"codeine phosphate 10 mg per 5 mL and guaifenesin 100 mg per 5 mL and pheniramine maleate 7.5 mg per 5 mL syrup",TRUE,2,FALSE,1993-12-31,9000577,NA,NA
"desogestrel 0.15 mg and ethinyl estradiol 0.03 mg oral tablet",TRUE,10,FALSE,1993-12-31,9000578,NA,NA
"diclofenac potassium 50 mg oral tablet",TRUE,7,FALSE,1993-12-31,9000579,NA,NA
"diclofenac sodium 50 mg and misoprostol 200 mcg oral tablet",TRUE,2,FALSE,1993-12-31,9000580,NA,NA
"domperidone (domperidone maleate) 10 mg oral tablet",TRUE,13,FALSE,1993-12-31,9000581,NA,NA
"enalapril maleate 10 mg oral tablet",TRUE,2,FALSE,1993-12-31,9000582,NA,NA
"enalapril maleate 20 mg oral tablet",TRUE,2,FALSE,1993-12-31,9000583,NA,NA
"enalapril maleate 2.5 mg oral tablet",TRUE,2,FALSE,1993-12-31,9000584,NA,NA
"enalapril maleate 5 mg oral tablet",TRUE,2,FALSE,1993-12-31,9000585,NA,NA
"ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and ethinyl estradiol 0.035 mg and norgestimate 0.18 mg and norgestimate 0.215 mg and norgestimate 0.25 mg oral tablet",TRUE,2,TRUE,1993-12-31,9000586,NA,NA
"fluoxetine (fluoxetine hydrochloride) 10 mg oral capsule",TRUE,23,FALSE,1993-12-31,9000587,NA,NA
"ibuprofen 200 mg and pseudoephedrine hydrochloride 30 mg oral tablet",TRUE,6,FALSE,1993-12-31,9000588,NA,NA
"indomethacin 100 mg suppository",TRUE,2,FALSE,1993-12-31,9000589,NA,NA
"insulin injection human biosynthetic 40 unit per mL and insulin isophane human biosynthetic 60 unit per mL suspension for injection",TRUE,1,FALSE,1993-12-31,9000590,NA,NA
"insulin injection human biosynthetic 50 unit per mL and insulin isophane human biosynthetic 50 unit per mL suspension for injection",TRUE,1,FALSE,1993-12-31,9000591,NA,NA
"insulin isophane human biosynthetic 100 unit per mL suspension for injection 10 mL vial",TRUE,1,FALSE,1993-12-31,9000592,NA,NA
"mesalazine 400 mg gastro-resistant tablet",TRUE,2,FALSE,1993-12-31,9000593,NA,NA
"metformin hydrochloride 500 mg oral tablet",TRUE,22,FALSE,1993-12-31,9000594,NA,NA
"morphine sulfate 100 mg prolonged-release oral capsule",TRUE,2,FALSE,1993-12-31,9000595,NA,NA
"morphine sulfate 100 mg prolonged-release oral tablet",TRUE,2,FALSE,1993-12-31,9000596,NA,NA
"morphine sulfate 10 mg prolonged-release oral capsule",TRUE,2,FALSE,1993-12-31,9000597,NA,NA
"morphine sulfate 15 mg prolonged-release oral tablet",TRUE,4,FALSE,1993-12-31,9000598,NA,NA
"morphine sulfate 200 mg prolonged-release oral tablet",TRUE,2,FALSE,1993-12-31,9000599,NA,NA
"morphine sulfate 30 mg prolonged-release oral capsule",TRUE,1,FALSE,1993-12-31,9000600,NA,NA
"morphine sulfate 30 mg prolonged-release oral tablet",TRUE,4,FALSE,1993-12-31,9000601,NA,NA
"morphine sulfate 60 mg prolonged-release oral capsule",TRUE,1,FALSE,1993-12-31,9000602,NA,NA
"morphine sulfate 60 mg prolonged-release oral tablet",TRUE,4,FALSE,1993-12-31,9000603,NA,NA
"naproxen 500 mg suppository",TRUE,1,FALSE,1993-12-31,9000604,NA,NA
"naproxen sodium 550 mg oral tablet",TRUE,5,FALSE,1993-12-31,9000605,NA,NA
"nitrofurantoin 100 mg oral capsule",TRUE,2,FALSE,1993-12-31,9000606,NA,NA
"nitroglycerin 160 mg per 40 sq cm transdermal patch",TRUE,1,FALSE,1993-12-31,9000607,NA,NA
"nitroglycerin 5 mg per mL solution for injection",TRUE,1,FALSE,1993-12-31,9000608,NA,NA
"paroxetine (paroxetine hydrochloride) 20 mg oral tablet",TRUE,14,FALSE,1993-12-31,9000609,NA,NA
"paroxetine (paroxetine hydrochloride) 30 mg oral tablet",TRUE,14,FALSE,1993-12-31,9000610,NA,NA
"polymyxin b (polymyxin b sulfate) 10000 unit per mL and trimethoprim (trimethoprim sulfate) 1 mg per mL ophthalmic drops",TRUE,1,FALSE,1993-12-31,9000611,NA,NA
"risperidone 1 mg oral tablet",TRUE,16,FALSE,1993-12-31,9000612,NA,NA
"risperidone 2 mg oral tablet",TRUE,16,FALSE,1993-12-31,9000613,NA,NA
"risperidone 3 mg oral tablet",TRUE,16,FALSE,1993-12-31,9000614,NA,NA
"risperidone 4 mg oral tablet",TRUE,16,FALSE,1993-12-31,9000615,NA,NA
"salbutamol (salbutamol sulfate) 1 mg per mL inhalation solution 10 mL bottle",TRUE,1,FALSE,1993-12-31,9000616,NA,NA
"terbinafine hydrochloride 1 % cutaneous cream",TRUE,1,FALSE,1993-12-31,9000617,NA,NA
"terbinafine (terbinafine hydrochloride) 250 mg oral tablet",TRUE,13,FALSE,1993-12-31,9000618,NA,NA
"trazodone hydrochloride 100 mg oral tablet",TRUE,8,FALSE,1993-12-31,9000619,NA,NA
"trazodone hydrochloride 50 mg oral tablet",TRUE,8,FALSE,1993-12-31,9000620,NA,NA
"triamcinolone acetonide 40 mg per mL suspension for injection",TRUE,2,FALSE,1993-12-31,9000621,NA,NA
"warfarin sodium 2 mg oral tablet",TRUE,3,FALSE,1993-12-31,9000622,NA,NA
"verapamil hydrochloride 180 mg prolonged-release oral tablet",TRUE,4,FALSE,1994-04-21,9000623,NA,NA
"acetaminophen 325 mg and chlorpheniramine maleate 2 mg and phenylephrine hydrochloride 5 mg oral tablet",TRUE,3,FALSE,1994-12-31,9000624,NA,NA
"acetaminophen 500 mg and chlorpheniramine maleate 2 mg and phenylephrine hydrochloride 5 mg oral tablet",TRUE,6,FALSE,1994-12-31,9000625,NA,NA
"acyclovir 200 mg oral tablet",TRUE,4,FALSE,1994-12-31,9000626,NA,NA
"acyclovir 400 mg oral tablet",TRUE,5,FALSE,1994-12-31,9000627,NA,NA
"acyclovir 800 mg oral tablet",TRUE,4,FALSE,1994-12-31,9000628,NA,NA
"amoxicillin 125 mg chewable tablet",TRUE,1,FALSE,1994-12-31,9000629,NA,NA
"amoxicillin 25 mg per mL granules for oral suspension",TRUE,1,FALSE,1994-12-31,9000630,NA,NA
"amoxicillin 50 mg per mL granules for oral suspension",TRUE,1,FALSE,1994-12-31,9000631,NA,NA
"articaine hydrochloride 40 mg per mL and epinephrine 5 mcg per mL solution for injection",TRUE,1,FALSE,1994-12-31,9000632,NA,NA
"articaine hydrochloride 40 mg per mL and epinephrine (epinephrine bitartrate) 0.005 mg per mL solution for injection",TRUE,3,FALSE,1994-12-31,9000633,NA,NA
"articaine hydrochloride 40 mg per mL and epinephrine (epinephrine bitartrate) 0.01 mg per mL solution for injection",TRUE,4,FALSE,1994-12-31,9000634,NA,NA
"atenolol 100 mg and chlorthalidone 25 mg oral tablet",TRUE,3,FALSE,1994-12-31,9000635,NA,NA
"baclofen 0.05 mg per 1 mL solution for injection ampoule",TRUE,2,FALSE,1994-12-31,9000636,NA,NA
"baclofen 10 mg per 20 mL solution for injection ampoule",TRUE,2,FALSE,1994-12-31,9000637,NA,NA
"baclofen 10 mg per 5 mL solution for injection ampoule",TRUE,2,FALSE,1994-12-31,9000638,NA,NA
"biotin 12 mcg per mL and dexpanthenol 3 mg per mL and folic acid 80 mcg per mL and nicotinamide 8 mg per mL and pyridoxine hydrochloride 0.8 mg per mL and vitamin a 660 unit per mL and vitamin b12 (vitamin b12) 1 mcg per mL and vitamin b1 (thiamine hydrochloride) 0.6 mg per mL and vitamin b2 (riboflavin-5-phosphate) 0.72 mg per mL and vitamin c 20 mg per mL and vitamin d 40 unit per mL and vitamin e 2 unit per mL solution for injection",TRUE,1,FALSE,1994-12-31,9000639,NA,NA
"budesonide 2.3 mg and sodium chloride 115 mL NA",TRUE,1,FALSE,1994-12-31,9000640,NA,NA
"budesonide 2.3 mg and sodium chloride 115 mL rectal liquid",TRUE,1,FALSE,1994-12-31,9000641,NA,NA
"bupivacaine hydrochloride 2.5 mg per mL and epinephrine (epinephrine bitartrate) 5 mcg per mL solution for injection",TRUE,1,FALSE,1994-12-31,9000642,NA,NA
"bupivacaine hydrochloride 5 mg per mL and epinephrine (epinephrine bitartrate) 5 mcg per mL solution for injection",TRUE,1,FALSE,1994-12-31,9000643,NA,NA
"chlorhexidine gluconate 0.5 % and isopropyl alcohol 70 % wipe",TRUE,1,FALSE,1994-12-31,9000644,NA,NA
"chlorhexidine gluconate 20 % cutaneous solution",TRUE,1,FALSE,1994-12-31,9000645,NA,NA
"clarithromycin 500 mg oral tablet",TRUE,11,FALSE,1994-12-31,9000646,NA,NA
"clindamycin (clindamycin phosphate) 20 mg per g vaginal cream",TRUE,1,FALSE,1994-12-31,9000647,NA,NA
"codeine phosphate 10 mg per 5 mL and guaifenesin 100 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL and triprolidine hydrochloride 2 mg per 5 mL syrup",TRUE,1,FALSE,1994-12-31,9000648,NA,NA
"conjugated estrogens 0.625 mg per g vaginal cream",TRUE,1,FALSE,1994-12-31,9000649,NA,NA
"conjugated estrogens 25 mg per vial powder for solution for injection",TRUE,1,FALSE,1994-12-31,9000650,NA,NA
"cyclobenzaprine hydrochloride 10 mg oral tablet",TRUE,12,FALSE,1994-12-31,9000651,NA,NA
"dexamethasone 1 mg per g and neomycin sulfate 3.5 mg per g and polymyxin b sulfate 10000 unit per g ophthalmic ointment",TRUE,1,FALSE,1994-12-31,9000652,NA,NA
"dexamethasone 1 mg per mL and neomycin (neomycin sulfate) 3.5 mg per mL and polymyxin b sulfate 10000 unit per mL ophthalmic drops",TRUE,1,FALSE,1994-12-31,9000653,NA,NA
"dexamethasone sodium phosphate 0.1 % ophthalmic drops",TRUE,1,FALSE,1994-12-31,9000654,NA,NA
"dexamethasone sodium phosphate 0.1 % otic drops",TRUE,1,FALSE,1994-12-31,9000655,NA,NA
"digoxin 0.05 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,1994-12-31,9000656,NA,NA
"digoxin 0.5 mg per 2 mL solution for injection ampoule",TRUE,1,FALSE,1994-12-31,9000657,NA,NA
"felodipine 2.5 mg prolonged-release oral tablet",TRUE,2,FALSE,1994-12-31,9000658,NA,NA
"framycetin sulfate 1 % dressing",TRUE,2,FALSE,1994-12-31,9000659,NA,NA
"gabapentin 100 mg oral capsule",TRUE,19,FALSE,1994-12-31,9000660,NA,NA
"gabapentin 300 mg oral capsule",TRUE,20,FALSE,1994-12-31,9000661,NA,NA
"gabapentin 400 mg oral capsule",TRUE,20,FALSE,1994-12-31,9000662,NA,NA
"haloperidol (haloperidol decanoate) 100 mg per 1 mL solution for injection ampoule",TRUE,1,FALSE,1994-12-31,9000663,NA,NA
"haloperidol (haloperidol decanoate) 250 mg per 5 mL solution for injection vial",TRUE,2,FALSE,1994-12-31,9000664,NA,NA
"haloperidol (haloperidol decanoate) 500 mg per 5 mL solution for injection vial",TRUE,2,FALSE,1994-12-31,9000665,NA,NA
"hydrochlorothiazide 12.5 mg and lisinopril 10 mg oral tablet",TRUE,6,FALSE,1994-12-31,9000666,NA,NA
"hydrochlorothiazide 12.5 mg and lisinopril 20 mg oral tablet",TRUE,6,FALSE,1994-12-31,9000667,NA,NA
"hydrocortisone (hydrocortisone acetate) 1 % and pramoxine hydrochloride 1 % lotion",TRUE,1,FALSE,1994-12-31,9000668,NA,NA
"ipratropium bromide 250 mcg per mL inhalation solution 20 mL bottle",TRUE,2,FALSE,1994-12-31,9000669,NA,NA
"isosorbide-5-mononitrate 60 mg prolonged-release oral tablet",TRUE,5,FALSE,1994-12-31,9000670,NA,NA
"lisinopril 5 mg oral tablet",TRUE,15,FALSE,1994-12-31,9000671,NA,NA
"lithium (lithium citrate) 8 mmol per 5 mL syrup",TRUE,1,FALSE,1994-12-31,9000672,NA,NA
"lorazepam 1 mg sublingual tablet",TRUE,2,FALSE,1994-12-31,9000673,NA,NA
"lorazepam 2 mg sublingual tablet",TRUE,2,FALSE,1994-12-31,9000674,NA,NA
"mesalazine 500 mg prolonged-release oral tablet",TRUE,1,FALSE,1994-12-31,9000675,NA,NA
"metronidazole 0.75 % cutaneous gel",TRUE,1,FALSE,1994-12-31,9000676,NA,NA
"metronidazole 0.75 % vaginal gel",TRUE,1,FALSE,1994-12-31,9000677,NA,NA
"minocycline (minocycline hydrochloride) 100 mg oral capsule",TRUE,10,FALSE,1994-12-31,9000678,NA,NA
"minocycline (minocycline hydrochloride) 50 mg oral capsule",TRUE,9,FALSE,1994-12-31,9000679,NA,NA
"nitroglycerin 75 mg transdermal patch",TRUE,1,FALSE,1994-12-31,9000680,NA,NA
"perindopril erbumine 2 mg oral tablet",TRUE,1,FALSE,1994-12-31,9000681,NA,NA
"perindopril erbumine 4 mg oral tablet",TRUE,1,FALSE,1994-12-31,9000682,NA,NA
"prednisolone acetate 0.5 % and sulfacetamide sodium 10 % ophthalmic drops",TRUE,1,FALSE,1994-12-31,9000683,NA,NA
"prednisolone acetate 5 mg per g and sulfacetamide sodium 100 mg per g cutaneous ointment",TRUE,1,FALSE,1994-12-31,9000684,NA,NA
"prednisolone acetate 5 mg per g and sulfacetamide sodium 100 mg per g ophthalmic ointment",TRUE,1,FALSE,1994-12-31,9000685,NA,NA
"propranolol hydrochloride 120 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000686,NA,NA
"propranolol hydrochloride 160 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000687,NA,NA
"propranolol hydrochloride 80 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000688,NA,NA
"salbutamol (salbutamol sulfate) 5 mg per mL oral solution 10 mL bottle",TRUE,2,FALSE,1994-12-31,9000689,NA,NA
"simvastatin 20 mg oral tablet",TRUE,21,FALSE,1994-12-31,9000690,NA,NA
"verapamil hydrochloride 10 mg per 4 mL solution for injection ampoule",TRUE,1,FALSE,1994-12-31,9000691,NA,NA
"verapamil hydrochloride 10 mg per 4 mL solution for injection vial",TRUE,1,FALSE,1994-12-31,9000692,NA,NA
"verapamil hydrochloride 120 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000693,NA,NA
"verapamil hydrochloride 180 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000694,NA,NA
"verapamil hydrochloride 240 mg prolonged-release oral capsule",TRUE,1,FALSE,1994-12-31,9000695,NA,NA
"verapamil hydrochloride 5 mg per 2 mL solution for injection vial",TRUE,2,FALSE,1994-12-31,9000696,NA,NA
"acebutolol (acebutolol hydrochloride) 400 mg oral tablet",TRUE,6,FALSE,1995-12-31,9000697,NA,NA
"acetaminophen 500 mg and chlorpheniramine maleate 2 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg oral tablet",TRUE,4,FALSE,1995-12-31,9000698,NA,NA
"acetaminophen 500 mg and dextromethorphan hydrobromide 15 mg and pseudoephedrine hydrochloride 30 mg oral tablet",TRUE,5,FALSE,1995-12-31,9000699,NA,NA
"atenolol 50 mg and chlorthalidone 25 mg oral tablet",TRUE,3,FALSE,1995-12-31,9000700,NA,NA
"beclomethasone dipropionate 50 mcg per actuation nasal spray",TRUE,3,FALSE,1995-12-31,9000701,NA,NA
"benzalkonium chloride 0.13 % and lidocaine hydrochloride 2.5 % cutaneous spray",TRUE,1,FALSE,1995-12-31,9000702,NA,NA
"bromazepam 1.5 mg oral tablet",TRUE,1,FALSE,1995-12-31,9000703,NA,NA
"cefprozil 125 mg per 5 mL powder for oral suspension",TRUE,4,FALSE,1995-12-31,9000704,NA,NA
"cefprozil 250 mg oral tablet",TRUE,5,FALSE,1995-12-31,9000705,NA,NA
"cefprozil 250 mg per 5 mL powder for oral suspension",TRUE,4,FALSE,1995-12-31,9000706,NA,NA
"cefprozil 500 mg oral tablet",TRUE,5,FALSE,1995-12-31,9000707,NA,NA
"cephalexin 125 mg per 5 mL oral suspension",TRUE,2,FALSE,1995-12-31,9000708,NA,NA
"cephalexin 250 mg per 5 mL oral suspension",TRUE,2,FALSE,1995-12-31,9000709,NA,NA
"chlorhexidine gluconate 0.5 % and isopropyl alcohol 70 % cutaneous solution",TRUE,1,FALSE,1995-12-31,9000710,NA,NA
"chlorhexidine gluconate 0.5 % and isopropyl alcohol 70 % medicated sponge",TRUE,1,FALSE,1995-12-31,9000711,NA,NA
"chlorhexidine gluconate 0.5 mg per mL cutaneous liquid",TRUE,1,FALSE,1995-12-31,9000712,NA,NA
"clarithromycin 125 mg per 5 mL granules for oral suspension",TRUE,3,FALSE,1995-12-31,9000713,NA,NA
"clindamycin (clindamycin hydrochloride) 300 mg oral capsule",TRUE,6,FALSE,1995-12-31,9000714,NA,NA
"clonazepam 0.25 mg oral tablet",TRUE,2,FALSE,1995-12-31,9000715,NA,NA
"codeine (codeine monohydrate, codeine sulfate trihydrate) 100 mg prolonged-release oral tablet",TRUE,1,FALSE,1995-12-31,9000716,NA,NA
"codeine (codeine monohydrate, codeine sulfate trihydrate) 150 mg prolonged-release oral tablet",TRUE,1,FALSE,1995-12-31,9000717,NA,NA
"codeine (codeine monohydrate, codeine sulfate trihydrate) 200 mg prolonged-release oral tablet",TRUE,1,FALSE,1995-12-31,9000718,NA,NA
"codeine phosphate 3.3 mg per 5 mL and guaifenesin 100 mg per 5 mL and pseudoephedrine hydrochloride 30 mg per 5 mL syrup",TRUE,2,FALSE,1995-12-31,9000719,NA,NA
"dextrose 5 g per 100 mL and nitroglycerin 20 mg per 100 mL solution for injection",TRUE,1,FALSE,1995-12-31,9000720,NA,NA
"dextrose 5 g per 100 mL and nitroglycerin 40 mg per 100 mL solution for injection",TRUE,1,FALSE,1995-12-31,9000721,NA,NA
"diltiazem hydrochloride 120 mg prolonged-release oral capsule",TRUE,12,FALSE,1995-12-31,9000722,NA,NA
"diltiazem hydrochloride 180 mg prolonged-release oral capsule",TRUE,11,FALSE,1995-12-31,9000723,NA,NA
"diltiazem hydrochloride 240 mg prolonged-release oral capsule",TRUE,11,FALSE,1995-12-31,9000724,NA,NA
"diltiazem hydrochloride 300 mg prolonged-release oral capsule",TRUE,11,FALSE,1995-12-31,9000725,NA,NA
"estradiol 1 mg oral tablet",TRUE,2,FALSE,1995-12-31,9000726,NA,NA
"estradiol 2 mg oral tablet",TRUE,2,FALSE,1995-12-31,9000727,NA,NA
"estradiol 2 mg ring (slow release)",TRUE,1,FALSE,1995-12-31,9000728,NA,NA
"ethinyl estradiol 30 mcg and levonorgestrel 150 mcg oral tablet",TRUE,4,FALSE,1995-12-31,9000729,NA,NA
"hydrochlorothiazide 25 mg and lisinopril 20 mg oral tablet",TRUE,6,FALSE,1995-12-31,9000730,NA,NA
"hydrocortisone 100 mg per 60 mL rectal liquid",TRUE,1,FALSE,1995-12-31,9000731,NA,NA
"hydrocortisone acetate 0.5 % and zinc sulfate 0.5 % cutaneous ointment",TRUE,3,FALSE,1995-12-31,9000732,NA,NA
"hydromorphone hydrochloride 100 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9000733,NA,NA
"hydromorphone hydrochloride 20 mg per mL solution for injection",TRUE,1,FALSE,1995-12-31,9000734,NA,NA
"hydromorphone hydrochloride 2500 mg per 50 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9000735,NA,NA
"hydromorphone hydrochloride 250 mg per 5 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9000736,NA,NA
"hydromorphone hydrochloride 3 mg prolonged-release oral capsule",TRUE,1,FALSE,1995-12-31,9000737,NA,NA
"hydromorphone hydrochloride 500 mg per 10 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9000738,NA,NA
"hydromorphone hydrochloride 50 mg per 1 mL solution for injection vial",TRUE,1,FALSE,1995-12-31,9000739,NA,NA
"hydromorphone hydrochloride 6 mg prolonged-release oral capsule",TRUE,1,FALSE,1995-12-31,9000740,NA,NA
"indapamide 1.25 mg oral tablet",TRUE,10,FALSE,1995-12-31,9000741,NA,NA
"ipratropium bromide 21 mcg per actuation nasal spray",TRUE,1,FALSE,1995-12-31,9000742,NA,NA
"ipratropium bromide 250 mcg per mL inhalation solution",TRUE,1,FALSE,1995-12-31,9000743,NA,NA
"ketorolac tromethamine 10 mg oral tablet",TRUE,2,FALSE,1995-12-31,9000744,NA,NA
"lamotrigine 100 mg oral tablet",TRUE,9,FALSE,1995-12-31,9000745,NA,NA
