"","dpd_ingredient","active_ingredient_code","basis_of_strength_ing","precise_ing","ccdd","top250name","ing_stem","hydrate","ntp_ing"
"341","VITAMIN A",704,"VITAMIN A","VITAMIN A","","","VITAMIN A",FALSE,"vitamin a"
"342","Nonacog Gamma",22522,"Nonacog Gamma","Nonacog Gamma","","","Nonacog Gamma",FALSE,"nonacog gamma"
"343","CHLOROXYLENOL",774,"CHLOROXYLENOL","CHLOROXYLENOL","","","CHLOROXYLENOL",FALSE,"chloroxylenol"
"344","MIFEPRISTONE",22628,"MIFEPRISTONE","MIFEPRISTONE","","","MIFEPRISTONE",FALSE,"mifepristone"
"345","TETRACYCLINE HYDROCHLORIDE",8683,"TETRACYCLINE HYDROCHLORIDE","TETRACYCLINE HYDROCHLORIDE","","","TETRACYCLINE HYDROCHLORIDE",FALSE,"tetracycline hydrochloride"
"346","COBIMETINIB (COBIMETINIB FUMARATE)",22695,"COBIMETINIB","COBIMETINIB FUMARATE","","","COBIMETINIB (COBIMETINIB FUMARATE)",FALSE,"cobimetinib (cobimetinib fumarate)"
"347","CHLORPROPAMIDE",9406,"CHLORPROPAMIDE","CHLORPROPAMIDE","","","CHLORPROPAMIDE",FALSE,"chlorpropamide"
"348","BENZOIN",6950,"BENZOIN","BENZOIN","","","BENZOIN",FALSE,"benzoin"
"349","MELPHALAN",9872,"MELPHALAN","MELPHALAN",NA,NA,NA,NA,NA
"350","NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)",7393,"NOREPINEPHRINE","NOREPINEPHRINE BITARTRATE","","","NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)",FALSE,"norepinephrine (norepinephrine bitartrate)"
"351","EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)",8926,"EPINEPHRINE","EPINEPHRINE HYDROCHLORIDE","Y","EPINEPHRINE","EPINEPHRINE",FALSE,"epinephrine (epinephrine hydrochloride)"
"352","NEOSTIGMINE BROMIDE",6291,"NEOSTIGMINE BROMIDE","NEOSTIGMINE BROMIDE","","","NEOSTIGMINE BROMIDE",FALSE,"neostigmine bromide"
"353","DANAPAROID SODIUM",285,"DANAPAROID SODIUM","DANAPAROID SODIUM","","","DANAPAROID SODIUM",FALSE,"danaparoid sodium"
"354","ATAZANAVIR (ATAZANAVIR SULFATE)",13026,"ATAZANAVIR","ATAZANAVIR SULFATE","","","ATAZANAVIR (ATAZANAVIR SULFATE)",FALSE,"atazanavir (atazanavir sulfate)"
"355","GLUCAGON (RECOMBINANT DNA ORIGIN)",12072,"GLUCAGON","RECOMBINANT DNA ORIGIN","","","GLUCAGON (RECOMBINANT DNA ORIGIN)",FALSE,"glucagon (recombinant dna origin)"
"356","OXYTOCIN",7375,"OXYTOCIN","OXYTOCIN","","","OXYTOCIN",FALSE,"oxytocin"
"357","AZTREONAM",8325,"AZTREONAM","AZTREONAM","","","AZTREONAM",FALSE,"aztreonam"
"358","PERMETHRIN",1313,"PERMETHRIN","PERMETHRIN","","","PERMETHRIN",FALSE,"permethrin"
"359","NORFLOXACIN",1838,"NORFLOXACIN","NORFLOXACIN","","","NORFLOXACIN",FALSE,"norfloxacin"
"360","CANDESARTAN CILEXETIL",11814,"CANDESARTAN CILEXETIL","CANDESARTAN CILEXETIL","Y","CANDESARTAN CILEXETIL","CANDESARTAN",FALSE,"candesartan cilexetil"
"361","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)",7961,"TRIMEPRAZINE","TRIMEPRAZINE TARTRATE","","","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)",FALSE,"trimeprazine (trimeprazine tartrate)"
"362","TROPICAMIDE",5843,"TROPICAMIDE","TROPICAMIDE","","","TROPICAMIDE",FALSE,"tropicamide"
"363","FLUOROURACIL",6311,"FLUOROURACIL","FLUOROURACIL","","","FLUOROURACIL",FALSE,"fluorouracil"
"364","CYCLOBENZAPRINE HYDROCHLORIDE",2143,"CYCLOBENZAPRINE HYDROCHLORIDE","CYCLOBENZAPRINE HYDROCHLORIDE","Y","CYCLOBENZAPRINE","CYCLOBENZAPRINE",FALSE,"cyclobenzaprine hydrochloride"
"365","HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)",7746,"HEPATITIS B SURFACE ANTIGEN","RECOMBINANT","","","HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)",FALSE,"hepatitis b surface antigen (recombinant)"
"366","FLUOXETINE (FLUOXETINE HYDROCHLORIDE)",11130,"FLUOXETINE","FLUOXETINE HYDROCHLORIDE","Y","FLUOXETINE","FLUOXETINE",FALSE,"fluoxetine (fluoxetine hydrochloride)"
"367","SULFAMETHOXAZOLE",8174,"SULFAMETHOXAZOLE","SULFAMETHOXAZOLE","","","SULFAMETHOXAZOLE",FALSE,"sulfamethoxazole"
"368","BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)",7610,"BETAMETHASONE","BETAMETHASONE 21-DISODIUM PHOSPHATE","Y","BETAMETHASONE","BETAMETHASONE (BASE)",FALSE,"betamethasone (betamethasone 21-disodium phosphate)"
"369","LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE)",11705,"LEVOFLOXACIN","LEVOFLOXACIN HEMIHYDRATE","Y","LEVOFLOXACIN","LEVOFLOXACIN",TRUE,"levofloxacin"
"370","SPIRONOLACTONE",7408,"SPIRONOLACTONE","SPIRONOLACTONE","Y","SPIRONOLACTONE","SPIRONOLACTONE",FALSE,"spironolactone"
"371","BENZETHONIUM CHLORIDE",783,"BENZETHONIUM CHLORIDE","BENZETHONIUM CHLORIDE","","","BENZETHONIUM CHLORIDE",FALSE,"benzethonium chloride"
"372","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)",11169,"VITAMIN B6","PYRIDOXINE HYDROCHLORIDE","","","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)",FALSE,"vitamin b6 (pyridoxine hydrochloride)"
"373","TRIPTORELIN (TRIPTORELIN PAMOATE)",11874,"TRIPTORELIN","TRIPTORELIN PAMOATE","","","TRIPTORELIN (TRIPTORELIN PAMOATE)",FALSE,"triptorelin (triptorelin pamoate)"
"374","CALCIUM POLYSTYRENE SULFONATE",2089,"CALCIUM POLYSTYRENE SULFONATE","CALCIUM POLYSTYRENE SULFONATE","","","CALCIUM POLYSTYRENE SULFONATE",FALSE,"calcium polystyrene sulfonate"
"375","ALPROSTADIL",7335,"ALPROSTADIL","ALPROSTADIL","","","ALPROSTADIL",FALSE,"alprostadil"
"376","IDARUBICIN HYDROCHLORIDE",1745,"IDARUBICIN HYDROCHLORIDE","IDARUBICIN HYDROCHLORIDE","","","IDARUBICIN HYDROCHLORIDE",FALSE,"idarubicin hydrochloride"
"377","NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE)",11121,"NORTRIPTYLINE","NORTRIPTYLINE HYDROCHLORIDE","Y","NORTRIPTYLINE","NORTRIPTYLINE",FALSE,"nortriptyline (nortriptyline hydrochloride)"
"378","ALISKIREN (ALISKIREN FUMARATE)",20175,"ALISKIREN","ALISKIREN FUMARATE","","","ALISKIREN (ALISKIREN FUMARATE)",FALSE,"aliskiren (aliskiren fumarate)"
"379","PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE)",7954,"PROMETHAZINE","PROMETHAZINE HYDROCHLORIDE","","","PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE)",FALSE,"promethazine (promethazine hydrochloride)"
"380","MEROPENEM (MEROPENEM TRIHYDRATE)",41,"MEROPENEM","MEROPENEM TRIHYDRATE","","","MEROPENEM (MEROPENEM TRIHYDRATE)",TRUE,"meropenem (meropenem trihydrate)"
"381","CARFILZOMIB",22678,"CARFILZOMIB","CARFILZOMIB","","","CARFILZOMIB",FALSE,"carfilzomib"
"382","FENTANYL (FENTANYL CITRATE)",10075,"FENTANYL","FENTANYL CITRATE","Y","FENTANYL","FENTANYL",FALSE,"fentanyl (fentanyl citrate)"
"383","L-PROLINE",935,"L-PROLINE","L-PROLINE","","","L-PROLINE",FALSE,"l-proline"
"384","SIMETHICONE",719,"SIMETHICONE","SIMETHICONE","","","SIMETHICONE",FALSE,"simethicone"
"385","GLYCEROL PHENYLBUTYRATE",22705,"GLYCEROL PHENYLBUTYRATE","GLYCEROL PHENYLBUTYRATE","","","GLYCEROL PHENYLBUTYRATE",FALSE,"glycerol phenylbutyrate"
"386","ENTECAVIR",13030,"ENTECAVIR","ENTECAVIR","","","ENTECAVIR",FALSE,"entecavir"
"387","SULINDAC",2126,"SULINDAC","SULINDAC","","","SULINDAC",FALSE,"sulindac"
"388","FLUOROMETHOLONE",7576,"FLUOROMETHOLONE","FLUOROMETHOLONE","","","FLUOROMETHOLONE",FALSE,"fluorometholone"
"389","MENOTROPINS",7369,"MENOTROPINS","MENOTROPINS","","","MENOTROPINS",FALSE,"menotropins"
"390","PROGUANIL HYDROCHLORIDE",11782,"PROGUANIL HYDROCHLORIDE","PROGUANIL HYDROCHLORIDE","","","PROGUANIL HYDROCHLORIDE",FALSE,"proguanil hydrochloride"
"391","METHOTREXATE (METHOTREXATE DISODIUM)",5900,"METHOTREXATE","METHOTREXATE DISODIUM",NA,NA,NA,NA,NA
"392","GANIRELIX (GANIRELIX ACETATE)",12713,"GANIRELIX","GANIRELIX ACETATE","","","GANIRELIX (GANIRELIX ACETATE)",FALSE,"ganirelix (ganirelix acetate)"
"393","L-ISOLEUCINE",944,"L-ISOLEUCINE","L-ISOLEUCINE","","","L-ISOLEUCINE",FALSE,"l-isoleucine"
"394","COAGULATION FACTOR IX (RECOMBINANT)",11417,"COAGULATION FACTOR IX","RECOMBINANT","","","COAGULATION FACTOR IX (RECOMBINANT)",FALSE,"coagulation factor ix (recombinant)"
"395","BRENTUXIMAB VEDOTIN",21796,"BRENTUXIMAB VEDOTIN","BRENTUXIMAB VEDOTIN","","","BRENTUXIMAB VEDOTIN",FALSE,"brentuximab vedotin"
"396","STANDARDIZED MEADOW FESCUE GRASS POLLEN",4486,"STANDARDIZED MEADOW FESCUE GRASS POLLEN","STANDARDIZED MEADOW FESCUE GRASS POLLEN","","","STANDARDIZED MEADOW FESCUE GRASS POLLEN",FALSE,"standardized meadow fescue grass pollen"
"397","IPRATROPIUM BROMIDE",1945,"IPRATROPIUM BROMIDE","IPRATROPIUM BROMIDE","Y","IPRATROPIUM","IPRATROPIUM",FALSE,"ipratropium bromide"
"398","VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)",11171,"VITAMIN B2","RIBOFLAVIN-5-PHOSPHATE","","","VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)",FALSE,"vitamin b2 (riboflavin-5-phosphate)"
"399","BRONOPOL",3975,"BRONOPOL","BRONOPOL","","","BRONOPOL",FALSE,"bronopol"
"400","TERBINAFINE HYDROCHLORIDE",707,"TERBINAFINE HYDROCHLORIDE","TERBINAFINE HYDROCHLORIDE","Y","TERBINAFINE","TERBINAFINE",FALSE,"terbinafine hydrochloride"
"401","TESTOSTERONE PROPIONATE",7488,"TESTOSTERONE PROPIONATE","TESTOSTERONE PROPIONATE","Y","TESTOSTERONE","TESTOSTERONE",FALSE,"testosterone propionate"
"402","HAMAMELIS VIRGINIANA",6854,"HAMAMELIS VIRGINIANA","HAMAMELIS VIRGINIANA","","","HAMAMELIS VIRGINIANA",FALSE,"hamamelis virginiana"
"403","TETANUS TOXOID ADSORBED",7934,"TETANUS TOXOID ADSORBED","TETANUS TOXOID ADSORBED","","","TETANUS TOXOID ADSORBED",FALSE,"tetanus toxoid adsorbed"
"404","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)",11229,"FLUNARIZINE","FLUNARIZINE HYDROCHLORIDE","","","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)",FALSE,"flunarizine (flunarizine hydrochloride)"
"405","MEROPENEM",41,"MEROPENEM","MEROPENEM","","","MEROPENEM",FALSE,"meropenem"
"406","VITAMIN C (SODIUM ASCORBATE)",646,"VITAMIN C","SODIUM ASCORBATE","","","VITAMIN C (SODIUM ASCORBATE)",FALSE,"vitamin c (sodium ascorbate)"
"407","TRICLOSAN",2813,"TRICLOSAN","TRICLOSAN","","","TRICLOSAN",FALSE,"triclosan"
"408","FOLLITROPIN BETA",11463,"FOLLITROPIN BETA","FOLLITROPIN BETA","","","FOLLITROPIN BETA",FALSE,"follitropin beta"
"409","CILAZAPRIL",951,"CILAZAPRIL","CILAZAPRIL","","","CILAZAPRIL",FALSE,"cilazapril"
"410","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)",11516,"ROPINIROLE","ROPINIROLE HYDROCHLORIDE","","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)",FALSE,"ropinirole (ropinirole hydrochloride)"
"411","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)",13346,"ELETRIPTAN","ELETRIPTAN HYDROBROMIDE","","","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)",FALSE,"eletriptan (eletriptan hydrobromide)"
"412","PASIREOTIDE (Pasireotide diaspartate)",22149,"PASIREOTIDE","Pasireotide diaspartate","","","PASIREOTIDE (Pasireotide diaspartate)",FALSE,"pasireotide (pasireotide diaspartate)"
"413","LENVATINIB (LENVATINIB MESYLATE)",22675,"LENVATINIB","LENVATINIB MESYLATE","","","LENVATINIB (LENVATINIB MESYLATE)",FALSE,"lenvatinib (lenvatinib mesylate)"
"414","CICLESONIDE",19961,"CICLESONIDE","CICLESONIDE","Y","CICLESONIDE","CICLESONIDE",FALSE,"ciclesonide"
"415","ALGLUCOSIDASE ALFA",19883,"ALGLUCOSIDASE ALFA","ALGLUCOSIDASE ALFA","","","ALGLUCOSIDASE ALFA",FALSE,"alglucosidase alfa"
"416","POLYCARBOPHIL (CALCIUM POLYCARBOPHIL)",6584,"POLYCARBOPHIL","CALCIUM POLYCARBOPHIL","","","POLYCARBOPHIL (CALCIUM POLYCARBOPHIL)",FALSE,"polycarbophil (calcium polycarbophil)"
"417","GLUTATHIONE DISULFIDE",1951,"GLUTATHIONE DISULFIDE","GLUTATHIONE DISULFIDE","","","GLUTATHIONE DISULFIDE",FALSE,"glutathione disulfide"
"418","DROMETRIZOLE TRISILOXANE",19130,"DROMETRIZOLE TRISILOXANE","DROMETRIZOLE TRISILOXANE","","","DROMETRIZOLE TRISILOXANE",FALSE,"drometrizole trisiloxane"
"419","Dimethyl Fumarate",22048,"Dimethyl Fumarate","Dimethyl Fumarate","","","Dimethyl Fumarate",FALSE,"dimethyl fumarate"
"420","ALUMINUM CHLOROHYDRATE",6984,"ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE","","","ALUMINUM CHLOROHYDRATE",TRUE,"aluminum chlorohydrate"
"421","SALICYLIC ACID",9766,"SALICYLIC ACID","SALICYLIC ACID","","","SALICYLIC ACID",FALSE,"salicylic acid"
"422","CEFEPIME (CEFEPIME HYDROCHLORIDE)",11359,"CEFEPIME","CEFEPIME HYDROCHLORIDE","","","CEFEPIME (CEFEPIME HYDROCHLORIDE)",FALSE,"cefepime (cefepime hydrochloride)"
"423","IBUTILIDE FUMARATE",12005,"IBUTILIDE FUMARATE","IBUTILIDE FUMARATE",NA,NA,NA,NA,NA
"424","NIVOLUMAB",22643,"NIVOLUMAB","NIVOLUMAB","","","NIVOLUMAB",FALSE,"nivolumab"
"425","DEXTROAMPHETAMINE SULFATE",8298,"DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE SULFATE","Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE",FALSE,"dextroamphetamine sulfate"
"426","GLYCINE",8865,"GLYCINE","GLYCINE","","","GLYCINE",FALSE,"glycine"
"427","DESMOPRESSIN (DESMOPRESSIN ACETATE)",19910,"DESMOPRESSIN","DESMOPRESSIN ACETATE","","","DESMOPRESSIN (DESMOPRESSIN ACETATE)",FALSE,"desmopressin (desmopressin acetate)"
"428","THYROTROPIN ALFA",12790,"THYROTROPIN ALFA","THYROTROPIN ALFA","","","THYROTROPIN ALFA",FALSE,"thyrotropin alfa"
"429","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)",11161,"QUINAPRIL","QUINAPRIL HYDROCHLORIDE","Y","QUINAPRIL","QUINAPRIL",FALSE,"quinapril (quinapril hydrochloride)"
"430","IVACAFTOR",21511,"IVACAFTOR","IVACAFTOR","","","IVACAFTOR",FALSE,"ivacaftor"
"431","OXETACAINE",5201,"OXETACAINE","OXETACAINE","","","OXETACAINE",FALSE,"oxetacaine"
"432","CALCIUM (CALCIUM CARBONATE)",4803,"CALCIUM","CALCIUM CARBONATE","","","CALCIUM (CALCIUM CARBONATE)",FALSE,"calcium (calcium carbonate)"
"433","OFLOXACIN",954,"OFLOXACIN","OFLOXACIN","","","OFLOXACIN",FALSE,"ofloxacin"
"434","PAROXETINE (PAROXETINE HYDROCHLORIDE)",11340,"PAROXETINE","PAROXETINE HYDROCHLORIDE","Y","PAROXETINE","PAROXETINE",FALSE,"paroxetine (paroxetine hydrochloride)"
"435","EFAVIRENZ",11857,"EFAVIRENZ","EFAVIRENZ","","","EFAVIRENZ",FALSE,"efavirenz"
"436","EPINEPHRINE RACEMIC",8917,"EPINEPHRINE RACEMIC","EPINEPHRINE RACEMIC","Y","EPINEPHRINE","EPINEPHRINE",FALSE,"epinephrine racemic"
"437","SIMVASTATIN",1221,"SIMVASTATIN","SIMVASTATIN","Y","SIMVASTATIN","SIMVASTATIN",FALSE,"simvastatin"
"438","Olodaterol (OLODATEROL HYDROCHLORIDE)",22094,"Olodaterol","OLODATEROL HYDROCHLORIDE","","","Olodaterol (OLODATEROL HYDROCHLORIDE)",FALSE,"olodaterol (olodaterol hydrochloride)"
"439","CHLORAMPHENICOL",16112,"CHLORAMPHENICOL","CHLORAMPHENICOL","","","CHLORAMPHENICOL",FALSE,"chloramphenicol"
"440","LIDOCAINE HYDROCHLORIDE",10225,"LIDOCAINE HYDROCHLORIDE","LIDOCAINE HYDROCHLORIDE","","","LIDOCAINE HYDROCHLORIDE",FALSE,"lidocaine hydrochloride"
"441","RIFAMPIN",8566,"RIFAMPIN","RIFAMPIN","","","RIFAMPIN",FALSE,"rifampin"
"442","TESTOSTERONE",7485,"TESTOSTERONE","TESTOSTERONE","Y","TESTOSTERONE","TESTOSTERONE",FALSE,"testosterone"
"443","TICLOPIDINE HYDROCHLORIDE",945,"TICLOPIDINE HYDROCHLORIDE","TICLOPIDINE HYDROCHLORIDE","","","TICLOPIDINE HYDROCHLORIDE",FALSE,"ticlopidine hydrochloride"
"444","CETUXIMAB",13175,"CETUXIMAB","CETUXIMAB","","","CETUXIMAB",FALSE,"cetuximab"
"445","DANTROLENE SODIUM",2402,"DANTROLENE SODIUM","DANTROLENE SODIUM",NA,NA,NA,NA,NA
"446","Tapentadol (Tapentadol Hydrochloride)",20642,"Tapentadol","Tapentadol Hydrochloride",NA,NA,NA,NA,NA
"447","BUPROPION HYDROCHLORIDE",11772,"BUPROPION HYDROCHLORIDE","BUPROPION HYDROCHLORIDE","Y","BUPROPION","BUPROPION",FALSE,"bupropion hydrochloride"
"448","HONEY BEE VENOM PROTEIN",2027,"HONEY BEE VENOM PROTEIN","HONEY BEE VENOM PROTEIN","","","HONEY BEE VENOM PROTEIN",FALSE,"honey bee venom protein"
"449","CARBON DIOXIDE",2335,"CARBON DIOXIDE","CARBON DIOXIDE","","","CARBON DIOXIDE",FALSE,"carbon dioxide"
"450","PENICILLIN G BENZATHINE",11521,"PENICILLIN G BENZATHINE","PENICILLIN G BENZATHINE","","","PENICILLIN G BENZATHINE",FALSE,"penicillin g benzathine"
"451","PANITUMUMAB",20210,"PANITUMUMAB","PANITUMUMAB","","","PANITUMUMAB",FALSE,"panitumumab"
"452","Zinc sulfate monohydrate",21337,"Zinc sulfate monohydrate","Zinc sulfate monohydrate","","","Zinc sulfate monohydrate",TRUE,"zinc sulfate monohydrate"
"453","Bromfenac (Bromfenac sodium sesquihydrate)",22591,"Bromfenac","Bromfenac sodium sesquihydrate","","","Bromfenac (Bromfenac sodium sesquihydrate)",TRUE,"bromfenac (bromfenac sodium sesquihydrate)"
"454","PHENTOLAMINE MESYLATE",5974,"PHENTOLAMINE MESYLATE","PHENTOLAMINE MESYLATE","","","PHENTOLAMINE MESYLATE",FALSE,"phentolamine mesylate"
"455","GOLD SODIUM THIOMALATE",6469,"GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE","","","GOLD SODIUM THIOMALATE",FALSE,"gold sodium thiomalate"
"456","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)",13053,"BORTEZOMIB","BORTEZOMIB MANNITOL BORONIC ESTER","","","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)",FALSE,"bortezomib (bortezomib mannitol boronic ester)"
"457","EPTACOG ALFA (ACTIVATED)",13301,"EPTACOG ALFA","ACTIVATED","","","EPTACOG ALFA (ACTIVATED)",FALSE,"eptacog alfa (activated)"
"458","OSIMERTINIB (OSIMERTINIB MESYLATE)",22731,"OSIMERTINIB","OSIMERTINIB MESYLATE","","","OSIMERTINIB (OSIMERTINIB MESYLATE)",FALSE,"osimertinib (osimertinib mesylate)"
"459","AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)",424,"AZITHROMYCIN","AZITHROMYCIN DIHYDRATE","Y","AZITHROMYCIN","AZITHROMYCIN",TRUE,"azithromycin"
"460","Vedolizumab",22569,"Vedolizumab","Vedolizumab","","","Vedolizumab",FALSE,"vedolizumab"
"461","GADOXETATE DISODIUM",20566,"GADOXETATE DISODIUM","GADOXETATE DISODIUM","","","GADOXETATE DISODIUM",FALSE,"gadoxetate disodium"
"462","PRILOCAINE",5776,"PRILOCAINE","PRILOCAINE","","","PRILOCAINE",FALSE,"prilocaine"
"463","FILAMENTOUS HAEMAGGLUTININ ADSORBED",20306,"FILAMENTOUS HAEMAGGLUTININ ADSORBED","FILAMENTOUS HAEMAGGLUTININ ADSORBED","","","FILAMENTOUS HAEMAGGLUTININ ADSORBED",FALSE,"filamentous haemagglutinin adsorbed"
"464","ARIPIPRAZOLE",20435,"ARIPIPRAZOLE","ARIPIPRAZOLE","Y","ARIPIPRAZOLE","ARIPIPRAZOLE",FALSE,"aripiprazole"
"465","SOFOSBUVIR",22227,"SOFOSBUVIR","SOFOSBUVIR","","","SOFOSBUVIR",FALSE,"sofosbuvir"
"466","LEVOTHYROXINE SODIUM",5325,"LEVOTHYROXINE SODIUM","LEVOTHYROXINE SODIUM","Y","LEVOTHYROXINE","LEVOTHYROXINE",FALSE,"levothyroxine sodium"
"467","IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE)",11461,"IRINOTECAN HYDROCHLORIDE","IRINOTECAN HYDROCHLORIDE TRIHYDRATE","","","IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE)",TRUE,"irinotecan hydrochloride (irinotecan hydrochloride trihydrate)"
"468","DYCLONINE HYDROCHLORIDE",5669,"DYCLONINE HYDROCHLORIDE","DYCLONINE HYDROCHLORIDE","","","DYCLONINE HYDROCHLORIDE",FALSE,"dyclonine hydrochloride"
"469","PALBOCICLIB",22703,"PALBOCICLIB","PALBOCICLIB","","","PALBOCICLIB",FALSE,"palbociclib"
"470","BUTORPHANOL TARTRATE",2142,"BUTORPHANOL TARTRATE","BUTORPHANOL TARTRATE","","","BUTORPHANOL TARTRATE",FALSE,"butorphanol tartrate"
"471","CAPSAICIN",3610,"CAPSAICIN","CAPSAICIN",NA,NA,NA,NA,NA
"472","SUGAMMADEX (SUGAMMADEX SODIUM)",22686,"SUGAMMADEX","SUGAMMADEX SODIUM","","","SUGAMMADEX (SUGAMMADEX SODIUM)",FALSE,"sugammadex (sugammadex sodium)"
"473","TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)",5882,"TRANYLCYPROMINE","TRANYLCYPROMINE SULFATE","","","TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)",FALSE,"tranylcypromine (tranylcypromine sulfate)"
"474","Recombinant Neisseria meningitidis group B NHBA fusion protein",22176,"Recombinant Neisseria meningitidis group B NHBA fusion protein","Recombinant Neisseria meningitidis group B NHBA fusion protein","","","Recombinant Neisseria meningitidis group B NHBA fusion protein",FALSE,"recombinant neisseria meningitidis group b nhba fusion protein"
"475","GADOBUTROL",11922,"GADOBUTROL","GADOBUTROL","","","GADOBUTROL",FALSE,"gadobutrol"
"476","NALBUPHINE HYDROCHLORIDE",2008,"NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE","","","NALBUPHINE",FALSE,"nalbuphine hydrochloride"
"477","CLOXACILLIN (CLOXACILLIN SODIUM)",8375,"CLOXACILLIN","CLOXACILLIN SODIUM","","","CLOXACILLIN (CLOXACILLIN SODIUM)",FALSE,"cloxacillin (cloxacillin sodium)"
"478","THIOPENTAL SODIUM",8249,"THIOPENTAL SODIUM","THIOPENTAL SODIUM","","","THIOPENTAL SODIUM",FALSE,"thiopental sodium"
"479","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)",11162,"ACEBUTOLOL","ACEBUTOLOL HYDROCHLORIDE","Y","ACEBUTOLOL","ACEBUTOLOL",FALSE,"acebutolol (acebutolol hydrochloride)"
"480","VITAMIN A (RETINYL PALMITATE)",704,"VITAMIN A","RETINYL PALMITATE","","","VITAMIN A (RETINYL PALMITATE)",FALSE,"vitamin a (retinyl palmitate)"
"481","EMTRICITABINE",16516,"EMTRICITABINE","EMTRICITABINE","","","EMTRICITABINE",FALSE,"emtricitabine"
"482","MEFENAMIC ACID",10002,"MEFENAMIC ACID","MEFENAMIC ACID","","","MEFENAMIC ACID",FALSE,"mefenamic acid"
"483","DIATRIZOATE MEGLUMINE",10131,"DIATRIZOATE MEGLUMINE","DIATRIZOATE MEGLUMINE","","","DIATRIZOATE MEGLUMINE",FALSE,"diatrizoate meglumine"
"484","EUCALYPTOL",9122,"EUCALYPTOL","EUCALYPTOL","","","EUCALYPTOL",FALSE,"eucalyptol"
"485","D&C RED NO. 28",1769,"D&C RED NO. 28","D&C RED NO. 28","","","D&C RED NO. 28",FALSE,"d&c red no. 28"
"486","TRAMADOL HYDROCHLORIDE",13904,"TRAMADOL HYDROCHLORIDE","TRAMADOL HYDROCHLORIDE","Y","TRAMADOL","TRAMADOL",FALSE,"tramadol hydrochloride"
"487","AMPICILLIN (AMPICILLIN SODIUM)",8450,"AMPICILLIN","AMPICILLIN SODIUM","","","AMPICILLIN (AMPICILLIN SODIUM)",FALSE,"ampicillin (ampicillin sodium)"
"488","ICATIBANT (ICATIBANT ACETATE)",22341,"ICATIBANT","ICATIBANT ACETATE","","","ICATIBANT (ICATIBANT ACETATE)",FALSE,"icatibant (icatibant acetate)"
"489","SELEXIPAG",22681,"SELEXIPAG","SELEXIPAG","","","SELEXIPAG",FALSE,"selexipag"
"490","CANTHARIDIN",4322,"CANTHARIDIN","CANTHARIDIN","","","CANTHARIDIN",FALSE,"cantharidin"
"491","TRIAMTERENE",10190,"TRIAMTERENE","TRIAMTERENE","Y","TRIAMTERENE","TRIAMTERENE",FALSE,"triamterene"
"492","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)",11181,"DESIPRAMINE","DESIPRAMINE HYDROCHLORIDE","","","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)",FALSE,"desipramine (desipramine hydrochloride)"
"493","ZINC (ZINC GLUCONATE)",331,"ZINC","ZINC GLUCONATE","","","ZINC (ZINC GLUCONATE)",FALSE,"zinc (zinc gluconate)"
"494","NELARABINE",16030,"NELARABINE","NELARABINE","","","NELARABINE",FALSE,"nelarabine"
"495","EPLERENONE",20438,"EPLERENONE","EPLERENONE","","","EPLERENONE",FALSE,"eplerenone"
