"","tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time"
"300","azelastine hydrochloride, fluticasone",TRUE,1,1,"active",2015-03-31
"301","azilsartan medoxomil (azilsartan medoxomil potassium)",FALSE,2,1,"active",2012-11-08
"302","azilsartan medoxomil (azilsartan medoxomil potassium), chlorthalidone",FALSE,3,1,"active",2013-03-21
"303","azithromycin",TRUE,38,4,"active",1996-09-26
"304","aztreonam",FALSE,1,1,"active",2009-11-11
"305","bacillus calmette-guerin (bcg) strain tice",FALSE,1,1,"active",1995-12-31
"306","bacillus calmette-guerin (bcg) substrain connaught",FALSE,1,1,"active",1990-12-31
"307","bacitracin",FALSE,5,3,"active",1951-12-31
"308","bacitracin (bacitracin zinc), gramicidin, polymyxin b (polymyxin b sulfate)",FALSE,1,1,"active",1994-12-31
"309","bacitracin (bacitracin zinc), hydrocortisone, neomycin (neomycin sulfate), polymyxin b (polymyxin b sulfate)",TRUE,1,1,"active",2001-02-14
"310","bacitracin (bacitracin zinc), polymyxin b (polymyxin b sulfate)",FALSE,2,1,"active",1995-12-31
"311","bacitracin, lidocaine hydrochloride, polymyxin b (polymyxin b sulfate)",FALSE,1,1,"active",1998-05-27
"312","bacitracin, polymyxin b (polymyxin b sulfate)",FALSE,4,1,"active",1987-12-31
"313","bacitracin, polymyxin b sulfate",FALSE,1,1,"active",2013-12-09
"314","bacitracin zinc",FALSE,2,1,"active",2011-02-01
"315","bacitracin zinc, gramicidin, lidocaine, polymyxin b (polymyxin b sulfate)",FALSE,1,1,"active",2005-05-24
"316","bacitracin zinc, gramicidin, lidocaine, polymyxin b sulfate",FALSE,1,1,"active",2009-01-23
"317","bacitracin zinc, gramicidin, polymyxin b (polymyxin b sulfate)",FALSE,3,1,"active",1998-08-13
"318","bacitracin zinc, gramicidin, polymyxin b sulfate",FALSE,1,1,"active",2009-12-23
"319","bacitracin zinc, neomycin (neomycin sulfate), polymyxin b sulfate",FALSE,1,2,"active",1994-12-31
"320","bacitracin zinc, polymyxin b (polymyxin b sulfate)",FALSE,2,1,"active",1998-08-13
"321","bacitracin zinc, polymyxin b sulfate",FALSE,6,3,"active",1996-12-31
"322","baclofen",TRUE,26,2,"active",1978-12-31
"323","basiliximab",FALSE,1,1,"active",2000-10-23
"324","bazedoxifene (bazedoxifene acetate), conjugated estrogens",TRUE,1,1,"active",2016-12-20
"325","beclomethasone",TRUE,6,3,"active",1995-12-31
"326","belimumab",FALSE,2,1,"active",2011-08-24
"327","belladonna, ergotamine tartrate, phenobarbital",FALSE,1,1,"active",1959-01-01
"328","belladonna, opium",FALSE,1,1,"active",1991-12-31
"329","bemotrizinol, bisoctrizole, octinoxate",FALSE,3,2,"active",2010-05-25
"330","benazepril hydrochloride",FALSE,5,1,"active",1993-12-31
"331","bendamustine hydrochloride",FALSE,2,1,"active",2012-09-12
"332","benoxinate hydrochloride, fluorescein sodium",FALSE,2,1,"active",1996-12-18
"333","benserazide (benserazide hydrochloride), levodopa",TRUE,3,1,"active",1977-12-31
"334","benzalkonium",TRUE,54,7,"active",1951-12-31
"335","benzalkonium, benzocaine",TRUE,1,1,"active",1992-12-31
"336","benzalkonium, coal tar, salicylic acid",TRUE,1,1,"active",1991-12-31
"337","benzalkonium, lidocaine",TRUE,1,1,"active",2013-05-27
"338","benzalkonium, lidocaine hydrochloride",TRUE,1,1,"active",1995-12-31
"339","benzalkonium, pramoxine hydrochloride",TRUE,1,1,"active",2009-03-12
"340","benzethonium chloride",FALSE,9,4,"active",2002-12-01
"341","benzethonium chloride, benzocaine",FALSE,1,1,"active",2005-02-09
"342","benzocaine, butamben, tetracaine hydrochloride",FALSE,1,1,"active",1996-09-19
"343","benzocaine, cetylpyridinium chloride",FALSE,1,2,"active",1982-12-31
"344","benzocaine, hydrocortisone, zinc sulfate",TRUE,1,1,"active",1998-05-26
"345","benzocaine, methyl heptyl colamino formylmethyl pyridinium chl",FALSE,1,1,"active",1980-11-04
"346","benzocaine, tetracaine hydrochloride",FALSE,6,4,"active",1978-12-31
"347","benzocaine, triclosan",FALSE,1,1,"active",1991-12-31
"348","benzoyl peroxide",TRUE,44,8,"active",1982-12-31
"349","benzoyl peroxide, benzoyl peroxide",TRUE,5,4,"active",2013-08-08
"350","benzoyl peroxide, clindamycin",TRUE,4,1,"active",2001-09-04
"351","benzoyl peroxide, erythromycin",TRUE,1,1,"active",1996-11-05
"352","benzoyl peroxide, salicylic acid",TRUE,1,3,"active",2013-11-15
"353","benztropine",TRUE,5,3,"active",1978-12-31
"354","benzydamine hydrochloride",FALSE,5,3,"active",1993-12-31
"355","benzylpenicilloyl-polylysine",FALSE,1,1,"active",1975-12-31
"356","bepotastine besilate",FALSE,1,1,"active",2017-03-23
"357","beractant",FALSE,1,1,"active",1993-12-31
"358","besifloxacin",FALSE,1,1,"active",2010-01-27
"359","beta-carotene, calcium (calcium carbonate), copper (cupric oxide), d-pantothenic acid (calcium d-pantothenate), folic acid, iodine (potassium iodide), iron (ferrous fumarate), magnesium (magnesium oxide), nicotinamide, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin), vitamin b6 (pyridoxine hydrochloride), vitamin c (ascorbic acid), vitamin d3, vitamin e (dl-alpha tocopheryl acetate), zinc (zinc oxide)",TRUE,2,1,"active",2016-07-15
"360","betahistine",TRUE,12,1,"active",2001-08-17
"361","betaine",FALSE,1,1,"active",1998-08-11
"362","betamethasone acetate, betamethasone (base)",TRUE,2,1,"active",1965-12-31
"363","betamethasone (base)",TRUE,35,4,"active",1975-12-31
"364","betamethasone (base), calcipotriol",TRUE,1,1,"active",2001-11-29
"365","betamethasone (base), calcipotriol (calcipotriol monohydrate)",TRUE,2,2,"active",2009-01-28
"366","betamethasone (base), clotrimazole",TRUE,1,1,"active",1990-12-31
"367","betamethasone (base), gentamicin (gentamicin sulfate)",TRUE,3,4,"active",1970-12-31
"368","betamethasone (base), salicylic acid",TRUE,3,2,"active",1983-12-31
"369","betamethasone dipropionate",TRUE,1,1,"active",1992-12-31
"370","betamethasone valerate",TRUE,4,4,"active",1979-12-31
"371","betaxolol (betaxolol hydrochloride)",FALSE,2,1,"active",1994-12-31
"372","bethanechol chloride",FALSE,6,1,"active",1990-12-31
"373","bevacizumab",FALSE,1,1,"active",2005-11-02
"374","bezafibrate",FALSE,3,2,"active",1994-12-21
"375","bicalutamide",FALSE,14,1,"active",1996-12-31
"376","bilastine",FALSE,1,1,"active",2016-12-02
"377","bimatoprost",TRUE,4,2,"active",2002-05-24
"378","biotin, choline bitartrate, chromium (chromium hvp chelate), dl-methionine, d-pantothenic acid (calcium d-pantothenate), folic acid, inositol, iodine (potassium iodide), magnesium (magnesium oxide), manganese (manganese gluconate), nicotinamide, nicotinic acid, potassium (potassium chloride, potassium citrate), selenium (selenium hvp chelate), vitamin a (retinol palmitate), vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin), vitamin b6 (pyridoxine hydrochloride), vitamin c (ascorbic acid), vitamin c (calcium ascorbate), vitamin e (d-alpha tocopheryl acetate), zinc (zinc gluconate)",TRUE,1,1,"active",1999-12-13
"379","biotin, dexpanthenol, folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin-5-phosphate), vitamin c (ascorbic acid), vitamin d, vitamin e (dl-alpha tocopheryl acetate), vitamin k1",TRUE,1,1,"active",2000-11-07
"380","biotin, dexpanthenol, folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (vitamin b12), vitamin b1 (thiamine hydrochloride), vitamin b2 (riboflavin-5-phosphate), vitamin c, vitamin d, vitamin e",TRUE,1,1,"active",1994-12-31
"381","biotin, dexpanthenol (panthenol), folic acid, nicotinamide, pyridoxine hydrochloride, vitamin a, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine hydrochloride), vitamin b2, vitamin c, vitamin e (dl-alpha tocopheryl acetate)",TRUE,1,1,"active",2002-01-28
"382","bisacodyl",FALSE,22,3,"active",1958-12-31
"383","bisacodyl, polyethylene glycol 3350, potassium chloride, sodium bicarbonate, sodium chloride, sodium sulfate",FALSE,1,3,"active",2010-06-06
"384","bismuth dipropylacetate",FALSE,1,1,"active",1950-12-31
"385","bismuth subgallate",FALSE,1,1,"active",1978-12-31
"386","bismuth subsalicylate",FALSE,17,4,"active",1987-12-31
"387","bismuth subsalicylate, calcium carbonate",FALSE,4,2,"active",2000-02-18
"388","bisoprolol",TRUE,18,1,"active",2003-04-24
"389","bleomycin (bleomycin sulfate)",FALSE,2,1,"active",1998-03-12
"390","blinatumomab",FALSE,1,1,"active",2016-03-17
"391","bortezomib (bortezomib mannitol boronic ester)",FALSE,4,1,"active",2005-02-01
"392","bosentan (bosentan monohydrate)",FALSE,12,1,"active",2001-12-14
"393","bosutinib",FALSE,2,1,"active",2014-03-24
"394","brentuximab vedotin",FALSE,1,1,"active",2013-02-19
"395","bretylium tosylate",FALSE,1,1,"active",1995-12-31
"396","brexpiprazole",FALSE,6,1,"active",2017-04-19
"397","brimonidine (brimonidine tartrate)",FALSE,1,1,"active",2014-03-24
"398","brimonidine tartrate",FALSE,7,1,"active",1997-12-02
"399","brimonidine tartrate, NA",NA,1,1,"active",2015-02-17
"400","brimonidine tartrate, timolol",TRUE,1,1,"active",2003-12-11
"401","brivaracetam",FALSE,5,1,"active",2016-05-02
"402","bromazepam",TRUE,9,1,"active",1981-12-31
"403","bromfenac (bromfenac sodium sesquihydrate)",FALSE,1,1,"active",2015-09-25
"404","bromocriptine (bromocriptine mesylate)",FALSE,8,2,"active",1994-12-31
"405","brompheniramine maleate, codeine, guaifenesin, phenylephrine hydrochloride",TRUE,1,1,"active",2001-09-28
"406","brompheniramine maleate, codeine, phenylephrine hydrochloride",TRUE,1,1,"active",2001-09-05
"407","brompheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride",FALSE,10,3,"active",2001-07-25
"408","brompheniramine maleate, guaifenesin, hydrocodone bitartrate, phenylephrine hydrochloride",FALSE,1,1,"active",2001-09-06
"409","brompheniramine maleate, phenylephrine hydrochloride",FALSE,8,4,"active",2001-07-23
"410","bronopol, triclosan",FALSE,1,1,"active",1983-12-31
"411","budesonide",TRUE,12,7,"active",1990-12-31
"412","budesonide, formoterol",TRUE,2,1,"active",2002-02-08
"413","budesonide, sodium chloride",TRUE,1,2,"active",1994-12-31
"414","buffer solution, melphalan (melphalan hydrochloride)",FALSE,1,3,"active",1995-12-31
"415","bumetanide",FALSE,2,1,"active",1993-12-31
"416","bupivacaine hydrochloride",FALSE,10,1,"active",1994-12-31
"417","bupivacaine hydrochloride, epinephrine",TRUE,7,1,"active",1994-12-31
"418","buprenorphine",TRUE,4,1,"active",2010-05-26
"419","buprenorphine, naloxone",TRUE,6,1,"active",2007-11-26
"420","bupropion",TRUE,18,1,"active",1998-05-05
"421","buserelin (buserelin acetate)",FALSE,4,3,"active",1997-02-10
"422","buspirone hydrochloride",FALSE,8,1,"active",1996-12-31
"423","busulfan",FALSE,2,2,"active",1954-12-31
"424","butorphanol tartrate",FALSE,2,1,"active",2000-08-01
"425","c1 esterase inhibitor (human)",FALSE,3,2,"active",2010-10-06
"426","cabazitaxel",FALSE,1,1,"active",2011-08-23
"427","cabergoline",FALSE,3,1,"active",2000-06-30
"428","calamine, diphenhydramine hydrochloride",FALSE,2,1,"active",1981-12-31
"429","calamine, pramoxine hydrochloride",FALSE,1,1,"active",2000-05-01
"430","calcipotriol",FALSE,1,1,"active",1992-12-31
"431","calcitonin (salmon synthetic)",FALSE,1,1,"active",1983-12-31
"432","calcitriol",TRUE,8,3,"active",1979-12-31
"433","calcium acetate, magnesium acetate, potassium acetate, potassium chloride, sodium acetate, sodium gluconate",FALSE,1,1,"active",1998-09-04
"434","calcium (calcium carbonate), etidronate disodium",FALSE,3,2,"active",2008-04-10
"435","calcium carbonate, famotidine, magnesium hydroxide",FALSE,1,1,"active",2001-05-14
"436","calcium carbonate, magnesium hydroxide, simethicone",FALSE,2,2,"active",1995-12-31
"437","calcium chloride",FALSE,5,2,"active",1981-12-31
"438","calcium chloride, citric acid, dextrose, magnesium chloride, potassium chloride, sodium acetate, sodium chloride",FALSE,7,1,"active",2011-07-04
"439","calcium chloride, citric acid, dextrose, magnesium chloride, sodium acetate, sodium chloride",FALSE,1,1,"active",2013-03-04
"440","calcium chloride, dextrose anhydrous, lactic acid, magnesium chloride, potassium chloride, sodium bicarbonate, sodium chloride",FALSE,1,2,"active",2006-02-21
"441","calcium chloride, dextrose anhydrous, magnesium chloride, potassium chloride, sodium bicarbonate, sodium chloride",FALSE,1,1,"active",2007-10-31
"442","calcium chloride, dextrose, glutathione disulfide, magnesium chloride, potassium chloride, sodium bicarbonate, sodium chloride, sodium phosphate dibasic",FALSE,1,2,"active",1982-12-31
"443","calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium acetate, sodium chloride",FALSE,1,1,"active",1998-09-03
"444","calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium bicarbonate, sodium chloride, sodium chloride",FALSE,1,1,"active",2012-03-09
"445","calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride, sodium lactate",FALSE,8,1,"active",2013-07-05
"446","calcium chloride, dextrose, magnesium chloride, sodium bicarbonate, sodium chloride, sodium lactate",FALSE,6,1,"active",2003-08-05
"447","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate",FALSE,10,1,"active",1989-12-31
"448","calcium chloride, dextrose, potassium chloride, sodium chloride, sodium lactate",FALSE,5,1,"active",1951-12-31
"449","calcium chloride, icodextrin, magnesium chloride, sodium chloride, sodium lactate",FALSE,1,1,"active",2000-01-20
"450","calcium chloride, lactic acid, magnesium chloride, sodium bicarbonate, sodium chloride",FALSE,1,2,"active",2001-01-01
"451","calcium chloride, magnesium chloride, potassium acetate, sodium acetate, sodium chloride",FALSE,1,1,"active",1998-09-03
"452","calcium chloride, magnesium chloride, potassium chloride, sodium acetate, sodium chloride",FALSE,1,1,"active",1983-12-31
"453","calcium chloride, magnesium chloride, potassium chloride, sodium acetate, sodium chloride, sodium citrate",FALSE,2,2,"active",1994-12-31
"454","calcium chloride, magnesium chloride, potassium chloride, sodium acetate trihydrate, sodium chloride, sodium citrate dihydrate",FALSE,1,1,"active",1980-12-31
"455","calcium chloride, magnesium chloride, potassium chloride, sodium chloride",FALSE,3,3,"active",1969-12-31
"456","calcium chloride, magnesium chloride, sodium bicarbonate, sodium chloride",FALSE,1,1,"active",2007-10-31
"457","calcium chloride, potassium chloride, sodium chloride",FALSE,1,1,"active",1996-09-10
"458","calcium chloride, potassium chloride, sodium chloride, sodium lactate",FALSE,6,2,"active",1951-12-31
"459","calcium chloride, thrombin (human), NA, NA",NA,3,2,"active",2011-06-20
"460","calcium gluconate, calcium saccharate",FALSE,1,1,"active",1984-07-19
"461","calcium glycerophosphate, calcium levulinate",FALSE,1,1,"active",1981-12-31
"462","calcium polystyrene sulfonate",FALSE,1,2,"active",1979-12-31
"463","camphor, dexamethasone (base), parachlorophenol, thymol",TRUE,1,1,"active",1978-12-31
"464","camphor, diphenylpyraline hydrochloride, guaiacol carbonate",FALSE,2,1,"active",1951-12-31
"465","camphor, eucalyptol, guaiacol, guaiacol carbonate",FALSE,2,1,"active",1977-12-31
"466","camphor, glycol salicylate, l-menthol",FALSE,1,1,"active",2002-02-01
"467","camphor, menthol, meradimate, padimate o, phenol",FALSE,1,1,"active",1980-12-31
"468","camphor, menthol, octinoxate, oxybenzone, phenol",FALSE,1,1,"active",1995-12-31
"469","canagliflozin",FALSE,2,1,"active",2014-05-28
"470","canagliflozin, metformin",TRUE,6,1,"active",2016-06-28
"471","canakinumab",FALSE,1,1,"active",2010-04-27
"472","candesartan",TRUE,58,1,"active",1998-12-07
"473","candesartan, hydrochlorothiazide",TRUE,19,1,"active",2001-06-26
"474","cannabidiol (cannabis sativa extract), delta-9-tetrahydrocannabinol (cannabis sativa extract)",FALSE,1,1,"active",2005-06-22
"475","cantharidin, podophyllin, salicylic acid",FALSE,2,1,"active",1983-12-31
"476","capecitabine",FALSE,8,1,"active",1998-09-10
"477","captopril",FALSE,17,1,"active",1990-12-31
"478","carbachol",FALSE,1,1,"active",1980-12-31
"479","carbamazepine",TRUE,28,4,"active",1969-12-31
"480","carbetocin",FALSE,1,1,"active",1999-08-01
"481","carbidopa, entacapone, levodopa",TRUE,5,1,"active",2008-04-28
"482","carbidopa, levodopa",TRUE,21,3,"active",1975-12-31
"483","carbon dioxide",FALSE,3,1,"active",1911-12-31
"484","carbon dioxide, oxygen",FALSE,6,1,"active",1911-12-31
"485","carbon monoxide, helium, nitrogen, oxygen",FALSE,3,1,"active",1993-12-31
"486","carbon monoxide, neon, nitrogen, oxygen",FALSE,2,1,"active",1968-12-31
"487","carboplatin",FALSE,4,1,"active",1994-12-31
"488","carboprost (carboprost tromethamine)",FALSE,1,1,"active",1997-11-28
"489","carfilzomib",FALSE,3,1,"active",2016-02-11
"490","carglumic acid",FALSE,1,1,"active",2015-09-08
"491","carmustine",FALSE,1,1,"active",1975-12-31
"492","carvedilol",TRUE,44,1,"active",2003-08-04
"493","caspofungin (caspofungin acetate)",FALSE,4,1,"active",2001-08-23
"494","cat (felis domesticus) pelt and cat dander",FALSE,1,1,"active",1999-04-19
"495","catridecacog",FALSE,1,1,"active",2013-01-30
"496","cefaclor",FALSE,9,2,"active",1997-01-20
"497","cefadroxil",FALSE,2,1,"active",1999-08-31
"498","cefadroxil (cefadroxil monohydrate)",FALSE,1,1,"active",1999-06-02
"499","cefazolin (cefazolin sodium)",FALSE,17,1,"active",1995-12-31
"500","cefepime (cefepime hydrochloride)",FALSE,1,1,"active",2009-03-19
"501","cefixime",FALSE,3,2,"active",1990-12-31
"502","cefotaxime (cefotaxime sodium)",FALSE,3,1,"active",2010-07-06
"503","cefotaxime sodium",FALSE,4,1,"active",2003-08-11
"504","cefoxitin (cefoxitin sodium)",FALSE,5,1,"active",1995-12-31
"505","cefprozil",TRUE,18,2,"active",1995-12-31
"506","ceftazidime",FALSE,3,1,"active",1991-12-31
"507","ceftazidime (ceftazidime pentahydrate)",FALSE,7,1,"active",2001-07-18
"508","ceftolozane (ceftolozane sulfate), tazobactam (tazobactam sodium)",FALSE,1,1,"active",2016-01-12
"509","ceftriaxone (ceftriaxone sodium)",FALSE,19,1,"active",2007-02-23
"510","cefuroxime (cefuroxime axetil)",FALSE,10,2,"active",1998-10-27
"511","cefuroxime (cefuroxime sodium)",FALSE,6,1,"active",2002-12-05
"512","celecoxib",TRUE,42,1,"active",1999-04-19
"513","cephalexin",TRUE,21,4,"active",1971-12-31
"514","ceritinib",FALSE,1,1,"active",2015-04-29
"515","certolizumab pegol",FALSE,1,1,"active",2009-08-31
"516","cetirizine",TRUE,20,4,"active",1997-03-06
"517","cetirizine, pseudoephedrine hydrochloride",TRUE,1,1,"active",2003-03-07
"518","cetrimide, lidocaine",FALSE,1,2,"active",1997-03-26
"519","cetrimonium bromide",FALSE,2,2,"active",1990-12-31
"520","cetrimonium bromide, disodium edetate",FALSE,1,1,"active",1972-12-31
"521","cetrimonium bromide, lidocaine",FALSE,1,1,"active",1981-12-31
"522","cetrorelix (cetrorelix acetate)",FALSE,1,1,"active",2004-03-03
"523","cetuximab",FALSE,1,1,"active",2008-10-28
"524","cetylpyridinium chloride",FALSE,7,4,"active",1984-12-31
"525","cetylpyridinium chloride, sodium fluoride",FALSE,1,1,"active",2014-01-20
"526","charcoal activated",FALSE,12,2,"active",1985-12-31
"527","charcoal activated, dimethicone",FALSE,1,1,"active",1990-12-31
"528","chloral hydrate",FALSE,3,2,"active",1990-12-31
"529","chloramphenicol",FALSE,5,3,"active",1992-12-31
"530","chloramphenicol (chloramphenicol sodium succinate)",FALSE,1,1,"active",1959-12-31
"531","chloramphenicol, hydrocortisone",TRUE,2,4,"active",1992-12-31
"532","chlordiazepoxide hydrochloride",FALSE,3,1,"active",1981-12-31
"533","chlordiazepoxide hydrochloride, clidinium bromide",FALSE,2,1,"active",1961-12-31
"534","chlorhexidine",TRUE,46,12,"active",1972-12-31
"535","chlorhexidine, isopropyl alcohol",TRUE,19,7,"active",1992-12-31
"536","chlorhexidine, lidocaine hydrochloride (lidocaine hydrochloride monohydrate)",TRUE,1,1,"active",2007-12-06
"537","chlorobutanol, dichlorobenzene, oil of turpentine, peanut oil",FALSE,1,1,"active",1971-12-31
"538","chloroquine diphosphate",FALSE,1,1,"active",1968-12-31
"539","chloroxylenol",FALSE,29,4,"active",1938-12-31
"540","chloroxylenol, coal tar, menthol",FALSE,5,1,"active",1970-12-31
"541","chloroxylenol, menthol",FALSE,3,2,"active",1992-12-31
"542","chloroxylenol, triclosan",FALSE,2,1,"active",1993-12-31
"543","chlorpheniramine maleate",FALSE,4,2,"active",1967-12-31
"544","chlorpheniramine maleate, dextromethorphan hydrobromide",FALSE,4,2,"active",2004-01-12
"545","chlorpheniramine maleate, dextromethorphan hydrobromide, pseudoephedrine hydrochloride",FALSE,1,1,"active",1992-12-31
"546","chlorpheniramine maleate, ibuprofen, ibuprofen, pseudoephedrine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2014-05-23
"547","chlorpheniramine maleate, ibuprofen, pseudoephedrine hydrochloride",TRUE,5,2,"active",2004-08-02
"548","chlorpheniramine maleate, phenylephrine hydrochloride",FALSE,1,1,"active",2010-01-11
"549","chlorpromazine (chlorpromazine hydrochloride)",FALSE,3,1,"active",1967-12-31
"550","chlorpromazine hydrochloride",FALSE,1,1,"active",1988-12-31
"551","chlorpropamide",FALSE,2,1,"active",1974-12-31
"552","chlorthalidone",FALSE,2,1,"active",1976-12-31
"553","cholestyramine resin",FALSE,3,1,"active",1993-12-31
"554","choline, inositol, nicotinamide, pipradrol hydrochloride, pyridoxine hydrochloride, thiamine hydrochloride, vitamin b2",FALSE,1,1,"active",1995-12-31
"555","choriogonadotropin alpha",FALSE,2,1,"active",2004-12-20
"556","chorionic gonadotropin",FALSE,1,1,"active",2004-09-13
"557","chorionic gonadotropin, water",FALSE,1,3,"active",1997-08-13
"558","chromic chloride, cupric chloride, manganese chloride, zinc chloride",FALSE,1,1,"active",1983-12-31
"559","chromium (chromic chloride)",FALSE,1,1,"active",1993-12-31
"560","chromium (chromic chloride), copper (copper sulfate), iodine (sodium iodide), manganese (manganese sulfate), selenium (selenious acid), zinc (zinc sulfate)",FALSE,3,1,"active",1994-12-31
"561","chromium (chromic chloride), copper (copper sulfate), manganese (manganese sulfate), selenium (selenious acid), zinc (zinc sulfate)",FALSE,1,1,"active",1994-12-31
"562","chromium (chromic chloride), copper (copper sulfate), manganese (manganese sulfate), zinc (zinc sulfate)",FALSE,2,1,"active",1994-12-31
"563","ciclesonide",TRUE,4,2,"active",2006-09-27
"564","ciclopirox",TRUE,8,4,"active",1996-12-03
"565","cilastatin (cilastatin sodium), imipenem",FALSE,6,1,"active",1987-12-31
"566","cilazapril",FALSE,2,1,"active",1993-12-31
"567","cilazapril (cilazapril monohydrate)",FALSE,19,1,"active",2005-04-01
"568","cilazapril (cilazapril monohydrate), hydrochlorothiazide",TRUE,2,1,"active",2006-08-23
"569","cilazapril, hydrochlorothiazide",TRUE,1,1,"active",1999-04-01
"570","cimetidine",FALSE,22,1,"active",1982-12-31
"571","cimetidine (cimetidine hydrochloride)",FALSE,1,1,"active",2001-01-05
"572","cinacalcet (cinacalcet hydrochloride)",FALSE,12,1,"active",2004-09-16
"573","ciprofloxacin",TRUE,83,6,"active",1992-12-31
"574","ciprofloxacin, dexamethasone (base)",TRUE,1,1,"active",2004-05-13
"575","ciprofloxacin, fluocinolone acetonide",TRUE,1,1,"active",2017-05-08
"576","cisatracurium (cisatracurium besylate)",FALSE,3,1,"active",2014-01-20
"577","cisplatin",FALSE,4,1,"active",1997-05-09
"578","citalopram",TRUE,75,1,"active",1999-03-08
"579","citric acid, dextrose, heparin sodium, sodium phosphate dibasic",FALSE,1,1,"active",1993-12-31
"580","citric acid, dextrose, sodium citrate",FALSE,1,1,"active",1991-12-31
"581","citric acid, dextrose, sodium citrate dihydrate, sodium phosphate monobasic",FALSE,1,1,"active",2016-08-22
"582","citric acid, heparin sodium, sodium chloride, sodium phosphate dibasic",FALSE,1,1,"active",1996-09-10
"583","citric acid, magnesium oxide, sodium carbonate (anhydrous)",FALSE,2,1,"active",1969-12-31
"584","citric acid, magnesium oxide, sodium picosulfate",FALSE,3,1,"active",2004-11-25
"585","cladribine",FALSE,1,1,"active",2009-06-30
"586","clarithromycin",TRUE,29,3,"active",1992-12-31
"587","clindamycin",TRUE,27,6,"active",1970-12-31
"588","clindamycin, tretinoin",TRUE,1,1,"active",2011-05-16
"589","clioquinol, flumethasone pivalate",FALSE,2,2,"active",1968-12-31
"590","clioquinol, hydrocortisone",TRUE,1,1,"active",1957-12-31
"591","clobazam",TRUE,5,1,"active",1997-03-24
"592","clobetasol",TRUE,22,7,"active",1992-12-31
"593","clobetasone butyrate",FALSE,1,1,"active",1999-09-27
"594","clodronate disodium",FALSE,1,1,"active",2004-05-13
"595","clodronate disodium (clodronate disodium tetrahydrate)",FALSE,2,2,"active",1992-12-31
"596","clofarabine",FALSE,1,1,"active",2010-02-10
"597","clofedanol hydrochloride",FALSE,1,1,"active",1962-12-31
"598","clomipramine hydrochloride",FALSE,3,1,"active",1973-12-31
"599","clonazepam",TRUE,38,1,"active",1977-12-31
"600","clonidine",TRUE,10,1,"active",1990-12-31
"601","clopidogrel",TRUE,20,1,"active",1998-10-13
"602","clorazepate dipotassium",FALSE,3,1,"active",1990-12-31
"603","clotrimazole",FALSE,14,3,"active",1988-12-31
"604","clotrimazole, clotrimazole",FALSE,3,4,"active",1997-06-11
"605","clotrimazole, fluconazole",FALSE,3,4,"active",2010-03-10
"606","cloxacillin (cloxacillin sodium)",FALSE,6,2,"active",1975-12-31
"607","cloxacillin sodium",FALSE,7,4,"active",1980-12-31
"608","clozapine",TRUE,10,1,"active",1991-12-31
"609","coagulation factor ii (human), coagulation factor ix (human), coagulation factor vii (human), coagulation factor x (human), protein c, protein s",FALSE,4,2,"active",2008-07-08
"610","coagulation factor ix (human)",FALSE,1,1,"active",1996-10-18
"611","coagulation factor ix (recombinant)",FALSE,5,1,"active",2007-04-14
"612","coal tar",FALSE,10,6,"active",1975-12-31
"613","coal tar, salicylic acid",FALSE,2,2,"active",1980-12-31
"614","coal tar, salicylic acid, triclosan",FALSE,1,1,"active",1973-12-31
"615","cobicistat, darunavir (darunavir ethanolate)",FALSE,1,1,"active",2014-08-28
"616","cobicistat, elvitegravir, emtricitabine, tenofovir alafenamide (tenofovir alafenamide hemifumarate)",FALSE,1,1,"active",2016-02-03
"617","cobicistat, elvitegravir, emtricitabine, tenofovir disoproxil fumarate",FALSE,1,1,"active",2012-12-20
"618","cobimetinib (cobimetinib fumarate)",FALSE,1,1,"active",2016-04-06
"619","cocaine hydrochloride",FALSE,4,1,"active",1992-12-31
"620","cocoa butter, phenylephrine hydrochloride",FALSE,1,1,"active",2016-05-20
"621","codeine",TRUE,15,5,"active",1978-12-31
"622","codeine, guaifenesin, pheniramine maleate",TRUE,2,1,"active",1993-12-31
"623","codeine, guaifenesin, pseudoephedrine hydrochloride",TRUE,3,2,"active",1995-12-31
"624","codeine, guaifenesin, pseudoephedrine hydrochloride, triprolidine hydrochloride",TRUE,1,1,"active",1994-12-31
"625","codeine, pseudoephedrine hydrochloride, triprolidine hydrochloride",TRUE,3,1,"active",1960-12-31
"626","colchicine",TRUE,4,1,"active",1974-12-31
"627","colesevelam hydrochloride",FALSE,2,2,"active",2012-02-06
