"","drug_code","ccdd","n_ing","ai_code_set","tm_set","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name"
"1096",9565,FALSE,1,"7991","prochlorperazine (prochlorperazine maleate)","5 MG","PROCHLORPERAZINE MALEATE","prochlorperazine (prochlorperazine maleate)","prochlorperazine (prochlorperazine maleate) 5 mg"
"1097",9575,FALSE,1,"2117","triazolam","0.25 MG","TRIAZOLAM","triazolam","triazolam 0.25 mg"
"1098",9585,FALSE,1,"9782","dimenhydrinate","25 MG","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 25 mg"
"1099",9587,FALSE,1,"3566","petrolatum","100 %","PETROLATUM","petrolatum","petrolatum 100 %"
"1100",9593,FALSE,1,"8541","vancomycin (vancomycin hydrochloride)","250 MG","VANCOMYCIN HYDROCHLORIDE","vancomycin (vancomycin hydrochloride)","vancomycin (vancomycin hydrochloride) 250 mg"
"1101",9594,FALSE,1,"8541","vancomycin (vancomycin hydrochloride)","125 MG","VANCOMYCIN HYDROCHLORIDE","vancomycin (vancomycin hydrochloride)","vancomycin (vancomycin hydrochloride) 125 mg"
"1102",9611,FALSE,1,"4028","sodium polystyrene sulfonate","250 MG per ML","SODIUM POLYSTYRENE SULFONATE","sodium polystyrene sulfonate","sodium polystyrene sulfonate 250 mg per mL"
"1103",9612,FALSE,1,"4028","sodium polystyrene sulfonate","250 MG per ML","SODIUM POLYSTYRENE SULFONATE","sodium polystyrene sulfonate","sodium polystyrene sulfonate 250 mg per mL"
"1104",9613,TRUE,1,"12030","dexamethasone phosphate","4 MG per ML","DEXAMETHASONE SODIUM PHOSPHATE","dexamethasone phosphate (dexamethasone sodium phosphate)","dexamethasone phosphate (dexamethasone sodium phosphate) 4 mg per mL"
"1105",9616,TRUE,1,"12030","dexamethasone phosphate","1 MG per ML","DEXAMETHASONE SODIUM PHOSPHATE","dexamethasone phosphate (dexamethasone sodium phosphate)","dexamethasone phosphate (dexamethasone sodium phosphate) 1 mg per mL"
"1106",9617,FALSE,1,"8632","gentamicin (gentamicin sulfate)","3 MG per ML","GENTAMICIN SULFATE","gentamicin (gentamicin sulfate)","gentamicin (gentamicin sulfate) 3 mg per mL"
"1107",9626,TRUE,2,"270, 9131","acetaminophen, codeine","300 MG, 30 MG","ACETAMINOPHEN, CODEINE PHOSPHATE","acetaminophen, codeine phosphate","acetaminophen 300 mg and codeine phosphate 30 mg"
"1108",9627,TRUE,1,"270","acetaminophen","500 MG","ACETAMINOPHEN","acetaminophen","acetaminophen 500 mg"
"1109",9628,TRUE,1,"270","acetaminophen","325 MG","ACETAMINOPHEN","acetaminophen","acetaminophen 325 mg"
"1110",9629,FALSE,1,"7991","prochlorperazine","10 MG","PROCHLORPERAZINE","prochlorperazine","prochlorperazine 10 mg"
"1111",9700,FALSE,1,"3275","albumin","250 MG per ML","ALBUMIN","albumin","albumin 250 mg per mL"
"1112",9703,TRUE,1,"11130","fluoxetine","20 MG","FLUOXETINE HYDROCHLORIDE","fluoxetine (fluoxetine hydrochloride)","fluoxetine (fluoxetine hydrochloride) 20 mg"
"1113",9731,TRUE,1,"10110","verapamil","80 MG","VERAPAMIL HYDROCHLORIDE","verapamil hydrochloride","verapamil hydrochloride 80 mg"
"1114",9732,TRUE,1,"10110","verapamil","120 MG","VERAPAMIL HYDROCHLORIDE","verapamil hydrochloride","verapamil hydrochloride 120 mg"
"1115",9740,FALSE,1,"3275","albumin","50 MG per ML","ALBUMIN","albumin","albumin 50 mg per mL"
"1116",9776,FALSE,1,"6340","methocarbamol","100 MG per ML","METHOCARBAMOL","methocarbamol","methocarbamol 100 mg per mL"
"1117",9782,FALSE,1,"9152","docusate sodium","100 MG","DOCUSATE SODIUM","docusate sodium","docusate sodium 100 mg"
"1118",9788,TRUE,2,"7326, 7323","insulin, insulin isophane human","30 UNIT per ML, 70 UNIT per ML","INSULIN, NPH","insulin, insulin isophane (nph)","insulin 30 unit per mL and insulin isophane (nph) 70 unit per mL"
"1119",9790,FALSE,1,"9060","heparin sodium","10 UNIT per ML","HEPARIN SODIUM","heparin sodium","heparin sodium 10 unit per mL"
"1120",9791,FALSE,1,"9060","heparin sodium","100 UNIT per ML","HEPARIN SODIUM","heparin sodium","heparin sodium 100 unit per mL"
"1121",9812,FALSE,1,"9152","docusate sodium","4 MG per ML","DOCUSATE SODIUM","docusate sodium","docusate sodium 4 mg per mL"
"1122",9814,TRUE,1,"8642","doxycycline","100 MG","DOXYCYCLINE HYCLATE","doxycycline (doxycycline hyclate)","doxycycline (doxycycline hyclate) 100 mg"
"1123",9820,FALSE,2,"7140, 12121","mineral oil, white petrolatum","42.5 %, 57.3 %","MINERAL OIL, WHITE PETROLATUM","mineral oil, white petrolatum","mineral oil 42.5 % and white petrolatum 57.3 %"
"1124",9823,TRUE,1,"1250","omeprazole","20 MG","OMEPRAZOLE","omeprazole","omeprazole 20 mg"
"1125",9824,TRUE,1,"626","chlorhexidine","20 %","CHLORHEXIDINE GLUCONATE","chlorhexidine gluconate","chlorhexidine gluconate 20 %"
"1126",9825,FALSE,1,"55","sodium chloride","900 MG per 100 ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 900 mg per 100 mL"
"1127",9826,FALSE,2,"53, 55","potassium chloride, sodium chloride","150 MG per 100 ML, 900 MG per 100 ML","POTASSIUM CHLORIDE, SODIUM CHLORIDE","potassium chloride, sodium chloride","potassium chloride 150 mg per 100 mL and sodium chloride 900 mg per 100 mL"
"1128",9827,FALSE,2,"53, 55","potassium chloride, sodium chloride","300 MG per 100 ML, 900 MG per 100 ML","POTASSIUM CHLORIDE, SODIUM CHLORIDE","potassium chloride, sodium chloride","potassium chloride 300 mg per 100 mL and sodium chloride 900 mg per 100 mL"
"1129",9828,FALSE,1,"8865","glycine","1.5 G per 100 ML","GLYCINE","glycine","glycine 1.5 g per 100 mL"
"1130",9829,FALSE,2,"9547, 9192","mannitol, sorbitol","500 MG per 100 ML, 2.5 G per 100 ML","MANNITOL, SORBITOL","mannitol, sorbitol","mannitol 500 mg per 100 mL and sorbitol 2.5 g per 100 mL"
"1131",9830,FALSE,4,"51, 53, 55, 1074","calcium chloride, potassium chloride, sodium chloride, sodium lactate","20 MG per 100 ML, 30 MG per 100 ML, 600 MG per 100 ML, 310 MG per 100 ML","CALCIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, potassium chloride, sodium chloride, sodium lactate","calcium chloride 20 mg per 100 mL and potassium chloride 30 mg per 100 mL and sodium chloride 600 mg per 100 mL and sodium lactate 310 mg per 100 mL"
"1132",9831,FALSE,1,"8826","water","100 %","WATER","water","water 100 %"
"1133",9845,FALSE,5,"47, 51, 42, 49, 55","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride","10.8 G per L, 4.99 G per L, 67.5 G per L, 2.14 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 4.99 g per l and dextrose 67.5 g per l and magnesium chloride 2.14 g per l and sodium chloride 263 g per l"
"1134",9848,FALSE,4,"47, 42, 49, 55","acetic acid, dextrose, magnesium chloride, sodium chloride","10.8 G per L, 45 G per L, 1.61 G per L, 263 G per L","ACETIC ACID, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, dextrose, magnesium chloride, sodium chloride","acetic acid 10.8 g per l and dextrose 45 g per l and magnesium chloride 1.61 g per l and sodium chloride 263 g per l"
"1135",9852,FALSE,6,"47, 51, 42, 49, 53, 55","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","10.8 G per L, 6.24 G per L, 45 G per L, 1.61 G per L, 10.1 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 6.24 g per l and dextrose 45 g per l and magnesium chloride 1.61 g per l and potassium chloride 10.1 g per l and sodium chloride 263 g per l"
"1136",9854,FALSE,6,"47, 51, 42, 49, 53, 55","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","10.8 G per L, 4.99 G per L, 67.5 G per L, 2.14 G per L, 3.35 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 4.99 g per l and dextrose 67.5 g per l and magnesium chloride 2.14 g per l and potassium chloride 3.35 g per l and sodium chloride 263 g per l"
"1137",9858,TRUE,1,"9412","nitroglycerin","25 MG per 10 SQ CM","NITROGLYCERIN","nitroglycerin","nitroglycerin 25 mg per 10 sq cm"
"1138",9861,FALSE,1,"2155","desmopressin acetate","10 MCG per ACTUATION","DESMOPRESSIN ACETATE","desmopressin acetate","desmopressin acetate 10 mcg per actuation"
"1139",9886,TRUE,1,"2167","metoprolol","50 MG","METOPROLOL TARTRATE","metoprolol tartrate","metoprolol tartrate 50 mg"
"1140",9887,TRUE,1,"2167","metoprolol","100 MG","METOPROLOL TARTRATE","metoprolol tartrate","metoprolol tartrate 100 mg"
"1141",9888,TRUE,1,"2013","diclofenac","25 MG","DICLOFENAC SODIUM","diclofenac sodium","diclofenac sodium 25 mg"
"1142",9889,TRUE,1,"2013","diclofenac","50 MG","DICLOFENAC SODIUM","diclofenac sodium","diclofenac sodium 50 mg"
"1143",9890,TRUE,1,"11096","ranitidine","300 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 300 mg"
"1144",9891,TRUE,1,"11096","ranitidine","150 MG","RANITIDINE HYDROCHLORIDE","ranitidine (ranitidine hydrochloride)","ranitidine (ranitidine hydrochloride) 150 mg"
"1145",9892,FALSE,3,"253, 649, 648","amylase, lipase, protease","100000 UNIT, 25000 UNIT, 100000 UNIT","AMYLASE, LIPASE, PROTEASE","amylase, lipase, protease","amylase 100000 unit and lipase 25000 unit and protease 100000 unit"
"1146",9899,FALSE,1,"2144","pindolol","5 MG","PINDOLOL","pindolol","pindolol 5 mg"
"1147",9900,FALSE,1,"2144","pindolol","10 MG","PINDOLOL","pindolol","pindolol 10 mg"
"1148",9904,TRUE,1,"2041","atenolol","100 MG","ATENOLOL","atenolol","atenolol 100 mg"
"1149",9905,TRUE,1,"2041","atenolol","50 MG","ATENOLOL","atenolol","atenolol 50 mg"
"1150",9908,TRUE,1,"8376","cephalexin","500 MG","CEPHALEXIN","cephalexin","cephalexin 500 mg"
"1151",9910,TRUE,1,"9880","metronidazole","500 MG","METRONIDAZOLE","metronidazole","metronidazole 500 mg"
"1152",9915,FALSE,1,"1255","octreotide (octreotide acetate)","50 MCG per ML","OCTREOTIDE ACETATE","octreotide (octreotide acetate)","octreotide (octreotide acetate) 50 mcg per mL"
"1153",9916,FALSE,1,"1255","octreotide (octreotide acetate)","100 MCG per ML","OCTREOTIDE ACETATE","octreotide (octreotide acetate)","octreotide (octreotide acetate) 100 mcg per mL"
"1154",9917,FALSE,1,"1255","octreotide (octreotide acetate)","500 MCG per ML","OCTREOTIDE ACETATE","octreotide (octreotide acetate)","octreotide (octreotide acetate) 500 mcg per mL"
"1155",9919,FALSE,1,"7991","prochlorperazine","10 MG","PROCHLORPERAZINE","prochlorperazine","prochlorperazine 10 mg"
"1156",9920,FALSE,1,"7991","prochlorperazine (prochlorperazine mesylate)","5 MG per ML","PROCHLORPERAZINE MESYLATE","prochlorperazine (prochlorperazine mesylate)","prochlorperazine (prochlorperazine mesylate) 5 mg per mL"
"1157",9926,FALSE,1,"2375","clotrimazole","1 %","CLOTRIMAZOLE","clotrimazole","clotrimazole 1 %"
"1158",9927,FALSE,1,"2375","clotrimazole","2 %","CLOTRIMAZOLE","clotrimazole","clotrimazole 2 %"
"1159",9929,TRUE,1,"7610","betamethasone (base)","0.1 %","BETAMETHASONE VALERATE","betamethasone (betamethasone valerate)","betamethasone (betamethasone valerate) 0.1 %"
"1160",9938,TRUE,1,"1966","nifedipine","5 MG","NIFEDIPINE","nifedipine","nifedipine 5 mg"
"1161",9940,TRUE,1,"10110","verapamil","120 MG","VERAPAMIL HYDROCHLORIDE","verapamil hydrochloride","verapamil hydrochloride 120 mg"
"1162",9941,TRUE,1,"2585","salbutamol","100 MCG per ACTUATION","SALBUTAMOL","salbutamol","salbutamol 100 mcg per actuation"
"1163",9943,TRUE,1,"2013","diclofenac","75 MG","DICLOFENAC SODIUM","diclofenac sodium","diclofenac sodium 75 mg"
"1164",9972,FALSE,1,"7991","prochlorperazine (prochlorperazine mesylate)","5 MG per ML","PROCHLORPERAZINE MESYLATE","prochlorperazine (prochlorperazine mesylate)","prochlorperazine (prochlorperazine mesylate) 5 mg per mL"
"1165",9973,TRUE,1,"8508","nystatin","100000 UNIT per ML","NYSTATIN","nystatin","nystatin 100000 unit per mL"
"1166",9992,FALSE,1,"646","vitamin c (sodium ascorbate)","250 MG per ML","SODIUM ASCORBATE","vitamin c (sodium ascorbate)","vitamin c (sodium ascorbate) 250 mg per mL"
"1167",9993,FALSE,1,"4918","vitamin k1","2 MG per ML","VITAMIN K1","vitamin k1","vitamin k1 2 mg per mL"
"1168",9994,FALSE,1,"4918","vitamin k1","10 MG per ML","VITAMIN K1","vitamin k1","vitamin k1 10 mg per mL"
"1169",10008,FALSE,1,"9267","imipramine hydrochloride","75 MG","IMIPRAMINE HYDROCHLORIDE","imipramine hydrochloride","imipramine hydrochloride 75 mg"
"1170",10009,FALSE,5,"51, 42, 49, 55, 1074","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","23.9 MG per 100 ML, 2.5 G per 100 ML, 15.2 MG per 100 ML, 567 MG per 100 ML, 392 MG per 100 ML","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","calcium chloride 23.9 mg per 100 mL and dextrose 2.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL"
"1171",10015,FALSE,1,"6311","fluorouracil","50 MG per ML","FLUOROURACIL","fluorouracil","fluorouracil 50 mg per mL"
"1172",10024,TRUE,1,"8642","doxycycline","100 MG","DOXYCYCLINE HYCLATE","doxycycline (doxycycline hyclate)","doxycycline (doxycycline hyclate) 100 mg"
"1173",10026,TRUE,1,"10146","haloperidol","5 MG per ML","HALOPERIDOL","haloperidol","haloperidol 5 mg per mL"
"1174",10032,FALSE,2,"710, 12399","dextran 70, hypromellose","0.1 %, 0.3 %","DEXTRAN 70, HYPROMELLOSE","dextran 70, hypromellose","dextran 70 0.1 % and hypromellose 0.3 %"
"1175",10034,TRUE,1,"10110","verapamil","80 MG","VERAPAMIL HYDROCHLORIDE","verapamil hydrochloride","verapamil hydrochloride 80 mg"
"1176",10035,TRUE,1,"2037","naproxen","275 MG","NAPROXEN SODIUM","naproxen sodium","naproxen sodium 275 mg"
"1177",10036,TRUE,1,"2013","diclofenac","25 MG","DICLOFENAC SODIUM","diclofenac sodium","diclofenac sodium 25 mg"
"1178",10037,TRUE,1,"2013","diclofenac","50 MG","DICLOFENAC SODIUM","diclofenac sodium","diclofenac sodium 50 mg"
"1179",10040,FALSE,1,"55","sodium chloride","900 MG per 100 ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 900 mg per 100 mL"
"1180",10041,FALSE,2,"42, 53","dextrose, potassium chloride","5 G per 100 ML, 150 MG per 100 ML","DEXTROSE, POTASSIUM CHLORIDE","dextrose, potassium chloride","dextrose 5 g per 100 mL and potassium chloride 150 mg per 100 mL"
"1181",10042,FALSE,2,"42, 53","dextrose, potassium chloride","5 G per 100 ML, 300 MG per 100 ML","DEXTROSE, POTASSIUM CHLORIDE","dextrose, potassium chloride","dextrose 5 g per 100 mL and potassium chloride 300 mg per 100 mL"
"1182",10044,FALSE,3,"42, 53, 55","dextrose, potassium chloride, sodium chloride","5 G per 100 ML, 150 MG per 100 ML, 450 MG per 100 ML","DEXTROSE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","dextrose, potassium chloride, sodium chloride","dextrose 5 g per 100 mL and potassium chloride 150 mg per 100 mL and sodium chloride 450 mg per 100 mL"
"1183",10045,FALSE,3,"42, 53, 55","dextrose, potassium chloride, sodium chloride","5 G per 100 ML, 300 MG per 100 ML, 450 MG per 100 ML","DEXTROSE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","dextrose, potassium chloride, sodium chloride","dextrose 5 g per 100 mL and potassium chloride 300 mg per 100 mL and sodium chloride 450 mg per 100 mL"
"1184",10052,TRUE,2,"7532, 6343","hydrocortisone, pramoxine hydrochloride","1 %, 1 %","HYDROCORTISONE, PRAMOXINE HYDROCHLORIDE","hydrocortisone, pramoxine hydrochloride","hydrocortisone 1 % and pramoxine hydrochloride 1 %"
"1185",10054,FALSE,1,"10247","dextromethorphan hydrobromide","15 MG per 5 ML","DEXTROMETHORPHAN HYDROBROMIDE","dextromethorphan hydrobromide","dextromethorphan hydrobromide 15 mg per 5 mL"
"1186",10062,FALSE,3,"8523, 8638, 8520","gramicidin, neomycin (neomycin sulfate), polymyxin b (polymyxin b sulfate)","0.025 MG per ML, 1.75 MG per ML, 10000 UNIT per ML","GRAMICIDIN, NEOMYCIN SULFATE, POLYMYXIN B SULFATE","gramicidin, neomycin (neomycin sulfate), polymyxin b (polymyxin b sulfate)","gramicidin 0.025 mg per mL and neomycin (neomycin sulfate) 1.75 mg per mL and polymyxin b (polymyxin b sulfate) 10000 unit per mL"
"1187",10063,FALSE,1,"5040","thiamine hydrochloride","100 MG per ML","THIAMINE HYDROCHLORIDE","thiamine hydrochloride","thiamine hydrochloride 100 mg per mL"
"1188",10064,FALSE,1,"7160","methylene blue","10 MG per ML","METHYLENE BLUE","methylene blue","methylene blue 10 mg per mL"
"1189",10114,FALSE,5,"47, 51, 42, 49, 55","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride","10.8 G per L, 6.24 G per L, 67.54 G per L, 1.61 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 6.24 g per l and dextrose 67.54 g per l and magnesium chloride 1.61 g per l and sodium chloride 263 g per l"
"1190",10115,FALSE,6,"47, 51, 42, 49, 53, 55","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","10.8 G per L, 6.24 G per L, 67.54 G per L, 1.61 G per L, 6.71 G per L, 263 G per L","ACETIC ACID, CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM CHLORIDE","acetic acid, calcium chloride, dextrose, magnesium chloride, potassium chloride, sodium chloride","acetic acid 10.8 g per l and calcium chloride 6.24 g per l and dextrose 67.54 g per l and magnesium chloride 1.61 g per l and potassium chloride 6.71 g per l and sodium chloride 263 g per l"
"1191",10116,TRUE,1,"9412","nitroglycerin","50 MG per 20 SQ CM","NITROGLYCERIN","nitroglycerin","nitroglycerin 50 mg per 20 sq cm"
"1192",10117,TRUE,1,"8642","doxycycline","100 MG","DOXYCYCLINE HYCLATE","doxycycline (doxycycline hyclate)","doxycycline (doxycycline hyclate) 100 mg"
"1193",10128,FALSE,1,"11253","pyrantel (pyrantel pamoate)","35 MG","PYRANTEL PAMOATE","pyrantel (pyrantel pamoate)","pyrantel (pyrantel pamoate) 35 mg"
"1194",10134,FALSE,1,"2327","ketoprofen","100 MG","KETOPROFEN","ketoprofen","ketoprofen 100 mg"
"1195",10135,FALSE,1,"2327","ketoprofen","50 MG","KETOPROFEN","ketoprofen","ketoprofen 50 mg"
"1196",10136,FALSE,1,"2327","ketoprofen","50 MG","KETOPROFEN","ketoprofen","ketoprofen 50 mg"
"1197",10143,FALSE,5,"51, 42, 49, 55, 1074","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","23.9 MG per 100 ML, 4.25 G per 100 ML, 15.2 MG per 100 ML, 567 MG per 100 ML, 392 MG per 100 ML","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","calcium chloride 23.9 mg per 100 mL and dextrose 4.25 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL"
"1198",10144,FALSE,5,"51, 42, 49, 55, 1074","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","23.9 MG per 100 ML, 1.5 G per 100 ML, 15.2 MG per 100 ML, 567 MG per 100 ML, 392 MG per 100 ML","CALCIUM CHLORIDE, DEXTROSE, MAGNESIUM CHLORIDE, SODIUM CHLORIDE, SODIUM LACTATE","calcium chloride, dextrose, magnesium chloride, sodium chloride, sodium lactate","calcium chloride 23.9 mg per 100 mL and dextrose 1.5 g per 100 mL and magnesium chloride 15.2 mg per 100 mL and sodium chloride 567 mg per 100 mL and sodium lactate 392 mg per 100 mL"
"1199",10169,TRUE,2,"7617, 8145","prednisolone, sulfacetamide sodium","0.2 %, 10 %","PREDNISOLONE ACETATE, SULFACETAMIDE SODIUM","prednisolone acetate, sulfacetamide sodium","prednisolone acetate 0.2 % and sulfacetamide sodium 10 %"
"1200",10173,TRUE,1,"20280","hydromorphone","1 MG per ML","HYDROMORPHONE HYDROCHLORIDE","hydromorphone hydrochloride","hydromorphone hydrochloride 1 mg per mL"
"1201",10177,TRUE,1,"626","chlorhexidine","0.05 %","CHLORHEXIDINE GLUCONATE","chlorhexidine gluconate","chlorhexidine gluconate 0.05 %"
"1202",10188,TRUE,2,"270, 10258","acetaminophen, phenylephrine hydrochloride","650 MG per PCK, 10 MG per PCK","ACETAMINOPHEN, PHENYLEPHRINE HYDROCHLORIDE","acetaminophen, phenylephrine hydrochloride","acetaminophen 650 mg per pck and phenylephrine hydrochloride 10 mg per pck"
"1203",10200,FALSE,1,"150","acetylsalicylic acid","325 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 325 mg"
"1204",10211,TRUE,1,"7610","betamethasone (base)","0.05 %","BETAMETHASONE DIPROPIONATE","betamethasone (betamethasone dipropionate)","betamethasone (betamethasone dipropionate) 0.05 %"
"1205",10217,FALSE,3,"721, 433, 720","aluminum hydroxide, dimethicone, magnesium hydroxide","200 MG per 5 ML, 25 MG per 5 ML, 200 MG per 5 ML","ALUMINUM HYDROXIDE, DIMETHICONE, MAGNESIUM HYDROXIDE","aluminum hydroxide, dimethicone, magnesium hydroxide","aluminum hydroxide 200 mg per 5 mL and dimethicone 25 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL"
"1206",10294,TRUE,1,"2609","ibuprofen","200 MG","IBUPROFEN","ibuprofen","ibuprofen 200 mg"
"1207",10312,TRUE,1,"4991","folic acid","5 MG per ML","FOLIC ACID","folic acid","folic acid 5 mg per mL"
"1208",10314,FALSE,1,"3566","petrolatum","100 %","PETROLATUM","petrolatum","petrolatum 100 %"
"1209",10316,FALSE,1,"9150","docusate calcium","240 MG","DOCUSATE CALCIUM","docusate calcium","docusate calcium 240 mg"
"1210",10318,FALSE,1,"1756","leuprolide acetate","7.5 MG per VIAL","LEUPROLIDE ACETATE","leuprolide acetate","leuprolide acetate 7.5 mg per vial"
"1211",10383,TRUE,1,"8642","doxycycline","100 MG","DOXYCYCLINE HYCLATE","doxycycline (doxycycline hyclate)","doxycycline (doxycycline hyclate) 100 mg"
"1212",10391,TRUE,1,"2585","salbutamol","5 MG per ML","SALBUTAMOL SULFATE","salbutamol (salbutamol sulfate)","salbutamol (salbutamol sulfate) 5 mg per mL"
"1213",10394,TRUE,1,"1926","diltiazem","30 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 30 mg"
"1214",10395,TRUE,1,"1926","diltiazem","60 MG","DILTIAZEM HYDROCHLORIDE","diltiazem hydrochloride","diltiazem hydrochloride 60 mg"
"1215",10398,TRUE,1,"6186","methylphenidate","10 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 10 mg"
"1216",10399,TRUE,1,"6186","methylphenidate","20 MG","METHYLPHENIDATE HYDROCHLORIDE","methylphenidate hydrochloride","methylphenidate hydrochloride 20 mg"
"1217",10433,TRUE,1,"6165","oxycodone","5 MG","OXYCODONE HYDROCHLORIDE","oxycodone hydrochloride","oxycodone hydrochloride 5 mg"
"1218",10435,TRUE,1,"8508","nystatin","100000 UNIT per ML","NYSTATIN","nystatin","nystatin 100000 unit per mL"
"1219",10438,FALSE,2,"42, 55","dextrose, sodium chloride","5 G per 100 ML, 200 MG per 100 ML","DEXTROSE, SODIUM CHLORIDE","dextrose, sodium chloride","dextrose 5 g per 100 mL and sodium chloride 200 mg per 100 mL"
"1220",10439,FALSE,2,"42, 55","dextrose, sodium chloride","5 G per 100 ML, 450 MG per 100 ML","DEXTROSE, SODIUM CHLORIDE","dextrose, sodium chloride","dextrose 5 g per 100 mL and sodium chloride 450 mg per 100 mL"
"1221",10440,FALSE,2,"42, 55","dextrose, sodium chloride","5 G per 100 ML, 900 MG per 100 ML","DEXTROSE, SODIUM CHLORIDE","dextrose, sodium chloride","dextrose 5 g per 100 mL and sodium chloride 900 mg per 100 mL"
"1222",10441,FALSE,2,"42, 55","dextrose, sodium chloride","10 G per 100 ML, 900 MG per 100 ML","DEXTROSE, SODIUM CHLORIDE","dextrose, sodium chloride","dextrose 10 g per 100 mL and sodium chloride 900 mg per 100 mL"
"1223",10442,FALSE,1,"55","sodium chloride","450 MG per 100 ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 450 mg per 100 mL"
"1224",10450,TRUE,1,"270","acetaminophen","32 MG per ML","ACETAMINOPHEN","acetaminophen","acetaminophen 32 mg per mL"
"1225",10451,TRUE,1,"270","acetaminophen","16 MG per ML","ACETAMINOPHEN","acetaminophen","acetaminophen 16 mg per mL"
"1226",10485,TRUE,1,"9117","morphine","50 MG per ML","MORPHINE SULFATE","morphine sulfate","morphine sulfate 50 mg per mL"
"1227",10486,FALSE,1,"182","diphenhydramine hydrochloride","2.5 MG per ML","DIPHENHYDRAMINE HYDROCHLORIDE","diphenhydramine hydrochloride","diphenhydramine hydrochloride 2.5 mg per mL"
"1228",10488,FALSE,1,"8007","fluphenazine decanoate","100 MG per ML","FLUPHENAZINE DECANOATE","fluphenazine decanoate","fluphenazine decanoate 100 mg per mL"
"1229",10492,FALSE,1,"2161","dinoprostone","0.5 MG per 2.5 ML","DINOPROSTONE","dinoprostone","dinoprostone 0.5 mg per 2.5 mL"
"1230",10494,TRUE,2,"20230, 10234","amiloride hydrochloride, hydrochlorothiazide","5 MG, 50 MG","AMILORIDE HYDROCHLORIDE, HYDROCHLOROTHIAZIDE","amiloride hydrochloride, hydrochlorothiazide","amiloride hydrochloride 5 mg and hydrochlorothiazide 50 mg"
"1231",10495,TRUE,1,"3776","metoclopramide","5 MG","METOCLOPRAMIDE HYDROCHLORIDE","metoclopramide hydrochloride","metoclopramide hydrochloride 5 mg"
