"","dpd_ingredient","active_ingredient_code","hydrate","ccdd","top250name","ing_stem"
"276","Dabrafenib (Dabrafenib mesylate)",22126,FALSE,"","","Dabrafenib (Dabrafenib mesylate)"
"277","TRANDOLAPRIL",11443,FALSE,"Y","TRANDOLAPRIL","TRANDOLAPRIL"
"278","Galsulfase",22147,FALSE,"","","Galsulfase"
"279","RIFABUTIN",8316,FALSE,"","","RIFABUTIN"
"280","THALIDOMIDE",6036,FALSE,"","","THALIDOMIDE"
"281","FROVATRIPTAN (Frovatriptan Succinate Monohydrate)",13350,TRUE,"","","FROVATRIPTAN (Frovatriptan Succinate Monohydrate)"
"282","DIAZEPAM",9418,FALSE,"Y","DIAZEPAM","DIAZEPAM"
"283","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN",19709,FALSE,"","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 16 L1 PROTEIN"
"284","OXYMETAZOLINE HYDROCHLORIDE",10195,FALSE,"","","OXYMETAZOLINE HYDROCHLORIDE"
"285","AGALSIDASE ALFA",13300,FALSE,"","","AGALSIDASE ALFA"
"286","GONADORELIN ACETATE",7330,FALSE,"","","GONADORELIN ACETATE"
"287","DICHLOROBENZENE",3989,FALSE,"","","DICHLOROBENZENE"
"288","L-THREONINE",941,FALSE,"","","L-THREONINE"
"289","PENTAMIDINE ISETIONATE",20144,FALSE,NA,NA,NA
"290","RISEDRONATE SODIUM (RISEDRONATE SODIUM MONOHYDRATE)",11819,TRUE,"Y","RISEDRONATE","RISEDRONATE"
"291","CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE)",8551,FALSE,"Y","CLINDAMYCIN","CLINDAMYCIN"
"292","CIPROFLOXACIN (CIPROFLOXACIN LACTATE)",93,FALSE,"Y","CIPROFLOXACIN","CIPROFLOXACIN"
"293","DIMENHYDRINATE",9782,FALSE,"","","DIMENHYDRINATE"
"294","INTERFERON ALFA-2B",1751,FALSE,"","","INTERFERON ALFA-2B"
"295","BUSPIRONE HYDROCHLORIDE",1890,FALSE,"","","BUSPIRONE HYDROCHLORIDE"
"296","TOLBUTAMIDE",9563,FALSE,"","","TOLBUTAMIDE"
"297","EXEMESTANE",12019,FALSE,"","","EXEMESTANE"
"298","DIMETHYL SULFOXIDE",9745,FALSE,"","","DIMETHYL SULFOXIDE"
"299","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN",22571,FALSE,"","","RECOMBINANT HUMAN PAPILLOMAVIRUS TYPE 33 L1 PROTEIN"
"300","TYPHOID VACCINE (SALMONELLA TYPHI TY21A)",7832,FALSE,"","","TYPHOID VACCINE (SALMONELLA TYPHI TY21A)"
"301","METHYLPREDNISOLONE",7626,FALSE,"","","METHYLPREDNISOLONE"
"302","ZINC (ZINC OXIDE)",331,FALSE,"","","ZINC (ZINC OXIDE)"
"303","Roflumilast",20639,FALSE,NA,NA,NA
"304","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4",19830,FALSE,"","","HUMAN-BOVINE ROTAVIRUS REASSORTANT TYPE G4"
"305","LETROZOLE",11446,FALSE,"","","LETROZOLE"
"306","REPAGLINIDE",11860,FALSE,"Y","REPAGLINIDE","REPAGLINIDE"
"307","HUMAN PLASMA PROTEINS",12888,FALSE,"","","HUMAN PLASMA PROTEINS"
"308","FROVATRIPTAN (FROVATRIPTAN SUCCINATE)",13350,FALSE,"","","FROVATRIPTAN (FROVATRIPTAN SUCCINATE)"
"309","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)",11707,TRUE,"","","ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE)"
"310","TRIMETHOPRIM",8452,FALSE,"Y","TRIMETHOPRIM","TRIMETHOPRIM"
"311","CARBIDOPA",2370,FALSE,"Y","CARBIDOPA","CARBIDOPA"
"312","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE",214,FALSE,"","","BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE"
"313","SOYBEAN OIL",3289,FALSE,"","","SOYBEAN OIL"
"314","PAMIDRONATE DISODIUM",896,FALSE,"","","PAMIDRONATE DISODIUM"
"315","TROSPIUM CHLORIDE",17368,FALSE,"","","TROSPIUM CHLORIDE"
"316","DINOPROSTONE",2161,FALSE,"","","DINOPROSTONE"
"317","IRBESARTAN",11776,FALSE,"Y","IRBESARTAN","IRBESARTAN"
"318","BECLOMETHASONE DIPROPIONATE",7567,FALSE,"Y","BECLOMETHASONE","BECLOMETHASONE"
"319","PROPYLENE GLYCOL",10219,FALSE,"","","PROPYLENE GLYCOL"
"320","METHYLENE BLUE",7160,FALSE,"","","METHYLENE BLUE"
"321","DACLIZUMAB BETA",22834,FALSE,"","","DACLIZUMAB BETA"
"322","CALCITRIOL",4893,FALSE,"Y","CALCITRIOL","CALCITRIOL"
"323","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A",20542,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 6A"
"324","CLOPIDOGREL (CLOPIDOGREL BISULFATE)",11795,FALSE,"Y","CLOPIDOGREL","CLOPIDOGREL"
"325","GLYBURIDE",4007,FALSE,"Y","GLYBURIDE","GLYBURIDE"
"326","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE",20582,FALSE,"","","MENINGOCOCCAL GROUP W-135 OLIGOSACCHARIDE"
"327","OLANZAPINE",1,FALSE,"Y","OLANZAPINE","OLANZAPINE"
"328","CERTOLIZUMAB PEGOL",20513,FALSE,"","","CERTOLIZUMAB PEGOL"
"329","VITAMIN B12",781,FALSE,"","","VITAMIN B12"
"330","MELOXICAM",11764,FALSE,"Y","MELOXICAM","MELOXICAM"
"331","PHENIRAMINE MALEATE",6895,FALSE,"","","PHENIRAMINE MALEATE"
"332","BICALUTAMIDE",141,FALSE,"","","BICALUTAMIDE"
"333","DESIPRAMINE HYDROCHLORIDE",10024,FALSE,"","","DESIPRAMINE HYDROCHLORIDE"
"334","Deferiprone",22561,FALSE,"","","Deferiprone"
"335","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V",20536,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 9V"
"336","MANGANESE CHLORIDE",9229,FALSE,"","","MANGANESE CHLORIDE"
"337","Prucalopride (Prucalopride Succinate)",21066,FALSE,"","","Prucalopride (Prucalopride Succinate)"
"338","STANDARDIZED PERENNIAL RYE GRASS POLLEN",5158,FALSE,"","","STANDARDIZED PERENNIAL RYE GRASS POLLEN"
"339","INSULIN ASPART PROTAMINE",20190,FALSE,"","","INSULIN ASPART PROTAMINE"
"340","ALCOHOL ANHYDROUS",8890,FALSE,"","","ALCOHOL ANHYDROUS"
"341","VITAMIN A",704,FALSE,"","","VITAMIN A"
"342","Nonacog Gamma",22522,FALSE,"","","Nonacog Gamma"
"343","CHLOROXYLENOL",774,FALSE,"","","CHLOROXYLENOL"
"344","MIFEPRISTONE",22628,FALSE,"","","MIFEPRISTONE"
"345","TETRACYCLINE HYDROCHLORIDE",8683,FALSE,"","","TETRACYCLINE HYDROCHLORIDE"
"346","COBIMETINIB (COBIMETINIB FUMARATE)",22695,FALSE,"","","COBIMETINIB (COBIMETINIB FUMARATE)"
"347","CHLORPROPAMIDE",9406,FALSE,"","","CHLORPROPAMIDE"
"348","BENZOIN",6950,FALSE,"","","BENZOIN"
"349","MELPHALAN",9872,FALSE,NA,NA,NA
"350","NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)",7393,FALSE,"","","NOREPINEPHRINE (NOREPINEPHRINE BITARTRATE)"
"351","EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)",8926,FALSE,"Y","EPINEPHRINE","EPINEPHRINE"
"352","NEOSTIGMINE BROMIDE",6291,FALSE,"","","NEOSTIGMINE BROMIDE"
"353","DANAPAROID SODIUM",285,FALSE,"","","DANAPAROID SODIUM"
"354","ATAZANAVIR (ATAZANAVIR SULFATE)",13026,FALSE,"","","ATAZANAVIR (ATAZANAVIR SULFATE)"
"355","GLUCAGON (RECOMBINANT DNA ORIGIN)",12072,FALSE,"","","GLUCAGON (RECOMBINANT DNA ORIGIN)"
"356","OXYTOCIN",7375,FALSE,"","","OXYTOCIN"
"357","AZTREONAM",8325,FALSE,"","","AZTREONAM"
"358","PERMETHRIN",1313,FALSE,"","","PERMETHRIN"
"359","NORFLOXACIN",1838,FALSE,"","","NORFLOXACIN"
"360","CANDESARTAN CILEXETIL",11814,FALSE,"Y","CANDESARTAN CILEXETIL","CANDESARTAN"
"361","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)",7961,FALSE,"","","TRIMEPRAZINE (TRIMEPRAZINE TARTRATE)"
"362","TROPICAMIDE",5843,FALSE,"","","TROPICAMIDE"
"363","FLUOROURACIL",6311,FALSE,"","","FLUOROURACIL"
"364","CYCLOBENZAPRINE HYDROCHLORIDE",2143,FALSE,"Y","CYCLOBENZAPRINE","CYCLOBENZAPRINE"
"365","HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)",7746,FALSE,"","","HEPATITIS B SURFACE ANTIGEN (RECOMBINANT)"
"366","FLUOXETINE (FLUOXETINE HYDROCHLORIDE)",11130,FALSE,"Y","FLUOXETINE","FLUOXETINE"
"367","SULFAMETHOXAZOLE",8174,FALSE,"","","SULFAMETHOXAZOLE"
"368","BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE)",7610,FALSE,"Y","BETAMETHASONE","BETAMETHASONE (BASE)"
"369","LEVOFLOXACIN (LEVOFLOXACIN HEMIHYDRATE)",11705,TRUE,"Y","LEVOFLOXACIN","LEVOFLOXACIN"
"370","SPIRONOLACTONE",7408,FALSE,"Y","SPIRONOLACTONE","SPIRONOLACTONE"
"371","BENZETHONIUM CHLORIDE",783,FALSE,"","","BENZETHONIUM CHLORIDE"
"372","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)",11169,FALSE,"","","VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE)"
"373","TRIPTORELIN (TRIPTORELIN PAMOATE)",11874,FALSE,"","","TRIPTORELIN (TRIPTORELIN PAMOATE)"
"374","CALCIUM POLYSTYRENE SULFONATE",2089,FALSE,"","","CALCIUM POLYSTYRENE SULFONATE"
"375","ALPROSTADIL",7335,FALSE,"","","ALPROSTADIL"
"376","IDARUBICIN HYDROCHLORIDE",1745,FALSE,"","","IDARUBICIN HYDROCHLORIDE"
"377","NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE)",11121,FALSE,"Y","NORTRIPTYLINE","NORTRIPTYLINE"
"378","ALISKIREN (ALISKIREN FUMARATE)",20175,FALSE,"","","ALISKIREN (ALISKIREN FUMARATE)"
"379","PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE)",7954,FALSE,"","","PROMETHAZINE (PROMETHAZINE HYDROCHLORIDE)"
"380","MEROPENEM (MEROPENEM TRIHYDRATE)",41,TRUE,"","","MEROPENEM (MEROPENEM TRIHYDRATE)"
"381","CARFILZOMIB",22678,FALSE,"","","CARFILZOMIB"
"382","FENTANYL (FENTANYL CITRATE)",10075,FALSE,"Y","FENTANYL","FENTANYL"
"383","L-PROLINE",935,FALSE,"","","L-PROLINE"
"384","SIMETHICONE",719,FALSE,"","","SIMETHICONE"
"385","GLYCEROL PHENYLBUTYRATE",22705,FALSE,"","","GLYCEROL PHENYLBUTYRATE"
"386","ENTECAVIR",13030,FALSE,"","","ENTECAVIR"
"387","SULINDAC",2126,FALSE,"","","SULINDAC"
"388","FLUOROMETHOLONE",7576,FALSE,"","","FLUOROMETHOLONE"
"389","MENOTROPINS",7369,FALSE,"","","MENOTROPINS"
"390","PROGUANIL HYDROCHLORIDE",11782,FALSE,"","","PROGUANIL HYDROCHLORIDE"
"391","METHOTREXATE (METHOTREXATE DISODIUM)",5900,FALSE,NA,NA,NA
"392","GANIRELIX (GANIRELIX ACETATE)",12713,FALSE,"","","GANIRELIX (GANIRELIX ACETATE)"
"393","L-ISOLEUCINE",944,FALSE,"","","L-ISOLEUCINE"
"394","COAGULATION FACTOR IX (RECOMBINANT)",11417,FALSE,"","","COAGULATION FACTOR IX (RECOMBINANT)"
"395","BRENTUXIMAB VEDOTIN",21796,FALSE,"","","BRENTUXIMAB VEDOTIN"
"396","STANDARDIZED MEADOW FESCUE GRASS POLLEN",4486,FALSE,"","","STANDARDIZED MEADOW FESCUE GRASS POLLEN"
"397","IPRATROPIUM BROMIDE",1945,FALSE,"Y","IPRATROPIUM","IPRATROPIUM"
"398","VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)",11171,FALSE,"","","VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)"
"399","BRONOPOL",3975,FALSE,"","","BRONOPOL"
"400","TERBINAFINE HYDROCHLORIDE",707,FALSE,"Y","TERBINAFINE","TERBINAFINE"
"401","TESTOSTERONE PROPIONATE",7488,FALSE,NA,NA,NA
"402","HAMAMELIS VIRGINIANA",6854,FALSE,"","","HAMAMELIS VIRGINIANA"
"403","TETANUS TOXOID ADSORBED",7934,FALSE,"","","TETANUS TOXOID ADSORBED"
"404","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)",11229,FALSE,"","","FLUNARIZINE (FLUNARIZINE HYDROCHLORIDE)"
"405","MEROPENEM",41,FALSE,"","","MEROPENEM"
"406","VITAMIN C (SODIUM ASCORBATE)",646,FALSE,"","","VITAMIN C (SODIUM ASCORBATE)"
"407","TRICLOSAN",2813,FALSE,"","","TRICLOSAN"
"408","FOLLITROPIN BETA",11463,FALSE,"","","FOLLITROPIN BETA"
"409","CILAZAPRIL",951,FALSE,"","","CILAZAPRIL"
"410","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)",11516,FALSE,"","","ROPINIROLE (ROPINIROLE HYDROCHLORIDE)"
"411","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)",13346,FALSE,"","","ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)"
"412","PASIREOTIDE (Pasireotide diaspartate)",22149,FALSE,"","","PASIREOTIDE (Pasireotide diaspartate)"
"413","LENVATINIB (LENVATINIB MESYLATE)",22675,FALSE,"","","LENVATINIB (LENVATINIB MESYLATE)"
"414","CICLESONIDE",19961,FALSE,"Y","CICLESONIDE","CICLESONIDE"
"415","ALGLUCOSIDASE ALFA",19883,FALSE,"","","ALGLUCOSIDASE ALFA"
"416","POLYCARBOPHIL (CALCIUM POLYCARBOPHIL)",6584,FALSE,"","","POLYCARBOPHIL (CALCIUM POLYCARBOPHIL)"
"417","GLUTATHIONE DISULFIDE",1951,FALSE,"","","GLUTATHIONE DISULFIDE"
"418","DROMETRIZOLE TRISILOXANE",19130,FALSE,"","","DROMETRIZOLE TRISILOXANE"
"419","Dimethyl Fumarate",22048,FALSE,"","","Dimethyl Fumarate"
"420","ALUMINUM CHLOROHYDRATE",6984,TRUE,"","","ALUMINUM CHLOROHYDRATE"
"421","SALICYLIC ACID",9766,FALSE,"","","SALICYLIC ACID"
"422","CEFEPIME (CEFEPIME HYDROCHLORIDE)",11359,FALSE,"","","CEFEPIME (CEFEPIME HYDROCHLORIDE)"
"423","IBUTILIDE FUMARATE",12005,FALSE,NA,NA,NA
"424","NIVOLUMAB",22643,FALSE,"","","NIVOLUMAB"
"425","DEXTROAMPHETAMINE SULFATE",8298,FALSE,"Y","DEXTROAMPHETAMINE","DEXTROAMPHETAMINE"
"426","GLYCINE",8865,FALSE,"","","GLYCINE"
"427","DESMOPRESSIN (DESMOPRESSIN ACETATE)",19910,FALSE,"","","DESMOPRESSIN (DESMOPRESSIN ACETATE)"
"428","THYROTROPIN ALFA",12790,FALSE,"","","THYROTROPIN ALFA"
"429","QUINAPRIL (QUINAPRIL HYDROCHLORIDE)",11161,FALSE,"Y","QUINAPRIL","QUINAPRIL"
"430","IVACAFTOR",21511,FALSE,"","","IVACAFTOR"
"431","OXETACAINE",5201,FALSE,"","","OXETACAINE"
"432","CALCIUM (CALCIUM CARBONATE)",4803,FALSE,"","","CALCIUM (CALCIUM CARBONATE)"
"433","OFLOXACIN",954,FALSE,"","","OFLOXACIN"
"434","PAROXETINE (PAROXETINE HYDROCHLORIDE)",11340,FALSE,"Y","PAROXETINE","PAROXETINE"
"435","EFAVIRENZ",11857,FALSE,"","","EFAVIRENZ"
"436","EPINEPHRINE RACEMIC",8917,FALSE,"Y","EPINEPHRINE","EPINEPHRINE"
"437","SIMVASTATIN",1221,FALSE,"Y","SIMVASTATIN","SIMVASTATIN"
"438","Olodaterol (OLODATEROL HYDROCHLORIDE)",22094,FALSE,"","","Olodaterol (OLODATEROL HYDROCHLORIDE)"
"439","CHLORAMPHENICOL",16112,FALSE,"","","CHLORAMPHENICOL"
"440","LIDOCAINE HYDROCHLORIDE",10225,FALSE,"","","LIDOCAINE HYDROCHLORIDE"
"441","RIFAMPIN",8566,FALSE,"","","RIFAMPIN"
"442","TESTOSTERONE",7485,FALSE,"Y","TESTOSTERONE","TESTOSTERONE"
"443","TICLOPIDINE HYDROCHLORIDE",945,FALSE,"","","TICLOPIDINE HYDROCHLORIDE"
"444","CETUXIMAB",13175,FALSE,"","","CETUXIMAB"
"445","DANTROLENE SODIUM",2402,FALSE,NA,NA,NA
"446","Tapentadol (Tapentadol Hydrochloride)",20642,FALSE,NA,NA,NA
"447","BUPROPION HYDROCHLORIDE",11772,FALSE,"Y","BUPROPION","BUPROPION"
"448","HONEY BEE VENOM PROTEIN",2027,FALSE,"","","HONEY BEE VENOM PROTEIN"
"449","CARBON DIOXIDE",2335,FALSE,"","","CARBON DIOXIDE"
"450","PENICILLIN G BENZATHINE",11521,FALSE,"","","PENICILLIN G BENZATHINE"
"451","PANITUMUMAB",20210,FALSE,"","","PANITUMUMAB"
"452","Zinc sulfate monohydrate",21337,TRUE,"","","Zinc sulfate monohydrate"
"453","Bromfenac (Bromfenac sodium sesquihydrate)",22591,TRUE,"","","Bromfenac (Bromfenac sodium sesquihydrate)"
"454","PHENTOLAMINE MESYLATE",5974,FALSE,"","","PHENTOLAMINE MESYLATE"
"455","GOLD SODIUM THIOMALATE",6469,FALSE,"","","GOLD SODIUM THIOMALATE"
"456","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)",13053,FALSE,"","","BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)"
"457","EPTACOG ALFA (ACTIVATED)",13301,FALSE,"","","EPTACOG ALFA (ACTIVATED)"
"458","OSIMERTINIB (OSIMERTINIB MESYLATE)",22731,FALSE,"","","OSIMERTINIB (OSIMERTINIB MESYLATE)"
"459","AZITHROMYCIN (AZITHROMYCIN DIHYDRATE)",424,TRUE,"Y","AZITHROMYCIN","AZITHROMYCIN"
"460","Vedolizumab",22569,FALSE,"","","Vedolizumab"
"461","GADOXETATE DISODIUM",20566,FALSE,"","","GADOXETATE DISODIUM"
"462","PRILOCAINE",5776,FALSE,"","","PRILOCAINE"
"463","FILAMENTOUS HAEMAGGLUTININ ADSORBED",20306,FALSE,"","","FILAMENTOUS HAEMAGGLUTININ ADSORBED"
"464","ARIPIPRAZOLE",20435,FALSE,"Y","ARIPIPRAZOLE","ARIPIPRAZOLE"
"465","SOFOSBUVIR",22227,FALSE,"","","SOFOSBUVIR"
"466","LEVOTHYROXINE SODIUM",5325,FALSE,"Y","LEVOTHYROXINE","LEVOTHYROXINE"
"467","IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE)",11461,TRUE,"","","IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE)"
"468","DYCLONINE HYDROCHLORIDE",5669,FALSE,"","","DYCLONINE HYDROCHLORIDE"
"469","PALBOCICLIB",22703,FALSE,"","","PALBOCICLIB"
"470","BUTORPHANOL TARTRATE",2142,FALSE,"","","BUTORPHANOL TARTRATE"
"471","CAPSAICIN",3610,FALSE,NA,NA,NA
"472","SUGAMMADEX (SUGAMMADEX SODIUM)",22686,FALSE,"","","SUGAMMADEX (SUGAMMADEX SODIUM)"
"473","TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)",5882,FALSE,"","","TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)"
"474","Recombinant Neisseria meningitidis group B NHBA fusion protein",22176,FALSE,"","","Recombinant Neisseria meningitidis group B NHBA fusion protein"
"475","GADOBUTROL",11922,FALSE,"","","GADOBUTROL"
"476","NALBUPHINE HYDROCHLORIDE",2008,FALSE,"","","NALBUPHINE"
"477","CLOXACILLIN (CLOXACILLIN SODIUM)",8375,FALSE,"","","CLOXACILLIN (CLOXACILLIN SODIUM)"
"478","THIOPENTAL SODIUM",8249,FALSE,"","","THIOPENTAL SODIUM"
"479","ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)",11162,FALSE,"Y","ACEBUTOLOL","ACEBUTOLOL"
"480","VITAMIN A (RETINYL PALMITATE)",704,FALSE,"","","VITAMIN A (RETINYL PALMITATE)"
"481","EMTRICITABINE",16516,FALSE,"","","EMTRICITABINE"
"482","MEFENAMIC ACID",10002,FALSE,"","","MEFENAMIC ACID"
"483","DIATRIZOATE MEGLUMINE",10131,FALSE,"","","DIATRIZOATE MEGLUMINE"
"484","EUCALYPTOL",9122,FALSE,"","","EUCALYPTOL"
"485","D&C RED NO. 28",1769,FALSE,"","","D&C RED NO. 28"
"486","TRAMADOL HYDROCHLORIDE",13904,FALSE,"Y","TRAMADOL","TRAMADOL"
"487","AMPICILLIN (AMPICILLIN SODIUM)",8450,FALSE,"","","AMPICILLIN (AMPICILLIN SODIUM)"
"488","ICATIBANT (ICATIBANT ACETATE)",22341,FALSE,"","","ICATIBANT (ICATIBANT ACETATE)"
"489","SELEXIPAG",22681,FALSE,"","","SELEXIPAG"
"490","CANTHARIDIN",4322,FALSE,"","","CANTHARIDIN"
"491","TRIAMTERENE",10190,FALSE,"Y","TRIAMTERENE","TRIAMTERENE"
"492","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)",11181,FALSE,"","","DESIPRAMINE (DESIPRAMINE HYDROCHLORIDE)"
"493","ZINC (ZINC GLUCONATE)",331,FALSE,"","","ZINC (ZINC GLUCONATE)"
"494","NELARABINE",16030,FALSE,"","","NELARABINE"
"495","EPLERENONE",20438,FALSE,"","","EPLERENONE"
"496","VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE)",11336,FALSE,"Y","VENLAFAXINE","VENLAFAXINE"
"497","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY",7655,FALSE,"","","INACTIVATED POLIOMYELITIS VACCINE (V.C.O.) TYPE 1 MAHONEY"
"498","ATORVASTATIN (ATORVASTATIN CALCIUM)",11366,FALSE,"Y","ATORVASTATIN","ATORVASTATIN"
"499","TEMSIROLIMUS",20180,FALSE,"","","TEMSIROLIMUS"
"500","OCTISALATE",12048,FALSE,"","","OCTISALATE"
"501","Regorafenib",22042,FALSE,"","","Regorafenib"
"502","METHYLPREDNISOLONE ACETATE",7624,FALSE,"","","METHYLPREDNISOLONE ACETATE"
"503","CEFADROXIL",8348,FALSE,"","","CEFADROXIL"
"504","ESTRADIOL",7419,FALSE,"Y","ESTRADIOL","ESTRADIOL"
"505","MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE)",11188,FALSE,"","","MIDAZOLAM (MIDAZOLAM HYDROCHLORIDE)"
"506","CHLORPROMAZINE HYDROCHLORIDE",20237,FALSE,"","","CHLORPROMAZINE HYDROCHLORIDE"
"507","PROPAFENONE HYDROCHLORIDE",1893,FALSE,"","","PROPAFENONE HYDROCHLORIDE"
"508","FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)",11347,FALSE,"","","FLUPENTIXOL (FLUPENTIXOL DIHYDROCHLORIDE)"
"509","PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE)",6500,FALSE,"","","PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE)"
"510","ATROPINE SULFATE",8970,FALSE,"","","ATROPINE SULFATE"
"511","CLIDINIUM BROMIDE",6301,FALSE,"","","CLIDINIUM BROMIDE"
"512","FLUOROMETHOLONE ACETATE",7577,FALSE,NA,NA,NA
"513","BROMPHENIRAMINE MALEATE",10205,FALSE,"","","BROMPHENIRAMINE MALEATE"
"514","PILOCARPINE NITRATE",6598,FALSE,"","","PILOCARPINE NITRATE"
"515","ISOSORBIDE-5-MONONITRATE",1298,FALSE,"Y","ISOSORBIDE-5-MONONITRATE","ISOSORBIDE MONONITRATE"
"516","MOROCTOCOG ALFA",12787,FALSE,"","","MOROCTOCOG ALFA"
"517","CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)",8344,TRUE,"","","CEFTAZIDIME (CEFTAZIDIME PENTAHYDRATE)"
"518","NITROGLYCERIN",9412,FALSE,"Y","NITROGLYCERIN","NITROGLYCERIN"
"519","PREDNISOLONE (PREDNISOLONE SODIUM PHOSPHATE)",7630,FALSE,"Y","PREDNISOLONE","PREDNISOLONE"
"520","ERYTHROMYCIN",8618,FALSE,"Y","ERYTHROMYCIN","ERYTHROMYCIN"
"521","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)",7948,FALSE,"","","ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)"
"522","HYDROCORTISONE ACETATE",7531,FALSE,"Y","HYDROCORTISONE","HYDROCORTISONE"
"523","VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)",701,FALSE,"","","VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)"
"524","ANETHOLE TRITHIONE",5080,FALSE,"","","ANETHOLE TRITHIONE"
"525","ALBUMIN",3275,FALSE,"","","ALBUMIN"
"526","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1",128,FALSE,"","","INACTIVATED POLIOMYELITIS VACCINE (D.C.O.) TYPE 2 MEF1"
"527","ESMOLOL HYDROCHLORIDE",20260,FALSE,"","","ESMOLOL HYDROCHLORIDE"
"528","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)",5000,FALSE,"","","D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE)"
"529","ACAMPROSATE CALCIUM",20124,FALSE,"","","ACAMPROSATE CALCIUM"
"530","ACITRETIN",1209,FALSE,NA,NA,NA
"531","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F",20656,FALSE,"","","PNEUMOCOCCAL POLYSACCHARIDE SEROTYPE 22F"
"532","CEFOTAXIME SODIUM",8349,FALSE,"","","CEFOTAXIME SODIUM"
"533","DESONIDE",7512,FALSE,"","","DESONIDE"
"534","CEFUROXIME (CEFUROXIME SODIUM)",11118,FALSE,"","","CEFUROXIME (CEFUROXIME SODIUM)"
"535","CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE)",8551,FALSE,"Y","CLINDAMYCIN","CLINDAMYCIN"
"536","BREXPIPRAZOLE",22853,FALSE,"","","BREXPIPRAZOLE"
"537","TADALAFIL",12346,FALSE,"Y","TADALAFIL","TADALAFIL"
"538","INACTIVATED POLIOVIRUS TYPE I",11933,FALSE,"","","INACTIVATED POLIOVIRUS TYPE I"
"539","METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE)",8029,FALSE,"","","METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE)"
"540","Nebivolol (Nebivolol Hydrochloride)",21534,FALSE,"","","Nebivolol (Nebivolol Hydrochloride)"
"541","ARGATROBAN",12184,FALSE,NA,NA,NA
"542","FLUVOXAMINE MALEATE",1212,FALSE,"","","FLUVOXAMINE MALEATE"
"543","HEPARIN SODIUM",9060,FALSE,"","","HEPARIN SODIUM"
