"tm_set","ccdd","n_dins","n_ntps","status","tm_status_effective_time","tm_code","en_display","fr_display"
"latanoprost, timolol",TRUE,6,1,"active",2002-10-24,8000319,NA,NA
"tiotropium",TRUE,2,2,"active",2002-11-21,8000320,NA,NA
"indapamide, perindopril",TRUE,3,1,"active",2002-12-19,8000321,NA,NA
"rosuvastatin",TRUE,82,1,"active",2003-02-19,8000322,NA,NA
"acetaminophen, doxylamine succinate, pseudoephedrine hydrochloride",TRUE,4,2,"active",2003-03-07,8000323,NA,NA
"cetirizine, pseudoephedrine hydrochloride",TRUE,1,1,"active",2003-03-07,8000324,NA,NA
"bisoprolol",TRUE,18,1,"active",2003-04-24,8000325,NA,NA
"ezetimibe",TRUE,17,1,"active",2003-06-15,8000326,NA,NA
"ibuprofen, methocarbamol",TRUE,9,1,"active",2003-07-02,8000327,NA,NA
"levetiracetam",TRUE,52,1,"active",2003-07-23,8000328,NA,NA
"carvedilol",TRUE,44,1,"active",2003-08-04,8000329,NA,NA
"dutasteride",TRUE,12,1,"active",2003-11-14,8000330,NA,NA
"tadalafil",TRUE,53,1,"active",2003-11-25,8000331,NA,NA
"fosinopril",TRUE,16,1,"active",2003-12-05,8000332,NA,NA
"brimonidine tartrate, timolol",TRUE,1,1,"active",2003-12-11,8000333,NA,NA
"ethinyl estradiol, norelgestromin",TRUE,1,1,"active",2003-12-24,8000334,NA,NA
"acetaminophen, chlorpheniramine maleate",TRUE,1,1,"active",2004-01-12,8000335,NA,NA
"acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide",TRUE,3,2,"active",2004-01-12,8000336,NA,NA
"amphetamine, dextroamphetamine",TRUE,24,1,"active",2004-01-30,8000337,NA,NA
"ciprofloxacin, dexamethasone (base)",TRUE,1,1,"active",2004-05-13,8000338,NA,NA
"eprosartan (eprosartan mesylate), hydrochlorothiazide",TRUE,1,1,"active",2004-07-06,8000339,NA,NA
"chlorpheniramine maleate, ibuprofen, pseudoephedrine hydrochloride",TRUE,7,3,"active",2004-08-02,8000340,NA,NA
"alcohol anhydrous, benzalkonium",TRUE,5,4,"active",2004-11-20,8000341,NA,NA
"levofloxacin",TRUE,23,3,"active",2004-11-30,8000342,NA,NA
"ethinyl estradiol, etonogestrel",TRUE,1,1,"active",2004-12-02,8000343,NA,NA
"acetaminophen, pamabrom",TRUE,1,1,"active",2004-12-20,8000344,NA,NA
"drospirenone, ethinyl estradiol",TRUE,8,1,"active",2004-12-22,8000345,NA,NA
"escitalopram",TRUE,42,2,"active",2005-02-14,8000346,NA,NA
"atomoxetine",TRUE,57,1,"active",2005-02-24,8000347,NA,NA
"pregabalin",TRUE,82,1,"active",2005-07-18,8000348,NA,NA
"acetaminophen, tramadol",TRUE,14,1,"active",2005-07-22,8000349,NA,NA
"insulin aspart, insulin aspart protamine",TRUE,1,1,"active",2005-09-12,8000350,NA,NA
"acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, guaifenesin, pseudoephedrine hydrochloride",TRUE,3,1,"active",2005-09-23,8000351,NA,NA
"tamsulosin",TRUE,10,2,"active",2005-10-11,8000352,NA,NA
"insulin detemir",TRUE,2,1,"active",2005-11-14,8000353,NA,NA
"amlodipine, atorvastatin",TRUE,28,1,"active",2005-12-23,8000354,NA,NA
"vitamin d3, NA",TRUE,3,1,"active",2006-03-13,8000355,NA,NA
"timolol, travoprost",TRUE,1,1,"active",2006-04-11,8000356,NA,NA
"acetaminophen, doxylamine succinate, phenylephrine hydrochloride",TRUE,1,1,"active",2006-06-11,8000357,NA,NA
"acetaminophen, dextromethorphan hydrobromide, doxylamine succinate",TRUE,5,3,"active",2006-06-12,8000358,NA,NA
"acetaminophen, caffeine, pyrilamine maleate",TRUE,3,1,"active",2006-06-22,8000359,NA,NA
"solifenacin",TRUE,26,1,"active",2006-06-23,8000360,NA,NA
"acetaminophen, dextromethorphan hydrobromide, phenylephrine hydrochloride",TRUE,10,5,"active",2006-06-26,8000361,NA,NA
"acetaminophen, chlorpheniramine maleate, dextromethorphan hydrobromide, phenylephrine hydrochloride",TRUE,5,1,"active",2006-07-24,8000362,NA,NA
"acetaminophen, menthol",TRUE,1,1,"active",2006-08-09,8000363,NA,NA
"cilazapril (cilazapril monohydrate), hydrochlorothiazide",TRUE,2,1,"active",2006-08-23,8000364,NA,NA
"acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride",TRUE,3,1,"active",2006-08-31,8000365,NA,NA
"acetaminophen, guaifenesin, phenylephrine hydrochloride",TRUE,2,1,"active",2006-08-31,8000366,NA,NA
"ciclesonide",TRUE,4,2,"active",2006-09-27,8000367,NA,NA
"hydrochlorothiazide, ramipril",TRUE,17,1,"active",2006-11-16,8000368,NA,NA
"tramadol",TRUE,20,3,"active",2006-12-07,8000369,NA,NA
"acetaminophen, dextromethorphan hydrobromide, guaifenesin, phenylephrine hydrochloride",TRUE,4,2,"active",2007-03-06,8000370,NA,NA
"varenicline",TRUE,3,2,"active",2007-04-11,8000371,NA,NA
"buprenorphine, naloxone",TRUE,6,1,"active",2007-11-26,8000372,NA,NA
"chlorhexidine, lidocaine hydrochloride (lidocaine hydrochloride monohydrate)",TRUE,1,1,"active",2007-12-06,8000373,NA,NA
"sitagliptin",TRUE,3,1,"active",2008-01-02,8000374,NA,NA
"duloxetine",TRUE,28,1,"active",2008-01-18,8000375,NA,NA
"carbidopa, entacapone, levodopa",TRUE,5,1,"active",2008-04-28,8000376,NA,NA
"estradiol, levonorgestrel",TRUE,1,1,"active",2008-06-25,8000377,NA,NA
"dabigatran",TRUE,3,1,"active",2008-07-03,8000378,NA,NA
"rivaroxaban",TRUE,4,1,"active",2008-09-16,8000379,NA,NA
"drospirenone, estradiol",TRUE,1,1,"active",2008-10-20,8000380,NA,NA
"travoprost",TRUE,5,1,"active",2008-11-10,8000381,NA,NA
"hydrochlorothiazide, olmesartan",TRUE,12,1,"active",2008-12-22,8000382,NA,NA
"olmesartan",TRUE,14,1,"active",2008-12-22,8000383,NA,NA
"betamethasone (base), calcipotriol (calcipotriol monohydrate)",TRUE,2,2,"active",2009-01-28,8000384,NA,NA
"desvenlafaxine",TRUE,2,1,"active",2009-03-05,8000385,NA,NA
"benzalkonium, pramoxine hydrochloride",TRUE,1,1,"active",2009-03-12,8000386,NA,NA
"lisdexamfetamine",TRUE,7,1,"active",2009-08-04,8000387,NA,NA
"timolol, NA",TRUE,1,1,"active",2009-08-25,8000388,NA,NA
"aripiprazole",TRUE,8,3,"active",2009-09-30,8000389,NA,NA
"metformin, sitagliptin",TRUE,6,2,"active",2009-10-08,8000390,NA,NA
"saxagliptin",TRUE,2,1,"active",2009-10-29,8000391,NA,NA
"aliskiren (aliskiren fumarate), hydrochlorothiazide",TRUE,4,1,"active",2009-11-24,8000392,NA,NA
"buprenorphine",TRUE,4,1,"active",2010-05-26,8000393,NA,NA
"dexlansoprazole",TRUE,2,1,"active",2010-08-05,8000394,NA,NA
"naloxone, oxycodone",TRUE,4,1,"active",2010-10-05,8000395,NA,NA
"galantamine",TRUE,24,1,"active",2010-11-12,8000396,NA,NA
"diphenhydramine hydrochloride, ibuprofen",TRUE,4,2,"active",2011-01-03,8000397,NA,NA
"esomeprazole, naproxen",TRUE,4,1,"active",2011-02-04,8000398,NA,NA
"formoterol, mometasone",TRUE,2,1,"active",2011-03-10,8000399,NA,NA
"adapalene, benzoyl peroxide",TRUE,2,1,"active",2011-05-13,8000400,NA,NA
"clindamycin, tretinoin",TRUE,1,1,"active",2011-05-16,8000401,NA,NA
"amlodipine, telmisartan",TRUE,4,1,"active",2011-08-11,8000402,NA,NA
"diphenhydramine citrate, ibuprofen",TRUE,1,1,"active",2011-10-27,8000403,NA,NA
"dutasteride, tamsulosin",TRUE,1,1,"active",2011-11-17,8000404,NA,NA
"acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride, guaifenesin, pseudoephedrine hydrochloride",TRUE,3,2,"active",2012-04-25,8000405,NA,NA
"hydrocortisone, zinc sulfate monohydrate",TRUE,1,2,"active",2012-07-23,8000406,NA,NA
"acetaminophen, dextromethorphan hydrobromide, diphenhydramine hydrochloride, pseudoephedrine hydrochloride",TRUE,2,2,"active",2012-08-28,8000407,NA,NA
"acetaminophen, diphenhydramine hydrochloride",TRUE,1,1,"active",2012-10-02,8000408,NA,NA
"acetaminophen, diphenhydramine hydrochloride, menthol",TRUE,1,1,"active",2012-10-04,8000409,NA,NA
"acetaminophen, guaifenesin, menthol",TRUE,1,1,"active",2012-10-04,8000410,NA,NA
"acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, guaifenesin, pseudoephedrine hydrochloride",TRUE,1,2,"active",2012-12-10,8000411,NA,NA
"drospirenone, ethinyl estradiol, levomefolate calcium",TRUE,1,1,"active",2013-03-01,8000412,NA,NA
"alendronic acid, vitamin d3",TRUE,4,1,"active",2013-03-25,8000413,NA,NA
"linagliptin, metformin",TRUE,3,1,"active",2013-04-17,8000414,NA,NA
"metformin, saxagliptin",TRUE,3,1,"active",2013-04-26,8000415,NA,NA
"benzalkonium, lidocaine",TRUE,1,1,"active",2013-05-27,8000416,NA,NA
"acyclovir, hydrocortisone",TRUE,1,1,"active",2013-07-26,8000417,NA,NA
"benzoyl peroxide, salicylic acid",TRUE,1,3,"active",2013-11-15,8000418,NA,NA
"fluticasone, vilanterol (vilanterol trifenatate)",TRUE,2,1,"active",2013-11-29,8000419,NA,NA
"alogliptin (alogliptin benzoate), metformin",TRUE,3,1,"active",2014-04-30,8000420,NA,NA
"acetaminophen, dextromethorphan hydrobromide, doxylamine succinate, phenylephrine hydrochloride",TRUE,2,2,"active",2014-08-15,8000421,NA,NA
"acetaminophen, diphenhydramine hydrochloride, phenylephrine hydrochloride",TRUE,3,1,"active",2014-12-04,8000422,NA,NA
"azelastine hydrochloride, fluticasone",TRUE,1,1,"active",2015-03-31,8000423,NA,NA
"olodaterol (olodaterol hydrochloride), tiotropium",TRUE,1,1,"active",2015-05-29,8000424,NA,NA
"aclidinium bromide, formoterol",TRUE,1,1,"active",2015-07-09,8000425,NA,NA
"dapagliflozin (dapagliflozin propanediol monohydrate), metformin",TRUE,2,1,"active",2016-02-08,8000426,NA,NA
"diphenhydramine hydrochloride, naproxen",TRUE,1,1,"active",2016-02-24,8000427,NA,NA
"amlodipine, perindopril",TRUE,3,1,"active",2016-04-05,8000428,NA,NA
"canagliflozin, metformin",TRUE,6,1,"active",2016-06-28,8000429,NA,NA
"beta-carotene, calcium (calcium carbonate), copper (cupric oxide), d-pantothenic acid (calcium d-pantothenate), folic acid, iodine (potassium iodide), iron (ferrous fumarate), magnesium (magnesium oxide), nicotinamide, vitamin b12 (cyanocobalamin), vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin), vitamin b6 (pyridoxine hydrochloride), vitamin c (ascorbic acid), vitamin d3, vitamin e (dl-alpha tocopheryl acetate), zinc (zinc oxide)",TRUE,2,1,"active",2016-07-15,8000430,NA,NA
"empagliflozin, metformin",TRUE,6,1,"active",2016-08-03,8000431,NA,NA
"bazedoxifene (bazedoxifene acetate), conjugated estrogens",TRUE,1,1,"active",2016-12-20,8000432,NA,NA
"mifepristone, misoprostol",TRUE,1,3,"active",2017-01-10,8000433,NA,NA
"ciprofloxacin, fluocinolone acetonide",TRUE,1,1,"active",2017-05-08,8000434,NA,NA
"air",FALSE,1,1,"active",1911-12-31,8000435,NA,NA
"carbon dioxide",FALSE,3,1,"active",1911-12-31,8000436,NA,NA
"carbon dioxide, oxygen",FALSE,6,1,"active",1911-12-31,8000437,NA,NA
"helium",FALSE,3,1,"active",1911-12-31,8000438,NA,NA
"helium, oxygen",FALSE,5,1,"active",1911-12-31,8000439,NA,NA
"nitrogen",FALSE,9,2,"active",1911-12-31,8000440,NA,NA
"nitrous oxide",FALSE,3,1,"active",1911-12-31,8000441,NA,NA
"oxygen",FALSE,23,1,"active",1911-12-31,8000442,NA,NA
"gold sodium thiomalate",FALSE,6,1,"active",1935-12-31,8000443,NA,NA
"chloroxylenol",FALSE,29,4,"active",1938-12-31,8000444,NA,NA
"pitcher plant",FALSE,1,1,"active",1942-12-31,8000445,NA,NA
"meperidine hydrochloride",FALSE,6,2,"active",1944-12-31,8000446,NA,NA
"primaquine phosphate",FALSE,1,1,"active",1945-12-31,8000447,NA,NA
"propylthiouracil",FALSE,2,1,"active",1945-12-31,8000448,NA,NA
"dihydroergotamine mesylate",FALSE,3,2,"active",1946-12-31,8000449,NA,NA
"bismuth dipropylacetate",FALSE,1,1,"active",1950-12-31,8000450,NA,NA
"acetylsalicylic acid",FALSE,74,4,"active",1951-12-31,8000451,NA,NA
"bacitracin",FALSE,5,3,"active",1951-12-31,8000452,NA,NA
"calcium chloride, dextrose, potassium chloride, sodium chloride, sodium lactate",FALSE,5,1,"active",1951-12-31,8000453,NA,NA
"calcium chloride, potassium chloride, sodium chloride, sodium lactate",FALSE,6,2,"active",1951-12-31,8000454,NA,NA
"camphor, diphenylpyraline hydrochloride, guaiacol carbonate",FALSE,2,1,"active",1951-12-31,8000455,NA,NA
"dexpanthenol, lidocaine hydrochloride, nicotinamide, pyridoxine hydrochloride, vitamin b1, vitamin b2 (riboflavin 5'-phosphate sodium)",FALSE,1,1,"active",1951-12-31,8000456,NA,NA
"dextrose",FALSE,20,2,"active",1951-12-31,8000457,NA,NA
"dextrose, sodium chloride",FALSE,17,2,"active",1951-12-31,8000458,NA,NA
"dimenhydrinate",FALSE,32,8,"active",1951-12-31,8000459,NA,NA
"gentian violet",FALSE,1,1,"active",1951-12-31,8000460,NA,NA
"iothalamate meglumine",FALSE,4,2,"active",1951-12-31,8000461,NA,NA
"lidocaine hydrochloride",FALSE,39,12,"active",1951-12-31,8000462,NA,NA
"methenamine mandelate",FALSE,1,1,"active",1951-12-31,8000463,NA,NA
"methylene blue",FALSE,6,2,"active",1951-12-31,8000464,NA,NA
"mineral oil",FALSE,8,4,"active",1951-12-31,8000465,NA,NA
"papaverine hydrochloride",FALSE,1,1,"active",1951-12-31,8000466,NA,NA
"petrolatum",FALSE,11,3,"active",1951-12-31,8000467,NA,NA
"potassium chloride",FALSE,7,3,"active",1951-12-31,8000468,NA,NA
"sodium chloride",FALSE,31,6,"active",1951-12-31,8000469,NA,NA
"sulfacetamide sodium",FALSE,2,1,"active",1951-12-31,8000470,NA,NA
"thiamazole",FALSE,3,1,"active",1951-12-31,8000471,NA,NA
"thiopental sodium",FALSE,5,1,"active",1951-12-31,8000472,NA,NA
"thyroid",FALSE,3,1,"active",1951-12-31,8000473,NA,NA
"tropicamide",FALSE,5,1,"active",1951-12-31,8000474,NA,NA
"water",FALSE,19,3,"active",1951-12-31,8000475,NA,NA
"white petrolatum",FALSE,12,3,"active",1951-12-31,8000476,NA,NA
"ethopropazine (ethopropazine hydrochloride)",FALSE,1,1,"active",1952-12-31,8000477,NA,NA
"succinylcholine chloride",FALSE,4,1,"active",1952-12-31,8000478,NA,NA
"crotamiton",FALSE,1,1,"active",1953-12-31,8000479,NA,NA
"busulfan",FALSE,2,2,"active",1954-12-31,8000480,NA,NA
"lidocaine",FALSE,15,5,"active",1954-12-31,8000481,NA,NA
"mercaptopurine",FALSE,2,1,"active",1954-12-31,8000482,NA,NA
"nylidrin hydrochloride",FALSE,1,1,"active",1955-12-31,8000483,NA,NA
"acenocoumarol",FALSE,2,1,"active",1957-12-31,8000484,NA,NA
"hydrocodone, phenyltoloxamine",FALSE,2,2,"active",1957-12-31,8000485,NA,NA
"phenobarbital",FALSE,5,2,"active",1957-12-31,8000486,NA,NA
"spiramycin",FALSE,2,1,"active",1957-12-31,8000487,NA,NA
"amphotericin b",FALSE,3,2,"active",1958-12-31,8000488,NA,NA
"bisacodyl",FALSE,22,3,"active",1958-12-31,8000489,NA,NA
"dextrose, magnesium chloride, potassium chloride, sodium acetate, sodium chloride, sodium gluconate",FALSE,3,1,"active",1958-12-31,8000490,NA,NA
"methocarbamol",FALSE,5,2,"active",1958-12-31,8000491,NA,NA
"methotrimeprazine (methotrimeprazine hydrochloride)",FALSE,1,1,"active",1958-12-31,8000492,NA,NA
"belladonna, ergotamine tartrate, phenobarbital",FALSE,1,1,"active",1959-01-01,8000493,NA,NA
"chloramphenicol (chloramphenicol sodium succinate)",FALSE,1,1,"active",1959-12-31,8000494,NA,NA
"pilocarpine hydrochloride",FALSE,7,2,"active",1959-12-31,8000495,NA,NA
"trimeprazine (trimeprazine tartrate)",FALSE,2,1,"active",1959-12-31,8000496,NA,NA
"atropine sulfate, diphenoxylate hydrochloride",FALSE,1,1,"active",1960-12-31,8000497,NA,NA
"ethosuximide",FALSE,2,2,"active",1960-12-31,8000498,NA,NA
"methylprednisolone",FALSE,2,1,"active",1960-12-31,8000499,NA,NA
"methylprednisolone acetate",FALSE,9,1,"active",1960-12-31,8000500,NA,NA
"tetrahydrozoline hydrochloride",FALSE,3,1,"active",1960-12-31,8000501,NA,NA
"xylometazoline hydrochloride",FALSE,17,2,"active",1960-12-31,8000502,NA,NA
"chlordiazepoxide hydrochloride, clidinium bromide",FALSE,2,1,"active",1961-12-31,8000503,NA,NA
"sodium polystyrene sulfonate",FALSE,5,6,"active",1961-12-31,8000504,NA,NA
"clofedanol hydrochloride",FALSE,1,1,"active",1962-12-31,8000505,NA,NA
"dextrose, sodium chloride, sodium lactate",FALSE,1,1,"active",1962-12-31,8000506,NA,NA
"thioproperazine (thioproperazine mesylate)",FALSE,1,1,"active",1962-12-31,8000507,NA,NA
"aluminum hydroxide (dried aluminum hydroxide gel), magnesium hydroxide, simethicone",FALSE,3,2,"active",1963-12-31,8000508,NA,NA
"aluminum hydroxide-magnesium carbonate-co dried gel, magnesium hydroxide, simethicone",FALSE,1,1,"active",1963-12-31,8000509,NA,NA
"dactinomycin",FALSE,1,1,"active",1963-12-31,8000510,NA,NA
"glycerine, phenol, sodium chloride",FALSE,1,1,"active",1963-12-31,8000511,NA,NA
"mannitol",FALSE,6,2,"active",1963-12-31,8000512,NA,NA
"non pollen",FALSE,4,1,"active",1963-12-31,8000513,NA,NA
"phenol, sodium chloride",FALSE,2,1,"active",1963-12-31,8000514,NA,NA
"pollen",FALSE,3,1,"active",1963-12-31,8000515,NA,NA
"simethicone",FALSE,16,7,"active",1963-12-31,8000516,NA,NA
"atropine sulfate",FALSE,11,2,"active",1964-12-31,8000517,NA,NA
"d-penicillamine",FALSE,1,1,"active",1964-12-31,8000518,NA,NA
"aluminum chlorohydrate, methylprednisolone acetate, neomycin sulfate, sulfur",FALSE,1,1,"active",1965-12-31,8000519,NA,NA
"dextrose, magnesium acetate, potassium acetate, sodium chloride",FALSE,1,1,"active",1965-12-31,8000520,NA,NA
"magnesium chloride, potassium chloride, sodium acetate, sodium chloride, sodium gluconate",FALSE,4,1,"active",1965-12-31,8000521,NA,NA
"tolnaftate",FALSE,16,6,"active",1965-12-31,8000522,NA,NA
"ephedrine sulfate",FALSE,2,1,"active",1966-12-31,8000523,NA,NA
"flecainide acetate",FALSE,6,1,"active",1966-12-31,8000524,NA,NA
"mefenamic acid",FALSE,4,1,"active",1966-12-31,8000525,NA,NA
"chlorpheniramine maleate",FALSE,4,2,"active",1967-12-31,8000526,NA,NA
"chlorpromazine (chlorpromazine hydrochloride)",FALSE,3,1,"active",1967-12-31,8000527,NA,NA
"isoniazid, pyridoxine hydrochloride",FALSE,1,1,"active",1967-12-31,8000528,NA,NA
"carbon monoxide, neon, nitrogen, oxygen",FALSE,2,1,"active",1968-12-31,8000529,NA,NA
"chloroquine diphosphate",FALSE,1,1,"active",1968-12-31,8000530,NA,NA
"clioquinol, flumethasone pivalate",FALSE,2,2,"active",1968-12-31,8000531,NA,NA
"dextran, dextrose",FALSE,1,1,"active",1968-12-31,8000532,NA,NA
"dextran, sodium chloride",FALSE,1,1,"active",1968-12-31,8000533,NA,NA
"ergoloid mesylates",FALSE,1,1,"active",1968-12-31,8000534,NA,NA
"ethacrynic acid (ethacrynate sodium)",FALSE,1,1,"active",1968-12-31,8000535,NA,NA
"calcium chloride, magnesium chloride, potassium chloride, sodium chloride",FALSE,3,3,"active",1969-12-31,8000536,NA,NA
"citric acid, magnesium oxide, sodium carbonate (anhydrous)",FALSE,2,1,"active",1969-12-31,8000537,NA,NA
"hypromellose",FALSE,6,1,"active",1969-12-31,8000538,NA,NA
"periciazine",FALSE,4,2,"active",1969-12-31,8000539,NA,NA
"thiothixene",FALSE,1,1,"active",1969-12-31,8000540,NA,NA
"chloroxylenol, coal tar, menthol",FALSE,5,1,"active",1970-12-31,8000541,NA,NA
"doxepin (doxepin hydrochloride)",FALSE,16,2,"active",1970-12-31,8000542,NA,NA
"methylprednisolone (methylprednisolone sodium succinate)",FALSE,10,2,"active",1970-12-31,8000543,NA,NA
"naphazoline hydrochloride",FALSE,8,1,"active",1970-12-31,8000544,NA,NA
"octinoxate, oxybenzone",FALSE,55,9,"active",1970-12-31,8000545,NA,NA
"pentazocine (pentazocine hydrochloride)",FALSE,1,1,"active",1970-12-31,8000546,NA,NA
"procarbazine (procarbazine hydrochloride)",FALSE,1,1,"active",1970-12-31,8000547,NA,NA
"chlorobutanol, dichlorobenzene, oil of turpentine, peanut oil",FALSE,1,1,"active",1971-12-31,8000548,NA,NA
"daunorubicin (daunorubicin hydrochloride)",FALSE,2,1,"active",1971-12-31,8000549,NA,NA
"imipramine hydrochloride",FALSE,10,1,"active",1971-12-31,8000550,NA,NA
"cetrimonium bromide, disodium edetate",FALSE,1,1,"active",1972-12-31,8000551,NA,NA
"cyclopentolate",FALSE,5,1,"active",1972-12-31,8000552,NA,NA
"danazol",FALSE,3,1,"active",1972-12-31,8000553,NA,NA
"ethambutol hydrochloride",FALSE,2,1,"active",1972-12-31,8000554,NA,NA
"fluorometholone",FALSE,2,1,"active",1972-12-31,8000555,NA,NA
"isoniazid",FALSE,9,4,"active",1972-12-31,8000556,NA,NA
"ketamine (ketamine hydrochloride)",FALSE,5,1,"active",1972-12-31,8000557,NA,NA
"magnesium hydroxide, mineral oil",FALSE,1,1,"active",1972-12-31,8000558,NA,NA
"trometamol",FALSE,1,1,"active",1972-12-31,8000559,NA,NA
"amylase, lipase, protease",FALSE,12,4,"active",1973-12-31,8000560,NA,NA
"arginine hydrochloride",FALSE,1,1,"active",1973-12-31,8000561,NA,NA
"clomipramine hydrochloride",FALSE,3,1,"active",1973-12-31,8000562,NA,NA
"coal tar, salicylic acid, triclosan",FALSE,1,1,"active",1973-12-31,8000563,NA,NA
"cortisone acetate",FALSE,1,1,"active",1973-12-31,8000564,NA,NA
"lidocaine hydrochloride, methylprednisolone acetate",FALSE,1,1,"active",1973-12-31,8000565,NA,NA
"phenazopyridine hydrochloride",FALSE,4,1,"active",1973-12-31,8000566,NA,NA
"pyrantel (pyrantel pamoate)",FALSE,8,3,"active",1973-12-31,8000567,NA,NA
"pyrazinamide",FALSE,2,1,"active",1973-12-31,8000568,NA,NA
"tetracosactide (tetracosactide zinc hydroxide)",FALSE,1,1,"active",1973-12-31,8000569,NA,NA
"triclosan",FALSE,75,5,"active",1973-12-31,8000570,NA,NA
"alanine, arginine, glycine, histidine, isoleucine, leucine, l-lysine (l-lysine hydrochloride), magnesium chloride, methionine, phenylalanine, potassium phosphate dibasic, proline, sodium acetate, sodium chloride, threonine, tryptophan, tyrosine, valine",FALSE,1,1,"active",1974-12-31,8000571,NA,NA
"chlorpropamide",FALSE,2,1,"active",1974-12-31,8000572,NA,NA
"colistin (colistimethate sodium)",FALSE,3,1,"active",1974-12-31,8000573,NA,NA
"dexbrompheniramine maleate, pseudoephedrine sulfate",FALSE,1,1,"active",1974-12-31,8000574,NA,NA
"dicyclomine hydrochloride",FALSE,9,4,"active",1974-12-31,8000575,NA,NA
"dinoprost (dinoprost tromethamine)",FALSE,1,1,"active",1974-12-31,8000576,NA,NA
"metolazone",FALSE,1,1,"active",1974-12-31,8000577,NA,NA
"miconazole nitrate",FALSE,14,5,"active",1974-12-31,8000578,NA,NA
"silver sulfadiazine",FALSE,1,1,"active",1974-12-31,8000579,NA,NA
"sodium bicarbonate",FALSE,13,3,"active",1974-12-31,8000580,NA,NA
"tetracosactide",FALSE,1,1,"active",1974-12-31,8000581,NA,NA
"pizotifen (pizotifen malate)",FALSE,2,1,"active",1975-01-01,8000582,NA,NA
"benzylpenicilloyl-polylysine",FALSE,1,1,"active",1975-12-31,8000583,NA,NA
"carmustine",FALSE,1,1,"active",1975-12-31,8000584,NA,NA
"cloxacillin (cloxacillin sodium)",FALSE,6,2,"active",1975-12-31,8000585,NA,NA
"coal tar",FALSE,10,6,"active",1975-12-31,8000586,NA,NA
"docusate sodium, sennosides (senna)",FALSE,1,1,"active",1975-12-31,8000587,NA,NA
"fluorouracil",FALSE,4,2,"active",1975-12-31,8000588,NA,NA
"magnesium sulfate",FALSE,5,1,"active",1975-12-31,8000589,NA,NA
"pimozide",FALSE,6,1,"active",1975-12-31,8000590,NA,NA
"purified protein derivative of tuberculin",FALSE,1,1,"active",1975-12-31,8000591,NA,NA
"tolbutamide",FALSE,1,1,"active",1975-12-31,8000592,NA,NA
"trifluoperazine (trifluoperazine hydrochloride)",FALSE,5,1,"active",1975-12-31,8000593,NA,NA
"chlorthalidone",FALSE,2,1,"active",1976-12-31,8000594,NA,NA
"hyoscine butylbromide",FALSE,3,2,"active",1976-12-31,8000595,NA,NA
"lomustine",FALSE,3,1,"active",1976-12-31,8000596,NA,NA
"methyldopa",FALSE,3,1,"active",1976-12-31,8000597,NA,NA
"oxtriphylline",FALSE,4,2,"active",1976-12-31,8000598,NA,NA
"perphenazine",FALSE,9,2,"active",1976-12-31,8000599,NA,NA
"aluminum chloride, oxyquinoline sulfate",FALSE,1,1,"active",1977-12-31,8000600,NA,NA
"camphor, eucalyptol, guaiacol, guaiacol carbonate",FALSE,2,1,"active",1977-12-31,8000601,NA,NA
"corbadrine (corbadrine hydrochloride), mepivacaine hydrochloride",FALSE,3,1,"active",1977-12-31,8000602,NA,NA
"cytarabine",FALSE,9,3,"active",1977-12-31,8000603,NA,NA
"dinoprostone",FALSE,5,4,"active",1977-12-31,8000604,NA,NA
"fluphenazine hydrochloride",FALSE,7,1,"active",1977-12-31,8000605,NA,NA
"iodine (ethiodized oil)",FALSE,1,1,"active",1977-12-31,8000606,NA,NA
"iodine, sodium iodide",FALSE,1,1,"active",1977-12-31,8000607,NA,NA
"mepivacaine hydrochloride",FALSE,7,1,"active",1977-12-31,8000608,NA,NA
"primidone",FALSE,2,1,"active",1977-12-31,8000609,NA,NA
"rifampin",FALSE,4,1,"active",1977-12-31,8000610,NA,NA
"sulfisoxazole",FALSE,1,1,"active",1977-12-31,8000611,NA,NA
"diatrizoate meglumine, diatrizoate sodium",FALSE,1,1,"active",1978-12-30,8000612,NA,NA
"alcohol anhydrous",FALSE,1,1,"active",1978-12-31,8000613,NA,NA
"antazoline phosphate, naphazoline hydrochloride",FALSE,2,1,"active",1978-12-31,8000614,NA,NA
"benzocaine, tetracaine hydrochloride",FALSE,6,4,"active",1978-12-31,8000615,NA,NA
"bismuth subgallate",FALSE,1,1,"active",1978-12-31,8000616,NA,NA
"dextromethorphan hydrobromide, guaifenesin, pheniramine maleate, phenylephrine hydrochloride",FALSE,1,1,"active",1978-12-31,8000617,NA,NA
"dextrose, potassium chloride, sodium chloride",FALSE,27,1,"active",1978-12-31,8000618,NA,NA
"pindolol",FALSE,15,1,"active",1978-12-31,8000619,NA,NA
