"route_of_administration_code","pharm_form_code","route_of_administration","pharmaceutical_form","n_human_din","n_any_ccdd","n_all_ccdd","n_tm","ntp_dosage_form_code","ntp_dosage_form","route_of_administration_f","pharmaceutical_form_f"
"55","56","OPHTHALMIC","POWDER FOR SOLUTION",1,0,0,1,40054,"powder for ophthalmic drops","Ophtalmique","Poudre pour solution"
"55","77","OPHTHALMIC","STRIP",1,0,0,1,40056,"ophthalmic strip","Ophtalmique","Bandelette"
"55","79","OPHTHALMIC","SUSPENSION",21,13,10,13,40050,"ophthalmic drops","Ophtalmique","Suspension"
"55-57","12","OPHTHALMIC, OTIC","DROPS",5,3,2,5,40058,"ophthalmic/otic drops","Ophtalmique, Otique","Gouttes"
"55-57","134","OPHTHALMIC, OTIC","SOLUTION",4,3,1,4,40058,"ophthalmic/otic drops","Ophtalmique, Otique","Solution"
"55-57","43","OPHTHALMIC, OTIC","OINTMENT",1,1,0,1,40059,"ophthalmic/otic ointment","Ophtalmique, Otique","Pommade"
"55-57","79","OPHTHALMIC, OTIC","SUSPENSION",1,1,0,1,40058,"ophthalmic/otic drops","Ophtalmique, Otique","Suspension"
"55-70","134","OPHTHALMIC, TOPICAL","SOLUTION",1,0,0,1,NA,NA,NA,NA
"55-70","34","OPHTHALMIC, TOPICAL","LIQUID",1,0,0,1,NA,NA,NA,NA
"55-70","43","OPHTHALMIC, TOPICAL","OINTMENT",3,1,0,3,40053,"ophthalmic ointment","Ophtalmique, Topique","Pommade"
"56","106","ORAL","CAPSULE (CONTROLLED-DELIVERY)",18,16,16,2,40061,"modified-release oral capsule","Orale","Capsule (à libération contrôlée)"
"56","109","ORAL","TABLET (DELAYED-RELEASE)",126,124,121,14,40081,"gastro-resistant tablet","Orale","Comprimé (à libération retardée)"
"56","114","ORAL","GEL",2,0,0,1,40067,"oral gel","Orale","Gel"
"56","12","ORAL","DROPS",12,8,8,7,40063,"oral drops","Orale","Gouttes"
"56","12-34","ORAL","DROPS, LIQUID",1,1,1,1,NA,NA,NA,NA
"56","126","ORAL","POWDER FOR SUSPENSION",50,37,36,15,40070,"oral suspension","Orale","Poudre pour suspension"
"56","12-79","ORAL","DROPS, SUSPENSION",1,1,1,1,NA,NA,NA,NA
"56","132","ORAL","TABLET (ORALLY DISINTEGRATING)",136,133,133,12,40076,"orodispersible tablet","Orale","Comprimé (à désintégration orale)"
"56","134","ORAL","SOLUTION",88,59,54,45,40064,"oral solution","Orale","Solution"
"56","137","ORAL","CAPSULE (DELAYED RELEASE)",74,70,70,7,40048,"gastro-resistant capsule","Orale","Capsule (à libération retardée)"
"56","138","ORAL","TABLET (COMBINED RELEASE)",1,0,0,1,40080,"modified-release oral tablet","Orale","Comprimé (à action combinée)"
"56","14","ORAL","CAPSULE (ENTERIC-COATED)",14,6,6,5,40048,"gastro-resistant capsule","Orale","Capsule (entérosoluble)"
"56","141","ORAL","CAPSULE (EXTENDED RELEASE)",179,175,175,10,40062,"prolonged-release oral capsule","Orale","Capsule (à libération prolongée)"
"56","141-161","ORAL","CAPSULE (EXTENDED RELEASE), CAPSULE (IMMEDIATE RELEASE)",1,1,0,1,NA,NA,NA,NA
"56","148","ORAL","GRANULES FOR SUSPENSION, DELAYED RELEASE",1,1,1,1,40071,"gastro-resistant granules for oral suspension","Orale","Granules pour suspension, à libération retardée"
"56","150","ORAL","TABLET (IMMEDIATE RELEASE)",14,14,14,5,40078,"oral tablet","Orale","Comprimé (à libération immédiate)"
"56","151","ORAL","TABLET (CHEWABLE)",88,66,66,19,40079,"chewable tablet","Orale","Comprimé (à mâcher)"
"56","156","ORAL","TABLET FOR SUSPENSION",18,0,0,2,40084,"dispersible oral tablet","Orale","Comprimé pour suspension"
"56","157","ORAL","GRANULES FOR SUSPENSION",15,15,15,2,40070,"oral suspension","Orale","Granules pour suspension"
"56","159","ORAL","TABLET (DELAYED AND EXTENDED RELEASE)",2,2,2,2,40080,"modified-release oral tablet","Orale","Comprimé (à libération retardée et prolongée)"
"56","161","ORAL","CAPSULE (IMMEDIATE RELEASE)",9,8,8,4,40060,"oral capsule","Orale","Capsule (à libération immédiate)"
"56","163","ORAL","GRANULES FOR SOLUTION",1,0,0,1,40069,"granules for oral solution","Orale","Granules pour solution"
"56","167","ORAL","FILM, SOLUBLE",2,2,2,1,40066,"orodispersible film","Orale","Pellicule, soluble"
"56","17","ORAL","TABLET (ENTERIC-COATED)",96,86,86,12,40081,"gastro-resistant tablet","Orale","Comprimé (entérosoluble)"
"56","170","ORAL","TABLET (IMMEDIATE AND DELAYED-RELEASE)",4,4,4,1,40080,"modified-release oral tablet","Orale","Comprimé (à libération immédiate et retardée)"
"56","171","ORAL","CAPSULE (IMMEDIATE AND EXTENDED RELEASE)",1,1,1,1,40061,"modified-release oral capsule","Orale","Capsule (à libération immédiate et prolongée)"
"56","172","ORAL","CAPSULE (IMMEDIATE AND DELAYED RELEASE)",1,1,1,1,40061,"modified-release oral capsule","Orale","Capsule (à libération immédiate et retardée)"
"56","173","ORAL","TABLET (IMMEDIATE AND EXTENDED RELEASE)",3,2,1,3,40080,"modified-release oral tablet","Orale","Comprimé(à libération immédiate et prolongée)"
"56","18","ORAL","ELIXIR",15,8,8,10,40064,"oral solution","Orale","Élixir"
"56","181","ORAL","CAPSULE (CONTROLLED RELEASE)",7,7,7,1,40143,"modified-release oral capsule","Orale","Capsule à libération contrôlée"
"56","19","ORAL","EMULSION",1,0,0,1,40065,"oral emulsion","Orale","Émulsion"
"56","23","ORAL","TABLET (EFFERVESCENT)",3,3,0,1,40082,"effervescent oral tablet","Orale","Comprimé (effervescent)"
"56","32-56-109","ORAL","KIT, POWDER FOR SOLUTION, TABLET (DELAYED-RELEASE)",1,1,0,1,NA,NA,NA,NA
"56","32-85","ORAL","KIT, TABLET",19,15,3,12,NA,NA,NA,NA
"56","34","ORAL","LIQUID",91,53,18,47,40072,"oral liquid","Orale","Liquide"
"56","39","ORAL","LOZENGE",19,0,0,8,40073,"lozenge","Orale","Pastille"
"56","42","ORAL","MOUTHWASH/GARGLE",2,1,1,2,40004,"gargle/mouthwash","Orale","Rince-bouche/Gargarisme"
"56","48-56","ORAL","PACKAGE, POWDER FOR SOLUTION",2,2,0,1,NA,NA,NA,NA
"56","5","ORAL","CAPSULE",1129,806,764,167,40060,"oral capsule","Orale","Capsule"
"56","5-137-32-85","ORAL","CAPSULE, CAPSULE (DELAYED RELEASE), KIT, TABLET",1,1,1,1,NA,NA,NA,NA
"56","52","ORAL","PASTE",1,0,0,1,40075,"oral paste","Orale","Pâte"
"56","53","ORAL","GRANULES",8,2,2,5,40068,"granules for oral suspension","Orale","Granules"
"56","5-32","ORAL","CAPSULE, KIT",5,4,0,4,NA,NA,NA,NA
"56","55","ORAL","POWDER",25,18,1,11,40074,"oral powder","Orale","Poudre"
"56","56","ORAL","POWDER FOR SOLUTION",35,15,7,18,40049,"powder for oral solution","Orale","Poudre pour solution"
"56","68","ORAL","CAPSULE (SUSTAINED-RELEASE)",28,28,28,8,40062,"prolonged-release oral capsule","Orale","Capsule (à libération prolongée"
"56","70","ORAL","SYRUP (EXTENDED-RELEASE)",2,0,0,1,40077,"syrup","Orale","Sirop (à libération prolongée)"
"56","75","ORAL","TABLET (EXTENDED-RELEASE)",333,303,301,64,40083,"prolonged-release oral tablet","Orale","Comprimé (à libération prolongée)"
"56","77","ORAL","STRIP",3,1,0,3,40076,"orodispersible tablet","Orale","Bandelette"
"56","79","ORAL","SUSPENSION",79,49,35,37,40070,"oral suspension","Orale","Suspension"
"56","82","ORAL","SYRUP",168,124,61,55,40077,"syrup","Orale","Sirop"
"56","85","ORAL","TABLET",5279,4293,4113,576,40078,"oral tablet","Orale","Comprimé"
"56-62","55","ORAL, RECTAL","POWDER",2,0,0,1,40085,"powder for oral/rectal suspension","Orale, Rectale","Poudre"
"56-62","56","ORAL, RECTAL","POWDER FOR SOLUTION",2,0,0,2,40085,"powder for oral/rectal suspension","Orale, Rectale","Poudre pour solution"
"56-65","134-85","ORAL, SUBCUTANEOUS","SOLUTION, TABLET",2,0,0,1,NA,NA,NA,NA
"56-65","5-56","ORAL, SUBCUTANEOUS","CAPSULE, POWDER FOR SOLUTION",4,0,0,1,NA,NA,NA,NA
"56-70","34","ORAL, TOPICAL","LIQUID",2,0,0,2,NA,NA,NA,NA
"56-70","52","ORAL, TOPICAL","PASTE",1,0,0,1,NA,NA,NA,NA
"56-70","5-9-32","ORAL, TOPICAL","CAPSULE, CREAM, KIT",3,3,2,2,NA,NA,NA,NA
"56-70-74","5-9","ORAL, TOPICAL, VAGINAL","CAPSULE, CREAM",1,1,1,1,NA,NA,NA,NA
"57","12","OTIC","DROPS",5,0,0,5,40086,"otic drops","Otique","Gouttes"
"57","134","OTIC","SOLUTION",5,2,0,5,40086,"otic drops","Otique","Solution"
"57","34","OTIC","LIQUID",1,0,0,1,40086,"otic drops","Otique","Liquide"
"57","79","OTIC","SUSPENSION",1,1,1,1,40086,"otic drops","Otique","Suspension"
"59","134","PARENTERAL (UNSPECIFIED)","SOLUTION",1,0,0,1,40001,"solution for injection","Parentérale (non spécifiée)","Solution"
"59","34","PARENTERAL (UNSPECIFIED)","LIQUID",3,0,0,1,40001,"solution for injection","Parentérale (non spécifiée)","Liquide"
"6","134","DIALYSIS","SOLUTION",167,0,0,16,40013,"solution for haemodialysis","Dialyse","Solution"
"6","32-56","DIALYSIS","KIT, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"6","34","DIALYSIS","LIQUID",3,0,0,3,40013,"solution for haemodialysis","Dialyse","Liquide"
"6","55","DIALYSIS","POWDER",8,0,0,3,40014,"powder for concentrate for solution for haemodialysis","Dialyse","Poudre"
"6","56","DIALYSIS","POWDER FOR SOLUTION",5,0,0,2,40014,"powder for concentrate for solution for haemodialysis","Dialyse","Poudre pour solution"
"62","114","RECTAL","GEL",1,1,1,1,40093,"rectal gel","Rectale","Gel"
"62","166","RECTAL","AEROSOL, FOAM",1,1,1,1,40091,"rectal foam","Rectale","Aérosol, mousse"
"62","2","RECTAL","AEROSOL",1,1,0,1,40091,"rectal foam","Rectale","Aérosol"
"62","20","RECTAL","ENEMA",3,2,2,3,40092,"rectal liquid","Rectale","Lavement"
"62","20-32-85","RECTAL","ENEMA, KIT, TABLET",1,1,0,1,NA,NA,NA,NA
"62","20-34","RECTAL","ENEMA, LIQUID",1,0,0,1,NA,NA,NA,NA
"62","43","RECTAL","OINTMENT",10,8,4,6,40095,"rectal ointment","Rectale","Pommade"
"62","78","RECTAL","SUPPOSITORY",72,58,48,22,40097,"suppository","Rectale","Suppositoire"
"62","79","RECTAL","SUSPENSION",5,4,4,2,40098,"rectal suspension","Rectale","Suspension"
"62-70","114","RECTAL, TOPICAL","GEL",1,1,0,1,40093,"rectal gel","Rectale, Topique","Gel"
"62-70","43","RECTAL, TOPICAL","OINTMENT",9,7,0,4,40095,"rectal ointment","Rectale, Topique","Pommade"
"64","134","SUBARACHNOIDAL","SOLUTION",1,0,0,1,40001,"solution for injection","Sous-arachnoÏdienne","Solution"
"6-49","134","DIALYSIS, INTRAVENOUS","SOLUTION",4,0,0,4,NA,NA,NA,NA
"65","118","SUBCUTANEOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",4,0,0,1,NA,NA,NA,NA
"65","126","SUBCUTANEOUS","POWDER FOR SUSPENSION",4,0,0,2,40016,"powder for suspension for injection","Sous-cutanée","Poudre pour suspension"
"65","134","SUBCUTANEOUS","SOLUTION",146,30,30,57,40001,"solution for injection","Sous-cutanée","Solution"
"65","155","SUBCUTANEOUS","SOLUTION (EXTENDED RELEASE)",3,0,0,1,40001,"solution for injection","Sous-cutanée","Solution (à libération prolongée)"
"65","30","SUBCUTANEOUS","IMPLANT",4,0,0,2,40101,"implant","Sous-cutanée","Implant"
"65","32-118","SUBCUTANEOUS","KIT, POWDER FOR SUSPENSION, SUSTAINED-RELEASE",1,0,0,1,NA,NA,NA,NA
"65","32-134","SUBCUTANEOUS","KIT, SOLUTION",1,1,1,1,NA,NA,NA,NA
"65","32-34","SUBCUTANEOUS","KIT, LIQUID",1,0,0,1,NA,NA,NA,NA
"65","32-34-56","SUBCUTANEOUS","KIT, LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"65","32-56","SUBCUTANEOUS","KIT, POWDER FOR SOLUTION",8,0,0,4,NA,NA,NA,NA
"65","34","SUBCUTANEOUS","LIQUID",19,3,1,13,40001,"solution for injection","Sous-cutanée","Liquide"
"65","56","SUBCUTANEOUS","POWDER FOR SOLUTION",40,2,2,26,40017,"powder for solution for injection","Sous-cutanée","Poudre pour solution"
"65","79","SUBCUTANEOUS","SUSPENSION",18,15,4,8,40019,"suspension for injection","Sous-cutanée","Suspension"
"66","1","SUBLINGUAL","METERED-DOSE AEROSOL",1,1,1,1,40104,"sublingual spray","Sublinguale","Aérosol à dose mesurée"
"66","117","SUBLINGUAL","METERED-DOSE PUMP",3,3,3,1,40104,"sublingual spray","Sublinguale","Pompe à dose mesurée"
"66","132","SUBLINGUAL","TABLET (ORALLY DISINTEGRATING)",13,6,6,4,40076,"orodispersible tablet","Sublinguale","Comprimé (à désintégration orale)"
"66","85","SUBLINGUAL","TABLET",28,23,23,8,40105,"sublingual tablet","Sublinguale","Comprimé"
"7","134","EPIDURAL","SOLUTION",5,3,2,3,40001,"solution for injection","Épidurale","Solution"
"70","105","TOPICAL","WIPE",12,8,8,5,40129,"wipe","Topique","Serviette"
"70","114","TOPICAL","GEL",108,48,41,46,40112,"cutaneous gel","Topique","Gel"
"70","114-32","TOPICAL","GEL, KIT",2,2,2,1,NA,NA,NA,NA
"70","114-32-36","TOPICAL","GEL, KIT, LOTION",1,1,1,1,NA,NA,NA,NA
"70","114-32-52","TOPICAL","GEL, KIT, PASTE",1,1,1,1,NA,NA,NA,NA
"70","114-36","TOPICAL","GEL, LOTION",1,1,1,1,NA,NA,NA,NA
"70","129","TOPICAL","SWAB",2,2,0,1,40128,"swab","Topique","Coton-tige"
"70","13","TOPICAL","DRESSING",2,2,2,1,40109,"dressing","Topique","Pansement"
"70","134","TOPICAL","SOLUTION",77,51,46,26,40124,"cutaneous solution","Topique","Solution"
"70","145","TOPICAL","PATCH",3,1,1,3,40119,"cutaneous patch","Topique","Timbre"
"70","158","TOPICAL","SPRAY, METERED DOSE",2,0,0,1,40106,"cutaneous spray","Topique","Pulvérisation, à dose mesurée"
"70","164","TOPICAL","SPRAY, BAG-ON-VALVE",63,0,0,9,40125,"spray (bag-on-valve)","Topique","Pulvérisation, sac-sur-valve"
"70","166","TOPICAL","AEROSOL, FOAM",8,5,4,7,40107,"cutaneous foam","Topique","Aérosol, mousse"
"70","174","TOPICAL","OIL",1,0,0,1,40115,"liquid","Topique",NA
"70","174","TOPICAL","OIL",1,0,0,1,40115,"liquid","Topique","Huile"
"70","19","TOPICAL","EMULSION",50,0,0,19,40111,"cutaneous emulsion","Topique","Émulsion"
"70","1-98","TOPICAL","METERED-DOSE AEROSOL, SPRAY",1,0,0,1,NA,NA,NA,NA
"70","2","TOPICAL","AEROSOL",35,0,0,10,40106,"cutaneous spray","Topique","Aérosol"
"70","2-55","TOPICAL","AEROSOL, POWDER",1,0,0,1,NA,NA,NA,NA
"70","26","TOPICAL","JELLY",1,0,0,1,40112,"cutaneous gel","Topique",NA
"70","32","TOPICAL","KIT",1,0,0,1,40006,"kit","Topique","Trousse"
"70","32-134","TOPICAL","KIT, SOLUTION",1,0,0,1,NA,NA,NA,NA
"70","32-34-36","TOPICAL","KIT, LIQUID, LOTION",1,1,0,1,NA,NA,NA,NA
"70","32-36","TOPICAL","KIT, LOTION",7,2,2,2,NA,NA,NA,NA
"70","32-76","TOPICAL","KIT, STICK",1,0,0,1,NA,NA,NA,NA
"70","34","TOPICAL","LIQUID",135,22,20,39,40113,"cutaneous liquid","Topique","Liquide"
"70","34-98","TOPICAL","LIQUID, SPRAY",1,0,0,1,NA,NA,NA,NA
"70","36","TOPICAL","LOTION",484,37,34,100,40114,"lotion","Topique","Lotion"
"70","43","TOPICAL","OINTMENT",112,42,37,63,40116,"cutaneous ointment","Topique","Pommade"
"70","43-45","TOPICAL","OINTMENT, PAD",1,0,0,1,NA,NA,NA,NA
"70","45","TOPICAL","PAD",3,3,2,3,40117,"pad","Topique","Compresse"
"70","50","TOPICAL","PLASTER",1,0,0,1,40120,"plaster","Topique","Emplâtre"
"70","52","TOPICAL","PASTE",2,1,1,2,40118,"cutaneous paste","Topique","Pâte"
"70","55","TOPICAL","POWDER",12,0,0,6,40121,"cutaneous powder","Topique","Poudre"
"70","56","TOPICAL","POWDER FOR SOLUTION",2,0,0,2,40122,"powder for cutaneous solution","Topique","Poudre pour solution"
"70","59","TOPICAL","SHAMPOO",92,3,2,11,40123,"shampoo","Topique","Shampoing"
"70","76","TOPICAL","STICK",84,0,0,31,40126,"cutaneous stick","Topique","Bâton"
"70","77","TOPICAL","STRIP",2,0,0,2,NA,NA,NA,NA
"70","79","TOPICAL","SUSPENSION",16,0,0,9,40127,"cutaneous suspension","Topique","Suspension"
"70","88","TOPICAL","TINCTURE",1,0,0,1,NA,NA,NA,NA
"70","9","TOPICAL","CREAM",473,60,53,157,40108,"cutaneous cream","Topique","Crème"
"70","9-114-32-36","TOPICAL","CREAM, GEL, KIT, LOTION",1,1,1,1,NA,NA,NA,NA
"70","9-32","TOPICAL","CREAM, KIT",2,0,0,2,NA,NA,NA,NA
"70","98","TOPICAL","SPRAY",76,9,7,39,40106,"cutaneous spray","Topique","Pulvérisation"
"70-74","9","TOPICAL, VAGINAL","CREAM",2,2,2,1,40131,"vaginal cream","Topique, Vaginale","Crème"
"70-74","9-115","TOPICAL, VAGINAL","CREAM, OVULE",1,0,0,1,NA,NA,NA,NA
"70-74","9-154","TOPICAL, VAGINAL","CREAM, VAGINAL TABLET",2,2,2,1,NA,NA,NA,NA
"70-74","9-78","TOPICAL, VAGINAL","CREAM, SUPPOSITORY",2,0,0,1,NA,NA,NA,NA
"71","114","TRANSDERMAL","GEL",4,4,4,1,40132,"transdermal gel","Transdermique","Gel"
"71","145","TRANSDERMAL","PATCH",88,82,82,10,40133,"transdermal patch","Transdermique","Timbre"
"71","160","TRANSDERMAL","PATCH (EXTENDED RELEASE)",12,12,12,2,40133,"transdermal patch","Transdermique","Timbre (à libération prolongée)"
"72","134","URETHRAL","SOLUTION",1,0,0,1,40041,"intravesical solution","Urétrale","Solution"
"72","78","URETHRAL","SUPPOSITORY",3,0,0,1,40134,"urethral stick","Urétrale","Suppositoire"
"7-22-49","134","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","SOLUTION",2,2,2,1,40001,"solution for injection","Épidurale, Intramusculaire, Intraveineuse","Solution"
"7-22-49","34","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","LIQUID",2,2,2,1,40001,"solution for injection","Épidurale, Intramusculaire, Intraveineuse","Liquide"
"74","104","VAGINAL","RING (SLOW-RELEASE)",2,2,2,2,40140,"ring (slow release)","Vaginale","Anneau (à libération lente)"
"74","114","VAGINAL","GEL",4,2,2,3,40136,"vaginal gel","Vaginale","Gel"
"74","115","VAGINAL","OVULE",1,0,0,1,40139,"pessary","Vaginale","Ovule"
"74","116","VAGINAL","INSERT",1,0,0,1,40137,"vaginal delivery system","Vaginale","Insert"
"74","154","VAGINAL","VAGINAL TABLET",3,3,3,2,40141,"vaginal tablet","Vaginale","Comprimé vaginal"
"74","165","VAGINAL","VAGINAL TABLET, EFFERVESCENT",1,1,1,1,40142,"effervescent vaginal tablet","Vaginale","Comprimé vaginal, effervescent"
"74","78","VAGINAL","SUPPOSITORY",3,1,1,2,40139,"pessary","Vaginale","Suppositoire"
"74","9","VAGINAL","CREAM",20,13,13,9,40131,"vaginal cream","Vaginale","Crème"
"7-4","134","EPIDURAL, INTRACAUDAL","SOLUTION",2,0,0,1,40001,"solution for injection","Épidurale, Intracaudale","Solution"
"7-49","134","EPIDURAL, INTRAVENOUS","SOLUTION",2,0,0,1,40001,"solution for injection","Épidurale, Intraveineuse","Solution"
"7-49-65","134","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","SOLUTION",2,2,2,1,40001,"solution for injection","Épidurale, Intraveineuse, Sous-cutanée","Solution"
"7-60","134","EPIDURAL, RETROBULBAR","SOLUTION",1,0,0,1,40001,"solution for injection","Épidurale, Rétrobulbaire","Solution"
"80","134","INTRAVITREAL","SOLUTION",4,0,0,3,40001,"solution for injection","Intravitreuse","Solution"
"80","30","INTRAVITREAL","IMPLANT",2,1,1,2,40042,"intravitreal implant","Intravitreuse","Implant"
"80","79","INTRAVITREAL","SUSPENSION",1,1,1,1,40019,"suspension for injection","Intravitreuse","Suspension"
"82","134","INTRAGANGLIONAL","SOLUTION",1,0,0,1,40001,"solution for injection","Intraganglionnaire","Solution"
"84","32-34-56","INTRACAVERNOSAL","KIT, LIQUID, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"84","34","INTRACAVERNOSAL","LIQUID",1,0,0,1,40001,"solution for injection","Intracaverneuse","Liquide"
"84","56","INTRACAVERNOSAL","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intracaverneuse","Poudre pour solution"
"85","134","PERCUTANEOUS","SOLUTION",1,0,0,1,40001,"solution for injection","Percutanée","Solution"
"85-65","134","PERCUTANEOUS, SUBCUTANEOUS","SOLUTION",20,0,0,10,40001,"solution for injection","Percutanée, Sous-cutanée","Solution"
"89","123","SUBGINGIVAL","GEL (CONTROLLED-RELEASE)",1,1,1,1,40102,"periodontal gel","Sous-gingivale","Gel (à libération prolongée)"
"89","152","SUBGINGIVAL","POWDER (EXTENDED RELEASE)",1,1,1,1,40103,"prolonged-release periodontal powder","Sous-gingivale","Poudre (à libération prolongée)"
"90","134","EXTRACORPOREAL","SOLUTION",1,0,0,1,NA,NA,NA,NA
"92","134","0-UNASSIGNED","SOLUTION",8,0,0,7,NA,NA,NA,NA
"93-8-9-94","105","DISINFECTANT (Domestic), DISINFECTANT (Food Premises), DISINFECTANT (Hospital/HC Facilities), DISINFECTANT (Institutional/Industrial)","WIPE",1,1,0,1,NA,NA,NA,NA
"95","114","INTRACERVICAL","GEL",1,0,0,1,40033,"endocervical gel","Intracervicale","Gel"
"96","126","INTRAVESICAL","POWDER FOR SUSPENSION",1,0,0,1,40040,"powder for intravesical suspension","Intravésicale","Poudre pour suspension"
"96","134","INTRAVESICAL","SOLUTION",3,0,0,2,40041,"intravesical solution","Intravésicale","Solution"
"96","32-56","INTRAVESICAL","KIT, POWDER FOR SOLUTION",1,0,0,1,NA,NA,NA,NA
"96","56","INTRAVESICAL","POWDER FOR SOLUTION",1,0,0,1,40017,"powder for solution for injection","Intravésicale","Poudre pour solution"
"97","134","INTRAVASCULAR","SOLUTION",13,0,0,5,40001,"solution for injection","Intravasculaire","Solution"
"97","34","INTRAVASCULAR","LIQUID",5,0,0,2,40001,"solution for injection","Intravasculaire","Liquide"
"97-64","134","INTRAVASCULAR, SUBARACHNOIDAL","SOLUTION",4,0,0,2,40001,"solution for injection","Intravasculaire, Sous-arachnoÏdienne","Solution"
"1-7","34","BLOCK/INFILTRATION, EPIDURAL","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Bloc/Infiltration, Épidurale","Liquide"
"3","32","BUCCAL","KIT",NA,NA,NA,NA,40006,"kit","Buccale","Trousse"
"3","85","BUCCAL","TABLET",NA,NA,NA,NA,40007,"buccal tablet","Buccale","Comprimé"
"3","23","BUCCAL","TABLET (EFFERVESCENT)",NA,NA,NA,NA,40007,"buccal tablet","Buccale","Comprimé (effervescent)"
"3-56","34","BUCCAL, ORAL","LIQUID",NA,NA,NA,NA,40008,"oromucosal solution","Buccale, Orale","Liquide"
"3-56","52","BUCCAL, ORAL","PASTE",NA,NA,NA,NA,40009,"oromucosal paste","Buccale, Orale","Pâte"
"5","114","DENTAL","GEL",NA,NA,NA,NA,40010,"dental gel","Dentaire","Gel"
"5","134","DENTAL","SOLUTION",NA,NA,NA,NA,40011,"dental solution","Dentaire","Solution"
"5","32","DENTAL","KIT",NA,NA,NA,NA,40006,"kit","Dentaire","Trousse"
"7","34","EPIDURAL","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Épidurale","Liquide"
"7-22-49","19","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Épidurale, Intramusculaire, Intraveineuse","Émulsion"
"7-22-49","55","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Épidurale, Intramusculaire, Intraveineuse","Poudre"
"7-22-49","56","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Épidurale, Intramusculaire, Intraveineuse","Poudre pour solution"
"7-22-49","126","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Épidurale, Intramusculaire, Intraveineuse","Poudre pour suspension"
"7-22-49","118","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Épidurale, Intramusculaire, Intraveineuse","Poudre pour suspension, à libération prolongée"
"7-22-49","79","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Épidurale, Intramusculaire, Intraveineuse","Suspension"
"7-22-49","143","EPIDURAL, INTRAMUSCULAR, INTRAVENOUS","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Épidurale, Intramusculaire, Intraveineuse","Suspension (à libération prolongée)"
"7-49","34","EPIDURAL, INTRAVENOUS","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Épidurale, Intraveineuse","Liquide"
"7-49-65","19","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","EMULSION",NA,NA,NA,NA,40015,"emulsion for injection","Épidurale, Intraveineuse, Sous-cutanée","Émulsion"
"7-49-65","34","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","LIQUID",NA,NA,NA,NA,40001,"solution for injection","Épidurale, Intraveineuse, Sous-cutanée","Liquide"
"7-49-65","55","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","POWDER",NA,NA,NA,NA,40016,"powder for suspension for injection","Épidurale, Intraveineuse, Sous-cutanée","Poudre"
"7-49-65","56","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SOLUTION",NA,NA,NA,NA,40017,"powder for solution for injection","Épidurale, Intraveineuse, Sous-cutanée","Poudre pour solution"
"7-49-65","126","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SUSPENSION",NA,NA,NA,NA,40016,"powder for suspension for injection","Épidurale, Intraveineuse, Sous-cutanée","Poudre pour suspension"
"7-49-65","118","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","POWDER FOR SUSPENSION, SUSTAINED-RELEASE",NA,NA,NA,NA,40018,"powder for prolonged-release suspension for injection","Épidurale, Intraveineuse, Sous-cutanée","Poudre pour suspension, à libération prolongée"
"7-49-65","79","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","SUSPENSION",NA,NA,NA,NA,40019,"suspension for injection","Épidurale, Intraveineuse, Sous-cutanée","Suspension"
"7-49-65","143","EPIDURAL, INTRAVENOUS, SUBCUTANEOUS","SUSPENSION (EXTENDED-RELEASE)",NA,NA,NA,NA,40020,"prolonged-release suspension for injection","Épidurale, Intraveineuse, Sous-cutanée","Suspension (à libération prolongée)"
