ntp_code,ntp_formal_name,changes,
9004335,maraviroc 150 mg oral tablet,ADDED,
9004336,maraviroc 300 mg oral tablet,ADDED,
9006625,meperidine hydrochloride 100 mg per 1 mL solution for injection ampoule,DELETED,
9006271,meperidine hydrochloride 100 mg per mL solution for injection 20 mL vial,DELETED,
9006626,meperidine hydrochloride 75 mg per 1 mL solution for injection ampoule,DELETED,
9012511,mepolizumab 100 mg per vial powder for solution for injection,DELETED,
9005907,mepolizumab 100 mg per vial powder for solution for injection,ADDED,
9002962,meropenem 1 g per vial powder for solution for injection,ADDED,
9002957,meropenem 500 mg per vial powder for solution for injection,ADDED,
9010499,mesalazine 500 mg gastro-resistant tablet,"ntp_status_effective_time: ""19921231"" -> ""19951231""",
9012512,metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet,DELETED,
9012513,metformin hydrochloride 1000 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet,DELETED,
9012514,metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 2 mg oral tablet,DELETED,
9012515,metformin hydrochloride 500 mg and rosiglitazone (rosiglitazone maleate) 4 mg oral tablet,DELETED,
9001268,methotrexate (methotrexate sodium) 10 mg per 1 mL solution for injection syringe,ADDED,
9006604,methotrexate (methotrexate sodium) 10 mg per mL solution for injection 1 mL syringe,DELETED,
9001269,methotrexate (methotrexate sodium) 15 mg per 1.5 mL solution for injection 1.5 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 15 mg per 1.5 mL solution for injection syringe,ADDED,
9001468,methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL solution for injection 0.35 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 17.5 mg per 0.35 mL solution for injection syringe,ADDED,
9001469,methotrexate (methotrexate sodium) 20 mg per 0.4 mL solution for injection 0.4 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 20 mg per 0.4 mL solution for injection syringe,ADDED,
9012516,methotrexate (methotrexate sodium) 20 mg per 2 mL solution for injection,DELETED,
9001470,methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL solution for injection 0.45 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 22.5 mg per 0.45 mL solution for injection syringe,ADDED,
9001471,methotrexate (methotrexate sodium) 25 mg per 0.5 mL solution for injection 0.5 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 25 mg per 0.5 mL solution for injection syringe,ADDED,
9012517,methotrexate (methotrexate sodium) 25 mg per 2.5 mL solution for injection,DELETED,
9001270,methotrexate (methotrexate sodium) 7.5 mg per 0.75 mL solution for injection 0.75 mL syringe,DELETED,
NA,methotrexate (methotrexate sodium) 7.5 mg per 0.75 mL solution for injection syringe,ADDED,
9001418,methotrexate 10 mg per 0.4 mL solution for injection 0.4 mL syringe,DELETED,
NA,methotrexate 10 mg per 0.4 mL solution for injection syringe,ADDED,
9001363,methotrexate 1000 mg per 40 mL solution for injection vial,DELETED,
9001419,methotrexate 15 mg per 0.6 mL solution for injection 0.6 mL syringe,DELETED,
NA,methotrexate 15 mg per 0.6 mL solution for injection syringe,ADDED,
9001420,methotrexate 20 mg per 0.8 mL solution for injection 0.8 mL syringe,DELETED,
NA,methotrexate 20 mg per 0.8 mL solution for injection syringe,ADDED,
9001421,methotrexate 25 mg per 1 mL solution for injection syringe,ADDED,
9006609,methotrexate 25 mg per mL solution for injection 1 mL syringe,DELETED,
9001365,methotrexate 50 mg per 2 mL solution for injection vial,DELETED,
9001364,methotrexate 500 mg per 20 mL solution for injection vial,DELETED,
9006610,methotrexate 7.5 mg per 0.3 mL solution for injection 0.3 mL syringe,DELETED,
9001423,methotrexate 7.5 mg per 0.3 mL solution for injection syringe,ADDED,
9003032,methotrimeprazine (methotrimeprazine maleate) 25 mg oral tablet,"ntp_status_effective_time: ""19961231"" -> ""19980720""",
9002725,methotrimeprazine (methotrimeprazine maleate) 5 mg oral tablet,"ntp_status_effective_time: ""19950717"" -> ""19980720""",
9003171,methotrimeprazine (methotrimeprazine maleate) 50 mg oral tablet,"ntp_status_effective_time: ""19971020"" -> ""19980720""",
9000329,metoclopramide hydrochloride 10 mg oral tablet,"ntp_status_effective_time: ""19891231"" -> ""19970324""",
9000330,metoclopramide hydrochloride 5 mg oral tablet,"ntp_status_effective_time: ""19891231"" -> ""19980416""",
9000055,metronidazole 250 mg oral tablet,"ntp_status_effective_time: ""19711231"" -> ""19821231""",
9001765,metronidazole 500 mg per 4.5 g and nystatin 100000 unit per 4.5 g vaginal cream,DELETED,
9004610,micafungin sodium 100 mg per vial powder for solution for injection,ADDED,
9004329,micafungin sodium 50 mg per vial powder for solution for injection,ADDED,
9003676,midazolam (midazolam hydrochloride) 1 mg per mL solution for injection,DELETED,
9003677,midazolam (midazolam hydrochloride) 5 mg per mL solution for injection,DELETED,
9006226,morphine sulfate 1 mg per mL solution for injection 50 mL vial,DELETED,
9006225,morphine sulfate 10 mg per 10 mL solution for injection vial,DELETED,
9000362,morphine sulfate 100 mg per 4 mL solution for injection ampoule,DELETED,
9000331,morphine sulfate 2 mg per 1 mL solution for injection ampoule,DELETED,
9006227,morphine sulfate 2 mg per 1 mL solution for injection vial,"ntp_status_effective_time: ""19921231"" -> ""20001212""",
9006228,morphine sulfate 2 mg per mL solution for injection 50 mL vial,DELETED,
9000364,morphine sulfate 25 mg per 1 mL solution for injection ampoule,DELETED,
9000432,morphine sulfate 5 mg per 10 mL solution for injection ampoule,"ntp_status_effective_time: ""19921231"" -> ""19931231""",
9000433,morphine sulfate 5 mg per 5 mL solution for injection ampoule,"ntp_status_effective_time: ""19921231"" -> ""19931231""",
9006229,morphine sulfate 5 mg per 5 mL solution for injection vial,DELETED,
9006230,morphine sulfate 5 mg per mL solution for injection 30 mL vial,DELETED,
9000365,morphine sulfate 50 mg per 1 mL solution for injection ampoule,DELETED,
9006219,morphine sulfate 50 mg per mL solution for injection 20 mL vial,DELETED,
9000936,naproxen 250 mg gastro-resistant tablet,"ntp_status_effective_time: ""20010314"" -> ""20010402""",
9003308,nelfinavir (nelfinavir mesylate) 250 mg oral tablet,ADDED,
9003930,nelfinavir (nelfinavir mesylate) 625 mg oral tablet,ADDED,
9003307,nevirapine 200 mg oral tablet,ADDED,
9004932,nevirapine 400 mg prolonged-release oral tablet,ADDED,
9006248,nifedipine 10 mg prolonged-release oral tablet,DELETED,
9000623,nifedipine 20 mg prolonged-release oral tablet,"ntp_status_effective_time: ""19951231"" -> ""19980505""",
9000366,nitroglycerin 10 mg per 10 mL solution for injection vial,DELETED,
9010880,nitroglycerin 100 mg per 10 mL solution for injection vial,ADDED,
9010882,nitroglycerin 500 mg per 10 mL solution for injection vial,ADDED,
9003268,norfloxacin 400 mg oral tablet,ADDED,
9000133,nystatin 100000 unit per g cutaneous ointment,"ntp_status_effective_time: ""19791231"" -> ""19961128""",
NA,olopatadine (olopatadine hydrochloride) 0.7 % ophthalmic drops,ADDED,
NA,omalizumab 150 mg per 1 mL solution for injection syringe,ADDED,
9012529,omalizumab 150 mg per mL solution for injection syringe,DELETED,
9005814,ombitasvir 12.5 mg and paritaprevir 75 mg and ritonavir 50 mg oral tablet,ADDED,
9001948,oxtriphylline 100 mg oral tablet,DELETED,
9001766,oxtriphylline 100 mg per 5 mL oral solution,DELETED,
9001949,oxtriphylline 200 mg oral tablet,DELETED,
9001950,oxtriphylline 300 mg oral tablet,DELETED,
9006643,palonosetron (palonosetron hydrochloride) 0.25 mg per 5 mL solution for injection,DELETED,
NA,palonosetron (palonosetron hydrochloride) 0.25 mg per 5 mL solution for injection vial,ADDED,
9001196,pantoprazole (pantoprazole sodium) 40 mg per vial powder for solution for injection,"ntp_status_effective_time: ""19990406"" -> ""20070403""",
9004429,penicillin g benzathine 1200000 unit per 2 mL suspension for injection,ADDED,
9006205,penicillin v potassium 125 mg per 5 mL powder for oral solution,DELETED,
9006198,penicillin v potassium 300 mg per 5 mL powder for oral solution,DELETED,
9012537,peramivir 200 mg per 20 mL solution for injection vial,DELETED,
9000437,phenytoin sodium 100 mg per 2 mL solution for injection vial,"ntp_status_effective_time: ""19921231"" -> ""20150312""",
9000438,phenytoin sodium 250 mg per 5 mL solution for injection vial,"ntp_status_effective_time: ""19921231"" -> ""20150312""",
9011415,pindolol 15 mg oral tablet,"ntp_status_effective_time: ""19781231"" -> ""19881231""",
9003777,piperacillin (piperacillin sodium) 3 g per vial powder for solution for injection,ADDED,
9011504,prazosin (prazosin hydrochloride) 1 mg oral tablet,"ntp_status_effective_time: ""19831231"" -> ""19901231""",
9011505,prazosin (prazosin hydrochloride) 2 mg oral tablet,"ntp_status_effective_time: ""19831231"" -> ""19901231""",
9011506,prazosin (prazosin hydrochloride) 5 mg oral tablet,"ntp_status_effective_time: ""19831231"" -> ""19901231""",
9000439,prednisolone sodium phosphate 1 % ophthalmic drops,DELETED,
9000154,propranolol hydrochloride 10 mg oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19811231""",
9000173,propranolol hydrochloride 120 mg oral tablet,DELETED,
9000265,propranolol hydrochloride 20 mg oral tablet,"ntp_status_effective_time: ""19861231"" -> ""19871231""",
9000155,propranolol hydrochloride 40 mg oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19811231""",
9000156,propranolol hydrochloride 80 mg oral tablet,"ntp_status_effective_time: ""19801231"" -> ""19811231""",
9001706,pyrazinamide 500 mg oral tablet,ADDED,
9005182,raltegravir (raltegravir potassium) 100 mg chewable tablet,ADDED,
9005183,raltegravir (raltegravir potassium) 25 mg chewable tablet,ADDED,
9004356,raltegravir (raltegravir potassium) 400 mg oral tablet,ADDED,
NA,raltegravir (raltegravir potassium) 600 mg oral tablet,ADDED,
9002965,raltitrexed (raltitrexed disodium) 2 mg per vial powder for solution for injection,ADDED,
9006272,ranitidine (ranitidine hydrochloride) 100 mg per 2 mL solution for injection vial,ADDED,
9002866,rifabutin 150 mg oral capsule,ADDED,
9001795,rifampin 150 mg oral capsule,ADDED,
9001796,rifampin 300 mg oral capsule,ADDED,
9004920,rilpivirine (rilpivirine hydrochloride) 25 mg oral tablet,ADDED,
9001191,risperidone 0.5 mg orodispersible tablet,"ntp_status_effective_time: ""20030727"" -> ""20131024""",
9004799,ritonavir 100 mg oral tablet,ADDED,
9002936,ritonavir 80 mg per mL oral solution,ADDED,
9001029,salbutamol (salbutamol sulfate) 0.4 mg per mL oral solution,DELETED,
9006238,salbutamol (salbutamol sulfate) 5 mg per mL nebuliser solution 10 mL bottle,DELETED,
9000337,salbutamol 100 mcg per actuation pressurised inhalation,DELETED,
9003034,saquinavir (saquinavir mesylate) 200 mg oral capsule,ADDED,
9004151,saquinavir (saquinavir mesylate) 500 mg oral tablet,ADDED,
9005370,simeprevir (simeprevir sodium) 150 mg oral capsule,ADDED,
9001560,spiramycin 1500000 unit oral capsule,ADDED,
9001561,spiramycin 750000 unit oral capsule,ADDED,
9002896,stavudine 15 mg oral capsule,ADDED,
9002897,stavudine 20 mg oral capsule,ADDED,
9002898,stavudine 30 mg oral capsule,ADDED,
9002899,stavudine 40 mg oral capsule,ADDED,
9003655,streptomycin (streptomycin sulfate) 1 g per vial powder for solution for injection,ADDED,
9000339,sulfamethoxazole 40 mg per 5 mL and trimethoprim 8 mg per 5 mL oral suspension,DELETED,
9001820,sulfamethoxazole 500 mg oral tablet,DELETED,
9006267,sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL solution for injection 0.5 mL syringe,DELETED,
NA,sumatriptan (sumatriptan succinate) 6 mg per 0.5 mL solution for injection syringe,ADDED,
9005845,telavancin (telavancin hydrochloride) 750 mg per vial powder for solution for injection,ADDED,
9006196,tenofovir alafenamide (tenofovir alafenamide hemifumarate) 25 mg oral tablet,ADDED,
9003883,tenofovir disoproxil fumarate 300 mg oral tablet,ADDED,
9000982,testosterone 1 % cutaneous gel,DELETED,
9012540,testosterone 1 % transdermal gel,DELETED,
NA,testosterone 12.5 mg per actuation transdermal gel,ADDED,
9012544,testosterone 2 % NA,DELETED,
NA,testosterone 30 mg per actuation transdermal solution,ADDED,
9000447,testosterone cypionate 200 mg per 2 mL solution for injection ampoule,DELETED,
9000394,testosterone enanthate 2000 mg per 10 mL solution for injection vial,DELETED,
9000448,testosterone propionate 1000 mg per 10 mL solution for injection vial,DELETED,
9001294,testosterone undecanoate 40 mg oral capsule,"ntp_status_effective_time: ""19921231"" -> ""20091008""",
9001863,theophylline 80 mg per 15 mL oral solution,"ntp_status_effective_time: ""19791231"" -> ""19851231""",
9004233,tigecycline 50 mg per vial powder for solution for injection,ADDED,
9000308,timolol (timolol maleate) 0.25 % ophthalmic drops,"ntp_status_effective_time: ""19881231"" -> ""19951231""",
9004101,tipranavir 250 mg oral capsule,ADDED,
9003358,tobramycin 3 mg per mL ophthalmic drops,DELETED,
9005062,tobramycin 40 mg per mL solution for injection,"ntp_status_effective_time: ""20120718"" -> ""20140311""",
9001337,trazodone hydrochloride 150 mg prolonged-release oral tablet,DELETED,
9001338,trazodone hydrochloride 300 mg prolonged-release oral tablet,DELETED,
9000142,triamcinolone acetonide 0.025 % cutaneous cream,DELETED,
9000309,triamcinolone acetonide 0.1 % cutaneous ointment,"ntp_status_effective_time: ""19881231"" -> ""19970414""",
9012545,triamcinolone diacetate 40 mg per mL suspension for injection,DELETED,
9006467,triamcinolone hexacetonide 20 mg per 1 mL suspension for injection vial,DELETED,
9012547,valproic acid (sodium valproate) 250 mg oral capsule,DELETED,
9000639,valproic acid 250 mg oral capsule,"ntp_status_effective_time: ""19951231"" -> ""19970227""",
9012353,verapamil hydrochloride 120 mg prolonged-release oral capsule,DELETED,
9012355,verapamil hydrochloride 180 mg prolonged-release oral capsule,DELETED,
9012357,verapamil hydrochloride 240 mg prolonged-release oral capsule,DELETED,
9006497,vitamin D3 (cholecalciferol) 25000 unit oral capsule,DELETED,
9006498,vitamin D3 (cholecalciferol) 5000 unit oral capsule,DELETED,
9002329,zidovudine 100 mg oral capsule,ADDED,
NA,zidovudine 200 mg per 20 mL solution for injection vial,ADDED,
9002397,zidovudine 50 mg per 5 mL syrup,ADDED,
9000995,zopiclone 3.75 mg oral tablet,"ntp_status_effective_time: ""20020729"" -> ""20170101""",
