"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","ai_set_str","ai_set","ai_group","AI_GROUP_NO"
"2273","3076","00271373","PREDNISONE 1 MG","PREDNISONE","0106321","0106321003"
"2274","30780","02126486","METHYLPHENIDATE HYDROCHLORIDE 20 MG","METHYLPHENIDATE HYDROCHLORIDE","0107548","0107548002"
"2275","30781","02126494","METHYLPHENIDATE HYDROCHLORIDE 10 MG","METHYLPHENIDATE HYDROCHLORIDE","0107548","0107548001"
"2276","30826","02128349","DEXTROMETHORPHAN HYDROBROMIDE 15 MG|GUAIFENESIN 100 MG","DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN","0200826","0200826001"
"2277","3084","00434388","DIAZEPAM 10 MG","DIAZEPAM","0103614","0103614003"
"2278","3088","00392618","MAGNESIUM SULFATE 200 MG","MAGNESIUM SULFATE","0105356","0105356014"
"2279","3088","00392618","MAGNESIUM SULFATE 200 MG","MAGNESIUM SULFATE","0105356","0105356014"
"2280","3089","00417270","PINDOLOL 5 MG","PINDOLOL","0112362","0112362001"
"2281","3090","00417289","PINDOLOL 15 MG","PINDOLOL","0112362","0112362002"
"2282","3091","00443174","PINDOLOL 10 MG","PINDOLOL","0112362","0112362003"
"2283","31","00147680","DEXPANTHENOL 10 MG|LIDOCAINE HYDROCHLORIDE 2.0 %|NICOTINAMIDE 75 MG|PYRIDOXINE HYDROCHLORIDE 2 MG|VITAMIN B1 50 MG|VITAMIN B2 7.5 MG","DEXPANTHENOL|LIDOCAINE HYDROCHLORIDE|NICOTINAMIDE|PYRIDOXINE HYDROCHLORIDE|VITAMIN B1|VITAMIN B2","0652644","0652644001"
"2284","31","00147680","DEXPANTHENOL 10 MG|LIDOCAINE HYDROCHLORIDE 2.0 %|NICOTINAMIDE 75 MG|PYRIDOXINE HYDROCHLORIDE 2 MG|VITAMIN B1 50 MG|VITAMIN B2 7.5 MG","DEXPANTHENOL|LIDOCAINE HYDROCHLORIDE|NICOTINAMIDE|PYRIDOXINE HYDROCHLORIDE|VITAMIN B1|VITAMIN B2","0652644","0652644001"
"2285","31096","02133326","ACETYLCHOLINE CHLORIDE 10 MG","ACETYLCHOLINE CHLORIDE","0108463","0108463002"
"2286","3112","00443840","VALPROIC ACID 250 MG","VALPROIC ACID","0112996","0112996001"
"2287","31283","02137186","SODIUM THIOSULFATE 25 %","SODIUM THIOSULFATE","0109248","0109248001"
"2288","31285","02137232","MORPHINE SULFATE 1 MG","MORPHINE SULFATE","0104545","0104545004"
"2289","31285","02137232","MORPHINE SULFATE 1 MG","MORPHINE SULFATE","0104545","0104545004"
"2290","31286","02137240","MORPHINE SULFATE 2 MG","MORPHINE SULFATE","0104545","0104545008"
"2291","31286","02137240","MORPHINE SULFATE 2 MG","MORPHINE SULFATE","0104545","0104545008"
"2292","31288","02137267","MORPHINE SULFATE 50 MG","MORPHINE SULFATE","0104545","0104545006"
"2293","31288","02137267","MORPHINE SULFATE 50 MG","MORPHINE SULFATE","0104545","0104545006"
"2294","31288","02137267","MORPHINE SULFATE 50 MG","MORPHINE SULFATE","0104545","0104545006"
"2295","3132","00438014","DEXTROSE 3.3 G|POTASSIUM CHLORIDE 150 MG|SODIUM CHLORIDE 300 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097026"
"2296","3133","00438022","DEXTROSE 3.3 G|POTASSIUM CHLORIDE 300 MG|SODIUM CHLORIDE 300 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097002"
"2297","31358","02139480","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"2298","31358","02139480","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"2299","31358","02139480","FOLIC ACID 5 MG","FOLIC ACID","0108418","0108418001"
"2300","31359","02139502","VASOPRESSIN 20 UNIT","VASOPRESSIN","0106469","0106469001"
"2301","31359","02139502","VASOPRESSIN 20 UNIT","VASOPRESSIN","0106469","0106469001"
"2302","31360","02139529","SODIUM ACETATE 328 MG","SODIUM ACETATE","0113986","0113986001"
"2303","31361","02139561","OXYTOCIN 10 UNIT","OXYTOCIN","0106478","0106478002"
"2304","31361","02139561","OXYTOCIN 10 UNIT","OXYTOCIN","0106478","0106478002"
"2305","3141","00456349","AMITRIPTYLINE HYDROCHLORIDE 50 MG","AMITRIPTYLINE HYDROCHLORIDE","0101524","0101524003"
"2306","31467","02141574","ERYTHROMYCIN 5 MG","ERYTHROMYCIN","0105708","0105708001"
"2307","31477","02141728","DIPHENHYDRAMINE HYDROCHLORIDE 25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639002"
"2308","31478","02141736","DIPHENHYDRAMINE HYDROCHLORIDE 12.5 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639003"
"2309","31491","02142546","WATER 100 %","WATER","0105143","0105143002"
"2310","31491","02142546","WATER 100 %","WATER","0105143","0105143002"
"2311","31491","02142546","WATER 100 %","WATER","0105143","0105143002"
"2312","31491","02142546","WATER 100 %","WATER","0105143","0105143002"
"2313","31502","02142740","DEXTROMETHORPHAN HYDROBROMIDE 7.5 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 15 MG","DEXTROMETHORPHAN HYDROBROMIDE|PSEUDOEPHEDRINE HYDROCHLORIDE","0214697","0214697002"
"2314","31506","02142805","ACETAMINOPHEN 160 MG","ACETAMINOPHEN","0102009","0102009006"
"2315","31530","02143186","ACETAMINOPHEN 325 MG|PHENIRAMINE MALEATE 20 MG|PHENYLEPHRINE HYDROCHLORIDE 10 MG|VITAMIN C 50 MG","ACETAMINOPHEN|PHENIRAMINE MALEATE|PHENYLEPHRINE HYDROCHLORIDE|VITAMIN C","0411174","0411174006"
"2316","3156","00443832","VALPROIC ACID 50 MG","VALPROIC ACID","0112996","0112996002"
"2317","31563","02143879","LIDOCAINE HYDROCHLORIDE 20 MG","LIDOCAINE HYDROCHLORIDE","0101280","0101280001"
"2318","31568","02143933","ACETAMINOPHEN 300 MG|CAFFEINE 15 MG|CODEINE PHOSPHATE 8 MG","ACETAMINOPHEN|CAFFEINE|CODEINE PHOSPHATE","0311391","0311391002"
"2319","31582","02144409","LIDOCAINE HYDROCHLORIDE 2 %","LIDOCAINE HYDROCHLORIDE","0101280","0101280001"
"2320","316","00024694","HYDROXYZINE HYDROCHLORIDE 2 MG","HYDROXYZINE HYDROCHLORIDE","0106172","0106172001"
"2321","3166","00452696","BISMUTH SUBGALLATE 200 MG","BISMUTH SUBGALLATE","0110047","0110047003"
"2322","3172","00453617","ERYTHROMYCIN 400 MG","ERYTHROMYCIN","0105708","0105708007"
"2323","3178","00013285","DIAZEPAM 5 MG","DIAZEPAM","0103614","0103614001"
"2324","3182","00455881","BACLOFEN 10 MG","BACLOFEN","0113246","0113246001"
"2325","3186","00451207","TIMOLOL 0.5 %","TIMOLOL","0131275","0131275002"
"2326","3192","00406775","LITHIUM CARBONATE 300 MG","LITHIUM CARBONATE","0101163","0101163002"
"2327","3228","00438898","PIPERAZINE 100 MG","PIPERAZINE","0102269","0102269001"
"2328","3263","00406716","AMOXICILLIN 500 MG","AMOXICILLIN","0131314","0131314006"
"2329","3264","00406724","AMOXICILLIN 250 MG","AMOXICILLIN","0131314","0131314001"
"2330","3266","00450839","DIPHENHYDRAMINE HYDROCHLORIDE 25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639002"
"2331","3276","00443786","BENZOCAINE 18 %|TETRACAINE HYDROCHLORIDE 2 %","BENZOCAINE|TETRACAINE HYDROCHLORIDE","0204973","0204973001"
"2332","32780","02047349","ACETAMINOPHEN 325 MG|PHENIRAMINE MALEATE 20 MG|PHENYLEPHRINE HYDROCHLORIDE 10 MG|VITAMIN C 50 MG","ACETAMINOPHEN|PHENIRAMINE MALEATE|PHENYLEPHRINE HYDROCHLORIDE|VITAMIN C","0411174","0411174015"
"2333","32792","02050773","OCTINOXATE 7.5 %|OXYBENZONE 3.5 %","OCTINOXATE|OXYBENZONE","0216932","0216932007"
"2334","3290","00405329","DIAZEPAM 2 MG","DIAZEPAM","0103614","0103614002"
"2335","3291","00405337","DIAZEPAM 10 MG","DIAZEPAM","0103614","0103614003"
"2336","3311","00405620","HYDROCHLOROTHIAZIDE 100 MG","HYDROCHLOROTHIAZIDE","0101048","0101048003"
"2337","33120","02129981","ACETAMINOPHEN 325 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 30 MG","ACETAMINOPHEN|PSEUDOEPHEDRINE HYDROCHLORIDE","0216113","0216113002"
"2338","3319","00465763","PHENYLEPHRINE HYDROCHLORIDE 2.5 %","PHENYLEPHRINE HYDROCHLORIDE","0100662","0100662002"
"2339","33272","02158698","ACETAMINOPHEN 325 MG","ACETAMINOPHEN","0102009","0102009001"
"2340","3329","00454583","PHENAZOPYRIDINE HYDROCHLORIDE 200 MG","PHENAZOPYRIDINE HYDROCHLORIDE","0106949","0106949002"
"2341","3331","00355658","CARBIDOPA 10 MG|LEVODOPA 100 MG","CARBIDOPA|LEVODOPA","0210315","0210315002"
"2342","33329","02171937","METHYLENE BLUE 0.2 MG|NAPHAZOLINE HYDROCHLORIDE 0.5 MG","METHYLENE BLUE|NAPHAZOLINE HYDROCHLORIDE","0218010","0218010001"
"2343","33430","02213907","OXYMETAZOLINE HYDROCHLORIDE 0.05 %","OXYMETAZOLINE HYDROCHLORIDE","0101481","0101481001"
"2344","3344","00452130","AMOXICILLIN 250 MG","AMOXICILLIN","0131314","0131314003"
"2345","33448","02220709","BISMUTH SUBSALICYLATE 17.6 MG","BISMUTH SUBSALICYLATE","0111864","0111864001"
"2346","3345","00452149","AMOXICILLIN 125 MG","AMOXICILLIN","0131314","0131314002"
"2347","33476","02226022","TROLAMINE SALICYLATE 15 %","TROLAMINE SALICYLATE","0103740","0103740002"
"2348","3348","00463221","MITOTANE 500 MG","MITOTANE","0113395","0113395001"
"2349","33482","02226871","ACETAMINOPHEN 160 MG","ACETAMINOPHEN","0102009","0102009005"
"2350","33483","02226898","ACETAMINOPHEN 80 MG","ACETAMINOPHEN","0102009","0102009003"
"2351","33537","02222132","TROLAMINE SALICYLATE 13.3 %","TROLAMINE SALICYLATE","0103740","0103740005"
"2352","33649","02147793","POLYETHYLENE GLYCOL 3350 59.00 G|POTASSIUM CHLORIDE 0.74 G|SODIUM BICARBONATE 1.68 G|SODIUM CHLORIDE 1.46 G|SODIUM SULFATE 5.68 G","POLYETHYLENE GLYCOL 3350|POTASSIUM CHLORIDE|SODIUM BICARBONATE|SODIUM CHLORIDE|SODIUM SULFATE","0524479","0524479005"
"2353","3369","00216666","ACETYLSALICYLIC ACID 325 MG","ACETYLSALICYLIC ACID","0101169","0101169001"
"2354","3374","00471526","ETHINYL ESTRADIOL 30 MCG|ETHYNODIOL DIACETATE 2 MG","ETHINYL ESTRADIOL|ETHYNODIOL DIACETATE","0206451","0206451001"
"2355","3378","00399736","ARGININE HYDROCHLORIDE 250 MG","ARGININE HYDROCHLORIDE","0107522","0107522001"
"2356","33818","02152053","HYDROQUINONE 2 %","HYDROQUINONE","0108649","0108649001"
"2357","3383","00402257","WATER 100 %","WATER","0105143","0105143002"
"2358","3383","00402257","WATER 100 %","WATER","0105143","0105143002"
"2359","3383","00402257","WATER 100 %","WATER","0105143","0105143002"
"2360","33917","02154234","ACETAMINOPHEN 300 MG|CAFFEINE 15 MG|CODEINE PHOSPHATE 8 MG","ACETAMINOPHEN|CAFFEINE|CODEINE PHOSPHATE","0311391","0311391002"
"2361","33930","02154862","DESONIDE .05 %","DESONIDE","0106367","0106367001"
"2362","33931","02154870","DESONIDE .05 %","DESONIDE","0106367","0106367001"
"2363","3394","00402206","POTASSIUM CHLORIDE 20 mEq","POTASSIUM CHLORIDE","0100273","0100273003"
"2364","3395","00402230","SODIUM CHLORIDE 234 MG","SODIUM CHLORIDE","0100053","0100053008"
"2365","3396","00402249","SODIUM CHLORIDE 9 MG","SODIUM CHLORIDE","0100053","0100053002"
"2366","3396","00402249","SODIUM CHLORIDE 9 MG","SODIUM CHLORIDE","0100053","0100053002"
"2367","3396","00402249","SODIUM CHLORIDE 9 MG","SODIUM CHLORIDE","0100053","0100053002"
"2368","3397","00392537","DIMENHYDRINATE 50 MG","DIMENHYDRINATE","0102747","0102747004"
"2369","3397","00392537","DIMENHYDRINATE 50 MG","DIMENHYDRINATE","0102747","0102747004"
"2370","3409","00464988","MODIFIED RAGWEED TYROSINE ADSORBATE 1400 UNIT|MODIFIED RAGWEED TYROSINE ADSORBATE 210 UNIT|MODIFIED RAGWEED TYROSINE ADSORBATE 4300 UNIT|MODIFIED RAGWEED TYROSINE ADSORBATE 500 UNIT","MODIFIED RAGWEED TYROSINE ADSORBATE|MODIFIED RAGWEED TYROSINE ADSORBATE|MODIFIED RAGWEED TYROSINE ADSORBATE|MODIFIED RAGWEED TYROSINE ADSORBATE","0447001","0447001001"
"2371","3413","00405612","AMITRIPTYLINE HYDROCHLORIDE 75 MG","AMITRIPTYLINE HYDROCHLORIDE","0101524","0101524004"
"2372","3414","00461733","LITHIUM CARBONATE 150 MG","LITHIUM CARBONATE","0101163","0101163001"
"2373","34150","02159546","ACETAMINOPHEN 500 MG|CHLORPHENIRAMINE MALEATE 2 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 30 MG","ACETAMINOPHEN|CHLORPHENIRAMINE MALEATE|PSEUDOEPHEDRINE HYDROCHLORIDE","0312435","0312435001"
"2374","3422","00436895","DEXTROMETHORPHAN HYDROBROMIDE 3 MG","DEXTROMETHORPHAN HYDROBROMIDE","0100807","0100807001"
"2375","34222","02160757","CHLORHEXIDINE GLUCONATE 2 %|ISOPROPYL ALCOHOL 70 %","CHLORHEXIDINE GLUCONATE|ISOPROPYL ALCOHOL","0213979","0213979006"
"2376","34247","02164574","DIPHENHYDRAMINE HYDROCHLORIDE 12.5 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639003"
"2377","3425","00441767","SULFINPYRAZONE 200 MG","SULFINPYRAZONE","0106089","0106089002"
"2378","34258","02162113","BENZOYL PEROXIDE 5 %","BENZOYL PEROXIDE","0107205","0107205001"
"2379","3429","00481815","CALCITRIOL 0.5 MCG","CALCITRIOL","0113628","0113628005"
"2380","3430","00481823","CALCITRIOL 0.25 MCG","CALCITRIOL","0113628","0113628007"
"2381","34463","02167603","LIDOCAINE HYDROCHLORIDE 2 %","LIDOCAINE HYDROCHLORIDE","0101280","0101280001"
"2382","3453","00465283","HYDROXYUREA 500 MG","HYDROXYUREA","0113432","0113432001"
"2383","3455","00466409","THEOPHYLLINE 80 MG","THEOPHYLLINE","0103582","0103582001"
"2384","34560","02169991","LOXAPINE 50 MG","LOXAPINE","0111557","0111557003"
"2385","34574","02170140","RIBAVIRIN 6 G","RIBAVIRIN","0111643","0111643001"
"2386","34574","02170140","RIBAVIRIN 6 G","RIBAVIRIN","0111643","0111643001"
"2387","34604","02171279","DIPHENHYDRAMINE HYDROCHLORIDE 6.25 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639004"
"2388","3463","00402680","OXAZEPAM 10 MG","OXAZEPAM","0102420","0102420003"
"2389","3464","00402737","OXAZEPAM 30 MG","OXAZEPAM","0102420","0102420001"
"2390","3465","00402745","OXAZEPAM 15 MG","OXAZEPAM","0102420","0102420002"
"2391","34650","02172917","CODEINE PHOSPHATE 3.3 MG|GUAIFENESIN 100 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 30 MG","CODEINE PHOSPHATE|GUAIFENESIN|PSEUDOEPHEDRINE HYDROCHLORIDE","0321611","0321611001"
"2392","3468","00454907","GLYCINE 1.28 G|HISTIDINE 300 MG|L-ALANINE 1.28 G|L-ARGININE 980 MG|L-ISOLEUCINE 720 MG|L-LEUCINE 940 MG|L-LYSINE 720 MG|L-PHENYLALANINE 440 MG|L-PROLINE 860 MG|L-THREONINE 520 MG|L-TYROSINE 44 MG|L-VALINE 800 MG|METHIONINE 400 MG|SERINE 420 MG|TRYPTOPHAN 160 MG","GLYCINE|HISTIDINE|L-ALANINE|L-ARGININE|L-ISOLEUCINE|L-LEUCINE|L-LYSINE|L-PHENYLALANINE|L-PROLINE|L-THREONINE|L-TYROSINE|L-VALINE|METHIONINE|SERINE|TRYPTOPHAN","1550865","1550865006"
"2393","34825","02176580","DIPHENHYDRAMINE HYDROCHLORIDE 50 MG","DIPHENHYDRAMINE HYDROCHLORIDE","0102639","0102639001"
"2394","3486","00405396","PATENT BLUE SODIUM 50 MG","PATENT BLUE SODIUM","0112398","0112398001"
"2395","3486","00405396","PATENT BLUE SODIUM 50 MG","PATENT BLUE SODIUM","0112398","0112398001"
"2396","34878","02178125","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 7.49 G|DEXTROSE 45 G|MAGNESIUM CHLORIDE 2.14 G|POTASSIUM CHLORIDE 6.7 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0617386","0617386284"
"2397","34879","02178133","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 2.49 G|DEXTROSE 45 G|MAGNESIUM CHLORIDE 2.14 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|SODIUM CHLORIDE","0517387","0517387061"
"2398","34881","02178168","ACETIC ACID 10.8 G|CALCIUM CHLORIDE 6.24 G|DEXTROSE 90 G|MAGNESIUM CHLORIDE 1.61 G|POTASSIUM CHLORIDE 3.35 G|SODIUM CHLORIDE 263 G","ACETIC ACID|CALCIUM CHLORIDE|DEXTROSE|MAGNESIUM CHLORIDE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0617386","0617386272"
"2399","3491","00399779","DIMENHYDRINATE 50 MG","DIMENHYDRINATE","0102747","0102747004"
"2400","3492","00363014","HYDROCORTISONE ACETATE 1 %|PRAMOXINE HYDROCHLORIDE 1 %","HYDROCORTISONE ACETATE|PRAMOXINE HYDROCHLORIDE","0211084","0211084001"
"2401","34945","02179547","HYDROCORTISONE ACETATE 0.5 %|ZINC SULFATE 0.5 %","HYDROCORTISONE ACETATE|ZINC SULFATE","0214222","0214222001"
"2402","34945","02179547","HYDROCORTISONE ACETATE 0.5 %|ZINC SULFATE 0.5 %","HYDROCORTISONE ACETATE|ZINC SULFATE","0214222","0214222001"
"2403","3497","00463434","DEXPANTHENOL 10 MG|NICOTINAMIDE 100 MG|PYRIDOXINE HYDROCHLORIDE 10 MG|THIAMINE HYDROCHLORIDE 100 MG|VITAMIN B12 100 MCG|VITAMIN B2 10 MG","DEXPANTHENOL|NICOTINAMIDE|PYRIDOXINE HYDROCHLORIDE|THIAMINE HYDROCHLORIDE|VITAMIN B12|VITAMIN B2","0608243","0608243001"
"2404","3497","00463434","DEXPANTHENOL 10 MG|NICOTINAMIDE 100 MG|PYRIDOXINE HYDROCHLORIDE 10 MG|THIAMINE HYDROCHLORIDE 100 MG|VITAMIN B12 100 MCG|VITAMIN B2 10 MG","DEXPANTHENOL|NICOTINAMIDE|PYRIDOXINE HYDROCHLORIDE|THIAMINE HYDROCHLORIDE|VITAMIN B12|VITAMIN B2","0608243","0608243001"
"2405","3498","00463442","VITAMIN B2 50 MG","VITAMIN B2","0108378","0108378003"
"2406","3498","00463442","VITAMIN B2 50 MG","VITAMIN B2","0108378","0108378003"
"2407","3499","00463450","NICOTINIC ACID 100 MG","NICOTINIC ACID","0108396","0108396002"
"2408","3499","00463450","NICOTINIC ACID 100 MG","NICOTINIC ACID","0108396","0108396002"
"2409","3500","00465356","VITAMIN B12 1 MG","VITAMIN B12","0108437","0108437002"
"2410","3500","00465356","VITAMIN B12 1 MG","VITAMIN B12","0108437","0108437002"
"2411","3501","00463469","PYRIDOXINE HYDROCHLORIDE 100 MG","PYRIDOXINE HYDROCHLORIDE","0131229","0131229002"
"2412","3501","00463469","PYRIDOXINE HYDROCHLORIDE 100 MG","PYRIDOXINE HYDROCHLORIDE","0131229","0131229002"
"2413","3502","00463477","HYDROXOCOBALAMIN 1 MG","HYDROXOCOBALAMIN","0108455","0108455001"
"2414","3503","00463493","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"2415","3503","00463493","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"2416","35083","02181746","SODIUM ACETATE 328 MG","SODIUM ACETATE","0113986","0113986001"
"2417","35201","02183862","LOPERAMIDE HYDROCHLORIDE 2 MG","LOPERAMIDE HYDROCHLORIDE","0111332","0111332001"
"2418","3534","00466670","DEXTROSE 50.0 MG|POTASSIUM CHLORIDE 1.49 MG|SODIUM CHLORIDE 4.5 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097005"
"2419","3535","00466689","DEXTROSE 50.0 MG|POTASSIUM CHLORIDE 1.49 MG|SODIUM CHLORIDE 2.25 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097019"
"2420","3536","00466697","DEXTROSE 50.0 MG|POTASSIUM CHLORIDE 1.49 MG","DEXTROSE|POTASSIUM CHLORIDE","0200305","0200305001"
"2421","3537","00472077","DEXTROSE 33.3 MG|POTASSIUM CHLORIDE 2.98 MG|SODIUM CHLORIDE 3.00 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097002"
"2422","3538","00472085","DEXTROSE 33.3 MG|POTASSIUM CHLORIDE 1.49 MG|SODIUM CHLORIDE 3.0 MG","DEXTROSE|POTASSIUM CHLORIDE|SODIUM CHLORIDE","0300097","0300097001"
"2423","354","00028096","BETAMETHASONE 3 MG|BETAMETHASONE ACETATE 3 MG","BETAMETHASONE|BETAMETHASONE ACETATE","0206301","0206301001"
"2424","354","00028096","BETAMETHASONE 3 MG|BETAMETHASONE ACETATE 3 MG","BETAMETHASONE|BETAMETHASONE ACETATE","0206301","0206301001"
"2425","354","00028096","BETAMETHASONE 3 MG|BETAMETHASONE ACETATE 3 MG","BETAMETHASONE|BETAMETHASONE ACETATE","0206301","0206301001"
"2426","354","00028096","BETAMETHASONE 3 MG|BETAMETHASONE ACETATE 3 MG","BETAMETHASONE|BETAMETHASONE ACETATE","0206301","0206301001"
"2427","3546","00469203","ANTIPYRINE 10 MG|SODIUM SALICYLATE 56 MG","ANTIPYRINE|SODIUM SALICYLATE","0211091","0211091002"
"2428","3550","00392472","OXYCODONE HYDROCHLORIDE 20 MG","OXYCODONE HYDROCHLORIDE","0107552","0107552001"
"2429","3551","00392480","OXYCODONE HYDROCHLORIDE 10 MG","OXYCODONE HYDROCHLORIDE","0107552","0107552002"
"2430","3553","00392693","ATROPINE SULFATE .6 MG","ATROPINE SULFATE","0104748","0104748005"
"2431","3553","00392693","ATROPINE SULFATE .6 MG","ATROPINE SULFATE","0104748","0104748005"
"2432","3553","00392693","ATROPINE SULFATE .6 MG","ATROPINE SULFATE","0104748","0104748005"
"2433","3554","00392782","ATROPINE SULFATE 0.4 MG","ATROPINE SULFATE","0104748","0104748006"
"2434","3554","00392782","ATROPINE SULFATE 0.4 MG","ATROPINE SULFATE","0104748","0104748006"
"2435","3554","00392782","ATROPINE SULFATE 0.4 MG","ATROPINE SULFATE","0104748","0104748006"
"2436","3555","00392812","DICYCLOMINE HYDROCHLORIDE 10 MG","DICYCLOMINE HYDROCHLORIDE","0107449","0107449001"
"2437","3556","00392820","DICYCLOMINE HYDROCHLORIDE 10 MG","DICYCLOMINE HYDROCHLORIDE","0107449","0107449001"
"2438","35663","02192268","AMCINONIDE 0.1 %","AMCINONIDE","0113040","0113040001"
"2439","35664","02192276","AMCINONIDE 0.1 %","AMCINONIDE","0113040","0113040001"
"2440","35665","02192284","AMCINONIDE 0.1 %","AMCINONIDE","0113040","0113040001"
"2441","3569","00466085","MEASLES VIRUS VACCINE LIVE ATTENUATED 1000 UNIT|MUMPS VIRUS VACCINE LIVE ATTENUATED 5000 UNIT|RUBELLA VIRUS VACCINE LIVE ATTENUATED 1000 UNIT","MEASLES VIRUS VACCINE LIVE ATTENUATED|MUMPS VIRUS VACCINE LIVE ATTENUATED|RUBELLA VIRUS VACCINE LIVE ATTENUATED","0343701","0343701001"
"2442","35700","02193221","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"2443","35700","02193221","THIAMINE HYDROCHLORIDE 100 MG","THIAMINE HYDROCHLORIDE","0108220","0108220001"
"2444","35783","02194031","TRIAMCINOLONE ACETONIDE 0.1 %","TRIAMCINOLONE ACETONIDE","0106310","0106310002"
"2445","35784","02194058","TRIAMCINOLONE ACETONIDE 0.1 %","TRIAMCINOLONE ACETONIDE","0106310","0106310002"
"2446","35785","02194066","TRIAMCINOLONE ACETONIDE 0.5 %","TRIAMCINOLONE ACETONIDE","0106310","0106310001"
"2447","35794","02194155","TRIAMCINOLONE HEXACETONIDE 20 MG","TRIAMCINOLONE HEXACETONIDE","0109565","0109565001"
"2448","35795","02194163","NYSTATIN 100000 UNIT","NYSTATIN","0105858","0105858001"
"2449","35798","02194201","NYSTATIN 100000 UNIT","NYSTATIN","0105858","0105858002"
"2450","35799","02194228","NYSTATIN 100000 UNIT","NYSTATIN","0105858","0105858001"
"2451","35800","02194236","NYSTATIN 100000 UNIT","NYSTATIN","0105858","0105858001"
"2452","3585","00244988","DEXTROSE 700 MG","DEXTROSE","0102181","0102181015"
"2453","3595","00392731","DIMENHYDRINATE 10 MG","DIMENHYDRINATE","0102747","0102747001"
"2454","36179","02200104","AMYLASE 11200 UNIT|LIPASE 10000 UNIT|PROTEASE 730 UNIT","AMYLASE|LIPASE|PROTEASE","0302964","0302964040"
"2455","36232","02200708","DEXTROMETHORPHAN HYDROBROMIDE 15 MG|GUAIFENESIN 200 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 30 MG","DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN|PSEUDOEPHEDRINE HYDROCHLORIDE","0310136","0310136002"
"2456","36293","02201712","DEXTROMETHORPHAN HYDROBROMIDE 15 MG|GUAIFENESIN 100 MG","DEXTROMETHORPHAN HYDROBROMIDE|GUAIFENESIN","0200826","0200826001"
"2457","3633","00469327","ETHINYL ESTRADIOL 30 MCG|ETHYNODIOL DIACETATE 2 MG","ETHINYL ESTRADIOL|ETHYNODIOL DIACETATE","0206451","0206451001"
"2458","36346","02202352","ACETYLSALICYLIC ACID 80 MG","ACETYLSALICYLIC ACID","0101169","0101169013"
"2459","36347","02202360","ACETYLSALICYLIC ACID 80 MG","ACETYLSALICYLIC ACID","0101169","0101169013"
"2460","36404","02203375","MINERAL OIL LIGHT 100 %","MINERAL OIL LIGHT","0126693","0126693001"
"2461","36412","02203499","DEXTROSE 50 MG|MAGNESIUM SULFATE 20 MG","DEXTROSE|MAGNESIUM SULFATE","0228287","0228287001"
"2462","36480","02204266","DEXAMETHASONE PHOSPHATE 4 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305003"
"2463","36480","02204266","DEXAMETHASONE PHOSPHATE 4 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305003"
"2464","36480","02204266","DEXAMETHASONE PHOSPHATE 4 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305003"
"2465","36480","02204266","DEXAMETHASONE PHOSPHATE 4 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305003"
"2466","36480","02204266","DEXAMETHASONE PHOSPHATE 4 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305003"
"2467","36481","02204274","DEXAMETHASONE PHOSPHATE 10 MG","DEXAMETHASONE PHOSPHATE","0106305","0106305005"
