"","DRUG_CODE","DRUG_IDENTIFICATION_NUMBER","DPD_BRAND_NAME","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","COMPANY_NAME","ai_set","ai_group","AI_GROUP_NO"
"1341","91348","02429047","ESCITALOPRAM","ESCITALOPRAM 20 MG","TABLET","ORAL","SIVEM PHARMACEUTICALS ULC","ESCITALOPRAM","0150435","0150435004"
"1342","91423","02429799","JAMP-ESCITALOPRAM","ESCITALOPRAM 20 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","ESCITALOPRAM","0150435","0150435004"
"1343","91453","02430126","ESCITALOPRAM","ESCITALOPRAM 20 MG","TABLET","ORAL","SANIS HEALTH INC","ESCITALOPRAM","0150435","0150435004"
"1344","91897","02434660","ACH-ESCITALOPRAM","ESCITALOPRAM 20 MG","TABLET","ORAL","ACCORD HEALTHCARE INC","ESCITALOPRAM","0150435","0150435004"
"1345","92467","02440318","NAT-ESCITALOPRAM","ESCITALOPRAM 20 MG","TABLET","ORAL","NATCO PHARMA (CANADA) INC","ESCITALOPRAM","0150435","0150435004"
"1346","87680","02391457","CIPRALEX MELTZ","ESCITALOPRAM 20 MG","TABLET (ORALLY DISINTEGRATING)","ORAL","LUNDBECK CANADA INC","ESCITALOPRAM","0150435","0150435004"
"1347","94082","02454300","ACT ESCITALOPRAM ODT","ESCITALOPRAM 20 MG","TABLET (ORALLY DISINTEGRATING)","ORAL","ACTAVIS PHARMA COMPANY","ESCITALOPRAM","0150435","0150435004"
"1348","78581","02300524","NEXIUM","ESOMEPRAZOLE 10 MG","GRANULES FOR SUSPENSION, DELAYED RELEASE","ORAL","ASTRAZENECA CANADA INC","ESOMEPRAZOLE","0145162","0145162003"
"1349","92986","02444712","NEXIUM 24HR","ESOMEPRAZOLE 20 MG","CAPSULE (DELAYED RELEASE)","ORAL","PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA INC","ESOMEPRAZOLE","0145162","0145162001"
"1350","68498","02244521","NEXIUM - 20MG","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","ESOMEPRAZOLE","0145162","0145162001"
"1351","82472","02339099","APO-ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","APOTEX INC","ESOMEPRAZOLE","0145162","0145162001"
"1352","86882","02383039","MYLAN-ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","MYLAN PHARMACEUTICALS ULC","ESOMEPRAZOLE","0145162","0145162001"
"1353","87999","02394839","ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","PRO DOC LIMITEE","ESOMEPRAZOLE","0145162","0145162001"
"1354","90860","02423855","ACT ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","ACTAVIS PHARMA COMPANY","ESOMEPRAZOLE","0145162","0145162001"
"1355","90870","02423979","RAN-ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","ESOMEPRAZOLE","0145162","0145162001"
"1356","92684","02442493","ESOMEPRAZOLE","ESOMEPRAZOLE 20 MG","TABLET (DELAYED-RELEASE)","ORAL","SIVEM PHARMACEUTICALS ULC","ESOMEPRAZOLE","0145162","0145162001"
"1357","84676","02361701","VIMOVO","ESOMEPRAZOLE 20 MG!NAPROXEN 375 MG","TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","ESOMEPRAZOLE!NAPROXEN","0252870","0252870001"
"1358","84677","02361728","VIMOVO","ESOMEPRAZOLE 20 MG!NAPROXEN 500 MG","TABLET (IMMEDIATE AND DELAYED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","ESOMEPRAZOLE!NAPROXEN","0252870","0252870002"
"1359","86506","02379171","PMS-ESOMEPRAZOLE DR","ESOMEPRAZOLE 40 MG","CAPSULE (DELAYED RELEASE)","ORAL","PHARMASCIENCE INC","ESOMEPRAZOLE","0145162","0145162002"
"1360","68499","02244522","NEXIUM - 40MG","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","ESOMEPRAZOLE","0145162","0145162002"
"1361","82473","02339102","APO-ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","APOTEX INC","ESOMEPRAZOLE","0145162","0145162002"
"1362","86883","02383047","MYLAN-ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","MYLAN PHARMACEUTICALS ULC","ESOMEPRAZOLE","0145162","0145162002"
"1363","88000","02394847","ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","PRO DOC LIMITEE","ESOMEPRAZOLE","0145162","0145162002"
"1364","90861","02423863","ACT ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","ACTAVIS PHARMA COMPANY","ESOMEPRAZOLE","0145162","0145162002"
"1365","90871","02423987","RAN-ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","ESOMEPRAZOLE","0145162","0145162002"
"1366","91561","02431173","ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","SANIS HEALTH INC","ESOMEPRAZOLE","0145162","0145162002"
"1367","92685","02442507","ESOMEPRAZOLE","ESOMEPRAZOLE 40 MG","TABLET (DELAYED-RELEASE)","ORAL","SIVEM PHARMACEUTICALS ULC","ESOMEPRAZOLE","0145162","0145162002"
"1368","62136","02238704","ESTROGEL","ESTRADIOL 0.06 %","GEL","TRANSDERMAL","MERCK CANADA INC","ESTRADIOL","0106457","0106457004"
"1369","90950","02424835","DIVIGEL","ESTRADIOL 0.1 %","GEL","TRANSDERMAL","TEVA CANADA LIMITED","ESTRADIOL","0106457","0106457032"
"1370","90951","02424843","DIVIGEL","ESTRADIOL 0.1 %","GEL","TRANSDERMAL","TEVA CANADA LIMITED","ESTRADIOL","0106457","0106457032"
"1371","90959","02424924","DIVIGEL","ESTRADIOL 0.1 %","GEL","TRANSDERMAL","TEVA CANADA LIMITED","ESTRADIOL","0106457","0106457032"
"1372","69776","02245676","ESTRADOT 25","ESTRADIOL 0.39 MG","PATCH","TRANSDERMAL","NOVARTIS PHARMACEUTICALS CANADA INC","ESTRADIOL","0106457","0106457026"
"1373","43420","02225190","ESTRACE","ESTRADIOL 0.5 MG","TABLET","ORAL","ACERUS PHARMACEUTICALS CORPORATION","ESTRADIOL","0106457","0106457006"
"1374","93486","02449048","LUPIN-ESTRADIOL","ESTRADIOL 0.5 MG","TABLET","ORAL","LUPIN PHARMA CANADA LIMITED","ESTRADIOL","0106457","0106457006"
"1375","67942","02243999","ESTRADOT 37.5","ESTRADIOL 0.585 MG","PATCH","TRANSDERMAL","NOVARTIS PHARMACEUTICALS CANADA INC","ESTRADIOL","0106457","0106457023"
"1376","67943","02244000","ESTRADOT 50","ESTRADIOL 0.78 MG","PATCH","TRANSDERMAL","NOVARTIS PHARMACEUTICALS CANADA INC","ESTRADIOL","0106457","0106457024"
"1377","19406","02148587","ESTRACE","ESTRADIOL 1 MG","TABLET","ORAL","ACERUS PHARMACEUTICALS CORPORATION","ESTRADIOL","0106457","0106457003"
"1378","93487","02449056","LUPIN-ESTRADIOL","ESTRADIOL 1 MG","TABLET","ORAL","LUPIN PHARMA CANADA LIMITED","ESTRADIOL","0106457","0106457003"
"1379","67944","02244001","ESTRADOT 75","ESTRADIOL 1.17 MG","PATCH","TRANSDERMAL","NOVARTIS PHARMACEUTICALS CANADA INC","ESTRADIOL","0106457","0106457025"
"1380","67945","02244002","ESTRADOT 100","ESTRADIOL 1.56 MG","PATCH","TRANSDERMAL","NOVARTIS PHARMACEUTICALS CANADA INC","ESTRADIOL","0106457","0106457017"
"1381","81084","02325462","VAGIFEM 10","ESTRADIOL 10 MCG","VAGINAL TABLET","VAGINAL","NOVO NORDISK CANADA INC","ESTRADIOL","0106457","0106457031"
"1382","67656","02243724","OESCLIM","ESTRADIOL 10 MG","PATCH","TRANSDERMAL","SEARCHLIGHT PHARMA INC","ESTRADIOL","0106457","0106457019"
"1383","67657","02243725","OESCLIM","ESTRADIOL 15 MG","PATCH","TRANSDERMAL","SEARCHLIGHT PHARMA INC","ESTRADIOL","0106457","0106457022"
"1384","71749","02247499","CLIMARA 25","ESTRADIOL 2 MG","PATCH","TRANSDERMAL","BAYER INC","ESTRADIOL","0106457","0106457001"
"1385","18640","02168898","ESTRING","ESTRADIOL 2 MG","RING (SLOW-RELEASE)","VAGINAL","PFIZER CANADA INC","ESTRADIOL","0106457","0106457001"
"1386","19405","02148595","ESTRACE","ESTRADIOL 2 MG","TABLET","ORAL","ACERUS PHARMACEUTICALS CORPORATION","ESTRADIOL","0106457","0106457001"
"1387","93488","02449064","LUPIN-ESTRADIOL","ESTRADIOL 2 MG","TABLET","ORAL","LUPIN PHARMA CANADA LIMITED","ESTRADIOL","0106457","0106457001"
"1388","67658","02243726","OESCLIM","ESTRADIOL 20 MG","PATCH","TRANSDERMAL","SEARCHLIGHT PHARMA INC","ESTRADIOL","0106457","0106457020"
"1389","50849","02231509","CLIMARA 50","ESTRADIOL 3.8 MG","PATCH","TRANSDERMAL","BAYER INC","ESTRADIOL","0106457","0106457030"
"1390","71196","02246967","SANDOZ ESTRADIOL DERM 50","ESTRADIOL 4 MG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","ESTRADIOL","0106457","0106457011"
"1391","67654","02243722","OESCLIM","ESTRADIOL 5 MG","PATCH","TRANSDERMAL","SEARCHLIGHT PHARMA INC","ESTRADIOL","0106457","0106457018"
"1392","71750","02247500","CLIMARA 75","ESTRADIOL 5.7 MG","PATCH","TRANSDERMAL","BAYER INC","ESTRADIOL","0106457","0106457028"
"1393","71197","02246968","SANDOZ ESTRADIOL DERM 75","ESTRADIOL 6 MG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","ESTRADIOL","0106457","0106457027"
"1394","67655","02243723","OESCLIM","ESTRADIOL 7.5 MG","PATCH","TRANSDERMAL","SEARCHLIGHT PHARMA INC","ESTRADIOL","0106457","0106457021"
"1395","50850","02231510","CLIMARA 100","ESTRADIOL 7.6 MG","PATCH","TRANSDERMAL","BAYER INC","ESTRADIOL","0106457","0106457021"
"1396","71198","02246969","SANDOZ ESTRADIOL DERM 100","ESTRADIOL 8 MG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","ESTRADIOL","0106457","0106457012"
"1397","71771","02247521","EZETROL","EZETIMIBE 10 MG","TABLET","ORAL","MERCK CANADA INC","EZETIMIBE","0149164","0149164001"
"1398","83931","02354101","TEVA-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","TEVA CANADA LIMITED","EZETIMIBE","0149164","0149164001"
"1399","86382","02378035","MYLAN-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","MYLAN PHARMACEUTICALS ULC","EZETIMIBE","0149164","0149164001"
"1400","89935","02414716","ACT EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","ACTAVIS PHARMA COMPANY","EZETIMIBE","0149164","0149164001"
"1401","90096","02416409","PMS-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","PHARMASCIENCE INC","EZETIMIBE","0149164","0149164001"
"1402","90134","02416778","SANDOZ EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","EZETIMIBE","0149164","0149164001"
"1403","90416","02419548","RAN-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","RANBAXY PHARMACEUTICALS CANADA INC.","EZETIMIBE","0149164","0149164001"
"1404","90723","02422549","EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","PRO DOC LIMITEE","EZETIMIBE","0149164","0149164001"
"1405","90733","02422662","MAR-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","MARCAN PHARMACEUTICALS INC","EZETIMIBE","0149164","0149164001"
"1406","90797","02423235","JAMP-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","JAMP PHARMA CORPORATION","EZETIMIBE","0149164","0149164001"
"1407","90798","02423243","MINT-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","MINT PHARMACEUTICALS INC","EZETIMIBE","0149164","0149164001"
"1408","90913","02424436","RIVA-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","LABORATOIRE RIVA INC","EZETIMIBE","0149164","0149164001"
"1409","90986","02425211","BIO-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","BIOMED PHARMA","EZETIMIBE","0149164","0149164001"
"1410","90987","02425238","PRIVA-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","PHARMAPAR INC","EZETIMIBE","0149164","0149164001"
"1411","91025","02425610","ACH-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","ACCORD HEALTHCARE INC","EZETIMIBE","0149164","0149164001"
"1412","91232","02427826","APO-EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","APOTEX INC","EZETIMIBE","0149164","0149164001"
"1413","91410","02429659","EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","SIVEM PHARMACEUTICALS ULC","EZETIMIBE","0149164","0149164001"
"1414","91572","02431300","EZETIMIBE","EZETIMIBE 10 MG","TABLET","ORAL","SANIS HEALTH INC","EZETIMIBE","0149164","0149164001"
"1415","12459","00851787","PLENDIL 10 MG","FELODIPINE 10 MG","TABLET (EXTENDED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","FELODIPINE","0121733","0121733001"
"1416","76594","02280272","SANDOZ FELODIPINE","FELODIPINE 10 MG","TABLET (EXTENDED-RELEASE)","ORAL","SANDOZ CANADA INCORPORATED","FELODIPINE","0121733","0121733001"
"1417","93877","02452383","APO-FELODIPINE","FELODIPINE 10 MG","TABLET (EXTENDED-RELEASE)","ORAL","APOTEX INC","FELODIPINE","0121733","0121733001"
"1418","15574","02057778","PLENDIL 2.5 MG","FELODIPINE 2.5 MG","TABLET (EXTENDED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","FELODIPINE","0121733","0121733003"
"1419","93875","02452367","APO-FELODIPINE","FELODIPINE 2.5 MG","TABLET (EXTENDED-RELEASE)","ORAL","APOTEX INC","FELODIPINE","0121733","0121733003"
"1420","12458","00851779","PLENDIL 5 MG","FELODIPINE 5 MG","TABLET (EXTENDED-RELEASE)","ORAL","ASTRAZENECA CANADA INC","FELODIPINE","0121733","0121733002"
"1421","76593","02280264","SANDOZ FELODIPINE","FELODIPINE 5 MG","TABLET (EXTENDED-RELEASE)","ORAL","SANDOZ CANADA INCORPORATED","FELODIPINE","0121733","0121733002"
"1422","93876","02452375","APO-FELODIPINE","FELODIPINE 5 MG","TABLET (EXTENDED-RELEASE)","ORAL","APOTEX INC","FELODIPINE","0121733","0121733002"
"1423","43440","02225980","APO-FENOFIBRATE","FENOFIBRATE 100 MG","CAPSULE","ORAL","APOTEX INC","FENOFIBRATE","0118895","0118895002"
"1424","71082","02246859","APO-FENO-SUPER","FENOFIBRATE 100 MG","TABLET","ORAL","APOTEX INC","FENOFIBRATE","0118895","0118895002"
"1425","77343","02288044","SANDOZ FENOFIBRATE S","FENOFIBRATE 100 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","FENOFIBRATE","0118895","0118895002"
"1426","77447","02289083","TEVA-FENOFIBRATE-S","FENOFIBRATE 100 MG","TABLET","ORAL","TEVA CANADA LIMITED","FENOFIBRATE","0118895","0118895002"
"1427","79587","02310228","PRO-FENO-SUPER - 100","FENOFIBRATE 100 MG","TABLET","ORAL","PRO DOC LIMITEE","FENOFIBRATE","0118895","0118895002"
"1428","84171","02356570","FENOFIBRATE-S","FENOFIBRATE 100 MG","TABLET","ORAL","SANIS HEALTH INC","FENOFIBRATE","0118895","0118895002"
"1429","75448","02269082","LIPIDIL EZ","FENOFIBRATE 145 MG","TABLET","ORAL","BGP PHARMA ULC","FENOFIBRATE","0118895","0118895006"
"1430","87611","02390701","SANDOZ FENOFIBRATE E","FENOFIBRATE 145 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","FENOFIBRATE","0118895","0118895006"
"1431","73482","02250004","FENOMAX","FENOFIBRATE 160 MG","CAPSULE","ORAL","CIPHER PHARMACEUTICALS INC","FENOFIBRATE","0118895","0118895004"
"1432","65259","02241602","LIPIDIL SUPRA","FENOFIBRATE 160 MG","TABLET","ORAL","BGP PHARMA ULC","FENOFIBRATE","0118895","0118895004"
"1433","71083","02246860","APO-FENO-SUPER","FENOFIBRATE 160 MG","TABLET","ORAL","APOTEX INC","FENOFIBRATE","0118895","0118895004"
"1434","77344","02288052","SANDOZ FENOFIBRATE S","FENOFIBRATE 160 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","FENOFIBRATE","0118895","0118895004"
"1435","77448","02289091","TEVA-FENOFIBRATE-S","FENOFIBRATE 160 MG","TABLET","ORAL","TEVA CANADA LIMITED","FENOFIBRATE","0118895","0118895004"
"1436","79588","02310236","PRO-FENO-SUPER - 160","FENOFIBRATE 160 MG","TABLET","ORAL","PRO DOC LIMITEE","FENOFIBRATE","0118895","0118895004"
"1437","84172","02356589","FENOFIBRATE-S","FENOFIBRATE 160 MG","TABLET","ORAL","SANIS HEALTH INC","FENOFIBRATE","0118895","0118895004"
"1438","17849","02146959","LIPIDIL MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","BGP PHARMA ULC","FENOFIBRATE","0118895","0118895001"
"1439","63352","02239864","APO-FENO-MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","APOTEX INC","FENOFIBRATE","0118895","0118895001"
"1440","63736","02240210","MYLAN-FENOFIBRATE MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","MYLAN PHARMACEUTICALS ULC","FENOFIBRATE","0118895","0118895001"
"1441","63876","02240337","DOM-FENOFIBRATE MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","DOMINION PHARMACAL","FENOFIBRATE","0118895","0118895001"
"1442","63903","02240360","FENO-MICRO-200","FENOFIBRATE 200 MG","CAPSULE","ORAL","PRO DOC LIMITEE","FENOFIBRATE","0118895","0118895001"
"1443","73485","02250039","RATIO-FENOFIBRATE MC","FENOFIBRATE 200 MG","CAPSULE","ORAL","TEVA CANADA LIMITED","FENOFIBRATE","0118895","0118895001"
"1444","75904","02273551","PMS-FENOFIBRATE MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","PHARMASCIENCE INC","FENOFIBRATE","0118895","0118895001"
"1445","77156","02286092","FENOFIBRATE MICRO","FENOFIBRATE 200 MG","CAPSULE","ORAL","SANIS HEALTH INC","FENOFIBRATE","0118895","0118895001"
"1446","75447","02269074","LIPIDIL EZ","FENOFIBRATE 48 MG","TABLET","ORAL","BGP PHARMA ULC","FENOFIBRATE","0118895","0118895005"
"1447","87610","02390698","SANDOZ FENOFIBRATE E","FENOFIBRATE 48 MG","TABLET","ORAL","SANDOZ CANADA INCORPORATED","FENOFIBRATE","0118895","0118895005"
"1448","67060","02243180","APO-FENO-MICRO CAPSULES","FENOFIBRATE 67 MG","CAPSULE","ORAL","APOTEX INC","FENOFIBRATE","0118895","0118895003"
"1449","76151","02275856","DURAGESIC","FENTANYL 100 MCG","PATCH","TRANSDERMAL","JANSSEN INC","FENTANYL","0123302","0123302012"
"1450","76860","02282984","TEVA-FENTANYL","FENTANYL 100 MCG","PATCH","TRANSDERMAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302012"
"1451","80021","02314665","APO-FENTANYL MATRIX","FENTANYL 100 MCG","PATCH","TRANSDERMAL","APOTEX INC","FENTANYL","0123302","0123302012"
"1452","81248","02327163","SANDOZ FENTANYL PATCH","FENTANYL 100 MCG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","FENTANYL","0123302","0123302012"
"1453","81590","02330156","RAN-FENTANYL MATRIX PATCH","FENTANYL 100 MCG","PATCH","TRANSDERMAL","RANBAXY PHARMACEUTICALS CANADA INC.","FENTANYL","0123302","0123302012"
"1454","82693","02341417","PMS-FENTANYL MTX","FENTANYL 100 MCG","PATCH","TRANSDERMAL","PHARMASCIENCE INC","FENTANYL","0123302","0123302012"
"1455","87247","02386895","CO FENTANYL","FENTANYL 100 MCG","PATCH","TRANSDERMAL","COBALT PHARMACEUTICALS COMPANY","FENTANYL","0123302","0123302012"
"1456","88077","02395703","FENTANYL PATCH","FENTANYL 100 MCG","PATCH","TRANSDERMAL","PRO DOC LIMITEE","FENTANYL","0123302","0123302012"
"1457","88176","02396742","MYLAN-FENTANYL MATRIX PATCH","FENTANYL 100 MCG","PATCH","TRANSDERMAL","MYLAN PHARMACEUTICALS ULC","FENTANYL","0123302","0123302012"
"1458","84910","02364174","ABSTRAL","FENTANYL 100 MCG","TABLET","SUBLINGUAL","PALADIN LABS INC","FENTANYL","0123302","0123302012"
"1459","89270","02408007","FENTORA","FENTANYL 100 MCG","TABLET (EFFERVESCENT)","BUCCAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302012"
"1460","89270","02408007","FENTORA","FENTANYL 100 MCG","TABLET (EFFERVESCENT)","SUBLINGUAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302012"
"1461","84911","02364182","ABSTRAL","FENTANYL 200 MCG","TABLET","SUBLINGUAL","PALADIN LABS INC","FENTANYL","0123302","0123302017"
"1462","89271","02408015","FENTORA","FENTANYL 200 MCG","TABLET (EFFERVESCENT)","BUCCAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302017"
"1463","89271","02408015","FENTORA","FENTANYL 200 MCG","TABLET (EFFERVESCENT)","SUBLINGUAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302017"
"1464","76148","02275813","DURAGESIC","FENTANYL 25 MCG","PATCH","TRANSDERMAL","JANSSEN INC","FENTANYL","0123302","0123302014"
"1465","76857","02282941","TEVA-FENTANYL","FENTANYL 25 MCG","PATCH","TRANSDERMAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302014"
"1466","80018","02314630","APO-FENTANYL MATRIX","FENTANYL 25 MCG","PATCH","TRANSDERMAL","APOTEX INC","FENTANYL","0123302","0123302014"
"1467","81244","02327120","SANDOZ FENTANYL PATCH","FENTANYL 25 MCG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","FENTANYL","0123302","0123302014"
"1468","81587","02330113","RAN-FENTANYL MATRIX PATCH","FENTANYL 25 MCG","PATCH","TRANSDERMAL","RANBAXY PHARMACEUTICALS CANADA INC.","FENTANYL","0123302","0123302014"
"1469","82690","02341387","PMS-FENTANYL MTX","FENTANYL 25 MCG","PATCH","TRANSDERMAL","PHARMASCIENCE INC","FENTANYL","0123302","0123302014"
"1470","87243","02386852","CO FENTANYL","FENTANYL 25 MCG","PATCH","TRANSDERMAL","COBALT PHARMACEUTICALS COMPANY","FENTANYL","0123302","0123302014"
"1471","88074","02395665","FENTANYL PATCH","FENTANYL 25 MCG","PATCH","TRANSDERMAL","PRO DOC LIMITEE","FENTANYL","0123302","0123302014"
"1472","88173","02396718","MYLAN-FENTANYL MATRIX PATCH","FENTANYL 25 MCG","PATCH","TRANSDERMAL","MYLAN PHARMACEUTICALS ULC","FENTANYL","0123302","0123302014"
"1473","84912","02364190","ABSTRAL","FENTANYL 300 MCG","TABLET","SUBLINGUAL","PALADIN LABS INC","FENTANYL","0123302","0123302022"
"1474","81245","02327139","SANDOZ FENTANYL PATCH","FENTANYL 37 MCG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","FENTANYL","0123302","0123302016"
"1475","84913","02364204","ABSTRAL","FENTANYL 400 MCG","TABLET","SUBLINGUAL","PALADIN LABS INC","FENTANYL","0123302","0123302018"
"1476","89272","02408023","FENTORA","FENTANYL 400 MCG","TABLET (EFFERVESCENT)","BUCCAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302018"
"1477","89272","02408023","FENTORA","FENTANYL 400 MCG","TABLET (EFFERVESCENT)","SUBLINGUAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302018"
"1478","76149","02275821","DURAGESIC","FENTANYL 50 MCG","PATCH","TRANSDERMAL","JANSSEN INC","FENTANYL","0123302","0123302011"
"1479","76858","02282968","TEVA-FENTANYL","FENTANYL 50 MCG","PATCH","TRANSDERMAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302011"
"1480","80019","02314649","APO-FENTANYL MATRIX","FENTANYL 50 MCG","PATCH","TRANSDERMAL","APOTEX INC","FENTANYL","0123302","0123302011"
"1481","81246","02327147","SANDOZ FENTANYL PATCH","FENTANYL 50 MCG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","FENTANYL","0123302","0123302011"
"1482","81588","02330121","RAN-FENTANYL MATRIX PATCH","FENTANYL 50 MCG","PATCH","TRANSDERMAL","RANBAXY PHARMACEUTICALS CANADA INC.","FENTANYL","0123302","0123302011"
"1483","82691","02341395","PMS-FENTANYL MTX","FENTANYL 50 MCG","PATCH","TRANSDERMAL","PHARMASCIENCE INC","FENTANYL","0123302","0123302011"
"1484","87245","02386879","CO FENTANYL","FENTANYL 50 MCG","PATCH","TRANSDERMAL","COBALT PHARMACEUTICALS COMPANY","FENTANYL","0123302","0123302011"
"1485","88075","02395673","FENTANYL PATCH","FENTANYL 50 MCG","PATCH","TRANSDERMAL","PRO DOC LIMITEE","FENTANYL","0123302","0123302011"
"1486","88174","02396726","MYLAN-FENTANYL MATRIX PATCH","FENTANYL 50 MCG","PATCH","TRANSDERMAL","MYLAN PHARMACEUTICALS ULC","FENTANYL","0123302","0123302011"
"1487","84914","02364212","ABSTRAL","FENTANYL 600 MCG","TABLET","SUBLINGUAL","PALADIN LABS INC","FENTANYL","0123302","0123302019"
"1488","89273","02408031","FENTORA","FENTANYL 600 MCG","TABLET (EFFERVESCENT)","BUCCAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302019"
"1489","89273","02408031","FENTORA","FENTANYL 600 MCG","TABLET (EFFERVESCENT)","SUBLINGUAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302019"
"1490","76150","02275848","DURAGESIC","FENTANYL 75 MCG","PATCH","TRANSDERMAL","JANSSEN INC","FENTANYL","0123302","0123302013"
"1491","76859","02282976","TEVA-FENTANYL","FENTANYL 75 MCG","PATCH","TRANSDERMAL","TEVA CANADA LIMITED","FENTANYL","0123302","0123302013"
"1492","80020","02314657","APO-FENTANYL MATRIX","FENTANYL 75 MCG","PATCH","TRANSDERMAL","APOTEX INC","FENTANYL","0123302","0123302013"
"1493","81247","02327155","SANDOZ FENTANYL PATCH","FENTANYL 75 MCG","PATCH","TRANSDERMAL","SANDOZ CANADA INCORPORATED","FENTANYL","0123302","0123302013"
"1494","81589","02330148","RAN-FENTANYL MATRIX PATCH","FENTANYL 75 MCG","PATCH","TRANSDERMAL","RANBAXY PHARMACEUTICALS CANADA INC.","FENTANYL","0123302","0123302013"
"1495","82692","02341409","PMS-FENTANYL MTX","FENTANYL 75 MCG","PATCH","TRANSDERMAL","PHARMASCIENCE INC","FENTANYL","0123302","0123302013"
"1496","87246","02386887","CO FENTANYL","FENTANYL 75 MCG","PATCH","TRANSDERMAL","COBALT PHARMACEUTICALS COMPANY","FENTANYL","0123302","0123302013"
