"","ai_set_str","PHARMACEUTICAL_FORM","ROUTE_OF_ADMINISTRATION","num_ais","num_dins","ai_group","num_ai_groups","num_strengths","AI_GROUP_NO"
"1010","CLINDAMYCIN 150 MG","SOLUTION","INTRAVENOUS","1",2,"0105830",1,1,"0105830002"
"1011","GABAPENTIN 400 MG","CAPSULE","ORAL","1",18,"0125929",1,1,"0125929002"
"1012","GOSERELIN 3.6 MG","IMPLANT","SUBCUTANEOUS","1",1,"0128706",1,1,"0128706001"
"1013","PILOCARPINE HYDROCHLORIDE 2 %","LIQUID","OPHTHALMIC","1",1,"0107358",1,1,"0107358003"
"1014","MAGNESIUM CHLORIDE 30 MG|POTASSIUM CHLORIDE 37 MG|SODIUM ACETATE 368 MG|SODIUM CHLORIDE 526 MG|SODIUM GLUCONATE 502 MG","SOLUTION","INTRAVENOUS","5",2,"0500064",1,1,"0500064002"
"1015","CHROMIUM 10 MCG|COPPER 1 MG|MANGANESE .5 MG|ZINC 5 MG","LIQUID","INTRAVENOUS","4",1,"0414689",1,1,"0414689002"
"1016","CHROMIUM 10 MCG|COPPER 1 MG|MANGANESE 0.5 MG|SELENIUM 60 MCG|ZINC 5 MG","LIQUID","INTRAVENOUS","5",1,"0531376",1,1,"0531376002"
"1017","CHROMIUM 4 MCG|COPPER 0.4 MG|IODINE 60 MCG|MANGANESE 0.1 MG|SELENIUM 20 MCG|ZINC 3 MG","LIQUID","INTRAVENOUS","6",1,"0631329",1,1,"0631329004"
"1018","CHROMIUM 10 MCG|COPPER 1 MG|IODINE 75 MCG|MANGANESE 0.5 MG|SELENIUM 60 MCG|ZINC 5 MG","LIQUID","INTRAVENOUS","6",1,"0631329",1,1,"0631329005"
"1019","DEXTROSE 5 G|MAGNESIUM CHLORIDE 30 MG|POTASSIUM CHLORIDE 37 MG|SODIUM ACETATE 368 MG|SODIUM CHLORIDE 526 MG|SODIUM GLUCONATE 502 MG","SOLUTION","INTRAVENOUS","6",1,"0600060",1,1,"0600060003"
"1020","CYCLOPENTOLATE HYDROCHLORIDE 1 %","SOLUTION","OPHTHALMIC","1",2,"0108675",1,1,"0108675001"
"1021","GENTAMICIN .3 %","LIQUID","OPHTHALMIC","1",1,"0105695",1,1,"0105695002"
"1022","TROPICAMIDE 1 %","SOLUTION","OPHTHALMIC","1",2,"0107663",1,1,"0107663001"
"1023","DEXAMETHASONE SODIUM PHOSPHATE 0.1 %","SOLUTION","OPHTHALMIC","1",2,"0131220",1,1,"0131220004"
"1024","DEXAMETHASONE SODIUM PHOSPHATE 0.1 %","SOLUTION","OTIC","1",2,"0131220",1,1,"0131220004"
"1025","BUDESONIDE 2.3 MG|SODIUM CHLORIDE 115 ML","ENEMA","RECTAL","2",1,"0224817",1,1,"0224817001"
"1026","BUDESONIDE 2.3 MG|SODIUM CHLORIDE 115 ML","KIT","RECTAL","2",1,"0224817",1,1,"0224817001"
"1027","BUDESONIDE 2.3 MG|SODIUM CHLORIDE 115 ML","TABLET","RECTAL","2",1,"0224817",1,1,"0224817001"
"1028","GONADORELIN ACETATE 3.2 MG","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0121867",1,1,"0121867001"
"1029","GONADORELIN ACETATE 3.2 MG","POWDER FOR SOLUTION","SUBCUTANEOUS","1",1,"0121867",1,1,"0121867001"
"1030","GONADORELIN ACETATE 0.8 MG","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0121867",1,1,"0121867002"
"1031","GONADORELIN ACETATE 0.8 MG","POWDER FOR SOLUTION","SUBCUTANEOUS","1",1,"0121867",1,1,"0121867002"
"1032","METHYLPREDNISOLONE ACETATE 80 MG","SUSPENSION","INTRA-ARTICULAR","1",4,"0106292",1,1,"0106292004"
"1033","METHYLPREDNISOLONE ACETATE 80 MG","SUSPENSION","INTRALESIONAL","1",2,"0106292",1,1,"0106292004"
"1034","METHYLPREDNISOLONE ACETATE 80 MG","SUSPENSION","INTRAMUSCULAR","1",4,"0106292",1,1,"0106292004"
"1035","METHYLPREDNISOLONE ACETATE 80 MG","SUSPENSION","INTRASYNOVIAL","1",4,"0106292",1,1,"0106292004"
"1036","ERYTHROMYCIN 250 MG","SUSPENSION","ORAL","1",1,"0105708",1,1,"0105708006"
"1037","DIMENHYDRINATE 15 MG","TABLET (CHEWABLE)","ORAL","1",2,"0102747",1,1,"0102747005"
"1038","ACETAMINOPHEN 500 MG|DEXTROMETHORPHAN HYDROBROMIDE 15 MG","TABLET","ORAL","2",1,"0212074",1,1,"0212074002"
"1039","MINERAL OIL LIGHT 63.4 %","LIQUID","TOPICAL","1",1,"0126693",1,1,"0126693003"
"1040","SALBUTAMOL 5 MG","SOLUTION","ORAL","1",2,"0108887",1,1,"0108887006"
"1041","BIOTIN 12 MCG|DEXPANTHENOL 3 MG|FOLIC ACID 80 MCG|NICOTINAMIDE 8 MG|PYRIDOXINE HYDROCHLORIDE 0.8 MG|VITAMIN A 660 UNIT|VITAMIN B1 0.6 MG|VITAMIN B12 1 MCG|VITAMIN B2 0.72 MG|VITAMIN C 20 MG|VITAMIN D 40 UNIT|VITAMIN E 2 UNIT","LIQUID","INTRAVENOUS","12",1,"1223086",1,1,"1223086001"
"1042","SIMVASTATIN 20 MG","TABLET","ORAL","1",21,"0122415",1,1,"0122415003"
"1043","CODEINE PHOSPHATE 30 MG","TABLET","ORAL","1",3,"0104398",1,1,"0104398004"
"1044","CODEINE PHOSPHATE 15 MG","TABLET","ORAL","1",3,"0104398",1,1,"0104398002"
"1045","ATROPINE SULFATE 1 %","SOLUTION","OPHTHALMIC","1",1,"0104748",1,1,"0104748001"
"1046","PHENYLEPHRINE HYDROCHLORIDE 2.5 %","LIQUID","OPHTHALMIC","1",2,"0100662",1,1,"0100662002"
"1047","MORPHINE SULFATE 20 MG","TABLET","ORAL","1",1,"0104545",1,1,"0104545002"
"1048","MORPHINE SULFATE 30 MG","TABLET","ORAL","1",1,"0104545",1,1,"0104545011"
"1049","THEOPHYLLINE 600 MG","TABLET (EXTENDED-RELEASE)","ORAL","1",2,"0103582",1,1,"0103582010"
"1050","AMYLASE 40000 UNIT|LIPASE 10000 UNIT|PROTEASE 35000 UNIT","CAPSULE (IMMEDIATE RELEASE)","ORAL","3",1,"0302964",1,1,"0302964032"
"1051","CHLORHEXIDINE GLUCONATE 0.5 %|ISOPROPYL ALCOHOL 70 %","WIPE","TOPICAL (HOSPITAL/HC FACILITIES)","2",1,"0213979",1,1,"0213979002"
"1052","CHLORHEXIDINE GLUCONATE 20 %","SOLUTION","TOPICAL","1",1,"0107629",1,1,"0107629002"
"1053","ETOPOSIDE 20 MG","LIQUID","INTRAVENOUS","1",3,"0114567",1,1,"0114567002"
"1054","ARTICAINE HYDROCHLORIDE 40 MG|EPINEPHRINE 5 MCG","SOLUTION","BLOCK/INFILTRATION","2",1,"0226661",1,1,"0226661002"
"1055","ARTICAINE HYDROCHLORIDE 40 MG|EPINEPHRINE 0.01 MG","SOLUTION","BLOCK/INFILTRATION","2",3,"0226661",1,1,"0226661001"
"1056","ORPHENADRINE CITRATE 100 MG","TABLET","ORAL","1",1,"0102078",1,1,"0102078001"
"1057","FLUPHENAZINE DECANOATE 25 MG","LIQUID","INTRAMUSCULAR","1",2,"0110769",1,1,"0110769001"
"1058","FLUPHENAZINE DECANOATE 25 MG","LIQUID","SUBCUTANEOUS","1",2,"0110769",1,1,"0110769001"
"1059","CHARCOAL ACTIVATED 222 MG","SUSPENSION","ORAL","1",1,"0106680",1,1,"0106680029"
"1060","PROPRANOLOL HYDROCHLORIDE 160 MG","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0101831",1,1,"0101831006"
"1061","DAPSONE 100 MG","TABLET","ORAL","1",1,"0106115",1,1,"0106115001"
"1062","LORAZEPAM 2 MG","TABLET","SUBLINGUAL","1",2,"0110731",1,1,"0110731002"
"1063","LORAZEPAM 2 MG","TABLET","ORAL","1",8,"0110731",1,1,"0110731002"
"1064","LORAZEPAM 1 MG","TABLET","ORAL","1",8,"0110731",1,1,"0110731001"
"1065","LORAZEPAM 0.5 MG","TABLET","ORAL","1",7,"0110731",1,1,"0110731003"
"1066","MICONAZOLE NITRATE 2 %","CREAM","VAGINAL","1",4,"0110272",1,1,"0110272001"
"1067","MICONAZOLE NITRATE 2 %","CREAM","TOPICAL","1",2,"0110272",1,1,"0110272001"
"1068","MICONAZOLE NITRATE 2 %|MICONAZOLE NITRATE 400 MG","OVULE","TOPICAL","2",1,"0217970",1,1,"0217970001"
"1069","MICONAZOLE NITRATE 2 %|MICONAZOLE NITRATE 400 MG","OVULE","VAGINAL","2",1,"0217970",1,1,"0217970001"
"1070","MICONAZOLE NITRATE 2 %|MICONAZOLE NITRATE 400 MG","CREAM","TOPICAL","2",1,"0217970",1,1,"0217970001"
"1071","MICONAZOLE NITRATE 2 %|MICONAZOLE NITRATE 400 MG","CREAM","VAGINAL","2",1,"0217970",1,1,"0217970001"
"1072","MICONAZOLE NITRATE 100 MG|MICONAZOLE NITRATE 2 %","SUPPOSITORY","TOPICAL","2",1,"0217970",1,1,"0217970002"
"1073","MICONAZOLE NITRATE 100 MG|MICONAZOLE NITRATE 2 %","SUPPOSITORY","VAGINAL","2",1,"0217970",1,1,"0217970002"
"1074","MICONAZOLE NITRATE 100 MG|MICONAZOLE NITRATE 2 %","CREAM","TOPICAL","2",1,"0217970",1,1,"0217970002"
"1075","MICONAZOLE NITRATE 100 MG|MICONAZOLE NITRATE 2 %","CREAM","VAGINAL","2",1,"0217970",1,1,"0217970002"
"1076","MICONAZOLE NITRATE 400 MG","OVULE","VAGINAL","1",1,"0110272",1,1,"0110272002"
"1077","SULFACETAMIDE SODIUM 10 %","LIQUID","OPHTHALMIC","1",1,"0106092",1,1,"0106092001"
"1078","DEXAMETHASONE 1 MG|NEOMYCIN 3.5 MG|POLYMYXIN B SULFATE 10000 UNIT","SUSPENSION","OPHTHALMIC","3",1,"0305643",1,1,"0305643003"
"1079","PREDNISOLONE ACETATE 0.5 %|SULFACETAMIDE SODIUM 10 %","SUSPENSION","OPHTHALMIC","2",1,"0206094",1,1,"0206094002"
"1080","FLUORESCEIN SODIUM 25 %","SOLUTION","INTRAVENOUS","1",1,"0107752",1,1,"0107752001"
"1081","FLUORESCEIN SODIUM 10 %","SOLUTION","INTRAVENOUS","1",2,"0107752",1,1,"0107752002"
"1082","CHLORAMPHENICOL 1 %","OINTMENT","OPHTHALMIC","1",1,"0151341",1,1,"0151341005"
"1083","CHLORAMPHENICOL 1 %","OINTMENT","TOPICAL","1",1,"0151341",1,1,"0151341005"
"1084","PROXYMETACAINE HYDROCHLORIDE 0.5 %","LIQUID","OPHTHALMIC","1",1,"0108759",1,1,"0108759001"
"1085","PROXYMETACAINE HYDROCHLORIDE 0.5 %","LIQUID","TOPICAL","1",1,"0108759",1,1,"0108759001"
"1086","CHLORAMPHENICOL .5 %","LIQUID","OPHTHALMIC","1",1,"0151341",1,1,"0151341006"
"1087","PILOCARPINE HYDROCHLORIDE 4 %","LIQUID","OPHTHALMIC","1",1,"0107358",1,1,"0107358002"
"1088","PHENYLEPHRINE HYDROCHLORIDE 5 %|TROPICAMIDE 0.8 %","SOLUTION","OPHTHALMIC","2",1,"0216731",1,1,"0216731001"
"1089","TROPICAMIDE .5 %","LIQUID","OPHTHALMIC","1",2,"0107663",1,1,"0107663002"
"1090","HYDROCODONE BITARTRATE 5 MG|PHENYLEPHRINE HYDROCHLORIDE 20 MG","SYRUP","ORAL","2",1,"0216953",1,1,"0216953002"
"1091","HYDROCHLOROTHIAZIDE 12.5 MG|LISINOPRIL 10 MG","TABLET","ORAL","2",7,"0222417",1,1,"0222417003"
"1092","HYDROCODONE BITARTRATE 1.7 MG|PHENYLEPHRINE HYDROCHLORIDE 10 MG","SYRUP","ORAL","2",1,"0216953",1,1,"0216953001"
"1093","DEXAMETHASONE 1 MG|NEOMYCIN SULFATE 3.5 MG|POLYMYXIN B SULFATE 10000 UNIT","OINTMENT","OPHTHALMIC","3",1,"0331346",1,1,"0331346002"
"1094","DEXAMETHASONE 1 MG|NEOMYCIN SULFATE 3.5 MG|POLYMYXIN B SULFATE 10000 UNIT","OINTMENT","TOPICAL","3",1,"0331346",1,1,"0331346002"
"1095","PREDNISOLONE ACETATE 5 MG|SULFACETAMIDE SODIUM 100 MG","OINTMENT","OPHTHALMIC","2",1,"0206094",1,1,"0206094002"
"1096","PREDNISOLONE ACETATE 5 MG|SULFACETAMIDE SODIUM 100 MG","OINTMENT","TOPICAL","2",1,"0206094",1,1,"0206094002"
"1097","BACITRACIN ZINC 400 UNIT|NEOMYCIN 3.5 MG|POLYMYXIN B SULFATE 10000 UNIT","OINTMENT","OPHTHALMIC","3",1,"0331380",1,1,"0331380001"
"1098","BACITRACIN ZINC 400 UNIT|NEOMYCIN 3.5 MG|POLYMYXIN B SULFATE 10000 UNIT","OINTMENT","TOPICAL","3",1,"0331380",1,1,"0331380001"
"1099","CYCLOPENTOLATE HYDROCHLORIDE .5 %","SOLUTION","OPHTHALMIC","1",1,"0108675",1,1,"0108675002"
"1100","HYDROXYETHYLCELLULOSE .5 %|PHENYLEPHRINE HYDROCHLORIDE .12 %","LIQUID","OPHTHALMIC","2",1,"0216684",1,1,"0216684001"
"1101","NAPHAZOLINE HYDROCHLORIDE 0.025 %|PHENIRAMINE MALEATE 0.3 %","SOLUTION","OPHTHALMIC","2",1,"0213722",1,1,"0213722002"
"1102","POLYSORBATE 80 0.8 %","SOLUTION","OPHTHALMIC","1",1,"0122237",1,1,"0122237004"
"1103","POLYSORBATE 80 0.8 %","SOLUTION","TOPICAL","1",1,"0122237",1,1,"0122237004"
"1104","POLYVINYL ALCOHOL 1.4 %","SOLUTION","OPHTHALMIC","1",3,"0107589",1,1,"0107589001"
"1105","COAL TAR 5.0 %|SALICYLIC ACID 2.0 %|TRICLOSAN 0.3 %","SHAMPOO","TOPICAL","3",1,"0308918",1,1,"0308918001"
"1106","COLLAGENASE 250 UNIT","OINTMENT","TOPICAL","1",1,"0112254",1,1,"0112254001"
"1107","TRICLOSAN .5 %","LIQUID","TOPICAL","1",1,"0108865",1,1,"0108865001"
"1108","BENZOCAINE 14 %|BUTAMBEN 2 %|TETRACAINE HYDROCHLORIDE 2 %","AEROSOL","TOPICAL","3",1,"0324409",1,1,"0324409001"
"1109","PAROMOMYCIN 250 MG","CAPSULE","ORAL","1",1,"0125807",1,1,"0125807001"
"1110","CALCIUM CHLORIDE 20 MG|DEXTROSE 5 G|POTASSIUM CHLORIDE 30 MG|SODIUM CHLORIDE 600 MG|SODIUM LACTATE 310 MG","SOLUTION","INTRAVENOUS","5",1,"0500106",1,1,"0500106006"
"1111","LIDOCAINE 2.5 %|PRILOCAINE 2.5 %","PATCH","TOPICAL","2",1,"0222447",1,1,"0222447001"
"1112","HEXACHLOROPHENE 3 %","EMULSION","TOPICAL","1",1,"0103000",1,1,"0103000002"
"1113","CONJUGATED ESTROGENS 25 MG","POWDER FOR SOLUTION","INTRAMUSCULAR","1",1,"0106442",1,1,"0106442008"
"1114","CONJUGATED ESTROGENS 25 MG","POWDER FOR SOLUTION","INTRAVENOUS","1",1,"0106442",1,1,"0106442008"
"1115","ACETAMINOPHEN 500 MG|CHLORPHENIRAMINE MALEATE 2 MG|PHENYLEPHRINE HYDROCHLORIDE 5 MG","TABLET","ORAL","3",6,"0316099",1,1,"0316099001"
"1116","VERAPAMIL HYDROCHLORIDE 240 MG","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0113846",1,1,"0113846003"
"1117","VERAPAMIL HYDROCHLORIDE 180 MG","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0113846",1,1,"0113846004"
"1118","VERAPAMIL HYDROCHLORIDE 120 MG","CAPSULE (SUSTAINED-RELEASE)","ORAL","1",1,"0113846",1,1,"0113846001"
"1119","MINERAL OIL 20 %|PETROLATUM 80 %","OINTMENT","OPHTHALMIC","2",1,"0236766",1,1,"0236766004"
"1120","CITRIC ACID 93 MG|DEXTROSE 5 G|HEPARIN SODIUM 5000 UNIT|SODIUM PHOSPHATE DIBASIC 410 MG","SOLUTION","INTRAVENOUS","4",1,"0423088",1,1,"0423088001"
"1121","ISOSORBIDE-5-MONONITRATE 60 MG","TABLET (EXTENDED-RELEASE)","ORAL","1",5,"0120456",1,1,"0120456002"
"1122","LIDOCAINE HYDROCHLORIDE 2 %","LIQUID","BUCCAL","1",1,"0101280",1,1,"0101280001"
"1123","SODIUM CHLORIDE 0.9 %","SOLUTION","INHALATION","1",1,"0100053",1,1,"0100053002"
"1124","NITROGLYCERIN 5 MG","SOLUTION","INTRAVENOUS","1",1,"0103615",1,1,"0103615007"
"1125","ARTICAINE HYDROCHLORIDE 40.0 MG|EPINEPHRINE 0.01 MG","SOLUTION","BLOCK/INFILTRATION","2",2,"0226661",1,1,"0226661001"
"1126","ARTICAINE HYDROCHLORIDE 40 MG|EPINEPHRINE 0.005 MG","LIQUID","BLOCK/INFILTRATION","2",1,"0226661",1,1,"0226661002"
"1127","METRONIDAZOLE 0.75 %","GEL","VAGINAL","1",1,"0102572",1,1,"0102572005"
"1128","MESALAZINE 500 MG","TABLET (EXTENDED-RELEASE)","ORAL","1",1,"0116808",1,1,"0116808002"
"1129","GENTAMICIN .3 %","OINTMENT","OPHTHALMIC","1",1,"0105695",1,1,"0105695002"
"1130","GONADORELIN 500 MCG|SODIUM CHLORIDE .9 %","LIQUID","INTRAVENOUS","2",1,"0231304",1,1,"0231304001"
"1131","GONADORELIN 500 MCG|SODIUM CHLORIDE .9 %","LIQUID","SUBCUTANEOUS","2",1,"0231304",1,1,"0231304001"
"1132","GONADORELIN 500 MCG|SODIUM CHLORIDE .9 %","POWDER FOR SOLUTION","INTRAVENOUS","2",1,"0231304",1,1,"0231304001"
"1133","GONADORELIN 500 MCG|SODIUM CHLORIDE .9 %","POWDER FOR SOLUTION","SUBCUTANEOUS","2",1,"0231304",1,1,"0231304001"
"1134","PERINDOPRIL ERBUMINE 4 MG","TABLET","ORAL","1",1,"0127178",1,1,"0127178002"
"1135","PERINDOPRIL ERBUMINE 2 MG","TABLET","ORAL","1",1,"0127178",1,1,"0127178001"
"1136","FRAMYCETIN SULFATE 1 %","DRESSING","TOPICAL","1",2,"0105698",1,1,"0105698002"
"1137","HALOPERIDOL 50 MG","LIQUID","INTRAMUSCULAR","1",3,"0101774",1,1,"0101774007"
"1138","HALOPERIDOL 100 MG","LIQUID","INTRAMUSCULAR","1",3,"0101774",1,1,"0101774008"
"1139","HYDROCHLOROTHIAZIDE 12.5 MG|LISINOPRIL 20 MG","TABLET","ORAL","2",7,"0222417",1,1,"0222417001"
"1140","LITHIUM 8 MMOL","SYRUP","ORAL","1",1,"0118624",1,1,"0118624001"
"1141","IPRATROPIUM BROMIDE 250 MCG","SOLUTION","INHALATION","1",5,"0115643",1,1,"0115643001"
"1142","PHENAZOPYRIDINE HYDROCHLORIDE 100 MG","TABLET","ORAL","1",2,"0106949",1,1,"0106949001"
"1143","AMOXICILLIN 50 MG","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314003"
"1144","AMOXICILLIN 25 MG","GRANULES FOR SUSPENSION","ORAL","1",1,"0131314",1,1,"0131314002"
"1145","NADOLOL 80 MG","TABLET","ORAL","1",2,"0113396",1,1,"0113396001"
"1146","NADOLOL 40 MG","TABLET","ORAL","1",2,"0113396",1,1,"0113396003"
"1147","BEZAFIBRATE 400 MG","TABLET (EXTENDED-RELEASE)","ORAL","1",2,"0122820",1,1,"0122820001"
"1148","FLUORESCEIN SODIUM 1 MG","STRIP","OPHTHALMIC","1",3,"0107752",1,1,"0107752003"
"1149","GENTAMICIN SULFATE 5 MG","OINTMENT","OPHTHALMIC","1",1,"0131227",1,1,"0131227005"
"1150","ACETAMINOPHEN 160 MG","SOLUTION","ORAL","1",4,"0102009",1,1,"0102009005"
"1151","DIMENHYDRINATE 50 MG","SOLUTION","INTRAMUSCULAR","1",5,"0102747",1,1,"0102747004"
"1152","DIMENHYDRINATE 50 MG","SOLUTION","INTRAVENOUS","1",4,"0102747",1,1,"0102747004"
"1153","EPINEPHRINE 1 MG","SOLUTION","INTRAMUSCULAR","1",6,"0104871",1,1,"0104871002"
"1154","EPINEPHRINE 1 MG","SOLUTION","INTRAVENOUS","1",5,"0104871",1,1,"0104871002"
"1155","EPINEPHRINE 1 MG","SOLUTION","SUBCUTANEOUS","1",5,"0104871",1,1,"0104871002"
"1156","METHYLENE BLUE 10 MG","SOLUTION","INTRAVENOUS","1",3,"0106816",1,1,"0106816001"
"1157","LIDOCAINE HYDROCHLORIDE 20 MG","LIQUID","BLOCK/INFILTRATION","1",3,"0101280",1,1,"0101280001"
"1158","CHLORHEXIDINE GLUCONATE 0.05 %","SOLUTION","TOPICAL","1",2,"0107629",1,1,"0107629005"
"1159","DILTIAZEM HYDROCHLORIDE 300 MG","CAPSULE (EXTENDED RELEASE)","ORAL","1",11,"0115863",1,1,"0115863008"
"1160","RIFAMPIN 150 MG","CAPSULE","ORAL","1",2,"0105824",1,1,"0105824002"
"1161","ACETAMINOPHEN 500 MG|CHLORPHENIRAMINE MALEATE 2 MG|PSEUDOEPHEDRINE HYDROCHLORIDE 30 MG","TABLET","ORAL","3",5,"0312435",1,1,"0312435001"
"1162","TIAPROFENIC ACID 200 MG","TABLET","ORAL","1",3,"0115902",1,1,"0115902001"
"1163","TIAPROFENIC ACID 300 MG","TABLET","ORAL","1",4,"0115902",1,1,"0115902002"
"1164","DILTIAZEM HYDROCHLORIDE 120 MG","CAPSULE (EXTENDED RELEASE)","ORAL","1",11,"0115863",1,1,"0115863004"
"1165","LAMOTRIGINE 150 MG","TABLET","ORAL","1",10,"0127134",1,1,"0127134006"
"1166","ATROPINE SULFATE 0.4 MG","SOLUTION","INTRAMUSCULAR","1",3,"0104748",1,1,"0104748006"
"1167","ATROPINE SULFATE 0.4 MG","SOLUTION","INTRAVENOUS","1",3,"0104748",1,1,"0104748006"
"1168","ATROPINE SULFATE 0.4 MG","SOLUTION","SUBCUTANEOUS","1",3,"0104748",1,1,"0104748006"
"1169","ATROPINE SULFATE 0.6 MG","SOLUTION","INTRAMUSCULAR","1",2,"0104748",1,1,"0104748005"
"1170","ATROPINE SULFATE 0.6 MG","SOLUTION","INTRAVENOUS","1",2,"0104748",1,1,"0104748005"
"1171","ATROPINE SULFATE 0.6 MG","SOLUTION","SUBCUTANEOUS","1",2,"0104748",1,1,"0104748005"
"1172","LAMOTRIGINE 100 MG","TABLET","ORAL","1",10,"0127134",1,1,"0127134001"
"1173","LAMOTRIGINE 25 MG","TABLET","ORAL","1",10,"0127134",1,1,"0127134003"
"1174","CALCIUM POLYSTYRENE SULFONATE 999 MG","POWDER FOR SOLUTION","ORAL","1",1,"0113563",1,1,"0113563001"
"1175","CALCIUM POLYSTYRENE SULFONATE 999 MG","POWDER FOR SOLUTION","RECTAL","1",1,"0113563",1,1,"0113563001"
"1176","TIMOLOL MALEATE 0.25 %","LIQUID","OPHTHALMIC","1",1,"0110849",1,1,"0110849005"
"1177","TIMOLOL MALEATE 0.5 %","LIQUID","OPHTHALMIC","1",1,"0110849",1,1,"0110849004"
"1178","HEPARIN SODIUM 2 UNIT|SODIUM CHLORIDE 9 MG","SOLUTION","INTRAVENOUS","2",1,"0200243",1,1,"0200243001"
"1179","HYDROCHLOROTHIAZIDE 25 MG","TABLET","ORAL","1",8,"0101048",1,1,"0101048002"
"1180","VERAPAMIL HYDROCHLORIDE 2.5 MG","SOLUTION","INTRAVENOUS","1",1,"0113846",1,1,"0113846005"
"1181","LIDOCAINE 5 %","OINTMENT","TOPICAL","1",3,"0103565",1,1,"0103565001"
"1182","CLARITHROMYCIN 500 MG","TABLET","ORAL","1",11,"0123752",1,1,"0123752002"
"1183","DILTIAZEM HYDROCHLORIDE 240 MG","CAPSULE (EXTENDED RELEASE)","ORAL","1",11,"0115863",1,1,"0115863006"
"1184","DILTIAZEM HYDROCHLORIDE 180 MG","CAPSULE (EXTENDED RELEASE)","ORAL","1",11,"0115863",1,1,"0115863007"
"1185","BACLOFEN 2 MG","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246003"
"1186","BACLOFEN 0.05 MG","SOLUTION","INTRATHECAL","1",2,"0113246",1,1,"0113246004"
"1187","TROMETAMOL 36 MG","SOLUTION","INTRAVENOUS","1",1,"0103577",1,1,"0103577001"
"1188","SODIUM CHLORIDE 50 MG","SOLUTION","INTRAVENOUS","1",1,"0100053",1,1,"0100053004"
"1189","DEXTROSE 50 MG|MAGNESIUM CHLORIDE 0.14 MG|POTASSIUM CHLORIDE 0.37 MG|SODIUM ACETATE 2.22 MG|SODIUM CHLORIDE 5.26 MG|SODIUM GLUCONATE 5.02 MG","SOLUTION","INTRAVENOUS","6",1,"0600060",1,1,"0600060001"
"1190","MAGNESIUM CHLORIDE 0.14 MG|POTASSIUM CHLORIDE 0.37 MG|SODIUM ACETATE 2.22 MG|SODIUM CHLORIDE 5.26 MG|SODIUM GLUCONATE 5.02 MG","SOLUTION","INTRAVENOUS","5",1,"0500064",1,1,"0500064001"
"1191","DEXTROSE 50 MG|MAGNESIUM ACETATE 0.21 MG|POTASSIUM ACETATE 1.28 MG|SODIUM CHLORIDE 2.34 MG","SOLUTION","INTRAVENOUS","4",1,"0400208",1,1,"0400208001"
"1192","CHARCOAL ACTIVATED 200 MG","SUSPENSION","ORAL","1",4,"0106680",1,1,"0106680002"
"1193","MANNITOL 200 MG","SOLUTION","INTRAVENOUS","1",1,"0103277",1,1,"0103277003"
"1194","ERGONOVINE MALEATE 0.25 MG","SOLUTION","INTRAMUSCULAR","1",3,"0103674",1,1,"0103674002"
"1195","ERGONOVINE MALEATE 0.25 MG","SOLUTION","INTRAVENOUS","1",3,"0103674",1,1,"0103674002"
"1196","WATER 100 %","LIQUID","INTRAMUSCULAR","1",3,"0105143",1,1,"0105143002"
"1197","WATER 100 %","LIQUID","SUBCUTANEOUS","1",3,"0105143",1,1,"0105143002"
"1198","SULFASALAZINE 500 MG","TABLET","ORAL","1",3,"0106101",1,1,"0106101001"
"1199","SULFASALAZINE 500 MG","TABLET (ENTERIC-COATED)","ORAL","1",2,"0106101",1,1,"0106101001"
"1200","DEXTRAN 10 %|SODIUM CHLORIDE 0.9 %","SOLUTION","INTRAVENOUS","2",1,"0200213",1,1,"0200213001"
"1201","DEXTRAN 100 MG|DEXTROSE 50 MG","SOLUTION","INTRAVENOUS","2",1,"0202184",1,1,"0202184001"
"1202","CALCIUM CHLORIDE 0.2 MG|POTASSIUM CHLORIDE 0.3 MG|SODIUM CHLORIDE 6 MG|SODIUM LACTATE 3.1 MG","SOLUTION","INTRAVENOUS","4",1,"0400132",1,1,"0400132001"
"1203","DEXTROSE 500 MG","SOLUTION","INTRAVENOUS","1",1,"0102181",1,1,"0102181001"
"1204","CALCIUM CHLORIDE 0.2 MG|DEXTROSE 50.0 MG|POTASSIUM CHLORIDE 0.3 MG|SODIUM CHLORIDE 6.0 MG|SODIUM LACTATE 3.1 MG","SOLUTION","INTRAVENOUS","5",1,"0500106",1,1,"0500106001"
"1205","DEXTROSE 50 MG|SODIUM CHLORIDE 4.5 MG","SOLUTION","INTRAVENOUS","2",1,"0200203",1,1,"0200203002"
"1206","DEXTROSE 50 MG|SODIUM CHLORIDE 2.25 MG","SOLUTION","INTRAVENOUS","2",1,"0200203",1,1,"0200203003"
"1207","PHENIRAMINE MALEATE 0.5 %|PHENYLEPHRINE HYDROCHLORIDE 0.125 %|POLYVINYL ALCOHOL 1.4 %","LIQUID","OPHTHALMIC","3",1,"0324369",1,1,"0324369001"
