"","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing"
"234","7672",1,"INSULIN INJECTION HUMAN BIOSYNTHETIC","INSULIN INJECTION HUMAN BIOSYNTHETIC","INSULIN INJECTION HUMAN BIOSYNTHETIC"
"235","20269",1,"FLUPHENAZINE HYDROCHLORIDE","FLUPHENAZINE HYDROCHLORIDE","FLUPHENAZINE HYDROCHLORIDE"
"236","8589",1,"SPIRAMYCIN","SPIRAMYCIN","SPIRAMYCIN"
"237","20241",1,"COCAINE HYDROCHLORIDE","COCAINE HYDROCHLORIDE","COCAINE HYDROCHLORIDE"
"238","10187",1,"AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE HYDROCHLORIDE","AMITRIPTYLINE HYDROCHLORIDE"
"239","7598",1,"DEXAMETHASONE SODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE","DEXAMETHASONE SODIUM PHOSPHATE"
"240","8926",3,"EPINEPHRINE|EPINEPHRINE (EPINEPHRINE BITARTRATE)|EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)","EPINEPHRINE","EPINEPHRINE BITARTRATE|EPINEPHRINE HYDROCHLORIDE"
"241","1776",1,"ENALAPRILAT","ENALAPRILAT","ENALAPRILAT"
"242","11168",1,"SERTRALINE (SERTRALINE HYDROCHLORIDE)","SERTRALINE","SERTRALINE HYDROCHLORIDE"
"243","10075",2,"FENTANYL|FENTANYL (FENTANYL CITRATE)","FENTANYL","FENTANYL CITRATE"
"244","11107",1,"DOXEPIN (DOXEPIN HYDROCHLORIDE)","DOXEPIN","DOXEPIN HYDROCHLORIDE"
"245","2395",1,"LACTULOSE","LACTULOSE","LACTULOSE"
"246","10292",1,"SODIUM ACETATE","SODIUM ACETATE","SODIUM ACETATE"
"247","6787",1,"SODIUM GLUCONATE","SODIUM GLUCONATE","SODIUM GLUCONATE"
"248","10224",1,"DOXYLAMINE SUCCINATE","DOXYLAMINE SUCCINATE","DOXYLAMINE SUCCINATE"
"249","2011",1,"MINOXIDIL","MINOXIDIL","MINOXIDIL"
"250","8746",1,"ZINC SULFATE","ZINC SULFATE","ZINC SULFATE"
"251","8318",1,"CLARITHROMYCIN","CLARITHROMYCIN","CLARITHROMYCIN"
"252","9054",1,"WARFARIN SODIUM","WARFARIN SODIUM","WARFARIN SODIUM"
"253","13186",1,"CALCITONIN (SALMON SYNTHETIC)","CALCITONIN","SALMON SYNTHETIC"
"254","8636",1,"NEOMYCIN SULFATE","NEOMYCIN SULFATE","NEOMYCIN SULFATE"
"255","6469",1,"GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE","GOLD SODIUM THIOMALATE"
"256","7566",1,"PREDNISONE","PREDNISONE","PREDNISONE"
"257","8881",1,"ISOPROPYL ALCOHOL","ISOPROPYL ALCOHOL","ISOPROPYL ALCOHOL"
"258","7588",1,"TRIAMCINOLONE ACETONIDE","TRIAMCINOLONE ACETONIDE","TRIAMCINOLONE ACETONIDE"
"259","2292",1,"TIMOLOL MALEATE","TIMOLOL MALEATE","TIMOLOL MALEATE"
"260","6500",1,"PHENYLEPHRINE (PHENYLEPHRINE HYDROCHLORIDE)","PHENYLEPHRINE","PHENYLEPHRINE HYDROCHLORIDE"
"261","7500",1,"NORETHINDRONE","NORETHINDRONE","NORETHINDRONE"
"262","8017",1,"CHLORPROMAZINE (CHLORPROMAZINE HYDROCHLORIDE)","CHLORPROMAZINE","CHLORPROMAZINE HYDROCHLORIDE"
"263","11344",1,"AMLODIPINE (AMLODIPINE BESYLATE)","AMLODIPINE","AMLODIPINE BESYLATE"
"264","6340",1,"METHOCARBAMOL","METHOCARBAMOL","METHOCARBAMOL"
"265","6974",1,"LANOLIN","LANOLIN","LANOLIN"
"266","93",4,"CIPROFLOXACIN|CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)|CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN)|CIPROFLOXACIN (CIPROFLOXACIN LACTATE)","CIPROFLOXACIN","CIPROFLOXACIN HYDROCHLORIDE|CIPROFLOXACIN HYDROCHLORIDE, CIPROFLOXACIN|CIPROFLOXACIN LACTATE"
"267","7426",1,"ETHINYL ESTRADIOL","ETHINYL ESTRADIOL","ETHINYL ESTRADIOL"
"268","7492",1,"NORGESTIMATE","NORGESTIMATE","NORGESTIMATE"
"269","11372",1,"APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE)","APRACLONIDINE","APRACLONIDINE HYDROCHLORIDE"
"270","2433",1,"ASPARAGINASE","ASPARAGINASE","ASPARAGINASE"
"271","9197",1,"SODIUM BICARBONATE","SODIUM BICARBONATE","SODIUM BICARBONATE"
"272","7538",1,"MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE"
"273","7627",1,"PREDNISOLONE SODIUM PHOSPHATE","PREDNISOLONE SODIUM PHOSPHATE","PREDNISOLONE SODIUM PHOSPHATE"
"274","9418",1,"DIAZEPAM","DIAZEPAM","DIAZEPAM"
"275","16112",2,"CHLORAMPHENICOL|CHLORAMPHENICOL (CHLORAMPHENICOL SODIUM SUCCINATE)","CHLORAMPHENICOL","CHLORAMPHENICOL SODIUM SUCCINATE"
"276","1241",1,"KETOROLAC TROMETHAMINE","KETOROLAC TROMETHAMINE","KETOROLAC TROMETHAMINE"
"277","8133",1,"METOLAZONE","METOLAZONE","METOLAZONE"
"278","7652",1,"TETANUS PROTEIN","TETANUS PROTEIN","TETANUS PROTEIN"
"279","7795",1,"HAEMOPHILUS INFLUENZAE TYPE B-PRP","HAEMOPHILUS INFLUENZAE TYPE B-PRP","HAEMOPHILUS INFLUENZAE TYPE B-PRP"
"280","8029",2,"METHOTRIMEPRAZINE (METHOTRIMEPRAZINE HYDROCHLORIDE)|METHOTRIMEPRAZINE (METHOTRIMEPRAZINE MALEATE)","METHOTRIMEPRAZINE","METHOTRIMEPRAZINE HYDROCHLORIDE|METHOTRIMEPRAZINE MALEATE"
"281","1840",1,"DOMPERIDONE (DOMPERIDONE MALEATE)","DOMPERIDONE","DOMPERIDONE MALEATE"
"282","68",1,"DAUNORUBICIN (DAUNORUBICIN HYDROCHLORIDE)","DAUNORUBICIN","DAUNORUBICIN HYDROCHLORIDE"
"283","7943",1,"MOCLOBEMIDE","MOCLOBEMIDE","MOCLOBEMIDE"
"284","10227",1,"LITHIUM CARBONATE","LITHIUM CARBONATE","LITHIUM CARBONATE"
"285","7587",1,"TRIAMCINOLONE DIACETATE","TRIAMCINOLONE DIACETATE","TRIAMCINOLONE DIACETATE"
"286","7554",1,"PROGESTERONE","PROGESTERONE","PROGESTERONE"
"287","253",1,"AMYLASE","AMYLASE","AMYLASE"
"288","648",1,"PROTEASE","PROTEASE","PROTEASE"
"289","649",1,"LIPASE","LIPASE","LIPASE"
"290","925",2,"CLODRONATE DISODIUM|CLODRONATE DISODIUM (CLODRONATE DISODIUM TETRAHYDRATE)","CLODRONATE DISODIUM","CLODRONATE DISODIUM TETRAHYDRATE"
"291","9357",1,"CAFFEINE CITRATE","CAFFEINE CITRATE","CAFFEINE CITRATE"
"292","6161",1,"HYDROCODONE BITARTRATE","HYDROCODONE BITARTRATE","HYDROCODONE BITARTRATE"
"293","781",3,"VITAMIN B12|VITAMIN B12 (CYANOCOBALAMIN)|VITAMIN B12 (VITAMIN B12)","VITAMIN B12","CYANOCOBALAMIN|VITAMIN B12"
"294","894",2,"CALCIPOTRIOL|CALCIPOTRIOL (CALCIPOTRIOL MONOHYDRATE)","CALCIPOTRIOL","CALCIPOTRIOL MONOHYDRATE"
"295","6788",1,"TETRACAINE HYDROCHLORIDE","TETRACAINE HYDROCHLORIDE","TETRACAINE HYDROCHLORIDE"
"296","768",1,"FINASTERIDE","FINASTERIDE","FINASTERIDE"
"297","885",1,"GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE","GADOPENTETATE DIMEGLUMINE"
"298","2446",1,"DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE","DEFEROXAMINE MESYLATE"
"299","7487",1,"TESTOSTERONE CYPIONATE","TESTOSTERONE CYPIONATE","TESTOSTERONE CYPIONATE"
"300","7469",1,"TESTOSTERONE UNDECANOATE","TESTOSTERONE UNDECANOATE","TESTOSTERONE UNDECANOATE"
"301","7488",1,"TESTOSTERONE PROPIONATE","TESTOSTERONE PROPIONATE","TESTOSTERONE PROPIONATE"
"302","331",2,"ZINC (ZINC GLUCONATE)|ZINC (ZINC SULFATE)","ZINC","ZINC GLUCONATE|ZINC SULFATE"
"303","7558",1,"CLOBETASOL PROPIONATE","CLOBETASOL PROPIONATE","CLOBETASOL PROPIONATE"
"304","231",1,"THEOPHYLLINE","THEOPHYLLINE","THEOPHYLLINE"
"305","9905",1,"AMANTADINE HYDROCHLORIDE","AMANTADINE HYDROCHLORIDE","AMANTADINE HYDROCHLORIDE"
"306","17056",1,"OnabotulinumtoxinA","OnabotulinumtoxinA","OnabotulinumtoxinA"
"307","8944",1,"L-EPHEDRINE HYDROCHLORIDE","L-EPHEDRINE HYDROCHLORIDE","L-EPHEDRINE HYDROCHLORIDE"
"308","10194",2,"MANGANESE (MANGANESE GLUCONATE)|MANGANESE (MANGANESE SULFATE)","MANGANESE","MANGANESE GLUCONATE|MANGANESE SULFATE"
"309","6895",1,"PHENIRAMINE MALEATE","PHENIRAMINE MALEATE","PHENIRAMINE MALEATE"
"310","1864",1,"FLECAINIDE ACETATE","FLECAINIDE ACETATE","FLECAINIDE ACETATE"
"311","2001",2,"CHROMIUM (CHROMIC CHLORIDE)|CHROMIUM (CHROMIUM HVP CHELATE)","CHROMIUM","CHROMIC CHLORIDE|CHROMIUM HVP CHELATE"
"312","10126",1,"INDOMETHACIN","INDOMETHACIN","INDOMETHACIN"
"313","2295",2,"SELENIUM (SELENIOUS ACID)|SELENIUM (SELENIUM HVP CHELATE)","SELENIUM","SELENIOUS ACID|SELENIUM HVP CHELATE"
"314","582",1,"COPPER (COPPER SULFATE)","COPPER","COPPER SULFATE"
"315","1395",1,"FAMOTIDINE","FAMOTIDINE","FAMOTIDINE"
"316","2047",1,"BENZYDAMINE HYDROCHLORIDE","BENZYDAMINE HYDROCHLORIDE","BENZYDAMINE HYDROCHLORIDE"
"317","11177",1,"LODOXAMIDE (LODOXAMIDE TROMETHAMINE)","LODOXAMIDE","LODOXAMIDE TROMETHAMINE"
"318","11394",1,"IODIDE (SODIUM IODIDE)","IODIDE","SODIUM IODIDE"
"319","7832",1,"TYPHOID VACCINE (SALMONELLA TYPHI TY21A)","TYPHOID VACCINE","SALMONELLA TYPHI TY21A"
"320","1859",1,"MISOPROSTOL","MISOPROSTOL","MISOPROSTOL"
"321","11130",1,"FLUOXETINE (FLUOXETINE HYDROCHLORIDE)","FLUOXETINE","FLUOXETINE HYDROCHLORIDE"
"322","197",1,"BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE","BENZALKONIUM CHLORIDE"
"323","1939",1,"TRAZODONE HYDROCHLORIDE","TRAZODONE HYDROCHLORIDE","TRAZODONE HYDROCHLORIDE"
"324","923",1,"LEVOCABASTINE (LEVOCABASTINE HYDROCHLORIDE)","LEVOCABASTINE","LEVOCABASTINE HYDROCHLORIDE"
"325","2008",1,"NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE","NALBUPHINE HYDROCHLORIDE"
"326","1205",1,"DICLOFENAC POTASSIUM","DICLOFENAC POTASSIUM","DICLOFENAC POTASSIUM"
"327","951",2,"CILAZAPRIL|CILAZAPRIL (CILAZAPRIL MONOHYDRATE)","CILAZAPRIL","CILAZAPRIL MONOHYDRATE"
"328","1904",1,"GEMFIBROZIL","GEMFIBROZIL","GEMFIBROZIL"
"329","11447",1,"CROMOLYN SODIUM","CROMOLYN SODIUM","CROMOLYN SODIUM"
"330","2155",2,"DESMOPRESSIN ACETATE|DESMOPRESSIN ACETATE (DESMOPRESSIN ACETATE TRIHYDRATE)","DESMOPRESSIN ACETATE","DESMOPRESSIN ACETATE TRIHYDRATE"
"331","7578",1,"FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE","FLUOCINOLONE ACETONIDE"
"332","2332",1,"NITROGEN","NITROGEN","NITROGEN"
"333","2334",1,"HELIUM","HELIUM","HELIUM"
"334","2329",1,"NITROUS OXIDE","NITROUS OXIDE","NITROUS OXIDE"
"335","2328",1,"AIR","AIR","AIR"
"336","1938",1,"CARBON MONOXIDE","CARBON MONOXIDE","CARBON MONOXIDE"
"337","723",2,"RISPERIDONE|RISPERIDONE (RISPERIDONE TARTRATE)","RISPERIDONE","RISPERIDONE TARTRATE"
"338","9523",1,"CLOFEDANOL HYDROCHLORIDE","CLOFEDANOL HYDROCHLORIDE","CLOFEDANOL HYDROCHLORIDE"
"339","7555",1,"HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE","HALOBETASOL PROPIONATE"
"340","6984",1,"ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE","ALUMINUM CHLOROHYDRATE"
"341","74",1,"SULFUR","SULFUR","SULFUR"
"342","7639",1,"POLISTES SPP VENOM PROTEIN EXTRACT","POLISTES SPP VENOM PROTEIN EXTRACT","POLISTES SPP VENOM PROTEIN EXTRACT"
"343","7637",1,"VESPULA SPP VENOM PROTEIN EXTRACT","VESPULA SPP VENOM PROTEIN EXTRACT","VESPULA SPP VENOM PROTEIN EXTRACT"
"344","7636",1,"DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT"
"345","11385",1,"TERBINAFINE (TERBINAFINE HYDROCHLORIDE)","TERBINAFINE","TERBINAFINE HYDROCHLORIDE"
"346","6935",1,"PHENOL","PHENOL","PHENOL"
"347","11340",4,"PAROXETINE (PAROXETINE HYDROCHLORIDE ACETONE SOLVATE)|PAROXETINE (PAROXETINE HYDROCHLORIDE HEMIHYDRATE)|PAROXETINE (PAROXETINE HYDROCHLORIDE)|PAROXETINE (PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE)","PAROXETINE","PAROXETINE HYDROCHLORIDE ACETONE SOLVATE|PAROXETINE HYDROCHLORIDE HEMIHYDRATE|PAROXETINE HYDROCHLORIDE|PAROXETINE HYDROCHLORIDE, ISOPROPYL SOLVATE"
"348","7498",1,"NORETHINDRONE ACETATE","NORETHINDRONE ACETATE","NORETHINDRONE ACETATE"
"349","2402",1,"DANTROLENE SODIUM","DANTROLENE SODIUM","DANTROLENE SODIUM"
"350","7408",1,"SPIRONOLACTONE","SPIRONOLACTONE","SPIRONOLACTONE"
"351","763",1,"ENOXAPARIN SODIUM","ENOXAPARIN SODIUM","ENOXAPARIN SODIUM"
"352","750",1,"L-PHENYLALANINE HYDROCHLORIDE","L-PHENYLALANINE HYDROCHLORIDE","L-PHENYLALANINE HYDROCHLORIDE"
"353","751",1,"L-LEUCINE HYDROCHLORIDE","L-LEUCINE HYDROCHLORIDE","L-LEUCINE HYDROCHLORIDE"
"354","8700",1,"L-LYSINE HYDROCHLORIDE","L-LYSINE HYDROCHLORIDE","L-LYSINE HYDROCHLORIDE"
"355","897",1,"L-TYROSINE","L-TYROSINE","L-TYROSINE"
"356","935",1,"L-PROLINE","L-PROLINE","L-PROLINE"
"357","938",1,"L-ARGININE","L-ARGININE","L-ARGININE"
"358","939",1,"L-VALINE","L-VALINE","L-VALINE"
"359","941",1,"L-THREONINE","L-THREONINE","L-THREONINE"
"360","944",1,"L-ISOLEUCINE","L-ISOLEUCINE","L-ISOLEUCINE"
"361","2029",1,"WHITE FACED HORNET VENOM PROTEIN","WHITE FACED HORNET VENOM PROTEIN","WHITE FACED HORNET VENOM PROTEIN"
"362","2030",1,"YELLOW JACKET VENOM PROTEIN","YELLOW JACKET VENOM PROTEIN","YELLOW JACKET VENOM PROTEIN"
"363","2031",1,"YELLOW HORNET VENOM PROTEIN","YELLOW HORNET VENOM PROTEIN","YELLOW HORNET VENOM PROTEIN"
"364","10024",1,"DESIPRAMINE HYDROCHLORIDE","DESIPRAMINE HYDROCHLORIDE","DESIPRAMINE HYDROCHLORIDE"
"365","2019",1,"ISOFLURANE","ISOFLURANE","ISOFLURANE"
"366","716",1,"PENTOSAN POLYSULFATE SODIUM","PENTOSAN POLYSULFATE SODIUM","PENTOSAN POLYSULFATE SODIUM"
"367","3054",1,"DEXTRAN 40","DEXTRAN 40","DEXTRAN 40"
"368","1215",1,"BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE","BENAZEPRIL HYDROCHLORIDE"
"369","738",1,"BERACTANT","BERACTANT","BERACTANT"
"370","1374",1,"BUMETANIDE","BUMETANIDE","BUMETANIDE"
"371","10235",1,"CHOLESTYRAMINE RESIN","CHOLESTYRAMINE RESIN","CHOLESTYRAMINE RESIN"
"372","660",1,"DESOGESTREL","DESOGESTREL","DESOGESTREL"
"373","1810",1,"ENALAPRIL MALEATE","ENALAPRIL MALEATE","ENALAPRIL MALEATE"
"374","219",1,"SODIUM FLUORIDE","SODIUM FLUORIDE","SODIUM FLUORIDE"
"375","8209",1,"PROPOFOL","PROPOFOL","PROPOFOL"
"376","7218",4,"IODINE|IODINE (ETHIODIZED OIL)|IODINE (POTASSIUM IODIDE)|IODINE (SODIUM IODIDE)","IODINE","ETHIODIZED OIL|POTASSIUM IODIDE|SODIUM IODIDE"
"377","9240",1,"SODIUM IODIDE","SODIUM IODIDE","SODIUM IODIDE"
"378","2023",1,"SUCRALFATE","SUCRALFATE","SUCRALFATE"
"379","901",1,"ITRACONAZOLE","ITRACONAZOLE","ITRACONAZOLE"
"380","707",1,"TERBINAFINE HYDROCHLORIDE","TERBINAFINE HYDROCHLORIDE","TERBINAFINE HYDROCHLORIDE"
"381","14088",1,"MESALAZINE","MESALAZINE","MESALAZINE"
"382","2113",1,"DIFLUNISAL","DIFLUNISAL","DIFLUNISAL"
"383","2414",2,"NAPROXEN|NAPROXEN (NAPROXEN SODIUM)","NAPROXEN","NAPROXEN SODIUM"
"384","2251",1,"LOPERAMIDE HYDROCHLORIDE","LOPERAMIDE HYDROCHLORIDE","LOPERAMIDE HYDROCHLORIDE"
"385","9967",1,"GLYCOPYRROLATE","GLYCOPYRROLATE","GLYCOPYRROLATE"
"386","2192",1,"CLONAZEPAM","CLONAZEPAM","CLONAZEPAM"
"387","7640",1,"APIS MELLIFERA VENOM PROTEIN EXTRACT","APIS MELLIFERA VENOM PROTEIN EXTRACT","APIS MELLIFERA VENOM PROTEIN EXTRACT"
"388","7576",1,"FLUOROMETHOLONE","FLUOROMETHOLONE","FLUOROMETHOLONE"
"389","20261",1,"ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE"
"390","6506",1,"HYDROXYCHLOROQUINE SULFATE","HYDROXYCHLOROQUINE SULFATE","HYDROXYCHLOROQUINE SULFATE"
"391","2282",1,"DANAZOL","DANAZOL","DANAZOL"
"392","11121",1,"NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE)","NORTRIPTYLINE","NORTRIPTYLINE HYDROCHLORIDE"
"393","10147",1,"METFORMIN HYDROCHLORIDE","METFORMIN HYDROCHLORIDE","METFORMIN HYDROCHLORIDE"
"394","10196",1,"NITROFURANTOIN","NITROFURANTOIN","NITROFURANTOIN"
"395","2097",1,"PINAVERIUM BROMIDE","PINAVERIUM BROMIDE","PINAVERIUM BROMIDE"
"396","1832",2,"MUPIROCIN|MUPIROCIN (MUPIROCIN CALCIUM DIHYDRATE)","MUPIROCIN","MUPIROCIN CALCIUM DIHYDRATE"
"397","11247",2,"CLAVULANIC ACID (CLAVULANATE POTASSIUM)|CLAVULANIC ACID (POTASSIUM CLAVULANATE)","CLAVULANIC ACID","CLAVULANATE POTASSIUM|POTASSIUM CLAVULANATE"
"398","8298",1,"DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE SULFATE","DEXTROAMPHETAMINE SULFATE"
"399","5882",1,"TRANYLCYPROMINE (TRANYLCYPROMINE SULFATE)","TRANYLCYPROMINE","TRANYLCYPROMINE SULFATE"
"400","4179",1,"CYCLOPENTOLATE HYDROCHLORIDE","CYCLOPENTOLATE HYDROCHLORIDE","CYCLOPENTOLATE HYDROCHLORIDE"
"401","650",1,"DORNASE ALFA","DORNASE ALFA","DORNASE ALFA"
"402","1073",1,"SODIUM BISULFITE","SODIUM BISULFITE","SODIUM BISULFITE"
"403","2385",1,"THREONINE","THREONINE","THREONINE"
"404","5416",2,"L-CYSTEINE|L-CYSTEINE (L-CYSTEINE HYDROCHLORIDE)","L-CYSTEINE","L-CYSTEINE HYDROCHLORIDE"
"405","7216",1,"DL-METHIONINE","DL-METHIONINE","DL-METHIONINE"
"406","9806",4,"LYSINE (L-LYSINE ACETATE)|LYSINE (L-LYSINE HYDROCHLORIDE)|LYSINE (LYSINE ACETATE)|LYSINE (LYSINE MONOHYDROCHLORIDE)","LYSINE","L-LYSINE ACETATE|L-LYSINE HYDROCHLORIDE|LYSINE ACETATE|LYSINE MONOHYDROCHLORIDE"
"407","33",1,"OXYBENZONE","OXYBENZONE","OXYBENZONE"
"408","570",1,"VIGABATRIN","VIGABATRIN","VIGABATRIN"
"409","2104",1,"BACLOFEN","BACLOFEN","BACLOFEN"
"410","7152",1,"CETYLPYRIDINIUM CHLORIDE","CETYLPYRIDINIUM CHLORIDE","CETYLPYRIDINIUM CHLORIDE"
"411","9906",1,"TRIMIPRAMINE (TRIMIPRAMINE MALEATE)","TRIMIPRAMINE","TRIMIPRAMINE MALEATE"
"412","6494",1,"TRIPROLIDINE HYDROCHLORIDE","TRIPROLIDINE HYDROCHLORIDE","TRIPROLIDINE HYDROCHLORIDE"
"413","11219",1,"BETAXOLOL (BETAXOLOL HYDROCHLORIDE)","BETAXOLOL","BETAXOLOL HYDROCHLORIDE"
"414","6731",1,"DIGOXIN","DIGOXIN","DIGOXIN"
"415","9439",1,"PROPYLTHIOURACIL","PROPYLTHIOURACIL","PROPYLTHIOURACIL"
"416","5280",1,"CHLORHEXIDINE ACETATE","CHLORHEXIDINE ACETATE","CHLORHEXIDINE ACETATE"
"417","11388",1,"FLUVASTATIN (FLUVASTATIN SODIUM)","FLUVASTATIN","FLUVASTATIN SODIUM"
"418","7638",1,"DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT"
"419","1898",1,"AURANOFIN","AURANOFIN","AURANOFIN"
"420","9954",1,"LIOTHYRONINE (LIOTHYRONINE SODIUM)","LIOTHYRONINE","LIOTHYRONINE SODIUM"
"421","2143",1,"CYCLOBENZAPRINE HYDROCHLORIDE","CYCLOBENZAPRINE HYDROCHLORIDE","CYCLOBENZAPRINE HYDROCHLORIDE"
"422","11182",1,"MINOCYCLINE (MINOCYCLINE HYDROCHLORIDE)","MINOCYCLINE","MINOCYCLINE HYDROCHLORIDE"
"423","470",1,"GABAPENTIN","GABAPENTIN","GABAPENTIN"
"424","12049",1,"OCTINOXATE","OCTINOXATE","OCTINOXATE"
"425","727",1,"TITANIUM DIOXIDE","TITANIUM DIOXIDE","TITANIUM DIOXIDE"
"426","10002",1,"MEFENAMIC ACID","MEFENAMIC ACID","MEFENAMIC ACID"
"427","6941",1,"PAPAVERINE HYDROCHLORIDE","PAPAVERINE HYDROCHLORIDE","PAPAVERINE HYDROCHLORIDE"
"428","2300",1,"LORAZEPAM","LORAZEPAM","LORAZEPAM"
"429","10127",1,"PROPRANOLOL HYDROCHLORIDE","PROPRANOLOL HYDROCHLORIDE","PROPRANOLOL HYDROCHLORIDE"
"430","2493",1,"BUPIVACAINE HYDROCHLORIDE","BUPIVACAINE HYDROCHLORIDE","BUPIVACAINE HYDROCHLORIDE"
"431","1209",1,"ACITRETIN","ACITRETIN","ACITRETIN"
"432","8502",2,"BACITRACIN|BACITRACIN (BACITRACIN ZINC)","BACITRACIN","BACITRACIN ZINC"
"433","1294",1,"SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE","SELEGILINE HYDROCHLORIDE"
"434","521",1,"IOPROMIDE","IOPROMIDE","IOPROMIDE"
"435","11220",1,"BROMOCRIPTINE (BROMOCRIPTINE MESYLATE)","BROMOCRIPTINE","BROMOCRIPTINE MESYLATE"
"436","11167",1,"GOSERELIN (GOSERELIN ACETATE)","GOSERELIN","GOSERELIN ACETATE"
"437","5843",1,"TROPICAMIDE","TROPICAMIDE","TROPICAMIDE"
"438","7330",1,"GONADORELIN ACETATE","GONADORELIN ACETATE","GONADORELIN ACETATE"
"439","298",1,"MINERAL OIL LIGHT","MINERAL OIL LIGHT","MINERAL OIL LIGHT"
"440","11170",2,"VITAMIN B1|VITAMIN B1 (THIAMINE HYDROCHLORIDE)","VITAMIN B1","THIAMINE HYDROCHLORIDE"
"441","11171",4,"VITAMIN B2|VITAMIN B2 (RIBOFLAVIN 5'-PHOSPHATE SODIUM)|VITAMIN B2 (RIBOFLAVIN)|VITAMIN B2 (RIBOFLAVIN-5-PHOSPHATE)","VITAMIN B2","RIBOFLAVIN 5'-PHOSPHATE SODIUM|RIBOFLAVIN|RIBOFLAVIN-5-PHOSPHATE"
"442","4962",1,"BIOTIN","BIOTIN","BIOTIN"
"443","4993",2,"DEXPANTHENOL|DEXPANTHENOL (PANTHENOL)","DEXPANTHENOL","PANTHENOL"
"444","5008",1,"PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE","PYRIDOXINE HYDROCHLORIDE"
"445","5015",1,"NICOTINAMIDE","NICOTINAMIDE","NICOTINAMIDE"
"446","646",4,"VITAMIN C|VITAMIN C (ASCORBIC ACID)|VITAMIN C (CALCIUM ASCORBATE)|VITAMIN C (SODIUM ASCORBATE)","VITAMIN C","ASCORBIC ACID|CALCIUM ASCORBATE|SODIUM ASCORBATE"
"447","701",3,"VITAMIN E|VITAMIN E (D-ALPHA TOCOPHERYL ACETATE)|VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE)","VITAMIN E","D-ALPHA TOCOPHERYL ACETATE|DL-ALPHA TOCOPHERYL ACETATE"
"448","704",2,"VITAMIN A|VITAMIN A (RETINOL PALMITATE)","VITAMIN A","RETINOL PALMITATE"
"449","1998",1,"ETOPOSIDE","ETOPOSIDE","ETOPOSIDE"
"450","308",1,"ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE","ARTICAINE HYDROCHLORIDE"
"451","10058",1,"ORPHENADRINE CITRATE","ORPHENADRINE CITRATE","ORPHENADRINE CITRATE"
"452","8120",1,"DAPSONE","DAPSONE","DAPSONE"
"453","2373",1,"MICONAZOLE NITRATE","MICONAZOLE NITRATE","MICONAZOLE NITRATE"
"454","5532",1,"FLUORESCEIN SODIUM","FLUORESCEIN SODIUM","FLUORESCEIN SODIUM"
"455","8500",1,"BACITRACIN ZINC","BACITRACIN ZINC","BACITRACIN ZINC"
"456","9542",1,"NAPHAZOLINE HYDROCHLORIDE","NAPHAZOLINE HYDROCHLORIDE","NAPHAZOLINE HYDROCHLORIDE"
"457","6497",1,"POLYSORBATE 80","POLYSORBATE 80","POLYSORBATE 80"
"458","6033",1,"POLYVINYL ALCOHOL","POLYVINYL ALCOHOL","POLYVINYL ALCOHOL"
"459","6849",1,"COAL TAR","COAL TAR","COAL TAR"
"460","9766",1,"SALICYLIC ACID","SALICYLIC ACID","SALICYLIC ACID"
"461","2150",1,"COLLAGENASE","COLLAGENASE","COLLAGENASE"
