"","Active Ingredient","ACTIVE_INGREDIENT_CODE","n_names","ingredient_names","basis_of_strength_ing","precise_ing","AI UNII","AM UNII","Active Moiety","Basis of Strength","RD UNII","Referenced Drug"
"471","DIPHTHERIA TOXOID","7941",1,"DIPHTHERIA TOXOID","DIPHTHERIA TOXOID","DIPHTHERIA TOXOID",NA,NA,NA,NA,NA,NA
"472","DIPHTHERIA TOXOID ADSORBED","7940",1,"DIPHTHERIA TOXOID ADSORBED","DIPHTHERIA TOXOID ADSORBED","DIPHTHERIA TOXOID ADSORBED",NA,NA,NA,NA,NA,NA
"473","DIPIVEFRIN HYDROCHLORIDE","1239",1,"DIPIVEFRIN HYDROCHLORIDE","DIPIVEFRIN HYDROCHLORIDE","DIPIVEFRIN HYDROCHLORIDE","5QTH9UHV0K","8Q1PVL543G","DIPIVEFRIN","","",""
"474","DIPYRIDAMOLE","7219",1,"DIPYRIDAMOLE","DIPYRIDAMOLE","DIPYRIDAMOLE","64ALC7F90C","64ALC7F90C","DIPYRIDAMOLE","Active Ingredient","",""
"475","DISODIUM EDETATE","3836",1,"DISODIUM EDETATE","DISODIUM EDETATE","DISODIUM EDETATE",NA,NA,NA,NA,NA,NA
"476","DISOPYRAMIDE","2191",1,"DISOPYRAMIDE","DISOPYRAMIDE","DISOPYRAMIDE","GFO928U8MQ","GFO928U8MQ","DISOPYRAMIDE","Active Ingredient","",""
"477","DL-METHIONINE","7216",1,"DL-METHIONINE","DL-METHIONINE","DL-METHIONINE",NA,NA,NA,NA,NA,NA
"478","DOBUTAMINE","11085",1,"DOBUTAMINE (DOBUTAMINE HYDROCHLORIDE)","DOBUTAMINE","DOBUTAMINE HYDROCHLORIDE","3S12J47372","3S12J47372","DOBUTAMINE","Active Ingredient","",""
"479","DOCETAXEL","157",1,"DOCETAXEL","DOCETAXEL","DOCETAXEL","15H5577CQD","699121PHCA","DOCETAXEL ANHYDROUS","Active Moiety","",""
"480","DOCOSANOL","12720",1,"DOCOSANOL","DOCOSANOL","DOCOSANOL","9G1OE216XY","9G1OE216XY","DOCOSANOL","Active Ingredient","",""
"481","DOCUSATE CALCIUM","9150",1,"DOCUSATE CALCIUM","DOCUSATE CALCIUM","DOCUSATE CALCIUM","6K7YS503HC","M7P27195AG","DOCUSATE","Active Ingredient","",""
"482","DOCUSATE SODIUM","9152",1,"DOCUSATE SODIUM","DOCUSATE SODIUM","DOCUSATE SODIUM","F05Q2T2JA0","M7P27195AG","DOCUSATE","Active Ingredient","",""
"483","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","7636",1,"DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT","DOLICHOVESPULA ARENARIA VENOM PROTEIN EXTRACT",NA,NA,NA,NA,NA,NA
"484","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","7638",1,"DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT","DOLICHOVESPULA MACULATA VENOM PROTEIN EXTRACT",NA,NA,NA,NA,NA,NA
"485","DOLUTEGRAVIR","21556",1,"DOLUTEGRAVIR (DOLUTEGRAVIR SODIUM)","DOLUTEGRAVIR","DOLUTEGRAVIR SODIUM",NA,NA,NA,NA,NA,NA
"486","DOMIPHEN BROMIDE","5904",1,"DOMIPHEN BROMIDE","DOMIPHEN BROMIDE","DOMIPHEN BROMIDE","R4CY19YS7C","4AZL56CU0F","DOMIPHEN","","",""
"487","DOMPERIDONE","1840",1,"DOMPERIDONE (DOMPERIDONE MALEATE)","DOMPERIDONE","DOMPERIDONE MALEATE","5587267Z69","5587267Z69","DOMPERIDONE","Active Ingredient","",""
"488","DONEPEZIL HYDROCHLORIDE","11485",2,"DONEPEZIL HYDROCHLORIDE|DONEPEZIL HYDROCHLORIDE (DONEPEZIL HYDROCHLORIDE MONOHYDRATE)","DONEPEZIL HYDROCHLORIDE","DONEPEZIL HYDROCHLORIDE MONOHYDRATE","3O2T2PJ89D","8SSC91326P","DONEPEZIL","Active Ingredient","",""
"489","DOPAMINE HYDROCHLORIDE","2322",1,"DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE","DOPAMINE HYDROCHLORIDE","7L3E358N9L","VTD58H1Z2X","DOPAMINE","Active Ingredient","",""
"490","DORNASE ALFA","650",1,"DORNASE ALFA","DORNASE ALFA","DORNASE ALFA","953A26OA1Y","953A26OA1Y","DORNASE ALFA","Active Ingredient","",""
"491","DORZOLAMIDE","11213",1,"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","DORZOLAMIDE","DORZOLAMIDE HYDROCHLORIDE","9JDX055TW1","9JDX055TW1","DORZOLAMIDE","Active Ingredient","",""
"492","DOXAZOSIN","11258",1,"DOXAZOSIN (DOXAZOSIN MESYLATE)","DOXAZOSIN","DOXAZOSIN MESYLATE","NW1291F1W8","NW1291F1W8","DOXAZOSIN","Active Ingredient","",""
"493","DOXEPIN","11107",1,"DOXEPIN (DOXEPIN HYDROCHLORIDE)","DOXEPIN","DOXEPIN HYDROCHLORIDE","5ASJ6HUZ7D","5ASJ6HUZ7D","DOXEPIN","Active Ingredient","",""
"494","DOXORUBICIN HYDROCHLORIDE","2298",1,"DOXORUBICIN HYDROCHLORIDE","DOXORUBICIN HYDROCHLORIDE","DOXORUBICIN HYDROCHLORIDE","82F2G7BL4E","80168379AG","DOXORUBICIN","Active Ingredient","",""
"495","DOXYCYCLINE","8642",2,"DOXYCYCLINE (DOXYCYCLINE HYCLATE)|DOXYCYCLINE (Doxycycline Monohydrate)","DOXYCYCLINE","DOXYCYCLINE HYCLATE|Doxycycline Monohydrate","N12000U13O","334895S862","DOXYCYCLINE ANHYDROUS","Active Moiety","",""
"496","DOXYCYCLINE HYCLATE","8644",1,"DOXYCYCLINE HYCLATE","DOXYCYCLINE HYCLATE","DOXYCYCLINE HYCLATE","19XTS3T51U","334895S862","DOXYCYCLINE ANHYDROUS","Active Moiety","",""
"497","DOXYLAMINE SUCCINATE","10224",1,"DOXYLAMINE SUCCINATE","DOXYLAMINE SUCCINATE","DOXYLAMINE SUCCINATE","V9BI9B5YI2","95QB77JKPL","DOXYLAMINE","Active Ingredient","",""
"498","DROMETRIZOLE TRISILOXANE","19130",1,"DROMETRIZOLE TRISILOXANE","DROMETRIZOLE TRISILOXANE","DROMETRIZOLE TRISILOXANE",NA,NA,NA,NA,NA,NA
"499","DRONEDARONE","20511",1,"DRONEDARONE (DRONEDARONE HYDROCHLORIDE)","DRONEDARONE","DRONEDARONE HYDROCHLORIDE","JQZ1L091Y2","JQZ1L091Y2","DRONEDARONE","Active Ingredient","",""
"500","DROPERIDOL","10123",1,"DROPERIDOL","DROPERIDOL","DROPERIDOL","O9U0F09D5X","O9U0F09D5X","DROPERIDOL","Active Ingredient","",""
"501","DROSPIRENONE","13375",1,"DROSPIRENONE","DROSPIRENONE","DROSPIRENONE","N295J34A25","N295J34A25","DROSPIRENONE","Active Ingredient","",""
"502","DULAGLUTIDE","22660",1,"DULAGLUTIDE","DULAGLUTIDE","DULAGLUTIDE","WTT295HSY5","WTT295HSY5","DULAGLUTIDE","Active Ingredient","",""
"503","DULOXETINE","20171",1,"DULOXETINE (DULOXETINE HYDROCHLORIDE)","DULOXETINE","DULOXETINE HYDROCHLORIDE","O5TNM5N07U","O5TNM5N07U","DULOXETINE","Active Ingredient","",""
"504","DUTASTERIDE","12580",1,"DUTASTERIDE","DUTASTERIDE","DUTASTERIDE","O0J6XJN02I","O0J6XJN02I","DUTASTERIDE","Active Ingredient","",""
"505","DYCLONINE HYDROCHLORIDE","5669",1,"DYCLONINE HYDROCHLORIDE","DYCLONINE HYDROCHLORIDE","DYCLONINE HYDROCHLORIDE","ZEC193879Q","078A24Q30O","DYCLONINE","Active Ingredient","",""
"506","ECULIZUMAB","20432",1,"ECULIZUMAB","ECULIZUMAB","ECULIZUMAB","A3ULP0F556","A3ULP0F556","ECULIZUMAB","Active Ingredient","",""
"507","EFAVIRENZ","11857",1,"EFAVIRENZ","EFAVIRENZ","EFAVIRENZ","JE6H2O27P8","JE6H2O27P8","EFAVIRENZ","Active Ingredient","",""
"508","EFINACONAZOLE","22151",1,"Efinaconazole","Efinaconazole","Efinaconazole","J82SB7FXWB","J82SB7FXWB","EFINACONAZOLE","Active Ingredient","",""
"509","EFLORNITHINE HYDROCHLORIDE","12187",1,"EFLORNITHINE HYDROCHLORIDE","EFLORNITHINE HYDROCHLORIDE","EFLORNITHINE HYDROCHLORIDE","4NH22NDW9H","ZQN1G5V6SR","EFLORNITHINE","Reference Drug","UO07O10TCJ","EFLORNITHINE HYDROCHLORIDE ANHYDROUS"
"510","ELBASVIR","22680",1,"ELBASVIR","ELBASVIR","ELBASVIR","632L571YDK","632L571YDK","ELBASVIR","Active Ingredient","",""
"511","ELETRIPTAN","13346",1,"ELETRIPTAN (ELETRIPTAN HYDROBROMIDE)","ELETRIPTAN","ELETRIPTAN HYDROBROMIDE","22QOO9B8KI","22QOO9B8KI","ELETRIPTAN","Active Ingredient","",""
"512","ELOSULFASE ALFA","22450",1,"Elosulfase Alfa","Elosulfase Alfa","Elosulfase Alfa","ODJ69JZG85","ODJ69JZG85","ELOSULFASE ALFA","Active Ingredient","",""
"513","ELTROMBOPAG","20661",1,"ELTROMBOPAG (ELTROMBOPAG OLAMINE)","ELTROMBOPAG","ELTROMBOPAG OLAMINE","S56D65XJ9G","S56D65XJ9G","ELTROMBOPAG","Active Ingredient","",""
"514","ELVITEGRAVIR","21507",1,"Elvitegravir","Elvitegravir","Elvitegravir","4GDQ854U53","4GDQ854U53","ELVITEGRAVIR","Active Ingredient","",""
"515","EMPAGLIFLOZIN","22629",1,"EMPAGLIFLOZIN","EMPAGLIFLOZIN","EMPAGLIFLOZIN","HDC1R2M35U","HDC1R2M35U","EMPAGLIFLOZIN","Active Ingredient","",""
"516","EMTRICITABINE","16516",1,"EMTRICITABINE","EMTRICITABINE","EMTRICITABINE","G70B4ETF4S","G70B4ETF4S","EMTRICITABINE","Active Ingredient","",""
"517","ENALAPRIL MALEATE","1810",1,"ENALAPRIL MALEATE","ENALAPRIL MALEATE","ENALAPRIL MALEATE","9O25354EPJ","Q508Q118JM","ENALAPRILAT ANHYDROUS","Active Ingredient","",""
"518","ENALAPRIL SODIUM","20170",2,"ENALAPRIL SODIUM|ENALAPRIL SODIUM (ENALAPRIL MALEATE)","ENALAPRIL SODIUM","ENALAPRIL MALEATE",NA,NA,NA,NA,NA,NA
"519","ENALAPRILAT","1776",1,"ENALAPRILAT","ENALAPRILAT","ENALAPRILAT","GV0O7ES0R3","Q508Q118JM","ENALAPRILAT ANHYDROUS","Active Moiety","",""
"520","ENFUVIRTIDE","13031",1,"ENFUVIRTIDE","ENFUVIRTIDE","ENFUVIRTIDE","19OWO1T3ZE","19OWO1T3ZE","ENFUVIRTIDE","Active Ingredient","",""
"521","ENOXAPARIN SODIUM","763",1,"ENOXAPARIN SODIUM","ENOXAPARIN SODIUM","ENOXAPARIN SODIUM","8NZ41MIK1O","E47C0NF7LV","ENOXAPARIN","Active Ingredient","",""
"522","ENSULIZOLE","12634",1,"ENSULIZOLE","ENSULIZOLE","ENSULIZOLE","9YQ9DI1W42","9YQ9DI1W42","ENSULIZOLE","Active Ingredient","",""
"523","ENTACAPONE","12126",1,"ENTACAPONE","ENTACAPONE","ENTACAPONE","4975G9NM6T","4975G9NM6T","ENTACAPONE","Active Ingredient","",""
"524","ENTECAVIR","13030",2,"ENTECAVIR|ENTECAVIR (ENTECAVIR MONOHYDRATE)","ENTECAVIR","ENTECAVIR MONOHYDRATE","5968Y6H45M","NNU2O4609D","ENTECAVIR ANHYDROUS","Active Ingredient","",""
"525","ENZACAMENE","20039",1,"ENZACAMENE","ENZACAMENE","ENZACAMENE","8I3XWY40L9","8I3XWY40L9","ENZACAMENE","Active Ingredient","",""
"526","ENZALUTAMIDE","22083",1,"Enzalutamide","Enzalutamide","Enzalutamide",NA,NA,NA,NA,NA,NA
"527","EPHEDRINE SULFATE","8937",1,"EPHEDRINE SULFATE","EPHEDRINE SULFATE","EPHEDRINE SULFATE","U6X61U5ZEG","GN83C131XS","EPHEDRINE","Active Ingredient","",""
"528","EPINEPHRINE","8926",3,"EPINEPHRINE|EPINEPHRINE (EPINEPHRINE BITARTRATE)|EPINEPHRINE (EPINEPHRINE HYDROCHLORIDE)","EPINEPHRINE","EPINEPHRINE BITARTRATE|EPINEPHRINE HYDROCHLORIDE","YKH834O4BH","YKH834O4BH","EPINEPHRINE","Active Ingredient","",""
"529","EPINEPHRINE BITARTRATE","8923",1,"EPINEPHRINE BITARTRATE","EPINEPHRINE BITARTRATE","EPINEPHRINE BITARTRATE","30Q7KI53AK","YKH834O4BH","EPINEPHRINE","Active Moiety","",""
"530","EPINEPHRINE BITARTRATE","8923",1,"EPINEPHRINE BITARTRATE","EPINEPHRINE BITARTRATE","EPINEPHRINE BITARTRATE","30Q7KI53AK","YKH834O4BH","EPINEPHRINE","Active Ingredient","",""
"531","EPINEPHRINE RACEMIC","8917",1,"EPINEPHRINE RACEMIC","EPINEPHRINE RACEMIC","EPINEPHRINE RACEMIC",NA,NA,NA,NA,NA,NA
"532","EPIRUBICIN HYDROCHLORIDE","20259",1,"EPIRUBICIN HYDROCHLORIDE","EPIRUBICIN HYDROCHLORIDE","EPIRUBICIN HYDROCHLORIDE","22966TX7J5","3Z8479ZZ5X","EPIRUBICIN","Active Ingredient","",""
"533","EPLERENONE","20438",1,"EPLERENONE","EPLERENONE","EPLERENONE","6995V82D0B","6995V82D0B","EPLERENONE","Active Ingredient","",""
"534","EPOETIN ALFA","299",1,"EPOETIN ALFA","EPOETIN ALFA","EPOETIN ALFA",NA,NA,NA,NA,NA,NA
"535","EPOPROSTENOL","11378",1,"EPOPROSTENOL (EPOPROSTENOL SODIUM)","EPOPROSTENOL","EPOPROSTENOL SODIUM","DCR9Z582X0","DCR9Z582X0","EPOPROSTENOL","Active Ingredient","",""
"536","EPROSARTAN","11894",1,"EPROSARTAN (EPROSARTAN MESYLATE)","EPROSARTAN","EPROSARTAN MESYLATE","2KH13Z0S0Y","2KH13Z0S0Y","EPROSARTAN","Active Ingredient","",""
"537","EPTACOG ALFA","13301",1,"EPTACOG ALFA (ACTIVATED)","EPTACOG ALFA","ACTIVATED",NA,NA,NA,NA,NA,NA
"538","EPTIFIBATIDE","11891",1,"EPTIFIBATIDE","EPTIFIBATIDE","EPTIFIBATIDE","NA8320J834","NA8320J834","EPTIFIBATIDE","Active Ingredient","",""
"539","ERGOLOID MESYLATES","1411",1,"ERGOLOID MESYLATES","ERGOLOID MESYLATES","ERGOLOID MESYLATES","X3S33EX3KW","34HPE9Z8IP","ERGOLOIDS","Active Ingredient","",""
"540","ERGONOVINE MALEATE","9366",1,"ERGONOVINE MALEATE","ERGONOVINE MALEATE","ERGONOVINE MALEATE","YMH3D0ZJWV","WH41D8433D","ERGONOVINE","","",""
"541","ERGOTAMINE TARTRATE","9252",1,"ERGOTAMINE TARTRATE","ERGOTAMINE TARTRATE","ERGOTAMINE TARTRATE","MRU5XH3B48","PR834Q503T","ERGOTAMINE","Active Ingredient","",""
"542","ERIBULIN MESYLATE","21079",1,"Eribulin Mesylate","Eribulin Mesylate","Eribulin Mesylate","AV9U0660CW","LR24G6354G","ERIBULIN","Active Ingredient","",""
"543","ERLOTINIB","12481",1,"ERLOTINIB (ERLOTINIB HYDROCHLORIDE)","ERLOTINIB","ERLOTINIB HYDROCHLORIDE","J4T82NDH7E","J4T82NDH7E","ERLOTINIB","Active Ingredient","",""
"544","ERTAPENEM","13153",1,"ERTAPENEM (ERTAPENEM SODIUM)","ERTAPENEM","ERTAPENEM SODIUM","G32F6EID2H","G32F6EID2H","ERTAPENEM","Active Ingredient","",""
"545","ERYTHROMYCIN","8618",5,"ERYTHROMYCIN|ERYTHROMYCIN (ERYTHROMYCIN ESTOLATE)|ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE)|ERYTHROMYCIN (ERYTHROMYCIN LACTOBIONATE)|ERYTHROMYCIN (ERYTHROMYCIN STEARATE)","ERYTHROMYCIN","ERYTHROMYCIN ESTOLATE|ERYTHROMYCIN ETHYLSUCCINATE|ERYTHROMYCIN LACTOBIONATE|ERYTHROMYCIN STEARATE","63937KV33D","63937KV33D","ERYTHROMYCIN","Active Ingredient","",""
"546","ERYTHROSINE","6817",1,"ERYTHROSINE","ERYTHROSINE","ERYTHROSINE",NA,NA,NA,NA,NA,NA
"547","ESCITALOPRAM","13585",2,"ESCITALOPRAM|ESCITALOPRAM (ESCITALOPRAM OXALATE)","ESCITALOPRAM","ESCITALOPRAM OXALATE","4O4S742ANY","4O4S742ANY","ESCITALOPRAM","Active Ingredient","",""
"548","ESCULIN","9068",1,"ESCULIN","ESCULIN","ESCULIN","1Y1L18LQAF","1Y1L18LQAF","ESCULIN","Active Ingredient","",""
"549","ESLICARBAZEPINE ACETATE","22430",1,"Eslicarbazepine acetate","Eslicarbazepine acetate","Eslicarbazepine acetate","BEA68ZVB2K","S5VXA428R4","ESLICARBAZEPINE","Active Ingredient","",""
"550","ESMOLOL HYDROCHLORIDE","20260",1,"ESMOLOL HYDROCHLORIDE","ESMOLOL HYDROCHLORIDE","ESMOLOL HYDROCHLORIDE","V05260LC8D","MDY902UXSR","ESMOLOL","Active Ingredient","",""
"551","ESOMEPRAZOLE","12371",3,"ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM TRIHYDRATE)|ESOMEPRAZOLE (ESOMEPRAZOLE MAGNESIUM)|ESOMEPRAZOLE (Esomeprazole magnesium dihydrate)","ESOMEPRAZOLE","ESOMEPRAZOLE MAGNESIUM TRIHYDRATE|ESOMEPRAZOLE MAGNESIUM|Esomeprazole magnesium dihydrate","N3PA6559FT","N3PA6559FT","ESOMEPRAZOLE","Active Ingredient","",""
"552","ESTERIFIED ESTROGENS","7436",1,"ESTERIFIED ESTROGENS","ESTERIFIED ESTROGENS","ESTERIFIED ESTROGENS",NA,NA,NA,NA,NA,NA
"553","ESTRADIOL","7419",2,"ESTRADIOL|ESTRADIOL (ESTRADIOL HEMIHYDRATE)","ESTRADIOL","ESTRADIOL HEMIHYDRATE","4TI98Z838E","4TI98Z838E","ESTRADIOL","Active Ingredient","",""
"554","ESTRAMUSTINE PHOSPHATE SODIUM","2103",1,"ESTRAMUSTINE PHOSPHATE SODIUM","ESTRAMUSTINE PHOSPHATE SODIUM","ESTRAMUSTINE PHOSPHATE SODIUM","75F375MT2N","35LT29625A","ESTRAMUSTINE","Reference Drug","MUZ9585Y7B","ESTRAMUSTINE PHOSPHATE"
"555","ESTRONE","7445",1,"ESTRONE","ESTRONE","ESTRONE","2DI9HA706A","2DI9HA706A","ESTRONE","Active Ingredient","",""
"556","ETAFEDRIN HYDROCHLORIDE","8936",1,"ETAFEDRIN HYDROCHLORIDE","ETAFEDRIN HYDROCHLORIDE","ETAFEDRIN HYDROCHLORIDE",NA,NA,NA,NA,NA,NA
"557","ETANERCEPT","12032",1,"ETANERCEPT","ETANERCEPT","ETANERCEPT","OP401G7OJC","OP401G7OJC","ETANERCEPT","Active Ingredient","",""
"558","ETHACRYNIC ACID","10170",2,"ETHACRYNIC ACID|ETHACRYNIC ACID (SODIUM ETHACRYNATE)","ETHACRYNIC ACID","SODIUM ETHACRYNATE","M5DP350VZV","M5DP350VZV","ETHACRYNIC ACID","Active Ingredient","",""
"559","ETHAMBUTOL HYDROCHLORIDE","20261",1,"ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE","ETHAMBUTOL HYDROCHLORIDE","QE4VW5FO07","8G167061QZ","ETHAMBUTOL","Active Ingredient","",""
"560","ETHINYL ESTRADIOL","7426",1,"ETHINYL ESTRADIOL","ETHINYL ESTRADIOL","ETHINYL ESTRADIOL","423D2T571U","423D2T571U","ETHINYL ESTRADIOL","Active Ingredient","",""
"561","ETHOPROPAZINE","7948",1,"ETHOPROPAZINE (ETHOPROPAZINE HYDROCHLORIDE)","ETHOPROPAZINE","ETHOPROPAZINE HYDROCHLORIDE","7WI4P02YN1","7WI4P02YN1","ETHOPROPAZINE","Active Ingredient","",""
"562","ETHOSUXIMIDE","6363",1,"ETHOSUXIMIDE","ETHOSUXIMIDE","ETHOSUXIMIDE","5SEH9X1D1D","5SEH9X1D1D","ETHOSUXIMIDE","Active Ingredient","",""
"563","ETHYNODIOL DIACETATE","7410",1,"ETHYNODIOL DIACETATE","ETHYNODIOL DIACETATE","ETHYNODIOL DIACETATE","62H10A1236","9E01C36A9S","ETHYNODIOL","","",""
"564","ETIDRONATE DISODIUM","12611",1,"ETIDRONATE DISODIUM","ETIDRONATE DISODIUM","ETIDRONATE DISODIUM","M16PXG993G","M2F465ROXU","ETIDRONIC ACID","Active Ingredient","",""
"565","ETODOLAC","1880",1,"ETODOLAC","ETODOLAC","ETODOLAC","2M36281008","2M36281008","ETODOLAC","Active Ingredient","",""
"566","ETONOGESTREL","13323",1,"ETONOGESTREL","ETONOGESTREL","ETONOGESTREL","304GTH6RNH","304GTH6RNH","ETONOGESTREL","Active Ingredient","",""
"567","ETOPOSIDE","1998",1,"ETOPOSIDE","ETOPOSIDE","ETOPOSIDE","6PLQ3CP4P3","6PLQ3CP4P3","ETOPOSIDE","Active Ingredient","",""
"568","ETRAVIRINE","20195",1,"ETRAVIRINE","ETRAVIRINE","ETRAVIRINE","0C50HW4FO1","0C50HW4FO1","ETRAVIRINE","Active Ingredient","",""
"569","EUCALYPTOL","9122",1,"EUCALYPTOL","EUCALYPTOL","EUCALYPTOL","RV6J6604TK","RV6J6604TK","EUCALYPTOL","Active Ingredient","",""
"570","EUPHORBIA","6940",1,"EUPHORBIA","EUPHORBIA","EUPHORBIA",NA,NA,NA,NA,NA,NA
"571","EVEROLIMUS","13238",1,"EVEROLIMUS","EVEROLIMUS","EVEROLIMUS","9HW64Q8G6G","9HW64Q8G6G","EVEROLIMUS","Active Ingredient","",""
"572","EVOLOCUMAB","22637",1,"EVOLOCUMAB","EVOLOCUMAB","EVOLOCUMAB","LKC0U3A8NJ","LKC0U3A8NJ","EVOLOCUMAB","Active Ingredient","",""
"573","EXEMESTANE","12019",1,"EXEMESTANE","EXEMESTANE","EXEMESTANE","NY22HMQ4BX","NY22HMQ4BX","EXEMESTANE","Active Ingredient","",""
"574","EXENATIDE","20660",1,"EXENATIDE","EXENATIDE","EXENATIDE","9P1872D4OL","9P1872D4OL","EXENATIDE","Active Ingredient","",""
"575","EZETIMIBE","12754",1,"EZETIMIBE","EZETIMIBE","EZETIMIBE","EOR26LQQ24","EOR26LQQ24","EZETIMIBE","Active Ingredient","",""
"576","FACTOR XIII","11246",1,"FACTOR XIII","FACTOR XIII","FACTOR XIII",NA,NA,NA,NA,NA,NA
"577","FAMCICLOVIR","156",1,"FAMCICLOVIR","FAMCICLOVIR","FAMCICLOVIR","QIC03ANI02","359HUE8FJC","penciclovir","Active Ingredient","",""
"578","FAMOTIDINE","1395",1,"FAMOTIDINE","FAMOTIDINE","FAMOTIDINE","5QZO15J2Z8","5QZO15J2Z8","FAMOTIDINE","Active Ingredient","",""
"579","FAMPRIDINE","21173",1,"FAMPRIDINE","FAMPRIDINE","FAMPRIDINE",NA,NA,NA,NA,NA,NA
"580","FEBUXOSTAT","13271",1,"FEBUXOSTAT","FEBUXOSTAT","FEBUXOSTAT","101V0R1N2E","101V0R1N2E","FEBUXOSTAT","Active Ingredient","",""
"581","FELODIPINE","1249",1,"FELODIPINE","FELODIPINE","FELODIPINE","OL961R6O2C","OL961R6O2C","FELODIPINE","Active Ingredient","",""
"582","FENOFIBRATE","1381",1,"FENOFIBRATE","FENOFIBRATE","FENOFIBRATE","U202363UOS","BGF9MN2HU1","FENOFIBRIC ACID","Active Ingredient","",""
"583","FENOTEROL HYDROBROMIDE","2252",1,"FENOTEROL HYDROBROMIDE","FENOTEROL HYDROBROMIDE","FENOTEROL HYDROBROMIDE","RLI45Z99RB","22M9P70OQ9","FENOTEROL","","",""
"584","FENTANYL","10075",2,"FENTANYL|FENTANYL (FENTANYL CITRATE)","FENTANYL","FENTANYL CITRATE","UF599785JZ","UF599785JZ","FENTANYL","Active Ingredient","",""
"585","FESOTERODINE FUMARATE","21178",1,"FESOTERODINE FUMARATE","FESOTERODINE FUMARATE","FESOTERODINE FUMARATE","EOS72165S7","621G617227","FESOTERODINE","Active Ingredient","",""
"586","FEXOFENADINE HYDROCHLORIDE","11456",1,"FEXOFENADINE HYDROCHLORIDE","FEXOFENADINE HYDROCHLORIDE","FEXOFENADINE HYDROCHLORIDE","2S068B75ZU","E6582LOH6V","FEXOFENADINE","Active Ingredient","",""
"587","FIBRINOGEN","17119",1,"FIBRINOGEN (HUMAN)","FIBRINOGEN","HUMAN",NA,NA,NA,NA,NA,NA
"588","FIDAXOMICIN","21336",1,"Fidaxomicin","Fidaxomicin","Fidaxomicin","Z5N076G8YQ","Z5N076G8YQ","FIDAXOMICIN","Active Ingredient","",""
"589","FILAMENTOUS HAEMAGGLUTININ","19",1,"FILAMENTOUS HAEMAGGLUTININ","FILAMENTOUS HAEMAGGLUTININ","FILAMENTOUS HAEMAGGLUTININ",NA,NA,NA,NA,NA,NA
"590","FILAMENTOUS HAEMAGGLUTININ ADSORBED","20306",1,"FILAMENTOUS HAEMAGGLUTININ ADSORBED","FILAMENTOUS HAEMAGGLUTININ ADSORBED","FILAMENTOUS HAEMAGGLUTININ ADSORBED",NA,NA,NA,NA,NA,NA
"591","FILGRASTIM","7657",1,"FILGRASTIM (R-METHUG-CSF)","FILGRASTIM","R-METHUG-CSF","PVI5M0M1GW","PVI5M0M1GW","FILGRASTIM","Active Ingredient","",""
"592","FIMBRIAE","18",1,"FIMBRIAE","FIMBRIAE","FIMBRIAE",NA,NA,NA,NA,NA,NA
"593","FIMBRIAE TYPES 2 AND 3","20594",1,"FIMBRIAE TYPES 2 AND 3 (FIM)","FIMBRIAE TYPES 2 AND 3","FIM",NA,NA,NA,NA,NA,NA
"594","FINASTERIDE","768",1,"FINASTERIDE","FINASTERIDE","FINASTERIDE","57GNO57U7G","57GNO57U7G","FINASTERIDE","Active Ingredient","",""
"595","FINGOLIMOD","20671",1,"Fingolimod (Fingolimod Hydrochloride)","Fingolimod","Fingolimod Hydrochloride","3QN8BYN5QF","3QN8BYN5QF","FINGOLIMOD","Active Ingredient","",""
"596","FISH OIL","638",1,"FISH OIL","FISH OIL","FISH OIL","XGF7L72M0F","XGF7L72M0F","FISH OIL","Active Ingredient","",""
"597","FLAVOXATE HYDROCHLORIDE","9419",1,"FLAVOXATE HYDROCHLORIDE","FLAVOXATE HYDROCHLORIDE","FLAVOXATE HYDROCHLORIDE","9C05J6089W","3E74Y80MEY","FLAVOXATE","Active Ingredient","",""
"598","FLECAINIDE ACETATE","1864",1,"FLECAINIDE ACETATE","FLECAINIDE ACETATE","FLECAINIDE ACETATE","M8U465Q1WQ","K94FTS1806","FLECAINIDE","Active Ingredient","",""
"599","FLOCTAFENINE","2009",1,"FLOCTAFENINE","FLOCTAFENINE","FLOCTAFENINE","O04HVX6A9Q","O04HVX6A9Q","FLOCTAFENINE","Active Ingredient","",""
"600","FLUCONAZOLE","1204",1,"FLUCONAZOLE","FLUCONAZOLE","FLUCONAZOLE","8VZV102JFY","8VZV102JFY","FLUCONAZOLE","Active Ingredient","",""
"601","FLUDARABINE PHOSPHATE","11349",1,"FLUDARABINE PHOSPHATE","FLUDARABINE PHOSPHATE","FLUDARABINE PHOSPHATE","1X9VK9O1SC","P2K93U8740","FLUDARABINE","Active Ingredient","",""
