AI UNII,Active Ingredient,AM UNII,Active Moiety,Basis of Strength,RD UNII,Referenced Drug
SIW4YR11ST,CARBUBARB,SIW4YR11ST,CARBUBARB,Active Ingredient,,
41622NK45V,CARBURAZEPAM,41622NK45V,CARBURAZEPAM,Active Ingredient,,
E3K8P4869P,CARBUTAMIDE,E3K8P4869P,CARBUTAMIDE,Active Ingredient,,
0N12JR32MR,CARBUTEROL,0N12JR32MR,CARBUTEROL,Active Ingredient,,
G8F3U654FU,CARBUTEROL HYDROCHLORIDE,0N12JR32MR,CARBUTEROL,,,
8BC4CUT4JL,CARDAMOM,8BC4CUT4JL,CARDAMOM,Active Ingredient,,
JM0KJ091HZ,CARDAMOM OIL,JM0KJ091HZ,CARDAMOM OIL,Active Ingredient,,
MZP2508BRR,CARDIOSPERMUM HALICACABUM FLOWERING TOP,MZP2508BRR,CARDIOSPERMUM HALICACABUM FLOWERING TOP,Active Ingredient,,
75DLN707DO,CAREBASTINE,75DLN707DO,CAREBASTINE,Active Ingredient,,
LA9DTA2L8F,CARFENTANIL,LA9DTA2L8F,CARFENTANIL,Active Ingredient,,
7LG286J8GV,CARFENTANIL CITRATE,LA9DTA2L8F,CARFENTANIL,,,
72X6E3J5AR,CARFILZOMIB,72X6E3J5AR,CARFILZOMIB,Active Ingredient,,
X9N1XKR2OS,CARFIMATE,X9N1XKR2OS,CARFIMATE,Active Ingredient,,
5L0HB4V1EW,CARGLUMIC ACID,5L0HB4V1EW,CARGLUMIC ACID,Active Ingredient,,
1RJ33Z503O,CARGUTOCIN,1RJ33Z503O,CARGUTOCIN,Active Ingredient,,
MC09H30MFS,CARICOTAMIDE,MC09H30MFS,CARICOTAMIDE,Active Ingredient,,
7E3392891K,CARIPORIDE,7E3392891K,CARIPORIDE,Active Ingredient,,
0543W2JFRZ,CARIPORIDE MESYLATE,7E3392891K,CARIPORIDE,,,
F6RJL8B278,CARIPRAZINE,F6RJL8B278,CARIPRAZINE,Active Ingredient,,
KQD7C255YG,CARIPRAZINE HYDROCHLORIDE,F6RJL8B278,CARIPRAZINE,Active Moiety,,
P7725I9V3Z,CARISBAMATE,P7725I9V3Z,CARISBAMATE,Active Ingredient,,
21925K482H,CARISOPRODOL,21925K482H,CARISOPRODOL,Active Ingredient,,
6EK3N87MMH,CARMANTADINE,6EK3N87MMH,CARMANTADINE,Active Ingredient,,
9Z723VGH7J,CARMEGLIPTIN,9Z723VGH7J,CARMEGLIPTIN,Active Ingredient,,
LNH977J2SP,CARMEGLIPTIN DIHYDROCHLORIDE,9Z723VGH7J,CARMEGLIPTIN,,,
8695816VMO,CARMETIZIDE,8695816VMO,CARMETIZIDE,Active Ingredient,,
HA82M3RAB2,CARMOFUR,HA82M3RAB2,CARMOFUR,Active Ingredient,,
9810NUL4D1,CARMOTEROL,9810NUL4D1,CARMOTEROL,Active Ingredient,,
0WLO9P0V75,CARMOTEROL HYDROCHLORIDE,9810NUL4D1,CARMOTEROL,,,
MRP4P457ZA,CARMOXIROLE,MRP4P457ZA,CARMOXIROLE,Active Ingredient,,
U68WG3173Y,CARMUSTINE,U68WG3173Y,CARMUSTINE,Active Ingredient,,
RH5KI819JG,CARNIDAZOLE,RH5KI819JG,CARNIDAZOLE,Active Ingredient,,
S7UI8SM58A,CARNITINE,S7UI8SM58A,CARNITINE,Active Ingredient,,
F64264D63N,CARNITINE CHLORIDE,S7UI8SM58A,CARNITINE,,,
83EYV27FW2,CARNITINE OROTATE,S7UI8SM58A,CARNITINE,,,
8HO6PVN24W,CARNOSINE,8HO6PVN24W,CARNOSINE,Active Ingredient,,
5MG5Z946UO,CAROB,5MG5Z946UO,CAROB,Active Ingredient,,
T643E80J9K,CAROCAINIDE,T643E80J9K,CAROCAINIDE,Active Ingredient,,
Y1HYC6SO3F,CAROTEGRAST,Y1HYC6SO3F,CAROTEGRAST,Active Ingredient,,
XJ73B0K6KB,CAROVERINE,XJ73B0K6KB,CAROVERINE,Active Ingredient,,
OSH993362T,CAROVERINE HYDROCHLORIDE,XJ73B0K6KB,CAROVERINE,,,
807N226MNL,CAROXAZONE,807N226MNL,CAROXAZONE,Active Ingredient,,
LZ6E4G9827,CARPERIDINE,LZ6E4G9827,CARPERIDINE,Active Ingredient,,
GZ8FA500J0,CARPERITIDE,GZ8FA500J0,CARPERITIDE,Active Ingredient,,
Q3AP22Z9FJ,CARPERONE,Q3AP22Z9FJ,CARPERONE,Active Ingredient,,
CLY16Y8Z7E,CARPHENAZINE,CLY16Y8Z7E,CARPHENAZINE,Active Ingredient,,
0HX1Z0A2MC,CARPHENAZINE MALEATE,CLY16Y8Z7E,CARPHENAZINE,,,
W8F97XP38W,CARPINDOLOL,W8F97XP38W,CARPINDOLOL,Active Ingredient,,
07YL55QKZ9,CARPINUS BETULUS FLOWER,07YL55QKZ9,CARPINUS BETULUS FLOWER,Active Ingredient,,
QOI241B01F,CARPINUS BETULUS FLOWERING TOP,QOI241B01F,CARPINUS BETULUS FLOWERING TOP,Active Ingredient,,
9UC4BM3IZ0,CARPINUS CAROLINIANA POLLEN,9UC4BM3IZ0,CARPINUS CAROLINIANA POLLEN,Active Ingredient,,
8AFK6F91EQ,CARPIPRAMINE,8AFK6F91EQ,CARPIPRAMINE,Active Ingredient,,
53X71X3I1W,CARPIPRAMINE DIHYDROCHLORIDE,8AFK6F91EQ,CARPIPRAMINE,,,
O55EMK06L9,CARPRAZIDIL,O55EMK06L9,CARPRAZIDIL,Active Ingredient,,
FFL0D546HO,CARPROFEN,FFL0D546HO,CARPROFEN,Active Ingredient,,
1R01BKB74A,CARPRONIUM CHLORIDE,X6UK728GLZ,CARPRONIUM,,,
5C69YCD2YJ,CARRAGEENAN,5C69YCD2YJ,CARRAGEENAN,Active Ingredient,,
L56Z1JK48B,CARROT,L56Z1JK48B,CARROT,Active Ingredient,,
685H843ULU,CARSALAM,685H843ULU,CARSALAM,Active Ingredient,,
2E3S34L69I,CARSATRIN,2E3S34L69I,CARSATRIN,Active Ingredient,,
YAZ544QOFD,CARSATRIN SUCCINATE,2E3S34L69I,CARSATRIN,,,
E3N11DY0TA,CARTASTEINE,E3N11DY0TA,CARTASTEINE,Active Ingredient,,
8K93Z46WPY,CARTAZOLATE,8K93Z46WPY,CARTAZOLATE,Active Ingredient,,
8NF31401XG,CARTEOLOL,8NF31401XG,CARTEOLOL,Active Ingredient,,
4797W6I0T4,CARTEOLOL HYDROCHLORIDE,8NF31401XG,CARTEOLOL,Active Ingredient,,
E7437K3983,CARUBICIN,E7437K3983,CARUBICIN,Active Ingredient,,
4V3R166MB3,CARUBICIN HYDROCHLORIDE,E7437K3983,CARUBICIN,,,
486890PI06,CARUMONAM,486890PI06,CARUMONAM,Active Ingredient,,
B4J4M4939D,CARUMONAM SODIUM,486890PI06,CARUMONAM,,,
9B1J4V995Q,CARVACROL,9B1J4V995Q,CARVACROL,Active Ingredient,,
0K47UL67F2,CARVEDILOL,0K47UL67F2,CARVEDILOL,Active Ingredient,,
N9A00DJ8CM,CARVEDILOL HYDROCHLORIDE,0K47UL67F2,CARVEDILOL,,,
EQT531S367,CARVEDILOL PHOSPHATE,0K47UL67F2,CARVEDILOL,Active Ingredient,,
4S19O2F64L,CARVEDILOL PHOSPHATE MONOHYDRATE,0K47UL67F2,CARVEDILOL,,,
1Q63WWP8G5,CARVOTROLINE,1Q63WWP8G5,CARVOTROLINE,Active Ingredient,,
O99P60FU6G,CARYA CORDIFORMIS POLLEN,O99P60FU6G,CARYA CORDIFORMIS POLLEN,Active Ingredient,,
KPO1Z9N98A,CARYA GLABRA POLLEN,KPO1Z9N98A,CARYA GLABRA POLLEN,Active Ingredient,,
PYO4JR720Y,CARYA ILLINOINENSIS POLLEN,PYO4JR720Y,CARYA ILLINOINENSIS POLLEN,Active Ingredient,,
5BGG872373,CARYA LACINIOSA POLLEN,5BGG872373,CARYA LACINIOSA POLLEN,Active Ingredient,,
54UN9R2798,CARYA OVATA POLLEN,54UN9R2798,CARYA OVATA POLLEN,Active Ingredient,,
G2A764T54B,CARYA TOMENTOSA POLLEN,G2A764T54B,CARYA TOMENTOSA POLLEN,Active Ingredient,,
668UF07O1P,CARZELESIN,668UF07O1P,CARZELESIN,Active Ingredient,,
30Z5HQB5A4,CARZENIDE,30Z5HQB5A4,CARZENIDE,Active Ingredient,,
3SJ3U7J6V2,CASANTHRANOL,3SJ3U7J6V2,CASANTHRANOL,Active Ingredient,,
48268V50D5,CASEIN,48268V50D5,CASEIN,Active Ingredient,,
3H5U5CX7KO,CASHEW,3H5U5CX7KO,CASHEW,Active Ingredient,,
B453T1E8MP,CASOKEFAMIDE,B453T1E8MP,CASOKEFAMIDE,Active Ingredient,,
3B03KPM27L,CASOPITANT,3B03KPM27L,CASOPITANT,Active Ingredient,,
7VSV9BL497,CASOPITANT MESYLATE,3B03KPM27L,CASOPITANT,,,
F0XDI6ZL63,CASPOFUNGIN,F0XDI6ZL63,CASPOFUNGIN,Active Ingredient,,
VUW370O5QE,CASPOFUNGIN ACETATE,F0XDI6ZL63,CASPOFUNGIN,Active Ingredient,,
YHZ719F7M3,CASTANEA SATIVA FLOWER,YHZ719F7M3,CASTANEA SATIVA FLOWER,Active Ingredient,,
IV3S2HH53G,CASTANEA SATIVA LEAF,IV3S2HH53G,CASTANEA SATIVA LEAF,Active Ingredient,,
Q0I3184XM7,CASTANOSPERMINE,Q0I3184XM7,CASTANOSPERMINE,Active Ingredient,,
D0MH91LS9C,CASTOR CANADENSIS SCENT GLAND SECRETION,D0MH91LS9C,CASTOR CANADENSIS SCENT GLAND SECRETION,Active Ingredient,,
9X8XFD5ZQX,CASTOR FIBER SCENT GLAND SECRETION,9X8XFD5ZQX,CASTOR FIBER SCENT GLAND SECRETION,Active Ingredient,,
D5340Y2I9G,CASTOR OIL,D5340Y2I9G,CASTOR OIL,Active Ingredient,,
OZJ4OE173N,CASUARINA EQUISETIFOLIA POLLEN,OZJ4OE173N,CASUARINA EQUISETIFOLIA POLLEN,Active Ingredient,,
EFN1AL1YP0,CATFISH,EFN1AL1YP0,CATFISH,Active Ingredient,,
E1L4ZW2F8O,CATHINE,E1L4ZW2F8O,CATHINE,Active Ingredient,,
IX73851J3P,CATHINE HYDROCHLORIDE,E1L4ZW2F8O,CATHINE,,,
540EI4406J,CATHINONE,540EI4406J,CATHINONE,Active Ingredient,,
272NNG64V6,CATHINONE HYDROCHLORIDE,540EI4406J,CATHINONE,,,
QVZ4XA556B,CATRAMILAST,QVZ4XA556B,CATRAMILAST,Active Ingredient,,
9060PRM18Q,CAT'S CLAW,9060PRM18Q,CAT'S CLAW,Active Ingredient,,
138LUT2DWV,CAULIFLOWER,138LUT2DWV,CAULIFLOWER,Active Ingredient,,
4339THL77S,CAULOPHYLLUM ROBUSTUM ROOT,4339THL77S,CAULOPHYLLUM ROBUSTUM ROOT,Active Ingredient,,
JTJ6HH6YEH,CAULOPHYLLUM THALICTROIDES ROOT,JTJ6HH6YEH,CAULOPHYLLUM THALICTROIDES ROOT,Active Ingredient,,
DD5FO1WKFU,CAUSTICUM,DD5FO1WKFU,CAUSTICUM,Active Ingredient,,
84Q71TU5SU,CAVIA PORCELLUS DANDER,84Q71TU5SU,CAVIA PORCELLUS DANDER,Active Ingredient,,
KBA5Y6X57N,CAVIA PORCELLUS HAIR,KBA5Y6X57N,CAVIA PORCELLUS HAIR,Active Ingredient,,
GM3H4U6QS8,CAVIA PORCELLUS SKIN,GM3H4U6QS8,CAVIA PORCELLUS SKIN,Active Ingredient,,
020K6HLU0O,"CAVIAR, UNSPECIFIED",020K6HLU0O,"CAVIAR, UNSPECIFIED",Active Ingredient,,
25B1Y14T8N,CEANOTHUS AMERICANUS LEAF,25B1Y14T8N,CEANOTHUS AMERICANUS LEAF,Active Ingredient,,
Q25MNP6OC1,CEBARACETAM,Q25MNP6OC1,CEBARACETAM,Active Ingredient,,
BJ169U4NLG,CEDAR LEAF OIL,BJ169U4NLG,CEDAR LEAF OIL,Active Ingredient,,
81HH79X39W,CEDEFINGOL,81HH79X39W,CEDEFINGOL,Active Ingredient,,
NQU9IPY4K9,CEDIRANIB,NQU9IPY4K9,CEDIRANIB,Active Ingredient,,
68AYS9A614,CEDIRANIB MALEATE,NQU9IPY4K9,CEDIRANIB,,,
69K7K19H4L,CEFACLOR,3Z6FS3IK0K,CEFACLOR ANHYDROUS,Active Moiety,,
3Z6FS3IK0K,CEFACLOR ANHYDROUS,3Z6FS3IK0K,CEFACLOR ANHYDROUS,Active Ingredient,,
280111G160,CEFADROXIL,Q525PA8JJB,CEFADROXIL ANHYDROUS,Active Moiety,,
Q525PA8JJB,CEFADROXIL ANHYDROUS,Q525PA8JJB,CEFADROXIL ANHYDROUS,Active Ingredient,,
J9CMF6461M,CEFADROXIL HEMIHYDRATE,Q525PA8JJB,CEFADROXIL ANHYDROUS,Active Moiety,,
K2P920217W,CEFALONIUM,K2P920217W,CEFALONIUM,Active Ingredient,,
K3086GQJ9Z,CEFALORAM,K3086GQJ9Z,CEFALORAM,Active Ingredient,,
5CKP8C2LLI,CEFAMANDOLE,5CKP8C2LLI,CEFAMANDOLE,Active Ingredient,,
8HDO7941DO,CEFAMANDOLE NAFATE,5CKP8C2LLI,CEFAMANDOLE,,,
IY6234ODVR,CEFAMANDOLE SODIUM,5CKP8C2LLI,CEFAMANDOLE,,,
HW64W823GC,CEFAPAROLE,HW64W823GC,CEFAPAROLE,Active Ingredient,,
8P4W949T8K,CEFATRIZINE,8P4W949T8K,CEFATRIZINE,Active Ingredient,,
3731IA5GI9,CEFATRIZINE PROPYLENE GLYCOLATE,8P4W949T8K,CEFATRIZINE,,,
97I0692RNT,CEFAZAFLUR,97I0692RNT,CEFAZAFLUR,Active Ingredient,,
8NJ5RWV39D,CEFAZAFLUR SODIUM,97I0692RNT,CEFAZAFLUR,,,
7Y86X0D799,CEFAZEDONE,7Y86X0D799,CEFAZEDONE,Active Ingredient,,
658X66LF6Y,CEFAZEDONE SODIUM,7Y86X0D799,CEFAZEDONE,,,
IHS69L0Y4T,CEFAZOLIN,IHS69L0Y4T,CEFAZOLIN,Active Ingredient,,
P380M0454Z,CEFAZOLIN SODIUM,IHS69L0Y4T,CEFAZOLIN,Active Moiety,,
T0785J3X40,CEFBUPERAZONE,T0785J3X40,CEFBUPERAZONE,Active Ingredient,,
1VX59V96BS,CEFBUPERAZONE SODIUM,T0785J3X40,CEFBUPERAZONE,,,
2F5V2R6VX8,CEFCANEL,2F5V2R6VX8,CEFCANEL,Active Ingredient,,
D9693UHF82,CEFCANEL DALOXATE,2F5V2R6VX8,CEFCANEL,,,
4D5D3422MW,CEFCAPENE,4D5D3422MW,CEFCAPENE,Active Ingredient,,
8I8MJ56XFQ,CEFCAPENE PIVOXIL,4D5D3422MW,CEFCAPENE,,,
V16A6AYI9H,CEFCAPENE PIVOXIL HYDROCHLORIDE HYDRATE,4D5D3422MW,CEFCAPENE,,,
78963CJ0OG,CEFCLIDIN,78963CJ0OG,CEFCLIDIN,Active Ingredient,,
6856HDT30F,CEFDALOXIME,6856HDT30F,CEFDALOXIME,Active Ingredient,,
CI0FAO63WC,CEFDINIR,CI0FAO63WC,CEFDINIR,Active Ingredient,,
81QS09V3YW,CEFDITOREN,81QS09V3YW,CEFDITOREN,Active Ingredient,,
78THA212DH,CEFDITOREN PIVOXIL,81QS09V3YW,CEFDITOREN,Active Moiety,,
O3TY87KJII,CEFEDROLOR,O3TY87KJII,CEFEDROLOR,Active Ingredient,,
3YUZ4494BQ,CEFEMPIDONE,3YUZ4494BQ,CEFEMPIDONE,Active Ingredient,,
807PW4VQE3,CEFEPIME,807PW4VQE3,CEFEPIME,Active Ingredient,,
I8X1O0607P,CEFEPIME HYDROCHLORIDE,807PW4VQE3,CEFEPIME,Active Moiety,,
4R5TV783X3,CEFETAMET,4R5TV783X3,CEFETAMET,Active Ingredient,,
2YE9732GFU,CEFETAMET PIVOXIL HYDROCHLORIDE,4R5TV783X3,CEFETAMET,,,
ST0WR0R5X1,CEFETECOL,RTK13J4D2A,CEFETECOL ANHYDROUS,,,
RTK13J4D2A,CEFETECOL ANHYDROUS,RTK13J4D2A,CEFETECOL ANHYDROUS,Active Ingredient,,
61K37E446T,CEFETRIZOLE,61K37E446T,CEFETRIZOLE,Active Ingredient,,
776E09GMHQ,CEFIVITRIL,776E09GMHQ,CEFIVITRIL,Active Ingredient,,
97I1C92E55,CEFIXIME,XZ7BG04GJX,CEFIXIME ANHYDROUS,Active Moiety,,
XZ7BG04GJX,CEFIXIME ANHYDROUS,XZ7BG04GJX,CEFIXIME ANHYDROUS,Active Ingredient,,
098633Q42P,CEFLUPRENAM,098633Q42P,CEFLUPRENAM,Active Ingredient,,
T750UM24H8,CEFMATILEN,T750UM24H8,CEFMATILEN,Active Ingredient,,
KBZ4844CXN,CEFMENOXIME,KBZ4844CXN,CEFMENOXIME,Active Ingredient,,
NON736D32W,CEFMENOXIME HYDROCHLORIDE,KBZ4844CXN,CEFMENOXIME,,,
3J962UJT8H,CEFMETAZOLE,3J962UJT8H,CEFMETAZOLE,Active Ingredient,,
37Y9VR4W7A,CEFMETAZOLE SODIUM,3J962UJT8H,CEFMETAZOLE,,,
PW08Y13465,CEFMINOX,PW08Y13465,CEFMINOX,Active Ingredient,,
YNM4DBJ3N8,CEFMINOX SODIUM,PW08Y13465,CEFMINOX,,,
Z31298J4HQ,CEFODIZIME,Z31298J4HQ,CEFODIZIME,Active Ingredient,,
HC1T51593A,CEFODIZIME SODIUM,Z31298J4HQ,CEFODIZIME,,,
6532B86WFG,CEFONICID,6532B86WFG,CEFONICID,Active Ingredient,,
QD9G66C5UF,CEFONICID MONOSODIUM,6532B86WFG,CEFONICID,,,
F74MFL78A1,CEFONICID SODIUM,6532B86WFG,CEFONICID,,,
7U75I1278D,CEFOPERAZONE,7U75I1278D,CEFOPERAZONE,Active Ingredient,,
5FQG9774WD,CEFOPERAZONE SODIUM,7U75I1278D,CEFOPERAZONE,,,
8M1YF8951V,CEFORANIDE,8M1YF8951V,CEFORANIDE,Active Ingredient,,
0B50MLU3H1,CEFOSELIS,0B50MLU3H1,CEFOSELIS,Active Ingredient,,
N2GI8B1GK7,CEFOTAXIME,N2GI8B1GK7,CEFOTAXIME,Active Ingredient,,
258J72S7TZ,CEFOTAXIME SODIUM,N2GI8B1GK7,CEFOTAXIME,Active Moiety,,
48SPP0PA9Q,CEFOTETAN,48SPP0PA9Q,CEFOTETAN,Active Ingredient,,
0GXP746VXB,CEFOTETAN DISODIUM,48SPP0PA9Q,CEFOTETAN,Active Moiety,,
91W6Z2N718,CEFOTIAM,91W6Z2N718,CEFOTIAM,Active Ingredient,,
3N1X7E8CLE,CEFOTIAM HEXETIL HYDROCHLORIDE,91W6Z2N718,CEFOTIAM,,,
H7V12WDZ93,CEFOTIAM HYDROCHLORIDE,91W6Z2N718,CEFOTIAM,,,
0D1OL46ZIE,CEFOVECIN,0D1OL46ZIE,CEFOVECIN,Active Ingredient,,
DL8Q24959P,CEFOVECIN SODIUM,0D1OL46ZIE,CEFOVECIN,,,
BN10X2TL6I,CEFOXAZOLE,BN10X2TL6I,CEFOXAZOLE,Active Ingredient,,
6OEV9DX57Y,CEFOXITIN,6OEV9DX57Y,CEFOXITIN,Active Ingredient,,
Q68050H03T,CEFOXITIN SODIUM,6OEV9DX57Y,CEFOXITIN,Active Moiety,,
1LG87K28LW,CEFOZOPRAN,1LG87K28LW,CEFOZOPRAN,Active Ingredient,,
060I5C0GRC,CEFOZOPRAN HYDROCHLORIDE,1LG87K28LW,CEFOZOPRAN,,,
24S58UHU7N,CEFPIMIZOLE,24S58UHU7N,CEFPIMIZOLE,Active Ingredient,,
X4628IMC52,CEFPIMIZOLE SODIUM,24S58UHU7N,CEFPIMIZOLE,,,
P936YA152N,CEFPIRAMIDE,P936YA152N,CEFPIRAMIDE,Active Ingredient,,
137KB7GYKB,CEFPIRAMIDE SODIUM,P936YA152N,CEFPIRAMIDE,,,
S72Q2F09HY,CEFPIROME,S72Q2F09HY,CEFPIROME,Active Ingredient,,
BA5ALU2ZT9,CEFPIROME SULFATE,S72Q2F09HY,CEFPIROME,,,
7R4F94TVGY,CEFPODOXIME,7R4F94TVGY,CEFPODOXIME,Active Ingredient,,
2TB00A1Z7N,CEFPODOXIME PROXETIL,7R4F94TVGY,CEFPODOXIME,Active Moiety,,
4W0459ZA4V,CEFPROZIL,1M698F4H4E,CEFPROZIL ANHYDROUS,Active Moiety,,
Z74S078CWP,CEFQUINOME,Z74S078CWP,CEFQUINOME,Active Ingredient,,
3858K104DQ,CEFQUINOME SULFATE,Z74S078CWP,CEFQUINOME,,,
44P98H0A27,CEFROTIL,44P98H0A27,CEFROTIL,Active Ingredient,,
B908C4MV2R,CEFROXADINE,B908C4MV2R,CEFROXADINE,Active Ingredient,,
OV42LHE42B,CEFSULODIN,OV42LHE42B,CEFSULODIN,Active Ingredient,,
2D087186PY,CEFSULODIN SODIUM,OV42LHE42B,CEFSULODIN,,,
3642W81J7A,CEFSUMIDE,3642W81J7A,CEFSUMIDE,Active Ingredient,,
7P6FQA5D21,CEFTAROLINE FOSAMIL,H36Z0FHR8K,CEFTAROLINE,Active Ingredient,,
P9VXV1408Y,CEFTAROLINE FOSAMIL ACETATE,H36Z0FHR8K,CEFTAROLINE,,,
EZ9W6O5S09,CEFTAROLINE FOSAMIL ACETATE ANHYDROUS,H36Z0FHR8K,CEFTAROLINE,,,
9M416Z9QNR,CEFTAZIDIME,DZR1ENT301,CEFTAZIDIME ANHYDROUS,Active Moiety,,
CMC30V039K,CEFTAZIDIME SODIUM,DZR1ENT301,CEFTAZIDIME ANHYDROUS,Active Moiety,,
74CQ4Q3N63,CEFTERAM,74CQ4Q3N63,CEFTERAM,Active Ingredient,,
0OD86RT58C,CEFTERAM PIVOXIL,74CQ4Q3N63,CEFTERAM,,,
2Z86SYP11W,CEFTEZOLE,2Z86SYP11W,CEFTEZOLE,Active Ingredient,,
3NHZ4Y117H,CEFTEZOLE SODIUM,2Z86SYP11W,CEFTEZOLE,,,
IW71N46B4Y,CEFTIBUTEN,IW71N46B4Y,CEFTIBUTEN,Active Ingredient,,
62F4443RWP,CEFTIBUTEN DIHYDRATE,IW71N46B4Y,CEFTIBUTEN,Active Moiety,,
83JL932I1C,CEFTIOFUR,83JL932I1C,CEFTIOFUR,Active Ingredient,,
6822A07436,CEFTIOFUR HYDROCHLORIDE,83JL932I1C,CEFTIOFUR,,,
NHI34IS56E,CEFTIOFUR SODIUM,83JL932I1C,CEFTIOFUR,,,
28TV2P33KF,CEFTIOLENE,28TV2P33KF,CEFTIOLENE,Active Ingredient,,
6Z9DV0V6TG,CEFTIOXIDE,6Z9DV0V6TG,CEFTIOXIDE,Active Ingredient,,
C43C467DPE,CEFTIZOXIME,C43C467DPE,CEFTIZOXIME,Active Ingredient,,
3MM3320LJN,CEFTIZOXIME ALAPIVOXIL,C43C467DPE,CEFTIZOXIME,,,
26337D5X88,CEFTIZOXIME SODIUM,C43C467DPE,CEFTIZOXIME,,,
5T97333YZK,CEFTOBIPROLE,5T97333YZK,CEFTOBIPROLE,Active Ingredient,,
N99027V28J,CEFTOBIPROLE MEDOCARIL,5T97333YZK,CEFTOBIPROLE,,,
YXV28V1B07,CEFTOBIPROLE MEDOCARIL FREE ACID,5T97333YZK,CEFTOBIPROLE,,,
7R247U84HY,CEFTOLOZANE SULFATE,37A4IES95Q,CEFTOLOZANE,Active Moiety,,
75J73V1629,CEFTRIAXONE,75J73V1629,CEFTRIAXONE,Active Ingredient,,
023Z5BR09K,CEFTRIAXONE SODIUM,75J73V1629,CEFTRIAXONE,Active Moiety,,
F69EA18270,CEFURACETIME,F69EA18270,CEFURACETIME,Active Ingredient,,
O1R9FJ93ED,CEFUROXIME,O1R9FJ93ED,CEFUROXIME,Active Ingredient,,
Z49QDT0J8Z,CEFUROXIME AXETIL,O1R9FJ93ED,CEFUROXIME,Active Moiety,,
R8A7M9MY61,CEFUROXIME SODIUM,O1R9FJ93ED,CEFUROXIME,Active Moiety,,
860MT00T7T,CEFUZONAM,860MT00T7T,CEFUZONAM,Active Ingredient,,
6SOU25L22C,CEFUZONAM SODIUM,860MT00T7T,CEFUZONAM,,,
758Z9H9WV9,CEIBA PENTANDRA FIBER,758Z9H9WV9,CEIBA PENTANDRA FIBER,Active Ingredient,,
JCX84Q7J1L,CELECOXIB,JCX84Q7J1L,CELECOXIB,Active Ingredient,,
44IDY6DTKX,CELERY,44IDY6DTKX,CELERY,Active Ingredient,,
1G1EAA320L,CELERY SEED,1G1EAA320L,CELERY SEED,Active Ingredient,,
895VG117HN,CELGOSIVIR,895VG117HN,CELGOSIVIR,Active Ingredient,,
70U2NQU0FP,CELGOSIVIR HYDROCHLORIDE,895VG117HN,CELGOSIVIR,,,
DRB57K47QC,CELIPROLOL,DRB57K47QC,CELIPROLOL,Active Ingredient,,
G1M3398594,CELIPROLOL HYDROCHLORIDE,DRB57K47QC,CELIPROLOL,,,
K45001587E,CELIVARONE,K45001587E,CELIVARONE,Active Ingredient,,
OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",OP1R32D61U,"CELLULOSE, MICROCRYSTALLINE",Active Ingredient,,
68R9X9Y96X,CELTIS OCCIDENTALIS POLLEN,68R9X9Y96X,CELTIS OCCIDENTALIS POLLEN,Active Ingredient,,
6SQ8M7ZSFV,CEMADOTIN,6SQ8M7ZSFV,CEMADOTIN,Active Ingredient,,
15C116UA4Y,CENICRIVIROC,15C116UA4Y,CENICRIVIROC,Active Ingredient,,
R96TV84T21,CENICRIVIROC MESYLATE,15C116UA4Y,CENICRIVIROC,,,
5277GPA358,CENISERTIB,5277GPA358,CENISERTIB,Active Ingredient,,
57X4TSH58S,CENTAURIUM ERYTHRAEA,57X4TSH58S,CENTAURIUM ERYTHRAEA,Active Ingredient,,
B204P54Z1F,CENTAURIUM ERYTHRAEA FLOWER,B204P54Z1F,CENTAURIUM ERYTHRAEA FLOWER,Active Ingredient,,
7M867G6T1U,CENTELLA ASIATICA,7M867G6T1U,CENTELLA ASIATICA,Active Ingredient,,
6810070TYD,CENTELLA ASIATICA LEAF,6810070TYD,CENTELLA ASIATICA LEAF,Active Ingredient,,
FDM21QQ344,CEPHACETRILE,FDM21QQ344,CEPHACETRILE,Active Ingredient,,
QA971541A1,CEPHAELINE,QA971541A1,CEPHAELINE,Active Ingredient,,
OBN7UDS42Y,CEPHALEXIN,5SFF1W6677,CEPHALEXIN ANHYDROUS,Active Moiety,,
5SFF1W6677,CEPHALEXIN ANHYDROUS,5SFF1W6677,CEPHALEXIN ANHYDROUS,Active Ingredient,,
6VJE5G3D98,CEPHALEXIN HYDROCHLORIDE,5SFF1W6677,CEPHALEXIN ANHYDROUS,,,
NE7R11LA95,CEPHALOGLYCIN,HD2D469W6U,CEPHALOGLYCIN ANHYDROUS,,,
HD2D469W6U,CEPHALOGLYCIN ANHYDROUS,HD2D469W6U,CEPHALOGLYCIN ANHYDROUS,Active Ingredient,,
LVZ1VC61HB,CEPHALORIDINE,LVZ1VC61HB,CEPHALORIDINE,Active Ingredient,,
3XIY7HJT5L,CEPHALOSPORIN C,3XIY7HJT5L,CEPHALOSPORIN C,Active Ingredient,,
1756J4PM8P,CEPHALOSPORIUM ROSEUM,1756J4PM8P,CEPHALOSPORIUM ROSEUM,Active Ingredient,,
R72LW146E6,CEPHALOTHIN,R72LW146E6,CEPHALOTHIN,Active Ingredient,,
C22G6EYP8B,CEPHALOTHIN SODIUM,R72LW146E6,CEPHALOTHIN,,,
89B59H32VN,CEPHAPIRIN,89B59H32VN,CEPHAPIRIN,Active Ingredient,,
90G868409O,CEPHAPIRIN BENZATHINE,89B59H32VN,CEPHAPIRIN,,,
